# _root_ `` We went to six companies over two days pitching the prospect , '' says Tim Parker , a Santa Fe exploration manager .
#goldHeads=3,3,15,3,6,4,3,9,7,3,12,10,3,3,0,17,15,17,23,23,23,23,17,15,
#predictedHeads=15,3,15,3,6,4,3,9,7,3,12,10,15,15,0,17,15,17,23,23,23,23,17,15,
(3,23),(23,11),(23,-1),-0.228804 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,24),(24,24),(24,25),-0.0119668 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,24),(24,24),(24,23),0.0732956 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,24),(24,24),(24,-1),0.0147795 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,24),(24,23),(24,-1),-0.177564 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,5),(5,7),-0.0225908 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,8),-0.0453738 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,10),-0.0083278 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,25),-0.00645088 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,5),(5,7),(5,8),-0.0196349 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,7),(5,10),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,7),(5,25),0.000318649 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,8),(5,10),-0.0195968 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,8),(5,25),-0.0451131 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,10),(5,25),-0.0149417 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,5),(5,4),0.105493 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,-1),-0.274387 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,5),(5,4),(5,-1),-0.14896 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,6),(6,6),(6,7),-0.0332272 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,8),-0.0117818 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,9),-0.116357 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,10),0.00323059 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,12),-0.114511 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,13),-0.0425589 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,14),-0.0162718 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,15),0.00307977 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,18),-0.0425589 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,23),-0.114524 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,24),-0.0237383 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,25),0.176874 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,6),(6,7),(6,8),-0.0194696 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,7),(6,9),-0.00510866 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,7),(6,10),0.00334268 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,7),(6,12),-0.00510866 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,7),(6,13),-0.0146914 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,7),(6,14),-0.0226125 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,7),(6,15),0.00774831 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,7),(6,18),-0.0146914 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,7),(6,23),-0.00510866 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,7),(6,24),-0.019519 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,7),(6,25),-0.0674368 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,8),(6,9),-0.0224212 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,8),(6,10),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,8),(6,12),-0.0224212 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,8),(6,13),-0.0108694 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,8),(6,14),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,8),(6,15),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,8),(6,18),-0.0108694 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,8),(6,23),-0.0224212 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,8),(6,24),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,8),(6,25),-0.0125933 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,9),(6,10),-0.03086 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,9),(6,12),-0.0178445 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,9),(6,13),-0.00660715 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,9),(6,14),-0.0223379 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,9),(6,15),-0.0308616 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,9),(6,18),-0.00660715 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,9),(6,23),-0.0178445 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,9),(6,24),-0.0213453 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,9),(6,25),-0.0580472 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,10),(6,12),-0.0210952 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,10),(6,13),-0.0152752 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,10),(6,14),-0.0108457 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,10),(6,15),-0.00957603 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,10),(6,18),-0.0152752 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,10),(6,23),-0.0210952 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,10),(6,24),-0.0194935 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,10),(6,25),-0.0124751 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,12),(6,13),-0.00478958 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,12),(6,14),-0.0223379 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,12),(6,15),-0.0308616 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,12),(6,18),-0.00478958 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,12),(6,23),-0.0178445 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,12),(6,24),-0.0213453 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,12),(6,25),-0.058037 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,13),(6,14),-0.0111529 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,13),(6,15),-0.0279872 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,13),(6,18),-0.0228791 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,13),(6,23),-0.0139799 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,13),(6,24),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,13),(6,25),-0.0438869 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,14),(6,15),-0.0169962 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,14),(6,18),-0.0199794 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,14),(6,23),-0.0106558 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,14),(6,24),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,14),(6,25),-0.0267982 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,15),(6,18),-0.0153466 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,15),(6,23),-0.021096 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,15),(6,24),-0.0194935 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,15),(6,25),-0.0134995 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,18),(6,23),-0.0139799 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,18),(6,24),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,18),(6,25),-0.0438869 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,23),(6,24),-0.0213453 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,23),(6,25),-0.0580465 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,24),(6,25),-0.0263237 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,6),(6,5),0.0712737 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,4),0.0943058 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,3),-0.150647 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,1),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,-1),-0.258472 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,6),(6,5),(6,4),0.10954 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,5),(6,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,5),(6,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,5),(6,-1),-0.160839 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,4),(6,3),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,4),(6,1),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,4),(6,-1),-0.159048 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,6),(6,3),(6,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,3),(6,-1),-0.171894 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,1),(6,-1),-0.149315 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,7),(7,8),-0.0219955 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,7),(7,9),-0.0363106 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,7),(7,10),-0.0199361 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,7),(7,12),-0.0363046 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,7),(7,14),-0.0194456 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,7),(7,15),-0.0199361 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,7),(7,17),-0.0363046 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,7),(7,25),-0.0493498 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,7),(7,8),(7,9),-0.0210815 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,8),(7,10),-0.0194544 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,8),(7,12),-0.0210815 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,8),(7,14),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,8),(7,15),-0.0194544 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,8),(7,17),-0.0210815 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,8),(7,25),-0.0196429 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,9),(7,10),-0.0194925 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,9),(7,12),-0.020058 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,9),(7,14),-0.0194545 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,9),(7,15),-0.0194925 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,9),(7,17),-0.020058 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,9),(7,25),-0.0452281 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,10),(7,12),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,10),(7,14),-0.0194406 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,10),(7,15),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,10),(7,17),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,10),(7,25),-0.0200713 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,12),(7,14),-0.0194545 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,12),(7,15),-0.0194925 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,12),(7,17),-0.020058 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,12),(7,25),-0.0452221 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,14),(7,15),-0.0194448 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,14),(7,17),-0.0194432 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,14),(7,25),-0.0199859 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,15),(7,17),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,15),(7,25),-0.0200713 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,17),(7,25),-0.0452221 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,7),(7,6),0.118827 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,7),(7,5),0.108424 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,7),(7,4),0.10954 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,7),(7,-1),-0.181118 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,7),(7,6),(7,5),0.109535 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,6),(7,4),0.10954 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,6),(7,-1),-0.119048 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,5),(7,4),0.109522 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,5),(7,-1),-0.14582 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,4),(7,-1),-0.146035 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,8),(8,8),(8,10),-0.0083278 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,12),0.00073587 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,17),0.00073587 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,25),-0.00672791 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,8),(8,10),(8,12),-0.0194541 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,10),(8,17),-0.0194541 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,10),(8,25),-0.0149417 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,12),(8,17),-0.0195215 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,12),(8,25),-0.0142561 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,17),(8,25),-0.0142561 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,8),(8,7),0.106824 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,5),0.179948 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,-1),-0.274384 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,8),(8,7),(8,5),0.10954 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,7),(8,-1),-0.129529 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,5),(8,-1),-0.0908723 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,9),(9,10),0.00711994 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,12),-0.114511 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,13),-0.0402535 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,14),-0.0162718 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,15),0.00696912 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,17),-0.114511 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,18),-0.0402535 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,23),-0.114524 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,25),0.17556 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,9),(9,10),(9,12),-0.0210978 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,10),(9,13),-0.0152752 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,10),(9,14),-0.0108457 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,10),(9,15),-0.00957603 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,10),(9,17),-0.0210978 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,10),(9,18),-0.0152752 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,10),(9,23),-0.0210978 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,10),(9,25),-0.00858314 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,12),(9,13),-0.00478958 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,12),(9,14),-0.0223379 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,12),(9,15),-0.0308616 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,12),(9,17),-0.0178445 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,12),(9,18),-0.00478958 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,12),(9,23),-0.0178445 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,12),(9,25),-0.0580396 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,13),(9,14),-0.0111529 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,13),(9,15),-0.0279872 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,13),(9,17),-0.0139651 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,13),(9,18),-0.0228791 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,13),(9,23),-0.0139799 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,13),(9,25),-0.044002 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,14),(9,15),-0.0169962 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,14),(9,17),-0.0106558 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,14),(9,18),-0.0199794 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,14),(9,23),-0.0106558 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,14),(9,25),-0.0267982 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,15),(9,17),-0.0210985 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,15),(9,18),-0.0153466 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,15),(9,23),-0.0210985 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,15),(9,25),-0.00960758 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,17),(9,18),-0.00478958 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,17),(9,23),-0.0178445 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,17),(9,25),-0.0580215 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,18),(9,23),-0.0139799 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,18),(9,25),-0.044002 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,23),(9,25),-0.058049 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,9),(9,8),0.062358 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,7),0.134111 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,6),0.0772493 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,5),0.0670543 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,4),0.0943058 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,-1),-0.260124 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,9),(9,8),(9,7),0.106114 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,8),(9,6),0.0971205 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,8),(9,5),0.0965058 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,8),(9,4),0.10954 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,8),(9,-1),-0.16714 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,7),(9,6),0.118379 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,7),(9,5),0.108799 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,7),(9,4),0.10954 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,7),(9,-1),-0.130862 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,6),(9,5),0.1087 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,6),(9,4),0.10954 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,6),(9,-1),-0.0938038 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,5),(9,4),0.10954 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,5),(9,-1),-0.165043 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,4),(9,-1),-0.159048 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,10),(10,10),(10,11),-0.0237787 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,10),(10,10),(10,12),-0.0194261 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,10),(10,10),(10,13),-0.0266529 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,10),(10,10),(10,14),-0.0221161 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,10),(10,10),(10,15),-0.0173809 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,10),(10,10),(10,17),-0.0194261 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,10),(10,10),(10,18),-0.0266529 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,10),(10,10),(10,23),-0.0194261 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,10),(10,10),(10,24),-0.0194405 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,10),(10,10),(10,25),0.0263367 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,10),(10,11),(10,12),-0.0199796 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,11),(10,13),-0.0194431 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,11),(10,14),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,11),(10,15),-0.0195769 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,11),(10,17),-0.0199796 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,11),(10,18),-0.0194431 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,11),(10,23),-0.0199796 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,11),(10,24),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,11),(10,25),-0.021919 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,10),(10,12),(10,13),-0.0231039 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,12),(10,14),-0.0194987 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,12),(10,15),8.45282e-05 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,12),(10,17),-0.0148074 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,12),(10,18),-0.0231039 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,12),(10,23),-0.0148074 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,12),(10,24),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,12),(10,25),-0.0497406 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,10),(10,13),(10,14),-0.0205348 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,13),(10,15),-0.0217914 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,13),(10,17),-0.0211734 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,13),(10,18),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,13),(10,23),-0.0211734 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,13),(10,24),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,13),(10,25),-0.0242388 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,10),(10,14),(10,15),-0.0194852 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,14),(10,17),-0.0195237 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,14),(10,18),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,14),(10,23),-0.0195237 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,14),(10,24),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,14),(10,25),-0.0213726 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,10),(10,15),(10,17),-0.0194422 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,15),(10,18),-0.019447 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,15),(10,23),-0.0194422 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,15),(10,24),-0.0194706 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,15),(10,25),-0.0038288 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,10),(10,17),(10,18),-0.0231039 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,17),(10,23),-0.0148074 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,17),(10,24),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,17),(10,25),-0.0497332 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,10),(10,18),(10,23),-0.0211734 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,18),(10,24),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,18),(10,25),-0.0242388 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,10),(10,23),(10,24),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,23),(10,25),-0.0497332 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,10),(10,24),(10,25),-0.0196804 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,10),(10,10),(10,9),0.103473 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,10),(10,10),(10,7),0.109407 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,10),(10,10),(10,6),0.10279 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
