# _root_ The opening credits are being redone , Mr. Nelson said , `` to make Teddy 's situation clear to viewers who have not been with us since the beginning .
#goldHeads=3,3,4,0,4,5,10,9,10,6,10,6,14,6,17,15,18,14,18,19,22,20,22,22,24,25,24,29,27,4,
#predictedHeads=3,3,4,0,4,5,10,9,10,4,10,10,14,10,17,15,18,14,18,19,22,20,22,22,24,25,24,29,27,4,
(5,3),(3,3),(3,7),-0.127499 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,3),(3,9),-0.00686827 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,3),(3,11),-0.127499 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,3),(3,31),-0.165066 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,3),(3,4),(3,5),-0.122563 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,3),(3,4),(3,6),-0.125529 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,4),(3,7),-0.144152 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,4),(3,9),-0.125529 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,4),(3,11),-0.144152 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,4),(3,31),-0.0866031 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,3),(3,5),(3,6),-0.12541 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,5),(3,7),-0.143505 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,5),(3,9),-0.12541 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,5),(3,11),-0.143505 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,5),(3,31),-0.088842 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,3),(3,6),(3,7),-0.140211 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,6),(3,9),-0.10657 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,6),(3,11),-0.140211 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,6),(3,31),-0.109953 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,3),(3,7),(3,9),-0.14225 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,7),(3,11),-0.128777 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,7),(3,31),-0.124235 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,3),(3,9),(3,11),-0.140211 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,9),(3,31),-0.108871 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,3),(3,11),(3,31),-0.124235 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,3),(3,3),(3,2),0.00398042 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,3),(3,1),-0.139126 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,3),(3,-1),0.0422285 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,3),(3,2),(3,1),-0.0124923 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,2),(3,-1),-0.0237174 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,3),(3,1),(3,-1),0.0566266 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,4),(4,4),(4,5),-0.106894 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,4),(4,4),(4,6),-0.180061 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,4),(4,7),-0.124905 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,4),(4,9),-0.180061 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,4),(4,10),-0.107086 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,4),(4,11),-0.124905 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,4),(4,12),-0.126633 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,4),(4,13),-0.098639 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,4),(4,14),-0.107077 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,4),(4,22),-0.107053 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,4),(4,30),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,4),(4,31),-0.252975 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,4),(4,5),(4,6),-0.125662 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,5),(4,7),-0.127371 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,5),(4,9),-0.125662 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,5),(4,10),-0.125273 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,5),(4,11),-0.127371 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,5),(4,12),-0.126214 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,5),(4,13),-0.124996 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,5),(4,14),-0.125273 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,5),(4,22),-0.125273 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,5),(4,30),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,5),(4,31),-0.127354 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,4),(4,6),(4,7),-0.127738 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,6),(4,9),-0.128007 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,6),(4,10),-0.12378 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,6),(4,11),-0.127738 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,6),(4,12),-0.125466 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,6),(4,13),-0.127804 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,6),(4,14),-0.12378 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,6),(4,22),-0.123787 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,6),(4,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,6),(4,31),-0.125573 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,4),(4,7),(4,9),-0.126181 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,7),(4,10),-0.149457 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,7),(4,11),-0.12504 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,7),(4,12),-0.129686 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,7),(4,13),-0.125044 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,7),(4,14),-0.149718 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,7),(4,22),-0.150054 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,7),(4,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,7),(4,31),-0.12896 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,4),(4,9),(4,10),-0.12378 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,9),(4,11),-0.127738 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,9),(4,12),-0.125466 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,9),(4,13),-0.127804 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,9),(4,14),-0.12378 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,9),(4,22),-0.123787 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,9),(4,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,9),(4,31),-0.125573 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,4),(4,10),(4,11),-0.127371 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,10),(4,12),-0.126214 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,10),(4,13),-0.124996 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,10),(4,14),-0.125274 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,10),(4,22),-0.125274 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,10),(4,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,10),(4,31),-0.134352 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,4),(4,11),(4,12),-0.129686 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,11),(4,13),-0.125044 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,11),(4,14),-0.149718 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,11),(4,22),-0.150054 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,11),(4,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,11),(4,31),-0.12896 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,4),(4,12),(4,13),-0.125026 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,12),(4,14),-0.129117 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,12),(4,22),-0.129975 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,12),(4,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,12),(4,31),-0.0858286 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,4),(4,13),(4,14),-0.115041 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,13),(4,22),-0.115041 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,13),(4,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,13),(4,31),-0.228284 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,4),(4,14),(4,22),-0.125273 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,14),(4,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,14),(4,31),-0.118649 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,4),(4,22),(4,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,22),(4,31),-0.11509 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,4),(4,30),(4,31),-0.146477 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,4),(4,4),(4,3),0.0229267 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,4),(4,2),0.0289204 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,4),(4,1),-0.0206018 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,4),(4,-1),0.0481115 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,4),(4,3),(4,2),-0.00318156 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,3),(4,1),-0.0489129 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,3),(4,-1),-0.0804553 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,4),(4,2),(4,1),-0.0489099 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,2),(4,-1),-0.0708965 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,4),(4,1),(4,-1),-0.0346408 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,6),(6,7),0.0398876 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,8),0.0584244 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,9),0.00365191 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,10),-0.0381456 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,11),0.0398876 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,12),-0.0728787 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,13),-0.138361 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,14),-0.0215407 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,15),0.0156832 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,17),0.00753404 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,18),-0.0436896 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,19),-0.138361 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,20),0.00581499 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,22),-0.0366488 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,24),-0.035512 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,31),0.0398262 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,6),(6,7),(6,8),-0.0904275 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,7),(6,9),-0.0903756 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,7),(6,10),-0.0222826 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,7),(6,11),-0.0513773 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,7),(6,12),-0.0538944 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,7),(6,13),-0.0482267 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,7),(6,14),-0.0266003 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,7),(6,15),-0.0903786 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,7),(6,17),-0.0904436 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,7),(6,18),-0.00956914 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,7),(6,19),-0.0482267 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,7),(6,20),-0.0903756 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,7),(6,22),-0.0289187 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,7),(6,24),-0.0291621 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,7),(6,31),-0.0315123 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,8),(6,9),-0.068852 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,8),(6,10),-0.010849 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,8),(6,11),-0.0402028 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,8),(6,12),-0.0555635 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,8),(6,13),-0.046918 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,8),(6,14),-0.00886529 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,8),(6,15),-0.0689524 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,8),(6,17),-0.069638 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,8),(6,18),-0.0431463 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,8),(6,19),-0.046918 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,8),(6,20),-0.068852 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,8),(6,22),-0.00893271 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,8),(6,24),-0.00887773 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,8),(6,31),0.0216072 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,9),(6,10),-0.0137594 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,9),(6,11),-0.0582076 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,9),(6,12),-0.0555635 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,9),(6,13),-0.046918 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,9),(6,14),-0.0117757 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,9),(6,15),-0.045481 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,9),(6,17),-0.0461666 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,9),(6,18),-0.053095 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,9),(6,19),-0.046918 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,9),(6,20),-0.0453805 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,9),(6,22),-0.0118431 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,9),(6,24),-0.0117881 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,9),(6,31),-0.0217702 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,10),(6,11),-0.0714394 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,10),(6,12),-0.0533258 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,10),(6,13),-0.0434092 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,10),(6,14),-0.0124252 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,10),(6,15),-0.0622864 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,10),(6,17),-0.0622864 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,10),(6,18),-0.0364784 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,10),(6,19),-0.0434092 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,10),(6,20),-0.0622864 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,10),(6,22),-0.0126846 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,10),(6,24),-0.01195 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,10),(6,31),-0.070829 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,11),(6,12),-0.0538944 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,11),(6,13),-0.0482267 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,11),(6,14),-0.0266003 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,11),(6,15),-0.0903786 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,11),(6,17),-0.0904436 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,11),(6,18),-0.00956914 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,11),(6,19),-0.0482267 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,11),(6,20),-0.0903756 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,11),(6,22),-0.0289187 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,11),(6,24),-0.0291621 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,11),(6,31),-0.0315123 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,12),(6,13),-0.0422259 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,12),(6,14),-0.0436042 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,12),(6,15),-0.0130429 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,12),(6,17),-0.0130429 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,12),(6,18),-0.0575496 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,12),(6,19),-0.0422259 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,12),(6,20),-0.0130429 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,12),(6,22),-0.0413414 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,12),(6,24),-0.0436042 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,12),(6,31),-0.0890831 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,13),(6,14),-0.0266125 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,13),(6,15),-0.0485222 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,13),(6,17),-0.0485222 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,13),(6,18),-0.0376215 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,13),(6,19),-0.0483914 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,13),(6,20),-0.0485222 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,13),(6,22),-0.0270238 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,13),(6,24),-0.026381 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,13),(6,31),-0.0232565 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,14),(6,15),-0.0597862 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,14),(6,17),-0.0597862 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,14),(6,18),-0.0371251 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,14),(6,19),-0.0434092 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,14),(6,20),-0.0597862 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,14),(6,22),-0.0128323 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,14),(6,24),-0.0120977 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,14),(6,31),-0.0662477 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,15),(6,17),-0.0438485 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,15),(6,18),-0.053095 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,15),(6,19),-0.046918 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,15),(6,20),-0.0430624 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,15),(6,22),-0.0118431 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,15),(6,24),-0.0117881 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,15),(6,31),-0.0123016 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,17),(6,18),-0.0515379 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,17),(6,19),-0.046918 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,17),(6,20),-0.0438436 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,17),(6,22),-0.0118431 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,17),(6,24),-0.0117881 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,17),(6,31),-0.0218617 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,18),(6,19),-0.035284 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,18),(6,20),-0.0235697 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,18),(6,22),-0.0470995 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,18),(6,24),-0.0463788 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,18),(6,31),-0.033986 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,19),(6,20),-0.0485222 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,19),(6,22),-0.0270238 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,19),(6,24),-0.026381 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,19),(6,31),-0.0232565 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,20),(6,22),-0.0118431 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,20),(6,24),-0.0117881 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,20),(6,31),-0.0211441 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,22),(6,24),-0.0121936 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,22),(6,31),-0.0911687 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,24),(6,31),-0.0800897 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,6),(6,5),0.170254 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,6),(6,6),(6,4),-0.0965828 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,3),-0.00686827 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,2),-0.00686849 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,1),-0.132826 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,-1),-0.161785 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,6),(6,5),(6,4),-0.11992 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,5),(6,3),-0.12541 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,5),(6,2),-0.12541 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,5),(6,1),-0.130329 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,5),(6,-1),-0.0881389 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,6),(6,4),(6,3),-0.125529 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,4),(6,2),-0.125529 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,4),(6,1),-0.130329 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,4),(6,-1),-0.0859 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,3),(6,2),-0.10657 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,3),(6,1),-0.120568 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,3),(6,-1),-0.109953 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,2),(6,1),-0.120568 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,2),(6,-1),-0.110314 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,1),(6,-1),-0.210229 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,7),(7,7),(7,31),0.00831571 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,7),(7,7),(7,-1),-0.0796929 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,8),(8,8),(8,9),0.00205643 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,10),-0.0396107 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,31),0.0340933 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,8),(8,9),(8,10),-0.0140027 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,9),(8,31),-0.0231195 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,8),(8,10),(8,31),-0.0725218 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,8),(8,8),(8,7),0.0388861 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,6),0.042423 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,5),0.16972 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,8),(8,8),(8,-1),-0.168166 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,8),(8,7),(8,6),0.202236 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,7),(8,5),0.131349 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,8),(8,7),(8,-1),-0.124286 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,8),(8,6),(8,5),0.126501 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,8),(8,6),(8,-1),-0.110074 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,8),(8,5),(8,-1),-0.0886792 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,9),(9,9),(9,10),-0.0381456 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,9),(9,9),(9,11),0.0398924 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,9),(9,9),(9,12),-0.0728787 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,9),(9,9),(9,14),-0.0215407 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
