# _root_ Mr. Peters claims he reminded Mr. Ross that Robert Daly and Terry Semel , the top executives of the Warner Brothers studio , had `` repeatedly agreed that we had every right to accept '' an offer such as Sony 's .
#goldHeads=2,3,0,5,3,7,5,24,10,11,24,13,11,11,17,17,11,17,22,22,22,18,11,5,24,24,24,30,30,27,32,30,34,32,34,37,34,39,37,39,40,3,
#predictedHeads=2,3,0,5,3,7,5,24,10,11,24,13,11,13,17,17,13,17,22,22,22,18,13,5,27,27,24,30,30,27,32,30,34,32,34,37,34,39,37,39,40,3,
(3,11),(3,14),-0.381616 # DEPENDENCYPART_NEXTSIBL
(3,11),(3,23),-0.0717818 # DEPENDENCYPART_NEXTSIBL
(3,11),(3,24),-0.931934 # DEPENDENCYPART_NEXTSIBL
(3,11),(3,25),-0.865449 # DEPENDENCYPART_NEXTSIBL
(3,11),(3,30),-0.99212 # DEPENDENCYPART_NEXTSIBL
(3,11),(3,35),-1.15067 # DEPENDENCYPART_NEXTSIBL
(3,11),(3,42),-1.84844 # DEPENDENCYPART_NEXTSIBL
(3,11),(3,43),-0.829357 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,14),(3,23),-1.43988 # DEPENDENCYPART_NEXTSIBL
(3,14),(3,24),-0.587996 # DEPENDENCYPART_NEXTSIBL
(3,14),(3,25),-0.596374 # DEPENDENCYPART_NEXTSIBL
(3,14),(3,30),-0.821254 # DEPENDENCYPART_NEXTSIBL
(3,14),(3,35),-1.52635 # DEPENDENCYPART_NEXTSIBL
(3,14),(3,42),-1.46577 # DEPENDENCYPART_NEXTSIBL
(3,14),(3,43),-1.32589 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,23),(3,24),-0.183818 # DEPENDENCYPART_NEXTSIBL
(3,23),(3,25),-0.409083 # DEPENDENCYPART_NEXTSIBL
(3,23),(3,30),-0.538767 # DEPENDENCYPART_NEXTSIBL
(3,23),(3,35),-1.14629 # DEPENDENCYPART_NEXTSIBL
(3,23),(3,42),-1.26025 # DEPENDENCYPART_NEXTSIBL
(3,23),(3,43),-0.797549 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,24),(3,25),-0.570249 # DEPENDENCYPART_NEXTSIBL
(3,24),(3,30),-0.534204 # DEPENDENCYPART_NEXTSIBL
(3,24),(3,35),-0.466227 # DEPENDENCYPART_NEXTSIBL
(3,24),(3,42),0.322308 # DEPENDENCYPART_NEXTSIBL
(3,24),(3,43),0.125018 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,25),(3,30),-0.375353 # DEPENDENCYPART_NEXTSIBL
(3,25),(3,35),-1.03974 # DEPENDENCYPART_NEXTSIBL
(3,25),(3,42),-1.42172 # DEPENDENCYPART_NEXTSIBL
(3,25),(3,43),-1.34329 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,30),(3,35),-0.572174 # DEPENDENCYPART_NEXTSIBL
(3,30),(3,42),0.312595 # DEPENDENCYPART_NEXTSIBL
(3,30),(3,43),0.168984 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,35),(3,42),-1.39609 # DEPENDENCYPART_NEXTSIBL
(3,35),(3,43),-1.61166 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,42),(3,43),-2.51381 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,3),(3,2),-0.307241 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,1),-0.298454 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,-1),-0.750369 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(3,2),(3,1),-0.418757 # DEPENDENCYPART_NEXTSIBL
(3,2),(3,-1),-0.658869 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,1),(3,-1),-0.554241 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,4),(4,5),-0.516982 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,7),-0.469878 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,43),-0.410971 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(4,5),(4,7),-0.841444 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,43),-0.875507 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,7),(4,43),-0.675897 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,4),(4,-1),-0.522 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(5,5),(5,6),-0.346301 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,7),-0.32971 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,8),-1.41759 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,9),-0.254411 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,10),-0.0848996 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,11),-0.0193043 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,12),-0.349559 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,13),-0.21929 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,14),-0.661719 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,16),-0.614525 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,23),-1.23417 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,24),-0.102674 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,25),-0.579022 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,26),-0.155667 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,27),1.00574 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,30),-0.188693 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,35),-0.91893 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,42),-1.38961 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,43),-0.791452 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(5,6),(5,7),-0.813702 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,8),-0.971923 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,9),-1.11766 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,10),-1.06139 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,11),-0.834649 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,12),-1.12724 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,13),-1.16994 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,14),-0.79341 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,16),-0.978178 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,23),-0.56509 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,24),-0.766079 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,25),-1.13856 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,26),-1.19514 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,27),-0.73299 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,30),-0.706117 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,35),-1.39851 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,42),-1.27873 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,43),-0.802987 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,7),(5,8),-0.483244 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,9),-0.589292 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,10),-0.705567 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,11),-0.51523 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,12),-0.72662 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,13),-0.771977 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,14),-0.353603 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,16),-0.590048 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,23),-0.0343989 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,24),-0.369926 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,25),-0.754037 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,26),-0.798854 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,27),-0.44728 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,30),-0.371757 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,35),-0.988831 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,42),-0.65237 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,43),-0.631783 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,8),(5,9),-1.08922 # DEPENDENCYPART_NEXTSIBL
(5,8),(5,10),-0.989361 # DEPENDENCYPART_NEXTSIBL
(5,8),(5,11),-1.0279 # DEPENDENCYPART_NEXTSIBL
(5,8),(5,12),-0.976618 # DEPENDENCYPART_NEXTSIBL
(5,8),(5,13),-0.912121 # DEPENDENCYPART_NEXTSIBL
(5,8),(5,14),-0.689532 # DEPENDENCYPART_NEXTSIBL
(5,8),(5,16),-0.992321 # DEPENDENCYPART_NEXTSIBL
(5,8),(5,23),-0.89719 # DEPENDENCYPART_NEXTSIBL
(5,8),(5,24),-1.12699 # DEPENDENCYPART_NEXTSIBL
(5,8),(5,25),-0.804001 # DEPENDENCYPART_NEXTSIBL
(5,8),(5,26),-1.14165 # DEPENDENCYPART_NEXTSIBL
(5,8),(5,27),-1.12958 # DEPENDENCYPART_NEXTSIBL
(5,8),(5,30),-1.18433 # DEPENDENCYPART_NEXTSIBL
(5,8),(5,35),-1.41284 # DEPENDENCYPART_NEXTSIBL
(5,8),(5,42),-1.75908 # DEPENDENCYPART_NEXTSIBL
(5,8),(5,43),-0.78719 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,9),(5,10),-1.09619 # DEPENDENCYPART_NEXTSIBL
(5,9),(5,11),-1.26229 # DEPENDENCYPART_NEXTSIBL
(5,9),(5,12),-1.39327 # DEPENDENCYPART_NEXTSIBL
(5,9),(5,13),-1.40212 # DEPENDENCYPART_NEXTSIBL
(5,9),(5,14),-1.15658 # DEPENDENCYPART_NEXTSIBL
(5,9),(5,16),-1.27312 # DEPENDENCYPART_NEXTSIBL
(5,9),(5,23),-0.968222 # DEPENDENCYPART_NEXTSIBL
(5,9),(5,24),-1.11925 # DEPENDENCYPART_NEXTSIBL
(5,9),(5,25),-1.41032 # DEPENDENCYPART_NEXTSIBL
(5,9),(5,26),-1.40773 # DEPENDENCYPART_NEXTSIBL
(5,9),(5,27),-1.21384 # DEPENDENCYPART_NEXTSIBL
(5,9),(5,30),-1.09969 # DEPENDENCYPART_NEXTSIBL
(5,9),(5,35),-1.60829 # DEPENDENCYPART_NEXTSIBL
(5,9),(5,42),-1.66272 # DEPENDENCYPART_NEXTSIBL
(5,9),(5,43),-0.634845 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,10),(5,11),-1.1431 # DEPENDENCYPART_NEXTSIBL
(5,10),(5,12),-1.09382 # DEPENDENCYPART_NEXTSIBL
(5,10),(5,13),-1.29097 # DEPENDENCYPART_NEXTSIBL
(5,10),(5,14),-1.00474 # DEPENDENCYPART_NEXTSIBL
(5,10),(5,16),-1.13285 # DEPENDENCYPART_NEXTSIBL
(5,10),(5,23),-0.697045 # DEPENDENCYPART_NEXTSIBL
(5,10),(5,24),-0.992684 # DEPENDENCYPART_NEXTSIBL
(5,10),(5,25),-1.22655 # DEPENDENCYPART_NEXTSIBL
(5,10),(5,26),-1.25971 # DEPENDENCYPART_NEXTSIBL
(5,10),(5,27),-0.984798 # DEPENDENCYPART_NEXTSIBL
(5,10),(5,30),-1.01238 # DEPENDENCYPART_NEXTSIBL
(5,10),(5,35),-1.4967 # DEPENDENCYPART_NEXTSIBL
(5,10),(5,42),-1.2737 # DEPENDENCYPART_NEXTSIBL
(5,10),(5,43),-0.404991 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,11),(5,12),-1.03504 # DEPENDENCYPART_NEXTSIBL
(5,11),(5,13),-1.08902 # DEPENDENCYPART_NEXTSIBL
(5,11),(5,14),-0.392181 # DEPENDENCYPART_NEXTSIBL
(5,11),(5,16),-0.838302 # DEPENDENCYPART_NEXTSIBL
(5,11),(5,23),-0.0823471 # DEPENDENCYPART_NEXTSIBL
(5,11),(5,24),-0.942116 # DEPENDENCYPART_NEXTSIBL
(5,11),(5,25),-0.868035 # DEPENDENCYPART_NEXTSIBL
(5,11),(5,26),-0.863259 # DEPENDENCYPART_NEXTSIBL
(5,11),(5,27),-0.965312 # DEPENDENCYPART_NEXTSIBL
(5,11),(5,30),-1.0023 # DEPENDENCYPART_NEXTSIBL
(5,11),(5,35),-1.15475 # DEPENDENCYPART_NEXTSIBL
(5,11),(5,42),-1.85445 # DEPENDENCYPART_NEXTSIBL
(5,11),(5,43),-0.831172 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,12),(5,13),-0.981758 # DEPENDENCYPART_NEXTSIBL
(5,12),(5,14),-1.04747 # DEPENDENCYPART_NEXTSIBL
(5,12),(5,16),-1.13013 # DEPENDENCYPART_NEXTSIBL
(5,12),(5,23),-0.835285 # DEPENDENCYPART_NEXTSIBL
(5,12),(5,24),-0.952585 # DEPENDENCYPART_NEXTSIBL
(5,12),(5,25),-1.19015 # DEPENDENCYPART_NEXTSIBL
(5,12),(5,26),-1.26281 # DEPENDENCYPART_NEXTSIBL
(5,12),(5,27),-0.986864 # DEPENDENCYPART_NEXTSIBL
(5,12),(5,30),-1.00393 # DEPENDENCYPART_NEXTSIBL
(5,12),(5,35),-1.43075 # DEPENDENCYPART_NEXTSIBL
(5,12),(5,42),-1.29274 # DEPENDENCYPART_NEXTSIBL
(5,12),(5,43),-0.789104 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,13),(5,14),-0.714233 # DEPENDENCYPART_NEXTSIBL
(5,13),(5,16),-0.905314 # DEPENDENCYPART_NEXTSIBL
(5,13),(5,23),-0.373462 # DEPENDENCYPART_NEXTSIBL
(5,13),(5,24),-0.760263 # DEPENDENCYPART_NEXTSIBL
(5,13),(5,25),-0.960869 # DEPENDENCYPART_NEXTSIBL
(5,13),(5,26),-0.972527 # DEPENDENCYPART_NEXTSIBL
(5,13),(5,27),-0.82976 # DEPENDENCYPART_NEXTSIBL
(5,13),(5,30),-0.764304 # DEPENDENCYPART_NEXTSIBL
(5,13),(5,35),-1.13798 # DEPENDENCYPART_NEXTSIBL
(5,13),(5,42),-0.904044 # DEPENDENCYPART_NEXTSIBL
(5,13),(5,43),-0.880808 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,14),(5,16),-0.15385 # DEPENDENCYPART_NEXTSIBL
(5,14),(5,23),-1.44324 # DEPENDENCYPART_NEXTSIBL
(5,14),(5,24),-0.588903 # DEPENDENCYPART_NEXTSIBL
(5,14),(5,25),-0.598052 # DEPENDENCYPART_NEXTSIBL
(5,14),(5,26),-0.91077 # DEPENDENCYPART_NEXTSIBL
(5,14),(5,27),-0.829485 # DEPENDENCYPART_NEXTSIBL
(5,14),(5,30),-0.822161 # DEPENDENCYPART_NEXTSIBL
(5,14),(5,35),-1.52956 # DEPENDENCYPART_NEXTSIBL
(5,14),(5,42),-1.47087 # DEPENDENCYPART_NEXTSIBL
(5,14),(5,43),-1.33408 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,16),(5,23),-0.772319 # DEPENDENCYPART_NEXTSIBL
(5,16),(5,24),-0.772809 # DEPENDENCYPART_NEXTSIBL
(5,16),(5,25),-1.20767 # DEPENDENCYPART_NEXTSIBL
(5,16),(5,26),-1.25344 # DEPENDENCYPART_NEXTSIBL
(5,16),(5,27),-1.03304 # DEPENDENCYPART_NEXTSIBL
(5,16),(5,30),-0.84117 # DEPENDENCYPART_NEXTSIBL
(5,16),(5,35),-1.1824 # DEPENDENCYPART_NEXTSIBL
(5,16),(5,42),-1.26585 # DEPENDENCYPART_NEXTSIBL
(5,16),(5,43),-0.990249 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,23),(5,24),-0.184725 # DEPENDENCYPART_NEXTSIBL
(5,23),(5,25),-0.410761 # DEPENDENCYPART_NEXTSIBL
(5,23),(5,26),-0.779284 # DEPENDENCYPART_NEXTSIBL
(5,23),(5,27),-0.591333 # DEPENDENCYPART_NEXTSIBL
(5,23),(5,30),-0.539674 # DEPENDENCYPART_NEXTSIBL
(5,23),(5,35),-1.14951 # DEPENDENCYPART_NEXTSIBL
(5,23),(5,42),-1.26535 # DEPENDENCYPART_NEXTSIBL
(5,23),(5,43),-0.805738 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,24),(5,25),-0.577845 # DEPENDENCYPART_NEXTSIBL
(5,24),(5,26),-0.70369 # DEPENDENCYPART_NEXTSIBL
(5,24),(5,27),-0.660125 # DEPENDENCYPART_NEXTSIBL
(5,24),(5,30),-0.552166 # DEPENDENCYPART_NEXTSIBL
(5,24),(5,35),-0.475361 # DEPENDENCYPART_NEXTSIBL
(5,24),(5,42),0.309739 # DEPENDENCYPART_NEXTSIBL
(5,24),(5,43),0.105946 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,25),(5,26),-0.367464 # DEPENDENCYPART_NEXTSIBL
(5,25),(5,27),-0.232974 # DEPENDENCYPART_NEXTSIBL
(5,25),(5,30),-0.38295 # DEPENDENCYPART_NEXTSIBL
(5,25),(5,35),-1.04128 # DEPENDENCYPART_NEXTSIBL
(5,25),(5,42),-1.42515 # DEPENDENCYPART_NEXTSIBL
(5,25),(5,43),-1.34329 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,26),(5,27),-0.416771 # DEPENDENCYPART_NEXTSIBL
(5,26),(5,30),-0.748026 # DEPENDENCYPART_NEXTSIBL
(5,26),(5,35),-0.978661 # DEPENDENCYPART_NEXTSIBL
(5,26),(5,42),-0.981682 # DEPENDENCYPART_NEXTSIBL
(5,26),(5,43),-0.668179 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,27),(5,30),-0.71463 # DEPENDENCYPART_NEXTSIBL
(5,27),(5,35),-0.482127 # DEPENDENCYPART_NEXTSIBL
(5,27),(5,42),0.278015 # DEPENDENCYPART_NEXTSIBL
(5,27),(5,43),-0.498999 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,30),(5,35),-0.581309 # DEPENDENCYPART_NEXTSIBL
(5,30),(5,42),0.300026 # DEPENDENCYPART_NEXTSIBL
(5,30),(5,43),0.149912 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,35),(5,42),-1.40102 # DEPENDENCYPART_NEXTSIBL
(5,35),(5,43),-1.61315 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,42),(5,43),-2.52243 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,5),(5,4),-0.451146 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,3),-0.399993 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,2),-0.296172 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,1),-0.287385 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,-1),-0.760238 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(5,4),(5,3),-0.573272 # DEPENDENCYPART_NEXTSIBL
(5,4),(5,2),-0.639253 # DEPENDENCYPART_NEXTSIBL
(5,4),(5,1),-0.812336 # DEPENDENCYPART_NEXTSIBL
(5,4),(5,-1),-0.514825 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,3),(5,2),-0.467866 # DEPENDENCYPART_NEXTSIBL
(5,3),(5,1),-0.693326 # DEPENDENCYPART_NEXTSIBL
(5,3),(5,-1),-0.683586 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,2),(5,1),-0.408827 # DEPENDENCYPART_NEXTSIBL
(5,2),(5,-1),-0.64408 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,1),(5,-1),-0.539452 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,6),(6,7),-0.588166 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,8),-1.1082 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,10),-0.350983 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,11),-0.281269 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,43),-0.43452 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(6,7),(6,8),-0.420445 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,10),-0.795602 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,11),-0.59285 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,43),-0.675918 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,8),(6,10),-0.930573 # DEPENDENCYPART_NEXTSIBL
(6,8),(6,11),-0.961417 # DEPENDENCYPART_NEXTSIBL
(6,8),(6,43),-0.700509 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,10),(6,11),-1.22305 # DEPENDENCYPART_NEXTSIBL
(6,10),(6,43),-0.452408 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,11),(6,43),-0.806578 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,6),(6,5),-0.557077 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,4),-0.532113 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,-1),-0.515627 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(6,5),(6,4),-0.530318 # DEPENDENCYPART_NEXTSIBL
(6,5),(6,-1),-0.999497 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,4),(6,-1),-0.432873 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,7),(7,8),-1.10558 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,9),-0.498662 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,10),-0.333958 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,11),-0.281514 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,12),-0.599021 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,13),-0.468756 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,14),-0.572568 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,18),-0.115249 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,22),-0.259048 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,23),-1.14502 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,24),-0.0525343 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,43),-0.487666 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(7,8),(7,9),-1.01949 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,10),-0.921226 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,11),-0.960729 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,12),-0.908618 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,13),-0.844124 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,14),-0.585254 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,18),-0.988623 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,22),-0.77518 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,23),-0.792912 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,24),-0.956551 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,43),-0.697702 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,9),(7,10),-1.16966 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,11),-1.33246 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,12),-1.46688 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,13),-1.47573 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,14),-0.870944 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,18),-0.945947 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,22),-1.55069 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,23),-0.682589 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,24),-1.07913 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,43),-0.6578 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,10),(7,11),-1.21488 # DEPENDENCYPART_NEXTSIBL
(7,10),(7,12),-1.16945 # DEPENDENCYPART_NEXTSIBL
(7,10),(7,13),-1.36661 # DEPENDENCYPART_NEXTSIBL
(7,10),(7,14),-0.721003 # DEPENDENCYPART_NEXTSIBL
(7,10),(7,18),-0.673306 # DEPENDENCYPART_NEXTSIBL
(7,10),(7,22),-1.45354 # DEPENDENCYPART_NEXTSIBL
(7,10),(7,23),-0.413313 # DEPENDENCYPART_NEXTSIBL
(7,10),(7,24),-0.954168 # DEPENDENCYPART_NEXTSIBL
(7,10),(7,43),-0.430207 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,11),(7,12),-1.08192 # DEPENDENCYPART_NEXTSIBL
(7,11),(7,13),-1.1359 # DEPENDENCYPART_NEXTSIBL
(7,11),(7,14),-0.206655 # DEPENDENCYPART_NEXTSIBL
(7,11),(7,18),-0.733627 # DEPENDENCYPART_NEXTSIBL
(7,11),(7,22),-1.14514 # DEPENDENCYPART_NEXTSIBL
(7,11),(7,23),0.103179 # DEPENDENCYPART_NEXTSIBL
(7,11),(7,24),-0.909247 # DEPENDENCYPART_NEXTSIBL
(7,11),(7,43),-0.807167 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,12),(7,13),-1.05753 # DEPENDENCYPART_NEXTSIBL
(7,12),(7,14),-0.763875 # DEPENDENCYPART_NEXTSIBL
(7,12),(7,18),-0.867201 # DEPENDENCYPART_NEXTSIBL
(7,12),(7,22),-1.35449 # DEPENDENCYPART_NEXTSIBL
(7,12),(7,23),-0.551688 # DEPENDENCYPART_NEXTSIBL
(7,12),(7,24),-0.914203 # DEPENDENCYPART_NEXTSIBL
(7,12),(7,43),-0.814726 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,13),(7,14),-0.430638 # DEPENDENCYPART_NEXTSIBL
(7,13),(7,18),-0.656562 # DEPENDENCYPART_NEXTSIBL
(7,13),(7,22),-1.1404 # DEPENDENCYPART_NEXTSIBL
(7,13),(7,23),-0.0898668 # DEPENDENCYPART_NEXTSIBL
(7,13),(7,24),-0.721883 # DEPENDENCYPART_NEXTSIBL
(7,13),(7,43),-0.906436 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,14),(7,18),-0.367429 # DEPENDENCYPART_NEXTSIBL
(7,14),(7,22),0.417169 # DEPENDENCYPART_NEXTSIBL
(7,14),(7,23),-1.35761 # DEPENDENCYPART_NEXTSIBL
(7,14),(7,24),-0.442316 # DEPENDENCYPART_NEXTSIBL
(7,14),(7,43),-1.18958 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,18),(7,22),-0.544794 # DEPENDENCYPART_NEXTSIBL
(7,18),(7,23),-0.289602 # DEPENDENCYPART_NEXTSIBL
(7,18),(7,24),-0.489424 # DEPENDENCYPART_NEXTSIBL
(7,18),(7,43),-0.374049 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,22),(7,23),-0.0311483 # DEPENDENCYPART_NEXTSIBL
