# _root_ Tuesday 's notable losers were highpriced shares such as Pioneer , which shed 210 yen to 5,900 yen .
#goldHeads=4,1,4,5,0,7,5,9,7,9,10,13,10,15,13,13,18,16,5,
#predictedHeads=4,1,4,5,0,7,5,9,7,9,10,13,10,15,13,13,18,16,5,
(5,5),(5,9),-0.291429 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,10),-0.444865 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,11),-0.885241 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,13),-0.300731 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,15),0.37393 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,16),-0.810003 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,18),0.437869 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,19),-1.19173 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,20),-0.776266 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(5,6),(5,7),-0.819986 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,8),-0.932863 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,9),-0.990019 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,10),-1.05657 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,11),-0.64796 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,13),-0.789797 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,15),-1.23498 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,16),-0.804016 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,18),-1.30397 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,19),-0.812541 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,20),-0.784602 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,7),(5,8),-0.690618 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,9),-0.699802 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,10),-0.937816 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,11),-0.767564 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,13),-0.821647 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,15),-1.03005 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,16),-0.7052 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,18),-1.09927 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,19),-0.622812 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,20),-0.874583 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,8),(5,9),-0.665962 # DEPENDENCYPART_NEXTSIBL
(5,8),(5,10),-0.664826 # DEPENDENCYPART_NEXTSIBL
(5,8),(5,11),-0.366921 # DEPENDENCYPART_NEXTSIBL
(5,8),(5,13),-0.551458 # DEPENDENCYPART_NEXTSIBL
(5,8),(5,15),-0.977913 # DEPENDENCYPART_NEXTSIBL
(5,8),(5,16),-0.504627 # DEPENDENCYPART_NEXTSIBL
(5,8),(5,18),-1.04374 # DEPENDENCYPART_NEXTSIBL
(5,8),(5,19),-0.509077 # DEPENDENCYPART_NEXTSIBL
(5,8),(5,20),-0.577006 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,9),(5,10),-0.910638 # DEPENDENCYPART_NEXTSIBL
(5,9),(5,11),-0.626154 # DEPENDENCYPART_NEXTSIBL
(5,9),(5,13),-0.860049 # DEPENDENCYPART_NEXTSIBL
(5,9),(5,15),-1.06183 # DEPENDENCYPART_NEXTSIBL
(5,9),(5,16),-0.949004 # DEPENDENCYPART_NEXTSIBL
(5,9),(5,18),-0.977014 # DEPENDENCYPART_NEXTSIBL
(5,9),(5,19),-0.450373 # DEPENDENCYPART_NEXTSIBL
(5,9),(5,20),-0.608504 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,10),(5,11),-0.753947 # DEPENDENCYPART_NEXTSIBL
(5,10),(5,13),-1.06333 # DEPENDENCYPART_NEXTSIBL
(5,10),(5,15),-1.26317 # DEPENDENCYPART_NEXTSIBL
(5,10),(5,16),-0.934856 # DEPENDENCYPART_NEXTSIBL
(5,10),(5,18),-1.34859 # DEPENDENCYPART_NEXTSIBL
(5,10),(5,19),-0.429363 # DEPENDENCYPART_NEXTSIBL
(5,10),(5,20),-0.572655 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,11),(5,13),0.513612 # DEPENDENCYPART_NEXTSIBL
(5,11),(5,15),-0.614136 # DEPENDENCYPART_NEXTSIBL
(5,11),(5,16),-0.286584 # DEPENDENCYPART_NEXTSIBL
(5,11),(5,18),-0.631914 # DEPENDENCYPART_NEXTSIBL
(5,11),(5,19),-0.589725 # DEPENDENCYPART_NEXTSIBL
(5,11),(5,20),-1.23291 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,13),(5,15),-0.683817 # DEPENDENCYPART_NEXTSIBL
(5,13),(5,16),-0.717506 # DEPENDENCYPART_NEXTSIBL
(5,13),(5,18),-0.664409 # DEPENDENCYPART_NEXTSIBL
(5,13),(5,19),0.268096 # DEPENDENCYPART_NEXTSIBL
(5,13),(5,20),-0.735556 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,15),(5,16),-0.462672 # DEPENDENCYPART_NEXTSIBL
(5,15),(5,18),-0.794821 # DEPENDENCYPART_NEXTSIBL
(5,15),(5,19),-0.557277 # DEPENDENCYPART_NEXTSIBL
(5,15),(5,20),-1.00411 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,16),(5,18),-0.799906 # DEPENDENCYPART_NEXTSIBL
(5,16),(5,19),-0.369557 # DEPENDENCYPART_NEXTSIBL
(5,16),(5,20),-0.602654 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,18),(5,19),-0.515263 # DEPENDENCYPART_NEXTSIBL
(5,18),(5,20),-1.00613 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,19),(5,20),-1.37586 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,5),(5,4),-0.176681 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,3),-0.377971 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,1),-0.531401 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,-1),-0.750325 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(5,4),(5,3),-0.295273 # DEPENDENCYPART_NEXTSIBL
(5,4),(5,1),-0.754719 # DEPENDENCYPART_NEXTSIBL
(5,4),(5,-1),-0.761468 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,3),(5,1),-0.555411 # DEPENDENCYPART_NEXTSIBL
(5,3),(5,-1),-0.855698 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,1),(5,-1),-0.07491 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,6),(6,7),-0.511328 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,8),-0.290926 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,9),-0.0959801 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,10),-0.599507 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,13),-0.372914 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,20),-0.417087 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(6,7),(6,8),-0.716522 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,9),-0.672791 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,10),-1.06037 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,13),-0.815602 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,20),-0.917387 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,8),(6,9),-0.602107 # DEPENDENCYPART_NEXTSIBL
(6,8),(6,10),-0.687405 # DEPENDENCYPART_NEXTSIBL
(6,8),(6,13),-0.533857 # DEPENDENCYPART_NEXTSIBL
(6,8),(6,20),-0.668338 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,9),(6,10),-0.83678 # DEPENDENCYPART_NEXTSIBL
(6,9),(6,13),-0.715985 # DEPENDENCYPART_NEXTSIBL
(6,9),(6,20),-0.577276 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,10),(6,13),-1.06682 # DEPENDENCYPART_NEXTSIBL
(6,10),(6,20),-0.641284 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,13),(6,20),-0.836371 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,6),(6,4),-0.396369 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,3),-0.396617 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,-1),-0.472734 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(6,4),(6,3),-0.19793 # DEPENDENCYPART_NEXTSIBL
(6,4),(6,-1),-0.660869 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,3),(6,-1),-0.761631 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,7),(7,8),-0.3498 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,9),-0.113353 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,10),-0.637487 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,11),-0.697958 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,13),-0.279668 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,14),-0.198936 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,15),0.187578 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,16),-0.748378 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,17),-0.179932 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,18),0.251517 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,19),-0.875852 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,20),-0.444593 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(7,8),(7,9),-0.662041 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,10),-0.666089 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,11),-0.253033 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,13),-0.523366 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,14),-0.677598 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,15),-0.975335 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,16),-0.52469 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,17),-0.671309 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,18),-1.04116 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,19),-0.537637 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,20),-0.679941 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,9),(7,10),-0.842324 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,11),-0.536268 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,13),-0.704215 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,14),-0.984564 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,15),-0.989671 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,16),-0.852174 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,17),-1.00399 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,18),-0.904858 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,19),-0.395784 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,20),-0.531345 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,10),(7,11),-0.424676 # DEPENDENCYPART_NEXTSIBL
(7,10),(7,13),-1.01841 # DEPENDENCYPART_NEXTSIBL
(7,10),(7,14),-1.08736 # DEPENDENCYPART_NEXTSIBL
(7,10),(7,15),-1.30177 # DEPENDENCYPART_NEXTSIBL
(7,10),(7,16),-0.98778 # DEPENDENCYPART_NEXTSIBL
(7,10),(7,17),-1.08775 # DEPENDENCYPART_NEXTSIBL
(7,10),(7,18),-1.3872 # DEPENDENCYPART_NEXTSIBL
(7,10),(7,19),-0.368218 # DEPENDENCYPART_NEXTSIBL
(7,10),(7,20),-0.568454 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,11),(7,13),0.669804 # DEPENDENCYPART_NEXTSIBL
(7,11),(7,14),-0.00238749 # DEPENDENCYPART_NEXTSIBL
(7,11),(7,15),-0.255506 # DEPENDENCYPART_NEXTSIBL
(7,11),(7,16),-0.257861 # DEPENDENCYPART_NEXTSIBL
(7,11),(7,17),-0.0134614 # DEPENDENCYPART_NEXTSIBL
(7,11),(7,18),-0.273285 # DEPENDENCYPART_NEXTSIBL
(7,11),(7,19),-0.464674 # DEPENDENCYPART_NEXTSIBL
(7,11),(7,20),-1.0718 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,13),(7,14),-0.60725 # DEPENDENCYPART_NEXTSIBL
(7,13),(7,15),-0.645928 # DEPENDENCYPART_NEXTSIBL
(7,13),(7,16),-0.669046 # DEPENDENCYPART_NEXTSIBL
(7,13),(7,17),-0.565823 # DEPENDENCYPART_NEXTSIBL
(7,13),(7,18),-0.62652 # DEPENDENCYPART_NEXTSIBL
(7,13),(7,19),0.263628 # DEPENDENCYPART_NEXTSIBL
(7,13),(7,20),-0.800927 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,14),(7,15),-0.648746 # DEPENDENCYPART_NEXTSIBL
(7,14),(7,16),-0.774005 # DEPENDENCYPART_NEXTSIBL
(7,14),(7,17),-0.757098 # DEPENDENCYPART_NEXTSIBL
(7,14),(7,18),-0.873699 # DEPENDENCYPART_NEXTSIBL
(7,14),(7,19),-0.848972 # DEPENDENCYPART_NEXTSIBL
(7,14),(7,20),-0.640034 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,15),(7,16),-0.511657 # DEPENDENCYPART_NEXTSIBL
(7,15),(7,17),-0.686334 # DEPENDENCYPART_NEXTSIBL
(7,15),(7,18),-0.828885 # DEPENDENCYPART_NEXTSIBL
(7,15),(7,19),-0.49015 # DEPENDENCYPART_NEXTSIBL
(7,15),(7,20),-0.995402 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,16),(7,17),-0.154716 # DEPENDENCYPART_NEXTSIBL
(7,16),(7,18),-0.815326 # DEPENDENCYPART_NEXTSIBL
(7,16),(7,19),-0.371554 # DEPENDENCYPART_NEXTSIBL
(7,16),(7,20),-0.682204 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,17),(7,18),-0.754535 # DEPENDENCYPART_NEXTSIBL
(7,17),(7,19),-0.991758 # DEPENDENCYPART_NEXTSIBL
(7,17),(7,20),-0.697746 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,18),(7,19),-0.448136 # DEPENDENCYPART_NEXTSIBL
(7,18),(7,20),-0.997421 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,19),(7,20),-1.3366 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,7),(7,6),-0.379679 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,5),-0.192781 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,4),-0.329225 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,3),-0.350453 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,1),-0.671613 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,-1),-0.581815 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(7,6),(7,5),-0.470335 # DEPENDENCYPART_NEXTSIBL
(7,6),(7,4),-0.746359 # DEPENDENCYPART_NEXTSIBL
(7,6),(7,3),-0.948291 # DEPENDENCYPART_NEXTSIBL
(7,6),(7,1),-0.898796 # DEPENDENCYPART_NEXTSIBL
(7,6),(7,-1),-0.846873 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,5),(7,4),-0.181939 # DEPENDENCYPART_NEXTSIBL
(7,5),(7,3),-0.476431 # DEPENDENCYPART_NEXTSIBL
(7,5),(7,1),-0.585704 # DEPENDENCYPART_NEXTSIBL
(7,5),(7,-1),-0.811163 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,4),(7,3),-0.114993 # DEPENDENCYPART_NEXTSIBL
(7,4),(7,1),-0.558023 # DEPENDENCYPART_NEXTSIBL
(7,4),(7,-1),-0.681702 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,3),(7,1),-0.400906 # DEPENDENCYPART_NEXTSIBL
(7,3),(7,-1),-0.75321 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,1),(7,-1),0.0233097 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,8),(8,9),-0.164727 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,10),-0.603137 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,11),-0.947538 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,13),-0.377085 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,15),0.225637 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,18),0.289576 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,20),-0.35725 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(8,9),(8,10),-0.845751 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,11),-0.655797 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,13),-0.747434 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,15),-0.992204 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,18),-0.907391 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,20),-0.663869 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,10),(8,11),-0.657102 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,13),-1.06511 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,15),-1.37331 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,18),-1.45874 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,20),-0.629526 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,11),(8,13),0.505992 # DEPENDENCYPART_NEXTSIBL
(8,11),(8,15),-0.515921 # DEPENDENCYPART_NEXTSIBL
(8,11),(8,18),-0.5337 # DEPENDENCYPART_NEXTSIBL
(8,11),(8,20),-1.1841 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,13),(8,15),-0.684263 # DEPENDENCYPART_NEXTSIBL
(8,13),(8,18),-0.664856 # DEPENDENCYPART_NEXTSIBL
(8,13),(8,20),-0.842445 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,15),(8,18),-0.899515 # DEPENDENCYPART_NEXTSIBL
(8,15),(8,20),-1.05789 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,18),(8,20),-1.05991 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,8),(8,7),-0.610486 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,6),-0.434436 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,4),-0.407641 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,3),-0.40521 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,-1),-0.417297 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(8,7),(8,6),-0.522754 # DEPENDENCYPART_NEXTSIBL
(8,7),(8,4),-1.15544 # DEPENDENCYPART_NEXTSIBL
(8,7),(8,3),-1.01468 # DEPENDENCYPART_NEXTSIBL
(8,7),(8,-1),-0.889896 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,6),(8,4),-0.823069 # DEPENDENCYPART_NEXTSIBL
(8,6),(8,3),-1.01916 # DEPENDENCYPART_NEXTSIBL
(8,6),(8,-1),-0.866101 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,4),(8,3),-0.207243 # DEPENDENCYPART_NEXTSIBL
(8,4),(8,-1),-0.674918 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,3),(8,-1),-0.772438 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,9),(9,10),-0.592032 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,11),-0.994508 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,13),-0.364437 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,14),-0.13553 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,15),0.248756 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,16),-0.765908 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,20),-0.653402 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(9,10),(9,11),-0.667748 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,13),-1.1385 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,14),-1.11245 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,15),-1.48445 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,16),-1.00901 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,20),-0.522519 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,11),(9,13),0.46817 # DEPENDENCYPART_NEXTSIBL
(9,11),(9,14),-0.139017 # DEPENDENCYPART_NEXTSIBL
(9,11),(9,15),-0.595875 # DEPENDENCYPART_NEXTSIBL
(9,11),(9,16),-0.305425 # DEPENDENCYPART_NEXTSIBL
(9,11),(9,20),-1.10692 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,13),(9,14),-0.611787 # DEPENDENCYPART_NEXTSIBL
(9,13),(9,15),-0.748025 # DEPENDENCYPART_NEXTSIBL
(9,13),(9,16),-0.720581 # DEPENDENCYPART_NEXTSIBL
(9,13),(9,20),-0.918996 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,14),(9,15),-0.625468 # DEPENDENCYPART_NEXTSIBL
(9,14),(9,16),-0.743463 # DEPENDENCYPART_NEXTSIBL
(9,14),(9,20),-0.527676 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,15),(9,16),-0.528149 # DEPENDENCYPART_NEXTSIBL
(9,15),(9,20),-0.954488 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,16),(9,20),-0.739673 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,9),(9,8),0.0986106 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,7),-0.534898 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,-1),-0.335767 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(9,8),(9,7),-0.557744 # DEPENDENCYPART_NEXTSIBL
(9,8),(9,-1),-0.208281 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,7),(9,-1),-0.926748 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,10),(10,11),-0.785552 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,13),-0.281478 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,14),-0.208987 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,15),0.170999 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,18),0.234938 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,19),-0.860048 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,20),-0.411572 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(10,11),(10,13),0.648673 # DEPENDENCYPART_NEXTSIBL
(10,11),(10,14),-0.0256562 # DEPENDENCYPART_NEXTSIBL
(10,11),(10,15),-0.271358 # DEPENDENCYPART_NEXTSIBL
(10,11),(10,18),-0.289137 # DEPENDENCYPART_NEXTSIBL
(10,11),(10,19),-0.476798 # DEPENDENCYPART_NEXTSIBL
(10,11),(10,20),-1.07985 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,13),(10,14),-0.612082 # DEPENDENCYPART_NEXTSIBL
(10,13),(10,15),-0.650513 # DEPENDENCYPART_NEXTSIBL
(10,13),(10,18),-0.631106 # DEPENDENCYPART_NEXTSIBL
(10,13),(10,19),0.272632 # DEPENDENCYPART_NEXTSIBL
(10,13),(10,20),-0.80532 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,14),(10,15),-0.657913 # DEPENDENCYPART_NEXTSIBL
(10,14),(10,18),-0.882865 # DEPENDENCYPART_NEXTSIBL
(10,14),(10,19),-0.845978 # DEPENDENCYPART_NEXTSIBL
(10,14),(10,20),-0.65524 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,15),(10,18),-0.838059 # DEPENDENCYPART_NEXTSIBL
(10,15),(10,19),-0.486809 # DEPENDENCYPART_NEXTSIBL
(10,15),(10,20),-1.021 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,18),(10,19),-0.444795 # DEPENDENCYPART_NEXTSIBL
(10,18),(10,20),-1.02302 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,19),(10,20),-1.31764 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,10),(10,9),-0.110674 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,8),-0.12144 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,7),-0.514628 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,6),-0.407788 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,1),-0.639894 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,-1),-0.482792 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(10,9),(10,8),-0.590119 # DEPENDENCYPART_NEXTSIBL
(10,9),(10,7),-0.875577 # DEPENDENCYPART_NEXTSIBL
(10,9),(10,6),-0.910316 # DEPENDENCYPART_NEXTSIBL
(10,9),(10,1),-1.0793 # DEPENDENCYPART_NEXTSIBL
(10,9),(10,-1),-0.407195 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,8),(10,7),-0.566513 # DEPENDENCYPART_NEXTSIBL
(10,8),(10,6),-0.673447 # DEPENDENCYPART_NEXTSIBL
(10,8),(10,1),-0.922669 # DEPENDENCYPART_NEXTSIBL
(10,8),(10,-1),-0.387202 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,7),(10,6),-0.431769 # DEPENDENCYPART_NEXTSIBL
(10,7),(10,1),-1.00393 # DEPENDENCYPART_NEXTSIBL
(10,7),(10,-1),-0.849784 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,6),(10,1),-0.899709 # DEPENDENCYPART_NEXTSIBL
(10,6),(10,-1),-0.856072 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,1),(10,-1),0.0786246 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,11),(11,20),-0.22327 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(11,11),(11,-1),-0.315734 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(12,12),(12,20),-0.447571 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(12,12),(12,-1),-0.450547 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
