# _root_ On the other hand , so long as Mr. Gorbachev is easing his grip on his empire , everyone we 've heard agrees that the U.S. can benefit by engaging him .
#goldHeads=23,4,4,1,23,23,6,11,10,11,6,11,14,12,14,17,15,23,23,21,19,21,0,27,26,27,23,27,28,29,30,23,
#predictedHeads=23,4,4,1,23,11,6,11,10,11,23,11,14,12,14,17,15,23,23,21,19,21,0,27,26,27,23,27,28,29,30,23,
(0,21),(21,24),(21,28),-0.0471232 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,24),(21,29),-0.0242439 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,24),(21,30),-0.0471232 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,24),(21,32),0.0942968 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,24),(21,33),-0.0576215 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,21),(21,25),(21,26),-0.000291251 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,25),(21,27),-0.019672 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,25),(21,28),0.00448173 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,25),(21,29),-0.0254688 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,25),(21,30),0.00448173 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,25),(21,32),-0.0167013 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,25),(21,33),-0.0273276 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,21),(21,26),(21,27),-0.060715 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,26),(21,28),0.00448042 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,26),(21,29),0.0610441 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,26),(21,30),0.00448042 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,26),(21,32),0.052096 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,26),(21,33),-0.0753363 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,21),(21,27),(21,28),-0.0272767 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,27),(21,29),-0.0279435 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,27),(21,30),-0.0272767 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,27),(21,32),-0.025499 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,27),(21,33),-0.0520667 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,21),(21,28),(21,29),0.0440045 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,28),(21,30),-0.0475027 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,28),(21,32),-0.0280293 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,28),(21,33),-0.0608417 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,21),(21,29),(21,30),-0.0571056 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,29),(21,32),0.0964451 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,29),(21,33),-0.0586712 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,21),(21,30),(21,32),-0.0282627 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,30),(21,33),-0.0608417 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,21),(21,32),(21,33),0.174923 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,21),(21,21),(21,20),0.196888 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,21),(21,21),(21,19),0.323583 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,21),(21,21),(21,18),0.115111 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,21),(21,21),(21,17),0.320195 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,21),(21,21),(21,15),0.161009 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,21),(21,21),(21,14),0.320195 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,21),(21,21),(21,12),0.0557356 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,21),(21,21),(21,11),0.0572771 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,21),(21,21),(21,8),0.170605 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,21),(21,21),(21,7),0.185838 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,21),(21,21),(21,6),0.200778 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,21),(21,21),(21,5),0.115111 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,21),(21,21),(21,4),0.319974 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,21),(21,21),(21,3),0.223212 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,21),(21,21),(21,1),0.161009 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,21),(21,21),(21,-1),-0.633935 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,21),(21,20),(21,19),0.11451 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,20),(21,18),0.0542287 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,20),(21,17),0.11451 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,20),(21,15),0.0932661 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,20),(21,14),0.11451 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,20),(21,12),0.124223 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,20),(21,11),0.122972 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,20),(21,8),0.0883849 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,20),(21,7),0.128532 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,20),(21,6),0.133518 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,20),(21,5),0.0542287 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,20),(21,4),0.11451 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,20),(21,3),0.105249 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,20),(21,1),0.0932661 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,20),(21,-1),-0.12261 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,21),(21,19),(21,18),0.282906 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,19),(21,17),0.105898 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,19),(21,15),-0.067704 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,19),(21,14),0.105898 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,19),(21,12),0.12175 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,19),(21,11),0.111289 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,19),(21,8),-0.105265 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,19),(21,7),0.102139 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,19),(21,6),0.119018 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,19),(21,5),0.282906 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,19),(21,4),0.105898 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,19),(21,3),0.0903749 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,19),(21,1),-0.067704 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,19),(21,-1),0.0749971 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,21),(21,18),(21,17),0.101228 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,18),(21,15),0.307741 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,18),(21,14),0.101228 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,18),(21,12),0.0849753 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,18),(21,11),0.0852402 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,18),(21,8),0.301458 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,18),(21,7),0.154473 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,18),(21,6),0.138606 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,18),(21,5),0.072063 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,18),(21,4),0.101226 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,18),(21,3),0.13807 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,18),(21,1),0.307741 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,18),(21,-1),-0.349652 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,21),(21,17),(21,15),-0.067704 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,17),(21,14),0.105898 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,17),(21,12),0.12175 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,17),(21,11),0.111289 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,17),(21,8),-0.105265 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,17),(21,7),0.109409 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,17),(21,6),0.126288 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,17),(21,5),0.282906 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,17),(21,4),0.105898 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,17),(21,3),0.0903749 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,17),(21,1),-0.067704 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,17),(21,-1),0.0646479 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,21),(21,15),(21,14),0.166436 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,15),(21,12),0.100636 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,15),(21,11),0.100417 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,15),(21,8),0.117154 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,15),(21,7),0.0645859 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,15),(21,6),0.0651208 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,15),(21,5),0.120041 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,15),(21,4),0.166436 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,15),(21,3),0.103305 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,15),(21,1),0.128158 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,15),(21,-1),-0.230289 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,21),(21,14),(21,12),0.12175 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,14),(21,11),0.111289 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,14),(21,8),-0.105265 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,14),(21,7),0.109409 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,14),(21,6),0.126288 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,14),(21,5),0.282906 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,14),(21,4),0.105898 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,14),(21,3),0.0903749 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,14),(21,1),-0.067704 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,14),(21,-1),0.0646479 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,21),(21,12),(21,11),0.1095 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,12),(21,8),0.099766 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,12),(21,7),0.126248 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,12),(21,6),0.121483 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,12),(21,5),0.069193 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,12),(21,4),0.0545848 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,12),(21,3),0.102971 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,12),(21,1),0.102998 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,12),(21,-1),-0.0582187 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,21),(21,11),(21,8),0.0963594 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,11),(21,7),0.125156 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,11),(21,6),0.120391 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,11),(21,5),0.0590497 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,11),(21,4),0.050647 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,11),(21,3),0.102865 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,11),(21,1),0.0995909 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,11),(21,-1),-0.0511959 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,21),(21,8),(21,7),0.0598382 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,8),(21,6),0.0603731 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,8),(21,5),0.107367 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,8),(21,4),0.165144 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,8),(21,3),0.103224 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,8),(21,1),0.123703 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,8),(21,-1),-0.263364 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,21),(21,7),(21,6),0.0910561 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,7),(21,5),0.10091 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,7),(21,4),0.159421 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,7),(21,3),0.111984 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,7),(21,1),0.104837 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,7),(21,-1),-0.173781 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,21),(21,6),(21,5),0.0995851 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,6),(21,4),0.161849 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,6),(21,3),0.111854 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,6),(21,1),0.104993 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,6),(21,-1),-0.157525 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,21),(21,5),(21,4),0.101226 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,5),(21,3),0.13807 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,5),(21,1),0.307741 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,5),(21,-1),-0.349652 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,21),(21,4),(21,3),0.0903749 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,4),(21,1),-0.0679751 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,4),(21,-1),0.0646941 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,21),(21,3),(21,1),0.106209 # DEPENDENCYPART_GRANDSIBL
(0,21),(21,3),(21,-1),-0.0596128 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,21),(21,1),(21,-1),-0.230289 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,22),(22,22),(22,23),-0.0454199 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,22),(22,22),(22,24),-0.183934 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,22),(22,22),(22,26),-0.027616 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,22),(22,22),(22,27),0.0352258 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,22),(22,22),(22,28),-0.0436921 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,22),(22,22),(22,29),-0.192487 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,22),(22,22),(22,30),-0.0454279 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,22),(22,22),(22,32),-0.111076 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,22),(22,22),(22,33),-0.195809 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,22),(22,23),(22,24),0.0392621 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,23),(22,26),-0.000573664 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,23),(22,27),-0.0386804 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,23),(22,28),-0.0467017 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,23),(22,29),0.0441481 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,23),(22,30),-0.0467017 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,23),(22,32),-0.0343755 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,23),(22,33),-0.0596388 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,22),(22,24),(22,26),-0.0067791 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,24),(22,27),-0.0043418 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,24),(22,28),-0.0471231 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,24),(22,29),-0.0242439 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,24),(22,30),-0.0471231 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,24),(22,32),0.0943274 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,24),(22,33),-0.0576215 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,22),(22,26),(22,27),-0.060715 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,26),(22,28),0.00486893 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,26),(22,29),0.0610509 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,26),(22,30),0.00486893 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,26),(22,32),0.0528385 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,26),(22,33),-0.0753363 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,22),(22,27),(22,28),-0.0272767 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,27),(22,29),-0.0279435 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,27),(22,30),-0.0272767 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,27),(22,32),-0.0262223 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,27),(22,33),-0.0520667 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,22),(22,28),(22,29),0.0441481 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,28),(22,30),-0.0467017 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,28),(22,32),-0.0341422 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,28),(22,33),-0.0596388 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,22),(22,29),(22,30),-0.0571055 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,29),(22,32),0.0964758 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,29),(22,33),-0.0586712 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,22),(22,30),(22,32),-0.0343755 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,30),(22,33),-0.0596388 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,22),(22,32),(22,33),0.171232 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,22),(22,22),(22,21),0.0550497 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,22),(22,22),(22,19),0.323629 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,22),(22,22),(22,18),0.115111 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,22),(22,22),(22,17),0.32024 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,22),(22,22),(22,15),0.161008 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,22),(22,22),(22,8),0.170605 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,22),(22,22),(22,-1),-0.633935 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,22),(22,21),(22,19),0.0546036 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,21),(22,18),0.069536 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,21),(22,17),0.0546036 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,21),(22,15),0.103147 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,21),(22,8),0.0999157 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,21),(22,-1),-0.0581565 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,22),(22,19),(22,18),0.283336 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,19),(22,17),0.105898 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,19),(22,15),-0.0669318 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,19),(22,8),-0.104493 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,19),(22,-1),0.0750131 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,22),(22,18),(22,17),0.101831 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,18),(22,15),0.30677 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,18),(22,8),0.300487 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,18),(22,-1),-0.349652 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,22),(22,17),(22,15),-0.0669318 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,17),(22,8),-0.104493 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,17),(22,-1),0.0646639 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,22),(22,15),(22,8),0.117154 # DEPENDENCYPART_GRANDSIBL
(0,22),(22,15),(22,-1),-0.229218 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,22),(22,8),(22,-1),-0.262293 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,23),(23,23),(23,24),-0.183934 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,23),(23,23),(23,25),-0.00587567 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,23),(23,23),(23,26),-0.0275781 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,23),(23,23),(23,27),0.0359262 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,23),(23,23),(23,28),-0.0453023 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,23),(23,23),(23,29),-0.192486 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,23),(23,23),(23,30),-0.0470381 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,23),(23,23),(23,32),-0.111076 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,23),(23,23),(23,33),-0.195809 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,23),(23,24),(23,25),-0.0194696 # DEPENDENCYPART_GRANDSIBL
(0,23),(23,24),(23,26),-0.0067791 # DEPENDENCYPART_GRANDSIBL
(0,23),(23,24),(23,27),-0.0043418 # DEPENDENCYPART_GRANDSIBL
(0,23),(23,24),(23,28),-0.0471231 # DEPENDENCYPART_GRANDSIBL
(0,23),(23,24),(23,29),-0.0242439 # DEPENDENCYPART_GRANDSIBL
(0,23),(23,24),(23,30),-0.0471231 # DEPENDENCYPART_GRANDSIBL
(0,23),(23,24),(23,32),0.0943278 # DEPENDENCYPART_GRANDSIBL
(0,23),(23,24),(23,33),-0.0576215 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,23),(23,25),(23,26),-0.000291251 # DEPENDENCYPART_GRANDSIBL
(0,23),(23,25),(23,27),-0.019672 # DEPENDENCYPART_GRANDSIBL
(0,23),(23,25),(23,28),0.00448173 # DEPENDENCYPART_GRANDSIBL
(0,23),(23,25),(23,29),-0.0254688 # DEPENDENCYPART_GRANDSIBL
(0,23),(23,25),(23,30),0.00448173 # DEPENDENCYPART_GRANDSIBL
(0,23),(23,25),(23,32),-0.0167013 # DEPENDENCYPART_GRANDSIBL
(0,23),(23,25),(23,33),-0.0273276 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,23),(23,26),(23,27),-0.060715 # DEPENDENCYPART_GRANDSIBL
(0,23),(23,26),(23,28),0.00490858 # DEPENDENCYPART_GRANDSIBL
(0,23),(23,26),(23,29),0.0610509 # DEPENDENCYPART_GRANDSIBL
(0,23),(23,26),(23,30),0.00490858 # DEPENDENCYPART_GRANDSIBL
(0,23),(23,26),(23,32),0.0528385 # DEPENDENCYPART_GRANDSIBL
(0,23),(23,26),(23,33),-0.075338 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,23),(23,27),(23,28),-0.0272767 # DEPENDENCYPART_GRANDSIBL
(0,23),(23,27),(23,29),-0.0279435 # DEPENDENCYPART_GRANDSIBL
(0,23),(23,27),(23,30),-0.0272767 # DEPENDENCYPART_GRANDSIBL
(0,23),(23,27),(23,32),-0.0255219 # DEPENDENCYPART_GRANDSIBL
(0,23),(23,27),(23,33),-0.0520667 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,23),(23,28),(23,29),0.0441481 # DEPENDENCYPART_GRANDSIBL
(0,23),(23,28),(23,30),-0.0467016 # DEPENDENCYPART_GRANDSIBL
(0,23),(23,28),(23,32),-0.0333508 # DEPENDENCYPART_GRANDSIBL
(0,23),(23,28),(23,33),-0.0596388 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,23),(23,29),(23,30),-0.0571055 # DEPENDENCYPART_GRANDSIBL
(0,23),(23,29),(23,32),0.0964761 # DEPENDENCYPART_GRANDSIBL
(0,23),(23,29),(23,33),-0.0586712 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,23),(23,30),(23,32),-0.0335842 # DEPENDENCYPART_GRANDSIBL
(0,23),(23,30),(23,33),-0.0596388 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,23),(23,32),(23,33),0.172169 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,23),(23,23),(23,22),0.0557502 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,23),(23,23),(23,21),0.0550497 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,23),(23,23),(23,20),0.187805 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,23),(23,23),(23,19),0.323862 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,23),(23,23),(23,18),0.115084 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,23),(23,23),(23,17),0.320473 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,23),(23,23),(23,15),0.161009 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,23),(23,23),(23,14),0.320473 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,23),(23,23),(23,12),0.0557502 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,23),(23,23),(23,11),0.0572916 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,23),(23,23),(23,8),0.170605 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,23),(23,23),(23,7),0.185838 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,23),(23,23),(23,6),0.200778 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,23),(23,23),(23,5),0.115084 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,23),(23,23),(23,4),0.320252 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,23),(23,23),(23,1),0.161009 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,23),(23,23),(23,-1),-0.633935 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,23),(23,22),(23,21),0.111473 # DEPENDENCYPART_GRANDSIBL
(0,23),(23,22),(23,20),0.0729594 # DEPENDENCYPART_GRANDSIBL
(0,23),(23,22),(23,19),0.0546036 # DEPENDENCYPART_GRANDSIBL
