# _root_ `` Most of the action was during the night session , '' said Michael Moore , trading manager at Continental Bank .
#goldHeads=6,6,2,5,3,13,6,10,10,7,6,6,0,15,13,15,18,15,18,21,19,13,
#predictedHeads=13,6,2,5,3,13,6,10,10,7,13,13,0,15,13,15,18,15,18,21,19,13,
(6,9),(6,11),0.0683068 # DEPENDENCYPART_SIBL
(6,9),(6,12),0.0742691 # DEPENDENCYPART_SIBL
(6,9),(6,13),-0.0689943 # DEPENDENCYPART_SIBL
(6,9),(6,15),-0.134746 # DEPENDENCYPART_SIBL
(6,9),(6,16),0.0683068 # DEPENDENCYPART_SIBL
(6,9),(6,18),-0.216838 # DEPENDENCYPART_SIBL
(6,9),(6,19),0.0205378 # DEPENDENCYPART_SIBL
(6,9),(6,22),0.0875342 # DEPENDENCYPART_SIBL
(6,10),(6,11),0.0034136 # DEPENDENCYPART_SIBL
(6,10),(6,12),0.0287641 # DEPENDENCYPART_SIBL
(6,10),(6,13),-0.0988867 # DEPENDENCYPART_SIBL
(6,10),(6,15),-0.169572 # DEPENDENCYPART_SIBL
(6,10),(6,16),0.0034136 # DEPENDENCYPART_SIBL
(6,10),(6,18),-0.262685 # DEPENDENCYPART_SIBL
(6,10),(6,19),-0.019203 # DEPENDENCYPART_SIBL
(6,10),(6,22),0.0149905 # DEPENDENCYPART_SIBL
(6,11),(6,12),0.0615398 # DEPENDENCYPART_SIBL
(6,11),(6,13),0.0261724 # DEPENDENCYPART_SIBL
(6,11),(6,15),-0.0729264 # DEPENDENCYPART_SIBL
(6,11),(6,16),-0.127741 # DEPENDENCYPART_SIBL
(6,11),(6,18),0.10591 # DEPENDENCYPART_SIBL
(6,11),(6,19),0.0295723 # DEPENDENCYPART_SIBL
(6,11),(6,22),0.0041776 # DEPENDENCYPART_SIBL
(6,12),(6,13),0.0564708 # DEPENDENCYPART_SIBL
(6,12),(6,15),0.0125159 # DEPENDENCYPART_SIBL
(6,12),(6,16),0.000361021 # DEPENDENCYPART_SIBL
(6,12),(6,18),0.0600522 # DEPENDENCYPART_SIBL
(6,12),(6,19),0.276853 # DEPENDENCYPART_SIBL
(6,12),(6,22),-0.0590334 # DEPENDENCYPART_SIBL
(6,13),(6,15),-0.265833 # DEPENDENCYPART_SIBL
(6,13),(6,16),-0.0580648 # DEPENDENCYPART_SIBL
(6,13),(6,18),-0.276079 # DEPENDENCYPART_SIBL
(6,13),(6,19),-0.288193 # DEPENDENCYPART_SIBL
(6,13),(6,22),0.0119182 # DEPENDENCYPART_SIBL
(6,15),(6,16),-0.031108 # DEPENDENCYPART_SIBL
(6,15),(6,18),-0.146224 # DEPENDENCYPART_SIBL
(6,15),(6,19),-0.0774196 # DEPENDENCYPART_SIBL
(6,15),(6,22),-0.0870418 # DEPENDENCYPART_SIBL
(6,16),(6,18),0.10591 # DEPENDENCYPART_SIBL
(6,16),(6,19),0.0295723 # DEPENDENCYPART_SIBL
(6,16),(6,22),0.0041776 # DEPENDENCYPART_SIBL
(6,18),(6,19),-0.0723868 # DEPENDENCYPART_SIBL
(6,18),(6,22),-0.00163372 # DEPENDENCYPART_SIBL
(6,19),(6,22),0.0225282 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.0651851 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.0010578 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.107379 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.102209 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.109685 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.119767 # DEPENDENCYPART_SIBL
(7,2),(7,12),-0.130651 # DEPENDENCYPART_SIBL
(7,2),(7,13),-0.0268051 # DEPENDENCYPART_SIBL
(7,2),(7,15),-0.0635224 # DEPENDENCYPART_SIBL
(7,2),(7,16),-0.119767 # DEPENDENCYPART_SIBL
(7,2),(7,18),-0.102725 # DEPENDENCYPART_SIBL
(7,2),(7,19),-0.0656069 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.00751327 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0973573 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.0120373 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.0338548 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.0809673 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.0444345 # DEPENDENCYPART_SIBL
(7,5),(7,13),0.0190179 # DEPENDENCYPART_SIBL
(7,5),(7,15),-0.0356398 # DEPENDENCYPART_SIBL
(7,5),(7,16),-0.0809673 # DEPENDENCYPART_SIBL
(7,5),(7,18),-0.0231777 # DEPENDENCYPART_SIBL
(7,5),(7,19),0.00709865 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0278105 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.037447 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.0299764 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.0121851 # DEPENDENCYPART_SIBL
(7,6),(7,12),-0.0529056 # DEPENDENCYPART_SIBL
(7,6),(7,13),0.0195908 # DEPENDENCYPART_SIBL
(7,6),(7,15),0.0399193 # DEPENDENCYPART_SIBL
(7,6),(7,16),-0.0121851 # DEPENDENCYPART_SIBL
(7,6),(7,18),0.0368112 # DEPENDENCYPART_SIBL
(7,6),(7,19),0.0631633 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.482638 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.495024 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.056519 # DEPENDENCYPART_SIBL
(7,8),(7,12),-0.129275 # DEPENDENCYPART_SIBL
(7,8),(7,13),-0.410671 # DEPENDENCYPART_SIBL
(7,8),(7,15),-0.362577 # DEPENDENCYPART_SIBL
(7,8),(7,16),-0.056519 # DEPENDENCYPART_SIBL
(7,8),(7,18),-0.494487 # DEPENDENCYPART_SIBL
(7,8),(7,19),-0.101949 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.858425 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.00407506 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.132337 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.675865 # DEPENDENCYPART_SIBL
(7,9),(7,15),-0.530914 # DEPENDENCYPART_SIBL
(7,9),(7,16),-0.00407506 # DEPENDENCYPART_SIBL
(7,9),(7,18),-0.86052 # DEPENDENCYPART_SIBL
(7,9),(7,19),0.0226301 # DEPENDENCYPART_SIBL
(7,10),(7,11),-0.0110239 # DEPENDENCYPART_SIBL
(7,10),(7,12),-0.13365 # DEPENDENCYPART_SIBL
(7,10),(7,13),-0.671153 # DEPENDENCYPART_SIBL
(7,10),(7,15),-0.524208 # DEPENDENCYPART_SIBL
(7,10),(7,16),-0.0110239 # DEPENDENCYPART_SIBL
(7,10),(7,18),-0.861098 # DEPENDENCYPART_SIBL
(7,10),(7,19),0.030867 # DEPENDENCYPART_SIBL
(7,11),(7,12),0.121319 # DEPENDENCYPART_SIBL
(7,11),(7,13),0.072776 # DEPENDENCYPART_SIBL
(7,11),(7,15),0.0978598 # DEPENDENCYPART_SIBL
(7,11),(7,16),-0.0507717 # DEPENDENCYPART_SIBL
(7,11),(7,18),0.0586675 # DEPENDENCYPART_SIBL
(7,11),(7,19),0.246016 # DEPENDENCYPART_SIBL
(7,12),(7,13),-0.274472 # DEPENDENCYPART_SIBL
(7,12),(7,15),-0.121965 # DEPENDENCYPART_SIBL
(7,12),(7,16),-0.018222 # DEPENDENCYPART_SIBL
(7,12),(7,18),-0.108725 # DEPENDENCYPART_SIBL
(7,12),(7,19),0.220074 # DEPENDENCYPART_SIBL
(7,13),(7,15),-0.180196 # DEPENDENCYPART_SIBL
(7,13),(7,16),0.225985 # DEPENDENCYPART_SIBL
(7,13),(7,18),-0.356013 # DEPENDENCYPART_SIBL
(7,13),(7,19),0.0992749 # DEPENDENCYPART_SIBL
(7,15),(7,16),-0.0629969 # DEPENDENCYPART_SIBL
(7,15),(7,18),-0.708968 # DEPENDENCYPART_SIBL
(7,15),(7,19),-0.0913642 # DEPENDENCYPART_SIBL
(7,16),(7,18),0.0586675 # DEPENDENCYPART_SIBL
(7,16),(7,19),0.246016 # DEPENDENCYPART_SIBL
(7,18),(7,19),0.00604573 # DEPENDENCYPART_SIBL
(9,8),(9,12),0.00803978 # DEPENDENCYPART_SIBL
(9,8),(9,13),0.0471974 # DEPENDENCYPART_SIBL
(9,8),(9,15),0.0359356 # DEPENDENCYPART_SIBL
(9,12),(9,13),0.0260564 # DEPENDENCYPART_SIBL
(9,12),(9,15),0.114541 # DEPENDENCYPART_SIBL
(9,13),(9,15),-0.00997944 # DEPENDENCYPART_SIBL
(10,1),(10,2),0.0500478 # DEPENDENCYPART_SIBL
(10,1),(10,3),-0.0173434 # DEPENDENCYPART_SIBL
(10,1),(10,4),-0.0339652 # DEPENDENCYPART_SIBL
(10,1),(10,5),0.159468 # DEPENDENCYPART_SIBL
(10,1),(10,6),0.16102 # DEPENDENCYPART_SIBL
(10,1),(10,7),0.0256277 # DEPENDENCYPART_SIBL
(10,1),(10,8),-0.0339652 # DEPENDENCYPART_SIBL
(10,1),(10,9),0.154717 # DEPENDENCYPART_SIBL
(10,1),(10,11),0.105348 # DEPENDENCYPART_SIBL
(10,1),(10,12),0.745119 # DEPENDENCYPART_SIBL
(10,1),(10,13),0.00459234 # DEPENDENCYPART_SIBL
(10,1),(10,14),0.0950322 # DEPENDENCYPART_SIBL
(10,1),(10,15),0.0791321 # DEPENDENCYPART_SIBL
(10,1),(10,16),0.105348 # DEPENDENCYPART_SIBL
(10,1),(10,17),0.0533364 # DEPENDENCYPART_SIBL
(10,1),(10,18),0.0691923 # DEPENDENCYPART_SIBL
(10,1),(10,19),0.0071613 # DEPENDENCYPART_SIBL
(10,1),(10,21),0.0965462 # DEPENDENCYPART_SIBL
(10,2),(10,3),-0.0059577 # DEPENDENCYPART_SIBL
(10,2),(10,4),-0.254759 # DEPENDENCYPART_SIBL
(10,2),(10,5),0.00900953 # DEPENDENCYPART_SIBL
(10,2),(10,6),0.0253283 # DEPENDENCYPART_SIBL
(10,2),(10,7),-0.0111593 # DEPENDENCYPART_SIBL
(10,2),(10,8),-0.254759 # DEPENDENCYPART_SIBL
(10,2),(10,9),0.0223775 # DEPENDENCYPART_SIBL
(10,2),(10,11),-0.0383126 # DEPENDENCYPART_SIBL
(10,2),(10,12),-0.0384812 # DEPENDENCYPART_SIBL
(10,2),(10,13),-0.00818171 # DEPENDENCYPART_SIBL
(10,2),(10,14),-0.00692464 # DEPENDENCYPART_SIBL
(10,2),(10,15),-0.00350592 # DEPENDENCYPART_SIBL
(10,2),(10,16),-0.0383126 # DEPENDENCYPART_SIBL
(10,2),(10,17),-0.0336117 # DEPENDENCYPART_SIBL
(10,2),(10,18),-0.0315205 # DEPENDENCYPART_SIBL
(10,2),(10,19),-0.0333453 # DEPENDENCYPART_SIBL
(10,2),(10,21),-0.0112179 # DEPENDENCYPART_SIBL
(10,3),(10,4),-0.194086 # DEPENDENCYPART_SIBL
(10,3),(10,5),-0.160741 # DEPENDENCYPART_SIBL
(10,3),(10,6),-0.0996356 # DEPENDENCYPART_SIBL
(10,3),(10,7),-0.21458 # DEPENDENCYPART_SIBL
(10,3),(10,8),-0.194086 # DEPENDENCYPART_SIBL
(10,3),(10,9),-0.146423 # DEPENDENCYPART_SIBL
(10,3),(10,11),-0.0374286 # DEPENDENCYPART_SIBL
(10,3),(10,12),-0.0344483 # DEPENDENCYPART_SIBL
(10,3),(10,13),-0.0790398 # DEPENDENCYPART_SIBL
(10,3),(10,14),-0.0599645 # DEPENDENCYPART_SIBL
(10,3),(10,15),-0.0565377 # DEPENDENCYPART_SIBL
(10,3),(10,16),-0.0374286 # DEPENDENCYPART_SIBL
(10,3),(10,17),-0.0761035 # DEPENDENCYPART_SIBL
(10,3),(10,18),-0.0746571 # DEPENDENCYPART_SIBL
(10,3),(10,19),-0.12651 # DEPENDENCYPART_SIBL
(10,3),(10,21),-0.0580027 # DEPENDENCYPART_SIBL
(10,4),(10,5),0.234018 # DEPENDENCYPART_SIBL
(10,4),(10,6),0.0770048 # DEPENDENCYPART_SIBL
(10,4),(10,7),-0.041699 # DEPENDENCYPART_SIBL
(10,4),(10,8),-0.882757 # DEPENDENCYPART_SIBL
(10,4),(10,9),0.229689 # DEPENDENCYPART_SIBL
(10,4),(10,11),0.0391772 # DEPENDENCYPART_SIBL
(10,4),(10,12),0.0667858 # DEPENDENCYPART_SIBL
(10,4),(10,13),0.0729295 # DEPENDENCYPART_SIBL
(10,4),(10,14),0.0762092 # DEPENDENCYPART_SIBL
(10,4),(10,15),0.0840208 # DEPENDENCYPART_SIBL
(10,4),(10,16),0.0391772 # DEPENDENCYPART_SIBL
(10,4),(10,17),-0.0428595 # DEPENDENCYPART_SIBL
(10,4),(10,18),-0.0128084 # DEPENDENCYPART_SIBL
(10,4),(10,19),-0.0528369 # DEPENDENCYPART_SIBL
(10,4),(10,21),0.0679331 # DEPENDENCYPART_SIBL
(10,5),(10,6),0.0589166 # DEPENDENCYPART_SIBL
(10,5),(10,7),0.0544166 # DEPENDENCYPART_SIBL
(10,5),(10,8),-0.48524 # DEPENDENCYPART_SIBL
(10,5),(10,9),0.0122047 # DEPENDENCYPART_SIBL
(10,5),(10,11),0.0286184 # DEPENDENCYPART_SIBL
(10,5),(10,12),0.0828189 # DEPENDENCYPART_SIBL
(10,5),(10,13),0.0061997 # DEPENDENCYPART_SIBL
(10,5),(10,14),0.0823386 # DEPENDENCYPART_SIBL
(10,5),(10,15),0.0866218 # DEPENDENCYPART_SIBL
(10,5),(10,16),0.0286184 # DEPENDENCYPART_SIBL
(10,5),(10,17),0.000762074 # DEPENDENCYPART_SIBL
(10,5),(10,18),0.0212485 # DEPENDENCYPART_SIBL
(10,5),(10,19),0.0215205 # DEPENDENCYPART_SIBL
(10,5),(10,21),0.0473933 # DEPENDENCYPART_SIBL
(10,6),(10,7),-0.0177223 # DEPENDENCYPART_SIBL
(10,6),(10,8),-0.0677722 # DEPENDENCYPART_SIBL
(10,6),(10,9),0.0942266 # DEPENDENCYPART_SIBL
(10,6),(10,11),0.0487217 # DEPENDENCYPART_SIBL
(10,6),(10,12),0.031589 # DEPENDENCYPART_SIBL
(10,6),(10,13),0.00573758 # DEPENDENCYPART_SIBL
(10,6),(10,14),0.0933232 # DEPENDENCYPART_SIBL
(10,6),(10,15),0.0970661 # DEPENDENCYPART_SIBL
(10,6),(10,16),0.0487217 # DEPENDENCYPART_SIBL
(10,6),(10,17),0.031304 # DEPENDENCYPART_SIBL
(10,6),(10,18),0.0324295 # DEPENDENCYPART_SIBL
(10,6),(10,19),0.101984 # DEPENDENCYPART_SIBL
(10,6),(10,21),0.0915026 # DEPENDENCYPART_SIBL
(10,7),(10,8),-0.160696 # DEPENDENCYPART_SIBL
(10,7),(10,9),-0.049312 # DEPENDENCYPART_SIBL
(10,7),(10,11),-0.0176968 # DEPENDENCYPART_SIBL
(10,7),(10,12),-0.00698075 # DEPENDENCYPART_SIBL
(10,7),(10,13),-0.0558171 # DEPENDENCYPART_SIBL
(10,7),(10,14),-0.0346865 # DEPENDENCYPART_SIBL
(10,7),(10,15),-0.0312596 # DEPENDENCYPART_SIBL
(10,7),(10,16),-0.0176968 # DEPENDENCYPART_SIBL
(10,7),(10,17),-0.0373189 # DEPENDENCYPART_SIBL
(10,7),(10,18),-0.0360149 # DEPENDENCYPART_SIBL
(10,7),(10,19),-0.0718671 # DEPENDENCYPART_SIBL
(10,7),(10,21),-0.0312128 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.229689 # DEPENDENCYPART_SIBL
(10,8),(10,11),0.0391772 # DEPENDENCYPART_SIBL
(10,8),(10,12),0.0667858 # DEPENDENCYPART_SIBL
(10,8),(10,13),0.0729295 # DEPENDENCYPART_SIBL
(10,8),(10,14),0.0762092 # DEPENDENCYPART_SIBL
(10,8),(10,15),0.0840208 # DEPENDENCYPART_SIBL
(10,8),(10,16),0.0391772 # DEPENDENCYPART_SIBL
(10,8),(10,17),-0.0428595 # DEPENDENCYPART_SIBL
(10,8),(10,18),-0.0128084 # DEPENDENCYPART_SIBL
(10,8),(10,19),-0.0528369 # DEPENDENCYPART_SIBL
(10,8),(10,21),0.0679331 # DEPENDENCYPART_SIBL
(10,9),(10,11),0.0325074 # DEPENDENCYPART_SIBL
(10,9),(10,12),0.0935178 # DEPENDENCYPART_SIBL
(10,9),(10,13),0.019688 # DEPENDENCYPART_SIBL
(10,9),(10,14),0.107839 # DEPENDENCYPART_SIBL
(10,9),(10,15),0.112122 # DEPENDENCYPART_SIBL
(10,9),(10,16),0.0325074 # DEPENDENCYPART_SIBL
(10,9),(10,17),0.00153364 # DEPENDENCYPART_SIBL
(10,9),(10,18),0.0219834 # DEPENDENCYPART_SIBL
(10,9),(10,19),0.0949679 # DEPENDENCYPART_SIBL
(10,9),(10,21),0.072894 # DEPENDENCYPART_SIBL
(10,11),(10,12),0.367892 # DEPENDENCYPART_SIBL
(10,11),(10,13),0.337508 # DEPENDENCYPART_SIBL
(10,11),(10,14),0.64453 # DEPENDENCYPART_SIBL
(10,11),(10,15),0.654284 # DEPENDENCYPART_SIBL
(10,11),(10,16),0.134708 # DEPENDENCYPART_SIBL
(10,11),(10,17),0.60951 # DEPENDENCYPART_SIBL
(10,11),(10,18),0.708096 # DEPENDENCYPART_SIBL
(10,11),(10,19),0.171332 # DEPENDENCYPART_SIBL
(10,11),(10,21),0.670301 # DEPENDENCYPART_SIBL
(10,12),(10,13),0.0426829 # DEPENDENCYPART_SIBL
(10,12),(10,14),0.131366 # DEPENDENCYPART_SIBL
(10,12),(10,15),0.134625 # DEPENDENCYPART_SIBL
(10,12),(10,16),0.0634418 # DEPENDENCYPART_SIBL
(10,12),(10,17),0.267006 # DEPENDENCYPART_SIBL
(10,12),(10,18),0.276166 # DEPENDENCYPART_SIBL
(10,12),(10,19),0.277683 # DEPENDENCYPART_SIBL
(10,12),(10,21),0.138687 # DEPENDENCYPART_SIBL
(10,13),(10,14),5.39617e-05 # DEPENDENCYPART_SIBL
(10,13),(10,15),0.00155828 # DEPENDENCYPART_SIBL
(10,13),(10,16),0.318065 # DEPENDENCYPART_SIBL
(10,13),(10,17),-0.0515599 # DEPENDENCYPART_SIBL
(10,13),(10,18),-0.0471529 # DEPENDENCYPART_SIBL
(10,13),(10,19),-0.0567775 # DEPENDENCYPART_SIBL
(10,13),(10,21),0.00569322 # DEPENDENCYPART_SIBL
(10,14),(10,15),-0.115908 # DEPENDENCYPART_SIBL
(10,14),(10,16),0.0575956 # DEPENDENCYPART_SIBL
(10,14),(10,17),-0.101649 # DEPENDENCYPART_SIBL
(10,14),(10,18),-0.0891828 # DEPENDENCYPART_SIBL
(10,14),(10,19),0.00883187 # DEPENDENCYPART_SIBL
(10,14),(10,21),-0.121168 # DEPENDENCYPART_SIBL
(10,15),(10,16),0.0840378 # DEPENDENCYPART_SIBL
(10,15),(10,17),-0.0950255 # DEPENDENCYPART_SIBL
(10,15),(10,18),-0.0825596 # DEPENDENCYPART_SIBL
(10,15),(10,19),0.0161399 # DEPENDENCYPART_SIBL
(10,15),(10,21),-0.113849 # DEPENDENCYPART_SIBL
(10,16),(10,17),0.60951 # DEPENDENCYPART_SIBL
(10,16),(10,18),0.708096 # DEPENDENCYPART_SIBL
(10,16),(10,19),0.171332 # DEPENDENCYPART_SIBL
(10,16),(10,21),0.670301 # DEPENDENCYPART_SIBL
(10,17),(10,18),-0.0715455 # DEPENDENCYPART_SIBL
(10,17),(10,19),0.10569 # DEPENDENCYPART_SIBL
(10,17),(10,21),-0.00532362 # DEPENDENCYPART_SIBL
(10,18),(10,19),0.0406953 # DEPENDENCYPART_SIBL
(10,18),(10,21),-0.0412295 # DEPENDENCYPART_SIBL
(10,19),(10,21),0.0584354 # DEPENDENCYPART_SIBL
(12,10),(12,11),0.138333 # DEPENDENCYPART_SIBL
(13,1),(13,2),-0.0621742 # DEPENDENCYPART_SIBL
(13,1),(13,3),-0.110346 # DEPENDENCYPART_SIBL
(13,1),(13,5),-0.014886 # DEPENDENCYPART_SIBL
(13,1),(13,6),0.0582379 # DEPENDENCYPART_SIBL
(13,1),(13,7),-0.0314776 # DEPENDENCYPART_SIBL
(13,1),(13,9),-0.0177588 # DEPENDENCYPART_SIBL
(13,1),(13,10),-0.0571063 # DEPENDENCYPART_SIBL
(13,1),(13,11),0.0743268 # DEPENDENCYPART_SIBL
(13,1),(13,12),0.312413 # DEPENDENCYPART_SIBL
(13,1),(13,14),-0.0117731 # DEPENDENCYPART_SIBL
(13,1),(13,15),-0.161387 # DEPENDENCYPART_SIBL
(13,1),(13,16),-0.132649 # DEPENDENCYPART_SIBL
(13,1),(13,17),0.0970298 # DEPENDENCYPART_SIBL
(13,1),(13,18),0.129879 # DEPENDENCYPART_SIBL
(13,1),(13,19),-0.100182 # DEPENDENCYPART_SIBL
(13,1),(13,21),-0.0481695 # DEPENDENCYPART_SIBL
(13,1),(13,22),0.415924 # DEPENDENCYPART_SIBL
(13,2),(13,3),-0.165485 # DEPENDENCYPART_SIBL
(13,2),(13,5),-0.307456 # DEPENDENCYPART_SIBL
(13,2),(13,6),-0.315791 # DEPENDENCYPART_SIBL
(13,2),(13,7),-0.13001 # DEPENDENCYPART_SIBL
(13,2),(13,9),-0.29542 # DEPENDENCYPART_SIBL
(13,2),(13,10),-0.319335 # DEPENDENCYPART_SIBL
(13,2),(13,11),-0.234363 # DEPENDENCYPART_SIBL
(13,2),(13,12),-0.24349 # DEPENDENCYPART_SIBL
(13,2),(13,14),-0.138881 # DEPENDENCYPART_SIBL
(13,2),(13,15),-0.23204 # DEPENDENCYPART_SIBL
(13,2),(13,16),-0.170702 # DEPENDENCYPART_SIBL
(13,2),(13,17),-0.0865716 # DEPENDENCYPART_SIBL
(13,2),(13,18),-0.0650972 # DEPENDENCYPART_SIBL
(13,2),(13,19),-0.157143 # DEPENDENCYPART_SIBL
(13,2),(13,21),-0.186557 # DEPENDENCYPART_SIBL
(13,2),(13,22),-0.0571489 # DEPENDENCYPART_SIBL
(13,3),(13,5),-0.102987 # DEPENDENCYPART_SIBL
(13,3),(13,6),-0.283413 # DEPENDENCYPART_SIBL
(13,3),(13,7),-0.164065 # DEPENDENCYPART_SIBL
(13,3),(13,9),-0.0834169 # DEPENDENCYPART_SIBL
(13,3),(13,10),-0.123394 # DEPENDENCYPART_SIBL
(13,3),(13,11),-0.109809 # DEPENDENCYPART_SIBL
(13,3),(13,12),-0.267443 # DEPENDENCYPART_SIBL
(13,3),(13,14),-0.134667 # DEPENDENCYPART_SIBL
(13,3),(13,15),-0.227814 # DEPENDENCYPART_SIBL
(13,3),(13,16),-0.194142 # DEPENDENCYPART_SIBL
(13,3),(13,17),-0.0604728 # DEPENDENCYPART_SIBL
(13,3),(13,18),-0.0326341 # DEPENDENCYPART_SIBL
(13,3),(13,19),-0.0749107 # DEPENDENCYPART_SIBL
(13,3),(13,21),-0.174514 # DEPENDENCYPART_SIBL
(13,3),(13,22),0.037569 # DEPENDENCYPART_SIBL
(13,5),(13,6),-0.393593 # DEPENDENCYPART_SIBL
(13,5),(13,7),-0.0467995 # DEPENDENCYPART_SIBL
(13,5),(13,9),-0.586251 # DEPENDENCYPART_SIBL
(13,5),(13,10),-0.611374 # DEPENDENCYPART_SIBL
(13,5),(13,11),-0.196083 # DEPENDENCYPART_SIBL
(13,5),(13,12),-0.35093 # DEPENDENCYPART_SIBL
(13,5),(13,14),-0.1493 # DEPENDENCYPART_SIBL
(13,5),(13,15),-0.242135 # DEPENDENCYPART_SIBL
(13,5),(13,16),-0.105472 # DEPENDENCYPART_SIBL
(13,5),(13,17),-0.0820056 # DEPENDENCYPART_SIBL
(13,5),(13,18),-0.0562701 # DEPENDENCYPART_SIBL
(13,5),(13,19),-0.0622033 # DEPENDENCYPART_SIBL
(13,5),(13,21),-0.234623 # DEPENDENCYPART_SIBL
(13,5),(13,22),0.0869731 # DEPENDENCYPART_SIBL
(13,6),(13,7),-0.222368 # DEPENDENCYPART_SIBL
(13,6),(13,9),-0.074939 # DEPENDENCYPART_SIBL
(13,6),(13,10),-0.0986264 # DEPENDENCYPART_SIBL
(13,6),(13,11),0.0957881 # DEPENDENCYPART_SIBL
(13,6),(13,12),-0.102487 # DEPENDENCYPART_SIBL
(13,6),(13,14),0.0823144 # DEPENDENCYPART_SIBL
(13,6),(13,15),-0.0100225 # DEPENDENCYPART_SIBL
(13,6),(13,16),0.0592985 # DEPENDENCYPART_SIBL
(13,6),(13,17),-0.0118004 # DEPENDENCYPART_SIBL
(13,6),(13,18),0.00927148 # DEPENDENCYPART_SIBL
(13,6),(13,19),-0.0583432 # DEPENDENCYPART_SIBL
(13,6),(13,21),0.0415032 # DEPENDENCYPART_SIBL
(13,6),(13,22),0.0585087 # DEPENDENCYPART_SIBL
(13,7),(13,9),0.013832 # DEPENDENCYPART_SIBL
(13,7),(13,10),-0.0263502 # DEPENDENCYPART_SIBL
(13,7),(13,11),0.0977672 # DEPENDENCYPART_SIBL
(13,7),(13,12),-0.22287 # DEPENDENCYPART_SIBL
(13,7),(13,14),-0.0402639 # DEPENDENCYPART_SIBL
(13,7),(13,15),-0.133411 # DEPENDENCYPART_SIBL
(13,7),(13,16),-0.0379075 # DEPENDENCYPART_SIBL
(13,7),(13,17),0.0116417 # DEPENDENCYPART_SIBL
(13,7),(13,18),0.0391907 # DEPENDENCYPART_SIBL
(13,7),(13,19),0.00883634 # DEPENDENCYPART_SIBL
(13,7),(13,21),-0.0788392 # DEPENDENCYPART_SIBL
(13,7),(13,22),0.154465 # DEPENDENCYPART_SIBL
(13,9),(13,10),-0.574727 # DEPENDENCYPART_SIBL
(13,9),(13,11),-0.148368 # DEPENDENCYPART_SIBL
(13,9),(13,12),-0.311344 # DEPENDENCYPART_SIBL
(13,9),(13,14),-0.12136 # DEPENDENCYPART_SIBL
(13,9),(13,15),-0.214194 # DEPENDENCYPART_SIBL
(13,9),(13,16),-0.0778857 # DEPENDENCYPART_SIBL
(13,9),(13,17),-0.0930707 # DEPENDENCYPART_SIBL
(13,9),(13,18),-0.0673718 # DEPENDENCYPART_SIBL
(13,9),(13,19),0.0285617 # DEPENDENCYPART_SIBL
(13,9),(13,21),-0.206683 # DEPENDENCYPART_SIBL
(13,9),(13,22),0.103343 # DEPENDENCYPART_SIBL
(13,10),(13,11),-0.240724 # DEPENDENCYPART_SIBL
(13,10),(13,12),-0.351596 # DEPENDENCYPART_SIBL
(13,10),(13,14),-0.195806 # DEPENDENCYPART_SIBL
(13,10),(13,15),-0.28864 # DEPENDENCYPART_SIBL
(13,10),(13,16),-0.107586 # DEPENDENCYPART_SIBL
(13,10),(13,17),-0.162075 # DEPENDENCYPART_SIBL
(13,10),(13,18),-0.136339 # DEPENDENCYPART_SIBL
(13,10),(13,19),-0.141913 # DEPENDENCYPART_SIBL
(13,10),(13,21),-0.281129 # DEPENDENCYPART_SIBL
(13,10),(13,22),-0.00650187 # DEPENDENCYPART_SIBL
(13,11),(13,12),0.568542 # DEPENDENCYPART_SIBL
(13,11),(13,14),-0.00354133 # DEPENDENCYPART_SIBL
(13,11),(13,15),-0.160497 # DEPENDENCYPART_SIBL
(13,11),(13,16),0.0972144 # DEPENDENCYPART_SIBL
(13,11),(13,17),-0.0412113 # DEPENDENCYPART_SIBL
(13,11),(13,18),0.0195433 # DEPENDENCYPART_SIBL
(13,11),(13,19),-0.106719 # DEPENDENCYPART_SIBL
(13,11),(13,21),-0.110393 # DEPENDENCYPART_SIBL
(13,11),(13,22),0.01006 # DEPENDENCYPART_SIBL
