# _root_ When he sent letters offering 1,250 retired major leaguers the chance of another season , 730 responded .
#goldHeads=3,3,17,3,4,9,9,9,5,11,5,11,14,12,17,17,0,17,
#predictedHeads=3,3,17,3,3,9,9,9,5,11,5,11,14,12,17,17,0,17,
(0,9),(9,6),(9,5),0.109535 # DEPENDENCYPART_GRANDSIBL
(0,9),(9,6),(9,4),0.108024 # DEPENDENCYPART_GRANDSIBL
(0,9),(9,6),(9,-1),-0.1416 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,9),(9,5),(9,4),0.104066 # DEPENDENCYPART_GRANDSIBL
(0,9),(9,5),(9,-1),-0.10131 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,9),(9,4),(9,-1),-0.111277 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,16),(16,16),(16,17),-0.0265612 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,16),(16,16),(16,18),-0.0147337 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,16),(16,16),(16,19),-0.0272527 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,16),(16,17),(16,18),-0.0237749 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,17),(16,19),-0.0257521 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,16),(16,18),(16,19),-0.0261612 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,16),(16,16),(16,15),0.0990943 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,16),(16,16),(16,14),0.108866 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,16),(16,16),(16,13),0.107091 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,16),(16,16),(16,-1),-0.174421 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,16),(16,15),(16,14),0.103823 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,15),(16,13),0.10954 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,15),(16,-1),-0.144782 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,16),(16,14),(16,13),0.109533 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,14),(16,-1),-0.151126 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,16),(16,13),(16,-1),-0.148162 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,17),(17,17),(17,18),-0.111076 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,17),(17,17),(17,19),-0.195809 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,17),(17,18),(17,19),0.16984 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,17),(17,17),(17,16),0.184601 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,17),(17,17),(17,15),0.114971 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,17),(17,17),(17,14),0.315865 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,17),(17,17),(17,13),0.242007 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,17),(17,17),(17,12),0.163974 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,17),(17,17),(17,11),0.319257 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,17),(17,17),(17,10),0.23294 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,17),(17,17),(17,9),0.320361 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,17),(17,17),(17,8),0.218617 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,17),(17,17),(17,7),0.218675 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,17),(17,17),(17,6),0.184601 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,17),(17,17),(17,5),0.0595504 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,17),(17,17),(17,4),0.319867 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,17),(17,17),(17,3),0.0557459 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,17),(17,17),(17,2),0.211926 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,17),(17,17),(17,1),0.057879 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,17),(17,17),(17,-1),-0.633981 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,17),(17,16),(17,15),0.133559 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,16),(17,14),0.104831 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,16),(17,13),0.10954 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,16),(17,12),0.105998 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,16),(17,11),0.104831 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,16),(17,10),0.10954 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,16),(17,9),0.104831 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,16),(17,8),0.109258 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,16),(17,7),0.109258 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,16),(17,6),0.10954 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,16),(17,5),0.108989 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,16),(17,4),0.104831 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,16),(17,3),0.108989 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,16),(17,2),0.10954 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,16),(17,1),0.10954 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,16),(17,-1),-0.101245 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,17),(17,15),(17,14),0.101133 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,15),(17,13),0.1203 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,15),(17,12),0.315861 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,15),(17,11),0.101753 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,15),(17,10),0.119908 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,15),(17,9),0.101758 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,15),(17,8),0.139948 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,15),(17,7),0.139948 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,15),(17,6),0.093318 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,15),(17,5),0.0892223 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,15),(17,4),0.101758 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,15),(17,3),0.0918211 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,15),(17,2),0.104103 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,15),(17,1),0.102207 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,15),(17,-1),-0.349652 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,17),(17,14),(17,13),0.0818054 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,14),(17,12),-0.0827162 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,14),(17,11),0.105896 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,14),(17,10),0.0802403 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,14),(17,9),0.105896 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,14),(17,8),0.0904663 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,14),(17,7),0.0905576 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,14),(17,6),0.104796 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,14),(17,5),0.121072 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,14),(17,4),0.105896 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,14),(17,3),0.12175 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,14),(17,2),0.133414 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,14),(17,1),0.0516798 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,14),(17,-1),0.0593258 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,17),(17,13),(17,12),0.100304 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,13),(17,11),0.113404 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,13),(17,10),0.107611 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,13),(17,9),0.113404 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,13),(17,8),0.107412 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,13),(17,7),0.107412 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,13),(17,6),0.10954 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,13),(17,5),0.109893 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,13),(17,4),0.113404 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,13),(17,3),0.109893 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,13),(17,2),0.107921 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,13),(17,1),0.109249 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,13),(17,-1),-0.112466 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,17),(17,12),(17,11),0.162866 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,12),(17,10),0.109155 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,12),(17,9),0.162866 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,12),(17,8),0.103192 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,12),(17,7),0.103192 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,12),(17,6),0.103608 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,12),(17,5),0.100871 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,12),(17,4),0.162866 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,12),(17,3),0.100871 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,12),(17,2),0.107416 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,12),(17,1),0.109751 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,12),(17,-1),-0.232709 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,17),(17,11),(17,10),0.0802403 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,11),(17,9),0.105896 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,11),(17,8),0.0904716 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,11),(17,7),0.0905629 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,11),(17,6),0.104796 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,11),(17,5),0.121072 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,11),(17,4),0.105896 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,11),(17,3),0.12175 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,11),(17,2),0.133414 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,11),(17,1),0.0516798 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,11),(17,-1),0.0616565 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,17),(17,10),(17,9),0.113404 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,10),(17,8),0.107412 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,10),(17,7),0.107412 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,10),(17,6),0.10954 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,10),(17,5),0.109893 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,10),(17,4),0.113404 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,10),(17,3),0.109893 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,10),(17,2),0.107921 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,10),(17,1),0.109249 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,10),(17,-1),-0.128437 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,17),(17,9),(17,8),0.0904716 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,9),(17,7),0.0905629 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,9),(17,6),0.104796 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,9),(17,5),0.121072 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,9),(17,4),0.105896 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,9),(17,3),0.12175 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,9),(17,2),0.133414 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,9),(17,1),0.0516798 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,9),(17,-1),0.0616613 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,17),(17,8),(17,7),0.109358 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,8),(17,6),0.109098 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,8),(17,5),0.108853 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,8),(17,4),0.0991657 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,8),(17,3),0.108853 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,8),(17,2),0.10953 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,8),(17,1),0.10954 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,8),(17,-1),-0.0625872 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,17),(17,7),(17,6),0.109098 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,7),(17,5),0.108853 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,7),(17,4),0.0991657 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,7),(17,3),0.108853 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,7),(17,2),0.10953 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,7),(17,1),0.10954 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,7),(17,-1),-0.0625869 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,17),(17,6),(17,5),0.108989 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,6),(17,4),0.104831 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,6),(17,3),0.108989 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,6),(17,2),0.10954 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,6),(17,1),0.10954 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,6),(17,-1),-0.101245 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,17),(17,5),(17,4),0.0545691 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,5),(17,3),0.108185 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,5),(17,2),0.0587079 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,5),(17,1),0.108582 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,5),(17,-1),-0.0498083 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,17),(17,4),(17,3),0.12175 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,4),(17,2),0.133414 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,4),(17,1),0.0516798 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,4),(17,-1),0.0614117 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,17),(17,3),(17,2),0.0587079 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,3),(17,1),0.108582 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,3),(17,-1),-0.0544101 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,17),(17,2),(17,1),0.111869 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,2),(17,-1),-0.112948 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,17),(17,1),(17,-1),-0.245108 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,3),(3,4),-0.0260998 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,5),-0.0215505 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,6),-0.0194439 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,7),-0.0221817 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,8),-0.0221817 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,9),-0.0260998 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,11),-0.0260998 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,12),-0.0303126 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,14),-0.0260998 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,15),-0.0216406 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,17),-0.0215496 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,18),-0.0194409 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,19),-0.0282386 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,3),(3,4),(3,5),-0.0199867 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,6),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,7),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,8),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,9),-0.0197558 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,11),-0.0197558 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,12),-0.0200167 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,14),-0.0197558 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,15),-0.0194566 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,17),-0.0199867 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,18),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,19),-0.0239687 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,5),(3,6),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,7),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,8),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,9),-0.0194672 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,11),-0.0194672 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,12),-0.0194462 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,14),-0.0194672 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,15),-0.0194804 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,17),-0.0197593 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,18),-0.0194411 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,19),-0.0196299 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,6),(3,7),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,8),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,9),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,11),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,12),-0.0194407 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,14),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,15),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,17),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,18),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,19),-0.0194439 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,7),(3,8),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,9),-0.019456 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,11),-0.019456 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,12),-0.019442 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,14),-0.019456 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,15),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,17),-0.0194459 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,18),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,19),-0.0221406 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,8),(3,9),-0.019456 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,8),(3,11),-0.019456 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,8),(3,12),-0.019442 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,8),(3,14),-0.019456 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,8),(3,15),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,8),(3,17),-0.0194459 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,8),(3,18),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,8),(3,19),-0.0221406 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,9),(3,11),-0.0197558 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,9),(3,12),-0.0200167 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,9),(3,14),-0.0197558 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,9),(3,15),-0.0194566 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,9),(3,17),-0.0199867 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,9),(3,18),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,9),(3,19),-0.0239687 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,11),(3,12),-0.0200167 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,11),(3,14),-0.0197558 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,11),(3,15),-0.0194566 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,11),(3,17),-0.0199867 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,11),(3,18),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,11),(3,19),-0.0239687 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,12),(3,14),-0.0197044 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,12),(3,15),-0.0195155 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,12),(3,17),-0.0198189 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,12),(3,18),-0.0195085 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,12),(3,19),-0.0228669 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,14),(3,15),-0.0194566 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,14),(3,17),-0.0199867 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,14),(3,18),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,14),(3,19),-0.0239687 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,15),(3,17),-0.0195635 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,15),(3,18),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,15),(3,19),-0.0215844 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,17),(3,18),-0.0194411 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,17),(3,19),-0.019629 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,18),(3,19),-0.0195154 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,3),(3,2),0.111403 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,1),-0.144713 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,-1),-0.204382 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,3),(3,2),(3,1),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,2),(3,-1),-0.14662 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,3),(3,1),(3,-1),-0.145452 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,1),(1,1),(1,19),0.00142327 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,1),(1,1),(1,-1),0.0843192 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,2),(2,2),(2,3),-0.118894 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,19),-0.145021 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,2),(2,3),(2,19),-0.155523 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,2),(2,2),(2,-1),0.0466171 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,4),(4,4),(4,5),-0.0357827 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,4),(4,4),(4,6),-0.00574134 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,4),(4,4),(4,7),-0.00875121 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,4),(4,4),(4,8),-0.0121647 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,4),(4,4),(4,9),0.0355596 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,4),(4,4),(4,11),0.034298 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,4),(4,4),(4,12),-0.0919749 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,4),(4,4),(4,14),0.0351213 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,4),(4,4),(4,15),0.0620119 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,4),(4,4),(4,18),0.00656601 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,4),(4,4),(4,19),0.0827816 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,4),(4,5),(4,6),-0.00475333 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,5),(4,7),-0.0195931 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,5),(4,8),-0.0195944 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,5),(4,9),-0.0298486 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,5),(4,11),-0.0298486 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,5),(4,12),0.000503266 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,5),(4,14),-0.0298486 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,5),(4,15),-0.0525847 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,5),(4,18),-0.0198145 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,5),(4,19),-0.0316773 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,4),(4,6),(4,7),-0.0216675 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,6),(4,8),-0.0216675 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,6),(4,9),-0.0269475 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,6),(4,11),-0.0269475 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,6),(4,12),-0.024219 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,6),(4,14),-0.0269475 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,6),(4,15),-0.0301474 # DEPENDENCYPART_GRANDSIBL
