# _root_ It received more offers , but the auction was surprisingly won by IMA , which bid $ 28 a share and asked Mr. Gilleland to stay on as an equity participant .
#goldHeads=2,6,4,2,6,0,8,9,6,9,9,11,12,13,21,21,18,16,20,18,13,21,24,22,26,22,26,26,31,31,28,6,
#predictedHeads=2,6,4,2,6,0,8,9,6,9,9,11,12,13,21,21,18,16,20,18,13,21,24,22,26,22,26,26,31,31,28,6,
(6,5),(6,2),0.120661 # DEPENDENCYPART_NEXTSIBL
(6,5),(6,1),-0.79483 # DEPENDENCYPART_NEXTSIBL
(6,5),(6,-1),-1.16189 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,4),(6,3),-0.338062 # DEPENDENCYPART_NEXTSIBL
(6,4),(6,2),-0.851915 # DEPENDENCYPART_NEXTSIBL
(6,4),(6,1),-0.925435 # DEPENDENCYPART_NEXTSIBL
(6,4),(6,-1),-0.630861 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,3),(6,2),-0.507027 # DEPENDENCYPART_NEXTSIBL
(6,3),(6,1),-0.550855 # DEPENDENCYPART_NEXTSIBL
(6,3),(6,-1),-0.312183 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,2),(6,1),-0.335331 # DEPENDENCYPART_NEXTSIBL
(6,2),(6,-1),-0.881855 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,1),(6,-1),0.0507674 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,7),(7,9),0.161139 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,33),-0.145992 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(7,9),(7,33),-0.891195 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,7),(7,-1),-0.209742 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(8,8),(8,9),0.186806 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,10),0.0265556 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,11),0.113014 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,12),-0.425265 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,33),-0.299865 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(8,9),(8,10),-0.802256 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,11),-0.78449 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,12),-0.569969 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,33),-0.85029 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,10),(8,11),-0.107963 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,12),-0.812131 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,33),-0.724285 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,11),(8,12),-0.558832 # DEPENDENCYPART_NEXTSIBL
(8,11),(8,33),-0.745022 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,12),(8,33),-0.910346 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,8),(8,7),-0.365803 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,6),0.0908399 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,5),-0.942397 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,4),-0.26555 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,3),-0.140858 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,2),-0.20554 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,-1),-0.402845 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(8,7),(8,6),-0.316703 # DEPENDENCYPART_NEXTSIBL
(8,7),(8,5),-0.716381 # DEPENDENCYPART_NEXTSIBL
(8,7),(8,4),-0.993979 # DEPENDENCYPART_NEXTSIBL
(8,7),(8,3),-1.01088 # DEPENDENCYPART_NEXTSIBL
(8,7),(8,2),-0.894593 # DEPENDENCYPART_NEXTSIBL
(8,7),(8,-1),-0.184708 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,6),(8,5),-0.394408 # DEPENDENCYPART_NEXTSIBL
(8,6),(8,4),-0.563012 # DEPENDENCYPART_NEXTSIBL
(8,6),(8,3),-0.548846 # DEPENDENCYPART_NEXTSIBL
(8,6),(8,2),-0.517771 # DEPENDENCYPART_NEXTSIBL
(8,6),(8,-1),-0.220696 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,5),(8,4),-0.418877 # DEPENDENCYPART_NEXTSIBL
(8,5),(8,3),-0.409864 # DEPENDENCYPART_NEXTSIBL
(8,5),(8,2),-0.00894727 # DEPENDENCYPART_NEXTSIBL
(8,5),(8,-1),-1.13878 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,4),(8,3),-0.260252 # DEPENDENCYPART_NEXTSIBL
(8,4),(8,2),-0.716114 # DEPENDENCYPART_NEXTSIBL
(8,4),(8,-1),-0.512114 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,3),(8,2),-0.479275 # DEPENDENCYPART_NEXTSIBL
(8,3),(8,-1),-0.318818 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,2),(8,-1),-0.885492 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,9),(9,10),-0.0466117 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,11),0.13255 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,12),-0.437482 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,13),-0.192494 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,14),-0.747901 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,16),0.00656874 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,17),-0.329184 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,21),0.145476 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,25),-0.107045 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,26),-0.0120593 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,32),-1.14654 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,33),-0.72538 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(9,10),(9,11),-0.143132 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,12),-0.792129 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,13),-0.787257 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,14),-0.680169 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,16),-0.696272 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,17),-0.885784 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,21),-0.351456 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,25),-0.793836 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,26),-0.764885 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,32),-1.1993 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,33),-0.728737 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,11),(9,12),-0.581738 # DEPENDENCYPART_NEXTSIBL
(9,11),(9,13),-0.825465 # DEPENDENCYPART_NEXTSIBL
(9,11),(9,14),-0.441079 # DEPENDENCYPART_NEXTSIBL
(9,11),(9,16),-0.770055 # DEPENDENCYPART_NEXTSIBL
(9,11),(9,17),-0.851425 # DEPENDENCYPART_NEXTSIBL
(9,11),(9,21),-1.13259 # DEPENDENCYPART_NEXTSIBL
(9,11),(9,25),-0.98967 # DEPENDENCYPART_NEXTSIBL
(9,11),(9,26),-0.915653 # DEPENDENCYPART_NEXTSIBL
(9,11),(9,32),0.0814084 # DEPENDENCYPART_NEXTSIBL
(9,11),(9,33),-0.649151 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,12),(9,13),-0.811537 # DEPENDENCYPART_NEXTSIBL
(9,12),(9,14),-0.653262 # DEPENDENCYPART_NEXTSIBL
(9,12),(9,16),-0.62765 # DEPENDENCYPART_NEXTSIBL
(9,12),(9,17),-0.943444 # DEPENDENCYPART_NEXTSIBL
(9,12),(9,21),-0.672444 # DEPENDENCYPART_NEXTSIBL
(9,12),(9,25),-0.934684 # DEPENDENCYPART_NEXTSIBL
(9,12),(9,26),-0.831339 # DEPENDENCYPART_NEXTSIBL
(9,12),(9,32),-0.800074 # DEPENDENCYPART_NEXTSIBL
(9,12),(9,33),-0.823348 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,13),(9,14),-0.7765 # DEPENDENCYPART_NEXTSIBL
(9,13),(9,16),-1.11568 # DEPENDENCYPART_NEXTSIBL
(9,13),(9,17),-1.17591 # DEPENDENCYPART_NEXTSIBL
(9,13),(9,21),-1.18628 # DEPENDENCYPART_NEXTSIBL
(9,13),(9,25),-1.04354 # DEPENDENCYPART_NEXTSIBL
(9,13),(9,26),-1.14405 # DEPENDENCYPART_NEXTSIBL
(9,13),(9,32),-0.522033 # DEPENDENCYPART_NEXTSIBL
(9,13),(9,33),-0.58112 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,14),(9,16),0.509062 # DEPENDENCYPART_NEXTSIBL
(9,14),(9,17),-0.476219 # DEPENDENCYPART_NEXTSIBL
(9,14),(9,21),0.335001 # DEPENDENCYPART_NEXTSIBL
(9,14),(9,25),-0.46339 # DEPENDENCYPART_NEXTSIBL
(9,14),(9,26),-0.361993 # DEPENDENCYPART_NEXTSIBL
(9,14),(9,32),-1.03477 # DEPENDENCYPART_NEXTSIBL
(9,14),(9,33),-1.0477 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,16),(9,17),-0.680636 # DEPENDENCYPART_NEXTSIBL
(9,16),(9,21),-0.762361 # DEPENDENCYPART_NEXTSIBL
(9,16),(9,25),-0.664228 # DEPENDENCYPART_NEXTSIBL
(9,16),(9,26),-0.845756 # DEPENDENCYPART_NEXTSIBL
(9,16),(9,32),0.11952 # DEPENDENCYPART_NEXTSIBL
(9,16),(9,33),-0.362516 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,17),(9,21),-0.798969 # DEPENDENCYPART_NEXTSIBL
(9,17),(9,25),-0.753901 # DEPENDENCYPART_NEXTSIBL
(9,17),(9,26),-0.852232 # DEPENDENCYPART_NEXTSIBL
(9,17),(9,32),-0.761672 # DEPENDENCYPART_NEXTSIBL
(9,17),(9,33),-1.00506 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,21),(9,25),-0.678893 # DEPENDENCYPART_NEXTSIBL
(9,21),(9,26),-1.0838 # DEPENDENCYPART_NEXTSIBL
(9,21),(9,32),-0.845076 # DEPENDENCYPART_NEXTSIBL
(9,21),(9,33),-0.375461 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,25),(9,26),-0.816932 # DEPENDENCYPART_NEXTSIBL
(9,25),(9,32),-0.396514 # DEPENDENCYPART_NEXTSIBL
(9,25),(9,33),-0.584736 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,26),(9,32),-0.256488 # DEPENDENCYPART_NEXTSIBL
(9,26),(9,33),-0.239381 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,32),(9,33),-1.98802 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,9),(9,8),-0.0691733 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,7),-0.466679 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,6),-0.209746 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,5),-1.06627 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,4),-0.185037 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,2),-0.158239 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,1),-0.339688 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,-1),-0.694802 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(9,8),(9,7),-0.428576 # DEPENDENCYPART_NEXTSIBL
(9,8),(9,6),-0.43502 # DEPENDENCYPART_NEXTSIBL
(9,8),(9,5),-0.720781 # DEPENDENCYPART_NEXTSIBL
(9,8),(9,4),-1.13489 # DEPENDENCYPART_NEXTSIBL
(9,8),(9,2),-0.692015 # DEPENDENCYPART_NEXTSIBL
(9,8),(9,1),-1.03535 # DEPENDENCYPART_NEXTSIBL
(9,8),(9,-1),-0.686469 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,7),(9,6),-0.531412 # DEPENDENCYPART_NEXTSIBL
(9,7),(9,5),-0.843921 # DEPENDENCYPART_NEXTSIBL
(9,7),(9,4),-1.25178 # DEPENDENCYPART_NEXTSIBL
(9,7),(9,2),-1.10656 # DEPENDENCYPART_NEXTSIBL
(9,7),(9,1),-1.2105 # DEPENDENCYPART_NEXTSIBL
(9,7),(9,-1),-0.629152 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,6),(9,5),-0.450678 # DEPENDENCYPART_NEXTSIBL
(9,6),(9,4),-0.748352 # DEPENDENCYPART_NEXTSIBL
(9,6),(9,2),-0.627534 # DEPENDENCYPART_NEXTSIBL
(9,6),(9,1),-0.731957 # DEPENDENCYPART_NEXTSIBL
(9,6),(9,-1),-0.211282 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,5),(9,4),-0.474367 # DEPENDENCYPART_NEXTSIBL
(9,5),(9,2),-0.0807416 # DEPENDENCYPART_NEXTSIBL
(9,5),(9,1),-0.83881 # DEPENDENCYPART_NEXTSIBL
(9,5),(9,-1),-1.02674 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,4),(9,2),-0.907014 # DEPENDENCYPART_NEXTSIBL
(9,4),(9,1),-0.924233 # DEPENDENCYPART_NEXTSIBL
(9,4),(9,-1),-0.682785 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,2),(9,1),-0.479099 # DEPENDENCYPART_NEXTSIBL
(9,2),(9,-1),-0.854889 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,1),(9,-1),-0.0153249 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,10),(10,11),-0.000574378 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,12),-0.515556 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,13),-0.302831 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,33),-0.171176 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(10,11),(10,12),-0.57342 # DEPENDENCYPART_NEXTSIBL
(10,11),(10,13),-0.81599 # DEPENDENCYPART_NEXTSIBL
(10,11),(10,33),-0.777324 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,12),(10,13),-0.825489 # DEPENDENCYPART_NEXTSIBL
(10,12),(10,33),-0.959054 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,13),(10,33),-0.615549 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,10),(10,8),-0.255531 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,6),-0.0579402 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,4),-0.366971 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,-1),-0.292564 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(10,8),(10,6),-0.369916 # DEPENDENCYPART_NEXTSIBL
(10,8),(10,4),-1.02394 # DEPENDENCYPART_NEXTSIBL
(10,8),(10,-1),-0.574045 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,6),(10,4),-0.657957 # DEPENDENCYPART_NEXTSIBL
(10,6),(10,-1),-0.170076 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,4),(10,-1),-0.570822 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,11),(11,12),-0.411719 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,13),-0.158356 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,14),-0.777403 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,16),-0.0463111 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,17),-0.311963 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,21),0.103441 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,26),-0.0649526 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,32),-1.17627 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,33),-0.608048 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(11,12),(11,13),-0.751002 # DEPENDENCYPART_NEXTSIBL
(11,12),(11,14),-0.629635 # DEPENDENCYPART_NEXTSIBL
(11,12),(11,16),-0.600149 # DEPENDENCYPART_NEXTSIBL
(11,12),(11,17),-0.895447 # DEPENDENCYPART_NEXTSIBL
(11,12),(11,21),-0.648726 # DEPENDENCYPART_NEXTSIBL
(11,12),(11,26),-0.803845 # DEPENDENCYPART_NEXTSIBL
(11,12),(11,32),-0.801889 # DEPENDENCYPART_NEXTSIBL
(11,12),(11,33),-0.713398 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,13),(11,14),-0.78838 # DEPENDENCYPART_NEXTSIBL
(11,13),(11,16),-1.08514 # DEPENDENCYPART_NEXTSIBL
(11,13),(11,17),-1.14472 # DEPENDENCYPART_NEXTSIBL
(11,13),(11,21),-1.18077 # DEPENDENCYPART_NEXTSIBL
(11,13),(11,26),-1.11351 # DEPENDENCYPART_NEXTSIBL
(11,13),(11,32),-0.569522 # DEPENDENCYPART_NEXTSIBL
(11,13),(11,33),-0.567457 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,14),(11,16),0.508442 # DEPENDENCYPART_NEXTSIBL
(11,14),(11,17),-0.481919 # DEPENDENCYPART_NEXTSIBL
(11,14),(11,21),0.314234 # DEPENDENCYPART_NEXTSIBL
(11,14),(11,26),-0.362619 # DEPENDENCYPART_NEXTSIBL
(11,14),(11,32),-1.07769 # DEPENDENCYPART_NEXTSIBL
(11,14),(11,33),-1.04145 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,16),(11,17),-0.671318 # DEPENDENCYPART_NEXTSIBL
(11,16),(11,21),-0.77769 # DEPENDENCYPART_NEXTSIBL
(11,16),(11,26),-0.838186 # DEPENDENCYPART_NEXTSIBL
(11,16),(11,32),0.104283 # DEPENDENCYPART_NEXTSIBL
(11,16),(11,33),-0.392604 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,17),(11,21),-0.810142 # DEPENDENCYPART_NEXTSIBL
(11,17),(11,26),-0.842919 # DEPENDENCYPART_NEXTSIBL
(11,17),(11,32),-0.786214 # DEPENDENCYPART_NEXTSIBL
(11,17),(11,33),-0.990279 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,21),(11,26),-1.09665 # DEPENDENCYPART_NEXTSIBL
(11,21),(11,32),-0.928573 # DEPENDENCYPART_NEXTSIBL
(11,21),(11,33),-0.403396 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,26),(11,32),-0.271738 # DEPENDENCYPART_NEXTSIBL
(11,26),(11,33),-0.269476 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,32),(11,33),-2.07087 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,11),(11,10),0.00983487 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,9),0.147719 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,8),-0.098563 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,6),-0.154288 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,5),-1.08086 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,4),-0.212697 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,2),-0.228642 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,-1),-0.58326 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(11,10),(11,9),-0.894065 # DEPENDENCYPART_NEXTSIBL
(11,10),(11,8),-0.551652 # DEPENDENCYPART_NEXTSIBL
(11,10),(11,6),-0.839594 # DEPENDENCYPART_NEXTSIBL
(11,10),(11,5),-1.1641 # DEPENDENCYPART_NEXTSIBL
(11,10),(11,4),-0.755378 # DEPENDENCYPART_NEXTSIBL
(11,10),(11,2),-1.17266 # DEPENDENCYPART_NEXTSIBL
(11,10),(11,-1),-0.665347 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,9),(11,8),-0.468679 # DEPENDENCYPART_NEXTSIBL
(11,9),(11,6),-0.610439 # DEPENDENCYPART_NEXTSIBL
(11,9),(11,5),-0.677152 # DEPENDENCYPART_NEXTSIBL
(11,9),(11,4),-0.74553 # DEPENDENCYPART_NEXTSIBL
(11,9),(11,2),-0.960089 # DEPENDENCYPART_NEXTSIBL
(11,9),(11,-1),-1.01209 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,8),(11,6),-0.387751 # DEPENDENCYPART_NEXTSIBL
(11,8),(11,5),-0.674395 # DEPENDENCYPART_NEXTSIBL
(11,8),(11,4),-1.10567 # DEPENDENCYPART_NEXTSIBL
(11,8),(11,2),-0.688321 # DEPENDENCYPART_NEXTSIBL
(11,8),(11,-1),-0.694563 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,6),(11,5),-0.418205 # DEPENDENCYPART_NEXTSIBL
(11,6),(11,4),-0.710093 # DEPENDENCYPART_NEXTSIBL
(11,6),(11,2),-0.610919 # DEPENDENCYPART_NEXTSIBL
(11,6),(11,-1),-0.155869 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,5),(11,4),-0.445576 # DEPENDENCYPART_NEXTSIBL
(11,5),(11,2),-0.0392448 # DEPENDENCYPART_NEXTSIBL
(11,5),(11,-1),-0.992973 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,4),(11,2),-0.902472 # DEPENDENCYPART_NEXTSIBL
(11,4),(11,-1),-0.691221 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,2),(11,-1),-0.890889 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,12),(12,13),-0.12888 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,14),-0.845008 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,16),0.00904232 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,17),-0.292763 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,18),0.107898 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,21),0.0789037 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,33),-0.798854 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(12,13),(12,14),-0.63558 # DEPENDENCYPART_NEXTSIBL
(12,13),(12,16),-1.10355 # DEPENDENCYPART_NEXTSIBL
(12,13),(12,17),-1.17065 # DEPENDENCYPART_NEXTSIBL
(12,13),(12,18),-1.17948 # DEPENDENCYPART_NEXTSIBL
(12,13),(12,21),-1.31204 # DEPENDENCYPART_NEXTSIBL
(12,13),(12,33),-0.418899 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,14),(12,16),0.558409 # DEPENDENCYPART_NEXTSIBL
(12,14),(12,17),-0.439469 # DEPENDENCYPART_NEXTSIBL
(12,14),(12,18),-0.116166 # DEPENDENCYPART_NEXTSIBL
(12,14),(12,21),0.357531 # DEPENDENCYPART_NEXTSIBL
(12,14),(12,33),-0.835963 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,16),(12,17),-0.657205 # DEPENDENCYPART_NEXTSIBL
(12,16),(12,18),-0.629838 # DEPENDENCYPART_NEXTSIBL
(12,16),(12,21),-0.795617 # DEPENDENCYPART_NEXTSIBL
(12,16),(12,33),-0.494264 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,17),(12,18),-0.921092 # DEPENDENCYPART_NEXTSIBL
(12,17),(12,21),-0.836624 # DEPENDENCYPART_NEXTSIBL
(12,17),(12,33),-0.950932 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,18),(12,21),-0.562038 # DEPENDENCYPART_NEXTSIBL
(12,18),(12,33),-0.659691 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,21),(12,33),-0.278559 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,12),(12,11),0.0230368 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,10),0.0125502 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,8),-0.290218 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,-1),-0.19003 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(12,11),(12,10),-0.508069 # DEPENDENCYPART_NEXTSIBL
(12,11),(12,8),-0.902418 # DEPENDENCYPART_NEXTSIBL
(12,11),(12,-1),-0.954577 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,10),(12,8),-0.563305 # DEPENDENCYPART_NEXTSIBL
(12,10),(12,-1),-0.609466 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,8),(12,-1),-0.66794 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,13),(13,14),-0.677161 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,16),-0.00929141 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,17),-0.39958 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,18),0.173076 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,20),-0.0845287 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,21),-0.152875 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,22),-0.0524083 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,24),-0.243934 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,33),-0.304909 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(13,14),(13,16),0.655471 # DEPENDENCYPART_NEXTSIBL
(13,14),(13,17),-0.398631 # DEPENDENCYPART_NEXTSIBL
(13,14),(13,18),0.00379758 # DEPENDENCYPART_NEXTSIBL
(13,14),(13,20),-0.259046 # DEPENDENCYPART_NEXTSIBL
(13,14),(13,21),0.579982 # DEPENDENCYPART_NEXTSIBL
(13,14),(13,22),0.130802 # DEPENDENCYPART_NEXTSIBL
(13,14),(13,24),-0.218513 # DEPENDENCYPART_NEXTSIBL
(13,14),(13,33),-0.881359 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,16),(13,17),-0.655639 # DEPENDENCYPART_NEXTSIBL
(13,16),(13,18),-0.614731 # DEPENDENCYPART_NEXTSIBL
(13,16),(13,20),-0.573266 # DEPENDENCYPART_NEXTSIBL
(13,16),(13,21),-0.767848 # DEPENDENCYPART_NEXTSIBL
(13,16),(13,22),-0.584744 # DEPENDENCYPART_NEXTSIBL
(13,16),(13,24),-0.590564 # DEPENDENCYPART_NEXTSIBL
(13,16),(13,33),-0.469572 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,17),(13,18),-0.926585 # DEPENDENCYPART_NEXTSIBL
