# _root_ Under the Racketeer Influenced and Corrupt Organizations law , or RICO , the government has the authority to seek to freeze or seize a defendant 's assets before trial .
#goldHeads=15,8,8,5,8,5,8,10,10,1,10,10,14,15,0,17,15,19,17,22,22,19,22,25,27,25,22,19,28,15,
#predictedHeads=15,8,8,5,8,5,8,10,10,1,10,15,14,15,0,17,15,19,17,22,22,19,22,25,27,25,23,23,28,15,
(5,3),(3,4),(3,31),-0.159889 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,3),(3,5),(3,31),-0.174785 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,3),(3,3),(3,2),0.0667966 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,3),(3,1),-0.0598256 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,3),(3,-1),0.180409 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,3),(3,2),(3,1),-0.0229759 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,2),(3,-1),0.00464043 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,3),(3,1),(3,-1),-0.0990891 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,4),(4,4),(4,5),-0.150001 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,4),(4,6),-0.136463 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,4),(4,9),-0.147623 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,4),(4,12),-0.147623 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,4),(4,31),-0.0173262 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,4),(4,5),(4,6),0.314346 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,5),(4,9),0.165721 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,5),(4,12),0.230319 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,5),(4,31),-0.174785 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,4),(4,6),(4,9),-0.152579 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,6),(4,12),-0.152579 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,6),(4,31),-0.163216 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,4),(4,9),(4,12),-0.144766 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,9),(4,31),-0.14924 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,4),(4,12),(4,31),-0.14924 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,4),(4,4),(4,3),-0.0397951 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,4),(4,2),0.0667966 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,4),(4,-1),0.183845 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,4),(4,3),(4,2),-0.0173038 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,3),(4,-1),0.000359595 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,4),(4,2),(4,-1),0.00428475 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,6),(6,7),-0.0376795 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,31),0.184271 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,6),(6,7),(6,31),0.00176382 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,6),(6,-1),-0.0158375 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,7),(7,7),(7,8),-0.0424454 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,7),(7,7),(7,9),-0.039619 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,7),(7,7),(7,10),0.0139371 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,7),(7,7),(7,11),-0.0377881 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,7),(7,7),(7,31),0.185131 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,7),(7,8),(7,9),0.0157416 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,8),(7,10),-0.0218891 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,8),(7,11),-0.00630299 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,8),(7,31),-0.000463122 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,7),(7,9),(7,10),-0.0235848 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,9),(7,11),0.0398748 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,9),(7,31),-0.0399925 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,7),(7,10),(7,11),0.31526 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,10),(7,31),-0.0589986 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,7),(7,11),(7,31),0.00172646 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,7),(7,7),(7,6),0.0462341 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,7),(7,7),(7,5),0.128057 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,7),(7,7),(7,4),-0.136463 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,7),(7,7),(7,3),-0.136463 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,7),(7,7),(7,-1),-0.0200222 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,7),(7,6),(7,5),0.0932836 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,6),(7,4),-0.151088 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,6),(7,3),-0.151088 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,6),(7,-1),-0.15817 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,7),(7,5),(7,4),0.175321 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,7),(7,5),(7,3),0.218119 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,7),(7,5),(7,-1),-0.174785 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,7),(7,4),(7,3),-0.151088 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,4),(7,-1),-0.154843 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,7),(7,3),(7,-1),-0.154843 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,8),(8,8),(8,9),-0.039619 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,10),0.0139371 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,11),-0.0328562 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,12),-0.039619 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,13),0.0650423 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,14),-0.0284542 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,15),-0.0959415 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,17),-0.0327477 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,18),0.0182707 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,19),-0.0957299 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,20),0.0182707 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,22),0.0139371 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,31),0.178651 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,8),(8,9),(8,10),-0.0235848 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,9),(8,11),0.0398748 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,9),(8,12),-0.0195821 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,9),(8,13),-0.0249861 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,9),(8,14),0.0392925 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,9),(8,15),-0.00951876 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,9),(8,17),0.0398748 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,9),(8,18),-0.0203963 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,9),(8,19),-0.0119164 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,9),(8,20),-0.0203963 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,9),(8,22),-0.0235848 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,9),(8,31),-0.0399925 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,8),(8,10),(8,11),0.31526 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,10),(8,12),0.38607 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,10),(8,13),0.209409 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,10),(8,14),0.323337 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,10),(8,15),0.34698 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,10),(8,17),0.323066 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,10),(8,18),0.258203 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,10),(8,19),0.398114 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,10),(8,20),0.201556 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,10),(8,22),0.048673 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,10),(8,31),-0.0589986 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,8),(8,11),(8,12),0.0157416 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,11),(8,13),-0.0180745 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,11),(8,14),-0.00894676 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,11),(8,15),-0.0180582 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,11),(8,17),-0.00894604 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,11),(8,18),-0.0198036 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,11),(8,19),-0.0180355 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,11),(8,20),-0.0198036 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,11),(8,22),-0.0218891 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,11),(8,31),0.00701319 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,8),(8,12),(8,13),-0.0249861 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,12),(8,14),0.0392925 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,12),(8,15),-0.00951876 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,12),(8,17),0.0398748 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,12),(8,18),-0.0203963 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,12),(8,19),-0.0119164 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,12),(8,20),-0.0203963 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,12),(8,22),-0.0235848 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,12),(8,31),-0.0399925 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,8),(8,13),(8,14),-0.0259405 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,13),(8,15),-0.021861 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,13),(8,17),-0.0259405 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,13),(8,18),-0.0195717 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,13),(8,19),-0.0218609 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,13),(8,20),-0.0195717 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,13),(8,22),-0.0217338 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,13),(8,31),0.00366433 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,8),(8,14),(8,15),-0.0180582 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,14),(8,17),-0.00991424 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,14),(8,18),-0.0198036 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,14),(8,19),-0.0180355 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,14),(8,20),-0.0198036 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,14),(8,22),-0.019735 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,14),(8,31),0.00857873 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,8),(8,15),(8,17),-0.0331547 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,15),(8,18),-0.0215198 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,15),(8,19),-0.0228365 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,15),(8,20),-0.0215198 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,15),(8,22),-0.0129133 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,15),(8,31),-0.00586276 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,8),(8,17),(8,18),-0.0198036 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,17),(8,19),-0.0180355 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,17),(8,20),-0.0198036 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,17),(8,22),-0.0218891 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,17),(8,31),0.00705055 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,8),(8,18),(8,19),-0.0223277 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,18),(8,20),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,18),(8,22),-0.0195269 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,18),(8,31),0.0259475 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,8),(8,19),(8,20),-0.0215198 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,19),(8,22),-0.0129133 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,19),(8,31),-0.00663017 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,8),(8,20),(8,22),-0.0195269 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,20),(8,31),0.0259475 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,8),(8,22),(8,31),-0.0589986 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,8),(8,8),(8,7),0.0370978 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,6),0.0404231 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,5),0.128057 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,4),-0.136463 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,3),-0.136463 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,2),-0.144712 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,1),-0.0751767 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,-1),-0.0130672 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,8),(8,7),(8,6),0.168255 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,7),(8,5),0.0932836 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,7),(8,4),-0.151088 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,7),(8,3),-0.151088 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,7),(8,2),-0.145987 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,7),(8,1),-0.139139 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,7),(8,-1),-0.160271 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,8),(8,6),(8,5),0.0932836 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,6),(8,4),-0.151088 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,6),(8,3),-0.151088 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,6),(8,2),-0.145987 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,6),(8,1),-0.139139 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,6),(8,-1),-0.163597 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,8),(8,5),(8,4),0.175321 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,5),(8,3),0.218119 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,5),(8,2),0.0730139 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,5),(8,1),0.223395 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,5),(8,-1),-0.174785 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,8),(8,4),(8,3),-0.151088 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,4),(8,2),-0.145987 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,4),(8,1),-0.139139 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,4),(8,-1),-0.160271 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,8),(8,3),(8,2),-0.145987 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,3),(8,1),-0.139139 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,3),(8,-1),-0.16027 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,8),(8,2),(8,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,2),(8,-1),-0.129653 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,8),(8,1),(8,-1),-0.0365784 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,9),(9,9),(9,31),0.0694301 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,9),(9,9),(9,-1),-0.0464494 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,10),(10,10),(10,11),-0.0614769 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,10),(10,10),(10,12),-0.0402118 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,10),(10,10),(10,13),-0.036117 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,10),(10,10),(10,14),-0.0615607 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,10),(10,10),(10,15),0.0425703 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,10),(10,10),(10,17),-0.0614769 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,10),(10,10),(10,19),0.0356794 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,10),(10,10),(10,21),0.0356959 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,10),(10,10),(10,22),-0.0241707 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,10),(10,10),(10,23),0.0356959 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,10),(10,10),(10,30),-0.0194405 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,10),(10,10),(10,31),0.122599 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,10),(10,11),(10,12),0.031397 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,11),(10,13),-0.0195456 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,11),(10,14),-0.0252441 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,11),(10,15),-0.0238517 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,11),(10,17),-0.0233054 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,11),(10,19),-0.0238516 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,11),(10,21),-0.0238516 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,11),(10,22),-0.0225107 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,11),(10,23),-0.0238516 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,11),(10,30),-0.0109532 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,11),(10,31),-0.110826 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,10),(10,12),(10,13),-0.0227721 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,12),(10,14),0.0116703 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,12),(10,15),-0.0129313 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,12),(10,17),0.0116703 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,12),(10,19),-0.0169008 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,12),(10,21),-0.0169008 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,12),(10,22),-0.0248205 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,12),(10,23),-0.0169008 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,12),(10,30),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,12),(10,31),-0.0289333 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,10),(10,13),(10,14),-0.0196994 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,13),(10,15),-0.0194496 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,13),(10,17),-0.0196994 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,13),(10,19),-0.0194496 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,13),(10,21),-0.0194496 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,13),(10,22),-0.0197848 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,13),(10,23),-0.0194496 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,13),(10,30),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,13),(10,31),-0.00472002 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,10),(10,14),(10,15),-0.0238517 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,14),(10,17),-0.0233054 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,14),(10,19),-0.0238516 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,14),(10,21),-0.0238516 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,14),(10,22),-0.0225107 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,14),(10,23),-0.0238516 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,14),(10,30),-0.0109532 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,14),(10,31),-0.110909 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,10),(10,15),(10,17),0.0227225 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,15),(10,19),-0.0250992 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,15),(10,21),-0.0250992 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,15),(10,22),-0.0198943 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,15),(10,23),-0.0250992 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,15),(10,30),-0.0194507 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,15),(10,31),-0.0430805 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,10),(10,17),(10,19),-0.0238516 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,17),(10,21),-0.0238516 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,17),(10,22),-0.0225107 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,17),(10,23),-0.0238516 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,17),(10,30),-0.0109532 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,17),(10,31),-0.110826 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,10),(10,19),(10,21),-0.0250992 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,19),(10,22),-0.0198943 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,19),(10,23),-0.0250992 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,19),(10,30),-0.0194507 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,19),(10,31),-0.0544315 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,10),(10,21),(10,22),-0.0198943 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,21),(10,23),-0.0250992 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,21),(10,30),-0.0194507 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,21),(10,31),-0.0543985 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,10),(10,22),(10,23),0.154484 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,22),(10,30),0.0970641 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,22),(10,31),-0.0279225 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,10),(10,23),(10,30),-0.0194507 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,23),(10,31),-0.0543985 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,10),(10,30),(10,31),-0.0204896 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,10),(10,10),(10,9),0.112183 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,10),(10,10),(10,8),0.0552919 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,10),(10,10),(10,7),0.0554018 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,10),(10,10),(10,6),0.0554018 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,10),(10,10),(10,5),0.100701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,10),(10,10),(10,4),-0.147852 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,10),(10,10),(10,3),-0.147852 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,10),(10,10),(10,2),-0.144702 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,10),(10,10),(10,1),-0.145099 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,10),(10,10),(10,-1),0.00757124 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,10),(10,9),(10,8),0.135967 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,9),(10,7),0.135967 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,9),(10,6),0.135967 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,9),(10,5),0.107677 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,9),(10,4),-0.14625 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,9),(10,3),-0.14625 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,9),(10,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,9),(10,1),-0.145116 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,9),(10,-1),-0.16661 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,10),(10,8),(10,7),0.124801 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,8),(10,6),0.124801 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,8),(10,5),0.11076 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,8),(10,4),-0.146756 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,8),(10,3),-0.146756 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,8),(10,2),-0.144725 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,8),(10,1),-0.145856 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,8),(10,-1),-0.204836 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,10),(10,7),(10,6),0.124828 # DEPENDENCYPART_GRANDSIBL
