# _root_ In a statement prepared by lawyers for the university and Connaught , the parties said they agreed that as a result of reaching a C 415 million research accord , `` It is unnecessary that there be a judgment on the merits { of the case } at this time . ''
#goldHeads=15,3,1,3,4,5,4,9,10,7,10,15,14,15,0,17,15,33,33,21,19,21,22,29,29,25,25,29,23,33,33,33,17,33,37,37,33,39,37,39,42,40,42,42,46,44,42,37,50,48,15,15,
#predictedHeads=15,3,1,3,4,5,6,10,10,7,10,15,14,15,0,17,15,33,17,21,19,21,22,29,29,25,25,29,23,17,33,33,17,33,37,37,33,39,37,39,42,40,44,42,46,44,44,37,50,48,15,15,
(9,15),(15,8),(15,4),-0.144811 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,8),(15,3),-0.144878 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,8),(15,1),-0.144715 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,8),(15,-1),-0.163242 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,7),(15,6),-0.144709 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,7),(15,5),-0.145076 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,7),(15,4),-0.144847 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,7),(15,3),-0.144709 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,7),(15,1),-0.14545 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,7),(15,-1),-0.206343 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,6),(15,5),-0.145542 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,6),(15,4),-0.146174 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,6),(15,3),-0.144891 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,6),(15,1),-0.145537 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,6),(15,-1),-0.0937324 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,5),(15,4),-0.144847 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,5),(15,3),-0.144714 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,5),(15,1),-0.14545 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,5),(15,-1),-0.221414 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,4),(15,3),-0.144706 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,4),(15,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,4),(15,-1),-0.15801 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,3),(15,1),-0.145537 # DEPENDENCYPART_GRANDSIBL
(9,15),(15,3),(15,-1),-0.0952919 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(9,15),(15,1),(15,-1),-0.21625 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,1),(1,1),(1,2),0.112621 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,1),(1,1),(1,3),0.0861996 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,1),(1,1),(1,5),0.111237 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,1),(1,1),(1,6),0.0794869 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,1),(1,1),(1,7),0.110946 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,1),(1,1),(1,10),-0.150838 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,1),(1,1),(1,53),-0.0820854 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,1),(1,2),(1,3),0.108053 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,2),(1,5),0.109538 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,2),(1,6),0.108053 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,2),(1,7),0.109538 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,2),(1,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,2),(1,53),-0.16215 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,1),(1,3),(1,5),0.114011 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,3),(1,6),0.107783 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,3),(1,7),0.114222 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,3),(1,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,3),(1,53),-0.145472 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,1),(1,5),(1,6),0.116134 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,5),(1,7),0.10879 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,5),(1,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,5),(1,53),-0.145684 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,1),(1,6),(1,7),0.114222 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,6),(1,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,6),(1,53),-0.152185 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,1),(1,7),(1,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,1),(1,7),(1,53),-0.146558 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,1),(1,10),(1,53),-0.162869 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,1),(1,1),(1,-1),-0.116207 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,2),(2,2),(2,4),0.115642 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,2),(2,2),(2,5),0.0668306 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,2),(2,2),(2,53),-0.128367 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,2),(2,4),(2,5),0.109529 # DEPENDENCYPART_GRANDSIBL
(10,2),(2,4),(2,53),-0.140093 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,2),(2,5),(2,53),-0.186617 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,2),(2,2),(2,1),-0.020728 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,2),(2,2),(2,-1),-0.0834962 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,2),(2,1),(2,-1),-0.016671 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,3),(3,4),0.0950571 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,3),(3,5),0.166761 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,3),(3,6),0.0411836 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,3),(3,7),0.165695 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,3),(3,8),0.0533143 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,3),(3,10),-0.150001 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,3),(3,12),-0.147623 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,3),(3,17),-0.150749 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,3),(3,53),-0.0199972 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,3),(3,4),(3,5),0.0935355 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,4),(3,6),0.120626 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,4),(3,7),0.0929596 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,4),(3,8),0.107317 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,4),(3,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,4),(3,12),-0.153774 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,4),(3,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,4),(3,53),-0.170286 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,5),(3,6),0.110334 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,5),(3,7),0.0981093 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,5),(3,8),0.107818 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,5),(3,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,5),(3,12),-0.145002 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,5),(3,17),-0.147316 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,5),(3,53),-0.0393219 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,6),(3,7),0.0968744 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,6),(3,8),0.115407 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,6),(3,10),-0.144704 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,6),(3,12),-0.152579 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,6),(3,17),-0.144804 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,6),(3,53),-0.159976 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,7),(3,8),0.107884 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,7),(3,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,7),(3,12),-0.145015 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,7),(3,17),-0.147278 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,7),(3,53),-0.0372107 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,8),(3,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,8),(3,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,8),(3,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,8),(3,53),-0.1296 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,10),(3,12),0.0785528 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,10),(3,17),0.0387938 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,10),(3,53),-0.174785 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,3),(3,12),(3,17),-0.147591 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,12),(3,53),-0.14925 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,17),(3,53),-0.17097 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,3),(3,2),0.0156088 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,3),(3,1),-0.0697236 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,3),(3,3),(3,-1),0.180845 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,3),(3,2),(3,1),-0.0231046 # DEPENDENCYPART_GRANDSIBL
(10,3),(3,2),(3,-1),-0.00401004 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,3),(3,1),(3,-1),-0.107222 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,4),(4,4),(4,5),0.0772363 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,4),(4,4),(4,6),0.240482 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,4),(4,4),(4,7),0.0826853 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,4),(4,4),(4,9),0.24158 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,4),(4,4),(4,10),-0.166252 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,4),(4,4),(4,12),-0.144941 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,4),(4,4),(4,15),-0.16243 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,4),(4,4),(4,17),-0.16243 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,4),(4,4),(4,53),-0.211996 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,4),(4,5),(4,6),0.0563561 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,5),(4,7),0.135024 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,5),(4,9),0.0563608 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,5),(4,10),-0.145182 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,5),(4,12),-0.14577 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,5),(4,15),-0.145622 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,5),(4,17),-0.145622 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,5),(4,53),-0.0676682 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,4),(4,6),(4,7),0.124872 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,6),(4,9),0.0911608 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,6),(4,10),-0.147235 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,6),(4,12),-0.147761 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,6),(4,15),-0.149107 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,6),(4,17),-0.149107 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,6),(4,53),-0.0694261 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,4),(4,7),(4,9),0.0524459 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,7),(4,10),-0.14517 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,7),(4,12),-0.14577 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,7),(4,15),-0.145506 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,7),(4,17),-0.145506 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,7),(4,53),-0.0951734 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,4),(4,9),(4,10),-0.147235 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,9),(4,12),-0.147761 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,9),(4,15),-0.149107 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,9),(4,17),-0.149107 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,9),(4,53),-0.0690514 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,4),(4,10),(4,12),0.0786142 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,4),(4,10),(4,15),0.0135939 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,4),(4,10),(4,17),0.0379833 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,4),(4,10),(4,53),-0.117133 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,4),(4,12),(4,15),-0.153537 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,12),(4,17),-0.15354 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,12),(4,53),-0.155134 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,4),(4,15),(4,17),-0.145246 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,15),(4,53),-0.0535675 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,4),(4,17),(4,53),-0.0533808 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,4),(4,4),(4,3),-0.0235592 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,4),(4,4),(4,2),-0.0484896 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,4),(4,4),(4,1),-0.0651199 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,4),(4,4),(4,-1),0.197347 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,4),(4,3),(4,2),-0.0170799 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,3),(4,1),-0.0681109 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,3),(4,-1),-0.0116233 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,4),(4,2),(4,1),-0.0274331 # DEPENDENCYPART_GRANDSIBL
(10,4),(4,2),(4,-1),-0.0470787 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,4),(4,1),(4,-1),-0.114671 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,5),(5,5),(5,6),0.0684321 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,5),(5,5),(5,7),0.111902 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,5),(5,5),(5,9),0.0702976 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,5),(5,5),(5,10),-0.150912 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,5),(5,5),(5,11),-0.117774 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,5),(5,5),(5,53),-0.0884094 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,5),(5,6),(5,7),0.113727 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,6),(5,9),0.107786 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,6),(5,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,6),(5,11),-0.144703 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,6),(5,53),-0.161988 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,5),(5,7),(5,9),0.116538 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,7),(5,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,7),(5,11),-0.144904 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,7),(5,53),-0.145309 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,5),(5,9),(5,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,9),(5,11),-0.144703 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,9),(5,53),-0.160123 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,5),(5,10),(5,11),0.247762 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,5),(5,10),(5,53),-0.159955 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,5),(5,11),(5,53),-0.160043 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,5),(5,5),(5,4),0.0010016 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,5),(5,5),(5,3),0.0218084 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,5),(5,5),(5,1),-0.0442389 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,5),(5,5),(5,-1),-0.122313 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,5),(5,4),(5,3),-0.021016 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,4),(5,1),-0.0194546 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,4),(5,-1),-0.000394459 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,5),(5,3),(5,1),-0.0238525 # DEPENDENCYPART_GRANDSIBL
(10,5),(5,3),(5,-1),-0.016769 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,5),(5,1),(5,-1),-0.0443935 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,6),(6,6),(6,7),0.160803 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,8),0.0527787 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,9),0.0440703 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,10),-0.150001 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,11),-0.136463 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,12),-0.147623 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,14),-0.136463 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,15),-0.150753 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,17),-0.150749 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,53),-0.0102604 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,6),(6,7),(6,8),0.107884 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,7),(6,9),0.110304 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,7),(6,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,7),(6,11),-0.145207 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,7),(6,12),-0.145015 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,7),(6,14),-0.145207 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,7),(6,15),-0.147278 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,7),(6,17),-0.147278 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,7),(6,53),-0.0420512 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,6),(6,8),(6,9),0.117023 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,8),(6,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,8),(6,11),-0.144775 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,8),(6,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,8),(6,14),-0.144775 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,8),(6,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,8),(6,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,8),(6,53),-0.130145 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,6),(6,9),(6,10),-0.144704 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,9),(6,11),-0.151088 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,9),(6,12),-0.15258 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,9),(6,14),-0.151088 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,9),(6,15),-0.144804 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,9),(6,17),-0.144804 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,9),(6,53),-0.160407 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,6),(6,10),(6,11),0.242627 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,10),(6,12),0.0785528 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,10),(6,14),0.0610848 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,10),(6,15),0.0144044 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,10),(6,17),0.0387938 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,10),(6,53),-0.174785 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,6),(6,11),(6,12),-0.152579 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,11),(6,14),-0.151088 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,11),(6,15),-0.144804 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,11),(6,17),-0.144804 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,11),(6,53),-0.159935 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,6),(6,12),(6,14),-0.157847 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,12),(6,15),-0.147591 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,12),(6,17),-0.147591 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,12),(6,53),-0.14924 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,6),(6,14),(6,15),-0.144804 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,14),(6,17),-0.144804 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,14),(6,53),-0.159937 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,6),(6,15),(6,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,15),(6,53),-0.1683 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,6),(6,17),(6,53),-0.170584 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,6),(6,6),(6,5),-0.052225 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,4),-0.0956411 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,3),-0.0354668 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,2),0.0173011 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,1),-0.0664909 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,6),(6,6),(6,-1),0.177218 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,6),(6,5),(6,4),-0.00472544 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,5),(6,3),-0.0321002 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,5),(6,2),-0.0210587 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,5),(6,1),0.00271208 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,5),(6,-1),-0.0879699 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,6),(6,4),(6,3),-0.0331184 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,4),(6,2),-0.0171759 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,4),(6,1),-0.0101412 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,4),(6,-1),-0.00622176 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,6),(6,3),(6,2),-0.0173847 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,3),(6,1),-0.0317613 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,3),(6,-1),0.00435693 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,6),(6,2),(6,1),-0.0231046 # DEPENDENCYPART_GRANDSIBL
(10,6),(6,2),(6,-1),-0.00277377 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,6),(6,1),(6,-1),-0.10399 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,7),(7,7),(7,8),0.113803 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,7),(7,9),0.0613651 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,7),(7,10),-0.150862 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,7),(7,11),-0.118814 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,7),(7,14),-0.118843 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,7),(7,15),-0.149567 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(10,7),(7,7),(7,53),-0.0596166 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(10,7),(7,8),(7,9),0.10826 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,8),(7,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,8),(7,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,8),(7,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,8),(7,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,8),(7,53),-0.161468 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,7),(7,9),(7,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,9),(7,11),-0.144703 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,9),(7,14),-0.144703 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,9),(7,15),-0.144704 # DEPENDENCYPART_GRANDSIBL
(10,7),(7,9),(7,53),-0.170119 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(10,7),(7,10),(7,11),0.247762 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
