# _root_ J. Nicholas Hahn , Cotton Inc. 's president and chief executive , was an outspoken critic of WPP Group 's acquisition of Ogilvy Group earlier this year .
#goldHeads=3,3,13,3,6,9,6,9,3,11,9,3,0,16,16,13,16,19,21,19,17,21,24,22,27,27,21,13,
#predictedHeads=3,3,13,3,6,8,6,9,3,11,9,3,0,16,16,13,16,19,21,19,17,21,24,22,27,27,21,13,
(11,5),(5,1),0.00271828 # DEPENDENCYPART_GRANDPAR
(11,5),(5,2),-0.0463283 # DEPENDENCYPART_GRANDPAR
(11,5),(5,3),-0.162044 # DEPENDENCYPART_GRANDPAR
(11,5),(5,4),-0.114585 # DEPENDENCYPART_GRANDPAR
(11,5),(5,6),-0.06186 # DEPENDENCYPART_GRANDPAR
(11,5),(5,7),1.09008 # DEPENDENCYPART_GRANDPAR
(11,5),(5,8),0.056229 # DEPENDENCYPART_GRANDPAR
(11,5),(5,12),-0.522914 # DEPENDENCYPART_GRANDPAR
(11,6),(6,1),0.0325481 # DEPENDENCYPART_GRANDPAR
(11,6),(6,2),-0.0164985 # DEPENDENCYPART_GRANDPAR
(11,6),(6,3),-0.132214 # DEPENDENCYPART_GRANDPAR
(11,6),(6,4),-0.103974 # DEPENDENCYPART_GRANDPAR
(11,6),(6,5),0.194602 # DEPENDENCYPART_GRANDPAR
(11,6),(6,7),1.11804 # DEPENDENCYPART_GRANDPAR
(11,6),(6,8),0.0951954 # DEPENDENCYPART_GRANDPAR
(11,6),(6,9),0.0333388 # DEPENDENCYPART_GRANDPAR
(11,6),(6,10),0.505141 # DEPENDENCYPART_GRANDPAR
(11,6),(6,11),-1.31332 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(11,6),(6,12),-0.52303 # DEPENDENCYPART_GRANDPAR
(11,6),(6,13),-0.901148 # DEPENDENCYPART_GRANDPAR
(11,6),(6,16),-0.87735 # DEPENDENCYPART_GRANDPAR
(11,6),(6,28),-1.34075 # DEPENDENCYPART_GRANDPAR
(11,8),(8,1),0.00879372 # DEPENDENCYPART_GRANDPAR
(11,8),(8,2),-0.0381649 # DEPENDENCYPART_GRANDPAR
(11,8),(8,3),-0.155968 # DEPENDENCYPART_GRANDPAR
(11,8),(8,4),-0.0903364 # DEPENDENCYPART_GRANDPAR
(11,8),(8,5),0.169943 # DEPENDENCYPART_GRANDPAR
(11,8),(8,6),-0.0401095 # DEPENDENCYPART_GRANDPAR
(11,8),(8,7),0.488523 # DEPENDENCYPART_GRANDPAR
(11,8),(8,9),0.0315166 # DEPENDENCYPART_GRANDPAR
(11,8),(8,10),0.51878 # DEPENDENCYPART_GRANDPAR
(11,8),(8,11),-1.31678 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(11,8),(8,12),-0.526137 # DEPENDENCYPART_GRANDPAR
(11,8),(8,13),-0.903609 # DEPENDENCYPART_GRANDPAR
(11,8),(8,16),-0.880804 # DEPENDENCYPART_GRANDPAR
(11,9),(9,1),-0.0301565 # DEPENDENCYPART_GRANDPAR
(11,9),(9,2),-0.0865116 # DEPENDENCYPART_GRANDPAR
(11,9),(9,3),-0.199542 # DEPENDENCYPART_GRANDPAR
(11,9),(9,4),-0.179309 # DEPENDENCYPART_GRANDPAR
(11,9),(9,5),0.126672 # DEPENDENCYPART_GRANDPAR
(11,9),(9,6),-0.0827967 # DEPENDENCYPART_GRANDPAR
(11,9),(9,8),-0.0150735 # DEPENDENCYPART_GRANDPAR
(11,9),(9,10),0.325409 # DEPENDENCYPART_GRANDPAR
(11,9),(9,11),-1.43763 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(11,9),(9,12),-0.489683 # DEPENDENCYPART_GRANDPAR
(11,9),(9,13),-0.922214 # DEPENDENCYPART_GRANDPAR
(11,9),(9,14),-0.622073 # DEPENDENCYPART_GRANDPAR
(11,9),(9,15),-0.730125 # DEPENDENCYPART_GRANDPAR
(11,9),(9,16),-1.00122 # DEPENDENCYPART_GRANDPAR
(11,9),(9,17),-0.606697 # DEPENDENCYPART_GRANDPAR
(11,9),(9,19),-0.972092 # DEPENDENCYPART_GRANDPAR
(11,9),(9,21),-1.2281 # DEPENDENCYPART_GRANDPAR
(11,9),(9,22),-0.824884 # DEPENDENCYPART_GRANDPAR
(11,9),(9,24),-1.15373 # DEPENDENCYPART_GRANDPAR
(11,9),(9,28),-1.34516 # DEPENDENCYPART_GRANDPAR
(11,10),(10,6),0.0277374 # DEPENDENCYPART_GRANDPAR
(11,10),(10,8),0.135042 # DEPENDENCYPART_GRANDPAR
(11,10),(10,11),-1.30904 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(11,10),(10,13),-0.823494 # DEPENDENCYPART_GRANDPAR
(11,13),(13,1),-0.687398 # DEPENDENCYPART_GRANDPAR
(11,13),(13,2),-0.744983 # DEPENDENCYPART_GRANDPAR
(11,13),(13,3),-0.859365 # DEPENDENCYPART_GRANDPAR
(11,13),(13,4),-0.762582 # DEPENDENCYPART_GRANDPAR
(11,13),(13,5),-0.531757 # DEPENDENCYPART_GRANDPAR
(11,13),(13,6),-0.727204 # DEPENDENCYPART_GRANDPAR
(11,13),(13,8),-0.618154 # DEPENDENCYPART_GRANDPAR
(11,13),(13,9),-0.684016 # DEPENDENCYPART_GRANDPAR
(11,13),(13,10),-0.131609 # DEPENDENCYPART_GRANDPAR
(11,13),(13,11),-0.887713 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(11,13),(13,12),-0.0356444 # DEPENDENCYPART_GRANDPAR
(11,13),(13,14),-0.237005 # DEPENDENCYPART_GRANDPAR
(11,13),(13,15),-0.241306 # DEPENDENCYPART_GRANDPAR
(11,13),(13,16),-0.343795 # DEPENDENCYPART_GRANDPAR
(11,13),(13,17),-0.0611363 # DEPENDENCYPART_GRANDPAR
(11,13),(13,18),-0.420444 # DEPENDENCYPART_GRANDPAR
(11,13),(13,19),-0.318683 # DEPENDENCYPART_GRANDPAR
(11,13),(13,21),-0.584934 # DEPENDENCYPART_GRANDPAR
(11,13),(13,22),-0.279323 # DEPENDENCYPART_GRANDPAR
(11,13),(13,23),-0.647627 # DEPENDENCYPART_GRANDPAR
(11,13),(13,24),-0.500325 # DEPENDENCYPART_GRANDPAR
(11,13),(13,27),-0.628809 # DEPENDENCYPART_GRANDPAR
(11,13),(13,28),-0.92224 # DEPENDENCYPART_GRANDPAR
(11,16),(16,9),-0.588937 # DEPENDENCYPART_GRANDPAR
(11,16),(16,10),-0.0990521 # DEPENDENCYPART_GRANDPAR
(11,16),(16,11),-0.765895 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(11,16),(16,12),0.0799028 # DEPENDENCYPART_GRANDPAR
(11,16),(16,13),-0.240363 # DEPENDENCYPART_GRANDPAR
(11,16),(16,14),0.0802414 # DEPENDENCYPART_GRANDPAR
(11,16),(16,15),-0.146158 # DEPENDENCYPART_GRANDPAR
(11,16),(16,17),-0.0743853 # DEPENDENCYPART_GRANDPAR
(11,16),(16,18),-0.399949 # DEPENDENCYPART_GRANDPAR
(11,16),(16,19),-0.284793 # DEPENDENCYPART_GRANDPAR
(11,16),(16,21),-0.566025 # DEPENDENCYPART_GRANDPAR
(11,16),(16,22),-0.292572 # DEPENDENCYPART_GRANDPAR
(11,16),(16,23),-0.626103 # DEPENDENCYPART_GRANDPAR
(11,16),(16,24),-0.466435 # DEPENDENCYPART_GRANDPAR
(11,16),(16,25),-0.186717 # DEPENDENCYPART_GRANDPAR
(11,16),(16,26),-0.227171 # DEPENDENCYPART_GRANDPAR
(11,16),(16,27),-0.672275 # DEPENDENCYPART_GRANDPAR
(11,16),(16,28),-0.788738 # DEPENDENCYPART_GRANDPAR
(11,17),(17,15),-0.249113 # DEPENDENCYPART_GRANDPAR
(11,17),(17,18),-0.3103 # DEPENDENCYPART_GRANDPAR
(11,17),(17,19),-0.206761 # DEPENDENCYPART_GRANDPAR
(11,17),(17,21),-0.494279 # DEPENDENCYPART_GRANDPAR
(11,17),(17,22),-0.129062 # DEPENDENCYPART_GRANDPAR
(11,17),(17,23),-0.536835 # DEPENDENCYPART_GRANDPAR
(11,17),(17,24),-0.388403 # DEPENDENCYPART_GRANDPAR
(11,17),(17,25),-0.0764895 # DEPENDENCYPART_GRANDPAR
(11,17),(17,27),-0.563808 # DEPENDENCYPART_GRANDPAR
(11,21),(21,10),-0.0990532 # DEPENDENCYPART_GRANDPAR
(11,21),(21,14),0.0817941 # DEPENDENCYPART_GRANDPAR
(11,21),(21,15),-0.156065 # DEPENDENCYPART_GRANDPAR
(11,21),(21,16),-0.363225 # DEPENDENCYPART_GRANDPAR
(11,21),(21,17),0.0536529 # DEPENDENCYPART_GRANDPAR
(11,21),(21,18),-0.438696 # DEPENDENCYPART_GRANDPAR
(11,21),(21,19),-0.335475 # DEPENDENCYPART_GRANDPAR
(11,21),(21,20),-0.465498 # DEPENDENCYPART_GRANDPAR
(11,21),(21,22),-0.286678 # DEPENDENCYPART_GRANDPAR
(11,21),(21,23),-0.623906 # DEPENDENCYPART_GRANDPAR
(11,21),(21,24),-0.464238 # DEPENDENCYPART_GRANDPAR
(11,21),(21,25),-0.188795 # DEPENDENCYPART_GRANDPAR
(11,21),(21,26),-0.226862 # DEPENDENCYPART_GRANDPAR
(11,21),(21,27),-0.667909 # DEPENDENCYPART_GRANDPAR
(11,21),(21,28),-0.790031 # DEPENDENCYPART_GRANDPAR
(13,1),(1,2),0.522722 # DEPENDENCYPART_GRANDPAR
(13,1),(1,3),0.32894 # DEPENDENCYPART_GRANDPAR
(13,1),(1,4),0.583799 # DEPENDENCYPART_GRANDPAR
(13,1),(1,6),0.4442 # DEPENDENCYPART_GRANDPAR
(13,1),(1,7),0.130344 # DEPENDENCYPART_GRANDPAR
(13,1),(1,8),0.335794 # DEPENDENCYPART_GRANDPAR
(13,1),(1,9),0.360691 # DEPENDENCYPART_GRANDPAR
(13,1),(1,11),0.222134 # DEPENDENCYPART_GRANDPAR
(13,1),(1,12),0.803233 # DEPENDENCYPART_GRANDPAR
(13,1),(1,13),-0.886435 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(13,2),(2,1),0.62383 # DEPENDENCYPART_GRANDPAR
(13,2),(2,3),0.32975 # DEPENDENCYPART_GRANDPAR
(13,2),(2,4),0.577659 # DEPENDENCYPART_GRANDPAR
(13,2),(2,6),0.44501 # DEPENDENCYPART_GRANDPAR
(13,2),(2,7),0.129398 # DEPENDENCYPART_GRANDPAR
(13,2),(2,8),0.336007 # DEPENDENCYPART_GRANDPAR
(13,2),(2,9),0.360971 # DEPENDENCYPART_GRANDPAR
(13,2),(2,11),0.222897 # DEPENDENCYPART_GRANDPAR
(13,2),(2,12),0.797093 # DEPENDENCYPART_GRANDPAR
(13,2),(2,13),-0.886834 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(13,3),(3,1),0.622608 # DEPENDENCYPART_GRANDPAR
(13,3),(3,2),0.454125 # DEPENDENCYPART_GRANDPAR
(13,3),(3,4),0.585525 # DEPENDENCYPART_GRANDPAR
(13,3),(3,5),0.399012 # DEPENDENCYPART_GRANDPAR
(13,3),(3,6),0.445808 # DEPENDENCYPART_GRANDPAR
(13,3),(3,7),0.131125 # DEPENDENCYPART_GRANDPAR
(13,3),(3,8),0.337401 # DEPENDENCYPART_GRANDPAR
(13,3),(3,9),0.362415 # DEPENDENCYPART_GRANDPAR
(13,3),(3,11),0.223742 # DEPENDENCYPART_GRANDPAR
(13,3),(3,12),0.804959 # DEPENDENCYPART_GRANDPAR
(13,3),(3,13),-0.886438 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(13,3),(3,16),0.180856 # DEPENDENCYPART_GRANDPAR
(13,3),(3,17),0.231001 # DEPENDENCYPART_GRANDPAR
(13,3),(3,19),-0.256429 # DEPENDENCYPART_GRANDPAR
(13,3),(3,21),-0.177794 # DEPENDENCYPART_GRANDPAR
(13,3),(3,28),-0.679874 # DEPENDENCYPART_GRANDPAR
(13,5),(5,1),0.614334 # DEPENDENCYPART_GRANDPAR
(13,5),(5,2),0.445851 # DEPENDENCYPART_GRANDPAR
(13,5),(5,3),0.242427 # DEPENDENCYPART_GRANDPAR
(13,5),(5,4),0.50167 # DEPENDENCYPART_GRANDPAR
(13,5),(5,6),0.441013 # DEPENDENCYPART_GRANDPAR
(13,5),(5,7),0.128034 # DEPENDENCYPART_GRANDPAR
(13,5),(5,8),0.332606 # DEPENDENCYPART_GRANDPAR
(13,5),(5,12),0.801707 # DEPENDENCYPART_GRANDPAR
(13,6),(6,1),0.618477 # DEPENDENCYPART_GRANDPAR
(13,6),(6,2),0.449993 # DEPENDENCYPART_GRANDPAR
(13,6),(6,3),0.24657 # DEPENDENCYPART_GRANDPAR
(13,6),(6,4),0.512488 # DEPENDENCYPART_GRANDPAR
(13,6),(6,5),0.319663 # DEPENDENCYPART_GRANDPAR
(13,6),(6,7),0.140551 # DEPENDENCYPART_GRANDPAR
(13,6),(6,8),0.378572 # DEPENDENCYPART_GRANDPAR
(13,6),(6,9),0.368805 # DEPENDENCYPART_GRANDPAR
(13,6),(6,10),0.145697 # DEPENDENCYPART_GRANDPAR
(13,6),(6,11),0.265162 # DEPENDENCYPART_GRANDPAR
(13,6),(6,12),0.789303 # DEPENDENCYPART_GRANDPAR
(13,6),(6,13),-0.888753 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(13,6),(6,16),0.176769 # DEPENDENCYPART_GRANDPAR
(13,6),(6,28),-0.68152 # DEPENDENCYPART_GRANDPAR
(13,8),(8,1),0.562394 # DEPENDENCYPART_GRANDPAR
(13,8),(8,2),0.395999 # DEPENDENCYPART_GRANDPAR
(13,8),(8,3),0.190487 # DEPENDENCYPART_GRANDPAR
(13,8),(8,4),0.528393 # DEPENDENCYPART_GRANDPAR
(13,8),(8,5),0.263127 # DEPENDENCYPART_GRANDPAR
(13,8),(8,6),0.301662 # DEPENDENCYPART_GRANDPAR
(13,8),(8,7),-0.286912 # DEPENDENCYPART_GRANDPAR
(13,8),(8,9),0.323775 # DEPENDENCYPART_GRANDPAR
(13,8),(8,10),0.125534 # DEPENDENCYPART_GRANDPAR
(13,8),(8,11),0.195766 # DEPENDENCYPART_GRANDPAR
(13,8),(8,12),0.755474 # DEPENDENCYPART_GRANDPAR
(13,8),(8,13),-0.887193 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(13,8),(8,16),0.179018 # DEPENDENCYPART_GRANDPAR
(13,9),(9,1),0.674622 # DEPENDENCYPART_GRANDPAR
(13,9),(9,2),0.498057 # DEPENDENCYPART_GRANDPAR
(13,9),(9,3),0.300255 # DEPENDENCYPART_GRANDPAR
(13,9),(9,4),0.410903 # DEPENDENCYPART_GRANDPAR
(13,9),(9,5),0.381078 # DEPENDENCYPART_GRANDPAR
(13,9),(9,6),0.434219 # DEPENDENCYPART_GRANDPAR
(13,9),(9,8),0.241509 # DEPENDENCYPART_GRANDPAR
(13,9),(9,10),-0.134113 # DEPENDENCYPART_GRANDPAR
(13,9),(9,11),0.0791435 # DEPENDENCYPART_GRANDPAR
(13,9),(9,12),0.692824 # DEPENDENCYPART_GRANDPAR
(13,9),(9,13),-1.10047 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(13,9),(9,14),0.108955 # DEPENDENCYPART_GRANDPAR
(13,9),(9,15),-0.252378 # DEPENDENCYPART_GRANDPAR
(13,9),(9,16),-0.1812 # DEPENDENCYPART_GRANDPAR
(13,9),(9,17),-0.1449 # DEPENDENCYPART_GRANDPAR
(13,9),(9,19),-0.616913 # DEPENDENCYPART_GRANDPAR
(13,9),(9,21),-0.539638 # DEPENDENCYPART_GRANDPAR
(13,9),(9,22),-0.605756 # DEPENDENCYPART_GRANDPAR
(13,9),(9,24),-0.840358 # DEPENDENCYPART_GRANDPAR
(13,9),(9,28),-0.85653 # DEPENDENCYPART_GRANDPAR
(13,10),(10,6),0.331094 # DEPENDENCYPART_GRANDPAR
(13,10),(10,8),0.217991 # DEPENDENCYPART_GRANDPAR
(13,10),(10,11),0.183248 # DEPENDENCYPART_GRANDPAR
(13,10),(10,13),-0.856028 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(13,11),(11,3),0.24719 # DEPENDENCYPART_GRANDPAR
(13,11),(11,4),0.504334 # DEPENDENCYPART_GRANDPAR
(13,11),(11,5),0.319831 # DEPENDENCYPART_GRANDPAR
(13,11),(11,6),0.358931 # DEPENDENCYPART_GRANDPAR
(13,11),(11,8),0.299055 # DEPENDENCYPART_GRANDPAR
(13,11),(11,9),0.185688 # DEPENDENCYPART_GRANDPAR
(13,11),(11,10),0.180736 # DEPENDENCYPART_GRANDPAR
(13,11),(11,12),0.810288 # DEPENDENCYPART_GRANDPAR
(13,11),(11,13),-0.886521 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(13,11),(11,16),0.180777 # DEPENDENCYPART_GRANDPAR
(13,11),(11,17),0.230919 # DEPENDENCYPART_GRANDPAR
(13,11),(11,21),-0.177873 # DEPENDENCYPART_GRANDPAR
(13,14),(14,15),0.266784 # DEPENDENCYPART_GRANDPAR
(13,14),(14,17),0.425804 # DEPENDENCYPART_GRANDPAR
(13,14),(14,22),-0.0350517 # DEPENDENCYPART_GRANDPAR
(13,15),(15,8),-0.147855 # DEPENDENCYPART_GRANDPAR
(13,15),(15,9),-0.269247 # DEPENDENCYPART_GRANDPAR
(13,15),(15,11),-0.252687 # DEPENDENCYPART_GRANDPAR
(13,15),(15,14),0.589259 # DEPENDENCYPART_GRANDPAR
(13,15),(15,17),0.36036 # DEPENDENCYPART_GRANDPAR
(13,15),(15,19),-0.0121772 # DEPENDENCYPART_GRANDPAR
(13,15),(15,21),0.0771791 # DEPENDENCYPART_GRANDPAR
(13,16),(16,9),-0.322846 # DEPENDENCYPART_GRANDPAR
(13,16),(16,10),-0.257977 # DEPENDENCYPART_GRANDPAR
(13,16),(16,11),-0.151231 # DEPENDENCYPART_GRANDPAR
(13,16),(16,12),0.163048 # DEPENDENCYPART_GRANDPAR
(13,16),(16,13),-0.353653 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(13,16),(16,14),0.829665 # DEPENDENCYPART_GRANDPAR
(13,16),(16,15),0.326253 # DEPENDENCYPART_GRANDPAR
(13,16),(16,17),0.391765 # DEPENDENCYPART_GRANDPAR
(13,16),(16,18),0.0262177 # DEPENDENCYPART_GRANDPAR
(13,16),(16,19),0.0203441 # DEPENDENCYPART_GRANDPAR
(13,16),(16,21),0.105273 # DEPENDENCYPART_GRANDPAR
(13,16),(16,22),-0.0690903 # DEPENDENCYPART_GRANDPAR
(13,16),(16,23),-0.237234 # DEPENDENCYPART_GRANDPAR
(13,16),(16,24),-0.203101 # DEPENDENCYPART_GRANDPAR
(13,16),(16,25),-0.239453 # DEPENDENCYPART_GRANDPAR
(13,16),(16,26),0.407729 # DEPENDENCYPART_GRANDPAR
(13,16),(16,27),0.272645 # DEPENDENCYPART_GRANDPAR
(13,16),(16,28),-0.317148 # DEPENDENCYPART_GRANDPAR
(13,17),(17,15),0.122436 # DEPENDENCYPART_GRANDPAR
(13,17),(17,18),-0.0268415 # DEPENDENCYPART_GRANDPAR
(13,17),(17,19),-0.0305958 # DEPENDENCYPART_GRANDPAR
(13,17),(17,21),0.0477502 # DEPENDENCYPART_GRANDPAR
(13,17),(17,22),-0.0367724 # DEPENDENCYPART_GRANDPAR
(13,17),(17,23),-0.290507 # DEPENDENCYPART_GRANDPAR
(13,17),(17,24),-0.254041 # DEPENDENCYPART_GRANDPAR
(13,17),(17,25),-0.323086 # DEPENDENCYPART_GRANDPAR
(13,17),(17,27),0.221666 # DEPENDENCYPART_GRANDPAR
(13,18),(18,19),0.0194324 # DEPENDENCYPART_GRANDPAR
(13,18),(18,20),-0.466648 # DEPENDENCYPART_GRANDPAR
(13,18),(18,22),-0.0694218 # DEPENDENCYPART_GRANDPAR
(13,18),(18,24),-0.204013 # DEPENDENCYPART_GRANDPAR
(13,19),(19,10),-0.259965 # DEPENDENCYPART_GRANDPAR
(13,19),(19,14),0.897033 # DEPENDENCYPART_GRANDPAR
(13,19),(19,15),0.387698 # DEPENDENCYPART_GRANDPAR
(13,19),(19,16),0.588475 # DEPENDENCYPART_GRANDPAR
(13,19),(19,17),0.363343 # DEPENDENCYPART_GRANDPAR
(13,19),(19,18),0.144312 # DEPENDENCYPART_GRANDPAR
(13,19),(19,20),-0.46248 # DEPENDENCYPART_GRANDPAR
(13,19),(19,21),0.11548 # DEPENDENCYPART_GRANDPAR
(13,19),(19,22),-0.0775325 # DEPENDENCYPART_GRANDPAR
(13,19),(19,23),-0.227027 # DEPENDENCYPART_GRANDPAR
(13,19),(19,24),-0.192895 # DEPENDENCYPART_GRANDPAR
(13,19),(19,27),0.280269 # DEPENDENCYPART_GRANDPAR
(13,19),(19,28),-0.31394 # DEPENDENCYPART_GRANDPAR
(13,21),(21,10),-0.257622 # DEPENDENCYPART_GRANDPAR
(13,21),(21,14),0.840211 # DEPENDENCYPART_GRANDPAR
(13,21),(21,15),0.325391 # DEPENDENCYPART_GRANDPAR
(13,21),(21,16),0.547009 # DEPENDENCYPART_GRANDPAR
(13,21),(21,17),0.328534 # DEPENDENCYPART_GRANDPAR
(13,21),(21,18),0.102869 # DEPENDENCYPART_GRANDPAR
(13,21),(21,19),0.125003 # DEPENDENCYPART_GRANDPAR
(13,21),(21,20),-0.0806986 # DEPENDENCYPART_GRANDPAR
(13,21),(21,22),-0.0682527 # DEPENDENCYPART_GRANDPAR
(13,21),(21,23),-0.240745 # DEPENDENCYPART_GRANDPAR
(13,21),(21,24),-0.206612 # DEPENDENCYPART_GRANDPAR
(13,21),(21,25),-0.246596 # DEPENDENCYPART_GRANDPAR
(13,21),(21,26),0.406195 # DEPENDENCYPART_GRANDPAR
(13,21),(21,27),0.27347 # DEPENDENCYPART_GRANDPAR
(13,21),(21,28),-0.322747 # DEPENDENCYPART_GRANDPAR
(13,22),(22,23),-0.290507 # DEPENDENCYPART_GRANDPAR
(13,22),(22,24),-0.254041 # DEPENDENCYPART_GRANDPAR
(13,22),(22,25),-0.323086 # DEPENDENCYPART_GRANDPAR
(13,22),(22,27),0.221666 # DEPENDENCYPART_GRANDPAR
(13,23),(23,24),-0.204041 # DEPENDENCYPART_GRANDPAR
(13,23),(23,27),0.271705 # DEPENDENCYPART_GRANDPAR
(13,24),(24,15),0.387698 # DEPENDENCYPART_GRANDPAR
(13,24),(24,16),0.588475 # DEPENDENCYPART_GRANDPAR
(13,24),(24,18),0.144312 # DEPENDENCYPART_GRANDPAR
(13,24),(24,19),0.166427 # DEPENDENCYPART_GRANDPAR
(13,24),(24,21),0.230517 # DEPENDENCYPART_GRANDPAR
(13,24),(24,22),-0.0975129 # DEPENDENCYPART_GRANDPAR
(13,24),(24,23),-0.118849 # DEPENDENCYPART_GRANDPAR
(13,24),(24,27),0.280269 # DEPENDENCYPART_GRANDPAR
(13,24),(24,28),-0.31394 # DEPENDENCYPART_GRANDPAR
(13,27),(27,14),0.801431 # DEPENDENCYPART_GRANDPAR
(13,27),(27,15),0.32273 # DEPENDENCYPART_GRANDPAR
(13,27),(27,16),0.495684 # DEPENDENCYPART_GRANDPAR
(13,27),(27,19),0.0736545 # DEPENDENCYPART_GRANDPAR
(13,27),(27,21),0.137726 # DEPENDENCYPART_GRANDPAR
(13,27),(27,22),-0.116344 # DEPENDENCYPART_GRANDPAR
(13,27),(27,23),-0.21164 # DEPENDENCYPART_GRANDPAR
(13,27),(27,24),-0.149791 # DEPENDENCYPART_GRANDPAR
(13,27),(27,25),-0.261131 # DEPENDENCYPART_GRANDPAR
(13,27),(27,26),0.636712 # DEPENDENCYPART_GRANDPAR
(13,27),(27,28),-0.354208 # DEPENDENCYPART_GRANDPAR
(13,28),(28,27),0.130817 # DEPENDENCYPART_GRANDPAR
(14,15),(15,8),-0.631781 # DEPENDENCYPART_GRANDPAR
(14,15),(15,9),-0.568768 # DEPENDENCYPART_GRANDPAR
(14,15),(15,11),-0.573259 # DEPENDENCYPART_GRANDPAR
(14,15),(15,14),-0.631095 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(14,15),(15,17),0.223308 # DEPENDENCYPART_GRANDPAR
(14,15),(15,19),0.0774933 # DEPENDENCYPART_GRANDPAR
(14,15),(15,21),-0.0118771 # DEPENDENCYPART_GRANDPAR
(14,17),(17,15),0.324911 # DEPENDENCYPART_GRANDPAR
(14,17),(17,18),0.243475 # DEPENDENCYPART_GRANDPAR
(14,17),(17,19),0.237664 # DEPENDENCYPART_GRANDPAR
(14,17),(17,21),0.134761 # DEPENDENCYPART_GRANDPAR
(14,17),(17,22),0.214641 # DEPENDENCYPART_GRANDPAR
(14,17),(17,23),0.109083 # DEPENDENCYPART_GRANDPAR
(14,17),(17,24),0.127361 # DEPENDENCYPART_GRANDPAR
(14,17),(17,25),0.366453 # DEPENDENCYPART_GRANDPAR
(14,17),(17,27),0.0514477 # DEPENDENCYPART_GRANDPAR
(14,22),(22,23),0.109083 # DEPENDENCYPART_GRANDPAR
(14,22),(22,24),0.127361 # DEPENDENCYPART_GRANDPAR
(14,22),(22,25),0.366453 # DEPENDENCYPART_GRANDPAR
(14,22),(22,27),0.0514477 # DEPENDENCYPART_GRANDPAR
(15,8),(8,1),-0.65722 # DEPENDENCYPART_GRANDPAR
(15,8),(8,2),-0.607673 # DEPENDENCYPART_GRANDPAR
(15,8),(8,3),-0.662683 # DEPENDENCYPART_GRANDPAR
(15,8),(8,4),-0.574892 # DEPENDENCYPART_GRANDPAR
(15,8),(8,5),-0.523265 # DEPENDENCYPART_GRANDPAR
(15,8),(8,6),-0.561381 # DEPENDENCYPART_GRANDPAR
(15,8),(8,7),-0.385495 # DEPENDENCYPART_GRANDPAR
(15,8),(8,9),-0.313727 # DEPENDENCYPART_GRANDPAR
(15,8),(8,10),-0.230463 # DEPENDENCYPART_GRANDPAR
(15,8),(8,11),-0.454323 # DEPENDENCYPART_GRANDPAR
(15,8),(8,12),-0.41906 # DEPENDENCYPART_GRANDPAR
(15,8),(8,13),-0.404563 # DEPENDENCYPART_GRANDPAR
(15,8),(8,16),-0.035822 # DEPENDENCYPART_GRANDPAR
(15,9),(9,1),-0.59224 # DEPENDENCYPART_GRANDPAR
(15,9),(9,2),-0.550968 # DEPENDENCYPART_GRANDPAR
(15,9),(9,3),-0.600838 # DEPENDENCYPART_GRANDPAR
(15,9),(9,4),-0.606877 # DEPENDENCYPART_GRANDPAR
(15,9),(9,5),-0.460068 # DEPENDENCYPART_GRANDPAR
(15,9),(9,6),-0.490788 # DEPENDENCYPART_GRANDPAR
(15,9),(9,8),-0.5199 # DEPENDENCYPART_GRANDPAR
(15,9),(9,10),-0.320437 # DEPENDENCYPART_GRANDPAR
(15,9),(9,11),-0.434724 # DEPENDENCYPART_GRANDPAR
(15,9),(9,12),-0.221803 # DEPENDENCYPART_GRANDPAR
(15,9),(9,13),-0.265536 # DEPENDENCYPART_GRANDPAR
(15,9),(9,14),-0.145423 # DEPENDENCYPART_GRANDPAR
(15,9),(9,15),-1.34296 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,9),(9,16),-0.142119 # DEPENDENCYPART_GRANDPAR
(15,9),(9,17),-0.465943 # DEPENDENCYPART_GRANDPAR
(15,9),(9,19),-0.542741 # DEPENDENCYPART_GRANDPAR
(15,9),(9,21),-0.614913 # DEPENDENCYPART_GRANDPAR
(15,9),(9,22),-0.479583 # DEPENDENCYPART_GRANDPAR
(15,9),(9,24),-0.737737 # DEPENDENCYPART_GRANDPAR
(15,9),(9,28),-0.700473 # DEPENDENCYPART_GRANDPAR
(15,11),(11,3),-0.654092 # DEPENDENCYPART_GRANDPAR
