# _root_ Humana contends that $ 8,000 represents an extreme case and that its regular charge for lithotripsy is $ 4,900 .
#goldHeads=2,0,6,5,6,10,9,9,6,2,17,14,14,17,14,15,10,19,17,2,
#predictedHeads=2,0,10,5,6,10,9,9,6,2,17,14,14,17,14,15,10,19,17,2,
(2,5),(2,9),-0.958337 # DEPENDENCYPART_NEXTSIBL
(2,5),(2,10),-1.04657 # DEPENDENCYPART_NEXTSIBL
(2,5),(2,11),-1.1448 # DEPENDENCYPART_NEXTSIBL
(2,5),(2,14),-1.03051 # DEPENDENCYPART_NEXTSIBL
(2,5),(2,15),-0.953637 # DEPENDENCYPART_NEXTSIBL
(2,5),(2,17),-1.18445 # DEPENDENCYPART_NEXTSIBL
(2,5),(2,20),-0.995459 # DEPENDENCYPART_NEXTSIBL
(2,5),(2,21),-0.525132 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,6),(2,8),-0.829573 # DEPENDENCYPART_NEXTSIBL
(2,6),(2,9),-0.623695 # DEPENDENCYPART_NEXTSIBL
(2,6),(2,10),-0.80614 # DEPENDENCYPART_NEXTSIBL
(2,6),(2,11),-0.696834 # DEPENDENCYPART_NEXTSIBL
(2,6),(2,14),-0.514159 # DEPENDENCYPART_NEXTSIBL
(2,6),(2,15),-0.528118 # DEPENDENCYPART_NEXTSIBL
(2,6),(2,17),-0.75856 # DEPENDENCYPART_NEXTSIBL
(2,6),(2,20),-0.0436554 # DEPENDENCYPART_NEXTSIBL
(2,6),(2,21),-0.693268 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,8),(2,9),-0.925223 # DEPENDENCYPART_NEXTSIBL
(2,8),(2,10),-0.89619 # DEPENDENCYPART_NEXTSIBL
(2,8),(2,11),-1.14443 # DEPENDENCYPART_NEXTSIBL
(2,8),(2,14),-1.18751 # DEPENDENCYPART_NEXTSIBL
(2,8),(2,15),-1.04726 # DEPENDENCYPART_NEXTSIBL
(2,8),(2,17),-0.796669 # DEPENDENCYPART_NEXTSIBL
(2,8),(2,20),-0.764129 # DEPENDENCYPART_NEXTSIBL
(2,8),(2,21),-0.792582 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,9),(2,10),-1.22052 # DEPENDENCYPART_NEXTSIBL
(2,9),(2,11),-1.2015 # DEPENDENCYPART_NEXTSIBL
(2,9),(2,14),-1.39435 # DEPENDENCYPART_NEXTSIBL
(2,9),(2,15),-0.774786 # DEPENDENCYPART_NEXTSIBL
(2,9),(2,17),-1.02566 # DEPENDENCYPART_NEXTSIBL
(2,9),(2,20),-0.920464 # DEPENDENCYPART_NEXTSIBL
(2,9),(2,21),-0.585947 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,10),(2,11),-0.842483 # DEPENDENCYPART_NEXTSIBL
(2,10),(2,14),-0.852278 # DEPENDENCYPART_NEXTSIBL
(2,10),(2,15),-0.264573 # DEPENDENCYPART_NEXTSIBL
(2,10),(2,17),-0.4654 # DEPENDENCYPART_NEXTSIBL
(2,10),(2,20),-0.44382 # DEPENDENCYPART_NEXTSIBL
(2,10),(2,21),-0.663671 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,11),(2,14),-1.13292 # DEPENDENCYPART_NEXTSIBL
(2,11),(2,15),-1.11452 # DEPENDENCYPART_NEXTSIBL
(2,11),(2,17),-1.10683 # DEPENDENCYPART_NEXTSIBL
(2,11),(2,20),-0.854408 # DEPENDENCYPART_NEXTSIBL
(2,11),(2,21),-0.792195 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,14),(2,15),-0.507303 # DEPENDENCYPART_NEXTSIBL
(2,14),(2,17),-0.798344 # DEPENDENCYPART_NEXTSIBL
(2,14),(2,20),-0.641621 # DEPENDENCYPART_NEXTSIBL
(2,14),(2,21),-0.47216 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,15),(2,17),-0.926094 # DEPENDENCYPART_NEXTSIBL
(2,15),(2,20),-0.514096 # DEPENDENCYPART_NEXTSIBL
(2,15),(2,21),-0.334463 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,17),(2,20),-0.112882 # DEPENDENCYPART_NEXTSIBL
(2,17),(2,21),-0.620043 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,20),(2,21),-1.88855 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,2),(2,1),-0.28388 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,-1),-0.786779 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(2,1),(2,-1),-0.406978 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,3),(3,4),-0.560727 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,5),-0.444454 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,6),-0.375082 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,21),-0.271695 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(3,4),(3,5),-1.37213 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,6),-1.26344 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,21),-0.749505 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,5),(3,6),-0.861252 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,21),-0.486905 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,6),(3,21),-0.831727 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,3),(3,-1),-0.27969 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(4,4),(4,5),-0.493671 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,6),-0.365335 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,7),-0.934859 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,8),-0.309753 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,9),-0.523516 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,10),-0.292591 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,11),-1.00858 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,13),-0.378092 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,14),-0.366049 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,16),-0.474946 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,19),-0.411213 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,20),-0.840212 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,21),-0.465422 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(4,5),(4,6),-0.794482 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,7),-0.989956 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,8),-0.992146 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,9),-0.897096 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,10),-1.04041 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,11),-1.05432 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,13),-0.97853 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,14),-0.971003 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,16),-1.07472 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,19),-1.1485 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,20),-1.01584 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,21),-0.52171 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,6),(4,7),-0.68553 # DEPENDENCYPART_NEXTSIBL
(4,6),(4,8),-0.768888 # DEPENDENCYPART_NEXTSIBL
(4,6),(4,9),-0.614689 # DEPENDENCYPART_NEXTSIBL
(4,6),(4,10),-0.787635 # DEPENDENCYPART_NEXTSIBL
(4,6),(4,11),-0.572064 # DEPENDENCYPART_NEXTSIBL
(4,6),(4,13),-0.694694 # DEPENDENCYPART_NEXTSIBL
(4,6),(4,14),-0.501627 # DEPENDENCYPART_NEXTSIBL
(4,6),(4,16),-0.536384 # DEPENDENCYPART_NEXTSIBL
(4,6),(4,19),-0.558038 # DEPENDENCYPART_NEXTSIBL
(4,6),(4,20),-0.016062 # DEPENDENCYPART_NEXTSIBL
(4,6),(4,21),-0.716438 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,7),(4,8),-0.864564 # DEPENDENCYPART_NEXTSIBL
(4,7),(4,9),-0.998587 # DEPENDENCYPART_NEXTSIBL
(4,7),(4,10),-0.951698 # DEPENDENCYPART_NEXTSIBL
(4,7),(4,11),-0.975341 # DEPENDENCYPART_NEXTSIBL
(4,7),(4,13),-0.955832 # DEPENDENCYPART_NEXTSIBL
(4,7),(4,14),-1.06929 # DEPENDENCYPART_NEXTSIBL
(4,7),(4,16),-1.07563 # DEPENDENCYPART_NEXTSIBL
(4,7),(4,19),-1.05752 # DEPENDENCYPART_NEXTSIBL
(4,7),(4,20),-1.02604 # DEPENDENCYPART_NEXTSIBL
(4,7),(4,21),-0.721436 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,8),(4,9),-0.898248 # DEPENDENCYPART_NEXTSIBL
(4,8),(4,10),-0.886399 # DEPENDENCYPART_NEXTSIBL
(4,8),(4,11),-1.07554 # DEPENDENCYPART_NEXTSIBL
(4,8),(4,13),-1.00565 # DEPENDENCYPART_NEXTSIBL
(4,8),(4,14),-1.15749 # DEPENDENCYPART_NEXTSIBL
(4,8),(4,16),-1.18914 # DEPENDENCYPART_NEXTSIBL
(4,8),(4,19),-1.024 # DEPENDENCYPART_NEXTSIBL
(4,8),(4,20),-0.791017 # DEPENDENCYPART_NEXTSIBL
(4,8),(4,21),-0.709506 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,9),(4,10),-1.29954 # DEPENDENCYPART_NEXTSIBL
(4,9),(4,11),-1.10641 # DEPENDENCYPART_NEXTSIBL
(4,9),(4,13),-1.18677 # DEPENDENCYPART_NEXTSIBL
(4,9),(4,14),-1.52582 # DEPENDENCYPART_NEXTSIBL
(4,9),(4,16),-1.57073 # DEPENDENCYPART_NEXTSIBL
(4,9),(4,19),-1.27562 # DEPENDENCYPART_NEXTSIBL
(4,9),(4,20),-0.980298 # DEPENDENCYPART_NEXTSIBL
(4,9),(4,21),-0.675999 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,10),(4,11),-0.822664 # DEPENDENCYPART_NEXTSIBL
(4,10),(4,13),-0.653134 # DEPENDENCYPART_NEXTSIBL
(4,10),(4,14),-0.88618 # DEPENDENCYPART_NEXTSIBL
(4,10),(4,16),-0.775246 # DEPENDENCYPART_NEXTSIBL
(4,10),(4,19),-0.709882 # DEPENDENCYPART_NEXTSIBL
(4,10),(4,20),-0.403754 # DEPENDENCYPART_NEXTSIBL
(4,10),(4,21),-0.574519 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,11),(4,13),-1.03467 # DEPENDENCYPART_NEXTSIBL
(4,11),(4,14),-1.06399 # DEPENDENCYPART_NEXTSIBL
(4,11),(4,16),-1.03544 # DEPENDENCYPART_NEXTSIBL
(4,11),(4,19),-1.1468 # DEPENDENCYPART_NEXTSIBL
(4,11),(4,20),-0.826235 # DEPENDENCYPART_NEXTSIBL
(4,11),(4,21),-0.760816 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,13),(4,14),-0.977764 # DEPENDENCYPART_NEXTSIBL
(4,13),(4,16),-1.14876 # DEPENDENCYPART_NEXTSIBL
(4,13),(4,19),-0.976607 # DEPENDENCYPART_NEXTSIBL
(4,13),(4,20),-0.917411 # DEPENDENCYPART_NEXTSIBL
(4,13),(4,21),-0.538956 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,14),(4,16),-1.01195 # DEPENDENCYPART_NEXTSIBL
(4,14),(4,19),-0.90032 # DEPENDENCYPART_NEXTSIBL
(4,14),(4,20),-0.702803 # DEPENDENCYPART_NEXTSIBL
(4,14),(4,21),-0.55005 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,16),(4,19),-1.41345 # DEPENDENCYPART_NEXTSIBL
(4,16),(4,20),-1.27615 # DEPENDENCYPART_NEXTSIBL
(4,16),(4,21),-0.458702 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,19),(4,20),-0.746503 # DEPENDENCYPART_NEXTSIBL
(4,19),(4,21),-0.633678 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,20),(4,21),-2.00792 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,4),(4,3),-0.73959 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,-1),-0.40815 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(4,3),(4,-1),-0.444472 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,5),(5,6),-0.355199 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,7),-0.918943 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,8),-0.424428 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,9),-0.525804 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,21),-0.42093 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(5,6),(5,7),-0.675035 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,8),-0.789487 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,9),-0.633555 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,21),-0.744937 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,7),(5,8),-0.882752 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,9),-1.01366 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,21),-0.677862 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,8),(5,9),-0.940502 # DEPENDENCYPART_NEXTSIBL
(5,8),(5,21),-0.830528 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,9),(5,21),-0.685268 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,5),(5,4),-0.275406 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,3),-0.878913 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,-1),-0.53451 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(5,4),(5,3),-0.255697 # DEPENDENCYPART_NEXTSIBL
(5,4),(5,-1),-0.432562 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,3),(5,-1),-0.464625 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,6),(6,7),-0.942673 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,8),-0.316935 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,9),-0.297266 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,10),-0.20104 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,11),-1.22025 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,13),-0.398625 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,14),-0.158227 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,15),-0.607447 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,16),-0.272681 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,17),-0.113228 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,20),-0.985881 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,21),-0.820151 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(6,7),(6,8),-0.917238 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,9),-0.975907 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,10),-0.954528 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,11),-1.0552 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,13),-1.01269 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,14),-1.05018 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,15),-0.891766 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,16),-1.05786 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,17),-1.01634 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,20),-1.02445 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,21),-0.721145 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,8),(6,9),-0.919373 # DEPENDENCYPART_NEXTSIBL
(6,8),(6,10),-0.892329 # DEPENDENCYPART_NEXTSIBL
(6,8),(6,11),-1.14948 # DEPENDENCYPART_NEXTSIBL
(6,8),(6,13),-1.0909 # DEPENDENCYPART_NEXTSIBL
(6,8),(6,14),-1.18166 # DEPENDENCYPART_NEXTSIBL
(6,8),(6,15),-1.05377 # DEPENDENCYPART_NEXTSIBL
(6,8),(6,16),-1.21467 # DEPENDENCYPART_NEXTSIBL
(6,8),(6,17),-0.804024 # DEPENDENCYPART_NEXTSIBL
(6,8),(6,20),-0.762537 # DEPENDENCYPART_NEXTSIBL
(6,8),(6,21),-0.799192 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,9),(6,10),-1.20642 # DEPENDENCYPART_NEXTSIBL
(6,9),(6,11),-1.1987 # DEPENDENCYPART_NEXTSIBL
(6,9),(6,13),-1.19855 # DEPENDENCYPART_NEXTSIBL
(6,9),(6,14),-1.37987 # DEPENDENCYPART_NEXTSIBL
(6,9),(6,15),-0.77422 # DEPENDENCYPART_NEXTSIBL
(6,9),(6,16),-1.42332 # DEPENDENCYPART_NEXTSIBL
(6,9),(6,17),-1.02148 # DEPENDENCYPART_NEXTSIBL
(6,9),(6,20),-0.872802 # DEPENDENCYPART_NEXTSIBL
(6,9),(6,21),-0.584297 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,10),(6,11),-0.838377 # DEPENDENCYPART_NEXTSIBL
(6,10),(6,13),-0.678246 # DEPENDENCYPART_NEXTSIBL
(6,10),(6,14),-0.837516 # DEPENDENCYPART_NEXTSIBL
(6,10),(6,15),-0.261926 # DEPENDENCYPART_NEXTSIBL
(6,10),(6,16),-0.727939 # DEPENDENCYPART_NEXTSIBL
(6,10),(6,17),-0.463847 # DEPENDENCYPART_NEXTSIBL
(6,10),(6,20),-0.433643 # DEPENDENCYPART_NEXTSIBL
(6,10),(6,21),-0.647195 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,11),(6,13),-1.15789 # DEPENDENCYPART_NEXTSIBL
(6,11),(6,14),-1.12646 # DEPENDENCYPART_NEXTSIBL
(6,11),(6,15),-1.12105 # DEPENDENCYPART_NEXTSIBL
(6,11),(6,16),-1.09901 # DEPENDENCYPART_NEXTSIBL
(6,11),(6,17),-1.11304 # DEPENDENCYPART_NEXTSIBL
(6,11),(6,20),-0.861562 # DEPENDENCYPART_NEXTSIBL
(6,11),(6,21),-0.790751 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,13),(6,14),-1.00762 # DEPENDENCYPART_NEXTSIBL
(6,13),(6,15),-1.06329 # DEPENDENCYPART_NEXTSIBL
(6,13),(6,16),-1.17998 # DEPENDENCYPART_NEXTSIBL
(6,13),(6,17),-0.937665 # DEPENDENCYPART_NEXTSIBL
(6,13),(6,20),-0.894931 # DEPENDENCYPART_NEXTSIBL
(6,13),(6,21),-0.641833 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,14),(6,15),-0.506737 # DEPENDENCYPART_NEXTSIBL
(6,14),(6,16),-0.872719 # DEPENDENCYPART_NEXTSIBL
(6,14),(6,17),-0.794168 # DEPENDENCYPART_NEXTSIBL
(6,14),(6,20),-0.593959 # DEPENDENCYPART_NEXTSIBL
(6,14),(6,21),-0.47051 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,15),(6,16),-0.860385 # DEPENDENCYPART_NEXTSIBL
(6,15),(6,17),-0.933763 # DEPENDENCYPART_NEXTSIBL
(6,15),(6,20),-0.52348 # DEPENDENCYPART_NEXTSIBL
(6,15),(6,21),-0.334477 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,16),(6,17),-1.1862 # DEPENDENCYPART_NEXTSIBL
(6,16),(6,20),-1.175 # DEPENDENCYPART_NEXTSIBL
(6,16),(6,21),-0.381268 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,17),(6,20),-0.125866 # DEPENDENCYPART_NEXTSIBL
(6,17),(6,21),-0.628236 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,20),(6,21),-1.87839 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,6),(6,5),-0.502368 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,4),-0.399009 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,3),-0.770988 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,2),-0.352328 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,1),-0.281529 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,-1),-0.80689 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(6,5),(6,4),-0.409617 # DEPENDENCYPART_NEXTSIBL
(6,5),(6,3),-0.6739 # DEPENDENCYPART_NEXTSIBL
(6,5),(6,2),-0.882031 # DEPENDENCYPART_NEXTSIBL
(6,5),(6,1),-1.09819 # DEPENDENCYPART_NEXTSIBL
(6,5),(6,-1),-0.669124 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,4),(6,3),-0.165504 # DEPENDENCYPART_NEXTSIBL
(6,4),(6,2),-0.689598 # DEPENDENCYPART_NEXTSIBL
(6,4),(6,1),-0.629156 # DEPENDENCYPART_NEXTSIBL
(6,4),(6,-1),-0.619276 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,3),(6,2),-0.805557 # DEPENDENCYPART_NEXTSIBL
(6,3),(6,1),-0.923246 # DEPENDENCYPART_NEXTSIBL
(6,3),(6,-1),-0.15222 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,2),(6,1),-1.02868 # DEPENDENCYPART_NEXTSIBL
(6,2),(6,-1),-1.00309 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,1),(6,-1),-0.390425 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,7),(7,8),-0.532702 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,9),-0.525171 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,10),-0.220396 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,21),-0.388615 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(7,8),(7,9),-0.97648 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,10),-0.924339 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,21),-0.915583 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,9),(7,10),-1.29196 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,21),-0.678696 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,10),(7,21),-0.556126 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,7),(7,-1),-0.432187 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(8,8),(8,9),-0.521769 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,10),-0.329858 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,11),-0.875157 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,13),-0.526601 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,17),-0.0383113 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,21),-0.476813 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(8,9),(8,10),-1.33014 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,11),-1.09965 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,13),-1.24437 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,17),-0.983719 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,21),-0.682162 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,10),(8,11),-0.786039 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,13),-0.69978 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,17),-0.421728 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,21),-0.61114 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,11),(8,13),-1.00792 # DEPENDENCYPART_NEXTSIBL
(8,11),(8,17),-0.83701 # DEPENDENCYPART_NEXTSIBL
(8,11),(8,21),-0.654882 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,13),(8,17),-0.818571 # DEPENDENCYPART_NEXTSIBL
(8,13),(8,21),-0.671893 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,17),(8,21),-0.633287 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,8),(8,7),-0.691589 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,4),-0.41285 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,3),-0.880115 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,-1),-0.507206 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(8,7),(8,4),-0.91668 # DEPENDENCYPART_NEXTSIBL
(8,7),(8,3),-0.751444 # DEPENDENCYPART_NEXTSIBL
(8,7),(8,-1),-0.473198 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,4),(8,3),-0.271809 # DEPENDENCYPART_NEXTSIBL
(8,4),(8,-1),-0.604397 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,3),(8,-1),-0.476672 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,9),(9,10),-0.478531 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,11),-1.03492 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,15),-0.359651 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,17),0.0363357 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,19),-0.295928 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,21),-0.458308 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(9,10),(9,11),-0.833907 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,15),-0.313099 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,17),-0.38616 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,19),-0.729397 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,21),-0.594592 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,11),(9,15),-0.972211 # DEPENDENCYPART_NEXTSIBL
(9,11),(9,17),-0.903446 # DEPENDENCYPART_NEXTSIBL
(9,11),(9,19),-1.1773 # DEPENDENCYPART_NEXTSIBL
(9,11),(9,21),-0.804209 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,15),(9,17),-0.753217 # DEPENDENCYPART_NEXTSIBL
(9,15),(9,19),-0.930517 # DEPENDENCYPART_NEXTSIBL
(9,15),(9,21),-0.38394 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,17),(9,19),-0.763305 # DEPENDENCYPART_NEXTSIBL
(9,17),(9,21),-0.611389 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
