# _root_ As the campaign hits the home stretch , however , voters still have very little idea what they can expect from him .
#goldHeads=4,3,4,13,7,7,4,13,13,13,13,13,0,15,16,13,20,19,16,19,20,21,13,
#predictedHeads=4,3,4,13,7,7,4,13,13,13,13,13,0,15,16,13,20,19,16,19,20,21,13,
(1,4),(4,6),(4,9),-0.0382592 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,6),(4,10),-0.0722534 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,6),(4,11),-0.0477093 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,6),(4,12),-0.0382592 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,6),(4,13),-0.0262986 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,6),(4,14),-0.0382592 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,6),(4,15),-0.0428138 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,6),(4,16),-0.0477093 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,6),(4,19),-0.0465332 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,6),(4,20),-0.0295366 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,6),(4,21),0.0168889 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,6),(4,23),-0.0418986 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,6),(4,24),-0.0704587 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,7),(4,8),-0.0722534 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,7),(4,9),-0.0382592 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,7),(4,10),-0.0722534 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,7),(4,11),-0.0477093 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,7),(4,12),-0.0382592 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,7),(4,13),-0.0262516 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,7),(4,14),-0.0382592 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,7),(4,15),-0.0428138 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,7),(4,16),-0.0477093 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,7),(4,19),-0.0465332 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,7),(4,20),-0.0294895 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,7),(4,21),0.0168996 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,7),(4,23),-0.0418986 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,7),(4,24),-0.0698197 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,8),(4,9),-0.0610293 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,8),(4,10),-0.0422742 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,8),(4,11),-0.0533623 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,8),(4,12),-0.0595277 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,8),(4,13),-0.055932 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,8),(4,14),-0.0595277 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,8),(4,15),-0.0428604 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,8),(4,16),-0.0533623 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,8),(4,19),-0.0351006 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,8),(4,20),-0.0556373 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,8),(4,21),-0.0636321 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,8),(4,23),-0.0420117 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,8),(4,24),-0.0420299 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,9),(4,10),-0.0527988 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,9),(4,11),-0.0508336 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,9),(4,12),-0.0328155 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,9),(4,13),-0.0668637 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,9),(4,14),-0.0328155 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,9),(4,15),-0.0451754 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,9),(4,16),-0.0508336 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,9),(4,19),-0.0420224 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,9),(4,20),-0.0646264 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,9),(4,21),-0.0276054 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,9),(4,23),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,9),(4,24),-0.0505169 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,10),(4,11),-0.0533623 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,10),(4,12),-0.0595277 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,10),(4,13),-0.055932 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,10),(4,14),-0.0595277 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,10),(4,15),-0.0428604 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,10),(4,16),-0.0533623 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,10),(4,19),-0.0351006 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,10),(4,20),-0.0556373 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,10),(4,21),-0.0636321 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,10),(4,23),-0.0420117 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,10),(4,24),-0.0420299 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,11),(4,12),-0.0382592 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,11),(4,13),-0.0262516 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,11),(4,14),-0.0382592 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,11),(4,15),-0.0428138 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,11),(4,16),-0.0477093 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,11),(4,19),-0.0465332 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,11),(4,20),-0.0294895 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,11),(4,21),0.0167396 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,11),(4,23),-0.0418986 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,11),(4,24),-0.0721064 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,12),(4,13),-0.0668652 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,12),(4,14),-0.0328155 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,12),(4,15),-0.045726 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,12),(4,16),-0.050369 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,12),(4,19),-0.0420224 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,12),(4,20),-0.0646278 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,12),(4,21),-0.0275706 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,12),(4,23),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,12),(4,24),-0.0505169 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,13),(4,14),-0.0430747 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,13),(4,15),-0.0422463 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,13),(4,16),-0.0450517 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,13),(4,19),-0.0424785 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,13),(4,20),-0.0359999 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,13),(4,21),-0.0498172 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,13),(4,23),-0.0432288 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,13),(4,24),-0.0699202 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,14),(4,15),-0.0451754 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,14),(4,16),-0.050369 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,14),(4,19),-0.0420224 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,14),(4,20),-0.0646255 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,14),(4,21),-0.0275682 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,14),(4,23),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,14),(4,24),-0.0525311 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,15),(4,16),-0.0460097 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,15),(4,19),-0.0422106 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,15),(4,20),-0.0453592 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,15),(4,21),-0.0319983 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,15),(4,23),-0.0427869 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,15),(4,24),-0.034355 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,16),(4,19),-0.0465332 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,16),(4,20),-0.0308046 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,16),(4,21),0.0167889 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,16),(4,23),-0.0418986 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,16),(4,24),-0.0682854 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,19),(4,20),-0.0383606 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,19),(4,21),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,19),(4,23),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,19),(4,24),-0.0235604 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,20),(4,21),-0.0498172 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,20),(4,23),-0.0430824 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,20),(4,24),-0.0751136 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,21),(4,23),-0.0424612 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,21),(4,24),-0.0246929 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,23),(4,24),-0.0424364 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,4),(4,3),0.151801 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,4),(4,4),(4,2),0.0917132 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,4),(4,4),(4,1),0.106314 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,4),(4,4),(4,-1),-0.21507 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,4),(4,3),(4,2),0.110688 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,3),(4,1),0.126796 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,3),(4,-1),-0.105737 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,2),(4,1),0.118302 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,2),(4,-1),-0.171042 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,1),(4,-1),-0.130058 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,7),(7,7),(7,8),-0.0841323 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,7),(7,7),(7,9),0.000538185 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,7),(7,7),(7,10),-0.0841323 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,7),(7,7),(7,11),-0.167659 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,7),(7,7),(7,12),-0.00366021 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,7),(7,7),(7,13),-0.0656445 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,7),(7,7),(7,14),-0.00346671 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,7),(7,7),(7,15),-0.0272585 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,7),(7,7),(7,16),-0.167659 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,7),(7,7),(7,19),0.0358728 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,7),(7,7),(7,23),-0.0689184 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,7),(7,7),(7,24),0.0684137 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,7),(7,8),(7,9),-0.0189813 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,8),(7,10),-0.0771368 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,8),(7,11),-0.080651 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,8),(7,12),-0.0169533 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,8),(7,13),0.0395952 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,8),(7,14),-0.0168561 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,8),(7,15),-0.0544241 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,8),(7,16),-0.0771568 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,8),(7,19),-0.0810867 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,8),(7,23),-0.0420212 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,8),(7,24),-0.0633696 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,7),(7,9),(7,10),-0.0409578 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,9),(7,11),-0.035129 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,9),(7,12),-0.0445675 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,9),(7,13),-0.0496123 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,9),(7,14),-0.0445675 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,9),(7,15),-0.0446358 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,9),(7,16),-0.035129 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,9),(7,19),-0.0433253 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,9),(7,23),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,9),(7,24),0.0560292 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,7),(7,10),(7,11),-0.080651 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,10),(7,12),-0.0169533 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,10),(7,13),0.0395952 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,10),(7,14),-0.0168561 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,10),(7,15),-0.0544241 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,10),(7,16),-0.0771568 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,10),(7,19),-0.0810867 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,10),(7,23),-0.0420212 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,10),(7,24),-0.0633696 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,7),(7,11),(7,12),-0.0368662 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,11),(7,13),-0.0596208 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,11),(7,14),-0.0368662 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,11),(7,15),-0.0440784 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,11),(7,16),-0.0549735 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,11),(7,19),-0.0432477 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,11),(7,23),-0.0457695 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,11),(7,24),-0.118627 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,7),(7,12),(7,13),-0.0567884 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,12),(7,14),-0.0445675 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,12),(7,15),-0.0450171 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,12),(7,16),-0.0351206 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,12),(7,19),-0.0433253 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,12),(7,23),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,12),(7,24),0.0602084 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,7),(7,13),(7,14),-0.0350696 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,13),(7,15),-0.0403277 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,13),(7,16),-0.037946 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,13),(7,19),-0.0426428 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,13),(7,23),-0.0426799 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,13),(7,24),-0.105236 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,7),(7,14),(7,15),-0.0446358 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,14),(7,16),-0.0351183 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,14),(7,19),-0.0433253 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,14),(7,23),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,14),(7,24),0.0568887 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,7),(7,15),(7,16),-0.0419666 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,15),(7,19),-0.0437997 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,15),(7,23),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,15),(7,24),-0.052637 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,7),(7,16),(7,19),-0.0432477 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,16),(7,23),-0.0457695 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,16),(7,24),-0.115134 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,7),(7,19),(7,23),-0.0419991 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,19),(7,24),-0.00175996 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,7),(7,23),(7,24),-0.0636036 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,7),(7,7),(7,6),0.15475 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,7),(7,7),(7,5),0.0918292 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,7),(7,7),(7,4),0.117822 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,7),(7,7),(7,3),0.1508 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,7),(7,7),(7,2),0.0918292 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,7),(7,7),(7,1),0.179071 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,7),(7,7),(7,-1),-0.144625 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,7),(7,6),(7,5),0.0243597 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,6),(7,4),0.145831 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,6),(7,3),0.14363 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,6),(7,2),0.0243597 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,6),(7,1),0.115408 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,7),(7,6),(7,-1),-0.131 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,7),(7,5),(7,4),0.111878 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,5),(7,3),0.0907488 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,5),(7,2),0.119121 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,5),(7,1),0.0881614 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,7),(7,5),(7,-1),-0.0430866 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,7),(7,4),(7,3),0.134582 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,4),(7,2),0.113256 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,4),(7,1),0.116998 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,7),(7,4),(7,-1),-0.0664669 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,7),(7,3),(7,2),0.0222528 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,3),(7,1),0.115308 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,7),(7,3),(7,-1),-0.136694 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,7),(7,2),(7,1),0.0881614 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,7),(7,2),(7,-1),-0.0430866 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,7),(7,1),(7,-1),-0.103805 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,8),(8,8),(8,9),-0.0484589 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,8),(8,8),(8,24),-0.0956225 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,8),(8,9),(8,24),-0.0480649 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,8),(8,8),(8,-1),-0.169327 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,9),(9,9),(9,10),-0.0245801 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,9),(9,9),(9,11),-0.04724 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,9),(9,9),(9,12),-0.0685053 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,9),(9,9),(9,13),-0.0867461 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,9),(9,9),(9,14),-0.0686703 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,9),(9,9),(9,16),-0.04724 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,9),(9,9),(9,21),-0.00700296 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,9),(9,9),(9,24),-0.00894562 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,9),(9,10),(9,11),-0.0455956 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,10),(9,12),-0.0433344 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,10),(9,13),-0.0486403 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,10),(9,14),-0.0433344 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,10),(9,16),-0.0455956 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,10),(9,21),-0.0423516 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,10),(9,24),-0.0354731 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,11),(9,12),-0.0420559 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,11),(9,13),-0.0423382 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,11),(9,14),-0.0420559 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,11),(9,16),-0.0425462 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,11),(9,21),-0.0471666 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,11),(9,24),0.01857 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,12),(9,13),-0.0464442 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,12),(9,14),-0.0438463 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,12),(9,16),-0.0428972 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,12),(9,21),-0.0347794 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,12),(9,24),-0.0613011 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,13),(9,14),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,13),(9,16),-0.0421094 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,13),(9,21),-0.0423431 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,13),(9,24),-0.045016 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,14),(9,16),-0.0428972 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,14),(9,21),-0.0347794 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,14),(9,24),-0.0614661 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,16),(9,21),-0.0471666 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,16),(9,24),0.01857 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,21),(9,24),-0.118694 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,9),(9,8),0.165094 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,9),(9,9),(9,7),0.14954 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,9),(9,9),(9,6),0.149537 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,9),(9,9),(9,5),0.107646 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,9),(9,9),(9,3),0.14954 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,9),(9,9),(9,1),0.120878 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,9),(9,9),(9,-1),-0.166848 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,9),(9,8),(9,7),0.147079 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,8),(9,6),0.147079 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,8),(9,5),0.13025 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,8),(9,3),0.147079 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,8),(9,1),0.115151 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,8),(9,-1),-0.150675 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,7),(9,6),0.115091 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,7),(9,5),0.118016 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,7),(9,3),0.115091 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,7),(9,1),0.118554 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,7),(9,-1),-0.0611502 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,6),(9,5),0.118016 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,6),(9,3),0.115091 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,6),(9,1),0.118554 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,6),(9,-1),-0.0611526 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,5),(9,3),0.119139 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,5),(9,1),0.119163 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,5),(9,-1),-0.141986 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,3),(9,1),0.118554 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,3),(9,-1),-0.0611502 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,1),(9,-1),-0.137466 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,1),(1,1),(1,2),-0.124885 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,1),(1,1),(1,3),-0.128149 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
