# _root_ The buy-back , coupled with a nearly completed earlier purchase of 20 million shares , would reduce shares outstanding by more than 26 % .
#goldHeads=2,16,2,2,4,10,8,10,10,5,10,13,14,11,2,0,16,17,18,17,22,24,22,20,16,
#predictedHeads=2,16,2,2,4,10,8,10,10,5,10,13,14,11,2,0,16,17,18,17,22,24,22,20,16,
(4,10),(10,10),(10,17),-0.0325859 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,10),(10,10),(10,18),0.0304789 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,10),(10,10),(10,19),-0.00355117 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,10),(10,10),(10,20),-0.0766108 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,10),(10,10),(10,22),-0.0690885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,10),(10,10),(10,24),0.0485261 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,10),(10,10),(10,25),0.00656601 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,10),(10,10),(10,26),0.0638856 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,10),(10,11),(10,12),-0.0301153 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,11),(10,13),-0.0306412 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,11),(10,14),-0.0368896 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,11),(10,15),0.0413931 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,11),(10,16),-0.0186643 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,11),(10,17),-0.0251138 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,11),(10,18),-0.0368896 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,11),(10,19),-0.0128341 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,11),(10,20),-0.0185157 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,11),(10,22),0.00801417 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,11),(10,24),-0.0384277 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,11),(10,25),-0.0214351 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,11),(10,26),-0.0392287 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,10),(10,12),(10,13),-0.0268989 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,12),(10,14),-0.0273402 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,12),(10,15),-0.030286 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,12),(10,16),-0.019547 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,12),(10,17),-0.017874 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,12),(10,18),-0.0273402 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,12),(10,19),-0.0217313 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,12),(10,20),-0.0273612 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,12),(10,22),-0.0265853 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,12),(10,24),-0.0281529 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,12),(10,25),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,12),(10,26),0.00437635 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,10),(10,13),(10,14),-0.0267554 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,13),(10,15),-0.0312619 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,13),(10,16),-0.019547 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,13),(10,17),-0.0179071 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,13),(10,18),-0.0267554 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,13),(10,19),-0.0217041 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,13),(10,20),-0.0254223 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,13),(10,22),-0.0246464 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,13),(10,24),-0.0275682 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,13),(10,25),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,13),(10,26),-0.000896953 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,10),(10,14),(10,15),-0.0604162 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,14),(10,16),-0.0231323 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,14),(10,17),-0.00605526 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,14),(10,18),-0.0150504 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,14),(10,19),-0.0187255 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,14),(10,20),-0.0304502 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,14),(10,22),-0.0309266 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,14),(10,24),-0.00765074 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,14),(10,25),-0.0209326 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,14),(10,26),-0.00947488 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,10),(10,15),(10,16),0.0301721 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,15),(10,17),-0.00623152 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,15),(10,18),-0.0511327 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,15),(10,19),0.00590383 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,15),(10,20),-0.0230167 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,15),(10,22),-0.0227109 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,15),(10,24),-0.0497816 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,15),(10,25),-0.0194519 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,15),(10,26),-0.0668971 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,10),(10,16),(10,17),-0.0230848 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,16),(10,18),-0.0210195 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,16),(10,19),-0.0198716 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,16),(10,20),-0.0204068 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,16),(10,22),-0.0204067 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,16),(10,24),-0.0219792 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,16),(10,25),-0.0194406 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,16),(10,26),0.0207669 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,10),(10,17),(10,18),-0.0298727 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,17),(10,19),-0.0191176 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,17),(10,20),-0.00120952 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,17),(10,22),-0.00106964 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,17),(10,24),-0.0310567 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,17),(10,25),-0.0198145 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,17),(10,26),-0.0322098 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,10),(10,18),(10,19),-0.0187255 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,18),(10,20),-0.0304502 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,18),(10,22),-0.0309266 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,18),(10,24),-0.00765074 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,18),(10,25),-0.0209326 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,18),(10,26),-0.00947488 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,10),(10,19),(10,20),-0.0212257 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,19),(10,22),-0.0266096 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,19),(10,24),0.00484867 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,19),(10,25),-0.0194731 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,19),(10,26),-0.00842949 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,10),(10,20),(10,22),0.0150835 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,20),(10,24),-0.0363922 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,20),(10,25),-0.0213922 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,20),(10,26),-0.0764483 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,10),(10,22),(10,24),-0.0381393 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,22),(10,25),-0.0213922 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,22),(10,26),-0.0262022 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,10),(10,24),(10,25),-0.0209326 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,24),(10,26),-0.00142841 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,10),(10,25),(10,26),-0.0121011 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,10),(10,10),(10,9),0.119548 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,10),(10,10),(10,8),0.136779 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,10),(10,10),(10,7),0.132429 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,10),(10,10),(10,6),0.0984367 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,10),(10,10),(10,5),0.158131 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,10),(10,10),(10,4),0.13208 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,10),(10,10),(10,3),-0.144869 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,10),(10,10),(10,2),-0.0538673 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,10),(10,10),(10,1),-0.149597 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,10),(10,10),(10,-1),-0.184972 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,10),(10,9),(10,8),0.103946 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,9),(10,7),0.118877 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,9),(10,6),0.142568 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,9),(10,5),0.111132 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,9),(10,4),0.103946 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,9),(10,3),-0.144877 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,9),(10,2),-0.14492 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,9),(10,1),-0.148262 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,9),(10,-1),-0.0832423 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,10),(10,8),(10,7),0.108519 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,8),(10,6),0.149616 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,8),(10,5),0.095109 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,8),(10,4),0.113004 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,8),(10,3),-0.161397 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,8),(10,2),-0.142064 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,8),(10,1),-0.150335 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,8),(10,-1),-0.133259 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,10),(10,7),(10,6),0.127828 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,7),(10,5),0.113883 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,7),(10,4),0.102777 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,7),(10,3),-0.144746 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,7),(10,2),-0.144852 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,7),(10,1),-0.144754 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,7),(10,-1),-0.110717 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,10),(10,6),(10,5),0.109464 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,6),(10,4),0.113319 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,6),(10,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,6),(10,2),-0.144889 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,6),(10,1),-0.145935 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,6),(10,-1),-0.172501 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,10),(10,5),(10,4),0.119461 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,5),(10,3),-0.148968 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,5),(10,2),-0.14562 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,5),(10,1),-0.144717 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,5),(10,-1),-0.045235 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,10),(10,4),(10,3),-0.161397 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,10),(10,4),(10,2),-0.142064 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,10),(10,4),(10,1),-0.150335 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,10),(10,4),(10,-1),-0.137725 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,10),(10,3),(10,2),-0.16103 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,3),(10,1),-0.145331 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,3),(10,-1),-0.13737 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,10),(10,2),(10,1),-0.143515 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,2),(10,-1),-0.115678 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,10),(10,1),(10,-1),-0.226432 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,11),(11,11),(11,12),0.0847305 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,11),(11,11),(11,13),0.0992752 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,11),(11,11),(11,14),-0.0233402 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,11),(11,11),(11,15),-0.0420353 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,11),(11,11),(11,16),-0.040257 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,11),(11,11),(11,17),0.0443653 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,11),(11,11),(11,18),-0.0233402 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,11),(11,11),(11,26),-0.144252 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,11),(11,12),(11,13),-0.0245895 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,12),(11,14),-0.00709859 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,12),(11,15),-0.00209081 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,12),(11,16),-0.0194407 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,12),(11,17),-0.021497 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,12),(11,18),-0.00709859 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,12),(11,26),0.00942579 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,11),(11,13),(11,14),-0.00326665 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,13),(11,15),-0.00213243 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,13),(11,16),-0.0194407 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,13),(11,17),-0.0216171 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,13),(11,18),-0.00326665 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,13),(11,26),0.0146338 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,11),(11,14),(11,15),-0.0322798 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,14),(11,16),-0.020353 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,14),(11,17),-0.0316712 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,14),(11,18),-0.0547473 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,14),(11,26),0.0355544 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,11),(11,15),(11,16),-0.0198857 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,15),(11,17),-0.0206369 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,15),(11,18),-0.0242316 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,15),(11,26),0.0294418 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,11),(11,16),(11,17),-0.019489 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,16),(11,18),-0.0194437 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,16),(11,26),-0.0486908 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,11),(11,17),(11,18),-0.0236749 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,17),(11,26),-0.0268991 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,11),(11,18),(11,26),0.0355544 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,11),(11,11),(11,10),0.100115 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,11),(11,11),(11,9),0.0537345 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,11),(11,11),(11,-1),-0.0861303 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,11),(11,10),(11,9),0.108765 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,10),(11,-1),-0.17359 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,11),(11,9),(11,-1),-0.160943 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,14),(14,14),(14,15),0.0597306 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,14),(14,14),(14,16),-0.0693751 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,14),(14,14),(14,17),-0.027321 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,14),(14,14),(14,18),0.0278597 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,14),(14,14),(14,19),0.00998707 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,14),(14,14),(14,20),-0.0812923 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,14),(14,14),(14,22),-0.0737699 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,14),(14,14),(14,23),-0.00316226 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,14),(14,14),(14,24),0.0459069 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,14),(14,14),(14,25),0.00656601 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,14),(14,14),(14,26),0.0593738 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,14),(14,15),(14,16),0.0296245 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,15),(14,17),-0.00885633 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,15),(14,18),-0.051963 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,15),(14,19),0.0025889 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,15),(14,20),-0.0281097 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,15),(14,22),-0.0278039 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,15),(14,23),-0.041129 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,15),(14,24),-0.050612 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,15),(14,25),-0.0194519 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,15),(14,26),-0.0674031 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,14),(14,16),(14,17),-0.0235699 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,16),(14,18),-0.0214605 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,16),(14,19),-0.0198716 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,16),(14,20),-0.0204069 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,16),(14,22),-0.0204069 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,16),(14,23),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,16),(14,24),-0.0224203 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,16),(14,25),-0.0194406 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,16),(14,26),0.0186338 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,14),(14,17),(14,18),-0.0300347 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,17),(14,19),-0.0191176 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,17),(14,20),-0.00145888 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,17),(14,22),-0.001319 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,17),(14,23),-0.00475333 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,17),(14,24),-0.0312187 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,17),(14,25),-0.0198145 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,17),(14,26),-0.0273519 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,14),(14,18),(14,19),-0.015423 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,18),(14,20),-0.0329088 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,18),(14,22),-0.0333851 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,18),(14,23),-0.00203555 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,18),(14,24),-0.00507309 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,18),(14,25),-0.0209326 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,18),(14,26),-0.0139636 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,14),(14,19),(14,20),-0.0202053 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,19),(14,22),-0.0255892 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,19),(14,23),-0.0245039 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,19),(14,24),0.00326681 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,19),(14,25),-0.0194731 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,19),(14,26),0.00538524 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,14),(14,20),(14,22),0.0105266 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,20),(14,23),-0.0263841 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,20),(14,24),-0.0378891 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,20),(14,25),-0.0213922 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,20),(14,26),-0.076406 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,14),(14,22),(14,23),-0.0259797 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,22),(14,24),-0.0396362 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,22),(14,25),-0.0213922 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,22),(14,26),-0.0261599 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,14),(14,23),(14,24),-0.0277979 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,23),(14,25),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,23),(14,26),0.00325471 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,14),(14,24),(14,25),-0.0209326 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,24),(14,26),-0.00591709 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,14),(14,25),(14,26),-0.0121011 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,14),(14,14),(14,13),0.120386 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,14),(14,14),(14,12),0.145402 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,14),(14,14),(14,11),0.13788 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,14),(14,14),(14,10),0.0116258 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,14),(14,14),(14,9),0.123732 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,14),(14,14),(14,8),0.140694 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,14),(14,14),(14,7),0.13411 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,14),(14,14),(14,6),0.0994512 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,14),(14,14),(14,5),0.16648 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,14),(14,14),(14,4),0.135995 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,14),(14,14),(14,-1),-0.184521 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,14),(14,13),(14,12),0.101896 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,13),(14,11),0.0897984 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,13),(14,10),0.11752 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,13),(14,9),0.107362 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,13),(14,8),0.103858 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,13),(14,7),0.104236 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,13),(14,6),0.0999828 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,13),(14,5),0.0883903 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,13),(14,4),0.103858 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,13),(14,-1),-0.0911838 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,14),(14,12),(14,11),0.0930953 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,12),(14,10),0.113751 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,12),(14,9),0.106539 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,12),(14,8),0.107227 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,12),(14,7),0.102608 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,12),(14,6),0.0957052 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,12),(14,5),0.0916872 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,12),(14,4),0.107227 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,12),(14,-1),-0.0705586 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,14),(14,11),(14,10),0.113206 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,11),(14,9),0.0843412 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,11),(14,8),0.112175 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,11),(14,7),0.123126 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,11),(14,6),0.100779 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,11),(14,5),0.0719539 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,11),(14,4),0.112175 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,11),(14,-1),-0.0497209 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,14),(14,10),(14,9),0.111135 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,10),(14,8),0.130064 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,10),(14,7),0.12005 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,10),(14,6),0.0472671 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,10),(14,5),0.0922167 # DEPENDENCYPART_GRANDSIBL
(4,14),(14,10),(14,4),0.130064 # DEPENDENCYPART_GRANDSIBL
