# _root_ London-based LIT Holdings , the largest financer of traders in the Chicago options and futures markets , said yesterday it will incur a second-half loss as a result of the market plunge .
#goldHeads=3,3,18,3,7,7,3,7,8,7,16,16,14,16,14,10,3,0,18,21,18,21,25,25,22,22,28,26,28,32,32,29,18,
#predictedHeads=3,3,18,3,7,7,3,7,8,9,16,16,14,16,14,10,3,0,18,21,18,21,25,25,22,22,28,26,28,32,32,29,18,
(21,8),(8,16),-0.116811 # DEPENDENCYPART_GRANDPAR
(21,9),(9,4),0.104768 # DEPENDENCYPART_GRANDPAR
(21,9),(9,5),0.206809 # DEPENDENCYPART_GRANDPAR
(21,9),(9,6),-0.173672 # DEPENDENCYPART_GRANDPAR
(21,9),(9,7),0.101144 # DEPENDENCYPART_GRANDPAR
(21,9),(9,8),-0.149104 # DEPENDENCYPART_GRANDPAR
(21,9),(9,10),0.00726407 # DEPENDENCYPART_GRANDPAR
(21,9),(9,11),0.232005 # DEPENDENCYPART_GRANDPAR
(21,9),(9,12),0.180239 # DEPENDENCYPART_GRANDPAR
(21,9),(9,13),0.208195 # DEPENDENCYPART_GRANDPAR
(21,9),(9,14),-0.0300574 # DEPENDENCYPART_GRANDPAR
(21,9),(9,16),0.109759 # DEPENDENCYPART_GRANDPAR
(21,9),(9,17),0.312473 # DEPENDENCYPART_GRANDPAR
(21,9),(9,21),-0.932903 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(21,10),(10,7),0.0792933 # DEPENDENCYPART_GRANDPAR
(21,10),(10,8),-0.12871 # DEPENDENCYPART_GRANDPAR
(21,10),(10,9),0.14078 # DEPENDENCYPART_GRANDPAR
(21,10),(10,11),-0.0246819 # DEPENDENCYPART_GRANDPAR
(21,10),(10,12),0.0401566 # DEPENDENCYPART_GRANDPAR
(21,10),(10,13),0.0680609 # DEPENDENCYPART_GRANDPAR
(21,10),(10,14),-0.25426 # DEPENDENCYPART_GRANDPAR
(21,10),(10,15),0.0219119 # DEPENDENCYPART_GRANDPAR
(21,10),(10,16),-0.0374746 # DEPENDENCYPART_GRANDPAR
(21,10),(10,17),0.133059 # DEPENDENCYPART_GRANDPAR
(21,10),(10,19),0.0146684 # DEPENDENCYPART_GRANDPAR
(21,10),(10,21),-0.98975 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(21,12),(12,11),0.23799 # DEPENDENCYPART_GRANDPAR
(21,12),(12,13),0.194544 # DEPENDENCYPART_GRANDPAR
(21,13),(13,4),0.107294 # DEPENDENCYPART_GRANDPAR
(21,13),(13,5),0.210191 # DEPENDENCYPART_GRANDPAR
(21,13),(13,9),0.164793 # DEPENDENCYPART_GRANDPAR
(21,13),(13,10),0.0255106 # DEPENDENCYPART_GRANDPAR
(21,13),(13,11),0.236437 # DEPENDENCYPART_GRANDPAR
(21,13),(13,12),0.297107 # DEPENDENCYPART_GRANDPAR
(21,13),(13,14),-0.0351107 # DEPENDENCYPART_GRANDPAR
(21,13),(13,15),0.145034 # DEPENDENCYPART_GRANDPAR
(21,13),(13,16),0.101401 # DEPENDENCYPART_GRANDPAR
(21,13),(13,17),0.300635 # DEPENDENCYPART_GRANDPAR
(21,14),(14,1),-0.0223165 # DEPENDENCYPART_GRANDPAR
(21,14),(14,2),0.221463 # DEPENDENCYPART_GRANDPAR
(21,14),(14,3),0.067131 # DEPENDENCYPART_GRANDPAR
(21,14),(14,4),-0.0297843 # DEPENDENCYPART_GRANDPAR
(21,14),(14,5),0.203317 # DEPENDENCYPART_GRANDPAR
(21,14),(14,7),0.12477 # DEPENDENCYPART_GRANDPAR
(21,14),(14,8),-0.00433915 # DEPENDENCYPART_GRANDPAR
(21,14),(14,9),0.191036 # DEPENDENCYPART_GRANDPAR
(21,14),(14,10),0.0744396 # DEPENDENCYPART_GRANDPAR
(21,14),(14,11),0.229563 # DEPENDENCYPART_GRANDPAR
(21,14),(14,12),0.288188 # DEPENDENCYPART_GRANDPAR
(21,14),(14,13),0.316874 # DEPENDENCYPART_GRANDPAR
(21,14),(14,15),0.0166557 # DEPENDENCYPART_GRANDPAR
(21,14),(14,16),-0.0168481 # DEPENDENCYPART_GRANDPAR
(21,14),(14,17),0.179463 # DEPENDENCYPART_GRANDPAR
(21,14),(14,18),0.20818 # DEPENDENCYPART_GRANDPAR
(21,14),(14,19),0.0371576 # DEPENDENCYPART_GRANDPAR
(21,14),(14,21),-0.995947 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(21,14),(14,22),0.51291 # DEPENDENCYPART_GRANDPAR
(21,14),(14,25),-0.178711 # DEPENDENCYPART_GRANDPAR
(21,14),(14,26),-0.398879 # DEPENDENCYPART_GRANDPAR
(21,14),(14,29),-0.525358 # DEPENDENCYPART_GRANDPAR
(21,14),(14,33),-0.512243 # DEPENDENCYPART_GRANDPAR
(21,15),(15,11),0.237935 # DEPENDENCYPART_GRANDPAR
(21,15),(15,12),0.29987 # DEPENDENCYPART_GRANDPAR
(21,15),(15,16),0.107403 # DEPENDENCYPART_GRANDPAR
(21,16),(16,7),0.110517 # DEPENDENCYPART_GRANDPAR
(21,16),(16,8),-0.148438 # DEPENDENCYPART_GRANDPAR
(21,16),(16,9),0.170569 # DEPENDENCYPART_GRANDPAR
(21,16),(16,10),0.0341375 # DEPENDENCYPART_GRANDPAR
(21,16),(16,11),0.23611 # DEPENDENCYPART_GRANDPAR
(21,16),(16,12),0.302615 # DEPENDENCYPART_GRANDPAR
(21,16),(16,13),0.293422 # DEPENDENCYPART_GRANDPAR
(21,16),(16,14),-0.181858 # DEPENDENCYPART_GRANDPAR
(21,16),(16,15),0.256441 # DEPENDENCYPART_GRANDPAR
(21,16),(16,17),0.307359 # DEPENDENCYPART_GRANDPAR
(21,16),(16,18),0.338715 # DEPENDENCYPART_GRANDPAR
(21,16),(16,19),0.189916 # DEPENDENCYPART_GRANDPAR
(21,16),(16,21),-0.932903 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(21,16),(16,25),0.0303854 # DEPENDENCYPART_GRANDPAR
(21,16),(16,28),0.10397 # DEPENDENCYPART_GRANDPAR
(21,16),(16,32),-0.192723 # DEPENDENCYPART_GRANDPAR
(21,18),(18,1),-0.0195848 # DEPENDENCYPART_GRANDPAR
(21,18),(18,2),0.247832 # DEPENDENCYPART_GRANDPAR
(21,18),(18,3),0.0881268 # DEPENDENCYPART_GRANDPAR
(21,18),(18,4),0.251176 # DEPENDENCYPART_GRANDPAR
(21,18),(18,5),0.227937 # DEPENDENCYPART_GRANDPAR
(21,18),(18,7),0.15114 # DEPENDENCYPART_GRANDPAR
(21,18),(18,8),-0.0458893 # DEPENDENCYPART_GRANDPAR
(21,18),(18,9),0.232446 # DEPENDENCYPART_GRANDPAR
(21,18),(18,10),0.243956 # DEPENDENCYPART_GRANDPAR
(21,18),(18,11),0.254182 # DEPENDENCYPART_GRANDPAR
(21,18),(18,12),0.321023 # DEPENDENCYPART_GRANDPAR
(21,18),(18,13),0.331079 # DEPENDENCYPART_GRANDPAR
(21,18),(18,14),0.181525 # DEPENDENCYPART_GRANDPAR
(21,18),(18,15),0.277021 # DEPENDENCYPART_GRANDPAR
(21,18),(18,16),0.203304 # DEPENDENCYPART_GRANDPAR
(21,18),(18,17),0.417938 # DEPENDENCYPART_GRANDPAR
(21,18),(18,19),-0.125434 # DEPENDENCYPART_GRANDPAR
(21,18),(18,20),-0.0926267 # DEPENDENCYPART_GRANDPAR
(21,18),(18,21),-0.881619 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(21,18),(18,22),0.621737 # DEPENDENCYPART_GRANDPAR
(21,18),(18,25),-0.0403454 # DEPENDENCYPART_GRANDPAR
(21,18),(18,26),-0.279805 # DEPENDENCYPART_GRANDPAR
(21,18),(18,28),0.0332354 # DEPENDENCYPART_GRANDPAR
(21,18),(18,33),-0.410424 # DEPENDENCYPART_GRANDPAR
(21,19),(19,14),-0.173655 # DEPENDENCYPART_GRANDPAR
(21,19),(19,16),0.15667 # DEPENDENCYPART_GRANDPAR
(21,19),(19,18),0.172427 # DEPENDENCYPART_GRANDPAR
(21,19),(19,20),0.126305 # DEPENDENCYPART_GRANDPAR
(21,19),(19,21),-0.932904 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(21,19),(19,22),0.595605 # DEPENDENCYPART_GRANDPAR
(21,19),(19,25),0.0303814 # DEPENDENCYPART_GRANDPAR
(21,19),(19,26),-0.207553 # DEPENDENCYPART_GRANDPAR
(21,19),(19,28),0.103966 # DEPENDENCYPART_GRANDPAR
(21,19),(19,29),-0.337342 # DEPENDENCYPART_GRANDPAR
(21,19),(19,32),-0.192727 # DEPENDENCYPART_GRANDPAR
(21,20),(20,22),0.60365 # DEPENDENCYPART_GRANDPAR
(21,22),(22,7),-0.248477 # DEPENDENCYPART_GRANDPAR
(21,22),(22,19),-0.0896191 # DEPENDENCYPART_GRANDPAR
(21,22),(22,20),-0.166385 # DEPENDENCYPART_GRANDPAR
(21,22),(22,21),-0.771402 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(21,22),(22,23),0.489376 # DEPENDENCYPART_GRANDPAR
(21,22),(22,24),0.345659 # DEPENDENCYPART_GRANDPAR
(21,22),(22,25),0.464846 # DEPENDENCYPART_GRANDPAR
(21,22),(22,26),0.300088 # DEPENDENCYPART_GRANDPAR
(21,22),(22,27),0.257705 # DEPENDENCYPART_GRANDPAR
(21,22),(22,28),0.527278 # DEPENDENCYPART_GRANDPAR
(21,22),(22,29),0.107933 # DEPENDENCYPART_GRANDPAR
(21,22),(22,30),0.231537 # DEPENDENCYPART_GRANDPAR
(21,22),(22,31),0.535153 # DEPENDENCYPART_GRANDPAR
(21,22),(22,32),0.231906 # DEPENDENCYPART_GRANDPAR
(21,22),(22,33),-0.0106132 # DEPENDENCYPART_GRANDPAR
(21,26),(26,24),0.0222523 # DEPENDENCYPART_GRANDPAR
(21,26),(26,25),0.0772889 # DEPENDENCYPART_GRANDPAR
(21,26),(26,27),0.0918931 # DEPENDENCYPART_GRANDPAR
(21,26),(26,28),0.325333 # DEPENDENCYPART_GRANDPAR
(21,26),(26,29),-0.0333854 # DEPENDENCYPART_GRANDPAR
(21,26),(26,31),0.334398 # DEPENDENCYPART_GRANDPAR
(21,26),(26,32),0.0180015 # DEPENDENCYPART_GRANDPAR
(21,29),(29,25),0.012823 # DEPENDENCYPART_GRANDPAR
(21,29),(29,27),0.000245553 # DEPENDENCYPART_GRANDPAR
(21,29),(29,28),0.106856 # DEPENDENCYPART_GRANDPAR
(21,29),(29,30),0.0893333 # DEPENDENCYPART_GRANDPAR
(21,29),(29,31),0.421022 # DEPENDENCYPART_GRANDPAR
(21,29),(29,32),0.101631 # DEPENDENCYPART_GRANDPAR
(21,33),(33,32),-0.104283 # DEPENDENCYPART_GRANDPAR
(22,7),(7,1),0.0130206 # DEPENDENCYPART_GRANDPAR
(22,7),(7,2),0.14713 # DEPENDENCYPART_GRANDPAR
(22,7),(7,3),-0.168812 # DEPENDENCYPART_GRANDPAR
(22,7),(7,4),0.0828849 # DEPENDENCYPART_GRANDPAR
(22,7),(7,5),-0.21017 # DEPENDENCYPART_GRANDPAR
(22,7),(7,6),-0.131149 # DEPENDENCYPART_GRANDPAR
(22,7),(7,8),-0.363504 # DEPENDENCYPART_GRANDPAR
(22,7),(7,9),-0.0623514 # DEPENDENCYPART_GRANDPAR
(22,7),(7,10),-0.108144 # DEPENDENCYPART_GRANDPAR
(22,7),(7,11),-0.00271917 # DEPENDENCYPART_GRANDPAR
(22,7),(7,12),0.0190207 # DEPENDENCYPART_GRANDPAR
(22,7),(7,13),-0.108449 # DEPENDENCYPART_GRANDPAR
(22,7),(7,14),0.366224 # DEPENDENCYPART_GRANDPAR
(22,7),(7,15),0.0607385 # DEPENDENCYPART_GRANDPAR
(22,7),(7,16),-0.284215 # DEPENDENCYPART_GRANDPAR
(22,7),(7,17),0.170908 # DEPENDENCYPART_GRANDPAR
(22,7),(7,18),0.0997089 # DEPENDENCYPART_GRANDPAR
(22,7),(7,19),0.0256528 # DEPENDENCYPART_GRANDPAR
(22,7),(7,21),0.177429 # DEPENDENCYPART_GRANDPAR
(22,7),(7,22),-0.812931 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(22,7),(7,25),0.310446 # DEPENDENCYPART_GRANDPAR
(22,7),(7,26),0.370546 # DEPENDENCYPART_GRANDPAR
(22,19),(19,14),0.0930065 # DEPENDENCYPART_GRANDPAR
(22,19),(19,16),-0.361815 # DEPENDENCYPART_GRANDPAR
(22,19),(19,18),-0.121103 # DEPENDENCYPART_GRANDPAR
(22,19),(19,20),-0.141438 # DEPENDENCYPART_GRANDPAR
(22,19),(19,21),0.111432 # DEPENDENCYPART_GRANDPAR
(22,19),(19,22),-0.814972 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(22,19),(19,25),0.309065 # DEPENDENCYPART_GRANDPAR
(22,19),(19,26),0.368614 # DEPENDENCYPART_GRANDPAR
(22,19),(19,28),0.377269 # DEPENDENCYPART_GRANDPAR
(22,19),(19,29),0.280542 # DEPENDENCYPART_GRANDPAR
(22,19),(19,32),0.022484 # DEPENDENCYPART_GRANDPAR
(22,20),(20,22),-0.759844 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(22,21),(21,2),0.203571 # DEPENDENCYPART_GRANDPAR
(22,21),(21,4),0.166776 # DEPENDENCYPART_GRANDPAR
(22,21),(21,7),-0.0341031 # DEPENDENCYPART_GRANDPAR
(22,21),(21,8),-0.190736 # DEPENDENCYPART_GRANDPAR
(22,21),(21,9),0.055504 # DEPENDENCYPART_GRANDPAR
(22,21),(21,10),0.071325 # DEPENDENCYPART_GRANDPAR
(22,21),(21,12),0.158553 # DEPENDENCYPART_GRANDPAR
(22,21),(21,13),0.0211344 # DEPENDENCYPART_GRANDPAR
(22,21),(21,14),0.383823 # DEPENDENCYPART_GRANDPAR
(22,21),(21,15),0.213112 # DEPENDENCYPART_GRANDPAR
(22,21),(21,16),-0.166091 # DEPENDENCYPART_GRANDPAR
(22,21),(21,17),0.170953 # DEPENDENCYPART_GRANDPAR
(22,21),(21,18),0.0191542 # DEPENDENCYPART_GRANDPAR
(22,21),(21,19),0.133874 # DEPENDENCYPART_GRANDPAR
(22,21),(21,20),0.125771 # DEPENDENCYPART_GRANDPAR
(22,21),(21,22),-0.903992 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(22,21),(21,26),0.161336 # DEPENDENCYPART_GRANDPAR
(22,21),(21,29),0.1027 # DEPENDENCYPART_GRANDPAR
(22,21),(21,33),-0.561058 # DEPENDENCYPART_GRANDPAR
(22,23),(23,24),0.360976 # DEPENDENCYPART_GRANDPAR
(22,23),(23,26),0.423586 # DEPENDENCYPART_GRANDPAR
(22,23),(23,29),0.449646 # DEPENDENCYPART_GRANDPAR
(22,24),(24,19),-0.361701 # DEPENDENCYPART_GRANDPAR
(22,24),(24,20),-0.358064 # DEPENDENCYPART_GRANDPAR
(22,24),(24,23),0.408541 # DEPENDENCYPART_GRANDPAR
(22,24),(24,26),0.419622 # DEPENDENCYPART_GRANDPAR
(22,24),(24,28),0.698326 # DEPENDENCYPART_GRANDPAR
(22,24),(24,29),0.356397 # DEPENDENCYPART_GRANDPAR
(22,25),(25,11),-0.526141 # DEPENDENCYPART_GRANDPAR
(22,25),(25,18),-0.336913 # DEPENDENCYPART_GRANDPAR
(22,25),(25,19),-0.276989 # DEPENDENCYPART_GRANDPAR
(22,25),(25,20),-0.379616 # DEPENDENCYPART_GRANDPAR
(22,25),(25,23),0.742979 # DEPENDENCYPART_GRANDPAR
(22,25),(25,24),0.418545 # DEPENDENCYPART_GRANDPAR
(22,25),(25,26),0.408713 # DEPENDENCYPART_GRANDPAR
(22,25),(25,27),-0.320156 # DEPENDENCYPART_GRANDPAR
(22,25),(25,28),0.750171 # DEPENDENCYPART_GRANDPAR
(22,25),(25,29),0.418061 # DEPENDENCYPART_GRANDPAR
(22,25),(25,32),0.398084 # DEPENDENCYPART_GRANDPAR
(22,26),(26,24),0.29562 # DEPENDENCYPART_GRANDPAR
(22,26),(26,25),0.532641 # DEPENDENCYPART_GRANDPAR
(22,26),(26,27),-0.163621 # DEPENDENCYPART_GRANDPAR
(22,26),(26,28),0.946225 # DEPENDENCYPART_GRANDPAR
(22,26),(26,29),0.658408 # DEPENDENCYPART_GRANDPAR
(22,26),(26,31),0.306369 # DEPENDENCYPART_GRANDPAR
(22,26),(26,32),0.54575 # DEPENDENCYPART_GRANDPAR
(22,27),(27,29),0.449646 # DEPENDENCYPART_GRANDPAR
(22,28),(28,23),0.729177 # DEPENDENCYPART_GRANDPAR
(22,28),(28,24),0.37392 # DEPENDENCYPART_GRANDPAR
(22,28),(28,25),0.576819 # DEPENDENCYPART_GRANDPAR
(22,28),(28,26),0.387269 # DEPENDENCYPART_GRANDPAR
(22,28),(28,27),-0.0519839 # DEPENDENCYPART_GRANDPAR
(22,28),(28,29),0.408175 # DEPENDENCYPART_GRANDPAR
(22,28),(28,30),-0.215567 # DEPENDENCYPART_GRANDPAR
(22,28),(28,31),0.140069 # DEPENDENCYPART_GRANDPAR
(22,28),(28,32),0.384783 # DEPENDENCYPART_GRANDPAR
(22,29),(29,25),0.507987 # DEPENDENCYPART_GRANDPAR
(22,29),(29,27),-0.317146 # DEPENDENCYPART_GRANDPAR
(22,29),(29,28),0.576953 # DEPENDENCYPART_GRANDPAR
(22,29),(29,30),-0.283953 # DEPENDENCYPART_GRANDPAR
(22,29),(29,31),0.166201 # DEPENDENCYPART_GRANDPAR
(22,29),(29,32),0.401343 # DEPENDENCYPART_GRANDPAR
(22,30),(30,31),0.0676386 # DEPENDENCYPART_GRANDPAR
(22,31),(31,30),-0.202196 # DEPENDENCYPART_GRANDPAR
(22,31),(31,32),0.379975 # DEPENDENCYPART_GRANDPAR
(22,32),(32,23),0.683356 # DEPENDENCYPART_GRANDPAR
(22,32),(32,24),0.364075 # DEPENDENCYPART_GRANDPAR
(22,32),(32,27),-0.0978051 # DEPENDENCYPART_GRANDPAR
(22,32),(32,28),0.645352 # DEPENDENCYPART_GRANDPAR
(22,32),(32,30),-0.235731 # DEPENDENCYPART_GRANDPAR
(22,32),(32,31),0.0155482 # DEPENDENCYPART_GRANDPAR
(22,33),(33,32),0.182508 # DEPENDENCYPART_GRANDPAR
(23,24),(24,19),-0.550166 # DEPENDENCYPART_GRANDPAR
(23,24),(24,20),-0.499436 # DEPENDENCYPART_GRANDPAR
(23,24),(24,23),-0.791264 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(23,24),(24,26),0.14296 # DEPENDENCYPART_GRANDPAR
(23,24),(24,28),-0.027679 # DEPENDENCYPART_GRANDPAR
(23,24),(24,29),0.0248582 # DEPENDENCYPART_GRANDPAR
(23,26),(26,24),0.279935 # DEPENDENCYPART_GRANDPAR
(23,26),(26,25),0.0281541 # DEPENDENCYPART_GRANDPAR
(23,26),(26,27),-0.0603832 # DEPENDENCYPART_GRANDPAR
(23,26),(26,28),0.0374196 # DEPENDENCYPART_GRANDPAR
(23,26),(26,29),0.0951383 # DEPENDENCYPART_GRANDPAR
(23,26),(26,31),-0.00363835 # DEPENDENCYPART_GRANDPAR
(23,26),(26,32),-0.0585446 # DEPENDENCYPART_GRANDPAR
(23,29),(29,25),0.00959499 # DEPENDENCYPART_GRANDPAR
(23,29),(29,27),-0.12259 # DEPENDENCYPART_GRANDPAR
(23,29),(29,28),-0.10361 # DEPENDENCYPART_GRANDPAR
(23,29),(29,30),-0.0267441 # DEPENDENCYPART_GRANDPAR
(23,29),(29,31),0.0991467 # DEPENDENCYPART_GRANDPAR
(23,29),(29,32),0.0396723 # DEPENDENCYPART_GRANDPAR
(24,19),(19,14),-0.493719 # DEPENDENCYPART_GRANDPAR
(24,19),(19,16),-0.58755 # DEPENDENCYPART_GRANDPAR
(24,19),(19,18),-0.509706 # DEPENDENCYPART_GRANDPAR
(24,19),(19,20),-0.153473 # DEPENDENCYPART_GRANDPAR
(24,19),(19,21),-0.227373 # DEPENDENCYPART_GRANDPAR
(24,19),(19,22),-0.362242 # DEPENDENCYPART_GRANDPAR
(24,19),(19,25),-0.0989072 # DEPENDENCYPART_GRANDPAR
(24,19),(19,26),-0.40304 # DEPENDENCYPART_GRANDPAR
(24,19),(19,28),-0.481469 # DEPENDENCYPART_GRANDPAR
(24,19),(19,29),-0.453918 # DEPENDENCYPART_GRANDPAR
(24,19),(19,32),-0.666802 # DEPENDENCYPART_GRANDPAR
(24,20),(20,22),-0.419578 # DEPENDENCYPART_GRANDPAR
(24,23),(23,24),-1.39215 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(24,23),(23,26),-0.443615 # DEPENDENCYPART_GRANDPAR
(24,23),(23,29),-0.486924 # DEPENDENCYPART_GRANDPAR
(24,26),(26,24),-1.0251 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(24,26),(26,25),0.175857 # DEPENDENCYPART_GRANDPAR
(24,26),(26,27),-0.10175 # DEPENDENCYPART_GRANDPAR
(24,26),(26,28),-0.0185897 # DEPENDENCYPART_GRANDPAR
(24,26),(26,29),-0.0658143 # DEPENDENCYPART_GRANDPAR
(24,26),(26,31),-0.272273 # DEPENDENCYPART_GRANDPAR
(24,26),(26,32),-0.223832 # DEPENDENCYPART_GRANDPAR
(24,28),(28,23),-0.491335 # DEPENDENCYPART_GRANDPAR
(24,28),(28,24),-0.987172 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(24,28),(28,25),0.260099 # DEPENDENCYPART_GRANDPAR
(24,28),(28,26),-0.119527 # DEPENDENCYPART_GRANDPAR
(24,28),(28,27),-0.00709296 # DEPENDENCYPART_GRANDPAR
(24,28),(28,29),-0.163285 # DEPENDENCYPART_GRANDPAR
(24,28),(28,30),-0.226001 # DEPENDENCYPART_GRANDPAR
(24,28),(28,31),-0.399477 # DEPENDENCYPART_GRANDPAR
(24,28),(28,32),-0.339547 # DEPENDENCYPART_GRANDPAR
(24,29),(29,25),0.161319 # DEPENDENCYPART_GRANDPAR
(24,29),(29,27),-0.192462 # DEPENDENCYPART_GRANDPAR
(24,29),(29,28),-0.214793 # DEPENDENCYPART_GRANDPAR
(24,29),(29,30),-0.17183 # DEPENDENCYPART_GRANDPAR
(24,29),(29,31),-0.160263 # DEPENDENCYPART_GRANDPAR
(24,29),(29,32),-0.115464 # DEPENDENCYPART_GRANDPAR
(25,18),(18,1),-1.21084 # DEPENDENCYPART_GRANDPAR
(25,18),(18,2),-0.877542 # DEPENDENCYPART_GRANDPAR
(25,18),(18,3),-0.891967 # DEPENDENCYPART_GRANDPAR
(25,18),(18,4),-0.669686 # DEPENDENCYPART_GRANDPAR
(25,18),(18,5),-0.479839 # DEPENDENCYPART_GRANDPAR
(25,18),(18,7),-1.20385 # DEPENDENCYPART_GRANDPAR
(25,18),(18,8),-0.151258 # DEPENDENCYPART_GRANDPAR
(25,18),(18,9),-0.848086 # DEPENDENCYPART_GRANDPAR
(25,18),(18,10),-0.539388 # DEPENDENCYPART_GRANDPAR
(25,18),(18,11),-0.244749 # DEPENDENCYPART_GRANDPAR
(25,18),(18,12),-0.552225 # DEPENDENCYPART_GRANDPAR
(25,18),(18,13),-0.892978 # DEPENDENCYPART_GRANDPAR
(25,18),(18,14),-0.440519 # DEPENDENCYPART_GRANDPAR
(25,18),(18,15),-0.31204 # DEPENDENCYPART_GRANDPAR
(25,18),(18,16),-0.60207 # DEPENDENCYPART_GRANDPAR
(25,18),(18,17),-0.196499 # DEPENDENCYPART_GRANDPAR
(25,18),(18,19),-0.489908 # DEPENDENCYPART_GRANDPAR
(25,18),(18,20),-0.10902 # DEPENDENCYPART_GRANDPAR
(25,18),(18,21),-0.0127279 # DEPENDENCYPART_GRANDPAR
(25,18),(18,22),-0.0814928 # DEPENDENCYPART_GRANDPAR
(25,18),(18,25),-1.24296 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(25,18),(18,26),-0.171379 # DEPENDENCYPART_GRANDPAR
(25,18),(18,28),-0.397485 # DEPENDENCYPART_GRANDPAR
(25,18),(18,33),-0.608387 # DEPENDENCYPART_GRANDPAR
(25,19),(19,14),-0.622267 # DEPENDENCYPART_GRANDPAR
(25,19),(19,16),-0.559273 # DEPENDENCYPART_GRANDPAR
(25,19),(19,18),-0.41261 # DEPENDENCYPART_GRANDPAR
(25,19),(19,20),-0.0999885 # DEPENDENCYPART_GRANDPAR
(25,19),(19,21),0.0343324 # DEPENDENCYPART_GRANDPAR
(25,19),(19,22),0.00730063 # DEPENDENCYPART_GRANDPAR
(25,19),(19,25),-1.09908 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(25,19),(19,26),0.000371046 # DEPENDENCYPART_GRANDPAR
(25,19),(19,28),-0.253598 # DEPENDENCYPART_GRANDPAR
(25,19),(19,29),-0.284788 # DEPENDENCYPART_GRANDPAR
(25,19),(19,32),-0.314107 # DEPENDENCYPART_GRANDPAR
(25,20),(20,22),-0.102192 # DEPENDENCYPART_GRANDPAR
(25,23),(23,24),0.565875 # DEPENDENCYPART_GRANDPAR
(25,23),(23,26),0.00860941 # DEPENDENCYPART_GRANDPAR
(25,23),(23,29),-0.268314 # DEPENDENCYPART_GRANDPAR
(25,24),(24,19),-0.228693 # DEPENDENCYPART_GRANDPAR
(25,24),(24,20),-0.0927365 # DEPENDENCYPART_GRANDPAR
(25,24),(24,23),0.227821 # DEPENDENCYPART_GRANDPAR
(25,24),(24,26),0.0253294 # DEPENDENCYPART_GRANDPAR
(25,24),(24,28),-0.249833 # DEPENDENCYPART_GRANDPAR
(25,24),(24,29),-0.249155 # DEPENDENCYPART_GRANDPAR
(25,26),(26,24),0.12752 # DEPENDENCYPART_GRANDPAR
(25,26),(26,25),-0.621063 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(25,26),(26,27),0.212201 # DEPENDENCYPART_GRANDPAR
(25,26),(26,28),0.355773 # DEPENDENCYPART_GRANDPAR
(25,26),(26,29),0.2879 # DEPENDENCYPART_GRANDPAR
(25,26),(26,31),0.375024 # DEPENDENCYPART_GRANDPAR
(25,26),(26,32),0.318314 # DEPENDENCYPART_GRANDPAR
(25,27),(27,29),0.208417 # DEPENDENCYPART_GRANDPAR
(25,28),(28,23),-0.325605 # DEPENDENCYPART_GRANDPAR
(25,28),(28,24),0.0836289 # DEPENDENCYPART_GRANDPAR
(25,28),(28,25),-0.591028 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(25,28),(28,26),0.414324 # DEPENDENCYPART_GRANDPAR
(25,28),(28,27),0.522882 # DEPENDENCYPART_GRANDPAR
(25,28),(28,29),0.156685 # DEPENDENCYPART_GRANDPAR
(25,28),(28,30),-0.121593 # DEPENDENCYPART_GRANDPAR
(25,28),(28,31),0.287403 # DEPENDENCYPART_GRANDPAR
(25,28),(28,32),0.276055 # DEPENDENCYPART_GRANDPAR
(25,29),(29,25),-0.702892 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(25,29),(29,27),0.345529 # DEPENDENCYPART_GRANDPAR
(25,29),(29,28),0.147589 # DEPENDENCYPART_GRANDPAR
(25,29),(29,30),-0.0107306 # DEPENDENCYPART_GRANDPAR
(25,29),(29,31),0.500408 # DEPENDENCYPART_GRANDPAR
(25,29),(29,32),0.438756 # DEPENDENCYPART_GRANDPAR
(25,32),(32,23),-0.325608 # DEPENDENCYPART_GRANDPAR
(25,32),(32,24),0.0836264 # DEPENDENCYPART_GRANDPAR
(25,32),(32,27),0.494046 # DEPENDENCYPART_GRANDPAR
(25,32),(32,28),0.261843 # DEPENDENCYPART_GRANDPAR
(25,32),(32,30),0.0724248 # DEPENDENCYPART_GRANDPAR
