# _root_ In the 45 minutes before the 9:30 opening bell , the Jacobson specialists kept getting sell orders , heavier than they imagined .
#goldHeads=14,4,4,1,4,9,9,9,5,14,13,13,14,0,14,17,15,17,17,22,22,19,14,
#predictedHeads=14,4,4,1,4,9,9,9,5,14,13,13,14,0,14,17,15,17,17,22,22,19,14,
(5,1),(1,10),-0.000496699 # DEPENDENCYPART_GRANDPAR
(5,1),(1,20),-0.549317 # DEPENDENCYPART_GRANDPAR
(5,1),(1,23),-0.869802 # DEPENDENCYPART_GRANDPAR
(5,3),(3,1),0.0430329 # DEPENDENCYPART_GRANDPAR
(5,3),(3,2),-0.0436049 # DEPENDENCYPART_GRANDPAR
(5,3),(3,5),-0.865725 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,3),(3,7),0.155098 # DEPENDENCYPART_GRANDPAR
(5,3),(3,8),-0.118514 # DEPENDENCYPART_GRANDPAR
(5,3),(3,9),0.342455 # DEPENDENCYPART_GRANDPAR
(5,3),(3,19),-0.6225 # DEPENDENCYPART_GRANDPAR
(5,4),(4,1),0.146745 # DEPENDENCYPART_GRANDPAR
(5,4),(4,2),0.0196989 # DEPENDENCYPART_GRANDPAR
(5,4),(4,3),0.253965 # DEPENDENCYPART_GRANDPAR
(5,4),(4,5),-0.867501 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,4),(4,6),0.27693 # DEPENDENCYPART_GRANDPAR
(5,4),(4,7),0.100042 # DEPENDENCYPART_GRANDPAR
(5,4),(4,8),-0.122733 # DEPENDENCYPART_GRANDPAR
(5,4),(4,9),0.338238 # DEPENDENCYPART_GRANDPAR
(5,4),(4,10),-0.0894722 # DEPENDENCYPART_GRANDPAR
(5,4),(4,12),-0.465247 # DEPENDENCYPART_GRANDPAR
(5,4),(4,13),-0.28302 # DEPENDENCYPART_GRANDPAR
(5,4),(4,14),-0.541236 # DEPENDENCYPART_GRANDPAR
(5,4),(4,15),-0.691268 # DEPENDENCYPART_GRANDPAR
(5,4),(4,17),-0.644016 # DEPENDENCYPART_GRANDPAR
(5,4),(4,18),-0.373462 # DEPENDENCYPART_GRANDPAR
(5,4),(4,20),-0.544089 # DEPENDENCYPART_GRANDPAR
(5,4),(4,22),-0.619048 # DEPENDENCYPART_GRANDPAR
(5,4),(4,23),-0.903302 # DEPENDENCYPART_GRANDPAR
(5,6),(6,7),0.552873 # DEPENDENCYPART_GRANDPAR
(5,6),(6,10),0.417278 # DEPENDENCYPART_GRANDPAR
(5,7),(7,2),-0.5197 # DEPENDENCYPART_GRANDPAR
(5,7),(7,3),-0.271659 # DEPENDENCYPART_GRANDPAR
(5,7),(7,5),-0.509519 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,7),(7,6),0.740612 # DEPENDENCYPART_GRANDPAR
(5,7),(7,8),0.251237 # DEPENDENCYPART_GRANDPAR
(5,7),(7,9),0.712842 # DEPENDENCYPART_GRANDPAR
(5,7),(7,10),0.455555 # DEPENDENCYPART_GRANDPAR
(5,7),(7,14),-0.108691 # DEPENDENCYPART_GRANDPAR
(5,7),(7,19),-0.222769 # DEPENDENCYPART_GRANDPAR
(5,8),(8,1),-0.418383 # DEPENDENCYPART_GRANDPAR
(5,8),(8,2),-0.613255 # DEPENDENCYPART_GRANDPAR
(5,8),(8,3),-0.326715 # DEPENDENCYPART_GRANDPAR
(5,8),(8,4),-0.565636 # DEPENDENCYPART_GRANDPAR
(5,8),(8,5),-0.524914 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,8),(8,6),0.834333 # DEPENDENCYPART_GRANDPAR
(5,8),(8,7),0.52418 # DEPENDENCYPART_GRANDPAR
(5,8),(8,9),0.807244 # DEPENDENCYPART_GRANDPAR
(5,8),(8,13),0.183457 # DEPENDENCYPART_GRANDPAR
(5,8),(8,14),-0.0442277 # DEPENDENCYPART_GRANDPAR
(5,8),(8,18),0.300666 # DEPENDENCYPART_GRANDPAR
(5,9),(9,1),-0.418041 # DEPENDENCYPART_GRANDPAR
(5,9),(9,2),-0.613255 # DEPENDENCYPART_GRANDPAR
(5,9),(9,3),-0.326715 # DEPENDENCYPART_GRANDPAR
(5,9),(9,4),-0.565634 # DEPENDENCYPART_GRANDPAR
(5,9),(9,5),-0.528035 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,9),(9,6),0.817701 # DEPENDENCYPART_GRANDPAR
(5,9),(9,7),0.518195 # DEPENDENCYPART_GRANDPAR
(5,9),(9,8),0.401113 # DEPENDENCYPART_GRANDPAR
(5,9),(9,10),0.574519 # DEPENDENCYPART_GRANDPAR
(5,9),(9,11),-0.341463 # DEPENDENCYPART_GRANDPAR
(5,9),(9,12),-0.0123632 # DEPENDENCYPART_GRANDPAR
(5,9),(9,13),0.170156 # DEPENDENCYPART_GRANDPAR
(5,9),(9,14),-0.0527885 # DEPENDENCYPART_GRANDPAR
(5,9),(9,15),-0.214334 # DEPENDENCYPART_GRANDPAR
(5,9),(9,16),-0.109735 # DEPENDENCYPART_GRANDPAR
(5,9),(9,17),-0.188195 # DEPENDENCYPART_GRANDPAR
(5,9),(9,18),0.290529 # DEPENDENCYPART_GRANDPAR
(5,9),(9,20),-0.0526131 # DEPENDENCYPART_GRANDPAR
(5,9),(9,22),-0.124731 # DEPENDENCYPART_GRANDPAR
(5,9),(9,23),-0.424352 # DEPENDENCYPART_GRANDPAR
(5,13),(13,1),-0.418041 # DEPENDENCYPART_GRANDPAR
(5,13),(13,5),-0.528267 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,13),(13,6),0.806895 # DEPENDENCYPART_GRANDPAR
(5,13),(13,7),0.514959 # DEPENDENCYPART_GRANDPAR
(5,13),(13,8),0.399856 # DEPENDENCYPART_GRANDPAR
(5,13),(13,9),0.854538 # DEPENDENCYPART_GRANDPAR
(5,13),(13,10),0.398207 # DEPENDENCYPART_GRANDPAR
(5,13),(13,11),-0.436827 # DEPENDENCYPART_GRANDPAR
(5,13),(13,12),0.0570712 # DEPENDENCYPART_GRANDPAR
(5,13),(13,14),-0.0509872 # DEPENDENCYPART_GRANDPAR
(5,13),(13,15),-0.212533 # DEPENDENCYPART_GRANDPAR
(5,13),(13,17),-0.18917 # DEPENDENCYPART_GRANDPAR
(5,13),(13,18),0.268437 # DEPENDENCYPART_GRANDPAR
(5,13),(13,19),-0.160072 # DEPENDENCYPART_GRANDPAR
(5,13),(13,23),-0.428054 # DEPENDENCYPART_GRANDPAR
(6,7),(7,2),-0.589219 # DEPENDENCYPART_GRANDPAR
(6,7),(7,3),-0.572409 # DEPENDENCYPART_GRANDPAR
(6,7),(7,5),-0.450444 # DEPENDENCYPART_GRANDPAR
(6,7),(7,6),-0.658015 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,7),(7,8),0.0855078 # DEPENDENCYPART_GRANDPAR
(6,7),(7,9),-0.0288408 # DEPENDENCYPART_GRANDPAR
(6,7),(7,10),0.0603838 # DEPENDENCYPART_GRANDPAR
(6,7),(7,14),-0.0649126 # DEPENDENCYPART_GRANDPAR
(6,7),(7,19),-0.177254 # DEPENDENCYPART_GRANDPAR
(7,2),(2,1),-0.430812 # DEPENDENCYPART_GRANDPAR
(7,2),(2,3),-0.267871 # DEPENDENCYPART_GRANDPAR
(7,2),(2,5),-0.364736 # DEPENDENCYPART_GRANDPAR
(7,3),(3,1),-0.467606 # DEPENDENCYPART_GRANDPAR
(7,3),(3,2),-0.454122 # DEPENDENCYPART_GRANDPAR
(7,3),(3,5),-0.327141 # DEPENDENCYPART_GRANDPAR
(7,3),(3,7),-1.22088 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,3),(3,8),-0.254271 # DEPENDENCYPART_GRANDPAR
(7,3),(3,9),-0.341071 # DEPENDENCYPART_GRANDPAR
(7,3),(3,19),-0.645074 # DEPENDENCYPART_GRANDPAR
(7,5),(5,1),-0.426886 # DEPENDENCYPART_GRANDPAR
(7,5),(5,3),-0.17758 # DEPENDENCYPART_GRANDPAR
(7,5),(5,4),-0.369958 # DEPENDENCYPART_GRANDPAR
(7,5),(5,6),-0.297924 # DEPENDENCYPART_GRANDPAR
(7,5),(5,7),-1.22818 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,5),(5,8),-0.276509 # DEPENDENCYPART_GRANDPAR
(7,5),(5,9),-0.36331 # DEPENDENCYPART_GRANDPAR
(7,5),(5,10),-0.37051 # DEPENDENCYPART_GRANDPAR
(7,5),(5,13),-0.459357 # DEPENDENCYPART_GRANDPAR
(7,6),(6,7),-1.22417 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,6),(6,10),-0.366274 # DEPENDENCYPART_GRANDPAR
(7,8),(8,1),-0.78191 # DEPENDENCYPART_GRANDPAR
(7,8),(8,2),-0.888923 # DEPENDENCYPART_GRANDPAR
(7,8),(8,3),-0.668359 # DEPENDENCYPART_GRANDPAR
(7,8),(8,4),-0.80188 # DEPENDENCYPART_GRANDPAR
(7,8),(8,5),-0.678213 # DEPENDENCYPART_GRANDPAR
(7,8),(8,6),-0.704169 # DEPENDENCYPART_GRANDPAR
(7,8),(8,7),-0.80471 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,8),(8,9),0.0920086 # DEPENDENCYPART_GRANDPAR
(7,8),(8,13),-0.00856373 # DEPENDENCYPART_GRANDPAR
(7,8),(8,14),-0.224844 # DEPENDENCYPART_GRANDPAR
(7,8),(8,18),-0.0678366 # DEPENDENCYPART_GRANDPAR
(7,9),(9,1),-0.781568 # DEPENDENCYPART_GRANDPAR
(7,9),(9,2),-0.888923 # DEPENDENCYPART_GRANDPAR
(7,9),(9,3),-0.668359 # DEPENDENCYPART_GRANDPAR
(7,9),(9,4),-0.801878 # DEPENDENCYPART_GRANDPAR
(7,9),(9,5),-0.677872 # DEPENDENCYPART_GRANDPAR
(7,9),(9,6),-0.704169 # DEPENDENCYPART_GRANDPAR
(7,9),(9,7),-0.804751 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,9),(9,8),0.15665 # DEPENDENCYPART_GRANDPAR
(7,9),(9,10),0.0191331 # DEPENDENCYPART_GRANDPAR
(7,9),(9,11),-0.226383 # DEPENDENCYPART_GRANDPAR
(7,9),(9,12),-0.0959325 # DEPENDENCYPART_GRANDPAR
(7,9),(9,13),-0.0139558 # DEPENDENCYPART_GRANDPAR
(7,9),(9,14),-0.225249 # DEPENDENCYPART_GRANDPAR
(7,9),(9,15),-0.302255 # DEPENDENCYPART_GRANDPAR
(7,9),(9,16),-0.31467 # DEPENDENCYPART_GRANDPAR
(7,9),(9,17),-0.11538 # DEPENDENCYPART_GRANDPAR
(7,9),(9,18),-0.0695756 # DEPENDENCYPART_GRANDPAR
(7,9),(9,20),-0.217879 # DEPENDENCYPART_GRANDPAR
(7,9),(9,22),-0.298741 # DEPENDENCYPART_GRANDPAR
(7,9),(9,23),-0.400709 # DEPENDENCYPART_GRANDPAR
(7,14),(14,1),-0.821526 # DEPENDENCYPART_GRANDPAR
(7,14),(14,3),-0.663659 # DEPENDENCYPART_GRANDPAR
(7,14),(14,4),-0.871911 # DEPENDENCYPART_GRANDPAR
(7,14),(14,5),-0.758929 # DEPENDENCYPART_GRANDPAR
(7,14),(14,6),-0.663393 # DEPENDENCYPART_GRANDPAR
(7,14),(14,7),-0.830633 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,14),(14,8),0.153864 # DEPENDENCYPART_GRANDPAR
(7,14),(14,9),0.0667859 # DEPENDENCYPART_GRANDPAR
(7,14),(14,10),0.0181482 # DEPENDENCYPART_GRANDPAR
(7,14),(14,11),-0.237536 # DEPENDENCYPART_GRANDPAR
(7,14),(14,12),-0.112928 # DEPENDENCYPART_GRANDPAR
(7,14),(14,13),-0.0292101 # DEPENDENCYPART_GRANDPAR
(7,14),(14,15),-0.27347 # DEPENDENCYPART_GRANDPAR
(7,14),(14,16),-0.300449 # DEPENDENCYPART_GRANDPAR
(7,14),(14,17),-0.0842912 # DEPENDENCYPART_GRANDPAR
(7,14),(14,18),-0.0905956 # DEPENDENCYPART_GRANDPAR
(7,14),(14,19),-0.270555 # DEPENDENCYPART_GRANDPAR
(7,14),(14,20),-0.146459 # DEPENDENCYPART_GRANDPAR
(7,14),(14,22),-0.283182 # DEPENDENCYPART_GRANDPAR
(7,14),(14,23),-0.455541 # DEPENDENCYPART_GRANDPAR
(7,19),(19,17),-0.145313 # DEPENDENCYPART_GRANDPAR
(7,19),(19,20),-0.14602 # DEPENDENCYPART_GRANDPAR
(7,19),(19,22),-0.23411 # DEPENDENCYPART_GRANDPAR
(7,19),(19,23),-0.432429 # DEPENDENCYPART_GRANDPAR
(8,1),(1,2),-0.130358 # DEPENDENCYPART_GRANDPAR
(8,1),(1,3),0.150098 # DEPENDENCYPART_GRANDPAR
(8,1),(1,4),-0.366221 # DEPENDENCYPART_GRANDPAR
(8,1),(1,5),-0.197734 # DEPENDENCYPART_GRANDPAR
(8,1),(1,7),0.500939 # DEPENDENCYPART_GRANDPAR
(8,1),(1,8),-1.35555 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,1),(1,9),-0.165781 # DEPENDENCYPART_GRANDPAR
(8,1),(1,10),-0.578686 # DEPENDENCYPART_GRANDPAR
(8,1),(1,20),-0.717247 # DEPENDENCYPART_GRANDPAR
(8,1),(1,23),-1.13158 # DEPENDENCYPART_GRANDPAR
(8,2),(2,1),-0.373546 # DEPENDENCYPART_GRANDPAR
(8,2),(2,3),0.105723 # DEPENDENCYPART_GRANDPAR
(8,2),(2,5),-0.280063 # DEPENDENCYPART_GRANDPAR
(8,3),(3,1),-0.385826 # DEPENDENCYPART_GRANDPAR
(8,3),(3,2),-0.241024 # DEPENDENCYPART_GRANDPAR
(8,3),(3,5),-0.221867 # DEPENDENCYPART_GRANDPAR
(8,3),(3,7),0.467579 # DEPENDENCYPART_GRANDPAR
(8,3),(3,8),-1.29469 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,3),(3,9),-0.104915 # DEPENDENCYPART_GRANDPAR
(8,3),(3,19),-0.74954 # DEPENDENCYPART_GRANDPAR
(8,4),(4,1),-0.45098 # DEPENDENCYPART_GRANDPAR
(8,4),(4,2),-0.217403 # DEPENDENCYPART_GRANDPAR
(8,4),(4,3),0.176763 # DEPENDENCYPART_GRANDPAR
(8,4),(4,5),-0.208615 # DEPENDENCYPART_GRANDPAR
(8,4),(4,6),0.187083 # DEPENDENCYPART_GRANDPAR
(8,4),(4,7),0.497814 # DEPENDENCYPART_GRANDPAR
(8,4),(4,8),-1.3061 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,4),(4,9),-0.116326 # DEPENDENCYPART_GRANDPAR
(8,4),(4,10),-0.668693 # DEPENDENCYPART_GRANDPAR
(8,4),(4,12),-0.564099 # DEPENDENCYPART_GRANDPAR
(8,4),(4,13),-0.29698 # DEPENDENCYPART_GRANDPAR
(8,4),(4,14),-0.618704 # DEPENDENCYPART_GRANDPAR
(8,4),(4,15),-0.54207 # DEPENDENCYPART_GRANDPAR
(8,4),(4,17),-0.845306 # DEPENDENCYPART_GRANDPAR
(8,4),(4,18),-0.811638 # DEPENDENCYPART_GRANDPAR
(8,4),(4,20),-0.715477 # DEPENDENCYPART_GRANDPAR
(8,4),(4,22),-0.860165 # DEPENDENCYPART_GRANDPAR
(8,4),(4,23),-1.16524 # DEPENDENCYPART_GRANDPAR
(8,5),(5,1),-0.351802 # DEPENDENCYPART_GRANDPAR
(8,5),(5,3),0.229109 # DEPENDENCYPART_GRANDPAR
(8,5),(5,4),-0.325667 # DEPENDENCYPART_GRANDPAR
(8,5),(5,6),0.0909624 # DEPENDENCYPART_GRANDPAR
(8,5),(5,7),0.545674 # DEPENDENCYPART_GRANDPAR
(8,5),(5,8),-1.33608 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,5),(5,9),-0.146311 # DEPENDENCYPART_GRANDPAR
(8,5),(5,10),-0.576494 # DEPENDENCYPART_GRANDPAR
(8,5),(5,13),-0.326964 # DEPENDENCYPART_GRANDPAR
(8,6),(6,7),0.455846 # DEPENDENCYPART_GRANDPAR
(8,6),(6,10),-0.554698 # DEPENDENCYPART_GRANDPAR
(8,7),(7,2),-0.240763 # DEPENDENCYPART_GRANDPAR
(8,7),(7,3),0.232278 # DEPENDENCYPART_GRANDPAR
(8,7),(7,5),-0.237642 # DEPENDENCYPART_GRANDPAR
(8,7),(7,6),-0.0456211 # DEPENDENCYPART_GRANDPAR
(8,7),(7,8),-1.29469 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,7),(7,9),-0.104915 # DEPENDENCYPART_GRANDPAR
(8,7),(7,10),-0.560602 # DEPENDENCYPART_GRANDPAR
(8,7),(7,14),-0.538782 # DEPENDENCYPART_GRANDPAR
(8,7),(7,19),-0.74954 # DEPENDENCYPART_GRANDPAR
(8,9),(9,1),-0.831236 # DEPENDENCYPART_GRANDPAR
(8,9),(9,2),-0.670771 # DEPENDENCYPART_GRANDPAR
(8,9),(9,3),-0.33628 # DEPENDENCYPART_GRANDPAR
(8,9),(9,4),-0.845446 # DEPENDENCYPART_GRANDPAR
(8,9),(9,5),-0.659957 # DEPENDENCYPART_GRANDPAR
(8,9),(9,6),-0.475629 # DEPENDENCYPART_GRANDPAR
(8,9),(9,7),0.0145104 # DEPENDENCYPART_GRANDPAR
(8,9),(9,8),-0.792444 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,9),(9,10),-0.0328862 # DEPENDENCYPART_GRANDPAR
(8,9),(9,11),-0.0436436 # DEPENDENCYPART_GRANDPAR
(8,9),(9,12),-0.00070265 # DEPENDENCYPART_GRANDPAR
(8,9),(9,13),0.267672 # DEPENDENCYPART_GRANDPAR
(8,9),(9,14),-0.126166 # DEPENDENCYPART_GRANDPAR
(8,9),(9,15),-0.0490225 # DEPENDENCYPART_GRANDPAR
(8,9),(9,16),-0.315634 # DEPENDENCYPART_GRANDPAR
(8,9),(9,17),-0.284657 # DEPENDENCYPART_GRANDPAR
(8,9),(9,18),-0.175831 # DEPENDENCYPART_GRANDPAR
(8,9),(9,20),-0.341783 # DEPENDENCYPART_GRANDPAR
(8,9),(9,22),-0.370846 # DEPENDENCYPART_GRANDPAR
(8,9),(9,23),-0.617496 # DEPENDENCYPART_GRANDPAR
(8,13),(13,1),-0.831236 # DEPENDENCYPART_GRANDPAR
(8,13),(13,5),-0.659957 # DEPENDENCYPART_GRANDPAR
(8,13),(13,6),-0.475629 # DEPENDENCYPART_GRANDPAR
(8,13),(13,7),0.0145104 # DEPENDENCYPART_GRANDPAR
(8,13),(13,8),-0.776204 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,13),(13,9),0.412537 # DEPENDENCYPART_GRANDPAR
(8,13),(13,10),-0.0587901 # DEPENDENCYPART_GRANDPAR
(8,13),(13,11),0.176006 # DEPENDENCYPART_GRANDPAR
(8,13),(13,12),-0.0357247 # DEPENDENCYPART_GRANDPAR
(8,13),(13,14),-0.115515 # DEPENDENCYPART_GRANDPAR
(8,13),(13,15),-0.038371 # DEPENDENCYPART_GRANDPAR
(8,13),(13,17),-0.268105 # DEPENDENCYPART_GRANDPAR
(8,13),(13,18),-0.176361 # DEPENDENCYPART_GRANDPAR
(8,13),(13,19),-0.410055 # DEPENDENCYPART_GRANDPAR
(8,13),(13,23),-0.609175 # DEPENDENCYPART_GRANDPAR
(8,14),(14,1),-0.934769 # DEPENDENCYPART_GRANDPAR
(8,14),(14,3),-0.380609 # DEPENDENCYPART_GRANDPAR
(8,14),(14,4),-0.983672 # DEPENDENCYPART_GRANDPAR
(8,14),(14,5),-0.801793 # DEPENDENCYPART_GRANDPAR
(8,14),(14,6),-0.485129 # DEPENDENCYPART_GRANDPAR
(8,14),(14,7),-0.0298183 # DEPENDENCYPART_GRANDPAR
(8,14),(14,8),-0.889655 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,14),(14,9),0.304522 # DEPENDENCYPART_GRANDPAR
(8,14),(14,10),-0.190253 # DEPENDENCYPART_GRANDPAR
(8,14),(14,11),-0.056001 # DEPENDENCYPART_GRANDPAR
(8,14),(14,12),-0.147549 # DEPENDENCYPART_GRANDPAR
(8,14),(14,13),0.114424 # DEPENDENCYPART_GRANDPAR
(8,14),(14,15),-0.0343349 # DEPENDENCYPART_GRANDPAR
(8,14),(14,16),-0.240251 # DEPENDENCYPART_GRANDPAR
(8,14),(14,17),-0.250163 # DEPENDENCYPART_GRANDPAR
(8,14),(14,18),-0.294186 # DEPENDENCYPART_GRANDPAR
(8,14),(14,19),-0.347444 # DEPENDENCYPART_GRANDPAR
(8,14),(14,20),-0.273685 # DEPENDENCYPART_GRANDPAR
(8,14),(14,22),-0.378029 # DEPENDENCYPART_GRANDPAR
(8,14),(14,23),-0.758014 # DEPENDENCYPART_GRANDPAR
(8,18),(18,20),-0.343631 # DEPENDENCYPART_GRANDPAR
(9,1),(1,2),0.0674383 # DEPENDENCYPART_GRANDPAR
(9,1),(1,3),0.135369 # DEPENDENCYPART_GRANDPAR
(9,1),(1,4),-0.0478637 # DEPENDENCYPART_GRANDPAR
(9,1),(1,5),0.0484141 # DEPENDENCYPART_GRANDPAR
(9,1),(1,7),0.588574 # DEPENDENCYPART_GRANDPAR
(9,1),(1,8),0.468686 # DEPENDENCYPART_GRANDPAR
(9,1),(1,9),-0.983457 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,1),(1,10),-0.259879 # DEPENDENCYPART_GRANDPAR
(9,1),(1,20),-0.439273 # DEPENDENCYPART_GRANDPAR
(9,1),(1,23),-0.741143 # DEPENDENCYPART_GRANDPAR
(9,2),(2,1),-0.227241 # DEPENDENCYPART_GRANDPAR
(9,2),(2,3),0.0909942 # DEPENDENCYPART_GRANDPAR
(9,2),(2,5),-0.0339149 # DEPENDENCYPART_GRANDPAR
(9,3),(3,1),-0.239519 # DEPENDENCYPART_GRANDPAR
(9,3),(3,2),-0.0428584 # DEPENDENCYPART_GRANDPAR
(9,3),(3,5),0.0242817 # DEPENDENCYPART_GRANDPAR
(9,3),(3,7),0.555214 # DEPENDENCYPART_GRANDPAR
(9,3),(3,8),0.587115 # DEPENDENCYPART_GRANDPAR
(9,3),(3,9),-0.922591 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,3),(3,19),-0.368829 # DEPENDENCYPART_GRANDPAR
(9,4),(4,1),-0.308415 # DEPENDENCYPART_GRANDPAR
(9,4),(4,2),-0.0207906 # DEPENDENCYPART_GRANDPAR
(9,4),(4,3),0.160354 # DEPENDENCYPART_GRANDPAR
(9,4),(4,5),0.0369413 # DEPENDENCYPART_GRANDPAR
(9,4),(4,6),0.322292 # DEPENDENCYPART_GRANDPAR
(9,4),(4,7),0.584853 # DEPENDENCYPART_GRANDPAR
(9,4),(4,8),0.512217 # DEPENDENCYPART_GRANDPAR
(9,4),(4,9),-0.934001 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,4),(4,10),-0.349885 # DEPENDENCYPART_GRANDPAR
(9,4),(4,12),-0.10707 # DEPENDENCYPART_GRANDPAR
(9,4),(4,13),-0.175461 # DEPENDENCYPART_GRANDPAR
(9,4),(4,14),-0.427578 # DEPENDENCYPART_GRANDPAR
(9,4),(4,15),-0.389003 # DEPENDENCYPART_GRANDPAR
(9,4),(4,17),-0.429305 # DEPENDENCYPART_GRANDPAR
(9,4),(4,18),-0.619573 # DEPENDENCYPART_GRANDPAR
(9,4),(4,20),-0.4375 # DEPENDENCYPART_GRANDPAR
(9,4),(4,22),-0.715689 # DEPENDENCYPART_GRANDPAR
(9,4),(4,23),-0.774793 # DEPENDENCYPART_GRANDPAR
(9,5),(5,1),-0.200073 # DEPENDENCYPART_GRANDPAR
(9,5),(5,3),0.218548 # DEPENDENCYPART_GRANDPAR
(9,5),(5,4),-0.00338932 # DEPENDENCYPART_GRANDPAR
(9,5),(5,6),0.227135 # DEPENDENCYPART_GRANDPAR
(9,5),(5,7),0.633308 # DEPENDENCYPART_GRANDPAR
(9,5),(5,8),0.443862 # DEPENDENCYPART_GRANDPAR
(9,5),(5,9),-0.963987 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,5),(5,10),-0.257687 # DEPENDENCYPART_GRANDPAR
(9,5),(5,13),-0.205447 # DEPENDENCYPART_GRANDPAR
(9,6),(6,7),0.543481 # DEPENDENCYPART_GRANDPAR
(9,6),(6,10),-0.235891 # DEPENDENCYPART_GRANDPAR
(9,7),(7,2),-0.0425976 # DEPENDENCYPART_GRANDPAR
(9,7),(7,3),0.217421 # DEPENDENCYPART_GRANDPAR
(9,7),(7,5),0.0101798 # DEPENDENCYPART_GRANDPAR
(9,7),(7,6),0.0909211 # DEPENDENCYPART_GRANDPAR
(9,7),(7,8),0.584118 # DEPENDENCYPART_GRANDPAR
(9,7),(7,9),-0.922591 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,7),(7,10),-0.241795 # DEPENDENCYPART_GRANDPAR
(9,7),(7,14),-0.347657 # DEPENDENCYPART_GRANDPAR
(9,7),(7,19),-0.368829 # DEPENDENCYPART_GRANDPAR
(9,8),(8,1),-0.302588 # DEPENDENCYPART_GRANDPAR
(9,8),(8,2),-0.0269889 # DEPENDENCYPART_GRANDPAR
(9,8),(8,3),0.160155 # DEPENDENCYPART_GRANDPAR
(9,8),(8,4),0.0401438 # DEPENDENCYPART_GRANDPAR
(9,8),(8,5),-0.0201013 # DEPENDENCYPART_GRANDPAR
(9,8),(8,6),0.10653 # DEPENDENCYPART_GRANDPAR
(9,8),(8,7),0.61123 # DEPENDENCYPART_GRANDPAR
(9,8),(8,9),-0.934003 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,8),(8,13),-0.175463 # DEPENDENCYPART_GRANDPAR
(9,8),(8,14),-0.427578 # DEPENDENCYPART_GRANDPAR
(9,8),(8,18),-0.619573 # DEPENDENCYPART_GRANDPAR
(9,11),(11,10),0.129345 # DEPENDENCYPART_GRANDPAR
(9,11),(11,15),0.101157 # DEPENDENCYPART_GRANDPAR
(9,12),(12,11),0.480489 # DEPENDENCYPART_GRANDPAR
(9,12),(12,13),0.400206 # DEPENDENCYPART_GRANDPAR
(9,12),(12,14),0.0686015 # DEPENDENCYPART_GRANDPAR
(9,12),(12,15),0.107686 # DEPENDENCYPART_GRANDPAR
(9,12),(12,17),0.142242 # DEPENDENCYPART_GRANDPAR
(9,13),(13,1),-0.689326 # DEPENDENCYPART_GRANDPAR
(9,13),(13,5),-0.413803 # DEPENDENCYPART_GRANDPAR
(9,13),(13,6),-0.339087 # DEPENDENCYPART_GRANDPAR
(9,13),(13,7),0.102145 # DEPENDENCYPART_GRANDPAR
(9,13),(13,8),-0.0132481 # DEPENDENCYPART_GRANDPAR
(9,13),(13,9),-0.406849 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,13),(13,10),0.258441 # DEPENDENCYPART_GRANDPAR
(9,13),(13,11),0.472033 # DEPENDENCYPART_GRANDPAR
(9,13),(13,12),0.419792 # DEPENDENCYPART_GRANDPAR
(9,13),(13,14),0.0736095 # DEPENDENCYPART_GRANDPAR
(9,13),(13,15),0.112694 # DEPENDENCYPART_GRANDPAR
(9,13),(13,17),0.145425 # DEPENDENCYPART_GRANDPAR
(9,13),(13,18),0.014265 # DEPENDENCYPART_GRANDPAR
(9,13),(13,19),-0.0308681 # DEPENDENCYPART_GRANDPAR
(9,13),(13,23),-0.220285 # DEPENDENCYPART_GRANDPAR
(9,14),(14,1),-0.792865 # DEPENDENCYPART_GRANDPAR
