# _root_ Martin Fabi , Innopac 's president and chief executive , said Innopac viewed Mr. Pattison 's decision to seek control as a `` very positive '' move .
#goldHeads=2,11,2,7,4,7,2,9,7,2,0,13,11,15,17,15,13,19,17,19,13,27,27,25,27,27,21,11,
#predictedHeads=2,11,2,6,4,7,2,9,7,2,0,13,11,15,17,15,13,19,17,19,13,27,27,25,27,27,21,11,
(25,17),(25,24),0.058397 # DEPENDENCYPART_SIBL
(25,17),(25,26),0.00805429 # DEPENDENCYPART_SIBL
(25,17),(25,27),0.0227457 # DEPENDENCYPART_SIBL
(25,17),(25,28),-0.0170794 # DEPENDENCYPART_SIBL
(25,18),(25,20),-0.0281956 # DEPENDENCYPART_SIBL
(25,18),(25,21),-0.0181507 # DEPENDENCYPART_SIBL
(25,18),(25,22),0.0118401 # DEPENDENCYPART_SIBL
(25,18),(25,23),0.0427056 # DEPENDENCYPART_SIBL
(25,18),(25,24),0.0702537 # DEPENDENCYPART_SIBL
(25,18),(25,26),0.0063915 # DEPENDENCYPART_SIBL
(25,18),(25,27),0.0542598 # DEPENDENCYPART_SIBL
(25,18),(25,28),-0.12637 # DEPENDENCYPART_SIBL
(25,20),(25,21),0.0226719 # DEPENDENCYPART_SIBL
(25,20),(25,22),0.021496 # DEPENDENCYPART_SIBL
(25,20),(25,23),0.0745746 # DEPENDENCYPART_SIBL
(25,20),(25,24),0.0584901 # DEPENDENCYPART_SIBL
(25,20),(25,26),0.00511021 # DEPENDENCYPART_SIBL
(25,20),(25,27),0.0318627 # DEPENDENCYPART_SIBL
(25,20),(25,28),-0.0269856 # DEPENDENCYPART_SIBL
(25,21),(25,22),0.00164319 # DEPENDENCYPART_SIBL
(25,21),(25,23),-0.0259772 # DEPENDENCYPART_SIBL
(25,21),(25,24),0.0324718 # DEPENDENCYPART_SIBL
(25,21),(25,26),0.0453715 # DEPENDENCYPART_SIBL
(25,21),(25,27),0.0131842 # DEPENDENCYPART_SIBL
(25,21),(25,28),0.0121228 # DEPENDENCYPART_SIBL
(25,22),(25,23),0.027845 # DEPENDENCYPART_SIBL
(25,22),(25,24),-0.0309346 # DEPENDENCYPART_SIBL
(25,22),(25,26),0.12835 # DEPENDENCYPART_SIBL
(25,22),(25,27),-0.00903618 # DEPENDENCYPART_SIBL
(25,22),(25,28),-0.0316094 # DEPENDENCYPART_SIBL
(25,23),(25,24),0.0846665 # DEPENDENCYPART_SIBL
(25,23),(25,26),0.563923 # DEPENDENCYPART_SIBL
(25,23),(25,27),0.0412045 # DEPENDENCYPART_SIBL
(25,23),(25,28),0.0239423 # DEPENDENCYPART_SIBL
(25,24),(25,26),0.0610692 # DEPENDENCYPART_SIBL
(25,24),(25,27),-0.0225822 # DEPENDENCYPART_SIBL
(25,24),(25,28),-0.00643758 # DEPENDENCYPART_SIBL
(25,26),(25,27),0.0727666 # DEPENDENCYPART_SIBL
(25,26),(25,28),-0.0407839 # DEPENDENCYPART_SIBL
(25,27),(25,28),-0.0101239 # DEPENDENCYPART_SIBL
(27,17),(27,20),0.0181843 # DEPENDENCYPART_SIBL
(27,17),(27,21),0.0343046 # DEPENDENCYPART_SIBL
(27,17),(27,22),-0.0428041 # DEPENDENCYPART_SIBL
(27,17),(27,23),0.0510925 # DEPENDENCYPART_SIBL
(27,17),(27,24),0.00416276 # DEPENDENCYPART_SIBL
(27,17),(27,25),0.0119842 # DEPENDENCYPART_SIBL
(27,17),(27,26),0.249605 # DEPENDENCYPART_SIBL
(27,17),(27,28),0.00588748 # DEPENDENCYPART_SIBL
(27,20),(27,21),0.0360035 # DEPENDENCYPART_SIBL
(27,20),(27,22),-0.0392045 # DEPENDENCYPART_SIBL
(27,20),(27,23),0.0546952 # DEPENDENCYPART_SIBL
(27,20),(27,24),0.00785834 # DEPENDENCYPART_SIBL
(27,20),(27,25),0.0163496 # DEPENDENCYPART_SIBL
(27,20),(27,26),0.253212 # DEPENDENCYPART_SIBL
(27,20),(27,28),0.000693415 # DEPENDENCYPART_SIBL
(27,21),(27,22),-0.0380684 # DEPENDENCYPART_SIBL
(27,21),(27,23),-0.0426102 # DEPENDENCYPART_SIBL
(27,21),(27,24),-0.00600986 # DEPENDENCYPART_SIBL
(27,21),(27,25),-0.0308916 # DEPENDENCYPART_SIBL
(27,21),(27,26),0.169789 # DEPENDENCYPART_SIBL
(27,21),(27,28),-0.0225589 # DEPENDENCYPART_SIBL
(27,22),(27,23),0.156487 # DEPENDENCYPART_SIBL
(27,22),(27,24),0.0228264 # DEPENDENCYPART_SIBL
(27,22),(27,25),0.0448618 # DEPENDENCYPART_SIBL
(27,22),(27,26),0.296014 # DEPENDENCYPART_SIBL
(27,22),(27,28),-0.0446928 # DEPENDENCYPART_SIBL
(27,23),(27,24),0.0969535 # DEPENDENCYPART_SIBL
(27,23),(27,25),0.0725528 # DEPENDENCYPART_SIBL
(27,23),(27,26),0.759521 # DEPENDENCYPART_SIBL
(27,23),(27,28),-0.0122215 # DEPENDENCYPART_SIBL
(27,24),(27,25),-0.019566 # DEPENDENCYPART_SIBL
(27,24),(27,26),0.17138 # DEPENDENCYPART_SIBL
(27,24),(27,28),0.0158577 # DEPENDENCYPART_SIBL
(27,25),(27,26),0.297939 # DEPENDENCYPART_SIBL
(27,25),(27,28),-0.0318169 # DEPENDENCYPART_SIBL
(27,26),(27,28),0.0261848 # DEPENDENCYPART_SIBL
(0,0),(0,2),-0.436764 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,7),0.00326644 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,11),0.574199 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,13),-0.19222 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,29),-0.949469 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(0,2),(0,7),-1.17208 # DEPENDENCYPART_NEXTSIBL
(0,2),(0,11),-0.829522 # DEPENDENCYPART_NEXTSIBL
(0,2),(0,13),-0.988048 # DEPENDENCYPART_NEXTSIBL
(0,2),(0,29),-0.474729 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,7),(0,11),-0.858302 # DEPENDENCYPART_NEXTSIBL
(0,7),(0,13),-0.936339 # DEPENDENCYPART_NEXTSIBL
(0,7),(0,29),-0.817899 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,11),(0,13),-0.823915 # DEPENDENCYPART_NEXTSIBL
(0,11),(0,29),-0.382959 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,13),(0,29),-0.666351 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,0),(0,-1),-0.474601 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(1,1),(1,2),-0.501406 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,3),-0.285308 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,4),-0.622072 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,5),-0.414669 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,6),-0.237426 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,7),-0.171925 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,10),-1.08981 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,11),0.0860918 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,29),-0.407497 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(1,2),(1,3),-0.70173 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,4),-1.04896 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,5),-0.769009 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,6),-1.16742 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,7),-1.07107 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,10),-0.359868 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,11),-0.824072 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,29),-0.484422 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,3),(1,4),-0.136496 # DEPENDENCYPART_NEXTSIBL
(1,3),(1,5),-0.429509 # DEPENDENCYPART_NEXTSIBL
(1,3),(1,6),-0.0062526 # DEPENDENCYPART_NEXTSIBL
(1,3),(1,7),0.182596 # DEPENDENCYPART_NEXTSIBL
(1,3),(1,10),-1.38122 # DEPENDENCYPART_NEXTSIBL
(1,3),(1,11),-0.729312 # DEPENDENCYPART_NEXTSIBL
(1,3),(1,29),-1.06384 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,4),(1,5),-0.461323 # DEPENDENCYPART_NEXTSIBL
(1,4),(1,6),-0.696632 # DEPENDENCYPART_NEXTSIBL
(1,4),(1,7),-0.682293 # DEPENDENCYPART_NEXTSIBL
(1,4),(1,10),-0.357459 # DEPENDENCYPART_NEXTSIBL
(1,4),(1,11),-0.668244 # DEPENDENCYPART_NEXTSIBL
(1,4),(1,29),-0.405616 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,5),(1,6),-0.502608 # DEPENDENCYPART_NEXTSIBL
(1,5),(1,7),-0.458458 # DEPENDENCYPART_NEXTSIBL
(1,5),(1,10),-0.349667 # DEPENDENCYPART_NEXTSIBL
(1,5),(1,11),-0.537788 # DEPENDENCYPART_NEXTSIBL
(1,5),(1,29),-0.320057 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,6),(1,7),-1.09461 # DEPENDENCYPART_NEXTSIBL
(1,6),(1,10),-0.559007 # DEPENDENCYPART_NEXTSIBL
(1,6),(1,11),-1.05665 # DEPENDENCYPART_NEXTSIBL
(1,6),(1,29),-0.637311 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,7),(1,10),-0.0662452 # DEPENDENCYPART_NEXTSIBL
(1,7),(1,11),-0.806811 # DEPENDENCYPART_NEXTSIBL
(1,7),(1,29),-0.813663 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,10),(1,11),-0.194077 # DEPENDENCYPART_NEXTSIBL
(1,10),(1,29),-0.311756 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,11),(1,29),-0.828063 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,1),(1,-1),-0.482315 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(2,2),(2,3),-0.285295 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,4),-0.620987 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,5),-0.414669 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,6),-0.236341 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,7),-0.171925 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,9),-0.476374 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,10),-1.08979 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,11),0.0860983 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,12),-0.412255 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,13),-0.408711 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,15),-0.59381 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,23),-0.495996 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,26),-0.466959 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,28),-0.738014 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,29),-0.41022 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(2,3),(2,4),-0.136118 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,5),-0.429496 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,6),-0.00587431 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,7),0.182609 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,9),-0.0652335 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,10),-1.38119 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,11),-0.729296 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,12),-0.559057 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,13),-0.941321 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,15),-0.386943 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,23),-1.01429 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,26),-1.80367 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,28),-1.665 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,29),-1.06381 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,4),(2,5),-0.46096 # DEPENDENCYPART_NEXTSIBL
(2,4),(2,6),-0.695906 # DEPENDENCYPART_NEXTSIBL
(2,4),(2,7),-0.68193 # DEPENDENCYPART_NEXTSIBL
(2,4),(2,9),-0.928835 # DEPENDENCYPART_NEXTSIBL
(2,4),(2,10),-0.357081 # DEPENDENCYPART_NEXTSIBL
(2,4),(2,11),-0.667879 # DEPENDENCYPART_NEXTSIBL
(2,4),(2,12),-1.08199 # DEPENDENCYPART_NEXTSIBL
(2,4),(2,13),-0.692448 # DEPENDENCYPART_NEXTSIBL
(2,4),(2,15),-1.07515 # DEPENDENCYPART_NEXTSIBL
(2,4),(2,23),-0.881565 # DEPENDENCYPART_NEXTSIBL
(2,4),(2,26),-0.9796 # DEPENDENCYPART_NEXTSIBL
(2,4),(2,28),-0.495763 # DEPENDENCYPART_NEXTSIBL
(2,4),(2,29),-0.404531 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,5),(2,6),-0.502245 # DEPENDENCYPART_NEXTSIBL
(2,5),(2,7),-0.458458 # DEPENDENCYPART_NEXTSIBL
(2,5),(2,9),-0.598766 # DEPENDENCYPART_NEXTSIBL
(2,5),(2,10),-0.349654 # DEPENDENCYPART_NEXTSIBL
(2,5),(2,11),-0.537786 # DEPENDENCYPART_NEXTSIBL
(2,5),(2,12),-0.694607 # DEPENDENCYPART_NEXTSIBL
(2,5),(2,13),-0.610966 # DEPENDENCYPART_NEXTSIBL
(2,5),(2,15),-0.641025 # DEPENDENCYPART_NEXTSIBL
(2,5),(2,23),-0.65556 # DEPENDENCYPART_NEXTSIBL
(2,5),(2,26),-0.520996 # DEPENDENCYPART_NEXTSIBL
(2,5),(2,28),-0.721295 # DEPENDENCYPART_NEXTSIBL
(2,5),(2,29),-0.320057 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,6),(2,7),-1.09425 # DEPENDENCYPART_NEXTSIBL
(2,6),(2,9),-1.25621 # DEPENDENCYPART_NEXTSIBL
(2,6),(2,10),-0.55863 # DEPENDENCYPART_NEXTSIBL
(2,6),(2,11),-1.05628 # DEPENDENCYPART_NEXTSIBL
(2,6),(2,12),-1.39911 # DEPENDENCYPART_NEXTSIBL
(2,6),(2,13),-1.05437 # DEPENDENCYPART_NEXTSIBL
(2,6),(2,15),-1.40096 # DEPENDENCYPART_NEXTSIBL
(2,6),(2,23),-1.17696 # DEPENDENCYPART_NEXTSIBL
(2,6),(2,26),-1.3505 # DEPENDENCYPART_NEXTSIBL
(2,6),(2,28),-0.914294 # DEPENDENCYPART_NEXTSIBL
(2,6),(2,29),-0.636227 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,7),(2,9),-1.00138 # DEPENDENCYPART_NEXTSIBL
(2,7),(2,10),-0.0662319 # DEPENDENCYPART_NEXTSIBL
(2,7),(2,11),-0.806808 # DEPENDENCYPART_NEXTSIBL
(2,7),(2,12),-1.04166 # DEPENDENCYPART_NEXTSIBL
(2,7),(2,13),-0.792431 # DEPENDENCYPART_NEXTSIBL
(2,7),(2,15),-1.02691 # DEPENDENCYPART_NEXTSIBL
(2,7),(2,23),-0.848709 # DEPENDENCYPART_NEXTSIBL
(2,7),(2,26),-1.07518 # DEPENDENCYPART_NEXTSIBL
(2,7),(2,28),-1.22245 # DEPENDENCYPART_NEXTSIBL
(2,7),(2,29),-0.813663 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,9),(2,10),-0.316947 # DEPENDENCYPART_NEXTSIBL
(2,9),(2,11),-0.862512 # DEPENDENCYPART_NEXTSIBL
(2,9),(2,12),-1.18545 # DEPENDENCYPART_NEXTSIBL
(2,9),(2,13),-0.92253 # DEPENDENCYPART_NEXTSIBL
(2,9),(2,15),-1.18904 # DEPENDENCYPART_NEXTSIBL
(2,9),(2,23),-1.02564 # DEPENDENCYPART_NEXTSIBL
(2,9),(2,26),-1.04492 # DEPENDENCYPART_NEXTSIBL
(2,9),(2,28),-0.507116 # DEPENDENCYPART_NEXTSIBL
(2,9),(2,29),-0.767664 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,10),(2,11),-0.194062 # DEPENDENCYPART_NEXTSIBL
(2,10),(2,12),-0.667603 # DEPENDENCYPART_NEXTSIBL
(2,10),(2,13),-0.585988 # DEPENDENCYPART_NEXTSIBL
(2,10),(2,15),-0.602949 # DEPENDENCYPART_NEXTSIBL
(2,10),(2,23),-0.918339 # DEPENDENCYPART_NEXTSIBL
(2,10),(2,26),-1.47695 # DEPENDENCYPART_NEXTSIBL
(2,10),(2,28),-1.39207 # DEPENDENCYPART_NEXTSIBL
(2,10),(2,29),-0.311726 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,11),(2,12),-0.615885 # DEPENDENCYPART_NEXTSIBL
(2,11),(2,13),-0.752048 # DEPENDENCYPART_NEXTSIBL
(2,11),(2,15),-0.698756 # DEPENDENCYPART_NEXTSIBL
(2,11),(2,23),-0.194405 # DEPENDENCYPART_NEXTSIBL
(2,11),(2,26),-0.522605 # DEPENDENCYPART_NEXTSIBL
(2,11),(2,28),0.898142 # DEPENDENCYPART_NEXTSIBL
(2,11),(2,29),-0.828056 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,12),(2,13),-0.820797 # DEPENDENCYPART_NEXTSIBL
(2,12),(2,15),-1.40297 # DEPENDENCYPART_NEXTSIBL
(2,12),(2,23),-1.15926 # DEPENDENCYPART_NEXTSIBL
(2,12),(2,26),-1.1977 # DEPENDENCYPART_NEXTSIBL
(2,12),(2,28),-0.839016 # DEPENDENCYPART_NEXTSIBL
(2,12),(2,29),-0.656822 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,13),(2,15),-0.825397 # DEPENDENCYPART_NEXTSIBL
(2,13),(2,23),-0.655076 # DEPENDENCYPART_NEXTSIBL
(2,13),(2,26),-0.747761 # DEPENDENCYPART_NEXTSIBL
(2,13),(2,28),0.484399 # DEPENDENCYPART_NEXTSIBL
(2,13),(2,29),-0.8543 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,15),(2,23),-0.861518 # DEPENDENCYPART_NEXTSIBL
(2,15),(2,26),-0.782148 # DEPENDENCYPART_NEXTSIBL
(2,15),(2,28),-0.44778 # DEPENDENCYPART_NEXTSIBL
(2,15),(2,29),-0.413472 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,23),(2,26),-0.925338 # DEPENDENCYPART_NEXTSIBL
(2,23),(2,28),-1.03927 # DEPENDENCYPART_NEXTSIBL
(2,23),(2,29),-1.40721 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,26),(2,28),-1.07083 # DEPENDENCYPART_NEXTSIBL
(2,26),(2,29),-1.12124 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,28),(2,29),-1.44657 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,2),(2,1),-0.438727 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,-1),-0.482765 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(2,1),(2,-1),-0.420868 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,3),(3,29),-0.223934 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(3,3),(3,-1),-0.316398 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(4,4),(4,5),-0.414669 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,6),-0.23678 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,7),-0.171925 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,8),-0.732816 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,9),-0.476813 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,10),-1.08979 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,11),0.0860983 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,13),-0.408711 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,29),-0.40978 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(4,5),(4,6),-0.502392 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,7),-0.458458 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,8),-0.637721 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,9),-0.598913 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,10),-0.349654 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,11),-0.537786 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,13),-0.610966 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,29),-0.320057 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,6),(4,7),-1.0944 # DEPENDENCYPART_NEXTSIBL
(4,6),(4,8),-1.02385 # DEPENDENCYPART_NEXTSIBL
(4,6),(4,9),-1.2565 # DEPENDENCYPART_NEXTSIBL
(4,6),(4,10),-0.558777 # DEPENDENCYPART_NEXTSIBL
(4,6),(4,11),-1.05643 # DEPENDENCYPART_NEXTSIBL
(4,6),(4,13),-1.05451 # DEPENDENCYPART_NEXTSIBL
(4,6),(4,29),-0.636666 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,7),(4,8),-0.805883 # DEPENDENCYPART_NEXTSIBL
(4,7),(4,9),-1.00152 # DEPENDENCYPART_NEXTSIBL
(4,7),(4,10),-0.0662319 # DEPENDENCYPART_NEXTSIBL
(4,7),(4,11),-0.806808 # DEPENDENCYPART_NEXTSIBL
(4,7),(4,13),-0.792431 # DEPENDENCYPART_NEXTSIBL
(4,7),(4,29),-0.813663 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,8),(4,9),-0.656287 # DEPENDENCYPART_NEXTSIBL
(4,8),(4,10),-0.636396 # DEPENDENCYPART_NEXTSIBL
(4,8),(4,11),-0.745396 # DEPENDENCYPART_NEXTSIBL
(4,8),(4,13),-0.862301 # DEPENDENCYPART_NEXTSIBL
(4,8),(4,29),-0.888793 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,9),(4,10),-0.317093 # DEPENDENCYPART_NEXTSIBL
(4,9),(4,11),-0.862659 # DEPENDENCYPART_NEXTSIBL
(4,9),(4,13),-0.922677 # DEPENDENCYPART_NEXTSIBL
(4,9),(4,29),-0.768103 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,10),(4,11),-0.194062 # DEPENDENCYPART_NEXTSIBL
(4,10),(4,13),-0.585988 # DEPENDENCYPART_NEXTSIBL
(4,10),(4,29),-0.311726 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,11),(4,13),-0.752048 # DEPENDENCYPART_NEXTSIBL
(4,11),(4,29),-0.828056 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,13),(4,29),-0.8543 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,4),(4,3),-0.711774 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,2),-0.356845 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,1),-0.438728 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,-1),-0.482029 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(4,3),(4,2),-0.22486 # DEPENDENCYPART_NEXTSIBL
(4,3),(4,1),-0.790073 # DEPENDENCYPART_NEXTSIBL
(4,3),(4,-1),-1.41959 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,2),(4,1),-0.134266 # DEPENDENCYPART_NEXTSIBL
(4,2),(4,-1),-0.449366 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,1),(4,-1),-0.420868 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,5),(5,29),-0.357054 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(5,5),(5,-1),-0.404429 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(6,6),(6,7),-0.177626 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,8),-0.733765 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,9),-0.452604 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,10),-1.03134 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,29),-0.429181 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(6,7),(6,8),-0.809442 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,9),-0.989486 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,10),-0.0421945 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,29),-0.822783 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,8),(6,9),-0.643199 # DEPENDENCYPART_NEXTSIBL
(6,8),(6,10),-0.609865 # DEPENDENCYPART_NEXTSIBL
(6,8),(6,29),-0.890958 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,9),(6,10),-0.262603 # DEPENDENCYPART_NEXTSIBL
(6,9),(6,29),-0.738592 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,10),(6,29),-0.295852 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,6),(6,5),-1.04138 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,4),-0.514081 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,3),-0.742693 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,2),-0.396014 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,1),-0.477897 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,-1),-0.46368 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(6,5),(6,4),-0.564315 # DEPENDENCYPART_NEXTSIBL
(6,5),(6,3),-0.870927 # DEPENDENCYPART_NEXTSIBL
(6,5),(6,2),-0.901366 # DEPENDENCYPART_NEXTSIBL
(6,5),(6,1),-0.944205 # DEPENDENCYPART_NEXTSIBL
(6,5),(6,-1),-1.01231 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,4),(6,3),-0.41019 # DEPENDENCYPART_NEXTSIBL
(6,4),(6,2),-0.887978 # DEPENDENCYPART_NEXTSIBL
(6,4),(6,1),-1.06792 # DEPENDENCYPART_NEXTSIBL
(6,4),(6,-1),-0.420842 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,3),(6,2),-0.280079 # DEPENDENCYPART_NEXTSIBL
(6,3),(6,1),-0.845292 # DEPENDENCYPART_NEXTSIBL
(6,3),(6,-1),-1.4391 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,2),(6,1),-0.200286 # DEPENDENCYPART_NEXTSIBL
(6,2),(6,-1),-0.500355 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,1),(6,-1),-0.471857 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
