# _root_ Vegetables are abundant and full of flavor in Poland , the pickles and sauerkraut sublime , the state monopolies long broken .
#goldHeads=2,0,4,2,4,5,6,2,8,2,13,13,1,13,4,2,19,19,1,21,4,2,
#predictedHeads=2,0,4,2,4,5,6,2,13,13,12,13,8,13,13,13,19,19,13,21,19,2,
(3,5),(5,3),-0.809778 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,5),(5,4),0.38189 # DEPENDENCYPART_GRANDPAR
(3,5),(5,6),0.118236 # DEPENDENCYPART_GRANDPAR
(3,5),(5,7),0.102438 # DEPENDENCYPART_GRANDPAR
(3,5),(5,8),0.0783203 # DEPENDENCYPART_GRANDPAR
(3,5),(5,9),-0.0434564 # DEPENDENCYPART_GRANDPAR
(3,5),(5,10),0.324476 # DEPENDENCYPART_GRANDPAR
(3,5),(5,13),0.0102841 # DEPENDENCYPART_GRANDPAR
(3,5),(5,22),-0.329496 # DEPENDENCYPART_GRANDPAR
(3,6),(6,4),0.330625 # DEPENDENCYPART_GRANDPAR
(3,6),(6,5),-0.116311 # DEPENDENCYPART_GRANDPAR
(3,6),(6,7),0.286862 # DEPENDENCYPART_GRANDPAR
(3,6),(6,8),0.188548 # DEPENDENCYPART_GRANDPAR
(3,6),(6,9),0.135443 # DEPENDENCYPART_GRANDPAR
(3,6),(6,10),0.391665 # DEPENDENCYPART_GRANDPAR
(3,6),(6,13),0.0892983 # DEPENDENCYPART_GRANDPAR
(3,7),(7,2),-0.43939 # DEPENDENCYPART_GRANDPAR
(3,7),(7,3),-0.791046 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,7),(7,4),0.454001 # DEPENDENCYPART_GRANDPAR
(3,7),(7,5),-0.0121157 # DEPENDENCYPART_GRANDPAR
(3,7),(7,6),0.148045 # DEPENDENCYPART_GRANDPAR
(3,7),(7,8),0.0355463 # DEPENDENCYPART_GRANDPAR
(3,7),(7,9),-0.0720703 # DEPENDENCYPART_GRANDPAR
(3,7),(7,10),0.280738 # DEPENDENCYPART_GRANDPAR
(3,7),(7,11),-0.0865041 # DEPENDENCYPART_GRANDPAR
(3,7),(7,12),-0.236388 # DEPENDENCYPART_GRANDPAR
(3,7),(7,13),-0.062303 # DEPENDENCYPART_GRANDPAR
(3,7),(7,14),-0.428488 # DEPENDENCYPART_GRANDPAR
(3,7),(7,15),-0.455286 # DEPENDENCYPART_GRANDPAR
(3,7),(7,16),0.072619 # DEPENDENCYPART_GRANDPAR
(3,7),(7,19),-0.439768 # DEPENDENCYPART_GRANDPAR
(3,7),(7,20),0.314757 # DEPENDENCYPART_GRANDPAR
(3,7),(7,21),-0.483304 # DEPENDENCYPART_GRANDPAR
(3,7),(7,22),-0.302511 # DEPENDENCYPART_GRANDPAR
(3,8),(8,6),0.113877 # DEPENDENCYPART_GRANDPAR
(3,8),(8,7),0.0505999 # DEPENDENCYPART_GRANDPAR
(3,8),(8,9),-0.0118052 # DEPENDENCYPART_GRANDPAR
(3,8),(8,10),0.344691 # DEPENDENCYPART_GRANDPAR
(3,8),(8,12),-0.170547 # DEPENDENCYPART_GRANDPAR
(3,8),(8,13),0.0369936 # DEPENDENCYPART_GRANDPAR
(3,8),(8,14),-0.362647 # DEPENDENCYPART_GRANDPAR
(3,8),(8,15),-0.403348 # DEPENDENCYPART_GRANDPAR
(3,8),(8,19),-0.373551 # DEPENDENCYPART_GRANDPAR
(3,8),(8,20),0.30261 # DEPENDENCYPART_GRANDPAR
(3,9),(9,4),0.453999 # DEPENDENCYPART_GRANDPAR
(3,9),(9,5),-0.0120588 # DEPENDENCYPART_GRANDPAR
(3,9),(9,7),0.106905 # DEPENDENCYPART_GRANDPAR
(3,9),(9,8),0.0752062 # DEPENDENCYPART_GRANDPAR
(3,9),(9,10),0.277625 # DEPENDENCYPART_GRANDPAR
(3,9),(9,12),-0.236436 # DEPENDENCYPART_GRANDPAR
(3,9),(9,13),-0.0637853 # DEPENDENCYPART_GRANDPAR
(3,9),(9,14),-0.428537 # DEPENDENCYPART_GRANDPAR
(3,9),(9,16),0.0695057 # DEPENDENCYPART_GRANDPAR
(3,9),(9,18),-0.400464 # DEPENDENCYPART_GRANDPAR
(3,9),(9,22),-0.302515 # DEPENDENCYPART_GRANDPAR
(4,1),(1,2),0.143099 # DEPENDENCYPART_GRANDPAR
(4,1),(1,3),0.297021 # DEPENDENCYPART_GRANDPAR
(4,1),(1,4),-1.38178 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,1),(1,5),-0.379238 # DEPENDENCYPART_GRANDPAR
(4,1),(1,6),-0.0563906 # DEPENDENCYPART_GRANDPAR
(4,1),(1,8),-0.301054 # DEPENDENCYPART_GRANDPAR
(4,1),(1,10),-0.259519 # DEPENDENCYPART_GRANDPAR
(4,1),(1,16),-0.433031 # DEPENDENCYPART_GRANDPAR
(4,2),(2,1),0.115613 # DEPENDENCYPART_GRANDPAR
(4,2),(2,3),0.145706 # DEPENDENCYPART_GRANDPAR
(4,2),(2,4),-1.53808 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,2),(2,5),-0.443539 # DEPENDENCYPART_GRANDPAR
(4,2),(2,6),-0.360074 # DEPENDENCYPART_GRANDPAR
(4,2),(2,7),-0.456806 # DEPENDENCYPART_GRANDPAR
(4,2),(2,8),-0.519748 # DEPENDENCYPART_GRANDPAR
(4,2),(2,10),-0.293016 # DEPENDENCYPART_GRANDPAR
(4,2),(2,13),-1.09114 # DEPENDENCYPART_GRANDPAR
(4,2),(2,16),-0.466527 # DEPENDENCYPART_GRANDPAR
(4,2),(2,19),-0.904388 # DEPENDENCYPART_GRANDPAR
(4,2),(2,22),-1.40837 # DEPENDENCYPART_GRANDPAR
(4,3),(3,1),0.0671627 # DEPENDENCYPART_GRANDPAR
(4,3),(3,4),-1.31465 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,3),(3,5),-0.337391 # DEPENDENCYPART_GRANDPAR
(4,3),(3,6),-0.119541 # DEPENDENCYPART_GRANDPAR
(4,3),(3,7),-0.342128 # DEPENDENCYPART_GRANDPAR
(4,3),(3,8),-0.304707 # DEPENDENCYPART_GRANDPAR
(4,3),(3,9),-0.408937 # DEPENDENCYPART_GRANDPAR
(4,5),(5,1),-0.376877 # DEPENDENCYPART_GRANDPAR
(4,5),(5,3),-0.198265 # DEPENDENCYPART_GRANDPAR
(4,5),(5,4),-0.830243 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,5),(5,6),0.195226 # DEPENDENCYPART_GRANDPAR
(4,5),(5,7),0.101791 # DEPENDENCYPART_GRANDPAR
(4,5),(5,8),0.0329277 # DEPENDENCYPART_GRANDPAR
(4,5),(5,9),0.0312861 # DEPENDENCYPART_GRANDPAR
(4,5),(5,10),0.36458 # DEPENDENCYPART_GRANDPAR
(4,5),(5,13),-0.392736 # DEPENDENCYPART_GRANDPAR
(4,5),(5,22),-0.915232 # DEPENDENCYPART_GRANDPAR
(4,6),(6,4),-0.956243 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,6),(6,5),-0.132486 # DEPENDENCYPART_GRANDPAR
(4,6),(6,7),0.315562 # DEPENDENCYPART_GRANDPAR
(4,6),(6,8),0.0786283 # DEPENDENCYPART_GRANDPAR
(4,6),(6,9),0.235833 # DEPENDENCYPART_GRANDPAR
(4,6),(6,10),0.465059 # DEPENDENCYPART_GRANDPAR
(4,6),(6,13),-0.169125 # DEPENDENCYPART_GRANDPAR
(4,7),(7,2),-0.515838 # DEPENDENCYPART_GRANDPAR
(4,7),(7,3),-0.240111 # DEPENDENCYPART_GRANDPAR
(4,7),(7,4),-0.663677 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,7),(7,5),0.160289 # DEPENDENCYPART_GRANDPAR
(4,7),(7,6),0.28867 # DEPENDENCYPART_GRANDPAR
(4,7),(7,8),-0.034136 # DEPENDENCYPART_GRANDPAR
(4,7),(7,9),0.14683 # DEPENDENCYPART_GRANDPAR
(4,7),(7,10),0.503174 # DEPENDENCYPART_GRANDPAR
(4,7),(7,11),-0.211732 # DEPENDENCYPART_GRANDPAR
(4,7),(7,12),-0.144835 # DEPENDENCYPART_GRANDPAR
(4,7),(7,13),-0.368117 # DEPENDENCYPART_GRANDPAR
(4,7),(7,14),-0.179183 # DEPENDENCYPART_GRANDPAR
(4,7),(7,15),-0.567308 # DEPENDENCYPART_GRANDPAR
(4,7),(7,16),0.329663 # DEPENDENCYPART_GRANDPAR
(4,7),(7,19),-0.23032 # DEPENDENCYPART_GRANDPAR
(4,7),(7,20),0.32028 # DEPENDENCYPART_GRANDPAR
(4,7),(7,21),-0.51601 # DEPENDENCYPART_GRANDPAR
(4,7),(7,22),-0.793887 # DEPENDENCYPART_GRANDPAR
(4,8),(8,6),0.171542 # DEPENDENCYPART_GRANDPAR
(4,8),(8,7),-0.0541909 # DEPENDENCYPART_GRANDPAR
(4,8),(8,9),0.124807 # DEPENDENCYPART_GRANDPAR
(4,8),(8,10),0.448144 # DEPENDENCYPART_GRANDPAR
(4,8),(8,12),-0.157587 # DEPENDENCYPART_GRANDPAR
(4,8),(8,13),-0.223258 # DEPENDENCYPART_GRANDPAR
(4,8),(8,14),-0.191936 # DEPENDENCYPART_GRANDPAR
(4,8),(8,15),-0.580187 # DEPENDENCYPART_GRANDPAR
(4,8),(8,19),-0.242667 # DEPENDENCYPART_GRANDPAR
(4,8),(8,20),0.219859 # DEPENDENCYPART_GRANDPAR
(4,9),(9,4),-0.663711 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,9),(9,5),0.160313 # DEPENDENCYPART_GRANDPAR
(4,9),(9,7),0.21751 # DEPENDENCYPART_GRANDPAR
(4,9),(9,8),0.0908419 # DEPENDENCYPART_GRANDPAR
(4,9),(9,10),0.502191 # DEPENDENCYPART_GRANDPAR
(4,9),(9,12),-0.142753 # DEPENDENCYPART_GRANDPAR
(4,9),(9,13),-0.36747 # DEPENDENCYPART_GRANDPAR
(4,9),(9,14),-0.177102 # DEPENDENCYPART_GRANDPAR
(4,9),(9,16),0.328679 # DEPENDENCYPART_GRANDPAR
(4,9),(9,18),-0.375084 # DEPENDENCYPART_GRANDPAR
(4,9),(9,22),-0.791761 # DEPENDENCYPART_GRANDPAR
(4,12),(12,9),0.157809 # DEPENDENCYPART_GRANDPAR
(4,12),(12,11),-0.141176 # DEPENDENCYPART_GRANDPAR
(4,12),(12,14),-0.17668 # DEPENDENCYPART_GRANDPAR
(4,12),(12,15),-0.563831 # DEPENDENCYPART_GRANDPAR
(4,12),(12,19),-0.227816 # DEPENDENCYPART_GRANDPAR
(4,12),(12,20),0.322409 # DEPENDENCYPART_GRANDPAR
(4,12),(12,21),-0.512533 # DEPENDENCYPART_GRANDPAR
(4,13),(13,1),-0.470691 # DEPENDENCYPART_GRANDPAR
(4,13),(13,2),-0.521204 # DEPENDENCYPART_GRANDPAR
(4,13),(13,3),-0.234548 # DEPENDENCYPART_GRANDPAR
(4,13),(13,4),-0.821201 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,13),(13,5),0.0299305 # DEPENDENCYPART_GRANDPAR
(4,13),(13,6),0.119538 # DEPENDENCYPART_GRANDPAR
(4,13),(13,7),0.174481 # DEPENDENCYPART_GRANDPAR
(4,13),(13,8),0.0939408 # DEPENDENCYPART_GRANDPAR
(4,13),(13,9),0.126772 # DEPENDENCYPART_GRANDPAR
(4,13),(13,10),0.469922 # DEPENDENCYPART_GRANDPAR
(4,13),(13,11),-0.309395 # DEPENDENCYPART_GRANDPAR
(4,13),(13,12),-0.187689 # DEPENDENCYPART_GRANDPAR
(4,13),(13,14),-0.213724 # DEPENDENCYPART_GRANDPAR
(4,13),(13,15),-0.540267 # DEPENDENCYPART_GRANDPAR
(4,13),(13,16),0.117025 # DEPENDENCYPART_GRANDPAR
(4,13),(13,17),-0.446175 # DEPENDENCYPART_GRANDPAR
(4,13),(13,18),-0.421496 # DEPENDENCYPART_GRANDPAR
(4,13),(13,19),-0.26553 # DEPENDENCYPART_GRANDPAR
(4,13),(13,20),0.228168 # DEPENDENCYPART_GRANDPAR
(4,13),(13,21),-0.495491 # DEPENDENCYPART_GRANDPAR
(4,13),(13,22),-0.883154 # DEPENDENCYPART_GRANDPAR
(4,14),(14,11),-0.141176 # DEPENDENCYPART_GRANDPAR
(4,14),(14,12),-0.144615 # DEPENDENCYPART_GRANDPAR
(4,14),(14,15),-0.563831 # DEPENDENCYPART_GRANDPAR
(4,14),(14,16),0.331911 # DEPENDENCYPART_GRANDPAR
(4,14),(14,18),-0.374662 # DEPENDENCYPART_GRANDPAR
(4,14),(14,19),-0.227816 # DEPENDENCYPART_GRANDPAR
(4,14),(14,20),0.322409 # DEPENDENCYPART_GRANDPAR
(4,14),(14,21),-0.512533 # DEPENDENCYPART_GRANDPAR
(4,19),(19,6),0.287057 # DEPENDENCYPART_GRANDPAR
(4,19),(19,11),-0.144578 # DEPENDENCYPART_GRANDPAR
(4,19),(19,12),-0.146417 # DEPENDENCYPART_GRANDPAR
(4,19),(19,13),-0.218346 # DEPENDENCYPART_GRANDPAR
(4,19),(19,14),-0.180766 # DEPENDENCYPART_GRANDPAR
(4,19),(19,15),-0.586063 # DEPENDENCYPART_GRANDPAR
(4,19),(19,16),0.329759 # DEPENDENCYPART_GRANDPAR
(4,19),(19,17),-0.33049 # DEPENDENCYPART_GRANDPAR
(4,19),(19,18),-0.468619 # DEPENDENCYPART_GRANDPAR
(4,19),(19,20),0.321059 # DEPENDENCYPART_GRANDPAR
(4,19),(19,21),-0.513884 # DEPENDENCYPART_GRANDPAR
(4,19),(19,22),-0.793109 # DEPENDENCYPART_GRANDPAR
(4,22),(22,21),-0.744594 # DEPENDENCYPART_GRANDPAR
(5,1),(1,2),-0.524189 # DEPENDENCYPART_GRANDPAR
(5,1),(1,3),-0.282361 # DEPENDENCYPART_GRANDPAR
(5,1),(1,4),-0.231883 # DEPENDENCYPART_GRANDPAR
(5,1),(1,5),-1.34386 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,1),(1,6),-0.207234 # DEPENDENCYPART_GRANDPAR
(5,1),(1,8),-0.345175 # DEPENDENCYPART_GRANDPAR
(5,1),(1,10),-0.313396 # DEPENDENCYPART_GRANDPAR
(5,1),(1,16),-0.383379 # DEPENDENCYPART_GRANDPAR
(5,3),(3,1),-0.40674 # DEPENDENCYPART_GRANDPAR
(5,3),(3,4),-0.303994 # DEPENDENCYPART_GRANDPAR
(5,3),(3,5),-1.31784 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,3),(3,6),-0.208472 # DEPENDENCYPART_GRANDPAR
(5,3),(3,7),-0.337145 # DEPENDENCYPART_GRANDPAR
(5,3),(3,8),-0.332196 # DEPENDENCYPART_GRANDPAR
(5,3),(3,9),-0.509465 # DEPENDENCYPART_GRANDPAR
(5,4),(4,1),-0.387828 # DEPENDENCYPART_GRANDPAR
(5,4),(4,2),-0.556008 # DEPENDENCYPART_GRANDPAR
(5,4),(4,3),-0.280089 # DEPENDENCYPART_GRANDPAR
(5,4),(4,5),-1.33749 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,4),(4,6),-0.310505 # DEPENDENCYPART_GRANDPAR
(5,4),(4,7),-0.405688 # DEPENDENCYPART_GRANDPAR
(5,4),(4,8),-0.435342 # DEPENDENCYPART_GRANDPAR
(5,4),(4,9),-0.578024 # DEPENDENCYPART_GRANDPAR
(5,4),(4,10),-0.270972 # DEPENDENCYPART_GRANDPAR
(5,4),(4,12),-0.825127 # DEPENDENCYPART_GRANDPAR
(5,4),(4,13),-0.358934 # DEPENDENCYPART_GRANDPAR
(5,4),(4,14),-0.863959 # DEPENDENCYPART_GRANDPAR
(5,4),(4,16),-0.340956 # DEPENDENCYPART_GRANDPAR
(5,4),(4,19),-0.886161 # DEPENDENCYPART_GRANDPAR
(5,4),(4,22),-0.741809 # DEPENDENCYPART_GRANDPAR
(5,6),(6,4),-0.732732 # DEPENDENCYPART_GRANDPAR
(5,6),(6,5),-1.02476 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,6),(6,7),0.248736 # DEPENDENCYPART_GRANDPAR
(5,6),(6,8),0.0829233 # DEPENDENCYPART_GRANDPAR
(5,6),(6,9),0.0708943 # DEPENDENCYPART_GRANDPAR
(5,6),(6,10),0.219893 # DEPENDENCYPART_GRANDPAR
(5,6),(6,13),0.119031 # DEPENDENCYPART_GRANDPAR
(5,7),(7,2),-0.980726 # DEPENDENCYPART_GRANDPAR
(5,7),(7,3),-0.707672 # DEPENDENCYPART_GRANDPAR
(5,7),(7,4),-0.75231 # DEPENDENCYPART_GRANDPAR
(5,7),(7,5),-0.920565 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,7),(7,6),0.143716 # DEPENDENCYPART_GRANDPAR
(5,7),(7,8),-0.0676756 # DEPENDENCYPART_GRANDPAR
(5,7),(7,9),-0.134217 # DEPENDENCYPART_GRANDPAR
(5,7),(7,10),0.113262 # DEPENDENCYPART_GRANDPAR
(5,7),(7,11),-0.189653 # DEPENDENCYPART_GRANDPAR
(5,7),(7,12),-0.381335 # DEPENDENCYPART_GRANDPAR
(5,7),(7,13),-0.0400204 # DEPENDENCYPART_GRANDPAR
(5,7),(7,14),-0.420167 # DEPENDENCYPART_GRANDPAR
(5,7),(7,15),-0.378727 # DEPENDENCYPART_GRANDPAR
(5,7),(7,16),0.043278 # DEPENDENCYPART_GRANDPAR
(5,7),(7,19),-0.442384 # DEPENDENCYPART_GRANDPAR
(5,7),(7,20),0.259481 # DEPENDENCYPART_GRANDPAR
(5,7),(7,21),-0.478013 # DEPENDENCYPART_GRANDPAR
(5,7),(7,22),-0.338195 # DEPENDENCYPART_GRANDPAR
(5,8),(8,6),0.10955 # DEPENDENCYPART_GRANDPAR
(5,8),(8,7),0.0140509 # DEPENDENCYPART_GRANDPAR
(5,8),(8,9),-0.0750936 # DEPENDENCYPART_GRANDPAR
(5,8),(8,10),0.174811 # DEPENDENCYPART_GRANDPAR
(5,8),(8,12),-0.316636 # DEPENDENCYPART_GRANDPAR
(5,8),(8,13),0.0647025 # DEPENDENCYPART_GRANDPAR
(5,8),(8,14),-0.355468 # DEPENDENCYPART_GRANDPAR
(5,8),(8,15),-0.327932 # DEPENDENCYPART_GRANDPAR
(5,8),(8,19),-0.377308 # DEPENDENCYPART_GRANDPAR
(5,8),(8,20),0.246309 # DEPENDENCYPART_GRANDPAR
(5,9),(9,4),-0.75231 # DEPENDENCYPART_GRANDPAR
(5,9),(9,5),-0.920508 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,9),(9,7),0.0703549 # DEPENDENCYPART_GRANDPAR
(5,9),(9,8),-0.0288558 # DEPENDENCYPART_GRANDPAR
(5,9),(9,10),0.110149 # DEPENDENCYPART_GRANDPAR
(5,9),(9,12),-0.381383 # DEPENDENCYPART_GRANDPAR
(5,9),(9,13),-0.0415027 # DEPENDENCYPART_GRANDPAR
(5,9),(9,14),-0.420215 # DEPENDENCYPART_GRANDPAR
(5,9),(9,16),0.0401647 # DEPENDENCYPART_GRANDPAR
(5,9),(9,18),-0.447937 # DEPENDENCYPART_GRANDPAR
(5,9),(9,22),-0.3382 # DEPENDENCYPART_GRANDPAR
(5,13),(13,1),-0.879383 # DEPENDENCYPART_GRANDPAR
(5,13),(13,2),-1.00111 # DEPENDENCYPART_GRANDPAR
(5,13),(13,3),-0.701298 # DEPENDENCYPART_GRANDPAR
(5,13),(13,4),-0.724873 # DEPENDENCYPART_GRANDPAR
(5,13),(13,5),-0.938596 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,13),(13,6),0.132316 # DEPENDENCYPART_GRANDPAR
(5,13),(13,7),0.142535 # DEPENDENCYPART_GRANDPAR
(5,13),(13,8),0.0864999 # DEPENDENCYPART_GRANDPAR
(5,13),(13,9),-0.0177566 # DEPENDENCYPART_GRANDPAR
(5,13),(13,10),0.353594 # DEPENDENCYPART_GRANDPAR
(5,13),(13,11),-0.255441 # DEPENDENCYPART_GRANDPAR
(5,13),(13,12),-0.276904 # DEPENDENCYPART_GRANDPAR
(5,13),(13,14),-0.372404 # DEPENDENCYPART_GRANDPAR
(5,13),(13,15),-0.304169 # DEPENDENCYPART_GRANDPAR
(5,13),(13,16),0.0282897 # DEPENDENCYPART_GRANDPAR
(5,13),(13,17),-0.217105 # DEPENDENCYPART_GRANDPAR
(5,13),(13,18),-0.403236 # DEPENDENCYPART_GRANDPAR
(5,13),(13,19),-0.395319 # DEPENDENCYPART_GRANDPAR
(5,13),(13,20),0.265349 # DEPENDENCYPART_GRANDPAR
(5,13),(13,21),-0.405722 # DEPENDENCYPART_GRANDPAR
(5,13),(13,22),-0.352632 # DEPENDENCYPART_GRANDPAR
(5,22),(22,21),-0.442706 # DEPENDENCYPART_GRANDPAR
(6,4),(4,1),-0.426042 # DEPENDENCYPART_GRANDPAR
(6,4),(4,2),-0.298372 # DEPENDENCYPART_GRANDPAR
(6,4),(4,3),-0.231599 # DEPENDENCYPART_GRANDPAR
(6,4),(4,5),-0.26154 # DEPENDENCYPART_GRANDPAR
(6,4),(4,6),-1.11816 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,4),(4,7),0.102629 # DEPENDENCYPART_GRANDPAR
(6,4),(4,8),-0.386237 # DEPENDENCYPART_GRANDPAR
(6,4),(4,9),-0.109637 # DEPENDENCYPART_GRANDPAR
(6,4),(4,10),-0.0800529 # DEPENDENCYPART_GRANDPAR
(6,4),(4,12),-0.742625 # DEPENDENCYPART_GRANDPAR
(6,4),(4,13),-0.0197482 # DEPENDENCYPART_GRANDPAR
(6,4),(4,14),-0.73446 # DEPENDENCYPART_GRANDPAR
(6,4),(4,16),-0.374244 # DEPENDENCYPART_GRANDPAR
(6,4),(4,19),-0.665358 # DEPENDENCYPART_GRANDPAR
(6,4),(4,22),-0.756563 # DEPENDENCYPART_GRANDPAR
(6,5),(5,1),-0.586814 # DEPENDENCYPART_GRANDPAR
(6,5),(5,3),-0.346983 # DEPENDENCYPART_GRANDPAR
(6,5),(5,4),-0.378666 # DEPENDENCYPART_GRANDPAR
(6,5),(5,6),-0.984942 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,5),(5,7),0.208462 # DEPENDENCYPART_GRANDPAR
(6,5),(5,8),-0.249731 # DEPENDENCYPART_GRANDPAR
(6,5),(5,9),-0.00378876 # DEPENDENCYPART_GRANDPAR
(6,5),(5,10),-0.0214111 # DEPENDENCYPART_GRANDPAR
(6,5),(5,13),0.0296202 # DEPENDENCYPART_GRANDPAR
(6,5),(5,22),-0.719211 # DEPENDENCYPART_GRANDPAR
(6,7),(7,2),-0.899379 # DEPENDENCYPART_GRANDPAR
(6,7),(7,3),-0.895797 # DEPENDENCYPART_GRANDPAR
(6,7),(7,4),-0.891529 # DEPENDENCYPART_GRANDPAR
(6,7),(7,5),-0.69423 # DEPENDENCYPART_GRANDPAR
(6,7),(7,6),-0.666991 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,7),(7,8),0.206851 # DEPENDENCYPART_GRANDPAR
(6,7),(7,9),0.392697 # DEPENDENCYPART_GRANDPAR
(6,7),(7,10),0.537846 # DEPENDENCYPART_GRANDPAR
(6,7),(7,11),-0.548848 # DEPENDENCYPART_GRANDPAR
(6,7),(7,12),-0.239255 # DEPENDENCYPART_GRANDPAR
(6,7),(7,13),0.345125 # DEPENDENCYPART_GRANDPAR
(6,7),(7,14),-0.23109 # DEPENDENCYPART_GRANDPAR
(6,7),(7,15),-0.208281 # DEPENDENCYPART_GRANDPAR
(6,7),(7,16),0.243655 # DEPENDENCYPART_GRANDPAR
(6,7),(7,19),-0.162588 # DEPENDENCYPART_GRANDPAR
(6,7),(7,20),-0.271122 # DEPENDENCYPART_GRANDPAR
(6,7),(7,21),-0.378827 # DEPENDENCYPART_GRANDPAR
(6,7),(7,22),-0.330288 # DEPENDENCYPART_GRANDPAR
(6,8),(8,6),-0.700055 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,8),(8,7),0.691738 # DEPENDENCYPART_GRANDPAR
(6,8),(8,9),0.459243 # DEPENDENCYPART_GRANDPAR
(6,8),(8,10),0.44165 # DEPENDENCYPART_GRANDPAR
(6,8),(8,12),-0.166084 # DEPENDENCYPART_GRANDPAR
(6,8),(8,13),0.403025 # DEPENDENCYPART_GRANDPAR
(6,8),(8,14),-0.157919 # DEPENDENCYPART_GRANDPAR
(6,8),(8,15),-0.200074 # DEPENDENCYPART_GRANDPAR
(6,8),(8,19),-0.0890405 # DEPENDENCYPART_GRANDPAR
(6,8),(8,20),-0.38146 # DEPENDENCYPART_GRANDPAR
(6,9),(9,4),-0.891529 # DEPENDENCYPART_GRANDPAR
(6,9),(9,5),-0.69423 # DEPENDENCYPART_GRANDPAR
(6,9),(9,7),0.759646 # DEPENDENCYPART_GRANDPAR
(6,9),(9,8),0.0656236 # DEPENDENCYPART_GRANDPAR
(6,9),(9,10),0.528719 # DEPENDENCYPART_GRANDPAR
(6,9),(9,12),-0.24251 # DEPENDENCYPART_GRANDPAR
(6,9),(9,13),0.339376 # DEPENDENCYPART_GRANDPAR
(6,9),(9,14),-0.234345 # DEPENDENCYPART_GRANDPAR
(6,9),(9,16),0.234528 # DEPENDENCYPART_GRANDPAR
(6,9),(9,18),-0.530297 # DEPENDENCYPART_GRANDPAR
(6,9),(9,22),-0.333078 # DEPENDENCYPART_GRANDPAR
(6,13),(13,1),-1.22456 # DEPENDENCYPART_GRANDPAR
(6,13),(13,2),-0.912653 # DEPENDENCYPART_GRANDPAR
(6,13),(13,3),-0.883635 # DEPENDENCYPART_GRANDPAR
(6,13),(13,4),-0.848623 # DEPENDENCYPART_GRANDPAR
(6,13),(13,5),-0.682068 # DEPENDENCYPART_GRANDPAR
(6,13),(13,6),-0.756937 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,13),(13,7),0.798599 # DEPENDENCYPART_GRANDPAR
(6,13),(13,8),0.0967664 # DEPENDENCYPART_GRANDPAR
(6,13),(13,9),0.603662 # DEPENDENCYPART_GRANDPAR
(6,13),(13,10),0.558357 # DEPENDENCYPART_GRANDPAR
(6,13),(13,11),-0.77336 # DEPENDENCYPART_GRANDPAR
(6,13),(13,12),-0.0466548 # DEPENDENCYPART_GRANDPAR
(6,13),(13,14),0.064054 # DEPENDENCYPART_GRANDPAR
(6,13),(13,15),-0.052537 # DEPENDENCYPART_GRANDPAR
(6,13),(13,16),0.191548 # DEPENDENCYPART_GRANDPAR
(6,13),(13,17),-0.60491 # DEPENDENCYPART_GRANDPAR
(6,13),(13,18),-0.237715 # DEPENDENCYPART_GRANDPAR
(6,13),(13,19),0.130916 # DEPENDENCYPART_GRANDPAR
(6,13),(13,20),-0.255484 # DEPENDENCYPART_GRANDPAR
(6,13),(13,21),-0.22535 # DEPENDENCYPART_GRANDPAR
(6,13),(13,22),-0.260668 # DEPENDENCYPART_GRANDPAR
(7,2),(2,1),-0.702454 # DEPENDENCYPART_GRANDPAR
(7,2),(2,3),0.148104 # DEPENDENCYPART_GRANDPAR
(7,2),(2,4),-0.342181 # DEPENDENCYPART_GRANDPAR
(7,2),(2,5),0.0335734 # DEPENDENCYPART_GRANDPAR
(7,2),(2,6),-0.236687 # DEPENDENCYPART_GRANDPAR
(7,2),(2,7),-1.32074 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,2),(2,8),-0.310839 # DEPENDENCYPART_GRANDPAR
(7,2),(2,10),-0.360808 # DEPENDENCYPART_GRANDPAR
