# _root_ There is such a maze of federal , state and local codes that `` building inspectors are backing away from interpreting them , '' Mr. Dooling says .
#goldHeads=2,27,5,5,2,5,10,10,10,12,10,6,17,17,16,17,5,17,18,19,20,21,27,27,26,27,0,27,
#predictedHeads=2,27,5,5,2,5,10,10,10,12,10,6,17,17,16,17,12,17,18,18,20,21,27,27,26,27,0,27,
(5,18),(18,24),(18,29),-0.0227168 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,18),(18,26),(18,27),-0.0547032 # DEPENDENCYPART_GRANDSIBL
(5,18),(18,26),(18,28),-0.0550567 # DEPENDENCYPART_GRANDSIBL
(5,18),(18,26),(18,29),-0.0466866 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,18),(18,27),(18,28),-0.0419652 # DEPENDENCYPART_GRANDSIBL
(5,18),(18,27),(18,29),-0.0870673 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,18),(18,28),(18,29),-0.0871039 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,18),(18,18),(18,16),0.162742 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,18),(18,18),(18,15),0.165314 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,18),(18,18),(18,13),0.19016 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,18),(18,18),(18,12),0.165319 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,18),(18,18),(18,9),0.164536 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,18),(18,18),(18,-1),0.0466253 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,18),(18,16),(18,15),0.0946108 # DEPENDENCYPART_GRANDSIBL
(5,18),(18,16),(18,13),0.129952 # DEPENDENCYPART_GRANDSIBL
(5,18),(18,16),(18,12),0.0946108 # DEPENDENCYPART_GRANDSIBL
(5,18),(18,16),(18,9),0.0946108 # DEPENDENCYPART_GRANDSIBL
(5,18),(18,16),(18,-1),-0.0325857 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,18),(18,15),(18,13),0.129952 # DEPENDENCYPART_GRANDSIBL
(5,18),(18,15),(18,12),0.0946112 # DEPENDENCYPART_GRANDSIBL
(5,18),(18,15),(18,9),0.0946112 # DEPENDENCYPART_GRANDSIBL
(5,18),(18,15),(18,-1),-0.0300147 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,18),(18,13),(18,12),0.106505 # DEPENDENCYPART_GRANDSIBL
(5,18),(18,13),(18,9),0.106504 # DEPENDENCYPART_GRANDSIBL
(5,18),(18,13),(18,-1),-0.151734 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,18),(18,12),(18,9),0.0946112 # DEPENDENCYPART_GRANDSIBL
(5,18),(18,12),(18,-1),-0.0300097 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,18),(18,9),(18,-1),-0.0307197 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,19),(19,19),(19,20),-0.0541702 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,19),(19,19),(19,21),-0.0527387 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,19),(19,19),(19,27),-0.0527513 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,19),(19,19),(19,29),-0.0319047 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,19),(19,20),(19,21),-0.0367692 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,20),(19,27),-0.0367692 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,20),(19,29),-0.0142083 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,19),(19,21),(19,27),-0.0421479 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,21),(19,29),-0.0274548 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,19),(19,27),(19,29),-0.0276118 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,19),(19,19),(19,18),0.151161 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,19),(19,19),(19,16),0.10567 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,19),(19,19),(19,15),0.105632 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,19),(19,19),(19,13),0.109787 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,19),(19,19),(19,12),0.10567 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,19),(19,19),(19,10),0.159509 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,19),(19,19),(19,9),0.105668 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,19),(19,19),(19,5),0.10567 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,19),(19,19),(19,-1),-0.205372 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,19),(19,18),(19,16),0.121951 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,18),(19,15),0.121951 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,18),(19,13),0.118904 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,18),(19,12),0.121951 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,18),(19,10),0.118995 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,18),(19,9),0.121951 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,18),(19,5),0.121951 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,19),(19,18),(19,-1),-0.0887836 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,19),(19,16),(19,15),0.118858 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,16),(19,13),0.126074 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,16),(19,12),0.118858 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,16),(19,10),0.11762 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,16),(19,9),0.118858 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,16),(19,5),0.118858 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,19),(19,16),(19,-1),-0.13662 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,19),(19,15),(19,13),0.126074 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,15),(19,12),0.118858 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,15),(19,10),0.11762 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,15),(19,9),0.118858 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,15),(19,5),0.118858 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,19),(19,15),(19,-1),-0.136658 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,19),(19,13),(19,12),0.122671 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,13),(19,10),0.119164 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,13),(19,9),0.122671 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,13),(19,5),0.122671 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,19),(19,13),(19,-1),-0.108529 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,19),(19,12),(19,10),0.11762 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,12),(19,9),0.118858 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,12),(19,5),0.118858 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,19),(19,12),(19,-1),-0.13662 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,19),(19,10),(19,9),0.0395401 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,10),(19,5),0.084119 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,19),(19,10),(19,-1),-0.0898653 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,19),(19,9),(19,5),0.118858 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,19),(19,9),(19,-1),-0.136621 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,19),(19,5),(19,-1),-0.13662 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,20),(20,20),(20,21),-0.0570092 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,20),(20,20),(20,23),-0.081437 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,20),(20,20),(20,24),-0.0559373 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,20),(20,20),(20,25),0.0909234 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,20),(20,20),(20,26),0.0962883 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,20),(20,20),(20,27),-0.0560802 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,20),(20,20),(20,28),-0.0541666 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,20),(20,20),(20,29),-0.373592 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,20),(20,21),(20,23),-0.0454262 # DEPENDENCYPART_GRANDSIBL
(5,20),(20,21),(20,24),-0.0362632 # DEPENDENCYPART_GRANDSIBL
(5,20),(20,21),(20,25),-0.045213 # DEPENDENCYPART_GRANDSIBL
(5,20),(20,21),(20,26),-0.045213 # DEPENDENCYPART_GRANDSIBL
(5,20),(20,21),(20,27),-0.0420167 # DEPENDENCYPART_GRANDSIBL
(5,20),(20,21),(20,28),-0.0422868 # DEPENDENCYPART_GRANDSIBL
(5,20),(20,21),(20,29),-0.0449276 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,20),(20,23),(20,24),-0.0495045 # DEPENDENCYPART_GRANDSIBL
(5,20),(20,23),(20,25),-0.0597715 # DEPENDENCYPART_GRANDSIBL
(5,20),(20,23),(20,26),-0.0597715 # DEPENDENCYPART_GRANDSIBL
(5,20),(20,23),(20,27),-0.0371345 # DEPENDENCYPART_GRANDSIBL
(5,20),(20,23),(20,28),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(5,20),(20,23),(20,29),-0.0329181 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,20),(20,24),(20,25),-0.049205 # DEPENDENCYPART_GRANDSIBL
(5,20),(20,24),(20,26),-0.049205 # DEPENDENCYPART_GRANDSIBL
(5,20),(20,24),(20,27),-0.0420092 # DEPENDENCYPART_GRANDSIBL
(5,20),(20,24),(20,28),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(5,20),(20,24),(20,29),0.0143635 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,20),(20,25),(20,26),-0.0782558 # DEPENDENCYPART_GRANDSIBL
(5,20),(20,25),(20,27),-0.0515407 # DEPENDENCYPART_GRANDSIBL
(5,20),(20,25),(20,28),-0.0425555 # DEPENDENCYPART_GRANDSIBL
(5,20),(20,25),(20,29),0.0370211 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,20),(20,26),(20,27),-0.0515407 # DEPENDENCYPART_GRANDSIBL
(5,20),(20,26),(20,28),-0.0425555 # DEPENDENCYPART_GRANDSIBL
(5,20),(20,26),(20,29),0.0423862 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,20),(20,27),(20,28),-0.0422868 # DEPENDENCYPART_GRANDSIBL
(5,20),(20,27),(20,29),-0.0440799 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,20),(20,28),(20,29),-0.0553485 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,20),(20,20),(20,19),0.130482 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,20),(20,20),(20,-1),-0.0538535 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,20),(20,19),(20,-1),-0.163095 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,23),(23,23),(23,29),-0.00625752 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,23),(23,23),(23,20),0.11542 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,23),(23,23),(23,-1),-0.091128 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,23),(23,20),(23,-1),-0.128869 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,24),(24,24),(24,29),-0.041507 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,24),(24,24),(24,-1),-0.122933 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,28),(28,28),(28,29),-0.00516393 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,28),(28,28),(28,-1),-0.0509464 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,4),(4,4),(4,6),-0.124913 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,4),(4,4),(4,7),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,4),(4,4),(4,29),-0.0951223 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,4),(4,6),(4,7),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,4),(4,6),(4,29),-0.128861 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,4),(4,7),(4,29),-0.124941 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,4),(4,4),(4,3),-0.0419988 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,4),(4,4),(4,-1),-0.0140272 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,4),(4,3),(4,-1),-0.0419988 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,5),(5,5),(5,6),-0.13919 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,5),(5,5),(5,7),-0.126111 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,5),(5,5),(5,8),-0.1257 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,5),(5,5),(5,9),-0.133895 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,5),(5,5),(5,10),-0.134935 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,5),(5,5),(5,11),-0.126111 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,5),(5,5),(5,12),-0.133894 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,5),(5,5),(5,13),-0.136651 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,5),(5,5),(5,14),-0.1249 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,5),(5,5),(5,16),-0.133894 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,5),(5,5),(5,17),-0.134706 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,5),(5,5),(5,18),-0.134705 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,5),(5,5),(5,19),-0.125152 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,5),(5,5),(5,20),-0.137021 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,5),(5,5),(5,23),-0.1257 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,5),(5,5),(5,24),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,5),(5,5),(5,28),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,5),(5,5),(5,29),-0.0901727 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,5),(5,6),(5,7),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,5),(5,6),(5,8),-0.124893 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,5),(5,6),(5,9),-0.124995 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,5),(5,6),(5,10),-0.124909 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,5),(5,6),(5,11),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,5),(5,6),(5,12),-0.124995 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,5),(5,6),(5,13),-0.124887 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,5),(5,6),(5,14),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,5),(5,6),(5,16),-0.124995 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,5),(5,6),(5,17),-0.124906 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,5),(5,6),(5,18),-0.124906 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,5),(5,6),(5,19),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,5),(5,6),(5,20),-0.124887 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,5),(5,6),(5,23),-0.124893 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,5),(5,6),(5,24),-0.124887 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,5),(5,6),(5,28),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,5),(5,6),(5,29),-0.102084 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,5),(5,7),(5,8),-0.124902 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,7),(5,9),-0.12686 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,7),(5,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,7),(5,11),-0.127267 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,7),(5,12),-0.12686 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,7),(5,13),-0.125214 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,7),(5,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,7),(5,16),-0.12686 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,7),(5,17),-0.124989 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,7),(5,18),-0.124988 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,7),(5,19),-0.126448 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,7),(5,20),-0.125214 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,7),(5,23),-0.124902 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,7),(5,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,7),(5,28),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,7),(5,29),-0.0830802 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,5),(5,8),(5,9),-0.124947 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,8),(5,10),-0.124894 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,8),(5,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,8),(5,12),-0.124947 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,8),(5,13),-0.125422 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,8),(5,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,8),(5,16),-0.124947 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,8),(5,17),-0.125882 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,8),(5,18),-0.125882 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,8),(5,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,8),(5,20),-0.125422 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,8),(5,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,8),(5,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,8),(5,28),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,8),(5,29),-0.140871 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,5),(5,9),(5,10),-0.125308 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,9),(5,11),-0.12511 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,9),(5,12),-0.127863 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,9),(5,13),-0.126412 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,9),(5,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,9),(5,16),-0.127863 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,9),(5,17),-0.125244 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,9),(5,18),-0.125244 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,9),(5,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,9),(5,20),-0.126415 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,9),(5,23),-0.124915 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,9),(5,24),-0.12489 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,9),(5,28),-0.124886 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,9),(5,29),-0.0862393 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,5),(5,10),(5,11),0.0445026 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,10),(5,12),0.10116 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,10),(5,13),0.0313754 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,10),(5,14),0.156784 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,10),(5,16),0.109519 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,10),(5,17),0.292596 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,10),(5,18),0.320452 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,10),(5,19),-0.00580072 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,10),(5,20),-0.123942 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,10),(5,23),0.170146 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,10),(5,24),-0.000400183 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,10),(5,28),0.111696 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,10),(5,29),-0.0039251 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,5),(5,11),(5,12),-0.126834 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,11),(5,13),-0.125214 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,11),(5,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,11),(5,16),-0.126834 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,11),(5,17),-0.124989 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,11),(5,18),-0.124988 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,11),(5,19),-0.126448 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,11),(5,20),-0.125214 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,11),(5,23),-0.124902 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,11),(5,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,11),(5,28),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,11),(5,29),-0.0971873 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,5),(5,12),(5,13),-0.126412 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,12),(5,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,12),(5,16),-0.127863 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,12),(5,17),-0.125244 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,12),(5,18),-0.125244 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,12),(5,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,12),(5,20),-0.126415 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,12),(5,23),-0.124915 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,12),(5,24),-0.12489 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,12),(5,28),-0.124886 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,12),(5,29),-0.0767712 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,5),(5,13),(5,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,13),(5,16),-0.12499 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,13),(5,17),-0.124904 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,13),(5,18),-0.124904 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,13),(5,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,13),(5,20),-0.124886 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,13),(5,23),-0.124893 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,13),(5,24),-0.124886 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,13),(5,28),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,13),(5,29),-0.106616 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,5),(5,14),(5,16),-0.12704 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,14),(5,17),-0.125155 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,14),(5,18),-0.125155 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,14),(5,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,14),(5,20),-0.12489 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,14),(5,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,14),(5,24),-0.125234 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,14),(5,28),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,14),(5,29),-0.109115 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,5),(5,16),(5,17),-0.125244 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,16),(5,18),-0.125244 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,16),(5,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,16),(5,20),-0.126415 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,16),(5,23),-0.124915 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,16),(5,24),-0.12489 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,16),(5,28),-0.124886 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,16),(5,29),-0.0767712 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,5),(5,17),(5,18),-0.124886 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,17),(5,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,17),(5,20),-0.124892 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,17),(5,23),-0.124915 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,17),(5,24),-0.124895 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,17),(5,28),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,17),(5,29),-0.0967421 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,5),(5,18),(5,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,18),(5,20),-0.124892 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,18),(5,23),-0.124915 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,18),(5,24),-0.124895 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,18),(5,28),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,18),(5,29),-0.0965687 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,5),(5,19),(5,20),-0.124886 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,19),(5,23),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,19),(5,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,19),(5,28),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,5),(5,19),(5,29),-0.177499 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,5),(5,20),(5,23),-0.124897 # DEPENDENCYPART_GRANDSIBL
