# _root_ We think it is n't such a great burden , that it carries no stigma , and we are prepared to do it . ''
#goldHeads=2,17,4,13,4,9,9,9,4,13,13,13,2,15,13,17,0,19,17,19,22,20,22,17,17,
#predictedHeads=2,17,4,2,4,9,9,9,4,17,13,13,17,15,13,17,0,19,17,19,22,20,22,17,17,
(19,18),(19,14),-0.958959 # DEPENDENCYPART_NEXTSIBL
(19,18),(19,13),-0.624716 # DEPENDENCYPART_NEXTSIBL
(19,18),(19,12),-0.976186 # DEPENDENCYPART_NEXTSIBL
(19,18),(19,11),-0.687444 # DEPENDENCYPART_NEXTSIBL
(19,18),(19,10),-1.12068 # DEPENDENCYPART_NEXTSIBL
(19,18),(19,9),-0.806969 # DEPENDENCYPART_NEXTSIBL
(19,18),(19,8),-0.792026 # DEPENDENCYPART_NEXTSIBL
(19,18),(19,7),-1.03089 # DEPENDENCYPART_NEXTSIBL
(19,18),(19,6),-0.800691 # DEPENDENCYPART_NEXTSIBL
(19,18),(19,5),-0.824369 # DEPENDENCYPART_NEXTSIBL
(19,18),(19,4),-0.202421 # DEPENDENCYPART_NEXTSIBL
(19,18),(19,2),-0.23062 # DEPENDENCYPART_NEXTSIBL
(19,18),(19,-1),-0.155201 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,17),(19,16),-0.227752 # DEPENDENCYPART_NEXTSIBL
(19,17),(19,15),-0.686883 # DEPENDENCYPART_NEXTSIBL
(19,17),(19,14),-0.543251 # DEPENDENCYPART_NEXTSIBL
(19,17),(19,13),-0.546102 # DEPENDENCYPART_NEXTSIBL
(19,17),(19,12),-0.692173 # DEPENDENCYPART_NEXTSIBL
(19,17),(19,11),-0.597451 # DEPENDENCYPART_NEXTSIBL
(19,17),(19,10),-0.545617 # DEPENDENCYPART_NEXTSIBL
(19,17),(19,9),-0.865586 # DEPENDENCYPART_NEXTSIBL
(19,17),(19,8),-0.591854 # DEPENDENCYPART_NEXTSIBL
(19,17),(19,7),-0.874712 # DEPENDENCYPART_NEXTSIBL
(19,17),(19,6),-0.557695 # DEPENDENCYPART_NEXTSIBL
(19,17),(19,5),-0.726117 # DEPENDENCYPART_NEXTSIBL
(19,17),(19,4),-0.52476 # DEPENDENCYPART_NEXTSIBL
(19,17),(19,2),-0.560519 # DEPENDENCYPART_NEXTSIBL
(19,17),(19,-1),-0.129847 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,16),(19,15),-0.306554 # DEPENDENCYPART_NEXTSIBL
(19,16),(19,14),-0.671608 # DEPENDENCYPART_NEXTSIBL
(19,16),(19,13),0.262233 # DEPENDENCYPART_NEXTSIBL
(19,16),(19,12),-0.721004 # DEPENDENCYPART_NEXTSIBL
(19,16),(19,11),-0.214372 # DEPENDENCYPART_NEXTSIBL
(19,16),(19,10),-1.01182 # DEPENDENCYPART_NEXTSIBL
(19,16),(19,9),-0.391198 # DEPENDENCYPART_NEXTSIBL
(19,16),(19,8),-0.368693 # DEPENDENCYPART_NEXTSIBL
(19,16),(19,7),-0.885077 # DEPENDENCYPART_NEXTSIBL
(19,16),(19,6),-0.400686 # DEPENDENCYPART_NEXTSIBL
(19,16),(19,5),-0.560528 # DEPENDENCYPART_NEXTSIBL
(19,16),(19,4),0.549829 # DEPENDENCYPART_NEXTSIBL
(19,16),(19,2),0.580266 # DEPENDENCYPART_NEXTSIBL
(19,16),(19,-1),-0.603063 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,15),(19,14),-0.293923 # DEPENDENCYPART_NEXTSIBL
(19,15),(19,13),-0.841432 # DEPENDENCYPART_NEXTSIBL
(19,15),(19,12),-0.863147 # DEPENDENCYPART_NEXTSIBL
(19,15),(19,11),-0.5044 # DEPENDENCYPART_NEXTSIBL
(19,15),(19,10),-1.19243 # DEPENDENCYPART_NEXTSIBL
(19,15),(19,9),-1.31456 # DEPENDENCYPART_NEXTSIBL
(19,15),(19,8),-1.15103 # DEPENDENCYPART_NEXTSIBL
(19,15),(19,7),-1.0469 # DEPENDENCYPART_NEXTSIBL
(19,15),(19,6),-1.22052 # DEPENDENCYPART_NEXTSIBL
(19,15),(19,5),-1.00008 # DEPENDENCYPART_NEXTSIBL
(19,15),(19,4),-0.894513 # DEPENDENCYPART_NEXTSIBL
(19,15),(19,2),-0.783039 # DEPENDENCYPART_NEXTSIBL
(19,15),(19,-1),-0.626918 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,14),(19,13),-0.843839 # DEPENDENCYPART_NEXTSIBL
(19,14),(19,12),-0.864919 # DEPENDENCYPART_NEXTSIBL
(19,14),(19,11),-0.628848 # DEPENDENCYPART_NEXTSIBL
(19,14),(19,10),-1.005 # DEPENDENCYPART_NEXTSIBL
(19,14),(19,9),-1.18907 # DEPENDENCYPART_NEXTSIBL
(19,14),(19,8),-1.18953 # DEPENDENCYPART_NEXTSIBL
(19,14),(19,7),-1.34706 # DEPENDENCYPART_NEXTSIBL
(19,14),(19,6),-1.02392 # DEPENDENCYPART_NEXTSIBL
(19,14),(19,5),-0.985883 # DEPENDENCYPART_NEXTSIBL
(19,14),(19,4),-1.03486 # DEPENDENCYPART_NEXTSIBL
(19,14),(19,2),-1.02783 # DEPENDENCYPART_NEXTSIBL
(19,14),(19,-1),-0.481399 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,13),(19,12),-0.450465 # DEPENDENCYPART_NEXTSIBL
(19,13),(19,11),-0.405239 # DEPENDENCYPART_NEXTSIBL
(19,13),(19,10),-0.639625 # DEPENDENCYPART_NEXTSIBL
(19,13),(19,9),-0.75556 # DEPENDENCYPART_NEXTSIBL
(19,13),(19,8),-0.860602 # DEPENDENCYPART_NEXTSIBL
(19,13),(19,7),-1.0517 # DEPENDENCYPART_NEXTSIBL
(19,13),(19,6),-0.89789 # DEPENDENCYPART_NEXTSIBL
(19,13),(19,5),-0.815868 # DEPENDENCYPART_NEXTSIBL
(19,13),(19,4),-1.04938 # DEPENDENCYPART_NEXTSIBL
(19,13),(19,2),-0.838222 # DEPENDENCYPART_NEXTSIBL
(19,13),(19,-1),-0.833078 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,12),(19,11),0.38135 # DEPENDENCYPART_NEXTSIBL
(19,12),(19,10),-0.404762 # DEPENDENCYPART_NEXTSIBL
(19,12),(19,9),-0.639505 # DEPENDENCYPART_NEXTSIBL
(19,12),(19,8),-0.610633 # DEPENDENCYPART_NEXTSIBL
(19,12),(19,7),-0.776146 # DEPENDENCYPART_NEXTSIBL
(19,12),(19,6),-0.68427 # DEPENDENCYPART_NEXTSIBL
(19,12),(19,5),-0.577849 # DEPENDENCYPART_NEXTSIBL
(19,12),(19,4),-0.238028 # DEPENDENCYPART_NEXTSIBL
(19,12),(19,2),-0.233048 # DEPENDENCYPART_NEXTSIBL
(19,12),(19,-1),0.223243 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,11),(19,10),-0.0424431 # DEPENDENCYPART_NEXTSIBL
(19,11),(19,9),-0.493091 # DEPENDENCYPART_NEXTSIBL
(19,11),(19,8),-0.578089 # DEPENDENCYPART_NEXTSIBL
(19,11),(19,7),-0.90983 # DEPENDENCYPART_NEXTSIBL
(19,11),(19,6),-0.63895 # DEPENDENCYPART_NEXTSIBL
(19,11),(19,5),-0.706471 # DEPENDENCYPART_NEXTSIBL
(19,11),(19,4),-0.797877 # DEPENDENCYPART_NEXTSIBL
(19,11),(19,2),-0.815201 # DEPENDENCYPART_NEXTSIBL
(19,11),(19,-1),-0.0297373 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,10),(19,9),-0.402058 # DEPENDENCYPART_NEXTSIBL
(19,10),(19,8),-0.606866 # DEPENDENCYPART_NEXTSIBL
(19,10),(19,7),-1.11429 # DEPENDENCYPART_NEXTSIBL
(19,10),(19,6),-0.694393 # DEPENDENCYPART_NEXTSIBL
(19,10),(19,5),-0.847253 # DEPENDENCYPART_NEXTSIBL
(19,10),(19,4),-0.0379997 # DEPENDENCYPART_NEXTSIBL
(19,10),(19,2),0.0653207 # DEPENDENCYPART_NEXTSIBL
(19,10),(19,-1),-0.958544 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,9),(19,8),-0.32764 # DEPENDENCYPART_NEXTSIBL
(19,9),(19,7),-0.45106 # DEPENDENCYPART_NEXTSIBL
(19,9),(19,6),-0.782222 # DEPENDENCYPART_NEXTSIBL
(19,9),(19,5),-0.542732 # DEPENDENCYPART_NEXTSIBL
(19,9),(19,4),-0.993417 # DEPENDENCYPART_NEXTSIBL
(19,9),(19,2),-1.07263 # DEPENDENCYPART_NEXTSIBL
(19,9),(19,-1),-0.54747 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,8),(19,7),-0.286783 # DEPENDENCYPART_NEXTSIBL
(19,8),(19,6),-0.753149 # DEPENDENCYPART_NEXTSIBL
(19,8),(19,5),-0.848737 # DEPENDENCYPART_NEXTSIBL
(19,8),(19,4),-0.873508 # DEPENDENCYPART_NEXTSIBL
(19,8),(19,2),-0.969126 # DEPENDENCYPART_NEXTSIBL
(19,8),(19,-1),-0.641105 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,7),(19,6),-0.474415 # DEPENDENCYPART_NEXTSIBL
(19,7),(19,5),-0.649468 # DEPENDENCYPART_NEXTSIBL
(19,7),(19,4),-0.973313 # DEPENDENCYPART_NEXTSIBL
(19,7),(19,2),-1.0547 # DEPENDENCYPART_NEXTSIBL
(19,7),(19,-1),-0.774492 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,6),(19,5),-0.525 # DEPENDENCYPART_NEXTSIBL
(19,6),(19,4),-0.832622 # DEPENDENCYPART_NEXTSIBL
(19,6),(19,2),-0.943498 # DEPENDENCYPART_NEXTSIBL
(19,6),(19,-1),-0.579995 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,5),(19,4),-1.11818 # DEPENDENCYPART_NEXTSIBL
(19,5),(19,2),-1.29824 # DEPENDENCYPART_NEXTSIBL
(19,5),(19,-1),-1.4127 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,4),(19,2),-1.34456 # DEPENDENCYPART_NEXTSIBL
(19,4),(19,-1),-0.801097 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,2),(19,-1),-1.00347 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,20),(20,21),-0.148092 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,22),0.0309679 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,24),-1.07213 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,25),-0.800743 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,26),-0.336731 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(20,21),(20,22),-0.897124 # DEPENDENCYPART_NEXTSIBL
(20,21),(20,24),-0.761966 # DEPENDENCYPART_NEXTSIBL
(20,21),(20,25),-0.873792 # DEPENDENCYPART_NEXTSIBL
(20,21),(20,26),-0.452529 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,22),(20,24),-0.37946 # DEPENDENCYPART_NEXTSIBL
(20,22),(20,25),-0.478758 # DEPENDENCYPART_NEXTSIBL
(20,22),(20,26),-0.764855 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,24),(20,25),-0.231655 # DEPENDENCYPART_NEXTSIBL
(20,24),(20,26),-2.33369 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,25),(20,26),-0.968738 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,20),(20,18),-0.349984 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,17),0.088695 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,16),-1.00917 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,15),-0.424319 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,-1),-0.384806 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(20,18),(20,17),-0.307612 # DEPENDENCYPART_NEXTSIBL
(20,18),(20,16),-0.596872 # DEPENDENCYPART_NEXTSIBL
(20,18),(20,15),-0.845821 # DEPENDENCYPART_NEXTSIBL
(20,18),(20,-1),-0.246145 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,17),(20,16),-0.199558 # DEPENDENCYPART_NEXTSIBL
(20,17),(20,15),-0.641795 # DEPENDENCYPART_NEXTSIBL
(20,17),(20,-1),-0.22692 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,16),(20,15),-0.200982 # DEPENDENCYPART_NEXTSIBL
(20,16),(20,-1),-0.630403 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,15),(20,-1),-0.614192 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,21),(21,22),-0.0298973 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(21,21),(21,24),-1.05438 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(21,21),(21,25),-0.873323 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(21,21),(21,26),-0.690031 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(21,22),(21,24),-0.404254 # DEPENDENCYPART_NEXTSIBL
(21,22),(21,25),-0.51629 # DEPENDENCYPART_NEXTSIBL
(21,22),(21,26),-0.858882 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,24),(21,25),-0.21294 # DEPENDENCYPART_NEXTSIBL
(21,24),(21,26),-2.25745 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,25),(21,26),-0.934107 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,21),(21,20),-0.233234 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(21,21),(21,-1),-0.236245 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(21,20),(21,-1),-0.514507 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,22),(22,23),0.0438652 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,24),-1.22331 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,25),-0.888263 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,26),-0.657323 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(22,23),(22,24),-0.647381 # DEPENDENCYPART_NEXTSIBL
(22,23),(22,25),-0.546321 # DEPENDENCYPART_NEXTSIBL
(22,23),(22,26),-0.428233 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,24),(22,25),-0.232261 # DEPENDENCYPART_NEXTSIBL
(22,24),(22,26),-2.21921 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,25),(22,26),-1.00708 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,22),(22,21),0.142076 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,20),-0.115959 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,19),0.138078 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,18),-0.219793 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,17),0.12546 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,16),-1.27058 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,15),-0.242432 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,13),-0.221138 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,11),-0.426993 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,10),-1.33758 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,9),-0.176456 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,-1),-0.592069 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(22,21),(22,20),-0.580765 # DEPENDENCYPART_NEXTSIBL
(22,21),(22,19),-0.658812 # DEPENDENCYPART_NEXTSIBL
(22,21),(22,18),-0.631428 # DEPENDENCYPART_NEXTSIBL
(22,21),(22,17),-0.300627 # DEPENDENCYPART_NEXTSIBL
(22,21),(22,16),-0.8929 # DEPENDENCYPART_NEXTSIBL
(22,21),(22,15),-0.662573 # DEPENDENCYPART_NEXTSIBL
(22,21),(22,13),-0.762988 # DEPENDENCYPART_NEXTSIBL
(22,21),(22,11),-0.688291 # DEPENDENCYPART_NEXTSIBL
(22,21),(22,10),-1.05383 # DEPENDENCYPART_NEXTSIBL
(22,21),(22,9),-0.447223 # DEPENDENCYPART_NEXTSIBL
(22,21),(22,-1),-0.508463 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,20),(22,19),-0.688107 # DEPENDENCYPART_NEXTSIBL
(22,20),(22,18),-0.612421 # DEPENDENCYPART_NEXTSIBL
(22,20),(22,17),-0.952083 # DEPENDENCYPART_NEXTSIBL
(22,20),(22,16),-0.993164 # DEPENDENCYPART_NEXTSIBL
(22,20),(22,15),-1.26602 # DEPENDENCYPART_NEXTSIBL
(22,20),(22,13),-1.14715 # DEPENDENCYPART_NEXTSIBL
(22,20),(22,11),-1.07617 # DEPENDENCYPART_NEXTSIBL
(22,20),(22,10),-1.20206 # DEPENDENCYPART_NEXTSIBL
(22,20),(22,9),-1.30052 # DEPENDENCYPART_NEXTSIBL
(22,20),(22,-1),-0.495735 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,19),(22,18),-0.59204 # DEPENDENCYPART_NEXTSIBL
(22,19),(22,17),-0.527612 # DEPENDENCYPART_NEXTSIBL
(22,19),(22,16),-0.885104 # DEPENDENCYPART_NEXTSIBL
(22,19),(22,15),-0.83266 # DEPENDENCYPART_NEXTSIBL
(22,19),(22,13),-1.07086 # DEPENDENCYPART_NEXTSIBL
(22,19),(22,11),-0.973194 # DEPENDENCYPART_NEXTSIBL
(22,19),(22,10),-1.08811 # DEPENDENCYPART_NEXTSIBL
(22,19),(22,9),-0.675637 # DEPENDENCYPART_NEXTSIBL
(22,19),(22,-1),-0.877205 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,18),(22,17),-0.275013 # DEPENDENCYPART_NEXTSIBL
(22,18),(22,16),-0.57298 # DEPENDENCYPART_NEXTSIBL
(22,18),(22,15),-0.844818 # DEPENDENCYPART_NEXTSIBL
(22,18),(22,13),-0.60881 # DEPENDENCYPART_NEXTSIBL
(22,18),(22,11),-0.716496 # DEPENDENCYPART_NEXTSIBL
(22,18),(22,10),-1.09853 # DEPENDENCYPART_NEXTSIBL
(22,18),(22,9),-0.820631 # DEPENDENCYPART_NEXTSIBL
(22,18),(22,-1),-0.181054 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,17),(22,16),-0.203184 # DEPENDENCYPART_NEXTSIBL
(22,17),(22,15),-0.740508 # DEPENDENCYPART_NEXTSIBL
(22,17),(22,13),-0.572601 # DEPENDENCYPART_NEXTSIBL
(22,17),(22,11),-0.630226 # DEPENDENCYPART_NEXTSIBL
(22,17),(22,10),-0.52105 # DEPENDENCYPART_NEXTSIBL
(22,17),(22,9),-0.919212 # DEPENDENCYPART_NEXTSIBL
(22,17),(22,-1),-0.278738 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,16),(22,15),-0.291923 # DEPENDENCYPART_NEXTSIBL
(22,16),(22,13),0.256134 # DEPENDENCYPART_NEXTSIBL
(22,16),(22,11),-0.174024 # DEPENDENCYPART_NEXTSIBL
(22,16),(22,10),-0.959925 # DEPENDENCYPART_NEXTSIBL
(22,16),(22,9),-0.376566 # DEPENDENCYPART_NEXTSIBL
(22,16),(22,-1),-0.533654 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,15),(22,13),-0.852244 # DEPENDENCYPART_NEXTSIBL
(22,15),(22,11),-0.529943 # DEPENDENCYPART_NEXTSIBL
(22,15),(22,10),-1.18464 # DEPENDENCYPART_NEXTSIBL
(22,15),(22,9),-1.34484 # DEPENDENCYPART_NEXTSIBL
(22,15),(22,-1),-0.769194 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,13),(22,11),-0.414255 # DEPENDENCYPART_NEXTSIBL
(22,13),(22,10),-0.627767 # DEPENDENCYPART_NEXTSIBL
(22,13),(22,9),-0.770947 # DEPENDENCYPART_NEXTSIBL
(22,13),(22,-1),-0.817191 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,11),(22,10),-0.0325292 # DEPENDENCYPART_NEXTSIBL
(22,11),(22,9),-0.521567 # DEPENDENCYPART_NEXTSIBL
(22,11),(22,-1),-0.0387829 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,10),(22,9),-0.387426 # DEPENDENCYPART_NEXTSIBL
(22,10),(22,-1),-0.889134 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,9),(22,-1),-0.689747 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(23,23),(23,26),-0.22132 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(23,23),(23,-1),-0.342248 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(24,24),(24,26),-0.396685 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(24,24),(24,-1),-0.0531212 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(25,25),(25,26),-0.396685 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(25,25),(25,-1),-0.385282 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(0,2),(2,1),0.808463 # DEPENDENCYPART_GRANDPAR
(0,2),(2,3),0.132876 # DEPENDENCYPART_GRANDPAR
(0,2),(2,4),0.249366 # DEPENDENCYPART_GRANDPAR
(0,2),(2,5),-0.0927117 # DEPENDENCYPART_GRANDPAR
(0,2),(2,6),-0.0786151 # DEPENDENCYPART_GRANDPAR
(0,2),(2,7),-0.357454 # DEPENDENCYPART_GRANDPAR
(0,2),(2,8),-0.236488 # DEPENDENCYPART_GRANDPAR
(0,2),(2,9),-0.145895 # DEPENDENCYPART_GRANDPAR
(0,2),(2,10),0.060485 # DEPENDENCYPART_GRANDPAR
(0,2),(2,13),-0.117733 # DEPENDENCYPART_GRANDPAR
(0,2),(2,16),-0.556322 # DEPENDENCYPART_GRANDPAR
(0,2),(2,17),0.013721 # DEPENDENCYPART_GRANDPAR
(0,2),(2,19),0.0452866 # DEPENDENCYPART_GRANDPAR
(0,2),(2,22),-0.31339 # DEPENDENCYPART_GRANDPAR
(0,2),(2,24),2.55384 # DEPENDENCYPART_GRANDPAR
(0,2),(2,25),0.604597 # DEPENDENCYPART_GRANDPAR
(0,4),(4,1),0.760259 # DEPENDENCYPART_GRANDPAR
(0,4),(4,2),0.5774 # DEPENDENCYPART_GRANDPAR
(0,4),(4,3),0.0697169 # DEPENDENCYPART_GRANDPAR
(0,4),(4,5),0.073524 # DEPENDENCYPART_GRANDPAR
(0,4),(4,6),0.127551 # DEPENDENCYPART_GRANDPAR
(0,4),(4,8),-0.0239417 # DEPENDENCYPART_GRANDPAR
(0,4),(4,9),0.110607 # DEPENDENCYPART_GRANDPAR
(0,4),(4,10),0.246041 # DEPENDENCYPART_GRANDPAR
(0,4),(4,11),-0.232184 # DEPENDENCYPART_GRANDPAR
(0,4),(4,13),0.0254132 # DEPENDENCYPART_GRANDPAR
(0,4),(4,15),-0.177846 # DEPENDENCYPART_GRANDPAR
(0,4),(4,16),-0.370766 # DEPENDENCYPART_GRANDPAR
(0,4),(4,17),0.172935 # DEPENDENCYPART_GRANDPAR
(0,4),(4,19),0.154648 # DEPENDENCYPART_GRANDPAR
(0,4),(4,24),2.86719 # DEPENDENCYPART_GRANDPAR
(0,4),(4,25),0.799403 # DEPENDENCYPART_GRANDPAR
(0,13),(13,1),0.775078 # DEPENDENCYPART_GRANDPAR
(0,13),(13,2),0.518557 # DEPENDENCYPART_GRANDPAR
(0,13),(13,3),0.0546339 # DEPENDENCYPART_GRANDPAR
(0,13),(13,4),0.175527 # DEPENDENCYPART_GRANDPAR
(0,13),(13,5),-0.274119 # DEPENDENCYPART_GRANDPAR
(0,13),(13,6),-0.310031 # DEPENDENCYPART_GRANDPAR
(0,13),(13,7),-0.590144 # DEPENDENCYPART_GRANDPAR
(0,13),(13,8),-0.475945 # DEPENDENCYPART_GRANDPAR
(0,13),(13,9),-0.455325 # DEPENDENCYPART_GRANDPAR
(0,13),(13,10),0.309462 # DEPENDENCYPART_GRANDPAR
(0,13),(13,11),-0.891331 # DEPENDENCYPART_GRANDPAR
(0,13),(13,12),-0.129244 # DEPENDENCYPART_GRANDPAR
(0,13),(13,14),-0.152206 # DEPENDENCYPART_GRANDPAR
(0,13),(13,15),-0.40247 # DEPENDENCYPART_GRANDPAR
(0,13),(13,16),-0.560459 # DEPENDENCYPART_GRANDPAR
(0,13),(13,17),0.0237938 # DEPENDENCYPART_GRANDPAR
(0,13),(13,19),-0.00811065 # DEPENDENCYPART_GRANDPAR
(0,13),(13,20),-0.571432 # DEPENDENCYPART_GRANDPAR
(0,13),(13,21),-0.363321 # DEPENDENCYPART_GRANDPAR
(0,13),(13,22),-0.350836 # DEPENDENCYPART_GRANDPAR
(0,13),(13,24),2.52301 # DEPENDENCYPART_GRANDPAR
(0,13),(13,25),0.589044 # DEPENDENCYPART_GRANDPAR
(0,17),(17,1),0.673994 # DEPENDENCYPART_GRANDPAR
(0,17),(17,2),0.847212 # DEPENDENCYPART_GRANDPAR
(0,17),(17,3),-0.0221915 # DEPENDENCYPART_GRANDPAR
(0,17),(17,4),0.54162 # DEPENDENCYPART_GRANDPAR
(0,17),(17,5),-0.300085 # DEPENDENCYPART_GRANDPAR
(0,17),(17,6),-0.344314 # DEPENDENCYPART_GRANDPAR
(0,17),(17,7),-0.6848 # DEPENDENCYPART_GRANDPAR
(0,17),(17,8),-0.50997 # DEPENDENCYPART_GRANDPAR
(0,17),(17,9),-0.580275 # DEPENDENCYPART_GRANDPAR
(0,17),(17,10),0.24471 # DEPENDENCYPART_GRANDPAR
(0,17),(17,11),-0.733388 # DEPENDENCYPART_GRANDPAR
(0,17),(17,12),-0.20607 # DEPENDENCYPART_GRANDPAR
(0,17),(17,13),0.0459723 # DEPENDENCYPART_GRANDPAR
(0,17),(17,14),-0.440885 # DEPENDENCYPART_GRANDPAR
(0,17),(17,15),-0.874185 # DEPENDENCYPART_GRANDPAR
(0,17),(17,16),-0.372097 # DEPENDENCYPART_GRANDPAR
(0,17),(17,18),0.344813 # DEPENDENCYPART_GRANDPAR
(0,17),(17,19),0.227549 # DEPENDENCYPART_GRANDPAR
(0,17),(17,20),-0.659824 # DEPENDENCYPART_GRANDPAR
(0,17),(17,21),-0.537362 # DEPENDENCYPART_GRANDPAR
(0,17),(17,22),-0.210285 # DEPENDENCYPART_GRANDPAR
(0,17),(17,24),2.39801 # DEPENDENCYPART_GRANDPAR
(0,17),(17,25),0.474486 # DEPENDENCYPART_GRANDPAR
(0,19),(19,2),0.538273 # DEPENDENCYPART_GRANDPAR
(0,19),(19,4),0.191326 # DEPENDENCYPART_GRANDPAR
(0,19),(19,5),-0.228966 # DEPENDENCYPART_GRANDPAR
(0,19),(19,6),-0.29381 # DEPENDENCYPART_GRANDPAR
(0,19),(19,7),-0.581764 # DEPENDENCYPART_GRANDPAR
(0,19),(19,8),-0.458913 # DEPENDENCYPART_GRANDPAR
(0,19),(19,9),-0.444962 # DEPENDENCYPART_GRANDPAR
(0,19),(19,10),0.320605 # DEPENDENCYPART_GRANDPAR
(0,19),(19,11),-0.909203 # DEPENDENCYPART_GRANDPAR
(0,19),(19,12),-0.153165 # DEPENDENCYPART_GRANDPAR
(0,19),(19,13),-0.212622 # DEPENDENCYPART_GRANDPAR
