# _root_ But , IRS private ruling 8940061 notes , no rule or court case bears directly on the issue of adding land to a principal residence .
#goldHeads=14,7,5,5,7,5,14,7,11,11,14,13,11,0,14,14,18,16,18,19,20,20,25,25,22,14,
#predictedHeads=14,14,5,5,7,7,11,11,10,11,14,11,11,0,14,14,18,16,18,19,20,21,25,25,22,14,
(13,8),(13,11),0.215116 # DEPENDENCYPART_SIBL
(13,8),(13,12),0.0129595 # DEPENDENCYPART_SIBL
(13,8),(13,14),0.0380532 # DEPENDENCYPART_SIBL
(13,8),(13,15),-0.0414237 # DEPENDENCYPART_SIBL
(13,8),(13,16),-0.103603 # DEPENDENCYPART_SIBL
(13,8),(13,18),-0.037015 # DEPENDENCYPART_SIBL
(13,8),(13,19),-0.157958 # DEPENDENCYPART_SIBL
(13,8),(13,20),0.0644615 # DEPENDENCYPART_SIBL
(13,8),(13,22),-0.0345821 # DEPENDENCYPART_SIBL
(13,9),(13,10),0.042023 # DEPENDENCYPART_SIBL
(13,9),(13,11),0.220152 # DEPENDENCYPART_SIBL
(13,9),(13,12),0.102358 # DEPENDENCYPART_SIBL
(13,9),(13,14),0.179817 # DEPENDENCYPART_SIBL
(13,9),(13,15),0.0599297 # DEPENDENCYPART_SIBL
(13,9),(13,16),0.178499 # DEPENDENCYPART_SIBL
(13,9),(13,18),-0.00395631 # DEPENDENCYPART_SIBL
(13,9),(13,19),0.229509 # DEPENDENCYPART_SIBL
(13,9),(13,20),0.184713 # DEPENDENCYPART_SIBL
(13,9),(13,22),0.117615 # DEPENDENCYPART_SIBL
(13,10),(13,11),0.113134 # DEPENDENCYPART_SIBL
(13,10),(13,12),0.0656298 # DEPENDENCYPART_SIBL
(13,10),(13,14),0.0684638 # DEPENDENCYPART_SIBL
(13,10),(13,15),0.0370523 # DEPENDENCYPART_SIBL
(13,10),(13,16),0.0315935 # DEPENDENCYPART_SIBL
(13,10),(13,18),0.0281875 # DEPENDENCYPART_SIBL
(13,10),(13,19),0.0672989 # DEPENDENCYPART_SIBL
(13,10),(13,20),0.0834768 # DEPENDENCYPART_SIBL
(13,10),(13,22),-0.0331543 # DEPENDENCYPART_SIBL
(13,11),(13,12),0.0612954 # DEPENDENCYPART_SIBL
(13,11),(13,14),0.0680079 # DEPENDENCYPART_SIBL
(13,11),(13,15),0.0131147 # DEPENDENCYPART_SIBL
(13,11),(13,16),-0.0252382 # DEPENDENCYPART_SIBL
(13,11),(13,18),-0.0209182 # DEPENDENCYPART_SIBL
(13,11),(13,19),-0.0552162 # DEPENDENCYPART_SIBL
(13,11),(13,20),0.0711246 # DEPENDENCYPART_SIBL
(13,11),(13,22),-0.00843798 # DEPENDENCYPART_SIBL
(13,12),(13,14),0.0721077 # DEPENDENCYPART_SIBL
(13,12),(13,15),0.0278704 # DEPENDENCYPART_SIBL
(13,12),(13,16),0.0159157 # DEPENDENCYPART_SIBL
(13,12),(13,18),0.014814 # DEPENDENCYPART_SIBL
(13,12),(13,19),0.0494758 # DEPENDENCYPART_SIBL
(13,12),(13,20),0.0871208 # DEPENDENCYPART_SIBL
(13,12),(13,22),-0.0367616 # DEPENDENCYPART_SIBL
(13,14),(13,15),-0.0138561 # DEPENDENCYPART_SIBL
(13,14),(13,16),-0.0103189 # DEPENDENCYPART_SIBL
(13,14),(13,18),-0.0342409 # DEPENDENCYPART_SIBL
(13,14),(13,19),0.0105941 # DEPENDENCYPART_SIBL
(13,14),(13,20),-0.00236178 # DEPENDENCYPART_SIBL
(13,14),(13,22),-0.0109538 # DEPENDENCYPART_SIBL
(13,15),(13,16),0.0172552 # DEPENDENCYPART_SIBL
(13,15),(13,18),-0.00172016 # DEPENDENCYPART_SIBL
(13,15),(13,19),0.0179466 # DEPENDENCYPART_SIBL
(13,15),(13,20),-0.0186419 # DEPENDENCYPART_SIBL
(13,15),(13,22),-0.00313785 # DEPENDENCYPART_SIBL
(13,16),(13,18),0.00168371 # DEPENDENCYPART_SIBL
(13,16),(13,19),0.0168374 # DEPENDENCYPART_SIBL
(13,16),(13,20),0.0281418 # DEPENDENCYPART_SIBL
(13,16),(13,22),0.044348 # DEPENDENCYPART_SIBL
(13,18),(13,19),-0.0143215 # DEPENDENCYPART_SIBL
(13,18),(13,20),-0.0161731 # DEPENDENCYPART_SIBL
(13,18),(13,22),-0.0074623 # DEPENDENCYPART_SIBL
(13,19),(13,20),-0.0549185 # DEPENDENCYPART_SIBL
(13,19),(13,22),-0.0322819 # DEPENDENCYPART_SIBL
(13,20),(13,22),-0.0109694 # DEPENDENCYPART_SIBL
(14,1),(14,2),0.035343 # DEPENDENCYPART_SIBL
(14,1),(14,3),0.00185325 # DEPENDENCYPART_SIBL
(14,1),(14,4),-0.00821436 # DEPENDENCYPART_SIBL
(14,1),(14,5),0.00555758 # DEPENDENCYPART_SIBL
(14,1),(14,6),-0.0118549 # DEPENDENCYPART_SIBL
(14,1),(14,7),0.00783795 # DEPENDENCYPART_SIBL
(14,1),(14,8),0.035343 # DEPENDENCYPART_SIBL
(14,1),(14,9),0.0215275 # DEPENDENCYPART_SIBL
(14,1),(14,10),0.00282366 # DEPENDENCYPART_SIBL
(14,1),(14,11),-0.000182806 # DEPENDENCYPART_SIBL
(14,1),(14,12),0.0209978 # DEPENDENCYPART_SIBL
(14,1),(14,13),-0.0181424 # DEPENDENCYPART_SIBL
(14,1),(14,15),-0.00447478 # DEPENDENCYPART_SIBL
(14,1),(14,16),0.0107768 # DEPENDENCYPART_SIBL
(14,1),(14,18),-0.00841408 # DEPENDENCYPART_SIBL
(14,1),(14,19),-0.0199223 # DEPENDENCYPART_SIBL
(14,1),(14,20),0.0573732 # DEPENDENCYPART_SIBL
(14,1),(14,21),-0.0151296 # DEPENDENCYPART_SIBL
(14,1),(14,22),0.0274248 # DEPENDENCYPART_SIBL
(14,1),(14,25),-0.0103489 # DEPENDENCYPART_SIBL
(14,1),(14,26),0.149207 # DEPENDENCYPART_SIBL
(14,2),(14,3),0.0117441 # DEPENDENCYPART_SIBL
(14,2),(14,4),-0.0149517 # DEPENDENCYPART_SIBL
(14,2),(14,5),0.0140147 # DEPENDENCYPART_SIBL
(14,2),(14,6),-0.0111843 # DEPENDENCYPART_SIBL
(14,2),(14,7),-0.00355749 # DEPENDENCYPART_SIBL
(14,2),(14,8),0.0223642 # DEPENDENCYPART_SIBL
(14,2),(14,9),0.00555201 # DEPENDENCYPART_SIBL
(14,2),(14,10),0.00730115 # DEPENDENCYPART_SIBL
(14,2),(14,11),0.0469774 # DEPENDENCYPART_SIBL
(14,2),(14,12),0.0254116 # DEPENDENCYPART_SIBL
(14,2),(14,13),-0.0263366 # DEPENDENCYPART_SIBL
(14,2),(14,15),-0.0520111 # DEPENDENCYPART_SIBL
(14,2),(14,16),-0.0235176 # DEPENDENCYPART_SIBL
(14,2),(14,18),-0.00690719 # DEPENDENCYPART_SIBL
(14,2),(14,19),-0.119267 # DEPENDENCYPART_SIBL
(14,2),(14,20),0.101059 # DEPENDENCYPART_SIBL
(14,2),(14,21),-0.00102607 # DEPENDENCYPART_SIBL
(14,2),(14,22),-0.0132441 # DEPENDENCYPART_SIBL
(14,2),(14,25),0.00228698 # DEPENDENCYPART_SIBL
(14,2),(14,26),0.0645981 # DEPENDENCYPART_SIBL
(14,3),(14,4),-0.0160724 # DEPENDENCYPART_SIBL
(14,3),(14,5),-0.0917608 # DEPENDENCYPART_SIBL
(14,3),(14,6),-0.0552524 # DEPENDENCYPART_SIBL
(14,3),(14,7),-0.0886512 # DEPENDENCYPART_SIBL
(14,3),(14,8),0.000819608 # DEPENDENCYPART_SIBL
(14,3),(14,9),-0.0367545 # DEPENDENCYPART_SIBL
(14,3),(14,10),-0.0920658 # DEPENDENCYPART_SIBL
(14,3),(14,11),-0.0169407 # DEPENDENCYPART_SIBL
(14,3),(14,12),-0.0733619 # DEPENDENCYPART_SIBL
(14,3),(14,13),-0.107857 # DEPENDENCYPART_SIBL
(14,3),(14,15),-0.0196587 # DEPENDENCYPART_SIBL
(14,3),(14,16),0.0461866 # DEPENDENCYPART_SIBL
(14,3),(14,18),0.00453682 # DEPENDENCYPART_SIBL
(14,3),(14,19),0.00213176 # DEPENDENCYPART_SIBL
(14,3),(14,20),0.0785741 # DEPENDENCYPART_SIBL
(14,3),(14,21),0.00876712 # DEPENDENCYPART_SIBL
(14,3),(14,22),0.00572638 # DEPENDENCYPART_SIBL
(14,3),(14,25),0.0167701 # DEPENDENCYPART_SIBL
(14,3),(14,26),0.0405581 # DEPENDENCYPART_SIBL
(14,4),(14,5),-0.00476453 # DEPENDENCYPART_SIBL
(14,4),(14,6),-0.0375114 # DEPENDENCYPART_SIBL
(14,4),(14,7),-0.00295704 # DEPENDENCYPART_SIBL
(14,4),(14,8),0.0205852 # DEPENDENCYPART_SIBL
(14,4),(14,9),-0.0427625 # DEPENDENCYPART_SIBL
(14,4),(14,10),-0.00509165 # DEPENDENCYPART_SIBL
(14,4),(14,11),-0.0507817 # DEPENDENCYPART_SIBL
(14,4),(14,12),0.00678133 # DEPENDENCYPART_SIBL
(14,4),(14,13),-0.0187995 # DEPENDENCYPART_SIBL
(14,4),(14,15),-0.00873833 # DEPENDENCYPART_SIBL
(14,4),(14,16),-0.0359312 # DEPENDENCYPART_SIBL
(14,4),(14,18),-0.00423699 # DEPENDENCYPART_SIBL
(14,4),(14,19),-0.0436636 # DEPENDENCYPART_SIBL
(14,4),(14,20),0.00320591 # DEPENDENCYPART_SIBL
(14,4),(14,21),-0.00579632 # DEPENDENCYPART_SIBL
(14,4),(14,22),-0.0203638 # DEPENDENCYPART_SIBL
(14,4),(14,25),-0.00568639 # DEPENDENCYPART_SIBL
(14,4),(14,26),0.0179196 # DEPENDENCYPART_SIBL
(14,5),(14,6),-0.0467191 # DEPENDENCYPART_SIBL
(14,5),(14,7),-0.07945 # DEPENDENCYPART_SIBL
(14,5),(14,8),0.0301632 # DEPENDENCYPART_SIBL
(14,5),(14,9),-0.0282213 # DEPENDENCYPART_SIBL
(14,5),(14,10),-0.0828646 # DEPENDENCYPART_SIBL
(14,5),(14,11),-0.0154443 # DEPENDENCYPART_SIBL
(14,5),(14,12),-0.0641608 # DEPENDENCYPART_SIBL
(14,5),(14,13),-0.0986563 # DEPENDENCYPART_SIBL
(14,5),(14,15),-0.0188654 # DEPENDENCYPART_SIBL
(14,5),(14,16),0.0510296 # DEPENDENCYPART_SIBL
(14,5),(14,18),0.00623723 # DEPENDENCYPART_SIBL
(14,5),(14,19),0.00698698 # DEPENDENCYPART_SIBL
(14,5),(14,20),0.0807016 # DEPENDENCYPART_SIBL
(14,5),(14,21),0.0104675 # DEPENDENCYPART_SIBL
(14,5),(14,22),0.00694225 # DEPENDENCYPART_SIBL
(14,5),(14,25),0.0184705 # DEPENDENCYPART_SIBL
(14,5),(14,26),0.0669865 # DEPENDENCYPART_SIBL
(14,6),(14,7),-0.0157905 # DEPENDENCYPART_SIBL
(14,6),(14,8),-0.0407865 # DEPENDENCYPART_SIBL
(14,6),(14,9),-0.0252263 # DEPENDENCYPART_SIBL
(14,6),(14,10),-0.0191569 # DEPENDENCYPART_SIBL
(14,6),(14,11),-0.0212964 # DEPENDENCYPART_SIBL
(14,6),(14,12),-0.00779234 # DEPENDENCYPART_SIBL
(14,6),(14,13),-0.0327502 # DEPENDENCYPART_SIBL
(14,6),(14,15),-0.01474 # DEPENDENCYPART_SIBL
(14,6),(14,16),-0.0741687 # DEPENDENCYPART_SIBL
(14,6),(14,18),-0.0167711 # DEPENDENCYPART_SIBL
(14,6),(14,19),-0.0973678 # DEPENDENCYPART_SIBL
(14,6),(14,20),-0.0518479 # DEPENDENCYPART_SIBL
(14,6),(14,21),-0.0205506 # DEPENDENCYPART_SIBL
(14,6),(14,22),-0.0854322 # DEPENDENCYPART_SIBL
(14,6),(14,25),-0.015786 # DEPENDENCYPART_SIBL
(14,6),(14,26),-0.00778429 # DEPENDENCYPART_SIBL
(14,7),(14,8),-0.00209358 # DEPENDENCYPART_SIBL
(14,7),(14,9),-0.0320535 # DEPENDENCYPART_SIBL
(14,7),(14,10),-0.0777145 # DEPENDENCYPART_SIBL
(14,7),(14,11),-0.0209761 # DEPENDENCYPART_SIBL
(14,7),(14,12),-0.0590106 # DEPENDENCYPART_SIBL
(14,7),(14,13),-0.0935062 # DEPENDENCYPART_SIBL
(14,7),(14,15),-0.0400531 # DEPENDENCYPART_SIBL
(14,7),(14,16),0.0162232 # DEPENDENCYPART_SIBL
(14,7),(14,18),-0.0316081 # DEPENDENCYPART_SIBL
(14,7),(14,19),-0.0324253 # DEPENDENCYPART_SIBL
(14,7),(14,20),0.0687282 # DEPENDENCYPART_SIBL
(14,7),(14,21),-0.0273778 # DEPENDENCYPART_SIBL
(14,7),(14,22),-0.00643427 # DEPENDENCYPART_SIBL
(14,7),(14,25),-0.0193748 # DEPENDENCYPART_SIBL
(14,7),(14,26),0.0162651 # DEPENDENCYPART_SIBL
(14,8),(14,9),0.00555201 # DEPENDENCYPART_SIBL
(14,8),(14,10),0.00730115 # DEPENDENCYPART_SIBL
(14,8),(14,11),0.0469774 # DEPENDENCYPART_SIBL
(14,8),(14,12),0.0254116 # DEPENDENCYPART_SIBL
(14,8),(14,13),-0.0263366 # DEPENDENCYPART_SIBL
(14,8),(14,15),-0.0520111 # DEPENDENCYPART_SIBL
(14,8),(14,16),-0.0235176 # DEPENDENCYPART_SIBL
(14,8),(14,18),-0.00690719 # DEPENDENCYPART_SIBL
(14,8),(14,19),-0.119267 # DEPENDENCYPART_SIBL
(14,8),(14,20),0.101059 # DEPENDENCYPART_SIBL
(14,8),(14,21),-0.00102607 # DEPENDENCYPART_SIBL
(14,8),(14,22),-0.0132441 # DEPENDENCYPART_SIBL
(14,8),(14,25),0.00228698 # DEPENDENCYPART_SIBL
(14,8),(14,26),0.0645981 # DEPENDENCYPART_SIBL
(14,9),(14,10),-0.0327838 # DEPENDENCYPART_SIBL
(14,9),(14,11),0.00565801 # DEPENDENCYPART_SIBL
(14,9),(14,12),-0.00375478 # DEPENDENCYPART_SIBL
(14,9),(14,13),-0.0465187 # DEPENDENCYPART_SIBL
(14,9),(14,15),-0.0531626 # DEPENDENCYPART_SIBL
(14,9),(14,16),0.136998 # DEPENDENCYPART_SIBL
(14,9),(14,18),-0.0195551 # DEPENDENCYPART_SIBL
(14,9),(14,19),0.189742 # DEPENDENCYPART_SIBL
(14,9),(14,20),0.00883796 # DEPENDENCYPART_SIBL
(14,9),(14,21),-0.0236151 # DEPENDENCYPART_SIBL
(14,9),(14,22),0.0402162 # DEPENDENCYPART_SIBL
(14,9),(14,25),-0.0187427 # DEPENDENCYPART_SIBL
(14,9),(14,26),0.0263652 # DEPENDENCYPART_SIBL
(14,10),(14,11),-0.0265381 # DEPENDENCYPART_SIBL
(14,10),(14,12),-0.0734619 # DEPENDENCYPART_SIBL
(14,10),(14,13),-0.107958 # DEPENDENCYPART_SIBL
(14,10),(14,15),-0.019594 # DEPENDENCYPART_SIBL
(14,10),(14,16),0.0412024 # DEPENDENCYPART_SIBL
(14,10),(14,18),-0.0134544 # DEPENDENCYPART_SIBL
(14,10),(14,19),-0.00283806 # DEPENDENCYPART_SIBL
(14,10),(14,20),0.0721202 # DEPENDENCYPART_SIBL
(14,10),(14,21),-0.00922409 # DEPENDENCYPART_SIBL
(14,10),(14,22),-0.000907116 # DEPENDENCYPART_SIBL
(14,10),(14,25),-0.0012211 # DEPENDENCYPART_SIBL
(14,10),(14,26),0.0339822 # DEPENDENCYPART_SIBL
(14,11),(14,12),-0.0261492 # DEPENDENCYPART_SIBL
(14,11),(14,13),-0.0598235 # DEPENDENCYPART_SIBL
(14,11),(14,15),-0.0405455 # DEPENDENCYPART_SIBL
(14,11),(14,16),0.0170875 # DEPENDENCYPART_SIBL
(14,11),(14,18),-0.0370074 # DEPENDENCYPART_SIBL
(14,11),(14,19),-0.0282901 # DEPENDENCYPART_SIBL
(14,11),(14,20),0.0463618 # DEPENDENCYPART_SIBL
(14,11),(14,21),-0.043706 # DEPENDENCYPART_SIBL
(14,11),(14,22),-0.0245744 # DEPENDENCYPART_SIBL
(14,11),(14,25),-0.0389252 # DEPENDENCYPART_SIBL
(14,11),(14,26),0.00923247 # DEPENDENCYPART_SIBL
(14,12),(14,13),-0.0865911 # DEPENDENCYPART_SIBL
(14,12),(14,15),-0.0184594 # DEPENDENCYPART_SIBL
(14,12),(14,16),0.0322005 # DEPENDENCYPART_SIBL
(14,12),(14,18),-0.00775056 # DEPENDENCYPART_SIBL
(14,12),(14,19),-0.015487 # DEPENDENCYPART_SIBL
(14,12),(14,20),0.0843615 # DEPENDENCYPART_SIBL
(14,12),(14,21),-0.00351934 # DEPENDENCYPART_SIBL
(14,12),(14,22),0.0136951 # DEPENDENCYPART_SIBL
(14,12),(14,25),0.00448365 # DEPENDENCYPART_SIBL
(14,12),(14,26),0.01052 # DEPENDENCYPART_SIBL
(14,13),(14,15),-0.0288557 # DEPENDENCYPART_SIBL
(14,13),(14,16),0.0447119 # DEPENDENCYPART_SIBL
(14,13),(14,18),-0.0111444 # DEPENDENCYPART_SIBL
(14,13),(14,19),0.000566506 # DEPENDENCYPART_SIBL
(14,13),(14,20),0.0618241 # DEPENDENCYPART_SIBL
(14,13),(14,21),-0.00691409 # DEPENDENCYPART_SIBL
(14,13),(14,22),-0.0105533 # DEPENDENCYPART_SIBL
(14,13),(14,25),0.0010889 # DEPENDENCYPART_SIBL
(14,13),(14,26),0.00983244 # DEPENDENCYPART_SIBL
(14,15),(14,16),0.0313633 # DEPENDENCYPART_SIBL
(14,15),(14,18),-0.030987 # DEPENDENCYPART_SIBL
(14,15),(14,19),0.0114161 # DEPENDENCYPART_SIBL
(14,15),(14,20),-0.0066644 # DEPENDENCYPART_SIBL
(14,15),(14,21),-0.027608 # DEPENDENCYPART_SIBL
(14,15),(14,22),0.0136376 # DEPENDENCYPART_SIBL
(14,15),(14,25),-0.0265572 # DEPENDENCYPART_SIBL
(14,15),(14,26),-0.0287145 # DEPENDENCYPART_SIBL
(14,16),(14,18),-0.0190623 # DEPENDENCYPART_SIBL
(14,16),(14,19),-0.0452905 # DEPENDENCYPART_SIBL
(14,16),(14,20),0.00846395 # DEPENDENCYPART_SIBL
(14,16),(14,21),-0.0106383 # DEPENDENCYPART_SIBL
(14,16),(14,22),0.00632355 # DEPENDENCYPART_SIBL
(14,16),(14,25),-0.00931957 # DEPENDENCYPART_SIBL
(14,16),(14,26),-0.00368724 # DEPENDENCYPART_SIBL
(14,18),(14,19),0.00706438 # DEPENDENCYPART_SIBL
(14,18),(14,20),-0.00592447 # DEPENDENCYPART_SIBL
(14,18),(14,21),-0.0179999 # DEPENDENCYPART_SIBL
(14,18),(14,22),0.0124248 # DEPENDENCYPART_SIBL
(14,18),(14,25),-0.0153229 # DEPENDENCYPART_SIBL
(14,18),(14,26),0.0144033 # DEPENDENCYPART_SIBL
(14,19),(14,20),-0.0524496 # DEPENDENCYPART_SIBL
(14,19),(14,21),-0.0293181 # DEPENDENCYPART_SIBL
(14,19),(14,22),-0.048096 # DEPENDENCYPART_SIBL
(14,19),(14,25),-0.0279941 # DEPENDENCYPART_SIBL
(14,19),(14,26),-0.033815 # DEPENDENCYPART_SIBL
(14,20),(14,21),-0.00737778 # DEPENDENCYPART_SIBL
(14,20),(14,22),-0.0276249 # DEPENDENCYPART_SIBL
(14,20),(14,25),-0.0080656 # DEPENDENCYPART_SIBL
(14,20),(14,26),0.0679226 # DEPENDENCYPART_SIBL
(14,21),(14,22),0.00763285 # DEPENDENCYPART_SIBL
(14,21),(14,25),-0.0257784 # DEPENDENCYPART_SIBL
(14,21),(14,26),0.00547144 # DEPENDENCYPART_SIBL
(14,22),(14,25),-0.0215071 # DEPENDENCYPART_SIBL
(14,22),(14,26),-0.0020478 # DEPENDENCYPART_SIBL
(14,25),(14,26),0.00696661 # DEPENDENCYPART_SIBL
(15,1),(15,5),-0.030104 # DEPENDENCYPART_SIBL
(15,1),(15,7),-0.0304752 # DEPENDENCYPART_SIBL
(15,1),(15,10),-0.0321179 # DEPENDENCYPART_SIBL
(15,1),(15,11),-0.00711061 # DEPENDENCYPART_SIBL
(15,1),(15,12),-0.0282766 # DEPENDENCYPART_SIBL
(15,1),(15,13),-0.0350914 # DEPENDENCYPART_SIBL
(15,1),(15,14),0.0145203 # DEPENDENCYPART_SIBL
(15,1),(15,16),0.0576325 # DEPENDENCYPART_SIBL
(15,1),(15,17),0.0159056 # DEPENDENCYPART_SIBL
(15,1),(15,18),0.065946 # DEPENDENCYPART_SIBL
(15,1),(15,19),0.0246407 # DEPENDENCYPART_SIBL
(15,1),(15,21),0.0670271 # DEPENDENCYPART_SIBL
(15,1),(15,22),0.0344397 # DEPENDENCYPART_SIBL
(15,5),(15,7),-0.0292018 # DEPENDENCYPART_SIBL
(15,5),(15,10),-0.0296917 # DEPENDENCYPART_SIBL
(15,5),(15,11),0.008919 # DEPENDENCYPART_SIBL
(15,5),(15,12),-0.0202887 # DEPENDENCYPART_SIBL
(15,5),(15,13),-0.031451 # DEPENDENCYPART_SIBL
(15,5),(15,14),0.0519551 # DEPENDENCYPART_SIBL
(15,5),(15,16),0.0340322 # DEPENDENCYPART_SIBL
(15,5),(15,17),-0.0254074 # DEPENDENCYPART_SIBL
(15,5),(15,18),0.154819 # DEPENDENCYPART_SIBL
(15,5),(15,19),0.061413 # DEPENDENCYPART_SIBL
(15,5),(15,21),0.166292 # DEPENDENCYPART_SIBL
(15,5),(15,22),0.00138635 # DEPENDENCYPART_SIBL
(15,7),(15,10),-0.0253811 # DEPENDENCYPART_SIBL
(15,7),(15,11),0.0106793 # DEPENDENCYPART_SIBL
(15,7),(15,12),-0.0159781 # DEPENDENCYPART_SIBL
(15,7),(15,13),-0.0271404 # DEPENDENCYPART_SIBL
(15,7),(15,14),0.0575115 # DEPENDENCYPART_SIBL
(15,7),(15,16),0.0261887 # DEPENDENCYPART_SIBL
(15,7),(15,17),-0.0252047 # DEPENDENCYPART_SIBL
(15,7),(15,18),0.14384 # DEPENDENCYPART_SIBL
(15,7),(15,19),0.0493778 # DEPENDENCYPART_SIBL
(15,7),(15,21),0.155313 # DEPENDENCYPART_SIBL
(15,7),(15,22),0.0045799 # DEPENDENCYPART_SIBL
(15,10),(15,11),0.010681 # DEPENDENCYPART_SIBL
(15,10),(15,12),-0.0201464 # DEPENDENCYPART_SIBL
(15,10),(15,13),-0.0313088 # DEPENDENCYPART_SIBL
(15,10),(15,14),0.0486034 # DEPENDENCYPART_SIBL
(15,10),(15,16),0.032584 # DEPENDENCYPART_SIBL
(15,10),(15,17),-0.0252822 # DEPENDENCYPART_SIBL
(15,10),(15,18),0.149079 # DEPENDENCYPART_SIBL
(15,10),(15,19),0.0599691 # DEPENDENCYPART_SIBL
(15,10),(15,21),0.160552 # DEPENDENCYPART_SIBL
(15,10),(15,22),0.00086103 # DEPENDENCYPART_SIBL
(15,11),(15,12),-0.0217261 # DEPENDENCYPART_SIBL
(15,11),(15,13),-0.0262204 # DEPENDENCYPART_SIBL
(15,11),(15,14),0.0117977 # DEPENDENCYPART_SIBL
(15,11),(15,16),0.0754795 # DEPENDENCYPART_SIBL
(15,11),(15,17),0.0281731 # DEPENDENCYPART_SIBL
(15,11),(15,18),0.0748664 # DEPENDENCYPART_SIBL
(15,11),(15,19),0.0320648 # DEPENDENCYPART_SIBL
(15,11),(15,21),0.0759645 # DEPENDENCYPART_SIBL
(15,11),(15,22),0.0252694 # DEPENDENCYPART_SIBL
(15,12),(15,13),-0.0298196 # DEPENDENCYPART_SIBL
(15,12),(15,14),0.0498946 # DEPENDENCYPART_SIBL
(15,12),(15,16),0.0288 # DEPENDENCYPART_SIBL
(15,12),(15,17),-0.0253813 # DEPENDENCYPART_SIBL
(15,12),(15,18),0.151177 # DEPENDENCYPART_SIBL
(15,12),(15,19),0.0541584 # DEPENDENCYPART_SIBL
(15,12),(15,21),0.162651 # DEPENDENCYPART_SIBL
(15,12),(15,22),0.00904206 # DEPENDENCYPART_SIBL
(15,13),(15,14),0.0536891 # DEPENDENCYPART_SIBL
(15,13),(15,16),0.0373395 # DEPENDENCYPART_SIBL
(15,13),(15,17),-0.0252552 # DEPENDENCYPART_SIBL
(15,13),(15,18),0.152037 # DEPENDENCYPART_SIBL
(15,13),(15,19),0.0646285 # DEPENDENCYPART_SIBL
(15,13),(15,21),0.16351 # DEPENDENCYPART_SIBL
(15,13),(15,22),-0.000851899 # DEPENDENCYPART_SIBL
(15,14),(15,16),0.0687346 # DEPENDENCYPART_SIBL
(15,14),(15,17),0.020853 # DEPENDENCYPART_SIBL
(15,14),(15,18),0.0689543 # DEPENDENCYPART_SIBL
(15,14),(15,19),0.0765032 # DEPENDENCYPART_SIBL
(15,14),(15,21),0.0677474 # DEPENDENCYPART_SIBL
(15,14),(15,22),0.0517692 # DEPENDENCYPART_SIBL
(15,16),(15,17),-0.0199924 # DEPENDENCYPART_SIBL
(15,16),(15,18),-0.0038575 # DEPENDENCYPART_SIBL
(15,16),(15,19),-0.0084998 # DEPENDENCYPART_SIBL
(15,16),(15,21),-0.00105805 # DEPENDENCYPART_SIBL
(15,16),(15,22),0.0143785 # DEPENDENCYPART_SIBL
(15,17),(15,18),-0.0165223 # DEPENDENCYPART_SIBL
(15,17),(15,19),0.0346194 # DEPENDENCYPART_SIBL
(15,17),(15,21),-0.0163319 # DEPENDENCYPART_SIBL
(15,17),(15,22),0.0113971 # DEPENDENCYPART_SIBL
(15,18),(15,19),0.00169399 # DEPENDENCYPART_SIBL
(15,18),(15,21),-0.0212294 # DEPENDENCYPART_SIBL
(15,18),(15,22),0.0393381 # DEPENDENCYPART_SIBL
(15,19),(15,21),0.0385596 # DEPENDENCYPART_SIBL
(15,19),(15,22),0.0182277 # DEPENDENCYPART_SIBL
(15,21),(15,22),0.0409051 # DEPENDENCYPART_SIBL
(16,13),(16,15),0.0432771 # DEPENDENCYPART_SIBL
(16,13),(16,17),-0.0691942 # DEPENDENCYPART_SIBL
(16,13),(16,18),-0.0193649 # DEPENDENCYPART_SIBL
(16,13),(16,19),0.00773272 # DEPENDENCYPART_SIBL
(16,13),(16,20),-0.0285093 # DEPENDENCYPART_SIBL
(16,13),(16,21),-0.00776834 # DEPENDENCYPART_SIBL
(16,13),(16,22),-0.00177074 # DEPENDENCYPART_SIBL
(16,13),(16,25),0.00983622 # DEPENDENCYPART_SIBL
(16,13),(16,26),-0.0461307 # DEPENDENCYPART_SIBL
(16,15),(16,17),-0.00609351 # DEPENDENCYPART_SIBL
(16,15),(16,18),0.0392042 # DEPENDENCYPART_SIBL
(16,15),(16,19),0.11715 # DEPENDENCYPART_SIBL
(16,15),(16,20),0.00679395 # DEPENDENCYPART_SIBL
(16,15),(16,21),0.042476 # DEPENDENCYPART_SIBL
(16,15),(16,22),0.117002 # DEPENDENCYPART_SIBL
(16,15),(16,25),0.0494599 # DEPENDENCYPART_SIBL
(16,15),(16,26),0.012484 # DEPENDENCYPART_SIBL
(16,17),(16,18),-0.0628912 # DEPENDENCYPART_SIBL
(16,17),(16,19),0.0172042 # DEPENDENCYPART_SIBL
(16,17),(16,20),-0.0277717 # DEPENDENCYPART_SIBL
(16,17),(16,21),-0.0601352 # DEPENDENCYPART_SIBL
(16,17),(16,22),-0.0237302 # DEPENDENCYPART_SIBL
(16,17),(16,25),-0.0601332 # DEPENDENCYPART_SIBL
(16,17),(16,26),0.0325747 # DEPENDENCYPART_SIBL
(16,18),(16,19),0.0168345 # DEPENDENCYPART_SIBL
(16,18),(16,20),-0.0228953 # DEPENDENCYPART_SIBL
(16,18),(16,21),-0.102669 # DEPENDENCYPART_SIBL
(16,18),(16,22),-0.0269767 # DEPENDENCYPART_SIBL
