# _root_ But Merrill Lynch , in its statement about pulling out of index arbitrage , suggested that the current debate has missed the mark .
#goldHeads=15,3,15,15,15,7,5,7,8,9,10,13,11,15,0,20,19,19,20,15,20,23,21,15,
#predictedHeads=15,3,15,15,15,7,5,7,8,9,10,13,11,15,0,20,19,19,20,15,20,23,21,15,
(13,11),(13,8),-1.27845 # DEPENDENCYPART_NEXTSIBL
(13,11),(13,6),-1.31539 # DEPENDENCYPART_NEXTSIBL
(13,11),(13,4),-1.4015 # DEPENDENCYPART_NEXTSIBL
(13,11),(13,-1),-0.584754 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,10),(13,9),-0.967294 # DEPENDENCYPART_NEXTSIBL
(13,10),(13,8),-0.880015 # DEPENDENCYPART_NEXTSIBL
(13,10),(13,6),-1.14542 # DEPENDENCYPART_NEXTSIBL
(13,10),(13,4),-1.40774 # DEPENDENCYPART_NEXTSIBL
(13,10),(13,-1),-0.831 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,9),(13,8),-0.777691 # DEPENDENCYPART_NEXTSIBL
(13,9),(13,6),-0.999636 # DEPENDENCYPART_NEXTSIBL
(13,9),(13,4),-0.761996 # DEPENDENCYPART_NEXTSIBL
(13,9),(13,-1),-0.984336 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,8),(13,6),-0.779573 # DEPENDENCYPART_NEXTSIBL
(13,8),(13,4),-0.999366 # DEPENDENCYPART_NEXTSIBL
(13,8),(13,-1),-0.355905 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,6),(13,4),-1.0535 # DEPENDENCYPART_NEXTSIBL
(13,6),(13,-1),-0.582399 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,4),(13,-1),-1.20525 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,14),(14,25),-0.248523 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(14,14),(14,11),-0.465698 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(14,14),(14,-1),-0.345336 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(14,11),(14,-1),-0.779829 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,15),(15,16),-1.91185 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,17),-1.54279 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,18),-0.780399 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,19),-0.292814 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,20),-0.398077 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,21),-0.147628 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,23),-0.333167 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,24),-1.408 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,25),-0.855258 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(15,16),(15,17),-1.08082 # DEPENDENCYPART_NEXTSIBL
(15,16),(15,18),-1.07423 # DEPENDENCYPART_NEXTSIBL
(15,16),(15,19),-0.831985 # DEPENDENCYPART_NEXTSIBL
(15,16),(15,20),-0.95889 # DEPENDENCYPART_NEXTSIBL
(15,16),(15,21),-1.05994 # DEPENDENCYPART_NEXTSIBL
(15,16),(15,23),-0.940792 # DEPENDENCYPART_NEXTSIBL
(15,16),(15,24),-0.619419 # DEPENDENCYPART_NEXTSIBL
(15,16),(15,25),-0.691521 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,17),(15,18),-1.22159 # DEPENDENCYPART_NEXTSIBL
(15,17),(15,19),-1.33311 # DEPENDENCYPART_NEXTSIBL
(15,17),(15,20),-1.3322 # DEPENDENCYPART_NEXTSIBL
(15,17),(15,21),-1.36406 # DEPENDENCYPART_NEXTSIBL
(15,17),(15,23),-1.45214 # DEPENDENCYPART_NEXTSIBL
(15,17),(15,24),-1.40292 # DEPENDENCYPART_NEXTSIBL
(15,17),(15,25),-0.554595 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,18),(15,19),-0.940015 # DEPENDENCYPART_NEXTSIBL
(15,18),(15,20),-0.950797 # DEPENDENCYPART_NEXTSIBL
(15,18),(15,21),-0.975159 # DEPENDENCYPART_NEXTSIBL
(15,18),(15,23),-1.2119 # DEPENDENCYPART_NEXTSIBL
(15,18),(15,24),-0.844402 # DEPENDENCYPART_NEXTSIBL
(15,18),(15,25),-0.728121 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,19),(15,20),-1.13584 # DEPENDENCYPART_NEXTSIBL
(15,19),(15,21),-1.30407 # DEPENDENCYPART_NEXTSIBL
(15,19),(15,23),-1.37895 # DEPENDENCYPART_NEXTSIBL
(15,19),(15,24),-1.04671 # DEPENDENCYPART_NEXTSIBL
(15,19),(15,25),-0.730862 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,20),(15,21),-0.977766 # DEPENDENCYPART_NEXTSIBL
(15,20),(15,23),-0.834583 # DEPENDENCYPART_NEXTSIBL
(15,20),(15,24),-0.22001 # DEPENDENCYPART_NEXTSIBL
(15,20),(15,25),-0.408634 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,21),(15,23),-0.864781 # DEPENDENCYPART_NEXTSIBL
(15,21),(15,24),-0.251441 # DEPENDENCYPART_NEXTSIBL
(15,21),(15,25),-0.0657154 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,23),(15,24),-0.591143 # DEPENDENCYPART_NEXTSIBL
(15,23),(15,25),-0.53969 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,24),(15,25),-1.76636 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,15),(15,14),-1.86784 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,13),-0.473625 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,12),-0.450941 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,11),-0.488115 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,10),-0.308502 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,9),-0.434608 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,8),-0.591861 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,7),-0.384916 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,5),-0.60163 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,4),-1.62799 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,3),-0.328583 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,2),-0.426722 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,1),-1.27662 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,-1),-0.808045 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(15,14),(15,13),-0.340358 # DEPENDENCYPART_NEXTSIBL
(15,14),(15,12),-0.578429 # DEPENDENCYPART_NEXTSIBL
(15,14),(15,11),-0.366059 # DEPENDENCYPART_NEXTSIBL
(15,14),(15,10),-0.425796 # DEPENDENCYPART_NEXTSIBL
(15,14),(15,9),0.0674495 # DEPENDENCYPART_NEXTSIBL
(15,14),(15,8),-0.754056 # DEPENDENCYPART_NEXTSIBL
(15,14),(15,7),-0.676865 # DEPENDENCYPART_NEXTSIBL
(15,14),(15,5),-0.0945471 # DEPENDENCYPART_NEXTSIBL
(15,14),(15,4),-1.14418 # DEPENDENCYPART_NEXTSIBL
(15,14),(15,3),-0.656839 # DEPENDENCYPART_NEXTSIBL
(15,14),(15,2),-0.782477 # DEPENDENCYPART_NEXTSIBL
(15,14),(15,1),-1.08827 # DEPENDENCYPART_NEXTSIBL
(15,14),(15,-1),-0.642906 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,13),(15,12),-0.664391 # DEPENDENCYPART_NEXTSIBL
(15,13),(15,11),-0.538226 # DEPENDENCYPART_NEXTSIBL
(15,13),(15,10),-0.681823 # DEPENDENCYPART_NEXTSIBL
(15,13),(15,9),-0.942451 # DEPENDENCYPART_NEXTSIBL
(15,13),(15,8),-1.20201 # DEPENDENCYPART_NEXTSIBL
(15,13),(15,7),-1.3649 # DEPENDENCYPART_NEXTSIBL
(15,13),(15,5),-1.14468 # DEPENDENCYPART_NEXTSIBL
(15,13),(15,4),-1.94083 # DEPENDENCYPART_NEXTSIBL
(15,13),(15,3),-1.39537 # DEPENDENCYPART_NEXTSIBL
(15,13),(15,2),-1.37279 # DEPENDENCYPART_NEXTSIBL
(15,13),(15,1),-1.29024 # DEPENDENCYPART_NEXTSIBL
(15,13),(15,-1),-0.751265 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,12),(15,11),-1.04061 # DEPENDENCYPART_NEXTSIBL
(15,12),(15,10),-1.01696 # DEPENDENCYPART_NEXTSIBL
(15,12),(15,9),-1.40549 # DEPENDENCYPART_NEXTSIBL
(15,12),(15,8),-1.71303 # DEPENDENCYPART_NEXTSIBL
(15,12),(15,7),-1.97182 # DEPENDENCYPART_NEXTSIBL
(15,12),(15,5),-1.81551 # DEPENDENCYPART_NEXTSIBL
(15,12),(15,4),-2.57887 # DEPENDENCYPART_NEXTSIBL
(15,12),(15,3),-1.95454 # DEPENDENCYPART_NEXTSIBL
(15,12),(15,2),-1.83692 # DEPENDENCYPART_NEXTSIBL
(15,12),(15,1),-1.88181 # DEPENDENCYPART_NEXTSIBL
(15,12),(15,-1),-0.748095 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,11),(15,10),-0.56553 # DEPENDENCYPART_NEXTSIBL
(15,11),(15,9),-1.22838 # DEPENDENCYPART_NEXTSIBL
(15,11),(15,8),-1.30024 # DEPENDENCYPART_NEXTSIBL
(15,11),(15,7),-1.26462 # DEPENDENCYPART_NEXTSIBL
(15,11),(15,5),-1.48466 # DEPENDENCYPART_NEXTSIBL
(15,11),(15,4),-1.3417 # DEPENDENCYPART_NEXTSIBL
(15,11),(15,3),-1.23977 # DEPENDENCYPART_NEXTSIBL
(15,11),(15,2),-1.27588 # DEPENDENCYPART_NEXTSIBL
(15,11),(15,1),-1.27918 # DEPENDENCYPART_NEXTSIBL
(15,11),(15,-1),-0.793035 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,10),(15,9),-1.05084 # DEPENDENCYPART_NEXTSIBL
(15,10),(15,8),-0.942377 # DEPENDENCYPART_NEXTSIBL
(15,10),(15,7),-1.00114 # DEPENDENCYPART_NEXTSIBL
(15,10),(15,5),-1.14897 # DEPENDENCYPART_NEXTSIBL
(15,10),(15,4),-1.40087 # DEPENDENCYPART_NEXTSIBL
(15,10),(15,3),-1.10683 # DEPENDENCYPART_NEXTSIBL
(15,10),(15,2),-1.02832 # DEPENDENCYPART_NEXTSIBL
(15,10),(15,1),-1.02903 # DEPENDENCYPART_NEXTSIBL
(15,10),(15,-1),-0.830633 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,9),(15,8),-0.860622 # DEPENDENCYPART_NEXTSIBL
(15,9),(15,7),-1.07964 # DEPENDENCYPART_NEXTSIBL
(15,9),(15,5),-1.16035 # DEPENDENCYPART_NEXTSIBL
(15,9),(15,4),-0.786484 # DEPENDENCYPART_NEXTSIBL
(15,9),(15,3),-1.12806 # DEPENDENCYPART_NEXTSIBL
(15,9),(15,2),-1.03933 # DEPENDENCYPART_NEXTSIBL
(15,9),(15,1),-0.93615 # DEPENDENCYPART_NEXTSIBL
(15,9),(15,-1),-1.03379 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,8),(15,7),-0.690143 # DEPENDENCYPART_NEXTSIBL
(15,8),(15,5),-0.884525 # DEPENDENCYPART_NEXTSIBL
(15,8),(15,4),-0.970925 # DEPENDENCYPART_NEXTSIBL
(15,8),(15,3),-1.08507 # DEPENDENCYPART_NEXTSIBL
(15,8),(15,2),-1.12143 # DEPENDENCYPART_NEXTSIBL
(15,8),(15,1),-1.15938 # DEPENDENCYPART_NEXTSIBL
(15,8),(15,-1),-0.649138 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,7),(15,5),-0.566217 # DEPENDENCYPART_NEXTSIBL
(15,7),(15,4),-1.03539 # DEPENDENCYPART_NEXTSIBL
(15,7),(15,3),-1.44885 # DEPENDENCYPART_NEXTSIBL
(15,7),(15,2),-1.48598 # DEPENDENCYPART_NEXTSIBL
(15,7),(15,1),-1.18235 # DEPENDENCYPART_NEXTSIBL
(15,7),(15,-1),-0.927005 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,5),(15,4),-0.349913 # DEPENDENCYPART_NEXTSIBL
(15,5),(15,3),-0.724049 # DEPENDENCYPART_NEXTSIBL
(15,5),(15,2),-0.895533 # DEPENDENCYPART_NEXTSIBL
(15,5),(15,1),-1.09864 # DEPENDENCYPART_NEXTSIBL
(15,5),(15,-1),-1.08788 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,4),(15,3),-0.280076 # DEPENDENCYPART_NEXTSIBL
(15,4),(15,2),-0.826046 # DEPENDENCYPART_NEXTSIBL
(15,4),(15,1),-1.11644 # DEPENDENCYPART_NEXTSIBL
(15,4),(15,-1),-1.08738 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,3),(15,2),-0.63873 # DEPENDENCYPART_NEXTSIBL
(15,3),(15,1),-0.250695 # DEPENDENCYPART_NEXTSIBL
(15,3),(15,-1),-0.808534 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,2),(15,1),-0.588659 # DEPENDENCYPART_NEXTSIBL
(15,2),(15,-1),-0.818716 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,1),(15,-1),-0.250914 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,16),(16,17),-1.61339 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,18),-0.927122 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,19),-0.656797 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,25),-0.292447 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(16,17),(16,18),-1.23203 # DEPENDENCYPART_NEXTSIBL
(16,17),(16,19),-1.46278 # DEPENDENCYPART_NEXTSIBL
(16,17),(16,25),-0.630683 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,18),(16,19),-1.06881 # DEPENDENCYPART_NEXTSIBL
(16,18),(16,25),-0.813214 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,19),(16,25),-0.97777 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,16),(16,-1),-0.300443 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(17,17),(17,18),-1.01369 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(17,17),(17,21),-0.208195 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(17,17),(17,25),-0.250404 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(17,18),(17,21),-0.970809 # DEPENDENCYPART_NEXTSIBL
(17,18),(17,25),-0.857382 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(17,21),(17,25),-0.151722 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(17,17),(17,16),-1.46895 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(17,17),(17,-1),-0.384296 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(17,16),(17,-1),-0.271478 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,18),(18,20),-0.436988 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,21),-0.194253 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,23),-0.496989 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,25),-0.492878 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(18,20),(18,21),-0.918254 # DEPENDENCYPART_NEXTSIBL
(18,20),(18,23),-0.816642 # DEPENDENCYPART_NEXTSIBL
(18,20),(18,25),-0.50795 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,21),(18,23),-0.860778 # DEPENDENCYPART_NEXTSIBL
(18,21),(18,25),-0.153446 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,23),(18,25),-0.59909 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,18),(18,17),-1.05186 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,16),-1.44599 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,-1),-0.472628 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(18,17),(18,16),-0.371996 # DEPENDENCYPART_NEXTSIBL
(18,17),(18,-1),-0.0344892 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,16),(18,-1),-0.264245 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,19),(19,20),-0.390525 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(19,19),(19,21),-0.120985 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(19,19),(19,23),-0.532038 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(19,19),(19,25),-0.549234 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(19,20),(19,21),-0.841695 # DEPENDENCYPART_NEXTSIBL
(19,20),(19,23),-0.791193 # DEPENDENCYPART_NEXTSIBL
(19,20),(19,25),-0.525015 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,21),(19,23),-0.829696 # DEPENDENCYPART_NEXTSIBL
(19,21),(19,25),-0.130629 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,23),(19,25),-0.530703 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,19),(19,18),-0.914472 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(19,19),(19,17),-1.15953 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(19,19),(19,16),-1.36216 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(19,19),(19,15),-0.469641 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(19,19),(19,-1),-0.571635 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(19,18),(19,17),-0.144635 # DEPENDENCYPART_NEXTSIBL
(19,18),(19,16),-0.655793 # DEPENDENCYPART_NEXTSIBL
(19,18),(19,15),-0.801956 # DEPENDENCYPART_NEXTSIBL
(19,18),(19,-1),-0.668221 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,17),(19,16),-0.32447 # DEPENDENCYPART_NEXTSIBL
(19,17),(19,15),-0.835939 # DEPENDENCYPART_NEXTSIBL
(19,17),(19,-1),0.207609 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,16),(19,15),-0.898382 # DEPENDENCYPART_NEXTSIBL
(19,16),(19,-1),-0.270454 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,15),(19,-1),-0.530178 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,20),(20,21),-0.0673652 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,23),-0.285397 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,24),-1.38097 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,25),-0.977275 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(20,21),(20,23),-0.829689 # DEPENDENCYPART_NEXTSIBL
(20,21),(20,24),-0.145566 # DEPENDENCYPART_NEXTSIBL
(20,21),(20,25),0.0296856 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,23),(20,24),-0.554262 # DEPENDENCYPART_NEXTSIBL
(20,23),(20,25),-0.459666 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,24),(20,25),-1.67918 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,20),(20,19),-0.21732 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,18),-0.953282 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,17),-1.24067 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,16),-1.29579 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,15),-0.512515 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,14),-1.86426 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,13),-0.407755 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,11),-0.472043 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,10),-0.287992 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,9),-0.445508 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,8),-0.571484 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,7),-0.319776 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,5),-0.598839 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,4),-1.62442 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,3),-0.263445 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,2),-0.362413 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,1),-1.31685 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,-1),-0.888883 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(20,19),(20,18),-0.500464 # DEPENDENCYPART_NEXTSIBL
(20,19),(20,17),-0.628287 # DEPENDENCYPART_NEXTSIBL
(20,19),(20,16),-0.0408105 # DEPENDENCYPART_NEXTSIBL
(20,19),(20,15),-0.939671 # DEPENDENCYPART_NEXTSIBL
(20,19),(20,14),-1.16009 # DEPENDENCYPART_NEXTSIBL
(20,19),(20,13),-1.12586 # DEPENDENCYPART_NEXTSIBL
(20,19),(20,11),-1.42842 # DEPENDENCYPART_NEXTSIBL
(20,19),(20,10),-1.01702 # DEPENDENCYPART_NEXTSIBL
(20,19),(20,9),-0.628922 # DEPENDENCYPART_NEXTSIBL
(20,19),(20,8),-1.78504 # DEPENDENCYPART_NEXTSIBL
(20,19),(20,7),-1.38347 # DEPENDENCYPART_NEXTSIBL
(20,19),(20,5),-1.10835 # DEPENDENCYPART_NEXTSIBL
(20,19),(20,4),-2.35303 # DEPENDENCYPART_NEXTSIBL
(20,19),(20,3),-1.18423 # DEPENDENCYPART_NEXTSIBL
(20,19),(20,2),-1.25327 # DEPENDENCYPART_NEXTSIBL
(20,19),(20,1),-1.46778 # DEPENDENCYPART_NEXTSIBL
(20,19),(20,-1),-0.835899 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,18),(20,17),-0.460471 # DEPENDENCYPART_NEXTSIBL
(20,18),(20,16),-0.480318 # DEPENDENCYPART_NEXTSIBL
(20,18),(20,15),-1.0065 # DEPENDENCYPART_NEXTSIBL
(20,18),(20,14),-1.04456 # DEPENDENCYPART_NEXTSIBL
(20,18),(20,13),-1.14149 # DEPENDENCYPART_NEXTSIBL
(20,18),(20,11),-1.27542 # DEPENDENCYPART_NEXTSIBL
(20,18),(20,10),-1.19007 # DEPENDENCYPART_NEXTSIBL
(20,18),(20,9),-1.15777 # DEPENDENCYPART_NEXTSIBL
(20,18),(20,8),-1.20733 # DEPENDENCYPART_NEXTSIBL
(20,18),(20,7),-1.34902 # DEPENDENCYPART_NEXTSIBL
(20,18),(20,5),-1.35952 # DEPENDENCYPART_NEXTSIBL
(20,18),(20,4),-1.33391 # DEPENDENCYPART_NEXTSIBL
(20,18),(20,3),-1.21082 # DEPENDENCYPART_NEXTSIBL
(20,18),(20,2),-1.29223 # DEPENDENCYPART_NEXTSIBL
(20,18),(20,1),-0.949211 # DEPENDENCYPART_NEXTSIBL
(20,18),(20,-1),-0.852836 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,17),(20,16),-0.303543 # DEPENDENCYPART_NEXTSIBL
(20,17),(20,15),-1.10131 # DEPENDENCYPART_NEXTSIBL
(20,17),(20,14),-1.04658 # DEPENDENCYPART_NEXTSIBL
(20,17),(20,13),-1.19804 # DEPENDENCYPART_NEXTSIBL
(20,17),(20,11),-1.1025 # DEPENDENCYPART_NEXTSIBL
(20,17),(20,10),-1.11119 # DEPENDENCYPART_NEXTSIBL
(20,17),(20,9),-1.15571 # DEPENDENCYPART_NEXTSIBL
(20,17),(20,8),-1.02971 # DEPENDENCYPART_NEXTSIBL
(20,17),(20,7),-1.03214 # DEPENDENCYPART_NEXTSIBL
(20,17),(20,5),-1.06671 # DEPENDENCYPART_NEXTSIBL
(20,17),(20,4),-1.34291 # DEPENDENCYPART_NEXTSIBL
(20,17),(20,3),-0.971416 # DEPENDENCYPART_NEXTSIBL
(20,17),(20,2),-0.910158 # DEPENDENCYPART_NEXTSIBL
(20,17),(20,1),-0.797436 # DEPENDENCYPART_NEXTSIBL
(20,17),(20,-1),-0.238166 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,16),(20,15),-0.78183 # DEPENDENCYPART_NEXTSIBL
(20,16),(20,14),-0.527797 # DEPENDENCYPART_NEXTSIBL
(20,16),(20,13),-0.9769 # DEPENDENCYPART_NEXTSIBL
(20,16),(20,11),-1.12819 # DEPENDENCYPART_NEXTSIBL
(20,16),(20,10),-1.06006 # DEPENDENCYPART_NEXTSIBL
(20,16),(20,9),-1.18121 # DEPENDENCYPART_NEXTSIBL
(20,16),(20,8),-1.28973 # DEPENDENCYPART_NEXTSIBL
(20,16),(20,7),-1.09664 # DEPENDENCYPART_NEXTSIBL
(20,16),(20,5),-1.29356 # DEPENDENCYPART_NEXTSIBL
(20,16),(20,4),-1.10077 # DEPENDENCYPART_NEXTSIBL
(20,16),(20,3),-1.09781 # DEPENDENCYPART_NEXTSIBL
(20,16),(20,2),-1.11327 # DEPENDENCYPART_NEXTSIBL
(20,16),(20,1),-1.11385 # DEPENDENCYPART_NEXTSIBL
(20,16),(20,-1),0.126194 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,15),(20,14),-0.61726 # DEPENDENCYPART_NEXTSIBL
(20,15),(20,13),-1.01244 # DEPENDENCYPART_NEXTSIBL
(20,15),(20,11),-1.07342 # DEPENDENCYPART_NEXTSIBL
(20,15),(20,10),-1.12405 # DEPENDENCYPART_NEXTSIBL
(20,15),(20,9),-1.29329 # DEPENDENCYPART_NEXTSIBL
(20,15),(20,8),-1.4581 # DEPENDENCYPART_NEXTSIBL
(20,15),(20,7),-1.17953 # DEPENDENCYPART_NEXTSIBL
(20,15),(20,5),-1.55303 # DEPENDENCYPART_NEXTSIBL
(20,15),(20,4),-1.02823 # DEPENDENCYPART_NEXTSIBL
(20,15),(20,3),-0.976829 # DEPENDENCYPART_NEXTSIBL
(20,15),(20,2),-0.958192 # DEPENDENCYPART_NEXTSIBL
(20,15),(20,1),-1.01502 # DEPENDENCYPART_NEXTSIBL
(20,15),(20,-1),-0.598616 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,14),(20,13),-0.372829 # DEPENDENCYPART_NEXTSIBL
(20,14),(20,11),-0.279594 # DEPENDENCYPART_NEXTSIBL
(20,14),(20,10),-0.415831 # DEPENDENCYPART_NEXTSIBL
(20,14),(20,9),0.0497018 # DEPENDENCYPART_NEXTSIBL
(20,14),(20,8),-0.673291 # DEPENDENCYPART_NEXTSIBL
(20,14),(20,7),-0.710263 # DEPENDENCYPART_NEXTSIBL
