# _root_ UAL , which closed on the Big Board Monday at $ 178.375 a share , traded in the third market afterward as low as $ 158 a share .
#goldHeads=16,1,4,1,4,8,8,5,4,4,12,10,14,12,1,0,16,20,20,17,16,16,22,22,26,24,28,26,16,
#predictedHeads=16,1,4,1,4,9,9,9,5,4,12,10,14,12,1,0,16,20,20,17,16,21,21,23,26,24,28,26,16,
(5,8),(8,12),(8,14),-0.0155594 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,12),(8,15),-0.0513999 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,12),(8,30),1.07691e-05 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,8),(8,14),(8,15),-0.054102 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,14),(8,30),-0.0865401 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,8),(8,15),(8,30),-0.0231184 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,8),(8,8),(8,7),0.180329 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,6),0.0584839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,-1),-0.174545 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,8),(8,7),(8,6),0.0933781 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,7),(8,-1),-0.111729 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,8),(8,6),(8,-1),-0.050684 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,9),(9,9),(9,10),-0.0889091 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,9),(9,9),(9,11),-0.00864056 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,9),(9,9),(9,12),0.0231325 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,9),(9,9),(9,14),-0.132856 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,9),(9,9),(9,15),-0.0416811 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,9),(9,9),(9,16),0.0090856 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,9),(9,9),(9,17),-0.11135 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,9),(9,9),(9,20),-0.141852 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,9),(9,9),(9,29),-0.0448892 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,9),(9,9),(9,30),0.176884 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,9),(9,10),(9,11),-0.0204269 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,10),(9,12),-0.0270134 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,10),(9,14),-0.0267423 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,10),(9,15),0.00498054 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,10),(9,16),-0.0105648 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,10),(9,17),0.0599698 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,10),(9,20),-0.0263633 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,10),(9,29),-0.0218931 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,10),(9,30),-0.0497035 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,9),(9,11),(9,12),-0.0217108 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,11),(9,14),-0.019998 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,11),(9,15),-0.0213215 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,11),(9,16),-0.022595 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,11),(9,17),0.00230389 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,11),(9,20),-0.019998 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,11),(9,29),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,11),(9,30),-0.0236326 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,9),(9,12),(9,14),-0.0155594 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,12),(9,15),-0.0519296 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,12),(9,16),-0.0164291 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,12),(9,17),-0.0216637 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,12),(9,20),-0.0208053 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,12),(9,29),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,12),(9,30),-2.36705e-05 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,9),(9,14),(9,15),-0.0587903 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,14),(9,16),-0.0318564 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,14),(9,17),-0.0131633 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,14),(9,20),-0.0285028 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,14),(9,29),-0.020809 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,14),(9,30),-0.0874981 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,9),(9,15),(9,16),0.0293982 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,15),(9,17),0.0235885 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,15),(9,20),-0.0795231 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,15),(9,29),-0.0216774 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,15),(9,30),-0.0266977 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,9),(9,16),(9,17),-0.0243062 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,16),(9,20),-0.0223454 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,16),(9,29),-0.0203657 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,16),(9,30),-0.0240297 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,9),(9,17),(9,20),-0.0279466 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,17),(9,29),-0.0218931 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,17),(9,30),-0.00461753 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,9),(9,20),(9,29),-0.020809 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,20),(9,30),-0.0945049 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,9),(9,29),(9,30),-0.0413267 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,9),(9,9),(9,8),0.153244 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,9),(9,9),(9,7),0.160697 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,9),(9,9),(9,6),0.0496982 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,9),(9,9),(9,1),-0.150048 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,9),(9,9),(9,-1),-0.1723 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,9),(9,8),(9,7),0.0926737 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,8),(9,6),0.0841793 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,8),(9,1),-0.147983 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,8),(9,-1),-0.112071 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,9),(9,7),(9,6),0.0864326 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,7),(9,1),-0.147983 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,7),(9,-1),-0.115483 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,9),(9,6),(9,1),-0.144789 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,6),(9,-1),-0.0706882 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,9),(9,1),(9,-1),-0.116269 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,10),(10,10),(10,11),-0.0326063 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,10),(10,10),(10,12),0.0116705 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,10),(10,10),(10,14),-0.0669799 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,10),(10,10),(10,15),-0.0199424 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,10),(10,10),(10,16),-0.0288199 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,10),(10,10),(10,21),-0.0143966 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,10),(10,10),(10,30),0.0255685 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,10),(10,11),(10,12),-0.0217062 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,11),(10,14),-0.0249215 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,11),(10,15),-0.0194426 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,11),(10,16),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,11),(10,21),-0.0194452 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,11),(10,30),-0.012034 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,10),(10,12),(10,14),-0.00905304 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,12),(10,15),-0.0196972 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,12),(10,16),-0.0200322 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,12),(10,21),-0.017523 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,12),(10,30),-0.0315859 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,10),(10,14),(10,15),-0.0136798 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,14),(10,16),-0.0197688 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,14),(10,21),-0.0212255 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,14),(10,30),-0.0351941 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,10),(10,15),(10,16),-0.0200634 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,15),(10,21),-0.0209094 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,15),(10,30),-0.00955594 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,10),(10,16),(10,21),-0.019443 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,16),(10,30),-0.0301889 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,10),(10,21),(10,30),-0.0154484 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,10),(10,10),(10,5),0.106362 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,10),(10,10),(10,-1),-0.0959233 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,10),(10,5),(10,-1),-0.152295 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,11),(11,11),(11,12),-0.0513964 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,11),(11,11),(11,13),-0.0194411 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,11),(11,11),(11,14),-0.0249029 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,11),(11,11),(11,15),-0.0194406 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,11),(11,11),(11,16),-0.0207254 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,11),(11,11),(11,17),-0.0203325 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,11),(11,11),(11,20),-0.0248744 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,11),(11,11),(11,30),-0.0372175 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,11),(11,12),(11,13),-0.0136597 # DEPENDENCYPART_GRANDSIBL
(5,11),(11,12),(11,14),-0.0127035 # DEPENDENCYPART_GRANDSIBL
(5,11),(11,12),(11,15),-0.0527874 # DEPENDENCYPART_GRANDSIBL
(5,11),(11,12),(11,16),-0.0165661 # DEPENDENCYPART_GRANDSIBL
(5,11),(11,12),(11,17),-0.0328022 # DEPENDENCYPART_GRANDSIBL
(5,11),(11,12),(11,20),-0.0201336 # DEPENDENCYPART_GRANDSIBL
(5,11),(11,12),(11,30),-0.0162163 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,11),(11,13),(11,14),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(5,11),(11,13),(11,15),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(5,11),(11,13),(11,16),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(5,11),(11,13),(11,17),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(5,11),(11,13),(11,20),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(5,11),(11,13),(11,30),-0.0115884 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,11),(11,14),(11,15),-0.0215915 # DEPENDENCYPART_GRANDSIBL
(5,11),(11,14),(11,16),-0.0110619 # DEPENDENCYPART_GRANDSIBL
(5,11),(11,14),(11,17),-0.0151491 # DEPENDENCYPART_GRANDSIBL
(5,11),(11,14),(11,20),-0.0202416 # DEPENDENCYPART_GRANDSIBL
(5,11),(11,14),(11,30),-0.0270348 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,11),(11,15),(11,16),-0.0114978 # DEPENDENCYPART_GRANDSIBL
(5,11),(11,15),(11,17),-0.0292936 # DEPENDENCYPART_GRANDSIBL
(5,11),(11,15),(11,20),-0.0271242 # DEPENDENCYPART_GRANDSIBL
(5,11),(11,15),(11,30),-0.0467628 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,11),(11,16),(11,17),-0.0234411 # DEPENDENCYPART_GRANDSIBL
(5,11),(11,16),(11,20),-0.0194487 # DEPENDENCYPART_GRANDSIBL
(5,11),(11,16),(11,30),-0.00772654 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,11),(11,17),(11,20),-0.017209 # DEPENDENCYPART_GRANDSIBL
(5,11),(11,17),(11,30),-0.071866 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,11),(11,20),(11,30),-0.0315292 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,11),(11,11),(11,10),0.12476 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,11),(11,11),(11,9),0.12993 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,11),(11,11),(11,6),0.129874 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,11),(11,11),(11,-1),-0.344009 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,11),(11,10),(11,9),0.109283 # DEPENDENCYPART_GRANDSIBL
(5,11),(11,10),(11,6),0.109535 # DEPENDENCYPART_GRANDSIBL
(5,11),(11,10),(11,-1),-0.141516 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,11),(11,9),(11,6),0.109534 # DEPENDENCYPART_GRANDSIBL
(5,11),(11,9),(11,-1),-0.113019 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,11),(11,6),(11,-1),-0.115485 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,14),(14,14),(14,15),-0.0442015 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,14),(14,14),(14,16),0.0154076 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,14),(14,14),(14,20),-0.142045 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,14),(14,14),(14,30),0.18204 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,14),(14,15),(14,16),0.0293875 # DEPENDENCYPART_GRANDSIBL
(5,14),(14,15),(14,20),-0.0783106 # DEPENDENCYPART_GRANDSIBL
(5,14),(14,15),(14,30),-0.0251296 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,14),(14,16),(14,20),-0.0223454 # DEPENDENCYPART_GRANDSIBL
(5,14),(14,16),(14,30),-0.0148881 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,14),(14,20),(14,30),-0.0957912 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,14),(14,14),(14,13),0.0395152 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,14),(14,14),(14,12),0.085171 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,14),(14,14),(14,11),0.118304 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,14),(14,14),(14,10),0.158253 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,14),(14,14),(14,9),0.170741 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,14),(14,14),(14,8),0.173039 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,14),(14,14),(14,7),0.180491 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,14),(14,14),(14,6),0.0488935 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,14),(14,14),(14,5),0.140803 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,14),(14,14),(14,-1),-0.1736 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,14),(14,13),(14,12),0.101983 # DEPENDENCYPART_GRANDSIBL
(5,14),(14,13),(14,11),0.104755 # DEPENDENCYPART_GRANDSIBL
(5,14),(14,13),(14,10),0.0987362 # DEPENDENCYPART_GRANDSIBL
(5,14),(14,13),(14,9),0.0814236 # DEPENDENCYPART_GRANDSIBL
(5,14),(14,13),(14,8),0.0814236 # DEPENDENCYPART_GRANDSIBL
(5,14),(14,13),(14,7),0.0814236 # DEPENDENCYPART_GRANDSIBL
(5,14),(14,13),(14,6),0.0990123 # DEPENDENCYPART_GRANDSIBL
(5,14),(14,13),(14,5),0.0997432 # DEPENDENCYPART_GRANDSIBL
(5,14),(14,13),(14,-1),-0.115929 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,14),(14,12),(14,11),0.0793633 # DEPENDENCYPART_GRANDSIBL
(5,14),(14,12),(14,10),0.0993162 # DEPENDENCYPART_GRANDSIBL
(5,14),(14,12),(14,9),0.130549 # DEPENDENCYPART_GRANDSIBL
(5,14),(14,12),(14,8),0.131594 # DEPENDENCYPART_GRANDSIBL
(5,14),(14,12),(14,7),0.126424 # DEPENDENCYPART_GRANDSIBL
(5,14),(14,12),(14,6),0.146112 # DEPENDENCYPART_GRANDSIBL
(5,14),(14,12),(14,5),0.100976 # DEPENDENCYPART_GRANDSIBL
(5,14),(14,12),(14,-1),-0.187751 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,14),(14,11),(14,10),0.107271 # DEPENDENCYPART_GRANDSIBL
(5,14),(14,11),(14,9),0.107411 # DEPENDENCYPART_GRANDSIBL
(5,14),(14,11),(14,8),0.107411 # DEPENDENCYPART_GRANDSIBL
(5,14),(14,11),(14,7),0.107411 # DEPENDENCYPART_GRANDSIBL
(5,14),(14,11),(14,6),0.111048 # DEPENDENCYPART_GRANDSIBL
(5,14),(14,11),(14,5),0.107384 # DEPENDENCYPART_GRANDSIBL
(5,14),(14,11),(14,-1),-0.20486 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,14),(14,10),(14,9),0.0936485 # DEPENDENCYPART_GRANDSIBL
(5,14),(14,10),(14,8),0.0943557 # DEPENDENCYPART_GRANDSIBL
(5,14),(14,10),(14,7),0.0943557 # DEPENDENCYPART_GRANDSIBL
(5,14),(14,10),(14,6),0.101889 # DEPENDENCYPART_GRANDSIBL
(5,14),(14,10),(14,5),0.10879 # DEPENDENCYPART_GRANDSIBL
(5,14),(14,10),(14,-1),-0.108212 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,14),(14,9),(14,8),0.0986068 # DEPENDENCYPART_GRANDSIBL
(5,14),(14,9),(14,7),0.0977244 # DEPENDENCYPART_GRANDSIBL
(5,14),(14,9),(14,6),0.0891262 # DEPENDENCYPART_GRANDSIBL
(5,14),(14,9),(14,5),0.108847 # DEPENDENCYPART_GRANDSIBL
(5,14),(14,9),(14,-1),-0.113844 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,14),(14,8),(14,7),0.100175 # DEPENDENCYPART_GRANDSIBL
(5,14),(14,8),(14,6),0.0902973 # DEPENDENCYPART_GRANDSIBL
(5,14),(14,8),(14,5),0.108849 # DEPENDENCYPART_GRANDSIBL
(5,14),(14,8),(14,-1),-0.110184 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,14),(14,7),(14,6),0.0925506 # DEPENDENCYPART_GRANDSIBL
(5,14),(14,7),(14,5),0.108849 # DEPENDENCYPART_GRANDSIBL
(5,14),(14,7),(14,-1),-0.113596 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,14),(14,6),(14,5),0.102026 # DEPENDENCYPART_GRANDSIBL
(5,14),(14,6),(14,-1),-0.0599946 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,14),(14,5),(14,-1),-0.131821 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,15),(15,15),(15,30),-0.0425845 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,15),(15,15),(15,-1),-0.168652 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,16),(16,16),(16,17),-0.0239844 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,16),(16,16),(16,18),-0.0201885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,16),(16,16),(16,19),-0.0357842 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,16),(16,16),(16,20),0.0416772 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,16),(16,16),(16,21),-0.0559783 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,16),(16,16),(16,22),-0.0491908 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,16),(16,16),(16,23),-0.0382573 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,16),(16,16),(16,24),-0.023953 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,16),(16,16),(16,28),0.0508563 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,16),(16,16),(16,29),-0.0220538 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,16),(16,16),(16,30),-0.00963325 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,16),(16,17),(16,18),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(5,16),(16,17),(16,19),-0.019464 # DEPENDENCYPART_GRANDSIBL
(5,16),(16,17),(16,20),-0.0268276 # DEPENDENCYPART_GRANDSIBL
(5,16),(16,17),(16,21),-0.0178128 # DEPENDENCYPART_GRANDSIBL
(5,16),(16,17),(16,22),-0.0196115 # DEPENDENCYPART_GRANDSIBL
(5,16),(16,17),(16,23),-0.019464 # DEPENDENCYPART_GRANDSIBL
(5,16),(16,17),(16,24),-0.0208198 # DEPENDENCYPART_GRANDSIBL
(5,16),(16,17),(16,28),-0.0279625 # DEPENDENCYPART_GRANDSIBL
(5,16),(16,17),(16,29),-0.0194477 # DEPENDENCYPART_GRANDSIBL
(5,16),(16,17),(16,30),-0.00371412 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,16),(16,18),(16,19),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(5,16),(16,18),(16,20),-0.0170662 # DEPENDENCYPART_GRANDSIBL
(5,16),(16,18),(16,21),-0.0194409 # DEPENDENCYPART_GRANDSIBL
(5,16),(16,18),(16,22),-0.0194409 # DEPENDENCYPART_GRANDSIBL
(5,16),(16,18),(16,23),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(5,16),(16,18),(16,24),-0.0199566 # DEPENDENCYPART_GRANDSIBL
(5,16),(16,18),(16,28),-0.0170662 # DEPENDENCYPART_GRANDSIBL
(5,16),(16,18),(16,29),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(5,16),(16,18),(16,30),-0.0207863 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,16),(16,19),(16,20),-0.0214828 # DEPENDENCYPART_GRANDSIBL
(5,16),(16,19),(16,21),-0.0217277 # DEPENDENCYPART_GRANDSIBL
(5,16),(16,19),(16,22),-0.0221861 # DEPENDENCYPART_GRANDSIBL
(5,16),(16,19),(16,23),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(5,16),(16,19),(16,24),-0.0175988 # DEPENDENCYPART_GRANDSIBL
(5,16),(16,19),(16,28),-0.0214828 # DEPENDENCYPART_GRANDSIBL
(5,16),(16,19),(16,29),-0.0196837 # DEPENDENCYPART_GRANDSIBL
(5,16),(16,19),(16,30),-0.0413329 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,16),(16,20),(16,21),-0.0133274 # DEPENDENCYPART_GRANDSIBL
(5,16),(16,20),(16,22),-0.00720972 # DEPENDENCYPART_GRANDSIBL
(5,16),(16,20),(16,23),-0.0210978 # DEPENDENCYPART_GRANDSIBL
(5,16),(16,20),(16,24),0.016236 # DEPENDENCYPART_GRANDSIBL
(5,16),(16,20),(16,28),-0.0279254 # DEPENDENCYPART_GRANDSIBL
(5,16),(16,20),(16,29),-0.0229229 # DEPENDENCYPART_GRANDSIBL
(5,16),(16,20),(16,30),-0.0642007 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,16),(16,21),(16,22),-0.0165258 # DEPENDENCYPART_GRANDSIBL
(5,16),(16,21),(16,23),-0.0225433 # DEPENDENCYPART_GRANDSIBL
(5,16),(16,21),(16,24),-0.0132385 # DEPENDENCYPART_GRANDSIBL
(5,16),(16,21),(16,28),-0.025709 # DEPENDENCYPART_GRANDSIBL
(5,16),(16,21),(16,29),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(5,16),(16,21),(16,30),-0.0144781 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,16),(16,22),(16,23),-0.0225508 # DEPENDENCYPART_GRANDSIBL
(5,16),(16,22),(16,24),-0.0135294 # DEPENDENCYPART_GRANDSIBL
(5,16),(16,22),(16,28),-0.0262782 # DEPENDENCYPART_GRANDSIBL
(5,16),(16,22),(16,29),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(5,16),(16,22),(16,30),-0.00495325 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,16),(16,23),(16,24),-0.0180545 # DEPENDENCYPART_GRANDSIBL
(5,16),(16,23),(16,28),-0.0214828 # DEPENDENCYPART_GRANDSIBL
(5,16),(16,23),(16,29),-0.0196837 # DEPENDENCYPART_GRANDSIBL
(5,16),(16,23),(16,30),-0.0433531 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,16),(16,24),(16,28),-0.0260905 # DEPENDENCYPART_GRANDSIBL
(5,16),(16,24),(16,29),-0.0194454 # DEPENDENCYPART_GRANDSIBL
(5,16),(16,24),(16,30),0.0221381 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,16),(16,28),(16,29),-0.0229229 # DEPENDENCYPART_GRANDSIBL
(5,16),(16,28),(16,30),-0.0559497 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,16),(16,29),(16,30),-0.0256733 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,16),(16,16),(16,15),0.0948457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,16),(16,16),(16,14),0.112584 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,16),(16,16),(16,13),0.0892944 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,16),(16,16),(16,12),0.0955024 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,16),(16,16),(16,11),0.107398 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,16),(16,16),(16,10),0.119507 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
