# _root_ They note that he has adorned his office with five photos of George Bush , one of them featuring the First Dog , Millie .
#goldHeads=2,0,5,5,2,5,8,6,6,11,9,11,14,12,11,11,16,17,16,22,22,19,22,22,2,
#predictedHeads=2,0,5,5,2,5,8,6,6,11,9,11,14,12,6,19,16,17,6,22,22,19,22,22,2,
(8,16),(16,22),-0.336542 # DEPENDENCYPART_GRANDPAR
(8,16),(16,23),-0.080228 # DEPENDENCYPART_GRANDPAR
(8,16),(16,24),-0.365114 # DEPENDENCYPART_GRANDPAR
(8,16),(16,25),-0.670796 # DEPENDENCYPART_GRANDPAR
(8,17),(17,16),-0.0817112 # DEPENDENCYPART_GRANDPAR
(8,17),(17,18),0.116271 # DEPENDENCYPART_GRANDPAR
(8,17),(17,19),0.00489299 # DEPENDENCYPART_GRANDPAR
(8,17),(17,21),-0.0116956 # DEPENDENCYPART_GRANDPAR
(8,17),(17,22),0.0215283 # DEPENDENCYPART_GRANDPAR
(8,17),(17,23),0.126574 # DEPENDENCYPART_GRANDPAR
(8,17),(17,24),-0.00839444 # DEPENDENCYPART_GRANDPAR
(8,19),(19,9),0.228175 # DEPENDENCYPART_GRANDPAR
(8,19),(19,15),0.130781 # DEPENDENCYPART_GRANDPAR
(8,19),(19,16),-0.108057 # DEPENDENCYPART_GRANDPAR
(8,19),(19,17),-0.129142 # DEPENDENCYPART_GRANDPAR
(8,19),(19,18),-0.195371 # DEPENDENCYPART_GRANDPAR
(8,19),(19,20),-0.183325 # DEPENDENCYPART_GRANDPAR
(8,19),(19,21),-0.0812105 # DEPENDENCYPART_GRANDPAR
(8,19),(19,22),-0.0736319 # DEPENDENCYPART_GRANDPAR
(8,19),(19,23),0.0048042 # DEPENDENCYPART_GRANDPAR
(8,19),(19,24),-0.100083 # DEPENDENCYPART_GRANDPAR
(8,19),(19,25),-0.637856 # DEPENDENCYPART_GRANDPAR
(8,22),(22,18),-0.160597 # DEPENDENCYPART_GRANDPAR
(8,22),(22,19),0.0686014 # DEPENDENCYPART_GRANDPAR
(8,22),(22,20),0.072274 # DEPENDENCYPART_GRANDPAR
(8,22),(22,21),-0.172413 # DEPENDENCYPART_GRANDPAR
(8,22),(22,23),0.0935626 # DEPENDENCYPART_GRANDPAR
(8,22),(22,24),-0.12153 # DEPENDENCYPART_GRANDPAR
(8,22),(22,25),-0.490582 # DEPENDENCYPART_GRANDPAR
(8,24),(24,20),0.0702433 # DEPENDENCYPART_GRANDPAR
(8,24),(24,21),-0.176 # DEPENDENCYPART_GRANDPAR
(8,24),(24,22),-0.184656 # DEPENDENCYPART_GRANDPAR
(8,24),(24,23),0.0292601 # DEPENDENCYPART_GRANDPAR
(8,24),(24,25),-0.488884 # DEPENDENCYPART_GRANDPAR
(8,25),(25,24),-0.372131 # DEPENDENCYPART_GRANDPAR
(9,3),(3,4),-0.314313 # DEPENDENCYPART_GRANDPAR
(9,3),(3,5),-0.13372 # DEPENDENCYPART_GRANDPAR
(9,3),(3,6),-0.157118 # DEPENDENCYPART_GRANDPAR
(9,3),(3,8),-0.279688 # DEPENDENCYPART_GRANDPAR
(9,8),(8,2),-0.146443 # DEPENDENCYPART_GRANDPAR
(9,8),(8,3),0.125299 # DEPENDENCYPART_GRANDPAR
(9,8),(8,4),-0.203415 # DEPENDENCYPART_GRANDPAR
(9,8),(8,5),-0.117732 # DEPENDENCYPART_GRANDPAR
(9,8),(8,6),-0.129589 # DEPENDENCYPART_GRANDPAR
(9,8),(8,7),-0.19993 # DEPENDENCYPART_GRANDPAR
(9,8),(8,9),-1.12371 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,8),(8,10),0.375584 # DEPENDENCYPART_GRANDPAR
(9,8),(8,11),0.357855 # DEPENDENCYPART_GRANDPAR
(9,8),(8,12),-0.291419 # DEPENDENCYPART_GRANDPAR
(9,8),(8,14),0.163504 # DEPENDENCYPART_GRANDPAR
(9,8),(8,15),-0.081344 # DEPENDENCYPART_GRANDPAR
(9,8),(8,16),-0.582697 # DEPENDENCYPART_GRANDPAR
(9,8),(8,17),-0.770433 # DEPENDENCYPART_GRANDPAR
(9,8),(8,19),-0.218157 # DEPENDENCYPART_GRANDPAR
(9,8),(8,22),-0.735634 # DEPENDENCYPART_GRANDPAR
(9,8),(8,23),-0.440139 # DEPENDENCYPART_GRANDPAR
(9,8),(8,24),-0.690325 # DEPENDENCYPART_GRANDPAR
(9,8),(8,25),-0.730324 # DEPENDENCYPART_GRANDPAR
(9,10),(10,8),-0.780628 # DEPENDENCYPART_GRANDPAR
(9,10),(10,9),-0.757915 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,10),(10,11),0.770879 # DEPENDENCYPART_GRANDPAR
(9,10),(10,12),0.362163 # DEPENDENCYPART_GRANDPAR
(9,10),(10,14),0.581903 # DEPENDENCYPART_GRANDPAR
(9,10),(10,16),0.0726022 # DEPENDENCYPART_GRANDPAR
(9,10),(10,17),-0.11685 # DEPENDENCYPART_GRANDPAR
(9,10),(10,24),-0.277929 # DEPENDENCYPART_GRANDPAR
(9,11),(11,3),-0.503609 # DEPENDENCYPART_GRANDPAR
(9,11),(11,6),-0.775771 # DEPENDENCYPART_GRANDPAR
(9,11),(11,7),-0.803939 # DEPENDENCYPART_GRANDPAR
(9,11),(11,8),-0.790013 # DEPENDENCYPART_GRANDPAR
(9,11),(11,9),-0.781217 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,11),(11,10),0.875787 # DEPENDENCYPART_GRANDPAR
(9,11),(11,12),0.431087 # DEPENDENCYPART_GRANDPAR
(9,11),(11,13),0.220525 # DEPENDENCYPART_GRANDPAR
(9,11),(11,14),0.636818 # DEPENDENCYPART_GRANDPAR
(9,11),(11,15),0.686436 # DEPENDENCYPART_GRANDPAR
(9,11),(11,16),0.148424 # DEPENDENCYPART_GRANDPAR
(9,11),(11,17),-0.0479271 # DEPENDENCYPART_GRANDPAR
(9,11),(11,19),0.454608 # DEPENDENCYPART_GRANDPAR
(9,11),(11,22),-0.269989 # DEPENDENCYPART_GRANDPAR
(9,11),(11,23),0.327641 # DEPENDENCYPART_GRANDPAR
(9,11),(11,24),-0.226131 # DEPENDENCYPART_GRANDPAR
(9,11),(11,25),-0.170222 # DEPENDENCYPART_GRANDPAR
(9,12),(12,8),-0.829181 # DEPENDENCYPART_GRANDPAR
(9,12),(12,9),-0.828333 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,12),(12,10),0.75513 # DEPENDENCYPART_GRANDPAR
(9,12),(12,11),0.846066 # DEPENDENCYPART_GRANDPAR
(9,12),(12,13),0.210675 # DEPENDENCYPART_GRANDPAR
(9,12),(12,14),0.61818 # DEPENDENCYPART_GRANDPAR
(9,12),(12,15),0.499271 # DEPENDENCYPART_GRANDPAR
(9,12),(12,16),0.0567192 # DEPENDENCYPART_GRANDPAR
(9,12),(12,17),-0.101167 # DEPENDENCYPART_GRANDPAR
(9,13),(13,10),0.884624 # DEPENDENCYPART_GRANDPAR
(9,13),(13,14),0.633464 # DEPENDENCYPART_GRANDPAR
(9,13),(13,16),0.149866 # DEPENDENCYPART_GRANDPAR
(9,13),(13,17),-0.0569919 # DEPENDENCYPART_GRANDPAR
(9,13),(13,22),-0.272006 # DEPENDENCYPART_GRANDPAR
(9,14),(14,7),-0.803939 # DEPENDENCYPART_GRANDPAR
(9,14),(14,8),-0.788529 # DEPENDENCYPART_GRANDPAR
(9,14),(14,10),0.867975 # DEPENDENCYPART_GRANDPAR
(9,14),(14,11),0.94548 # DEPENDENCYPART_GRANDPAR
(9,14),(14,12),0.1298 # DEPENDENCYPART_GRANDPAR
(9,14),(14,13),0.338556 # DEPENDENCYPART_GRANDPAR
(9,14),(14,15),0.686885 # DEPENDENCYPART_GRANDPAR
(9,14),(14,16),0.145578 # DEPENDENCYPART_GRANDPAR
(9,14),(14,17),-0.0680042 # DEPENDENCYPART_GRANDPAR
(9,14),(14,19),0.451179 # DEPENDENCYPART_GRANDPAR
(9,14),(14,21),-0.755309 # DEPENDENCYPART_GRANDPAR
(9,14),(14,22),-0.257328 # DEPENDENCYPART_GRANDPAR
(9,14),(14,23),0.32809 # DEPENDENCYPART_GRANDPAR
(9,14),(14,24),-0.21347 # DEPENDENCYPART_GRANDPAR
(9,14),(14,25),-0.175336 # DEPENDENCYPART_GRANDPAR
(9,16),(16,9),-0.745618 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,16),(16,12),0.145171 # DEPENDENCYPART_GRANDPAR
(9,16),(16,13),0.380035 # DEPENDENCYPART_GRANDPAR
(9,16),(16,14),0.783463 # DEPENDENCYPART_GRANDPAR
(9,16),(16,15),0.587333 # DEPENDENCYPART_GRANDPAR
(9,16),(16,17),-0.0241654 # DEPENDENCYPART_GRANDPAR
(9,16),(16,19),0.412796 # DEPENDENCYPART_GRANDPAR
(9,16),(16,21),-0.758766 # DEPENDENCYPART_GRANDPAR
(9,16),(16,22),-0.26415 # DEPENDENCYPART_GRANDPAR
(9,16),(16,23),0.310965 # DEPENDENCYPART_GRANDPAR
(9,16),(16,24),-0.218857 # DEPENDENCYPART_GRANDPAR
(9,16),(16,25),-0.175713 # DEPENDENCYPART_GRANDPAR
(9,17),(17,16),-0.231763 # DEPENDENCYPART_GRANDPAR
(9,17),(17,18),-0.123019 # DEPENDENCYPART_GRANDPAR
(9,17),(17,19),0.188716 # DEPENDENCYPART_GRANDPAR
(9,17),(17,21),-0.759495 # DEPENDENCYPART_GRANDPAR
(9,17),(17,22),-0.271942 # DEPENDENCYPART_GRANDPAR
(9,17),(17,23),0.140477 # DEPENDENCYPART_GRANDPAR
(9,17),(17,24),-0.228002 # DEPENDENCYPART_GRANDPAR
(9,19),(19,9),-0.766331 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,19),(19,15),0.42401 # DEPENDENCYPART_GRANDPAR
(9,19),(19,16),-0.145346 # DEPENDENCYPART_GRANDPAR
(9,19),(19,17),-0.436339 # DEPENDENCYPART_GRANDPAR
(9,19),(19,18),-0.300075 # DEPENDENCYPART_GRANDPAR
(9,19),(19,20),-0.862544 # DEPENDENCYPART_GRANDPAR
(9,19),(19,21),-0.61608 # DEPENDENCYPART_GRANDPAR
(9,19),(19,22),-0.149567 # DEPENDENCYPART_GRANDPAR
(9,19),(19,23),0.140196 # DEPENDENCYPART_GRANDPAR
(9,19),(19,24),-0.102152 # DEPENDENCYPART_GRANDPAR
(9,19),(19,25),-0.237582 # DEPENDENCYPART_GRANDPAR
(10,8),(8,2),-0.466986 # DEPENDENCYPART_GRANDPAR
(10,8),(8,3),-0.476007 # DEPENDENCYPART_GRANDPAR
(10,8),(8,4),-0.30395 # DEPENDENCYPART_GRANDPAR
(10,8),(8,5),-0.398499 # DEPENDENCYPART_GRANDPAR
(10,8),(8,6),-0.330834 # DEPENDENCYPART_GRANDPAR
(10,8),(8,7),-0.225946 # DEPENDENCYPART_GRANDPAR
(10,8),(8,9),-0.289709 # DEPENDENCYPART_GRANDPAR
(10,8),(8,10),-1.45431 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(10,8),(8,11),-0.178629 # DEPENDENCYPART_GRANDPAR
(10,8),(8,12),-0.681786 # DEPENDENCYPART_GRANDPAR
(10,8),(8,14),-0.436632 # DEPENDENCYPART_GRANDPAR
(10,8),(8,15),-0.66865 # DEPENDENCYPART_GRANDPAR
(10,8),(8,16),-0.606756 # DEPENDENCYPART_GRANDPAR
(10,8),(8,17),-0.532077 # DEPENDENCYPART_GRANDPAR
(10,8),(8,19),-0.526568 # DEPENDENCYPART_GRANDPAR
(10,8),(8,22),-0.636619 # DEPENDENCYPART_GRANDPAR
(10,8),(8,23),-0.669664 # DEPENDENCYPART_GRANDPAR
(10,8),(8,24),-0.598483 # DEPENDENCYPART_GRANDPAR
(10,8),(8,25),-0.736427 # DEPENDENCYPART_GRANDPAR
(10,9),(9,3),-0.381026 # DEPENDENCYPART_GRANDPAR
(10,9),(9,8),-0.0884195 # DEPENDENCYPART_GRANDPAR
(10,9),(9,10),-1.43737 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(10,9),(9,11),-0.270286 # DEPENDENCYPART_GRANDPAR
(10,9),(9,12),-0.6993 # DEPENDENCYPART_GRANDPAR
(10,9),(9,13),-0.540195 # DEPENDENCYPART_GRANDPAR
(10,9),(9,14),-0.526399 # DEPENDENCYPART_GRANDPAR
(10,9),(9,15),-0.581808 # DEPENDENCYPART_GRANDPAR
(10,9),(9,16),-0.589422 # DEPENDENCYPART_GRANDPAR
(10,9),(9,17),-0.549591 # DEPENDENCYPART_GRANDPAR
(10,9),(9,19),-0.518011 # DEPENDENCYPART_GRANDPAR
(10,11),(11,3),-0.772426 # DEPENDENCYPART_GRANDPAR
(10,11),(11,6),-0.735162 # DEPENDENCYPART_GRANDPAR
(10,11),(11,7),-0.708747 # DEPENDENCYPART_GRANDPAR
(10,11),(11,8),-0.668777 # DEPENDENCYPART_GRANDPAR
(10,11),(11,9),-0.623822 # DEPENDENCYPART_GRANDPAR
(10,11),(11,10),-0.986129 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(10,11),(11,12),-0.372638 # DEPENDENCYPART_GRANDPAR
(10,11),(11,13),-0.0211797 # DEPENDENCYPART_GRANDPAR
(10,11),(11,14),-0.0147076 # DEPENDENCYPART_GRANDPAR
(10,11),(11,15),-0.117975 # DEPENDENCYPART_GRANDPAR
(10,11),(11,16),-0.0625553 # DEPENDENCYPART_GRANDPAR
(10,11),(11,17),-0.22293 # DEPENDENCYPART_GRANDPAR
(10,11),(11,19),-0.116885 # DEPENDENCYPART_GRANDPAR
(10,11),(11,22),-0.215817 # DEPENDENCYPART_GRANDPAR
(10,11),(11,23),-0.118989 # DEPENDENCYPART_GRANDPAR
(10,11),(11,24),-0.179132 # DEPENDENCYPART_GRANDPAR
(10,11),(11,25),-0.267943 # DEPENDENCYPART_GRANDPAR
(10,12),(12,8),-0.759883 # DEPENDENCYPART_GRANDPAR
(10,12),(12,9),-0.65247 # DEPENDENCYPART_GRANDPAR
(10,12),(12,10),-1.03436 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(10,12),(12,11),0.200428 # DEPENDENCYPART_GRANDPAR
(10,12),(12,13),0.136791 # DEPENDENCYPART_GRANDPAR
(10,12),(12,14),0.137291 # DEPENDENCYPART_GRANDPAR
(10,12),(12,15),-0.092516 # DEPENDENCYPART_GRANDPAR
(10,12),(12,16),-0.0122579 # DEPENDENCYPART_GRANDPAR
(10,12),(12,17),-0.0644646 # DEPENDENCYPART_GRANDPAR
(10,14),(14,7),-0.708747 # DEPENDENCYPART_GRANDPAR
(10,14),(14,8),-0.667294 # DEPENDENCYPART_GRANDPAR
(10,14),(14,10),-0.98613 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(10,14),(14,11),0.211024 # DEPENDENCYPART_GRANDPAR
(10,14),(14,12),-0.293174 # DEPENDENCYPART_GRANDPAR
(10,14),(14,13),-0.0641093 # DEPENDENCYPART_GRANDPAR
(10,14),(14,15),-0.116254 # DEPENDENCYPART_GRANDPAR
(10,14),(14,16),-0.0625647 # DEPENDENCYPART_GRANDPAR
(10,14),(14,17),-0.238768 # DEPENDENCYPART_GRANDPAR
(10,14),(14,19),-0.119554 # DEPENDENCYPART_GRANDPAR
(10,14),(14,21),-0.255965 # DEPENDENCYPART_GRANDPAR
(10,14),(14,22),-0.198879 # DEPENDENCYPART_GRANDPAR
(10,14),(14,23),-0.117269 # DEPENDENCYPART_GRANDPAR
(10,14),(14,24),-0.162194 # DEPENDENCYPART_GRANDPAR
(10,14),(14,25),-0.27022 # DEPENDENCYPART_GRANDPAR
(10,16),(16,9),-0.658173 # DEPENDENCYPART_GRANDPAR
(10,16),(16,12),-0.226285 # DEPENDENCYPART_GRANDPAR
(10,16),(16,13),0.0445854 # DEPENDENCYPART_GRANDPAR
(10,16),(16,14),0.0583821 # DEPENDENCYPART_GRANDPAR
(10,16),(16,15),-0.12023 # DEPENDENCYPART_GRANDPAR
(10,16),(16,17),-0.155498 # DEPENDENCYPART_GRANDPAR
(10,16),(16,19),-0.0869441 # DEPENDENCYPART_GRANDPAR
(10,16),(16,21),-0.388042 # DEPENDENCYPART_GRANDPAR
(10,16),(16,22),-0.332301 # DEPENDENCYPART_GRANDPAR
(10,16),(16,23),-0.131502 # DEPENDENCYPART_GRANDPAR
(10,16),(16,24),-0.29418 # DEPENDENCYPART_GRANDPAR
(10,16),(16,25),-0.299781 # DEPENDENCYPART_GRANDPAR
(10,17),(17,16),-0.185948 # DEPENDENCYPART_GRANDPAR
(10,17),(17,18),-0.0818502 # DEPENDENCYPART_GRANDPAR
(10,17),(17,19),-0.155322 # DEPENDENCYPART_GRANDPAR
(10,17),(17,21),-0.0895919 # DEPENDENCYPART_GRANDPAR
(10,17),(17,22),-0.0499524 # DEPENDENCYPART_GRANDPAR
(10,17),(17,23),-0.0935303 # DEPENDENCYPART_GRANDPAR
(10,17),(17,24),-0.0131855 # DEPENDENCYPART_GRANDPAR
(10,24),(24,20),0.0748889 # DEPENDENCYPART_GRANDPAR
(10,24),(24,21),-0.280648 # DEPENDENCYPART_GRANDPAR
(10,24),(24,22),-0.24534 # DEPENDENCYPART_GRANDPAR
(10,24),(24,23),-0.119249 # DEPENDENCYPART_GRANDPAR
(10,24),(24,25),-0.267943 # DEPENDENCYPART_GRANDPAR
(11,3),(3,4),0.163061 # DEPENDENCYPART_GRANDPAR
(11,3),(3,5),0.0959576 # DEPENDENCYPART_GRANDPAR
(11,3),(3,6),0.28438 # DEPENDENCYPART_GRANDPAR
(11,3),(3,8),0.186673 # DEPENDENCYPART_GRANDPAR
(11,6),(6,3),-0.153799 # DEPENDENCYPART_GRANDPAR
(11,6),(6,4),0.176162 # DEPENDENCYPART_GRANDPAR
(11,6),(6,5),-0.074594 # DEPENDENCYPART_GRANDPAR
(11,6),(6,8),0.140214 # DEPENDENCYPART_GRANDPAR
(11,6),(6,9),0.279344 # DEPENDENCYPART_GRANDPAR
(11,6),(6,10),1.11325 # DEPENDENCYPART_GRANDPAR
(11,6),(6,11),-1.60461 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(11,6),(6,12),-0.554654 # DEPENDENCYPART_GRANDPAR
(11,6),(6,15),-0.441996 # DEPENDENCYPART_GRANDPAR
(11,6),(6,17),-0.686231 # DEPENDENCYPART_GRANDPAR
(11,6),(6,19),-0.761329 # DEPENDENCYPART_GRANDPAR
(11,6),(6,23),-0.660414 # DEPENDENCYPART_GRANDPAR
(11,6),(6,25),-1.02635 # DEPENDENCYPART_GRANDPAR
(11,8),(8,2),-0.0711158 # DEPENDENCYPART_GRANDPAR
(11,8),(8,3),-0.223154 # DEPENDENCYPART_GRANDPAR
(11,8),(8,4),0.165075 # DEPENDENCYPART_GRANDPAR
(11,8),(8,5),-0.0421567 # DEPENDENCYPART_GRANDPAR
(11,8),(8,6),0.1639 # DEPENDENCYPART_GRANDPAR
(11,8),(8,7),0.407915 # DEPENDENCYPART_GRANDPAR
(11,8),(8,9),0.30448 # DEPENDENCYPART_GRANDPAR
(11,8),(8,10),1.17213 # DEPENDENCYPART_GRANDPAR
(11,8),(8,11),-1.44324 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(11,8),(8,12),-0.388416 # DEPENDENCYPART_GRANDPAR
(11,8),(8,14),-0.462325 # DEPENDENCYPART_GRANDPAR
(11,8),(8,15),-0.451614 # DEPENDENCYPART_GRANDPAR
(11,8),(8,16),-0.270378 # DEPENDENCYPART_GRANDPAR
(11,8),(8,17),-0.519993 # DEPENDENCYPART_GRANDPAR
(11,8),(8,19),-0.673721 # DEPENDENCYPART_GRANDPAR
(11,8),(8,22),-0.911475 # DEPENDENCYPART_GRANDPAR
(11,8),(8,23),-0.670032 # DEPENDENCYPART_GRANDPAR
(11,8),(8,24),-0.926031 # DEPENDENCYPART_GRANDPAR
(11,8),(8,25),-0.978255 # DEPENDENCYPART_GRANDPAR
(11,9),(9,3),-0.106185 # DEPENDENCYPART_GRANDPAR
(11,9),(9,8),0.470994 # DEPENDENCYPART_GRANDPAR
(11,9),(9,10),1.18287 # DEPENDENCYPART_GRANDPAR
(11,9),(9,11),-1.4953 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(11,9),(9,12),-0.347616 # DEPENDENCYPART_GRANDPAR
(11,9),(9,13),-0.501103 # DEPENDENCYPART_GRANDPAR
(11,9),(9,14),-0.512488 # DEPENDENCYPART_GRANDPAR
(11,9),(9,15),-0.318649 # DEPENDENCYPART_GRANDPAR
(11,9),(9,16),-0.212427 # DEPENDENCYPART_GRANDPAR
(11,9),(9,17),-0.479193 # DEPENDENCYPART_GRANDPAR
(11,9),(9,19),-0.608003 # DEPENDENCYPART_GRANDPAR
(11,10),(10,8),0.10406 # DEPENDENCYPART_GRANDPAR
(11,10),(10,9),0.241708 # DEPENDENCYPART_GRANDPAR
(11,10),(10,11),-1.42191 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(11,10),(10,12),-0.321315 # DEPENDENCYPART_GRANDPAR
(11,10),(10,14),-0.439099 # DEPENDENCYPART_GRANDPAR
(11,10),(10,16),-0.177874 # DEPENDENCYPART_GRANDPAR
(11,10),(10,17),-0.452892 # DEPENDENCYPART_GRANDPAR
(11,10),(10,24),-0.904754 # DEPENDENCYPART_GRANDPAR
(11,12),(12,8),-0.424316 # DEPENDENCYPART_GRANDPAR
(11,12),(12,9),-0.235008 # DEPENDENCYPART_GRANDPAR
(11,12),(12,10),0.715388 # DEPENDENCYPART_GRANDPAR
(11,12),(12,11),-0.937271 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(11,12),(12,13),0.366309 # DEPENDENCYPART_GRANDPAR
(11,12),(12,14),0.317385 # DEPENDENCYPART_GRANDPAR
(11,12),(12,15),0.380248 # DEPENDENCYPART_GRANDPAR
(11,12),(12,16),0.585497 # DEPENDENCYPART_GRANDPAR
(11,12),(12,17),0.238547 # DEPENDENCYPART_GRANDPAR
(11,13),(13,10),0.662428 # DEPENDENCYPART_GRANDPAR
(11,13),(13,14),0.172891 # DEPENDENCYPART_GRANDPAR
(11,13),(13,16),0.334033 # DEPENDENCYPART_GRANDPAR
(11,13),(13,17),-0.0241526 # DEPENDENCYPART_GRANDPAR
(11,13),(13,22),-0.264969 # DEPENDENCYPART_GRANDPAR
(11,14),(14,7),-0.168259 # DEPENDENCYPART_GRANDPAR
(11,14),(14,8),-0.367771 # DEPENDENCYPART_GRANDPAR
(11,14),(14,10),0.662422 # DEPENDENCYPART_GRANDPAR
(11,14),(14,11),-0.820749 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(11,14),(14,12),0.289335 # DEPENDENCYPART_GRANDPAR
(11,14),(14,13),0.162496 # DEPENDENCYPART_GRANDPAR
(11,14),(14,15),0.287088 # DEPENDENCYPART_GRANDPAR
(11,14),(14,16),0.334542 # DEPENDENCYPART_GRANDPAR
(11,14),(14,17),-0.0273511 # DEPENDENCYPART_GRANDPAR
(11,14),(14,19),-0.0650478 # DEPENDENCYPART_GRANDPAR
(11,14),(14,21),-0.197247 # DEPENDENCYPART_GRANDPAR
(11,14),(14,22),-0.238981 # DEPENDENCYPART_GRANDPAR
(11,14),(14,23),0.0686706 # DEPENDENCYPART_GRANDPAR
(11,14),(14,24),-0.254134 # DEPENDENCYPART_GRANDPAR
(11,14),(14,25),-0.329857 # DEPENDENCYPART_GRANDPAR
(11,16),(16,9),-0.216014 # DEPENDENCYPART_GRANDPAR
(11,16),(16,12),0.169108 # DEPENDENCYPART_GRANDPAR
(11,16),(16,13),0.23459 # DEPENDENCYPART_GRANDPAR
(11,16),(16,14),0.222609 # DEPENDENCYPART_GRANDPAR
(11,16),(16,15),0.208334 # DEPENDENCYPART_GRANDPAR
(11,16),(16,17),0.0132816 # DEPENDENCYPART_GRANDPAR
(11,16),(16,19),-0.115328 # DEPENDENCYPART_GRANDPAR
(11,16),(16,21),-0.429387 # DEPENDENCYPART_GRANDPAR
(11,16),(16,22),-0.462833 # DEPENDENCYPART_GRANDPAR
(11,16),(16,23),-0.0550936 # DEPENDENCYPART_GRANDPAR
(11,16),(16,24),-0.476992 # DEPENDENCYPART_GRANDPAR
(11,16),(16,25),-0.479444 # DEPENDENCYPART_GRANDPAR
(11,17),(17,16),0.233128 # DEPENDENCYPART_GRANDPAR
(11,17),(17,18),0.313611 # DEPENDENCYPART_GRANDPAR
(11,17),(17,19),0.0202922 # DEPENDENCYPART_GRANDPAR
(11,17),(17,21),-0.0634544 # DEPENDENCYPART_GRANDPAR
(11,17),(17,22),-0.097704 # DEPENDENCYPART_GRANDPAR
(11,17),(17,23),0.16183 # DEPENDENCYPART_GRANDPAR
(11,17),(17,24),-0.113213 # DEPENDENCYPART_GRANDPAR
(11,19),(19,9),-0.433102 # DEPENDENCYPART_GRANDPAR
(11,19),(19,15),0.136323 # DEPENDENCYPART_GRANDPAR
(11,19),(19,16),0.213236 # DEPENDENCYPART_GRANDPAR
(11,19),(19,17),0.021572 # DEPENDENCYPART_GRANDPAR
(11,19),(19,18),-0.0117426 # DEPENDENCYPART_GRANDPAR
(11,19),(19,20),-0.0348059 # DEPENDENCYPART_GRANDPAR
(11,19),(19,21),-0.133409 # DEPENDENCYPART_GRANDPAR
(11,19),(19,22),-0.193304 # DEPENDENCYPART_GRANDPAR
(11,19),(19,23),0.0404388 # DEPENDENCYPART_GRANDPAR
(11,19),(19,24),-0.205342 # DEPENDENCYPART_GRANDPAR
(11,19),(19,25),-0.439284 # DEPENDENCYPART_GRANDPAR
(11,22),(22,18),0.0111123 # DEPENDENCYPART_GRANDPAR
(11,22),(22,19),0.060236 # DEPENDENCYPART_GRANDPAR
(11,22),(22,20),0.227224 # DEPENDENCYPART_GRANDPAR
(11,22),(22,21),-0.209812 # DEPENDENCYPART_GRANDPAR
(11,22),(22,23),0.0650516 # DEPENDENCYPART_GRANDPAR
(11,22),(22,24),-0.277655 # DEPENDENCYPART_GRANDPAR
(11,22),(22,25),-0.329479 # DEPENDENCYPART_GRANDPAR
(11,24),(24,20),0.225193 # DEPENDENCYPART_GRANDPAR
(11,24),(24,21),-0.213399 # DEPENDENCYPART_GRANDPAR
(11,24),(24,22),-0.28953 # DEPENDENCYPART_GRANDPAR
(11,24),(24,23),0.0451482 # DEPENDENCYPART_GRANDPAR
(11,24),(24,25),-0.32778 # DEPENDENCYPART_GRANDPAR
(11,25),(25,24),-0.462312 # DEPENDENCYPART_GRANDPAR
(12,8),(8,2),-0.103942 # DEPENDENCYPART_GRANDPAR
(12,8),(8,3),0.0467262 # DEPENDENCYPART_GRANDPAR
(12,8),(8,4),-0.26921 # DEPENDENCYPART_GRANDPAR
(12,8),(8,5),-0.0924263 # DEPENDENCYPART_GRANDPAR
(12,8),(8,6),-0.0673808 # DEPENDENCYPART_GRANDPAR
(12,8),(8,7),-0.172618 # DEPENDENCYPART_GRANDPAR
(12,8),(8,9),-0.0469218 # DEPENDENCYPART_GRANDPAR
(12,8),(8,10),0.0661887 # DEPENDENCYPART_GRANDPAR
(12,8),(8,11),-0.0809285 # DEPENDENCYPART_GRANDPAR
(12,8),(8,12),-1.03325 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(12,8),(8,14),0.623209 # DEPENDENCYPART_GRANDPAR
(12,8),(8,15),0.0383933 # DEPENDENCYPART_GRANDPAR
(12,8),(8,16),-0.565949 # DEPENDENCYPART_GRANDPAR
(12,8),(8,17),-0.54669 # DEPENDENCYPART_GRANDPAR
(12,8),(8,19),-0.362718 # DEPENDENCYPART_GRANDPAR
(12,8),(8,22),-0.594711 # DEPENDENCYPART_GRANDPAR
