# _root_ Mr. Ferguson , who is 68 years old , fled the U.S. in 1970 after exhausting his appeals of a 1968 conviction on conspiracy to murder .
#goldHeads=2,10,2,5,2,7,8,5,2,0,12,10,10,13,10,15,18,16,18,22,22,19,22,23,24,25,10,
#predictedHeads=2,10,2,5,2,7,8,5,2,0,12,10,10,13,10,15,18,16,18,22,22,19,22,23,24,25,10,
(5,8),(8,7),(8,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,7),(8,-1),-0.00523578 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,8),(8,6),(8,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,6),(8,-1),-0.127261 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,8),(8,4),(8,-1),-0.121868 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,9),(9,9),(9,28),0.0180501 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,9),(9,9),(9,-1),-0.0696488 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,10),(10,10),(10,11),-0.0256059 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,10),(10,10),(10,12),0.0430995 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,10),(10,10),(10,13),-0.0869516 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,10),(10,10),(10,14),-0.0442906 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,10),(10,10),(10,15),-0.0799441 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,10),(10,10),(10,16),-0.048327 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,10),(10,10),(10,18),0.0402983 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,10),(10,10),(10,19),-0.0946644 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,10),(10,10),(10,22),0.0431891 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,10),(10,10),(10,23),-0.0645288 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,10),(10,10),(10,25),0.0678869 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,10),(10,10),(10,27),-0.0701302 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,10),(10,10),(10,28),0.106923 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,10),(10,11),(10,12),-0.0460536 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,11),(10,13),-0.0303042 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,11),(10,14),-0.0419994 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,11),(10,15),-0.0285033 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,11),(10,16),-0.0502276 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,11),(10,18),-0.0460536 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,11),(10,19),-0.0352011 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,11),(10,22),-0.0460536 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,11),(10,23),-0.0279475 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,11),(10,25),-0.0405347 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,11),(10,27),-0.0425819 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,11),(10,28),-0.0513615 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,10),(10,12),(10,13),-0.0578676 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,12),(10,14),-0.0451607 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,12),(10,15),-0.0360587 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,12),(10,16),-0.0770892 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,12),(10,18),-0.00239178 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,12),(10,19),-0.0357392 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,12),(10,22),-0.00239174 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,12),(10,23),-0.0679902 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,12),(10,25),-0.0360951 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,12),(10,27),-0.0376426 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,12),(10,28),-0.0999851 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,10),(10,13),(10,14),-0.0496748 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,13),(10,15),-0.0626525 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,13),(10,16),-0.0949985 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,13),(10,18),-0.0282936 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,13),(10,19),-0.0571724 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,13),(10,22),-0.0282936 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,13),(10,23),-0.0653686 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,13),(10,25),-0.0854793 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,13),(10,27),-0.0512076 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,13),(10,28),-0.030704 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,10),(10,14),(10,15),-0.0331117 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,14),(10,16),-0.0476219 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,14),(10,18),-0.0522186 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,14),(10,19),-0.036201 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,14),(10,22),-0.0522186 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,14),(10,23),-0.0310813 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,14),(10,25),-0.0483381 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,14),(10,27),-0.0420004 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,14),(10,28),-0.031242 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,10),(10,15),(10,16),-0.0895687 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,15),(10,18),-0.0266331 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,15),(10,19),-0.0855179 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,15),(10,22),-0.0266331 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,15),(10,23),-0.0937142 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,15),(10,25),-0.0744203 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,15),(10,27),-0.050448 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,15),(10,28),-0.0116345 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,10),(10,16),(10,18),-0.0670217 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,16),(10,19),-0.0468737 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,16),(10,22),-0.0670217 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,16),(10,23),-0.0486487 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,16),(10,25),-0.0521058 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,16),(10,27),-0.0260459 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,16),(10,28),-0.0476828 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,10),(10,18),(10,19),-0.0393236 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,18),(10,22),-0.00238954 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,18),(10,23),-0.0715745 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,18),(10,25),-0.0360951 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,18),(10,27),-0.0376426 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,18),(10,28),-0.0986157 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,10),(10,19),(10,22),-0.0366415 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,19),(10,23),-0.0999358 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,19),(10,25),-0.0781769 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,19),(10,27),-0.050448 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,19),(10,28),-0.0150295 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,10),(10,22),(10,23),-0.0687526 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,22),(10,25),-0.0360951 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,22),(10,27),-0.0376426 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,22),(10,28),-0.0985448 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,10),(10,23),(10,25),-0.0722319 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,23),(10,27),-0.0509832 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,23),(10,28),-0.0206406 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,10),(10,25),(10,27),-0.0436362 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,25),(10,28),-0.0267057 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,10),(10,27),(10,28),-0.0421517 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,10),(10,10),(10,9),0.0820152 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,10),(10,10),(10,8),0.0901588 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,10),(10,10),(10,7),0.1687 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,10),(10,10),(10,6),0.102866 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,10),(10,10),(10,5),0.126731 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,10),(10,10),(10,4),-0.121381 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,10),(10,10),(10,3),-0.124905 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,10),(10,10),(10,2),-0.175615 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,10),(10,10),(10,1),-0.175816 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,10),(10,10),(10,-1),-0.226258 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,10),(10,9),(10,8),0.0819182 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,9),(10,7),0.136233 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,9),(10,6),0.124686 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,9),(10,5),0.179753 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,10),(10,9),(10,4),-0.125865 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,9),(10,3),-0.12504 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,9),(10,2),-0.126168 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,9),(10,1),-0.126168 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,9),(10,-1),-0.110081 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,10),(10,8),(10,7),0.124692 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,8),(10,6),0.118759 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,8),(10,5),0.101349 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,10),(10,8),(10,4),-0.127258 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,8),(10,3),-0.12513 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,8),(10,2),-0.124888 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,8),(10,1),-0.124888 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,8),(10,-1),-0.152525 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,10),(10,7),(10,6),0.114396 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,7),(10,5),0.105943 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,10),(10,7),(10,4),-0.13233 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,7),(10,3),-0.127886 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,7),(10,2),-0.128074 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,7),(10,1),-0.128074 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,7),(10,-1),-0.117068 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,10),(10,6),(10,5),0.118226 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,10),(10,6),(10,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,6),(10,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,6),(10,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,6),(10,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,6),(10,-1),-0.16539 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,10),(10,5),(10,4),-0.126623 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,10),(10,5),(10,3),-0.127611 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,10),(10,5),(10,2),-0.125469 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,10),(10,5),(10,1),-0.125469 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,10),(10,5),(10,-1),-0.109869 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,10),(10,4),(10,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,4),(10,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,4),(10,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,4),(10,-1),-0.167571 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,10),(10,3),(10,2),-0.126168 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,3),(10,1),-0.126168 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,3),(10,-1),-0.110081 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,10),(10,2),(10,1),-0.128074 # DEPENDENCYPART_GRANDSIBL
(5,10),(10,2),(10,-1),-0.12399 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,10),(10,1),(10,-1),-0.125954 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,12),(12,12),(12,13),-0.120463 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,12),(12,12),(12,14),-0.0421911 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,12),(12,12),(12,15),-0.0953258 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,12),(12,12),(12,16),0.014379 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,12),(12,12),(12,18),-0.0172908 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,12),(12,12),(12,19),-0.0957007 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,12),(12,12),(12,23),-0.0981172 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,12),(12,12),(12,27),-0.0208989 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,12),(12,12),(12,28),-0.0403433 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,12),(12,13),(12,14),-0.0493421 # DEPENDENCYPART_GRANDSIBL
(5,12),(12,13),(12,15),-0.0351189 # DEPENDENCYPART_GRANDSIBL
(5,12),(12,13),(12,16),-0.0810853 # DEPENDENCYPART_GRANDSIBL
(5,12),(12,13),(12,18),-0.093464 # DEPENDENCYPART_GRANDSIBL
(5,12),(12,13),(12,19),-0.0127495 # DEPENDENCYPART_GRANDSIBL
(5,12),(12,13),(12,23),-0.0107233 # DEPENDENCYPART_GRANDSIBL
(5,12),(12,13),(12,27),-0.0443568 # DEPENDENCYPART_GRANDSIBL
(5,12),(12,13),(12,28),-0.0197857 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,12),(12,14),(12,15),-0.0599781 # DEPENDENCYPART_GRANDSIBL
(5,12),(12,14),(12,16),-0.0434173 # DEPENDENCYPART_GRANDSIBL
(5,12),(12,14),(12,18),-0.044773 # DEPENDENCYPART_GRANDSIBL
(5,12),(12,14),(12,19),-0.0549536 # DEPENDENCYPART_GRANDSIBL
(5,12),(12,14),(12,23),-0.0609314 # DEPENDENCYPART_GRANDSIBL
(5,12),(12,14),(12,27),-0.0421704 # DEPENDENCYPART_GRANDSIBL
(5,12),(12,14),(12,28),0.0124555 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,12),(12,15),(12,16),-0.0859431 # DEPENDENCYPART_GRANDSIBL
(5,12),(12,15),(12,18),-0.0803668 # DEPENDENCYPART_GRANDSIBL
(5,12),(12,15),(12,19),-0.0263423 # DEPENDENCYPART_GRANDSIBL
(5,12),(12,15),(12,23),-0.0243161 # DEPENDENCYPART_GRANDSIBL
(5,12),(12,15),(12,27),-0.044893 # DEPENDENCYPART_GRANDSIBL
(5,12),(12,15),(12,28),-0.0206726 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,12),(12,16),(12,18),-0.0592327 # DEPENDENCYPART_GRANDSIBL
(5,12),(12,16),(12,19),-0.00660399 # DEPENDENCYPART_GRANDSIBL
(5,12),(12,16),(12,23),-0.00860122 # DEPENDENCYPART_GRANDSIBL
(5,12),(12,16),(12,27),-0.0434216 # DEPENDENCYPART_GRANDSIBL
(5,12),(12,16),(12,28),-0.0544286 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,12),(12,18),(12,19),-0.0730679 # DEPENDENCYPART_GRANDSIBL
(5,12),(12,18),(12,23),-0.0735666 # DEPENDENCYPART_GRANDSIBL
(5,12),(12,18),(12,27),-0.0374735 # DEPENDENCYPART_GRANDSIBL
(5,12),(12,18),(12,28),-0.0248495 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,12),(12,19),(12,23),-0.016615 # DEPENDENCYPART_GRANDSIBL
(5,12),(12,19),(12,27),-0.0445814 # DEPENDENCYPART_GRANDSIBL
(5,12),(12,19),(12,28),0.000705203 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,12),(12,23),(12,27),-0.0443097 # DEPENDENCYPART_GRANDSIBL
(5,12),(12,23),(12,28),0.0213643 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,12),(12,27),(12,28),-0.0487151 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,12),(12,12),(12,11),0.112525 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,12),(12,12),(12,9),0.028994 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,12),(12,12),(12,8),0.135642 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,12),(12,12),(12,4),-0.113056 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,12),(12,12),(12,2),0.0159764 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,12),(12,12),(12,-1),-0.216164 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,12),(12,11),(12,9),0.112298 # DEPENDENCYPART_GRANDSIBL
(5,12),(12,11),(12,8),0.111082 # DEPENDENCYPART_GRANDSIBL
(5,12),(12,11),(12,4),-0.120525 # DEPENDENCYPART_GRANDSIBL
(5,12),(12,11),(12,2),-0.132152 # DEPENDENCYPART_GRANDSIBL
(5,12),(12,11),(12,-1),-0.203225 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,12),(12,9),(12,8),0.166447 # DEPENDENCYPART_GRANDSIBL
(5,12),(12,9),(12,4),-0.12517 # DEPENDENCYPART_GRANDSIBL
(5,12),(12,9),(12,2),-0.143443 # DEPENDENCYPART_GRANDSIBL
(5,12),(12,9),(12,-1),-0.146445 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,12),(12,8),(12,4),-0.122335 # DEPENDENCYPART_GRANDSIBL
(5,12),(12,8),(12,2),-0.12666 # DEPENDENCYPART_GRANDSIBL
(5,12),(12,8),(12,-1),-0.0766436 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,12),(12,4),(12,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,12),(12,4),(12,-1),-0.068241 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,12),(12,2),(12,-1),-0.107718 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,13),(13,13),(13,14),0.0962019 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,13),(13,13),(13,15),-0.0294604 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,13),(13,13),(13,16),-0.00344689 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,13),(13,13),(13,18),0.0107616 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,13),(13,13),(13,19),0.0272375 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,13),(13,13),(13,25),-0.0709349 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,13),(13,13),(13,28),-0.0457198 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,13),(13,14),(13,15),-0.0255639 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,14),(13,16),-0.0447647 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,14),(13,18),-0.0386914 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,14),(13,19),-0.0176385 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,14),(13,25),-0.0621089 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,14),(13,28),0.052692 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,13),(13,15),(13,16),-0.0469093 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,15),(13,18),0.010594 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,15),(13,19),-0.017971 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,15),(13,25),-0.0575936 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,15),(13,28),-0.0891199 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,13),(13,16),(13,18),-0.0485301 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,16),(13,19),-0.0391783 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,16),(13,25),-0.0420739 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,16),(13,28),-0.0713034 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,13),(13,18),(13,19),-0.0176471 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,18),(13,25),-0.0521298 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,18),(13,28),0.0134021 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,13),(13,19),(13,25),-0.0577747 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,19),(13,28),-0.108021 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,13),(13,25),(13,28),-0.0231246 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,13),(13,13),(13,11),0.104197 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,13),(13,13),(13,4),-0.072127 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,13),(13,13),(13,-1),0.0150216 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,13),(13,11),(13,4),-0.116754 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,11),(13,-1),-0.177927 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,13),(13,4),(13,-1),-0.0463819 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,15),(15,15),(15,16),0.0413772 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,15),(15,15),(15,18),0.0199461 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,15),(15,15),(15,19),0.0269231 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,15),(15,15),(15,21),0.0216522 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,15),(15,15),(15,22),0.0195556 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,15),(15,15),(15,25),-0.0680518 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,15),(15,15),(15,28),-0.0164804 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,15),(15,16),(15,18),-0.0483391 # DEPENDENCYPART_GRANDSIBL
(5,15),(15,16),(15,19),-0.038922 # DEPENDENCYPART_GRANDSIBL
(5,15),(15,16),(15,21),-0.0427084 # DEPENDENCYPART_GRANDSIBL
(5,15),(15,16),(15,22),-0.0483391 # DEPENDENCYPART_GRANDSIBL
(5,15),(15,16),(15,25),-0.0420735 # DEPENDENCYPART_GRANDSIBL
(5,15),(15,16),(15,28),-0.0345451 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,15),(15,18),(15,19),-0.0232549 # DEPENDENCYPART_GRANDSIBL
(5,15),(15,18),(15,21),-0.0446828 # DEPENDENCYPART_GRANDSIBL
(5,15),(15,18),(15,22),-0.085131 # DEPENDENCYPART_GRANDSIBL
(5,15),(15,18),(15,25),-0.0448005 # DEPENDENCYPART_GRANDSIBL
(5,15),(15,18),(15,28),0.0484624 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,15),(15,19),(15,21),-0.0427527 # DEPENDENCYPART_GRANDSIBL
(5,15),(15,19),(15,22),0.0767642 # DEPENDENCYPART_GRANDSIBL
(5,15),(15,19),(15,25),-0.057769 # DEPENDENCYPART_GRANDSIBL
(5,15),(15,19),(15,28),-0.108258 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,15),(15,21),(15,22),-0.0424052 # DEPENDENCYPART_GRANDSIBL
(5,15),(15,21),(15,25),-0.0616647 # DEPENDENCYPART_GRANDSIBL
(5,15),(15,21),(15,28),-0.0107507 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,15),(15,22),(15,25),-0.0448005 # DEPENDENCYPART_GRANDSIBL
(5,15),(15,22),(15,28),0.0480838 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,15),(15,25),(15,28),-0.0128398 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,15),(15,15),(15,14),0.119618 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,15),(15,15),(15,13),0.0690656 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,15),(15,15),(15,-1),0.0424167 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,15),(15,14),(15,13),0.117928 # DEPENDENCYPART_GRANDSIBL
(5,15),(15,14),(15,-1),-0.175859 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,15),(15,13),(15,-1),-0.104142 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,16),(16,16),(16,17),-0.0447154 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,16),(16,16),(16,18),0.0421878 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,16),(16,16),(16,19),-0.0946171 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,16),(16,16),(16,20),-0.0402283 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,16),(16,16),(16,21),-0.0442769 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,16),(16,16),(16,22),0.0450786 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,16),(16,16),(16,23),-0.0644815 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,16),(16,16),(16,24),0.0410508 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,16),(16,16),(16,25),0.0678872 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,16),(16,16),(16,26),0.0405421 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
