# _root_ Avon also said it will issue an additional 243,677 of the Class C warrants to holders of its Class A , Class B and unclassified warrants .
#goldHeads=3,3,0,5,3,5,9,9,6,9,14,14,14,10,6,15,16,26,24,24,24,24,24,26,24,17,3,
#predictedHeads=3,3,0,5,3,5,9,9,6,9,14,14,14,10,6,15,16,19,24,23,24,23,24,17,26,24,3,
(16,14),(16,23),0.0240499 # DEPENDENCYPART_SIBL
(16,14),(16,24),0.00594301 # DEPENDENCYPART_SIBL
(16,14),(16,25),-0.00517425 # DEPENDENCYPART_SIBL
(16,14),(16,26),0.00566503 # DEPENDENCYPART_SIBL
(16,14),(16,27),0.00618985 # DEPENDENCYPART_SIBL
(16,15),(16,17),-0.0235593 # DEPENDENCYPART_SIBL
(16,15),(16,19),0.227568 # DEPENDENCYPART_SIBL
(16,15),(16,20),0.0140219 # DEPENDENCYPART_SIBL
(16,15),(16,21),-0.0498687 # DEPENDENCYPART_SIBL
(16,15),(16,22),0.227568 # DEPENDENCYPART_SIBL
(16,15),(16,23),0.228654 # DEPENDENCYPART_SIBL
(16,15),(16,24),0.065483 # DEPENDENCYPART_SIBL
(16,15),(16,25),-0.0114446 # DEPENDENCYPART_SIBL
(16,15),(16,26),0.230534 # DEPENDENCYPART_SIBL
(16,15),(16,27),-0.0662127 # DEPENDENCYPART_SIBL
(16,17),(16,19),0.0670922 # DEPENDENCYPART_SIBL
(16,17),(16,20),-0.0468866 # DEPENDENCYPART_SIBL
(16,17),(16,21),0.0897792 # DEPENDENCYPART_SIBL
(16,17),(16,22),0.0670922 # DEPENDENCYPART_SIBL
(16,17),(16,23),0.0620318 # DEPENDENCYPART_SIBL
(16,17),(16,24),-0.0363268 # DEPENDENCYPART_SIBL
(16,17),(16,25),0.03435 # DEPENDENCYPART_SIBL
(16,17),(16,26),0.0643665 # DEPENDENCYPART_SIBL
(16,17),(16,27),-0.0118157 # DEPENDENCYPART_SIBL
(16,19),(16,20),-0.00707407 # DEPENDENCYPART_SIBL
(16,19),(16,21),0.0567705 # DEPENDENCYPART_SIBL
(16,19),(16,22),-0.00300222 # DEPENDENCYPART_SIBL
(16,19),(16,23),-0.00477051 # DEPENDENCYPART_SIBL
(16,19),(16,24),-0.0374983 # DEPENDENCYPART_SIBL
(16,19),(16,25),0.00304848 # DEPENDENCYPART_SIBL
(16,19),(16,26),-0.00602081 # DEPENDENCYPART_SIBL
(16,19),(16,27),0.026502 # DEPENDENCYPART_SIBL
(16,20),(16,21),-0.00945923 # DEPENDENCYPART_SIBL
(16,20),(16,22),-0.0121004 # DEPENDENCYPART_SIBL
(16,20),(16,23),-0.0136731 # DEPENDENCYPART_SIBL
(16,20),(16,24),-0.0299098 # DEPENDENCYPART_SIBL
(16,20),(16,25),-0.0116065 # DEPENDENCYPART_SIBL
(16,20),(16,26),-0.0150629 # DEPENDENCYPART_SIBL
(16,20),(16,27),-0.014866 # DEPENDENCYPART_SIBL
(16,21),(16,22),0.0832561 # DEPENDENCYPART_SIBL
(16,21),(16,23),0.0776823 # DEPENDENCYPART_SIBL
(16,21),(16,24),0.0319476 # DEPENDENCYPART_SIBL
(16,21),(16,25),0.0508703 # DEPENDENCYPART_SIBL
(16,21),(16,26),0.0683515 # DEPENDENCYPART_SIBL
(16,21),(16,27),0.0224069 # DEPENDENCYPART_SIBL
(16,22),(16,23),-0.00477051 # DEPENDENCYPART_SIBL
(16,22),(16,24),-0.0374983 # DEPENDENCYPART_SIBL
(16,22),(16,25),0.00304848 # DEPENDENCYPART_SIBL
(16,22),(16,26),-0.00602081 # DEPENDENCYPART_SIBL
(16,22),(16,27),0.026502 # DEPENDENCYPART_SIBL
(16,23),(16,24),-0.0367312 # DEPENDENCYPART_SIBL
(16,23),(16,25),0.00999624 # DEPENDENCYPART_SIBL
(16,23),(16,26),-0.00511579 # DEPENDENCYPART_SIBL
(16,23),(16,27),0.0267453 # DEPENDENCYPART_SIBL
(16,24),(16,25),-0.00840033 # DEPENDENCYPART_SIBL
(16,24),(16,26),-0.0337229 # DEPENDENCYPART_SIBL
(16,24),(16,27),0.00204993 # DEPENDENCYPART_SIBL
(16,25),(16,26),-0.000497165 # DEPENDENCYPART_SIBL
(16,25),(16,27),0.00476146 # DEPENDENCYPART_SIBL
(16,26),(16,27),0.0232088 # DEPENDENCYPART_SIBL
(17,14),(17,15),-0.00439578 # DEPENDENCYPART_SIBL
(17,14),(17,16),0.0246069 # DEPENDENCYPART_SIBL
(17,14),(17,18),-0.0329734 # DEPENDENCYPART_SIBL
(17,14),(17,19),-0.0876007 # DEPENDENCYPART_SIBL
(17,14),(17,22),-0.0876007 # DEPENDENCYPART_SIBL
(17,14),(17,23),-0.0810125 # DEPENDENCYPART_SIBL
(17,14),(17,24),-0.0487401 # DEPENDENCYPART_SIBL
(17,14),(17,25),-0.0423949 # DEPENDENCYPART_SIBL
(17,14),(17,26),-0.0873211 # DEPENDENCYPART_SIBL
(17,15),(17,16),0.0544228 # DEPENDENCYPART_SIBL
(17,15),(17,18),-0.0452121 # DEPENDENCYPART_SIBL
(17,15),(17,19),-0.0985176 # DEPENDENCYPART_SIBL
(17,15),(17,22),-0.0985176 # DEPENDENCYPART_SIBL
(17,15),(17,23),-0.0974861 # DEPENDENCYPART_SIBL
(17,15),(17,24),-0.0223852 # DEPENDENCYPART_SIBL
(17,15),(17,25),-0.0723581 # DEPENDENCYPART_SIBL
(17,15),(17,26),-0.0891005 # DEPENDENCYPART_SIBL
(17,16),(17,18),-0.0318447 # DEPENDENCYPART_SIBL
(17,16),(17,19),-0.0980331 # DEPENDENCYPART_SIBL
(17,16),(17,22),-0.0980331 # DEPENDENCYPART_SIBL
(17,16),(17,23),-0.0917278 # DEPENDENCYPART_SIBL
(17,16),(17,24),-0.0515415 # DEPENDENCYPART_SIBL
(17,16),(17,25),-0.0516884 # DEPENDENCYPART_SIBL
(17,16),(17,26),-0.0977534 # DEPENDENCYPART_SIBL
(17,18),(17,19),-0.0130578 # DEPENDENCYPART_SIBL
(17,18),(17,22),-0.0130578 # DEPENDENCYPART_SIBL
(17,18),(17,23),-0.0126997 # DEPENDENCYPART_SIBL
(17,18),(17,24),-0.0710322 # DEPENDENCYPART_SIBL
(17,18),(17,25),-0.00838588 # DEPENDENCYPART_SIBL
(17,18),(17,26),-0.0127256 # DEPENDENCYPART_SIBL
(17,19),(17,22),-0.113635 # DEPENDENCYPART_SIBL
(17,19),(17,23),-0.113774 # DEPENDENCYPART_SIBL
(17,19),(17,24),-0.201994 # DEPENDENCYPART_SIBL
(17,19),(17,25),-0.0481167 # DEPENDENCYPART_SIBL
(17,19),(17,26),-0.113633 # DEPENDENCYPART_SIBL
(17,22),(17,23),-0.113774 # DEPENDENCYPART_SIBL
(17,22),(17,24),-0.201994 # DEPENDENCYPART_SIBL
(17,22),(17,25),-0.0481167 # DEPENDENCYPART_SIBL
(17,22),(17,26),-0.113633 # DEPENDENCYPART_SIBL
(17,23),(17,24),-0.201982 # DEPENDENCYPART_SIBL
(17,23),(17,25),-0.0452253 # DEPENDENCYPART_SIBL
(17,23),(17,26),-0.113484 # DEPENDENCYPART_SIBL
(17,24),(17,25),-0.0194344 # DEPENDENCYPART_SIBL
(17,24),(17,26),-0.0711535 # DEPENDENCYPART_SIBL
(17,25),(17,26),-0.0489148 # DEPENDENCYPART_SIBL
(19,7),(19,11),-0.22806 # DEPENDENCYPART_SIBL
(19,7),(19,12),0.079341 # DEPENDENCYPART_SIBL
(19,7),(19,14),0.0712745 # DEPENDENCYPART_SIBL
(19,7),(19,15),-0.0383026 # DEPENDENCYPART_SIBL
(19,7),(19,16),0.0867557 # DEPENDENCYPART_SIBL
(19,7),(19,17),0.014928 # DEPENDENCYPART_SIBL
(19,7),(19,18),-0.0088518 # DEPENDENCYPART_SIBL
(19,7),(19,20),0.0307514 # DEPENDENCYPART_SIBL
(19,7),(19,21),-0.044711 # DEPENDENCYPART_SIBL
(19,7),(19,22),0.0185482 # DEPENDENCYPART_SIBL
(19,7),(19,23),0.0205761 # DEPENDENCYPART_SIBL
(19,7),(19,24),0.0727272 # DEPENDENCYPART_SIBL
(19,7),(19,25),0.103967 # DEPENDENCYPART_SIBL
(19,7),(19,26),0.00840539 # DEPENDENCYPART_SIBL
(19,11),(19,12),0.0567643 # DEPENDENCYPART_SIBL
(19,11),(19,14),0.0452496 # DEPENDENCYPART_SIBL
(19,11),(19,15),-0.0919349 # DEPENDENCYPART_SIBL
(19,11),(19,16),0.0684748 # DEPENDENCYPART_SIBL
(19,11),(19,17),-0.0393597 # DEPENDENCYPART_SIBL
(19,11),(19,18),-0.0692322 # DEPENDENCYPART_SIBL
(19,11),(19,20),-0.0841081 # DEPENDENCYPART_SIBL
(19,11),(19,21),0.042432 # DEPENDENCYPART_SIBL
(19,11),(19,22),0.00552383 # DEPENDENCYPART_SIBL
(19,11),(19,23),0.00852621 # DEPENDENCYPART_SIBL
(19,11),(19,24),0.0177747 # DEPENDENCYPART_SIBL
(19,11),(19,25),-0.0457879 # DEPENDENCYPART_SIBL
(19,11),(19,26),-0.0038604 # DEPENDENCYPART_SIBL
(19,12),(19,14),0.0317267 # DEPENDENCYPART_SIBL
(19,12),(19,15),0.00199624 # DEPENDENCYPART_SIBL
(19,12),(19,16),0.0395596 # DEPENDENCYPART_SIBL
(19,12),(19,17),0.0187175 # DEPENDENCYPART_SIBL
(19,12),(19,18),-0.0191562 # DEPENDENCYPART_SIBL
(19,12),(19,20),-0.0908409 # DEPENDENCYPART_SIBL
(19,12),(19,21),0.0299707 # DEPENDENCYPART_SIBL
(19,12),(19,22),0.0146357 # DEPENDENCYPART_SIBL
(19,12),(19,23),0.0224032 # DEPENDENCYPART_SIBL
(19,12),(19,24),0.0445242 # DEPENDENCYPART_SIBL
(19,12),(19,25),-0.00607674 # DEPENDENCYPART_SIBL
(19,12),(19,26),0.00401834 # DEPENDENCYPART_SIBL
(19,14),(19,15),-0.00715201 # DEPENDENCYPART_SIBL
(19,14),(19,16),0.0205378 # DEPENDENCYPART_SIBL
(19,14),(19,17),0.00957273 # DEPENDENCYPART_SIBL
(19,14),(19,18),-0.0283075 # DEPENDENCYPART_SIBL
(19,14),(19,20),-0.0927071 # DEPENDENCYPART_SIBL
(19,14),(19,21),0.0463876 # DEPENDENCYPART_SIBL
(19,14),(19,22),0.0182909 # DEPENDENCYPART_SIBL
(19,14),(19,23),0.0276252 # DEPENDENCYPART_SIBL
(19,14),(19,24),0.0265368 # DEPENDENCYPART_SIBL
(19,14),(19,25),0.000883761 # DEPENDENCYPART_SIBL
(19,14),(19,26),0.00924035 # DEPENDENCYPART_SIBL
(19,15),(19,16),0.00353098 # DEPENDENCYPART_SIBL
(19,15),(19,17),-0.0537391 # DEPENDENCYPART_SIBL
(19,15),(19,18),-0.0461381 # DEPENDENCYPART_SIBL
(19,15),(19,20),0.0155721 # DEPENDENCYPART_SIBL
(19,15),(19,21),-0.0379162 # DEPENDENCYPART_SIBL
(19,15),(19,22),0.227825 # DEPENDENCYPART_SIBL
(19,15),(19,23),0.228911 # DEPENDENCYPART_SIBL
(19,15),(19,24),0.0808729 # DEPENDENCYPART_SIBL
(19,15),(19,25),-0.0101189 # DEPENDENCYPART_SIBL
(19,15),(19,26),0.230792 # DEPENDENCYPART_SIBL
(19,16),(19,17),0.00791516 # DEPENDENCYPART_SIBL
(19,16),(19,18),-0.0286338 # DEPENDENCYPART_SIBL
(19,16),(19,20),-0.0979814 # DEPENDENCYPART_SIBL
(19,16),(19,21),0.0322441 # DEPENDENCYPART_SIBL
(19,16),(19,22),0.00327538 # DEPENDENCYPART_SIBL
(19,16),(19,23),0.0123267 # DEPENDENCYPART_SIBL
(19,16),(19,24),0.0191479 # DEPENDENCYPART_SIBL
(19,16),(19,25),-0.0143528 # DEPENDENCYPART_SIBL
(19,16),(19,26),-0.00577519 # DEPENDENCYPART_SIBL
(19,17),(19,18),0.0212914 # DEPENDENCYPART_SIBL
(19,17),(19,20),-0.0516865 # DEPENDENCYPART_SIBL
(19,17),(19,21),-0.0515051 # DEPENDENCYPART_SIBL
(19,17),(19,22),-0.00868648 # DEPENDENCYPART_SIBL
(19,17),(19,23),-0.00771428 # DEPENDENCYPART_SIBL
(19,17),(19,24),0.0112574 # DEPENDENCYPART_SIBL
(19,17),(19,25),-0.0446594 # DEPENDENCYPART_SIBL
(19,17),(19,26),-0.0145433 # DEPENDENCYPART_SIBL
(19,18),(19,20),-0.0714147 # DEPENDENCYPART_SIBL
(19,18),(19,21),0.119566 # DEPENDENCYPART_SIBL
(19,18),(19,22),0.0107467 # DEPENDENCYPART_SIBL
(19,18),(19,23),0.0118003 # DEPENDENCYPART_SIBL
(19,18),(19,24),0.0118387 # DEPENDENCYPART_SIBL
(19,18),(19,25),-0.0444544 # DEPENDENCYPART_SIBL
(19,18),(19,26),0.00435044 # DEPENDENCYPART_SIBL
(19,20),(19,21),-0.0322873 # DEPENDENCYPART_SIBL
(19,20),(19,22),-0.0193378 # DEPENDENCYPART_SIBL
(19,20),(19,23),-0.0209105 # DEPENDENCYPART_SIBL
(19,20),(19,24),-0.0161714 # DEPENDENCYPART_SIBL
(19,20),(19,25),-0.0116006 # DEPENDENCYPART_SIBL
(19,20),(19,26),-0.0223004 # DEPENDENCYPART_SIBL
(19,21),(19,22),0.0524545 # DEPENDENCYPART_SIBL
(19,21),(19,23),0.0468807 # DEPENDENCYPART_SIBL
(19,21),(19,24),0.0365008 # DEPENDENCYPART_SIBL
(19,21),(19,25),0.0306667 # DEPENDENCYPART_SIBL
(19,21),(19,26),0.0375499 # DEPENDENCYPART_SIBL
(19,22),(19,23),-0.0124369 # DEPENDENCYPART_SIBL
(19,22),(19,24),-0.0246013 # DEPENDENCYPART_SIBL
(19,22),(19,25),0.00221294 # DEPENDENCYPART_SIBL
(19,22),(19,26),-0.0136872 # DEPENDENCYPART_SIBL
(19,23),(19,24),-0.0238352 # DEPENDENCYPART_SIBL
(19,23),(19,25),0.00915935 # DEPENDENCYPART_SIBL
(19,23),(19,26),-0.0127832 # DEPENDENCYPART_SIBL
(19,24),(19,25),-0.00804952 # DEPENDENCYPART_SIBL
(19,24),(19,26),-0.0406154 # DEPENDENCYPART_SIBL
(19,25),(19,26),-0.00791971 # DEPENDENCYPART_SIBL
(20,21),(20,22),0.0601223 # DEPENDENCYPART_SIBL
(22,18),(22,20),-0.0381679 # DEPENDENCYPART_SIBL
(22,18),(22,23),0.0118003 # DEPENDENCYPART_SIBL
(22,18),(22,25),-0.0444544 # DEPENDENCYPART_SIBL
(22,18),(22,26),0.00435044 # DEPENDENCYPART_SIBL
(22,20),(22,23),-0.0120394 # DEPENDENCYPART_SIBL
(22,20),(22,25),0.0871606 # DEPENDENCYPART_SIBL
(22,20),(22,26),-0.0242099 # DEPENDENCYPART_SIBL
(22,23),(22,25),0.00915935 # DEPENDENCYPART_SIBL
(22,23),(22,26),-0.0127832 # DEPENDENCYPART_SIBL
(22,25),(22,26),-0.00791971 # DEPENDENCYPART_SIBL
(23,18),(23,19),0.0408781 # DEPENDENCYPART_SIBL
(23,18),(23,20),-0.0381313 # DEPENDENCYPART_SIBL
(23,18),(23,22),0.0408781 # DEPENDENCYPART_SIBL
(23,18),(23,25),-0.0421637 # DEPENDENCYPART_SIBL
(23,18),(23,26),0.00893091 # DEPENDENCYPART_SIBL
(23,19),(23,20),-0.0396333 # DEPENDENCYPART_SIBL
(23,19),(23,22),0.0416626 # DEPENDENCYPART_SIBL
(23,19),(23,25),0.000930983 # DEPENDENCYPART_SIBL
(23,19),(23,26),0.0137165 # DEPENDENCYPART_SIBL
(23,20),(23,22),0.0511325 # DEPENDENCYPART_SIBL
(23,20),(23,25),0.0823154 # DEPENDENCYPART_SIBL
(23,20),(23,26),-0.0240468 # DEPENDENCYPART_SIBL
(23,22),(23,25),0.000930983 # DEPENDENCYPART_SIBL
(23,22),(23,26),0.0137165 # DEPENDENCYPART_SIBL
(23,25),(23,26),-0.0128819 # DEPENDENCYPART_SIBL
(24,1),(24,2),0.00694342 # DEPENDENCYPART_SIBL
(24,1),(24,3),-0.0021953 # DEPENDENCYPART_SIBL
(24,1),(24,4),-0.0572284 # DEPENDENCYPART_SIBL
(24,1),(24,5),0.0175593 # DEPENDENCYPART_SIBL
(24,1),(24,6),-0.00849408 # DEPENDENCYPART_SIBL
(24,1),(24,7),-0.102111 # DEPENDENCYPART_SIBL
(24,1),(24,8),-0.0309278 # DEPENDENCYPART_SIBL
(24,1),(24,9),-0.0315921 # DEPENDENCYPART_SIBL
(24,1),(24,10),-0.0183252 # DEPENDENCYPART_SIBL
(24,1),(24,11),-0.130209 # DEPENDENCYPART_SIBL
(24,1),(24,12),-0.0230669 # DEPENDENCYPART_SIBL
(24,1),(24,13),0.0339959 # DEPENDENCYPART_SIBL
(24,1),(24,14),-0.0165094 # DEPENDENCYPART_SIBL
(24,1),(24,15),-0.0331763 # DEPENDENCYPART_SIBL
(24,1),(24,16),-0.013488 # DEPENDENCYPART_SIBL
(24,1),(24,17),-0.0183252 # DEPENDENCYPART_SIBL
(24,1),(24,18),-0.0796018 # DEPENDENCYPART_SIBL
(24,1),(24,19),-0.0230669 # DEPENDENCYPART_SIBL
(24,1),(24,20),-0.106863 # DEPENDENCYPART_SIBL
(24,1),(24,21),0.0265291 # DEPENDENCYPART_SIBL
(24,1),(24,22),-0.0230669 # DEPENDENCYPART_SIBL
(24,1),(24,23),-0.00646893 # DEPENDENCYPART_SIBL
(24,1),(24,25),0.000232242 # DEPENDENCYPART_SIBL
(24,1),(24,26),0.0510944 # DEPENDENCYPART_SIBL
(24,1),(24,27),-0.0125668 # DEPENDENCYPART_SIBL
(24,2),(24,3),-0.0280799 # DEPENDENCYPART_SIBL
(24,2),(24,4),0.0380218 # DEPENDENCYPART_SIBL
(24,2),(24,5),0.00166991 # DEPENDENCYPART_SIBL
(24,2),(24,6),0.00969365 # DEPENDENCYPART_SIBL
(24,2),(24,7),-0.00768277 # DEPENDENCYPART_SIBL
(24,2),(24,8),0.0137948 # DEPENDENCYPART_SIBL
(24,2),(24,9),-0.0183392 # DEPENDENCYPART_SIBL
(24,2),(24,10),-0.020635 # DEPENDENCYPART_SIBL
(24,2),(24,11),-0.0421306 # DEPENDENCYPART_SIBL
(24,2),(24,12),-0.0358204 # DEPENDENCYPART_SIBL
(24,2),(24,13),-0.00482278 # DEPENDENCYPART_SIBL
(24,2),(24,14),-0.029004 # DEPENDENCYPART_SIBL
(24,2),(24,15),-0.0291992 # DEPENDENCYPART_SIBL
(24,2),(24,16),-0.0243433 # DEPENDENCYPART_SIBL
(24,2),(24,17),-0.020635 # DEPENDENCYPART_SIBL
(24,2),(24,18),-0.0251695 # DEPENDENCYPART_SIBL
(24,2),(24,19),-0.0358204 # DEPENDENCYPART_SIBL
(24,2),(24,20),-0.0181831 # DEPENDENCYPART_SIBL
(24,2),(24,21),0.0467201 # DEPENDENCYPART_SIBL
(24,2),(24,22),-0.0358204 # DEPENDENCYPART_SIBL
(24,2),(24,23),-0.026966 # DEPENDENCYPART_SIBL
(24,2),(24,25),0.0258952 # DEPENDENCYPART_SIBL
(24,2),(24,26),-0.0339172 # DEPENDENCYPART_SIBL
(24,2),(24,27),0.116162 # DEPENDENCYPART_SIBL
(24,3),(24,4),-0.0514126 # DEPENDENCYPART_SIBL
(24,3),(24,5),-0.0243866 # DEPENDENCYPART_SIBL
(24,3),(24,6),-0.0672148 # DEPENDENCYPART_SIBL
(24,3),(24,7),-0.0854636 # DEPENDENCYPART_SIBL
(24,3),(24,8),-0.065651 # DEPENDENCYPART_SIBL
(24,3),(24,9),-0.074098 # DEPENDENCYPART_SIBL
(24,3),(24,10),-0.060622 # DEPENDENCYPART_SIBL
(24,3),(24,11),-0.0946656 # DEPENDENCYPART_SIBL
(24,3),(24,12),-0.0766667 # DEPENDENCYPART_SIBL
(24,3),(24,13),-0.0454711 # DEPENDENCYPART_SIBL
(24,3),(24,14),-0.0698486 # DEPENDENCYPART_SIBL
(24,3),(24,15),-0.153645 # DEPENDENCYPART_SIBL
(24,3),(24,16),-0.0610168 # DEPENDENCYPART_SIBL
(24,3),(24,17),-0.060622 # DEPENDENCYPART_SIBL
(24,3),(24,18),-0.091986 # DEPENDENCYPART_SIBL
(24,3),(24,19),-0.0766667 # DEPENDENCYPART_SIBL
(24,3),(24,20),-0.0910234 # DEPENDENCYPART_SIBL
(24,3),(24,21),-0.0260952 # DEPENDENCYPART_SIBL
(24,3),(24,22),-0.0766667 # DEPENDENCYPART_SIBL
(24,3),(24,23),-0.0676167 # DEPENDENCYPART_SIBL
(24,3),(24,25),-0.155934 # DEPENDENCYPART_SIBL
(24,3),(24,26),-0.439799 # DEPENDENCYPART_SIBL
(24,3),(24,27),0.0341486 # DEPENDENCYPART_SIBL
(24,4),(24,5),0.0857394 # DEPENDENCYPART_SIBL
(24,4),(24,6),-0.00534856 # DEPENDENCYPART_SIBL
(24,4),(24,7),-0.0542447 # DEPENDENCYPART_SIBL
(24,4),(24,8),-0.0140418 # DEPENDENCYPART_SIBL
(24,4),(24,9),-0.0310678 # DEPENDENCYPART_SIBL
(24,4),(24,10),-0.0271534 # DEPENDENCYPART_SIBL
(24,4),(24,11),-0.0284562 # DEPENDENCYPART_SIBL
(24,4),(24,12),-0.0503307 # DEPENDENCYPART_SIBL
(24,4),(24,13),-0.0193472 # DEPENDENCYPART_SIBL
(24,4),(24,14),-0.0435306 # DEPENDENCYPART_SIBL
(24,4),(24,15),0.00530485 # DEPENDENCYPART_SIBL
(24,4),(24,16),-0.0413271 # DEPENDENCYPART_SIBL
(24,4),(24,17),-0.0271534 # DEPENDENCYPART_SIBL
(24,4),(24,18),-0.129296 # DEPENDENCYPART_SIBL
(24,4),(24,19),-0.0503307 # DEPENDENCYPART_SIBL
(24,4),(24,20),-0.028024 # DEPENDENCYPART_SIBL
(24,4),(24,21),-0.00195267 # DEPENDENCYPART_SIBL
(24,4),(24,22),-0.0503307 # DEPENDENCYPART_SIBL
(24,4),(24,23),-0.0414926 # DEPENDENCYPART_SIBL
(24,4),(24,25),-0.0454695 # DEPENDENCYPART_SIBL
(24,4),(24,26),-0.00318489 # DEPENDENCYPART_SIBL
(24,4),(24,27),-0.0227256 # DEPENDENCYPART_SIBL
(24,5),(24,6),-0.121605 # DEPENDENCYPART_SIBL
(24,5),(24,7),-0.0948081 # DEPENDENCYPART_SIBL
(24,5),(24,8),-0.061577 # DEPENDENCYPART_SIBL
(24,5),(24,9),-0.0632654 # DEPENDENCYPART_SIBL
(24,5),(24,10),-0.0721695 # DEPENDENCYPART_SIBL
(24,5),(24,11),-0.100086 # DEPENDENCYPART_SIBL
(24,5),(24,12),-0.13316 # DEPENDENCYPART_SIBL
(24,5),(24,13),-0.10218 # DEPENDENCYPART_SIBL
(24,5),(24,14),-0.126363 # DEPENDENCYPART_SIBL
(24,5),(24,15),-0.0817715 # DEPENDENCYPART_SIBL
(24,5),(24,16),-0.12416 # DEPENDENCYPART_SIBL
(24,5),(24,17),-0.0721695 # DEPENDENCYPART_SIBL
(24,5),(24,18),-0.0862685 # DEPENDENCYPART_SIBL
(24,5),(24,19),-0.13316 # DEPENDENCYPART_SIBL
(24,5),(24,20),-0.101461 # DEPENDENCYPART_SIBL
(24,5),(24,21),-0.0224539 # DEPENDENCYPART_SIBL
(24,5),(24,22),-0.13316 # DEPENDENCYPART_SIBL
(24,5),(24,23),-0.124325 # DEPENDENCYPART_SIBL
(24,5),(24,25),-0.00331524 # DEPENDENCYPART_SIBL
(24,5),(24,26),-0.230704 # DEPENDENCYPART_SIBL
(24,5),(24,27),0.0254704 # DEPENDENCYPART_SIBL
(24,6),(24,7),-0.0807181 # DEPENDENCYPART_SIBL
(24,6),(24,8),-0.0611484 # DEPENDENCYPART_SIBL
(24,6),(24,9),-0.0740873 # DEPENDENCYPART_SIBL
(24,6),(24,10),-0.0575347 # DEPENDENCYPART_SIBL
(24,6),(24,11),-0.0897324 # DEPENDENCYPART_SIBL
(24,6),(24,12),-0.0843058 # DEPENDENCYPART_SIBL
(24,6),(24,13),-0.0531194 # DEPENDENCYPART_SIBL
(24,6),(24,14),-0.0774969 # DEPENDENCYPART_SIBL
(24,6),(24,15),-0.141763 # DEPENDENCYPART_SIBL
(24,6),(24,16),-0.0686638 # DEPENDENCYPART_SIBL
(24,6),(24,17),-0.0575347 # DEPENDENCYPART_SIBL
(24,6),(24,18),-0.081414 # DEPENDENCYPART_SIBL
(24,6),(24,19),-0.0843058 # DEPENDENCYPART_SIBL
(24,6),(24,20),-0.0862744 # DEPENDENCYPART_SIBL
(24,6),(24,21),-0.0110563 # DEPENDENCYPART_SIBL
(24,6),(24,22),-0.0843058 # DEPENDENCYPART_SIBL
(24,6),(24,23),-0.075265 # DEPENDENCYPART_SIBL
(24,6),(24,25),-0.145514 # DEPENDENCYPART_SIBL
(24,6),(24,26),-0.423188 # DEPENDENCYPART_SIBL
(24,6),(24,27),0.0248902 # DEPENDENCYPART_SIBL
(24,7),(24,8),-0.0345738 # DEPENDENCYPART_SIBL
(24,7),(24,9),-0.0357286 # DEPENDENCYPART_SIBL
(24,7),(24,10),-0.0465875 # DEPENDENCYPART_SIBL
(24,7),(24,11),-0.201852 # DEPENDENCYPART_SIBL
(24,7),(24,12),-0.00404535 # DEPENDENCYPART_SIBL
(24,7),(24,13),0.0240766 # DEPENDENCYPART_SIBL
(24,7),(24,14),1.07001e-05 # DEPENDENCYPART_SIBL
(24,7),(24,15),-0.0951499 # DEPENDENCYPART_SIBL
(24,7),(24,16),0.00606895 # DEPENDENCYPART_SIBL
(24,7),(24,17),-0.0465875 # DEPENDENCYPART_SIBL
(24,7),(24,18),-0.103402 # DEPENDENCYPART_SIBL
(24,7),(24,19),-0.00404535 # DEPENDENCYPART_SIBL
(24,7),(24,20),-0.204506 # DEPENDENCYPART_SIBL
(24,7),(24,21),-0.0123842 # DEPENDENCYPART_SIBL
(24,7),(24,22),-0.00404535 # DEPENDENCYPART_SIBL
(24,7),(24,23),0.00824564 # DEPENDENCYPART_SIBL
(24,7),(24,25),0.0424208 # DEPENDENCYPART_SIBL
(24,7),(24,26),0.0145149 # DEPENDENCYPART_SIBL
(24,7),(24,27),-0.0882825 # DEPENDENCYPART_SIBL
(24,8),(24,9),-0.0260615 # DEPENDENCYPART_SIBL
(24,8),(24,10),-0.0281981 # DEPENDENCYPART_SIBL
(24,8),(24,11),-0.0902994 # DEPENDENCYPART_SIBL
(24,8),(24,12),0.00398766 # DEPENDENCYPART_SIBL
(24,8),(24,13),0.0475314 # DEPENDENCYPART_SIBL
(24,8),(24,14),0.0233641 # DEPENDENCYPART_SIBL
(24,8),(24,15),-0.0128744 # DEPENDENCYPART_SIBL
(24,8),(24,16),0.0255398 # DEPENDENCYPART_SIBL
(24,8),(24,17),-0.0281981 # DEPENDENCYPART_SIBL
(24,8),(24,18),-0.0614299 # DEPENDENCYPART_SIBL
(24,8),(24,19),0.00398766 # DEPENDENCYPART_SIBL
(24,8),(24,20),-0.0628999 # DEPENDENCYPART_SIBL
(24,8),(24,21),0.116382 # DEPENDENCYPART_SIBL
(24,8),(24,22),0.00398766 # DEPENDENCYPART_SIBL
(24,8),(24,23),0.0279121 # DEPENDENCYPART_SIBL
(24,8),(24,25),0.461643 # DEPENDENCYPART_SIBL
(24,8),(24,26),0.0300796 # DEPENDENCYPART_SIBL
(24,8),(24,27),-0.0715266 # DEPENDENCYPART_SIBL
(24,9),(24,10),-0.029871 # DEPENDENCYPART_SIBL
(24,9),(24,11),-0.0873692 # DEPENDENCYPART_SIBL
(24,9),(24,12),-0.00276396 # DEPENDENCYPART_SIBL
(24,9),(24,13),0.0426073 # DEPENDENCYPART_SIBL
