# _root_ In addition , corporations are now shouldering a bigger share of the tax burden , as the authors of the 1986 law hoped .
#goldHeads=5,1,5,5,0,5,5,10,10,7,10,14,14,11,7,23,18,23,18,22,22,19,7,5,
#predictedHeads=5,1,5,5,0,5,5,10,10,7,10,14,14,11,7,23,18,23,18,22,22,19,7,5,
(0,23),(23,16),-0.769007 # DEPENDENCYPART_GRANDPAR
(0,23),(23,17),-0.892395 # DEPENDENCYPART_GRANDPAR
(0,23),(23,18),-0.106396 # DEPENDENCYPART_GRANDPAR
(0,23),(23,19),-0.75882 # DEPENDENCYPART_GRANDPAR
(0,23),(23,20),-0.93715 # DEPENDENCYPART_GRANDPAR
(0,23),(23,21),-0.396049 # DEPENDENCYPART_GRANDPAR
(0,23),(23,22),-0.647646 # DEPENDENCYPART_GRANDPAR
(0,23),(23,24),2.83487 # DEPENDENCYPART_GRANDPAR
(1,2),(2,1),-0.962725 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,2),(2,3),0.716337 # DEPENDENCYPART_GRANDPAR
(1,2),(2,4),0.493559 # DEPENDENCYPART_GRANDPAR
(1,2),(2,5),-0.121311 # DEPENDENCYPART_GRANDPAR
(1,2),(2,6),-0.0722374 # DEPENDENCYPART_GRANDPAR
(1,2),(2,7),-0.151092 # DEPENDENCYPART_GRANDPAR
(1,2),(2,10),-0.333319 # DEPENDENCYPART_GRANDPAR
(1,2),(2,14),-0.600292 # DEPENDENCYPART_GRANDPAR
(1,2),(2,15),-0.00323918 # DEPENDENCYPART_GRANDPAR
(1,2),(2,18),-1.20851 # DEPENDENCYPART_GRANDPAR
(1,2),(2,24),-0.429679 # DEPENDENCYPART_GRANDPAR
(1,3),(3,1),-1.02709 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,4),(4,1),-0.962263 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,4),(4,2),0.913491 # DEPENDENCYPART_GRANDPAR
(1,4),(4,3),0.445228 # DEPENDENCYPART_GRANDPAR
(1,4),(4,5),-0.118311 # DEPENDENCYPART_GRANDPAR
(1,4),(4,6),-0.0867411 # DEPENDENCYPART_GRANDPAR
(1,4),(4,7),-0.148176 # DEPENDENCYPART_GRANDPAR
(1,4),(4,10),-0.345946 # DEPENDENCYPART_GRANDPAR
(1,4),(4,11),-0.366319 # DEPENDENCYPART_GRANDPAR
(1,5),(5,1),-1.11836 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,5),(5,2),0.672505 # DEPENDENCYPART_GRANDPAR
(1,5),(5,3),0.234077 # DEPENDENCYPART_GRANDPAR
(1,5),(5,4),0.276964 # DEPENDENCYPART_GRANDPAR
(1,5),(5,6),-0.187497 # DEPENDENCYPART_GRANDPAR
(1,5),(5,7),-0.305838 # DEPENDENCYPART_GRANDPAR
(1,5),(5,8),-0.542853 # DEPENDENCYPART_GRANDPAR
(1,5),(5,9),-0.390951 # DEPENDENCYPART_GRANDPAR
(1,5),(5,10),-0.245481 # DEPENDENCYPART_GRANDPAR
(1,5),(5,11),-0.38365 # DEPENDENCYPART_GRANDPAR
(1,5),(5,14),-0.505209 # DEPENDENCYPART_GRANDPAR
(1,5),(5,15),-0.196559 # DEPENDENCYPART_GRANDPAR
(1,5),(5,16),-0.0599558 # DEPENDENCYPART_GRANDPAR
(1,5),(5,23),-0.350457 # DEPENDENCYPART_GRANDPAR
(1,5),(5,24),-0.485605 # DEPENDENCYPART_GRANDPAR
(1,6),(6,1),-0.996032 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,6),(6,3),0.538342 # DEPENDENCYPART_GRANDPAR
(1,6),(6,4),0.529765 # DEPENDENCYPART_GRANDPAR
(1,6),(6,5),-0.0518688 # DEPENDENCYPART_GRANDPAR
(1,6),(6,7),-0.20796 # DEPENDENCYPART_GRANDPAR
(1,6),(6,8),-0.471079 # DEPENDENCYPART_GRANDPAR
(1,6),(6,10),-0.304996 # DEPENDENCYPART_GRANDPAR
(1,6),(6,11),-0.297841 # DEPENDENCYPART_GRANDPAR
(1,6),(6,15),-0.110075 # DEPENDENCYPART_GRANDPAR
(1,7),(7,1),-1.08278 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,7),(7,2),0.673142 # DEPENDENCYPART_GRANDPAR
(1,7),(7,3),0.267864 # DEPENDENCYPART_GRANDPAR
(1,7),(7,4),0.27759 # DEPENDENCYPART_GRANDPAR
(1,7),(7,5),-0.26113 # DEPENDENCYPART_GRANDPAR
(1,7),(7,6),-0.284325 # DEPENDENCYPART_GRANDPAR
(1,7),(7,8),-0.525675 # DEPENDENCYPART_GRANDPAR
(1,7),(7,9),-0.405927 # DEPENDENCYPART_GRANDPAR
(1,7),(7,10),-0.19942 # DEPENDENCYPART_GRANDPAR
(1,7),(7,11),-0.346348 # DEPENDENCYPART_GRANDPAR
(1,7),(7,13),-0.878634 # DEPENDENCYPART_GRANDPAR
(1,7),(7,14),-0.459188 # DEPENDENCYPART_GRANDPAR
(1,7),(7,15),-0.186546 # DEPENDENCYPART_GRANDPAR
(1,7),(7,16),-0.00682824 # DEPENDENCYPART_GRANDPAR
(1,7),(7,18),-1.06058 # DEPENDENCYPART_GRANDPAR
(1,7),(7,19),-0.629761 # DEPENDENCYPART_GRANDPAR
(1,7),(7,23),-0.304843 # DEPENDENCYPART_GRANDPAR
(1,7),(7,24),-0.501359 # DEPENDENCYPART_GRANDPAR
(2,1),(1,2),-1.48042 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,1),(1,3),-0.458067 # DEPENDENCYPART_GRANDPAR
(2,1),(1,4),-0.462785 # DEPENDENCYPART_GRANDPAR
(2,1),(1,5),-0.381737 # DEPENDENCYPART_GRANDPAR
(2,1),(1,6),-0.403856 # DEPENDENCYPART_GRANDPAR
(2,1),(1,7),-0.740823 # DEPENDENCYPART_GRANDPAR
(2,3),(3,1),-0.893285 # DEPENDENCYPART_GRANDPAR
(2,4),(4,1),-0.956869 # DEPENDENCYPART_GRANDPAR
(2,4),(4,2),-0.812671 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,4),(4,3),0.127578 # DEPENDENCYPART_GRANDPAR
(2,4),(4,5),0.198324 # DEPENDENCYPART_GRANDPAR
(2,4),(4,6),0.0665839 # DEPENDENCYPART_GRANDPAR
(2,4),(4,7),-0.188746 # DEPENDENCYPART_GRANDPAR
(2,4),(4,10),-0.476313 # DEPENDENCYPART_GRANDPAR
(2,4),(4,11),-0.262991 # DEPENDENCYPART_GRANDPAR
(2,5),(5,1),-1.08632 # DEPENDENCYPART_GRANDPAR
(2,5),(5,2),-0.86322 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,5),(5,3),-0.0289722 # DEPENDENCYPART_GRANDPAR
(2,5),(5,4),0.158202 # DEPENDENCYPART_GRANDPAR
(2,5),(5,6),0.187619 # DEPENDENCYPART_GRANDPAR
(2,5),(5,7),-0.212251 # DEPENDENCYPART_GRANDPAR
(2,5),(5,8),-0.167064 # DEPENDENCYPART_GRANDPAR
(2,5),(5,9),-0.161575 # DEPENDENCYPART_GRANDPAR
(2,5),(5,10),-0.501462 # DEPENDENCYPART_GRANDPAR
(2,5),(5,11),-0.212114 # DEPENDENCYPART_GRANDPAR
(2,5),(5,14),-0.437796 # DEPENDENCYPART_GRANDPAR
(2,5),(5,15),-0.188825 # DEPENDENCYPART_GRANDPAR
(2,5),(5,16),-0.0294989 # DEPENDENCYPART_GRANDPAR
(2,5),(5,23),-0.581678 # DEPENDENCYPART_GRANDPAR
(2,5),(5,24),-1.09798 # DEPENDENCYPART_GRANDPAR
(2,6),(6,1),-0.873808 # DEPENDENCYPART_GRANDPAR
(2,6),(6,3),0.0603274 # DEPENDENCYPART_GRANDPAR
(2,6),(6,4),0.195447 # DEPENDENCYPART_GRANDPAR
(2,6),(6,5),0.282978 # DEPENDENCYPART_GRANDPAR
(2,6),(6,7),-0.141371 # DEPENDENCYPART_GRANDPAR
(2,6),(6,8),-0.0815891 # DEPENDENCYPART_GRANDPAR
(2,6),(6,10),-0.481561 # DEPENDENCYPART_GRANDPAR
(2,6),(6,11),-0.110845 # DEPENDENCYPART_GRANDPAR
(2,6),(6,15),-0.116366 # DEPENDENCYPART_GRANDPAR
(2,7),(7,1),-1.07494 # DEPENDENCYPART_GRANDPAR
(2,7),(7,2),-0.926704 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,7),(7,3),-0.00792672 # DEPENDENCYPART_GRANDPAR
(2,7),(7,4),0.0947106 # DEPENDENCYPART_GRANDPAR
(2,7),(7,5),0.20743 # DEPENDENCYPART_GRANDPAR
(2,7),(7,6),0.145395 # DEPENDENCYPART_GRANDPAR
(2,7),(7,8),-0.175963 # DEPENDENCYPART_GRANDPAR
(2,7),(7,9),-0.221351 # DEPENDENCYPART_GRANDPAR
(2,7),(7,10),-0.480154 # DEPENDENCYPART_GRANDPAR
(2,7),(7,11),-0.182548 # DEPENDENCYPART_GRANDPAR
(2,7),(7,13),-0.427676 # DEPENDENCYPART_GRANDPAR
(2,7),(7,14),-0.416528 # DEPENDENCYPART_GRANDPAR
(2,7),(7,15),-0.195833 # DEPENDENCYPART_GRANDPAR
(2,7),(7,16),0.0151363 # DEPENDENCYPART_GRANDPAR
(2,7),(7,18),-0.756899 # DEPENDENCYPART_GRANDPAR
(2,7),(7,19),-0.583361 # DEPENDENCYPART_GRANDPAR
(2,7),(7,23),-0.588329 # DEPENDENCYPART_GRANDPAR
(2,7),(7,24),-1.13606 # DEPENDENCYPART_GRANDPAR
(2,10),(10,1),-0.957172 # DEPENDENCYPART_GRANDPAR
(2,10),(10,4),0.184287 # DEPENDENCYPART_GRANDPAR
(2,10),(10,5),0.287766 # DEPENDENCYPART_GRANDPAR
(2,10),(10,6),0.157037 # DEPENDENCYPART_GRANDPAR
(2,10),(10,7),-0.0603558 # DEPENDENCYPART_GRANDPAR
(2,10),(10,8),0.375679 # DEPENDENCYPART_GRANDPAR
(2,10),(10,9),-0.102926 # DEPENDENCYPART_GRANDPAR
(2,10),(10,11),-0.30669 # DEPENDENCYPART_GRANDPAR
(2,10),(10,12),-0.336024 # DEPENDENCYPART_GRANDPAR
(2,10),(10,13),-0.508887 # DEPENDENCYPART_GRANDPAR
(2,10),(10,14),-0.486103 # DEPENDENCYPART_GRANDPAR
(2,10),(10,15),-0.18569 # DEPENDENCYPART_GRANDPAR
(2,10),(10,16),-0.221405 # DEPENDENCYPART_GRANDPAR
(2,10),(10,18),-0.832844 # DEPENDENCYPART_GRANDPAR
(2,10),(10,19),-0.707502 # DEPENDENCYPART_GRANDPAR
(2,10),(10,22),-0.804155 # DEPENDENCYPART_GRANDPAR
(2,10),(10,23),-0.619139 # DEPENDENCYPART_GRANDPAR
(2,10),(10,24),-1.03913 # DEPENDENCYPART_GRANDPAR
(2,14),(14,3),0.126826 # DEPENDENCYPART_GRANDPAR
(2,14),(14,5),0.282548 # DEPENDENCYPART_GRANDPAR
(2,14),(14,8),0.280335 # DEPENDENCYPART_GRANDPAR
(2,14),(14,9),-0.103771 # DEPENDENCYPART_GRANDPAR
(2,14),(14,10),-0.48741 # DEPENDENCYPART_GRANDPAR
(2,14),(14,11),-0.0730594 # DEPENDENCYPART_GRANDPAR
(2,14),(14,12),0.00185351 # DEPENDENCYPART_GRANDPAR
(2,14),(14,13),-0.493409 # DEPENDENCYPART_GRANDPAR
(2,14),(14,15),-0.148338 # DEPENDENCYPART_GRANDPAR
(2,14),(14,16),-0.161468 # DEPENDENCYPART_GRANDPAR
(2,14),(14,18),-0.788342 # DEPENDENCYPART_GRANDPAR
(2,14),(14,19),-0.661047 # DEPENDENCYPART_GRANDPAR
(2,14),(14,21),-0.242979 # DEPENDENCYPART_GRANDPAR
(2,14),(14,22),-0.759654 # DEPENDENCYPART_GRANDPAR
(2,14),(14,23),-0.556849 # DEPENDENCYPART_GRANDPAR
(2,14),(14,24),-0.999095 # DEPENDENCYPART_GRANDPAR
(2,18),(18,12),-0.000995402 # DEPENDENCYPART_GRANDPAR
(2,18),(18,16),-0.128126 # DEPENDENCYPART_GRANDPAR
(2,18),(18,17),-0.199149 # DEPENDENCYPART_GRANDPAR
(2,18),(18,19),-0.662539 # DEPENDENCYPART_GRANDPAR
(2,18),(18,20),-0.744272 # DEPENDENCYPART_GRANDPAR
(2,18),(18,21),-0.242973 # DEPENDENCYPART_GRANDPAR
(2,18),(18,22),-0.754638 # DEPENDENCYPART_GRANDPAR
(2,18),(18,23),-0.563334 # DEPENDENCYPART_GRANDPAR
(2,18),(18,24),-0.999089 # DEPENDENCYPART_GRANDPAR
(3,1),(1,2),-0.0916813 # DEPENDENCYPART_GRANDPAR
(3,1),(1,3),-1.29667 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,1),(1,4),-0.34967 # DEPENDENCYPART_GRANDPAR
(3,1),(1,5),-0.419235 # DEPENDENCYPART_GRANDPAR
(3,1),(1,6),-0.334134 # DEPENDENCYPART_GRANDPAR
(3,1),(1,7),-0.599497 # DEPENDENCYPART_GRANDPAR
(4,1),(1,2),0.345 # DEPENDENCYPART_GRANDPAR
(4,1),(1,3),0.929422 # DEPENDENCYPART_GRANDPAR
(4,1),(1,4),-1.45815 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,1),(1,5),-0.655912 # DEPENDENCYPART_GRANDPAR
(4,1),(1,6),-0.591799 # DEPENDENCYPART_GRANDPAR
(4,1),(1,7),-0.810828 # DEPENDENCYPART_GRANDPAR
(4,2),(2,1),0.163522 # DEPENDENCYPART_GRANDPAR
(4,2),(2,3),1.01008 # DEPENDENCYPART_GRANDPAR
(4,2),(2,4),-1.40896 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,2),(2,5),-0.725685 # DEPENDENCYPART_GRANDPAR
(4,2),(2,6),-0.639862 # DEPENDENCYPART_GRANDPAR
(4,2),(2,7),-0.878865 # DEPENDENCYPART_GRANDPAR
(4,2),(2,10),-1.00635 # DEPENDENCYPART_GRANDPAR
(4,2),(2,14),-0.96571 # DEPENDENCYPART_GRANDPAR
(4,2),(2,15),-0.93966 # DEPENDENCYPART_GRANDPAR
(4,2),(2,18),-1.39286 # DEPENDENCYPART_GRANDPAR
(4,2),(2,24),-1.76258 # DEPENDENCYPART_GRANDPAR
(4,3),(3,1),0.187425 # DEPENDENCYPART_GRANDPAR
(4,5),(5,1),-0.466038 # DEPENDENCYPART_GRANDPAR
(4,5),(5,2),-0.420513 # DEPENDENCYPART_GRANDPAR
(4,5),(5,3),0.305912 # DEPENDENCYPART_GRANDPAR
(4,5),(5,4),-0.829324 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,5),(5,6),0.00490227 # DEPENDENCYPART_GRANDPAR
(4,5),(5,7),-0.290197 # DEPENDENCYPART_GRANDPAR
(4,5),(5,8),-0.194875 # DEPENDENCYPART_GRANDPAR
(4,5),(5,9),-0.294956 # DEPENDENCYPART_GRANDPAR
(4,5),(5,10),-0.377852 # DEPENDENCYPART_GRANDPAR
(4,5),(5,11),-0.351244 # DEPENDENCYPART_GRANDPAR
(4,5),(5,14),-0.296387 # DEPENDENCYPART_GRANDPAR
(4,5),(5,15),-0.23932 # DEPENDENCYPART_GRANDPAR
(4,5),(5,16),-0.0639347 # DEPENDENCYPART_GRANDPAR
(4,5),(5,23),-0.743237 # DEPENDENCYPART_GRANDPAR
(4,5),(5,24),-1.20266 # DEPENDENCYPART_GRANDPAR
(4,6),(6,1),-0.253523 # DEPENDENCYPART_GRANDPAR
(4,6),(6,3),0.457857 # DEPENDENCYPART_GRANDPAR
(4,6),(6,4),-0.799302 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,6),(6,5),0.00925469 # DEPENDENCYPART_GRANDPAR
(4,6),(6,7),-0.226755 # DEPENDENCYPART_GRANDPAR
(4,6),(6,8),-0.117323 # DEPENDENCYPART_GRANDPAR
(4,6),(6,10),-0.375039 # DEPENDENCYPART_GRANDPAR
(4,6),(6,11),-0.257214 # DEPENDENCYPART_GRANDPAR
(4,6),(6,15),-0.174798 # DEPENDENCYPART_GRANDPAR
(4,7),(7,1),-0.454652 # DEPENDENCYPART_GRANDPAR
(4,7),(7,2),-0.413381 # DEPENDENCYPART_GRANDPAR
(4,7),(7,3),0.30747 # DEPENDENCYPART_GRANDPAR
(4,7),(7,4),-0.892911 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,7),(7,5),-0.0594335 # DEPENDENCYPART_GRANDPAR
(4,7),(7,6),-0.0357536 # DEPENDENCYPART_GRANDPAR
(4,7),(7,8),-0.203853 # DEPENDENCYPART_GRANDPAR
(4,7),(7,9),-0.354812 # DEPENDENCYPART_GRANDPAR
(4,7),(7,10),-0.356623 # DEPENDENCYPART_GRANDPAR
(4,7),(7,11),-0.321837 # DEPENDENCYPART_GRANDPAR
(4,7),(7,13),-0.419534 # DEPENDENCYPART_GRANDPAR
(4,7),(7,14),-0.275198 # DEPENDENCYPART_GRANDPAR
(4,7),(7,15),-0.246407 # DEPENDENCYPART_GRANDPAR
(4,7),(7,16),-0.0194581 # DEPENDENCYPART_GRANDPAR
(4,7),(7,18),-0.696907 # DEPENDENCYPART_GRANDPAR
(4,7),(7,19),-0.649689 # DEPENDENCYPART_GRANDPAR
(4,7),(7,23),-0.749967 # DEPENDENCYPART_GRANDPAR
(4,7),(7,24),-1.24082 # DEPENDENCYPART_GRANDPAR
(4,10),(10,1),-0.33689 # DEPENDENCYPART_GRANDPAR
(4,10),(10,4),-0.808204 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,10),(10,5),0.0159228 # DEPENDENCYPART_GRANDPAR
(4,10),(10,6),-0.029106 # DEPENDENCYPART_GRANDPAR
(4,10),(10,7),-0.128029 # DEPENDENCYPART_GRANDPAR
(4,10),(10,8),0.343889 # DEPENDENCYPART_GRANDPAR
(4,10),(10,9),-0.241255 # DEPENDENCYPART_GRANDPAR
(4,10),(10,11),-0.454264 # DEPENDENCYPART_GRANDPAR
(4,10),(10,12),-0.404644 # DEPENDENCYPART_GRANDPAR
(4,10),(10,13),-0.519305 # DEPENDENCYPART_GRANDPAR
(4,10),(10,14),-0.363334 # DEPENDENCYPART_GRANDPAR
(4,10),(10,15),-0.245195 # DEPENDENCYPART_GRANDPAR
(4,10),(10,16),-0.264305 # DEPENDENCYPART_GRANDPAR
(4,10),(10,18),-0.791412 # DEPENDENCYPART_GRANDPAR
(4,10),(10,19),-0.782116 # DEPENDENCYPART_GRANDPAR
(4,10),(10,22),-0.724828 # DEPENDENCYPART_GRANDPAR
(4,10),(10,23),-0.789559 # DEPENDENCYPART_GRANDPAR
(4,10),(10,24),-1.15314 # DEPENDENCYPART_GRANDPAR
(4,11),(11,9),-0.445628 # DEPENDENCYPART_GRANDPAR
(4,11),(11,10),-0.489797 # DEPENDENCYPART_GRANDPAR
(4,11),(11,12),-0.204332 # DEPENDENCYPART_GRANDPAR
(4,11),(11,13),-0.312165 # DEPENDENCYPART_GRANDPAR
(4,11),(11,14),-0.158039 # DEPENDENCYPART_GRANDPAR
(4,11),(11,15),-0.115315 # DEPENDENCYPART_GRANDPAR
(4,11),(11,16),0.0440199 # DEPENDENCYPART_GRANDPAR
(4,11),(11,18),-0.597071 # DEPENDENCYPART_GRANDPAR
(4,11),(11,19),-0.480275 # DEPENDENCYPART_GRANDPAR
(5,1),(1,2),0.365723 # DEPENDENCYPART_GRANDPAR
(5,1),(1,3),0.398062 # DEPENDENCYPART_GRANDPAR
(5,1),(1,4),0.342025 # DEPENDENCYPART_GRANDPAR
(5,1),(1,5),-0.86804 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,1),(1,6),0.0327378 # DEPENDENCYPART_GRANDPAR
(5,1),(1,7),-0.0720179 # DEPENDENCYPART_GRANDPAR
(5,2),(2,1),0.550638 # DEPENDENCYPART_GRANDPAR
(5,2),(2,3),0.521315 # DEPENDENCYPART_GRANDPAR
(5,2),(2,4),0.257845 # DEPENDENCYPART_GRANDPAR
(5,2),(2,5),-0.775848 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,2),(2,6),0.100219 # DEPENDENCYPART_GRANDPAR
(5,2),(2,7),0.0209751 # DEPENDENCYPART_GRANDPAR
(5,2),(2,10),-0.192878 # DEPENDENCYPART_GRANDPAR
(5,2),(2,14),-0.273433 # DEPENDENCYPART_GRANDPAR
(5,2),(2,15),-0.0034841 # DEPENDENCYPART_GRANDPAR
(5,2),(2,18),-0.319304 # DEPENDENCYPART_GRANDPAR
(5,2),(2,24),-1.26331 # DEPENDENCYPART_GRANDPAR
(5,3),(3,1),0.49117 # DEPENDENCYPART_GRANDPAR
(5,4),(4,1),0.539881 # DEPENDENCYPART_GRANDPAR
(5,4),(4,2),0.305106 # DEPENDENCYPART_GRANDPAR
(5,4),(4,3),0.691207 # DEPENDENCYPART_GRANDPAR
(5,4),(4,5),-0.775895 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,4),(4,6),0.100093 # DEPENDENCYPART_GRANDPAR
(5,4),(4,7),0.0209287 # DEPENDENCYPART_GRANDPAR
(5,4),(4,10),-0.193212 # DEPENDENCYPART_GRANDPAR
(5,4),(4,11),0.107124 # DEPENDENCYPART_GRANDPAR
(5,6),(6,1),0.294472 # DEPENDENCYPART_GRANDPAR
(5,6),(6,3),-0.0238489 # DEPENDENCYPART_GRANDPAR
(5,6),(6,4),-0.150028 # DEPENDENCYPART_GRANDPAR
(5,6),(6,5),-0.524659 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,6),(6,7),0.328236 # DEPENDENCYPART_GRANDPAR
(5,6),(6,8),-0.0270493 # DEPENDENCYPART_GRANDPAR
(5,6),(6,10),0.000659552 # DEPENDENCYPART_GRANDPAR
(5,6),(6,11),0.399894 # DEPENDENCYPART_GRANDPAR
(5,6),(6,15),0.613531 # DEPENDENCYPART_GRANDPAR
(5,7),(7,1),0.192602 # DEPENDENCYPART_GRANDPAR
(5,7),(7,2),-0.259622 # DEPENDENCYPART_GRANDPAR
(5,7),(7,3),-0.120679 # DEPENDENCYPART_GRANDPAR
(5,7),(7,4),-0.244641 # DEPENDENCYPART_GRANDPAR
(5,7),(7,5),-0.645816 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,7),(7,6),0.243707 # DEPENDENCYPART_GRANDPAR
(5,7),(7,8),-0.134419 # DEPENDENCYPART_GRANDPAR
(5,7),(7,9),0.113512 # DEPENDENCYPART_GRANDPAR
(5,7),(7,10),0.0815388 # DEPENDENCYPART_GRANDPAR
(5,7),(7,11),0.324263 # DEPENDENCYPART_GRANDPAR
(5,7),(7,13),0.00222726 # DEPENDENCYPART_GRANDPAR
(5,7),(7,14),0.00195722 # DEPENDENCYPART_GRANDPAR
(5,7),(7,15),0.705985 # DEPENDENCYPART_GRANDPAR
(5,7),(7,16),0.630985 # DEPENDENCYPART_GRANDPAR
(5,7),(7,18),-0.0418085 # DEPENDENCYPART_GRANDPAR
(5,7),(7,19),-0.20219 # DEPENDENCYPART_GRANDPAR
(5,7),(7,23),0.257144 # DEPENDENCYPART_GRANDPAR
(5,7),(7,24),-0.953347 # DEPENDENCYPART_GRANDPAR
(5,8),(8,9),0.0858754 # DEPENDENCYPART_GRANDPAR
(5,8),(8,11),0.35301 # DEPENDENCYPART_GRANDPAR
(5,8),(8,15),0.631681 # DEPENDENCYPART_GRANDPAR
(5,9),(9,4),-0.064452 # DEPENDENCYPART_GRANDPAR
(5,9),(9,6),0.329959 # DEPENDENCYPART_GRANDPAR
(5,9),(9,8),-0.215691 # DEPENDENCYPART_GRANDPAR
(5,9),(9,11),0.276768 # DEPENDENCYPART_GRANDPAR
(5,9),(9,14),-0.0590419 # DEPENDENCYPART_GRANDPAR
(5,10),(10,1),0.425437 # DEPENDENCYPART_GRANDPAR
(5,10),(10,4),0.0956046 # DEPENDENCYPART_GRANDPAR
(5,10),(10,5),-0.459376 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,10),(10,6),0.252608 # DEPENDENCYPART_GRANDPAR
(5,10),(10,7),0.355074 # DEPENDENCYPART_GRANDPAR
(5,10),(10,8),0.138203 # DEPENDENCYPART_GRANDPAR
(5,10),(10,9),-0.0278626 # DEPENDENCYPART_GRANDPAR
(5,10),(10,11),0.329907 # DEPENDENCYPART_GRANDPAR
(5,10),(10,12),-0.441787 # DEPENDENCYPART_GRANDPAR
(5,10),(10,13),-0.074011 # DEPENDENCYPART_GRANDPAR
(5,10),(10,14),-0.0497942 # DEPENDENCYPART_GRANDPAR
(5,10),(10,15),0.753273 # DEPENDENCYPART_GRANDPAR
(5,10),(10,16),0.512218 # DEPENDENCYPART_GRANDPAR
(5,10),(10,18),-0.0967569 # DEPENDENCYPART_GRANDPAR
(5,10),(10,19),-0.196547 # DEPENDENCYPART_GRANDPAR
(5,10),(10,22),-0.587479 # DEPENDENCYPART_GRANDPAR
(5,10),(10,23),0.391115 # DEPENDENCYPART_GRANDPAR
(5,10),(10,24),-0.855053 # DEPENDENCYPART_GRANDPAR
(5,11),(11,9),-0.142105 # DEPENDENCYPART_GRANDPAR
(5,11),(11,10),-0.024689 # DEPENDENCYPART_GRANDPAR
(5,11),(11,12),-0.524833 # DEPENDENCYPART_GRANDPAR
(5,11),(11,13),-0.0970989 # DEPENDENCYPART_GRANDPAR
(5,11),(11,14),-0.0755642 # DEPENDENCYPART_GRANDPAR
(5,11),(11,15),0.588797 # DEPENDENCYPART_GRANDPAR
(5,11),(11,16),0.440431 # DEPENDENCYPART_GRANDPAR
(5,11),(11,18),-0.128014 # DEPENDENCYPART_GRANDPAR
(5,11),(11,19),-0.139637 # DEPENDENCYPART_GRANDPAR
(5,14),(14,3),-0.0554491 # DEPENDENCYPART_GRANDPAR
(5,14),(14,5),-0.434813 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,14),(14,8),0.113397 # DEPENDENCYPART_GRANDPAR
(5,14),(14,9),0.000992244 # DEPENDENCYPART_GRANDPAR
(5,14),(14,10),-0.0605297 # DEPENDENCYPART_GRANDPAR
(5,14),(14,11),0.0721564 # DEPENDENCYPART_GRANDPAR
(5,14),(14,12),-0.409147 # DEPENDENCYPART_GRANDPAR
(5,14),(14,13),-0.0937403 # DEPENDENCYPART_GRANDPAR
(5,14),(14,15),0.7489 # DEPENDENCYPART_GRANDPAR
(5,14),(14,16),0.536584 # DEPENDENCYPART_GRANDPAR
(5,14),(14,18),-0.0888909 # DEPENDENCYPART_GRANDPAR
(5,14),(14,19),-0.182975 # DEPENDENCYPART_GRANDPAR
(5,14),(14,21),0.0610511 # DEPENDENCYPART_GRANDPAR
(5,14),(14,22),-0.579613 # DEPENDENCYPART_GRANDPAR
(5,14),(14,23),0.434721 # DEPENDENCYPART_GRANDPAR
(5,14),(14,24),-0.837337 # DEPENDENCYPART_GRANDPAR
(5,16),(16,1),0.308177 # DEPENDENCYPART_GRANDPAR
(5,16),(16,11),0.157346 # DEPENDENCYPART_GRANDPAR
(5,16),(16,14),-0.0876945 # DEPENDENCYPART_GRANDPAR
(5,16),(16,15),0.43696 # DEPENDENCYPART_GRANDPAR
(5,16),(16,17),-0.910726 # DEPENDENCYPART_GRANDPAR
(5,16),(16,18),0.00543574 # DEPENDENCYPART_GRANDPAR
(5,16),(16,19),-0.00910352 # DEPENDENCYPART_GRANDPAR
(5,16),(16,21),0.0553111 # DEPENDENCYPART_GRANDPAR
(5,16),(16,22),-0.486537 # DEPENDENCYPART_GRANDPAR
(5,16),(16,24),-0.916031 # DEPENDENCYPART_GRANDPAR
