# _root_ Beyond the advertisements , the syndicator is planning a traveling arena show , new TV specials for CBS and even an exhibit at the Smithsonian Institute .
#goldHeads=7,3,1,7,6,7,0,7,12,12,12,19,19,16,16,19,16,17,8,22,22,19,22,26,26,23,7,
#predictedHeads=7,3,1,7,6,7,0,7,12,12,12,8,12,16,16,19,16,17,12,22,22,19,22,26,26,23,7,
(19,14),(19,5),-1.03775 # DEPENDENCYPART_NEXTSIBL
(19,14),(19,4),-1.24963 # DEPENDENCYPART_NEXTSIBL
(19,14),(19,3),-1.16515 # DEPENDENCYPART_NEXTSIBL
(19,14),(19,2),-1.07999 # DEPENDENCYPART_NEXTSIBL
(19,14),(19,1),-1.11695 # DEPENDENCYPART_NEXTSIBL
(19,14),(19,-1),-0.839691 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,13),(19,12),-0.102785 # DEPENDENCYPART_NEXTSIBL
(19,13),(19,11),-0.448543 # DEPENDENCYPART_NEXTSIBL
(19,13),(19,10),0.0857067 # DEPENDENCYPART_NEXTSIBL
(19,13),(19,9),-1.04473 # DEPENDENCYPART_NEXTSIBL
(19,13),(19,8),0.163041 # DEPENDENCYPART_NEXTSIBL
(19,13),(19,7),0.491856 # DEPENDENCYPART_NEXTSIBL
(19,13),(19,6),-0.388014 # DEPENDENCYPART_NEXTSIBL
(19,13),(19,5),-1.11864 # DEPENDENCYPART_NEXTSIBL
(19,13),(19,4),-1.01797 # DEPENDENCYPART_NEXTSIBL
(19,13),(19,3),-0.230334 # DEPENDENCYPART_NEXTSIBL
(19,13),(19,2),-1.24303 # DEPENDENCYPART_NEXTSIBL
(19,13),(19,1),-0.41549 # DEPENDENCYPART_NEXTSIBL
(19,13),(19,-1),-1.23903 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,12),(19,11),-0.668678 # DEPENDENCYPART_NEXTSIBL
(19,12),(19,10),-0.82708 # DEPENDENCYPART_NEXTSIBL
(19,12),(19,9),-0.801814 # DEPENDENCYPART_NEXTSIBL
(19,12),(19,8),-1.12741 # DEPENDENCYPART_NEXTSIBL
(19,12),(19,7),-1.09915 # DEPENDENCYPART_NEXTSIBL
(19,12),(19,6),-1.22566 # DEPENDENCYPART_NEXTSIBL
(19,12),(19,5),-1.00892 # DEPENDENCYPART_NEXTSIBL
(19,12),(19,4),-1.04364 # DEPENDENCYPART_NEXTSIBL
(19,12),(19,3),-1.17066 # DEPENDENCYPART_NEXTSIBL
(19,12),(19,2),-0.778806 # DEPENDENCYPART_NEXTSIBL
(19,12),(19,1),-1.38784 # DEPENDENCYPART_NEXTSIBL
(19,12),(19,-1),-1.08132 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,11),(19,10),-0.583178 # DEPENDENCYPART_NEXTSIBL
(19,11),(19,9),-1.16889 # DEPENDENCYPART_NEXTSIBL
(19,11),(19,8),-1.3598 # DEPENDENCYPART_NEXTSIBL
(19,11),(19,7),-1.4502 # DEPENDENCYPART_NEXTSIBL
(19,11),(19,6),-1.68256 # DEPENDENCYPART_NEXTSIBL
(19,11),(19,5),-1.644 # DEPENDENCYPART_NEXTSIBL
(19,11),(19,4),-1.65068 # DEPENDENCYPART_NEXTSIBL
(19,11),(19,3),-1.65745 # DEPENDENCYPART_NEXTSIBL
(19,11),(19,2),-1.36192 # DEPENDENCYPART_NEXTSIBL
(19,11),(19,1),-1.90735 # DEPENDENCYPART_NEXTSIBL
(19,11),(19,-1),-1.12088 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,10),(19,9),-0.0732469 # DEPENDENCYPART_NEXTSIBL
(19,10),(19,8),-1.31345 # DEPENDENCYPART_NEXTSIBL
(19,10),(19,7),-1.32326 # DEPENDENCYPART_NEXTSIBL
(19,10),(19,6),-1.03153 # DEPENDENCYPART_NEXTSIBL
(19,10),(19,5),-1.01143 # DEPENDENCYPART_NEXTSIBL
(19,10),(19,4),-1.12669 # DEPENDENCYPART_NEXTSIBL
(19,10),(19,3),-0.98247 # DEPENDENCYPART_NEXTSIBL
(19,10),(19,2),-1.18589 # DEPENDENCYPART_NEXTSIBL
(19,10),(19,1),-1.18552 # DEPENDENCYPART_NEXTSIBL
(19,10),(19,-1),-1.0284 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,9),(19,8),-1.01787 # DEPENDENCYPART_NEXTSIBL
(19,9),(19,7),-1.17224 # DEPENDENCYPART_NEXTSIBL
(19,9),(19,6),-1.20488 # DEPENDENCYPART_NEXTSIBL
(19,9),(19,5),-1.25989 # DEPENDENCYPART_NEXTSIBL
(19,9),(19,4),-1.18678 # DEPENDENCYPART_NEXTSIBL
(19,9),(19,3),-1.15525 # DEPENDENCYPART_NEXTSIBL
(19,9),(19,2),-1.43765 # DEPENDENCYPART_NEXTSIBL
(19,9),(19,1),-1.10944 # DEPENDENCYPART_NEXTSIBL
(19,9),(19,-1),-0.858114 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,8),(19,7),-1.32017 # DEPENDENCYPART_NEXTSIBL
(19,8),(19,6),-0.922296 # DEPENDENCYPART_NEXTSIBL
(19,8),(19,5),-1.05561 # DEPENDENCYPART_NEXTSIBL
(19,8),(19,4),-0.920473 # DEPENDENCYPART_NEXTSIBL
(19,8),(19,3),-1.04868 # DEPENDENCYPART_NEXTSIBL
(19,8),(19,2),-1.37474 # DEPENDENCYPART_NEXTSIBL
(19,8),(19,1),-1.20626 # DEPENDENCYPART_NEXTSIBL
(19,8),(19,-1),-0.820711 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,7),(19,6),-0.602903 # DEPENDENCYPART_NEXTSIBL
(19,7),(19,5),-0.818912 # DEPENDENCYPART_NEXTSIBL
(19,7),(19,4),-0.758043 # DEPENDENCYPART_NEXTSIBL
(19,7),(19,3),-0.800618 # DEPENDENCYPART_NEXTSIBL
(19,7),(19,2),-1.21655 # DEPENDENCYPART_NEXTSIBL
(19,7),(19,1),-0.690906 # DEPENDENCYPART_NEXTSIBL
(19,7),(19,-1),-0.662623 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,6),(19,5),-0.368559 # DEPENDENCYPART_NEXTSIBL
(19,6),(19,4),0.0392372 # DEPENDENCYPART_NEXTSIBL
(19,6),(19,3),-0.993269 # DEPENDENCYPART_NEXTSIBL
(19,6),(19,2),-0.597072 # DEPENDENCYPART_NEXTSIBL
(19,6),(19,1),-0.709587 # DEPENDENCYPART_NEXTSIBL
(19,6),(19,-1),-0.862657 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,5),(19,4),-0.601565 # DEPENDENCYPART_NEXTSIBL
(19,5),(19,3),-1.24256 # DEPENDENCYPART_NEXTSIBL
(19,5),(19,2),-1.19138 # DEPENDENCYPART_NEXTSIBL
(19,5),(19,1),-1.05854 # DEPENDENCYPART_NEXTSIBL
(19,5),(19,-1),-0.632264 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,4),(19,3),-0.366941 # DEPENDENCYPART_NEXTSIBL
(19,4),(19,2),-0.865903 # DEPENDENCYPART_NEXTSIBL
(19,4),(19,1),-0.099558 # DEPENDENCYPART_NEXTSIBL
(19,4),(19,-1),-1.34832 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,3),(19,2),-0.200711 # DEPENDENCYPART_NEXTSIBL
(19,3),(19,1),-0.443537 # DEPENDENCYPART_NEXTSIBL
(19,3),(19,-1),-0.69601 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,2),(19,1),-0.779886 # DEPENDENCYPART_NEXTSIBL
(19,2),(19,-1),-0.466541 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,1),(19,-1),-0.240278 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,20),(20,21),-0.795736 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,22),-0.0979955 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,23),-0.664706 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,25),-0.281771 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,26),-0.305849 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,28),-0.228537 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(20,21),(20,22),-0.558049 # DEPENDENCYPART_NEXTSIBL
(20,21),(20,23),-0.67163 # DEPENDENCYPART_NEXTSIBL
(20,21),(20,25),-0.796799 # DEPENDENCYPART_NEXTSIBL
(20,21),(20,26),-0.869839 # DEPENDENCYPART_NEXTSIBL
(20,21),(20,28),-1.11575 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,22),(20,23),-0.655892 # DEPENDENCYPART_NEXTSIBL
(20,22),(20,25),-1.12882 # DEPENDENCYPART_NEXTSIBL
(20,22),(20,26),-1.19207 # DEPENDENCYPART_NEXTSIBL
(20,22),(20,28),-0.802654 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,23),(20,25),-0.785849 # DEPENDENCYPART_NEXTSIBL
(20,23),(20,26),-0.702301 # DEPENDENCYPART_NEXTSIBL
(20,23),(20,28),-0.768005 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,25),(20,26),-1.2594 # DEPENDENCYPART_NEXTSIBL
(20,25),(20,28),-0.935806 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,26),(20,28),-0.256745 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,20),(20,18),-0.482937 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,-1),-0.338539 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(20,18),(20,-1),-0.532896 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,21),(21,23),-0.533974 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(21,21),(21,28),-0.25637 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(21,23),(21,28),-0.71471 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,21),(21,20),-0.471695 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(21,21),(21,-1),-0.299942 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(21,20),(21,-1),-0.611022 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,22),(22,23),-0.447007 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,24),-1.0387 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,25),-0.322806 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,26),-0.349073 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,27),-0.932607 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,28),-0.376615 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(22,23),(22,24),-0.944523 # DEPENDENCYPART_NEXTSIBL
(22,23),(22,25),-0.747582 # DEPENDENCYPART_NEXTSIBL
(22,23),(22,26),-0.665071 # DEPENDENCYPART_NEXTSIBL
(22,23),(22,27),-0.457039 # DEPENDENCYPART_NEXTSIBL
(22,23),(22,28),-0.612179 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,24),(22,25),-0.99787 # DEPENDENCYPART_NEXTSIBL
(22,24),(22,26),-1.21895 # DEPENDENCYPART_NEXTSIBL
(22,24),(22,27),-1.26917 # DEPENDENCYPART_NEXTSIBL
(22,24),(22,28),-1.04798 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,25),(22,26),-1.12178 # DEPENDENCYPART_NEXTSIBL
(22,25),(22,27),-0.95834 # DEPENDENCYPART_NEXTSIBL
(22,25),(22,28),-0.860126 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,26),(22,27),-0.500314 # DEPENDENCYPART_NEXTSIBL
(22,26),(22,28),-0.184164 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,27),(22,28),-1.64078 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,22),(22,21),-0.65855 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,20),-0.347412 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,18),-0.409417 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,14),-0.648929 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,9),-0.387606 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,-1),-0.417554 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(22,21),(22,20),-0.0961061 # DEPENDENCYPART_NEXTSIBL
(22,21),(22,18),-1.11707 # DEPENDENCYPART_NEXTSIBL
(22,21),(22,14),-1.10486 # DEPENDENCYPART_NEXTSIBL
(22,21),(22,9),-1.37334 # DEPENDENCYPART_NEXTSIBL
(22,21),(22,-1),-0.672158 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,20),(22,18),-0.885259 # DEPENDENCYPART_NEXTSIBL
(22,20),(22,14),-1.14873 # DEPENDENCYPART_NEXTSIBL
(22,20),(22,9),-1.21589 # DEPENDENCYPART_NEXTSIBL
(22,20),(22,-1),-0.477396 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,18),(22,14),-1.06389 # DEPENDENCYPART_NEXTSIBL
(22,18),(22,9),-1.11211 # DEPENDENCYPART_NEXTSIBL
(22,18),(22,-1),-0.526744 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,14),(22,9),-0.811201 # DEPENDENCYPART_NEXTSIBL
(22,14),(22,-1),-0.727606 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,9),(22,-1),-0.597046 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(23,23),(23,24),-1.04935 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(23,23),(23,25),-0.022848 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(23,23),(23,26),-0.03278 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(23,23),(23,27),-1.13194 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(23,23),(23,28),-0.881718 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(23,24),(23,25),-0.968667 # DEPENDENCYPART_NEXTSIBL
(23,24),(23,26),-1.1834 # DEPENDENCYPART_NEXTSIBL
(23,24),(23,27),-1.28215 # DEPENDENCYPART_NEXTSIBL
(23,24),(23,28),-1.01931 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(23,25),(23,26),-1.22753 # DEPENDENCYPART_NEXTSIBL
(23,25),(23,27),-1.06735 # DEPENDENCYPART_NEXTSIBL
(23,25),(23,28),-0.675689 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(23,26),(23,27),-0.602974 # DEPENDENCYPART_NEXTSIBL
(23,26),(23,28),0.0191472 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(23,27),(23,28),-1.75789 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(23,23),(23,22),-0.131704 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(23,23),(23,21),-0.795672 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(23,23),(23,20),-0.285934 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(23,23),(23,-1),-0.178547 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(23,22),(23,21),-0.614781 # DEPENDENCYPART_NEXTSIBL
(23,22),(23,20),-0.664158 # DEPENDENCYPART_NEXTSIBL
(23,22),(23,-1),-0.843571 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(23,21),(23,20),-0.295397 # DEPENDENCYPART_NEXTSIBL
(23,21),(23,-1),-1.02313 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(23,20),(23,-1),-0.444516 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(24,24),(24,28),-0.0974059 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(24,24),(24,-1),-0.231298 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(25,25),(25,26),-0.349296 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(25,25),(25,28),-0.378907 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(25,26),(25,28),-0.180513 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(25,25),(25,24),-0.655815 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(25,25),(25,-1),-0.417217 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(25,24),(25,-1),-0.26876 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(26,26),(26,27),-0.93262 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(26,26),(26,28),-0.362483 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(26,27),(26,28),-1.64081 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(26,26),(26,25),-0.219927 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(26,26),(26,24),-0.626627 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(26,26),(26,22),-0.0272972 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(26,26),(26,21),-0.643815 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(26,26),(26,18),-0.404575 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(26,26),(26,-1),-0.430922 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(26,25),(26,24),-0.147374 # DEPENDENCYPART_NEXTSIBL
(26,25),(26,22),-1.21166 # DEPENDENCYPART_NEXTSIBL
(26,25),(26,21),-0.863299 # DEPENDENCYPART_NEXTSIBL
(26,25),(26,18),-1.27584 # DEPENDENCYPART_NEXTSIBL
(26,25),(26,-1),-0.875044 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(26,24),(26,22),-1.07278 # DEPENDENCYPART_NEXTSIBL
(26,24),(26,21),-1.00893 # DEPENDENCYPART_NEXTSIBL
(26,24),(26,18),-1.13039 # DEPENDENCYPART_NEXTSIBL
(26,24),(26,-1),-0.197272 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(26,22),(26,21),-0.372957 # DEPENDENCYPART_NEXTSIBL
(26,22),(26,18),-1.24314 # DEPENDENCYPART_NEXTSIBL
(26,22),(26,-1),-0.733005 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(26,21),(26,18),-1.10357 # DEPENDENCYPART_NEXTSIBL
(26,21),(26,-1),-0.629242 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(26,18),(26,-1),-0.549747 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(27,27),(27,28),-0.417104 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(27,27),(27,26),-0.458633 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(27,27),(27,-1),-0.00444205 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(27,26),(27,-1),-0.42833 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,1),(1,2),0.170813 # DEPENDENCYPART_GRANDPAR
(0,1),(1,3),0.26771 # DEPENDENCYPART_GRANDPAR
(0,1),(1,4),0.783691 # DEPENDENCYPART_GRANDPAR
(0,1),(1,6),0.019413 # DEPENDENCYPART_GRANDPAR
(0,1),(1,7),0.686239 # DEPENDENCYPART_GRANDPAR
(0,1),(1,19),-0.413161 # DEPENDENCYPART_GRANDPAR
(0,3),(3,1),0.130016 # DEPENDENCYPART_GRANDPAR
(0,3),(3,2),0.0392237 # DEPENDENCYPART_GRANDPAR
(0,3),(3,4),0.949242 # DEPENDENCYPART_GRANDPAR
(0,3),(3,5),0.114076 # DEPENDENCYPART_GRANDPAR
(0,3),(3,6),0.324369 # DEPENDENCYPART_GRANDPAR
(0,3),(3,7),0.782311 # DEPENDENCYPART_GRANDPAR
(0,3),(3,8),0.444878 # DEPENDENCYPART_GRANDPAR
(0,3),(3,9),0.109912 # DEPENDENCYPART_GRANDPAR
(0,3),(3,12),0.117024 # DEPENDENCYPART_GRANDPAR
(0,3),(3,13),0.187658 # DEPENDENCYPART_GRANDPAR
(0,3),(3,16),0.514914 # DEPENDENCYPART_GRANDPAR
(0,3),(3,17),0.293587 # DEPENDENCYPART_GRANDPAR
(0,3),(3,19),-0.379002 # DEPENDENCYPART_GRANDPAR
(0,3),(3,27),2.82919 # DEPENDENCYPART_GRANDPAR
(0,6),(6,1),0.130016 # DEPENDENCYPART_GRANDPAR
(0,6),(6,2),0.0392539 # DEPENDENCYPART_GRANDPAR
(0,6),(6,3),-0.028211 # DEPENDENCYPART_GRANDPAR
(0,6),(6,4),0.989092 # DEPENDENCYPART_GRANDPAR
(0,6),(6,5),-0.223483 # DEPENDENCYPART_GRANDPAR
(0,6),(6,7),0.782368 # DEPENDENCYPART_GRANDPAR
(0,6),(6,8),0.444935 # DEPENDENCYPART_GRANDPAR
(0,6),(6,10),0.0684432 # DEPENDENCYPART_GRANDPAR
(0,6),(6,12),0.117057 # DEPENDENCYPART_GRANDPAR
(0,6),(6,13),0.187692 # DEPENDENCYPART_GRANDPAR
(0,7),(7,1),0.177307 # DEPENDENCYPART_GRANDPAR
(0,7),(7,3),0.0310099 # DEPENDENCYPART_GRANDPAR
(0,7),(7,4),1.11636 # DEPENDENCYPART_GRANDPAR
(0,7),(7,5),-0.404466 # DEPENDENCYPART_GRANDPAR
(0,7),(7,6),-0.217296 # DEPENDENCYPART_GRANDPAR
(0,7),(7,8),0.498268 # DEPENDENCYPART_GRANDPAR
(0,7),(7,9),0.193736 # DEPENDENCYPART_GRANDPAR
(0,7),(7,10),0.127312 # DEPENDENCYPART_GRANDPAR
(0,7),(7,12),0.134816 # DEPENDENCYPART_GRANDPAR
(0,7),(7,13),0.310547 # DEPENDENCYPART_GRANDPAR
(0,7),(7,16),0.524674 # DEPENDENCYPART_GRANDPAR
(0,7),(7,19),-0.281491 # DEPENDENCYPART_GRANDPAR
(0,7),(7,27),3.12658 # DEPENDENCYPART_GRANDPAR
(0,8),(8,1),0.152674 # DEPENDENCYPART_GRANDPAR
(0,8),(8,3),0.132192 # DEPENDENCYPART_GRANDPAR
(0,8),(8,4),1.11743 # DEPENDENCYPART_GRANDPAR
(0,8),(8,6),-0.116114 # DEPENDENCYPART_GRANDPAR
(0,8),(8,7),0.697195 # DEPENDENCYPART_GRANDPAR
(0,8),(8,9),0.0515193 # DEPENDENCYPART_GRANDPAR
(0,8),(8,10),0.0180515 # DEPENDENCYPART_GRANDPAR
(0,8),(8,11),0.267269 # DEPENDENCYPART_GRANDPAR
(0,8),(8,12),-0.0212265 # DEPENDENCYPART_GRANDPAR
(0,8),(8,13),0.13016 # DEPENDENCYPART_GRANDPAR
(0,8),(8,14),-0.0831108 # DEPENDENCYPART_GRANDPAR
(0,8),(8,15),0.358447 # DEPENDENCYPART_GRANDPAR
(0,8),(8,16),0.368726 # DEPENDENCYPART_GRANDPAR
(0,8),(8,17),0.296129 # DEPENDENCYPART_GRANDPAR
(0,8),(8,18),-0.44032 # DEPENDENCYPART_GRANDPAR
(0,8),(8,19),-0.427939 # DEPENDENCYPART_GRANDPAR
(0,8),(8,20),0.137965 # DEPENDENCYPART_GRANDPAR
(0,8),(8,22),-0.00479532 # DEPENDENCYPART_GRANDPAR
(0,8),(8,23),0.200439 # DEPENDENCYPART_GRANDPAR
(0,8),(8,27),2.81081 # DEPENDENCYPART_GRANDPAR
(0,10),(10,1),0.151895 # DEPENDENCYPART_GRANDPAR
(0,10),(10,6),-0.130394 # DEPENDENCYPART_GRANDPAR
(0,10),(10,7),0.693784 # DEPENDENCYPART_GRANDPAR
(0,10),(10,9),-0.264549 # DEPENDENCYPART_GRANDPAR
(0,10),(10,11),0.26281 # DEPENDENCYPART_GRANDPAR
(0,10),(10,12),-0.0256852 # DEPENDENCYPART_GRANDPAR
(0,10),(10,13),0.12772 # DEPENDENCYPART_GRANDPAR
(0,10),(10,14),-0.0818393 # DEPENDENCYPART_GRANDPAR
(0,10),(10,15),0.353988 # DEPENDENCYPART_GRANDPAR
(0,10),(10,16),0.364267 # DEPENDENCYPART_GRANDPAR
(0,10),(10,17),0.307226 # DEPENDENCYPART_GRANDPAR
(0,10),(10,19),-0.42853 # DEPENDENCYPART_GRANDPAR
(0,10),(10,20),0.135289 # DEPENDENCYPART_GRANDPAR
(0,10),(10,22),-0.00925396 # DEPENDENCYPART_GRANDPAR
(0,10),(10,23),0.207258 # DEPENDENCYPART_GRANDPAR
(0,10),(10,27),2.8048 # DEPENDENCYPART_GRANDPAR
(0,19),(19,1),0.302469 # DEPENDENCYPART_GRANDPAR
(0,19),(19,2),-0.123894 # DEPENDENCYPART_GRANDPAR
(0,19),(19,3),0.0366005 # DEPENDENCYPART_GRANDPAR
(0,19),(19,4),1.00748 # DEPENDENCYPART_GRANDPAR
(0,19),(19,5),-0.386631 # DEPENDENCYPART_GRANDPAR
(0,19),(19,6),-0.202521 # DEPENDENCYPART_GRANDPAR
(0,19),(19,7),1.11839 # DEPENDENCYPART_GRANDPAR
(0,19),(19,8),0.576913 # DEPENDENCYPART_GRANDPAR
(0,19),(19,9),-0.335612 # DEPENDENCYPART_GRANDPAR
(0,19),(19,10),0.207065 # DEPENDENCYPART_GRANDPAR
(0,19),(19,11),-0.118353 # DEPENDENCYPART_GRANDPAR
(0,19),(19,12),-0.415462 # DEPENDENCYPART_GRANDPAR
(0,19),(19,13),0.245898 # DEPENDENCYPART_GRANDPAR
(0,19),(19,14),-0.457082 # DEPENDENCYPART_GRANDPAR
(0,19),(19,15),-0.0246499 # DEPENDENCYPART_GRANDPAR
(0,19),(19,16),-0.0168963 # DEPENDENCYPART_GRANDPAR
(0,19),(19,17),-0.181371 # DEPENDENCYPART_GRANDPAR
(0,19),(19,18),-0.875997 # DEPENDENCYPART_GRANDPAR
(0,19),(19,20),0.0662926 # DEPENDENCYPART_GRANDPAR
(0,19),(19,21),0.0808015 # DEPENDENCYPART_GRANDPAR
(0,19),(19,22),-0.200764 # DEPENDENCYPART_GRANDPAR
(0,19),(19,23),0.0959178 # DEPENDENCYPART_GRANDPAR
(0,19),(19,24),-0.455705 # DEPENDENCYPART_GRANDPAR
(0,19),(19,25),-0.228318 # DEPENDENCYPART_GRANDPAR
(0,19),(19,26),0.0947797 # DEPENDENCYPART_GRANDPAR
(0,19),(19,27),2.74374 # DEPENDENCYPART_GRANDPAR
(1,2),(2,1),-0.741891 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,2),(2,4),0.34699 # DEPENDENCYPART_GRANDPAR
(1,3),(3,1),-0.691735 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,3),(3,2),0.857482 # DEPENDENCYPART_GRANDPAR
(1,3),(3,4),0.48286 # DEPENDENCYPART_GRANDPAR
(1,3),(3,5),-0.161963 # DEPENDENCYPART_GRANDPAR
(1,3),(3,6),0.104345 # DEPENDENCYPART_GRANDPAR
(1,3),(3,7),0.481543 # DEPENDENCYPART_GRANDPAR
(1,3),(3,8),0.288084 # DEPENDENCYPART_GRANDPAR
(1,3),(3,9),-0.227809 # DEPENDENCYPART_GRANDPAR
(1,3),(3,12),-0.496063 # DEPENDENCYPART_GRANDPAR
(1,3),(3,13),-0.0741264 # DEPENDENCYPART_GRANDPAR
(1,3),(3,16),-0.500089 # DEPENDENCYPART_GRANDPAR
(1,3),(3,17),0.0834879 # DEPENDENCYPART_GRANDPAR
(1,3),(3,19),-0.346665 # DEPENDENCYPART_GRANDPAR
(1,3),(3,27),-0.476946 # DEPENDENCYPART_GRANDPAR
(1,4),(4,1),-0.734054 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,6),(6,1),-0.691716 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
