# _root_ Back when the Burgess fauna were flourishing , it seems , human evolutionary hopes hung on the survival of a little worm with a backbone called Pikaia .
#goldHeads=15,7,5,5,6,1,6,10,10,15,10,14,14,15,0,15,18,16,18,22,22,19,22,25,23,22,26,15,
#predictedHeads=6,7,5,5,6,0,6,10,10,15,10,14,14,15,7,15,18,16,18,22,22,19,22,25,23,25,26,6,
(1,6),(6,9),(6,12),-0.0420002 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,9),(6,14),-0.0422084 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,9),(6,15),-0.0420136 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,9),(6,16),-0.0436354 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,9),(6,28),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,9),(6,29),-0.0409996 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,6),(6,10),(6,11),-0.0420808 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,10),(6,12),-0.0423726 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,10),(6,14),-0.0420035 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,10),(6,15),-0.0422496 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,10),(6,16),-0.0425012 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,10),(6,28),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,10),(6,29),-0.0177625 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,6),(6,11),(6,12),-0.0421433 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,11),(6,14),-0.0425185 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,11),(6,15),-0.046097 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,11),(6,16),-0.0450304 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,11),(6,28),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,11),(6,29),-0.0223371 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,6),(6,12),(6,14),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,12),(6,15),-0.0372295 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,12),(6,16),-0.0400324 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,12),(6,28),-0.0421159 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,12),(6,29),-0.0648194 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,6),(6,14),(6,15),-0.0303672 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,14),(6,16),-0.0442516 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,14),(6,28),-0.0453164 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,14),(6,29),-0.0718561 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,6),(6,15),(6,16),-0.0425012 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,15),(6,28),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,15),(6,29),-0.0218327 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,6),(6,16),(6,28),-0.0419998 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,16),(6,29),-0.0801076 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,6),(6,28),(6,29),-0.047371 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,6),(6,6),(6,5),0.133926 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,6),(6,6),(6,4),0.133926 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,6),(6,6),(6,3),0.112852 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,6),(6,6),(6,2),0.119028 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,6),(6,6),(6,1),0.128248 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,6),(6,6),(6,-1),-0.193212 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,6),(6,5),(6,4),0.117869 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,5),(6,3),0.118987 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,5),(6,2),0.126047 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,5),(6,1),0.123337 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,6),(6,5),(6,-1),-0.167913 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,6),(6,4),(6,3),0.118987 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,4),(6,2),0.126047 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,4),(6,1),0.123337 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,6),(6,4),(6,-1),-0.167913 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,6),(6,3),(6,2),0.119164 # DEPENDENCYPART_GRANDSIBL
(1,6),(6,3),(6,1),0.119164 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,6),(6,3),(6,-1),-0.130905 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,6),(6,2),(6,1),0.119164 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,6),(6,2),(6,-1),-0.100664 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,6),(6,1),(6,-1),-0.148017 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,8),(8,8),(8,29),-0.0610539 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,8),(8,8),(8,-1),-0.153885 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,10),(10,10),(10,11),-0.0437367 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,10),(10,10),(10,12),-0.0538502 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,10),(10,10),(10,13),-0.0538442 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,10),(10,10),(10,14),-0.0785308 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,10),(10,10),(10,15),-0.0564664 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,10),(10,10),(10,16),-0.062016 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,10),(10,10),(10,18),-0.0785308 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,10),(10,10),(10,23),-0.053988 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,10),(10,10),(10,28),-0.0419988 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,10),(10,10),(10,29),0.0818364 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,10),(10,11),(10,12),-0.0421433 # DEPENDENCYPART_GRANDSIBL
(1,10),(10,11),(10,13),-0.0421433 # DEPENDENCYPART_GRANDSIBL
(1,10),(10,11),(10,14),-0.0425185 # DEPENDENCYPART_GRANDSIBL
(1,10),(10,11),(10,15),-0.046097 # DEPENDENCYPART_GRANDSIBL
(1,10),(10,11),(10,16),-0.0450279 # DEPENDENCYPART_GRANDSIBL
(1,10),(10,11),(10,18),-0.0425185 # DEPENDENCYPART_GRANDSIBL
(1,10),(10,11),(10,23),-0.0451416 # DEPENDENCYPART_GRANDSIBL
(1,10),(10,11),(10,28),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(1,10),(10,11),(10,29),-0.0223371 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,10),(10,12),(10,13),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(1,10),(10,12),(10,14),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(1,10),(10,12),(10,15),-0.0372027 # DEPENDENCYPART_GRANDSIBL
(1,10),(10,12),(10,16),-0.0399717 # DEPENDENCYPART_GRANDSIBL
(1,10),(10,12),(10,18),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(1,10),(10,12),(10,23),-0.0399711 # DEPENDENCYPART_GRANDSIBL
(1,10),(10,12),(10,28),-0.0421159 # DEPENDENCYPART_GRANDSIBL
(1,10),(10,12),(10,29),-0.0660222 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,10),(10,13),(10,14),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(1,10),(10,13),(10,15),-0.0372027 # DEPENDENCYPART_GRANDSIBL
(1,10),(10,13),(10,16),-0.0399717 # DEPENDENCYPART_GRANDSIBL
(1,10),(10,13),(10,18),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(1,10),(10,13),(10,23),-0.0399711 # DEPENDENCYPART_GRANDSIBL
(1,10),(10,13),(10,28),-0.0421159 # DEPENDENCYPART_GRANDSIBL
(1,10),(10,13),(10,29),-0.0660161 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,10),(10,14),(10,15),-0.0303672 # DEPENDENCYPART_GRANDSIBL
(1,10),(10,14),(10,16),-0.0442505 # DEPENDENCYPART_GRANDSIBL
(1,10),(10,14),(10,18),-0.0437473 # DEPENDENCYPART_GRANDSIBL
(1,10),(10,14),(10,23),-0.0417878 # DEPENDENCYPART_GRANDSIBL
(1,10),(10,14),(10,28),-0.0453164 # DEPENDENCYPART_GRANDSIBL
(1,10),(10,14),(10,29),-0.0718149 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,10),(10,15),(10,16),-0.0424739 # DEPENDENCYPART_GRANDSIBL
(1,10),(10,15),(10,18),-0.0420035 # DEPENDENCYPART_GRANDSIBL
(1,10),(10,15),(10,23),-0.042499 # DEPENDENCYPART_GRANDSIBL
(1,10),(10,15),(10,28),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(1,10),(10,15),(10,29),-0.0213898 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,10),(10,16),(10,18),-0.0427549 # DEPENDENCYPART_GRANDSIBL
(1,10),(10,16),(10,23),-0.0439735 # DEPENDENCYPART_GRANDSIBL
(1,10),(10,16),(10,28),-0.0419998 # DEPENDENCYPART_GRANDSIBL
(1,10),(10,16),(10,29),-0.0784723 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,10),(10,18),(10,23),-0.0417878 # DEPENDENCYPART_GRANDSIBL
(1,10),(10,18),(10,28),-0.0453164 # DEPENDENCYPART_GRANDSIBL
(1,10),(10,18),(10,29),-0.0718149 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,10),(10,23),(10,28),-0.0419998 # DEPENDENCYPART_GRANDSIBL
(1,10),(10,23),(10,29),-0.0716867 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,10),(10,28),(10,29),-0.047371 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,10),(10,10),(10,9),0.148991 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,10),(10,10),(10,8),0.127596 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,10),(10,10),(10,7),0.110927 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,10),(10,10),(10,6),0.110925 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,10),(10,10),(10,5),0.136788 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,10),(10,10),(10,2),0.119028 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,10),(10,10),(10,1),0.127891 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,10),(10,10),(10,-1),-0.193212 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,10),(10,9),(10,8),0.118976 # DEPENDENCYPART_GRANDSIBL
(1,10),(10,9),(10,7),0.118785 # DEPENDENCYPART_GRANDSIBL
(1,10),(10,9),(10,6),0.118776 # DEPENDENCYPART_GRANDSIBL
(1,10),(10,9),(10,5),0.118658 # DEPENDENCYPART_GRANDSIBL
(1,10),(10,9),(10,2),0.121216 # DEPENDENCYPART_GRANDSIBL
(1,10),(10,9),(10,1),0.118631 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,10),(10,9),(10,-1),-0.150468 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,10),(10,8),(10,7),0.117828 # DEPENDENCYPART_GRANDSIBL
(1,10),(10,8),(10,6),0.117828 # DEPENDENCYPART_GRANDSIBL
(1,10),(10,8),(10,5),0.114563 # DEPENDENCYPART_GRANDSIBL
(1,10),(10,8),(10,2),0.118532 # DEPENDENCYPART_GRANDSIBL
(1,10),(10,8),(10,1),0.11554 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,10),(10,8),(10,-1),-0.119054 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,10),(10,7),(10,6),0.119131 # DEPENDENCYPART_GRANDSIBL
(1,10),(10,7),(10,5),0.118952 # DEPENDENCYPART_GRANDSIBL
(1,10),(10,7),(10,2),0.119163 # DEPENDENCYPART_GRANDSIBL
(1,10),(10,7),(10,1),0.118985 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,10),(10,7),(10,-1),-0.136718 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,10),(10,6),(10,5),0.118952 # DEPENDENCYPART_GRANDSIBL
(1,10),(10,6),(10,2),0.119163 # DEPENDENCYPART_GRANDSIBL
(1,10),(10,6),(10,1),0.118985 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,10),(10,6),(10,-1),-0.136753 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,10),(10,5),(10,2),0.126981 # DEPENDENCYPART_GRANDSIBL
(1,10),(10,5),(10,1),0.123337 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,10),(10,5),(10,-1),-0.167903 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,10),(10,2),(10,1),0.119164 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,10),(10,2),(10,-1),-0.102777 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,10),(10,1),(10,-1),-0.148077 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,15),(15,15),(15,16),-0.0618085 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,15),(15,15),(15,17),-0.0385269 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,15),(15,15),(15,18),-0.0785308 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,15),(15,15),(15,19),-0.0506168 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,15),(15,15),(15,20),-0.0385574 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,15),(15,15),(15,21),-0.0538442 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,15),(15,15),(15,22),-0.0785308 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,15),(15,15),(15,23),-0.0537805 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,15),(15,15),(15,25),-0.0785308 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,15),(15,15),(15,26),-0.0564706 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,15),(15,15),(15,27),-0.0785308 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,15),(15,15),(15,28),-0.0419988 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,15),(15,15),(15,29),0.0819532 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,15),(15,16),(15,17),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,16),(15,18),-0.0427549 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,16),(15,19),-0.0439065 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,16),(15,20),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,16),(15,21),-0.0420079 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,16),(15,22),-0.0427549 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,16),(15,23),-0.0439735 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,16),(15,25),-0.0427549 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,16),(15,26),-0.0445429 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,16),(15,27),-0.0427549 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,16),(15,28),-0.0419998 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,16),(15,29),-0.0782649 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,15),(15,17),(15,18),-0.0429154 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,17),(15,19),-0.0419989 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,17),(15,20),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,17),(15,21),-0.0420056 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,17),(15,22),-0.0429154 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,17),(15,23),-0.0419989 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,17),(15,25),-0.0429154 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,17),(15,26),-0.0420513 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,17),(15,27),-0.0429154 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,17),(15,28),-0.0420991 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,17),(15,29),-0.0367835 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,15),(15,18),(15,19),-0.0466922 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,18),(15,20),-0.042 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,18),(15,21),-0.0420585 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,18),(15,22),-0.0437473 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,18),(15,23),-0.0417878 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,18),(15,25),-0.0437473 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,18),(15,26),-0.0303672 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,18),(15,27),-0.0437473 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,18),(15,28),-0.0453164 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,18),(15,29),-0.0718149 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,15),(15,19),(15,20),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,19),(15,21),-0.0420151 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,19),(15,22),-0.0425545 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,19),(15,23),-0.0431834 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,19),(15,25),-0.0425545 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,19),(15,26),-0.042618 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,19),(15,27),-0.0425545 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,19),(15,28),-0.0419998 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,19),(15,29),-0.0734768 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,15),(15,20),(15,21),-0.0420056 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,20),(15,22),-0.0429154 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,20),(15,23),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,20),(15,25),-0.0429154 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,20),(15,26),-0.0421038 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,20),(15,27),-0.0429154 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,20),(15,28),-0.0420991 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,20),(15,29),-0.0366261 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,15),(15,21),(15,22),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,21),(15,23),-0.0399711 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,21),(15,25),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,21),(15,26),-0.0372027 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,21),(15,27),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,21),(15,28),-0.0421159 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,21),(15,29),-0.0656602 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,15),(15,22),(15,23),-0.0417878 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,22),(15,25),-0.0437473 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,22),(15,26),-0.0303672 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,22),(15,27),-0.0437473 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,22),(15,28),-0.0453164 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,22),(15,29),-0.0718149 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,15),(15,23),(15,25),-0.0426124 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,23),(15,26),-0.0427257 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,23),(15,27),-0.0426124 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,23),(15,28),-0.0419998 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,23),(15,29),-0.0714792 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,15),(15,25),(15,26),-0.0303672 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,25),(15,27),-0.0437473 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,25),(15,28),-0.0453164 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,25),(15,29),-0.0718149 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,15),(15,26),(15,27),-0.0420035 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,26),(15,28),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,26),(15,29),-0.0213941 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,15),(15,27),(15,28),-0.0453164 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,27),(15,29),-0.0718149 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,15),(15,28),(15,29),-0.047371 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,15),(15,15),(15,14),0.136788 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,15),(15,15),(15,13),0.113623 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,15),(15,15),(15,12),0.113623 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,15),(15,15),(15,11),0.127596 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,15),(15,15),(15,10),0.110927 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,15),(15,15),(15,9),0.149318 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,15),(15,15),(15,8),0.127596 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,15),(15,15),(15,7),0.110927 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,15),(15,15),(15,6),0.110925 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,15),(15,15),(15,5),0.136788 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,15),(15,15),(15,4),0.136788 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,15),(15,15),(15,2),0.119028 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,15),(15,15),(15,1),0.128251 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,15),(15,15),(15,-1),-0.193212 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,15),(15,14),(15,13),0.11884 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,14),(15,12),0.11884 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,14),(15,11),0.102435 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,14),(15,10),0.11865 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,14),(15,9),0.119162 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,14),(15,8),0.102435 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,14),(15,7),0.11865 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,14),(15,6),0.11865 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,14),(15,5),0.117892 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,14),(15,4),0.117892 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,14),(15,2),0.126981 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,14),(15,1),0.123337 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,15),(15,14),(15,-1),-0.167903 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,15),(15,13),(15,12),0.119157 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,13),(15,11),0.118823 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,13),(15,10),0.119164 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,13),(15,9),0.119162 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,13),(15,8),0.118823 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,13),(15,7),0.119164 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,13),(15,6),0.119164 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,13),(15,5),0.11878 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,13),(15,4),0.11878 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,13),(15,2),0.119099 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,13),(15,1),0.11914 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,15),(15,13),(15,-1),-0.133156 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,15),(15,12),(15,11),0.118823 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,12),(15,10),0.119164 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,12),(15,9),0.119162 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,12),(15,8),0.118823 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,12),(15,7),0.119164 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,12),(15,6),0.119164 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,12),(15,5),0.11878 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,12),(15,4),0.11878 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,12),(15,2),0.119099 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,12),(15,1),0.11914 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,15),(15,12),(15,-1),-0.133156 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,15),(15,11),(15,10),0.117828 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,11),(15,9),0.119141 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,11),(15,8),0.119144 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,11),(15,7),0.117828 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,11),(15,6),0.117828 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,11),(15,5),0.114563 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,11),(15,4),0.114563 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,11),(15,2),0.118532 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,11),(15,1),0.11554 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,15),(15,11),(15,-1),-0.119054 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,15),(15,10),(15,9),0.119103 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,10),(15,8),0.119099 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,10),(15,7),0.119132 # DEPENDENCYPART_GRANDSIBL
(1,15),(15,10),(15,6),0.119131 # DEPENDENCYPART_GRANDSIBL
