# _root_ The Soviet Union has purchased roughly eight million tons of grain this month , and is expected to take delivery by year end , analysts said .
#goldHeads=3,3,15,15,4,9,6,6,5,9,10,13,5,15,26,15,16,19,17,19,19,23,21,26,26,0,26,
#predictedHeads=3,3,4,15,4,9,6,6,5,9,10,13,5,15,26,15,16,19,17,19,19,23,21,26,26,0,26,
(0,26),(26,18),(26,14),0.0968158 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,18),(26,13),0.0875777 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,18),(26,12),0.10954 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,18),(26,11),0.0875777 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,18),(26,9),0.0875777 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,18),(26,6),0.10399 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,18),(26,5),0.109098 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,18),(26,4),0.109098 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,18),(26,3),0.0875777 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,18),(26,2),0.0875777 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,18),(26,-1),-0.217784 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,26),(26,17),(26,16),0.109253 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,17),(26,15),0.122275 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,17),(26,14),0.0669028 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,17),(26,13),0.0438392 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,17),(26,12),0.0815548 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,17),(26,11),0.0441732 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,17),(26,9),0.044103 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,17),(26,6),0.120949 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,17),(26,5),0.107928 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,17),(26,4),0.110193 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,17),(26,3),0.0438796 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,17),(26,2),0.0441732 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,17),(26,-1),-0.0453217 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,26),(26,16),(26,15),0.117536 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,16),(26,14),0.0535939 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,16),(26,13),0.0400217 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,16),(26,12),0.0809651 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,16),(26,11),0.0403556 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,16),(26,9),0.0402854 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,16),(26,6),0.119857 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,16),(26,5),0.107602 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,16),(26,4),0.109867 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,16),(26,3),0.040062 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,16),(26,2),0.0403556 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,16),(26,-1),-0.0368473 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,26),(26,15),(26,14),0.296947 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,15),(26,13),-0.00753328 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,15),(26,12),0.155391 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,15),(26,11),-0.0490885 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,15),(26,9),-0.0402706 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,15),(26,6),0.172443 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,15),(26,5),0.0806346 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,15),(26,4),0.0791288 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,15),(26,3),-0.0390045 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,15),(26,2),1.12759e-05 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,15),(26,-1),0.0156157 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,26),(26,14),(26,13),0.102815 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,14),(26,12),0.122772 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,14),(26,11),0.086733 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,14),(26,9),0.0868899 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,14),(26,6),0.15684 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,14),(26,5),0.0869303 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,14),(26,4),0.0905487 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,14),(26,3),0.0879415 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,14),(26,2),0.0868899 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,14),(26,-1),-0.360189 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,26),(26,13),(26,12),0.0812181 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,13),(26,11),0.118507 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,13),(26,9),0.118507 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,13),(26,6),0.105836 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,13),(26,5),0.126724 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,13),(26,4),0.124529 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,13),(26,3),0.118507 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,13),(26,2),0.118499 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,13),(26,-1),0.0886567 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,26),(26,12),(26,11),0.113318 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,12),(26,9),0.113318 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,12),(26,6),0.118784 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,12),(26,5),0.108513 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,12),(26,4),0.108513 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,12),(26,3),0.113318 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,12),(26,2),0.113318 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,12),(26,-1),-0.106023 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,26),(26,11),(26,9),0.112059 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,11),(26,6),0.104248 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,11),(26,5),0.126908 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,11),(26,4),0.124713 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,11),(26,3),0.112059 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,11),(26,2),0.11205 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,11),(26,-1),0.0833488 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,26),(26,9),(26,6),0.104248 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,9),(26,5),0.126908 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,9),(26,4),0.124713 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,9),(26,3),0.112059 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,9),(26,2),0.11205 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,9),(26,-1),0.0834355 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,26),(26,6),(26,5),0.10071 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,6),(26,4),0.100618 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,6),(26,3),0.162008 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,6),(26,2),0.162131 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,6),(26,-1),-0.18414 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,26),(26,5),(26,4),0.110193 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,5),(26,3),0.0439999 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,5),(26,2),0.0442935 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,5),(26,-1),-0.0438707 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,26),(26,4),(26,3),0.0428837 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,4),(26,2),0.0431773 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,4),(26,-1),-0.0467446 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,26),(26,3),(26,2),0.111929 # DEPENDENCYPART_GRANDSIBL
(0,26),(26,3),(26,-1),0.0861064 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,26),(26,2),(26,-1),0.0834945 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,4),(4,5),-0.0059019 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,4),(4,4),(4,6),-0.0229315 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,4),(4,4),(4,7),-0.0230865 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,4),(4,4),(4,8),-0.0230865 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,4),(4,4),(4,9),-0.0588204 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,4),(4,4),(4,10),-0.0201812 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,4),(4,4),(4,11),-0.0588204 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,4),(4,4),(4,13),-0.0588204 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,4),(4,4),(4,14),-0.0202028 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,4),(4,4),(4,15),-0.0214164 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,4),(4,4),(4,17),-0.00590756 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,4),(4,4),(4,19),-0.00590235 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,4),(4,4),(4,27),-0.0194405 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,4),(4,4),(4,28),0.0164843 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,4),(4,5),(4,6),-0.0194583 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,5),(4,7),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,5),(4,8),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,5),(4,9),-0.0196493 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,5),(4,10),-0.0200035 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,5),(4,11),-0.0196493 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,5),(4,13),-0.0196493 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,5),(4,14),-0.0244288 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,5),(4,15),-0.0194522 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,5),(4,17),-0.0196149 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,5),(4,19),-0.0196149 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,5),(4,27),-0.0206099 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,5),(4,28),-0.00284349 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,6),(4,7),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,6),(4,8),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,6),(4,9),-0.0136636 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,6),(4,10),-0.0199718 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,6),(4,11),-0.0136636 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,6),(4,13),-0.0136636 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,6),(4,14),-0.0150696 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,6),(4,15),-0.0195294 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,6),(4,17),-0.0187999 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,6),(4,19),-0.0187999 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,6),(4,27),-0.0194433 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,6),(4,28),-0.0226177 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,7),(4,8),-0.019442 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,7),(4,9),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,7),(4,10),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,7),(4,11),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,7),(4,13),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,7),(4,14),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,7),(4,15),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,7),(4,17),-0.0194406 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,7),(4,19),-0.0194406 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,7),(4,27),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,7),(4,28),-0.0230884 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,8),(4,9),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,8),(4,10),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,8),(4,11),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,8),(4,13),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,8),(4,14),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,8),(4,15),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,8),(4,17),-0.0194406 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,8),(4,19),-0.0194406 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,8),(4,27),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,8),(4,28),-0.0230889 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,9),(4,10),-0.0221829 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,9),(4,11),-0.0200982 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,9),(4,13),-0.0200982 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,9),(4,14),-0.0212118 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,9),(4,15),-0.0207009 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,9),(4,17),-0.0200618 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,9),(4,19),-0.0200622 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,9),(4,27),-0.0197135 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,9),(4,28),-0.0387266 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,10),(4,11),-0.0195089 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,10),(4,13),-0.0195089 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,10),(4,14),-0.0203859 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,10),(4,15),-0.0201402 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,10),(4,17),-0.0206271 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,10),(4,19),-0.0206271 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,10),(4,27),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,10),(4,28),-0.0360569 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,11),(4,13),-0.0200982 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,11),(4,14),-0.0212118 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,11),(4,15),-0.0207009 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,11),(4,17),-0.0200618 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,11),(4,19),-0.0200622 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,11),(4,27),-0.0197135 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,11),(4,28),-0.0387266 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,13),(4,14),-0.0212118 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,13),(4,15),-0.0207009 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,13),(4,17),-0.0200618 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,13),(4,19),-0.0200622 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,13),(4,27),-0.0197135 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,13),(4,28),-0.0387266 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,14),(4,15),-0.0215923 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,14),(4,17),-0.0204582 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,14),(4,19),-0.0204582 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,14),(4,27),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,14),(4,28),-0.0197302 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,15),(4,17),0.124542 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,15),(4,19),0.137638 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,15),(4,27),0.15319 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,15),(4,28),-0.0266201 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,17),(4,19),-0.0196149 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,17),(4,27),-0.0206099 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,17),(4,28),-0.00284915 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,19),(4,27),-0.0206099 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,19),(4,28),-0.00284431 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,27),(4,28),-0.0216082 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,4),(4,3),0.102617 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,4),(4,4),(4,2),0.102627 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,4),(4,4),(4,1),0.104952 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,4),(4,4),(4,-1),-0.201219 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,4),(4,3),(4,2),0.109492 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,3),(4,1),0.109539 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,3),(4,-1),-0.149136 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,2),(4,1),0.109539 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,2),(4,-1),-0.149126 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,1),(4,-1),-0.148529 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,5),(5,5),(5,6),-0.0219091 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,5),(5,5),(5,7),-0.0230865 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,5),(5,5),(5,8),-0.0230865 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,5),(5,5),(5,9),-0.0588143 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,5),(5,5),(5,10),-0.0201812 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,5),(5,5),(5,11),-0.0588143 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,5),(5,5),(5,13),-0.0588143 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,5),(5,5),(5,14),-0.0202028 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,5),(5,5),(5,16),-0.000788653 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,5),(5,5),(5,17),-0.00360983 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,5),(5,5),(5,18),-0.0232791 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,5),(5,5),(5,19),-0.00360462 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,5),(5,5),(5,21),-0.0221525 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,5),(5,5),(5,24),-0.0202028 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,5),(5,5),(5,26),-0.00455457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,5),(5,5),(5,27),-0.0194405 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,5),(5,5),(5,28),0.0165806 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,5),(5,6),(5,7),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,6),(5,8),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,6),(5,9),-0.0136636 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,6),(5,10),-0.0199718 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,6),(5,11),-0.0136636 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,6),(5,13),-0.0136636 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,6),(5,14),-0.0150696 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,6),(5,16),-0.0187999 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,6),(5,17),-0.0187999 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,6),(5,18),-0.0291887 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,6),(5,19),-0.0187999 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,6),(5,21),-0.0204871 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,6),(5,24),-0.0150696 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,6),(5,26),-0.0187999 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,6),(5,27),-0.0194433 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,6),(5,28),-0.02261 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,5),(5,7),(5,8),-0.019442 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,7),(5,9),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,7),(5,10),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,7),(5,11),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,7),(5,13),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,7),(5,14),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,7),(5,16),-0.0194406 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,7),(5,17),-0.0194406 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,7),(5,18),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,7),(5,19),-0.0194406 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,7),(5,21),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,7),(5,24),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,7),(5,26),-0.0194406 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,7),(5,27),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,7),(5,28),-0.0230884 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,5),(5,8),(5,9),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,8),(5,10),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,8),(5,11),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,8),(5,13),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,8),(5,14),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,8),(5,16),-0.0194406 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,8),(5,17),-0.0194406 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,8),(5,18),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,8),(5,19),-0.0194406 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,8),(5,21),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,8),(5,24),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,8),(5,26),-0.0194406 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,8),(5,27),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,8),(5,28),-0.0230889 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,5),(5,9),(5,10),-0.0221829 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,9),(5,11),-0.0200982 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,9),(5,13),-0.0200982 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,9),(5,14),-0.0212118 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,9),(5,16),-0.0200634 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,9),(5,17),-0.0200618 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,9),(5,18),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,9),(5,19),-0.0200622 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,9),(5,21),-0.0221823 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,9),(5,24),-0.0212118 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,9),(5,26),-0.0200618 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,9),(5,27),-0.0197135 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,9),(5,28),-0.0387205 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,5),(5,10),(5,11),-0.0195089 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,10),(5,13),-0.0195089 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,10),(5,14),-0.0203859 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,10),(5,16),-0.0206271 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,10),(5,17),-0.0206271 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,10),(5,18),-0.0194507 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,10),(5,19),-0.0206271 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,10),(5,21),-0.0177376 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,10),(5,24),-0.0203859 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,10),(5,26),-0.0206271 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,10),(5,27),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,10),(5,28),-0.0360569 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,5),(5,11),(5,13),-0.0200982 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,11),(5,14),-0.0212118 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,11),(5,16),-0.0200634 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,11),(5,17),-0.0200618 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,11),(5,18),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,11),(5,19),-0.0200622 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,11),(5,21),-0.0221823 # DEPENDENCYPART_GRANDSIBL
