# _root_ Sales growth of 10 % a year seems possible , he said , and Akzo expects its Twaron business to become profitable in 1990 .
#goldHeads=2,8,2,5,3,7,5,14,8,12,12,14,12,0,16,14,19,19,21,21,16,21,21,23,14,
#predictedHeads=2,14,2,5,3,7,8,14,8,12,12,14,12,0,16,14,19,19,16,21,16,21,21,23,14,
(3,8),(8,8),(8,2),-0.153497 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,8),(8,8),(8,1),-0.153498 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,8),(8,8),(8,-1),-0.134348 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,8),(8,7),(8,6),0.103092 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,7),(8,5),0.100498 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,7),(8,4),0.108779 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,7),(8,3),0.102826 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,7),(8,2),-0.144745 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,7),(8,1),-0.144745 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,7),(8,-1),-0.14932 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,6),(8,5),0.10954 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,6),(8,4),0.10954 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,6),(8,3),0.107592 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,6),(8,2),-0.144706 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,6),(8,1),-0.144706 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,6),(8,-1),-0.186024 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,5),(8,4),0.108769 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,5),(8,3),0.104389 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,5),(8,2),-0.144745 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,5),(8,1),-0.144745 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,5),(8,-1),-0.140394 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,4),(8,3),0.107903 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,4),(8,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,4),(8,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,4),(8,-1),-0.157934 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,3),(8,2),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,8),(8,3),(8,1),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,8),(8,3),(8,-1),-0.157873 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,8),(8,2),(8,1),-0.144745 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,2),(8,-1),-0.145883 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,1),(8,-1),-0.146077 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,9),(9,10),0.000421282 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,9),(9,12),-0.0155972 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,9),(9,14),-0.0305024 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,9),(9,15),-0.0304844 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,9),(9,16),-0.0155884 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,9),(9,21),-0.0155862 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,9),(9,26),-0.00471369 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,9),(9,10),(9,12),-0.0244362 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,10),(9,14),0.0062476 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,10),(9,15),-0.00454646 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,10),(9,16),-0.0242396 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,10),(9,21),-0.0242288 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,10),(9,26),-0.0255447 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,12),(9,14),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,12),(9,15),-0.0194501 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,12),(9,16),-0.0194495 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,12),(9,21),-0.0194495 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,12),(9,26),-0.0175543 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,14),(9,15),0.147647 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,14),(9,16),0.494723 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,14),(9,21),0.412466 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,14),(9,26),-0.00504427 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,15),(9,16),-0.0201332 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,15),(9,21),-0.0201332 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,15),(9,26),0.00435113 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,16),(9,21),-0.0194495 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,16),(9,26),-0.0173488 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,21),(9,26),-0.0167125 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,9),(9,7),0.0976346 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,9),(9,6),0.155211 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,9),(9,5),0.0975541 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,9),(9,3),0.105698 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,9),(9,2),-0.146299 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,9),(9,-1),-0.198002 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,9),(9,7),(9,6),0.107751 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,7),(9,5),0.107919 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,7),(9,3),0.108146 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,7),(9,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,7),(9,-1),-0.153816 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,6),(9,5),0.10954 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,6),(9,3),0.108614 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,6),(9,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,6),(9,-1),-0.104781 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,5),(9,3),0.108146 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,5),(9,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,5),(9,-1),-0.154022 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,3),(9,2),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,3),(9,-1),-0.157669 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,9),(9,2),(9,-1),-0.153784 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,12),(12,13),-0.0521524 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,12),(12,12),(12,14),-0.0697633 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,12),(12,12),(12,15),0.0493183 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,12),(12,12),(12,16),-0.0427916 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,12),(12,12),(12,20),-0.0476194 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,12),(12,12),(12,21),-0.0433208 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,12),(12,12),(12,22),-0.030866 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,12),(12,12),(12,25),-0.0220538 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,12),(12,12),(12,26),-0.0226394 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,12),(12,13),(12,14),-0.0265754 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,13),(12,15),-0.0221232 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,13),(12,16),-0.0352445 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,13),(12,20),-0.012376 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,13),(12,21),-0.0352445 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,13),(12,22),-0.0194775 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,13),(12,25),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,13),(12,26),-0.0288178 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,14),(12,15),0.146948 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,14),(12,16),0.495091 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,14),(12,20),0.375628 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,14),(12,21),0.412818 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,14),(12,22),0.119674 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,14),(12,25),0.243504 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,14),(12,26),-0.0181277 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,15),(12,16),0.0087633 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,15),(12,20),0.00878221 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,15),(12,21),0.00863043 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,15),(12,22),-0.0216208 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,15),(12,25),-0.0238509 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,15),(12,26),-0.0565734 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,16),(12,20),-0.0194792 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,16),(12,21),-0.0204064 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,16),(12,22),-0.0194415 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,16),(12,25),-0.0199324 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,16),(12,26),-0.0350943 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,20),(12,21),-0.0214682 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,20),(12,22),-0.0194649 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,20),(12,25),-0.0202846 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,20),(12,26),0.0102643 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,21),(12,22),-0.0194415 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,21),(12,25),-0.0199324 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,21),(12,26),-0.0355443 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,22),(12,25),-0.0198053 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,22),(12,26),-0.03433 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,25),(12,26),-0.0267515 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,12),(12,11),0.117878 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,12),(12,12),(12,10),0.0940519 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,12),(12,12),(12,9),0.0930952 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,12),(12,12),(12,8),0.0954489 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,12),(12,12),(12,7),0.100044 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,12),(12,12),(12,6),0.0762815 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,12),(12,12),(12,5),0.110188 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,12),(12,12),(12,4),0.0937102 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,12),(12,12),(12,3),0.120544 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,12),(12,12),(12,2),-0.153497 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,12),(12,12),(12,-1),-0.137327 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,12),(12,11),(12,10),0.108583 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,11),(12,9),0.109535 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,11),(12,8),0.109497 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,11),(12,7),0.111283 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,11),(12,6),0.10954 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,11),(12,5),0.111282 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,11),(12,4),0.109534 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,11),(12,3),0.113078 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,11),(12,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,11),(12,-1),-0.175293 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,10),(12,9),0.108952 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,10),(12,8),0.109027 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,10),(12,7),0.0902721 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,10),(12,6),0.10954 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,10),(12,5),0.0903025 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,10),(12,4),0.109486 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,10),(12,3),0.101689 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,10),(12,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,10),(12,-1),-0.153742 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,9),(12,8),0.109539 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,9),(12,7),0.109481 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,9),(12,6),0.10879 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,9),(12,5),0.109481 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,9),(12,4),0.109528 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,9),(12,3),0.109039 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,9),(12,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,9),(12,-1),-0.166032 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,8),(12,7),0.111853 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,8),(12,6),0.108539 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,8),(12,5),0.111853 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,8),(12,4),0.109518 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,8),(12,3),0.109276 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,8),(12,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,8),(12,-1),-0.134688 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,7),(12,6),0.103025 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,7),(12,5),0.100457 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,7),(12,4),0.108777 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,7),(12,3),0.101638 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,7),(12,2),-0.144745 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,7),(12,-1),-0.151111 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,6),(12,5),0.10954 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,6),(12,4),0.10954 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,6),(12,3),0.107592 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,6),(12,2),-0.144706 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,6),(12,-1),-0.186095 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,5),(12,4),0.108767 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,5),(12,3),0.103201 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,5),(12,2),-0.144745 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,5),(12,-1),-0.142185 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,4),(12,3),0.107859 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,4),(12,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,4),(12,-1),-0.157933 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,3),(12,2),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,12),(12,3),(12,-1),-0.160258 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,12),(12,2),(12,-1),-0.147674 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,14),(14,15),0.176491 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,16),-0.164333 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,18),0.176491 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,19),0.16998 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,20),-0.0332272 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,21),-0.163604 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,22),-0.0178211 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,23),-0.110311 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,25),-0.0194405 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,26),-0.167885 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,14),(14,15),(14,16),0.0603068 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,15),(14,18),-0.0798965 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,15),(14,19),-0.0789562 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,15),(14,20),-0.0310832 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,15),(14,21),0.0603068 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,15),(14,22),-0.00978422 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,15),(14,23),0.00468068 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,15),(14,25),-0.0133721 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,15),(14,26),0.0676647 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,16),(14,18),-0.0342548 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,16),(14,19),-0.0328297 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,16),(14,20),-0.0237871 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,16),(14,21),0.000539297 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,16),(14,22),-0.0234689 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,16),(14,23),-0.00185395 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,16),(14,25),-0.0200695 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,16),(14,26),-0.0291183 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,18),(14,19),-0.0789562 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,18),(14,20),-0.0310832 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,18),(14,21),0.0603068 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,18),(14,22),-0.00978422 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,18),(14,23),0.00468068 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,18),(14,25),-0.0133721 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,18),(14,26),0.0676647 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,19),(14,20),-0.0310832 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,19),(14,21),0.0602342 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,19),(14,22),-0.00978422 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,19),(14,23),0.0043436 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,19),(14,25),-0.0133721 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,19),(14,26),0.0653871 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,20),(14,21),-0.019677 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,20),(14,22),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,20),(14,23),-0.0197178 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,20),(14,25),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,20),(14,26),-0.0529 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,21),(14,22),-0.0234689 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,21),(14,23),-0.00185395 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,21),(14,25),-0.0200695 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,21),(14,26),-0.0291109 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,22),(14,23),-0.0266051 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,22),(14,25),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,22),(14,26),-0.0900563 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,23),(14,25),-0.0195285 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,23),(14,26),0.00366217 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,25),(14,26),-0.0204637 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,14),(14,13),0.00978518 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,12),0.0636471 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,11),0.105747 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,10),0.00978518 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,9),0.0410011 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,8),0.0601547 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,7),0.330754 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,6),0.10336 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,5),0.347314 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,4),0.145612 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,3),0.101041 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,2),-0.145156 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,1),-0.145156 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,14),(14,14),(14,-1),-0.235562 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,14),(14,13),(14,12),0.102367 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,13),(14,11),0.103705 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,13),(14,10),0.0989238 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,13),(14,9),0.0609455 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,13),(14,8),0.102435 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,13),(14,7),0.205993 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,13),(14,6),0.10312 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,13),(14,5),0.208594 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,13),(14,4),0.155081 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,13),(14,3),0.0814113 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,13),(14,2),-0.147378 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,13),(14,1),-0.147378 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,13),(14,-1),-0.178665 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,12),(14,11),0.0998994 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,12),(14,10),0.129928 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,12),(14,9),0.11969 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,12),(14,8),0.10665 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,12),(14,7),0.0299194 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,12),(14,6),0.0983869 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,12),(14,5),0.0303338 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,12),(14,4),0.10646 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,12),(14,3),0.104115 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,12),(14,2),-0.144765 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,12),(14,1),-0.144765 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,12),(14,-1),-0.0487594 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,11),(14,10),0.0978431 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,11),(14,9),0.10954 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,11),(14,8),0.10954 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,11),(14,7),0.109441 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,11),(14,6),0.10954 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,11),(14,5),0.109441 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,11),(14,4),0.10954 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,11),(14,3),0.108202 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,11),(14,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,11),(14,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,11),(14,-1),-0.15019 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,14),(14,10),(14,9),0.0609455 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,10),(14,8),0.102435 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,10),(14,7),0.205993 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,10),(14,6),0.10312 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,10),(14,5),0.208594 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,10),(14,4),0.155081 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,10),(14,3),0.0814113 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,10),(14,2),-0.147378 # DEPENDENCYPART_GRANDSIBL
(3,14),(14,10),(14,1),-0.147378 # DEPENDENCYPART_GRANDSIBL
