# _root_ By 10 a.m. Tokyo time , the index was up 435.11 points , to 34903.80 as investors hailed New York 's overnight rally .
#goldHeads=9,1,2,5,2,9,8,9,0,9,12,10,10,10,14,9,18,16,20,23,20,23,18,9,
#predictedHeads=9,5,5,5,1,9,8,9,0,9,12,10,9,10,14,9,18,16,20,23,20,23,18,9,
(5,8),(5,14),0.0475417 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.00390444 # DEPENDENCYPART_SIBL
(5,8),(5,16),0.0183314 # DEPENDENCYPART_SIBL
(5,8),(5,18),-0.0584462 # DEPENDENCYPART_SIBL
(5,8),(5,23),-0.0692094 # DEPENDENCYPART_SIBL
(5,8),(5,24),0.00124484 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.142331 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.0447788 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.0506658 # DEPENDENCYPART_SIBL
(5,9),(5,13),0.214085 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.0100094 # DEPENDENCYPART_SIBL
(5,9),(5,15),-0.0447788 # DEPENDENCYPART_SIBL
(5,9),(5,16),-0.0587109 # DEPENDENCYPART_SIBL
(5,9),(5,18),-0.384765 # DEPENDENCYPART_SIBL
(5,9),(5,23),-0.0966627 # DEPENDENCYPART_SIBL
(5,9),(5,24),-0.0468981 # DEPENDENCYPART_SIBL
(5,10),(5,11),0.0271446 # DEPENDENCYPART_SIBL
(5,10),(5,12),0.188495 # DEPENDENCYPART_SIBL
(5,10),(5,13),0.0191867 # DEPENDENCYPART_SIBL
(5,10),(5,14),0.166186 # DEPENDENCYPART_SIBL
(5,10),(5,15),0.0271446 # DEPENDENCYPART_SIBL
(5,10),(5,16),0.13491 # DEPENDENCYPART_SIBL
(5,10),(5,18),-0.0191482 # DEPENDENCYPART_SIBL
(5,10),(5,23),0.132483 # DEPENDENCYPART_SIBL
(5,10),(5,24),-0.0490685 # DEPENDENCYPART_SIBL
(5,11),(5,12),-0.0859108 # DEPENDENCYPART_SIBL
(5,11),(5,13),0.0316638 # DEPENDENCYPART_SIBL
(5,11),(5,14),0.0324869 # DEPENDENCYPART_SIBL
(5,11),(5,15),-0.00667108 # DEPENDENCYPART_SIBL
(5,11),(5,16),-0.129908 # DEPENDENCYPART_SIBL
(5,11),(5,18),-0.0666927 # DEPENDENCYPART_SIBL
(5,11),(5,23),0.00686601 # DEPENDENCYPART_SIBL
(5,11),(5,24),-0.0587208 # DEPENDENCYPART_SIBL
(5,12),(5,13),-0.0772315 # DEPENDENCYPART_SIBL
(5,12),(5,14),0.0708236 # DEPENDENCYPART_SIBL
(5,12),(5,15),-0.0398943 # DEPENDENCYPART_SIBL
(5,12),(5,16),-0.0285333 # DEPENDENCYPART_SIBL
(5,12),(5,18),-0.148748 # DEPENDENCYPART_SIBL
(5,12),(5,23),-0.103982 # DEPENDENCYPART_SIBL
(5,12),(5,24),-0.0551794 # DEPENDENCYPART_SIBL
(5,13),(5,14),0.142481 # DEPENDENCYPART_SIBL
(5,13),(5,15),0.349846 # DEPENDENCYPART_SIBL
(5,13),(5,16),0.382404 # DEPENDENCYPART_SIBL
(5,13),(5,18),0.382679 # DEPENDENCYPART_SIBL
(5,13),(5,23),0.642753 # DEPENDENCYPART_SIBL
(5,13),(5,24),-0.0329123 # DEPENDENCYPART_SIBL
(5,14),(5,15),0.224846 # DEPENDENCYPART_SIBL
(5,14),(5,16),-0.0483671 # DEPENDENCYPART_SIBL
(5,14),(5,18),-0.121947 # DEPENDENCYPART_SIBL
(5,14),(5,23),0.0361317 # DEPENDENCYPART_SIBL
(5,14),(5,24),-0.068871 # DEPENDENCYPART_SIBL
(5,15),(5,16),-0.129908 # DEPENDENCYPART_SIBL
(5,15),(5,18),-0.0666927 # DEPENDENCYPART_SIBL
(5,15),(5,23),0.00686601 # DEPENDENCYPART_SIBL
(5,15),(5,24),-0.0587208 # DEPENDENCYPART_SIBL
(5,16),(5,18),-0.0810121 # DEPENDENCYPART_SIBL
(5,16),(5,23),0.0242755 # DEPENDENCYPART_SIBL
(5,16),(5,24),0.104848 # DEPENDENCYPART_SIBL
(5,18),(5,23),-0.0225121 # DEPENDENCYPART_SIBL
(5,18),(5,24),0.0314946 # DEPENDENCYPART_SIBL
(5,23),(5,24),0.0255473 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.088963 # DEPENDENCYPART_SIBL
(8,1),(8,2),0.0230035 # DEPENDENCYPART_SIBL
(8,1),(8,3),-0.0972989 # DEPENDENCYPART_SIBL
(8,1),(8,4),-0.0769854 # DEPENDENCYPART_SIBL
(8,1),(8,5),-0.207832 # DEPENDENCYPART_SIBL
(8,1),(8,6),0.17487 # DEPENDENCYPART_SIBL
(8,1),(8,7),-0.180121 # DEPENDENCYPART_SIBL
(8,1),(8,9),-0.0487945 # DEPENDENCYPART_SIBL
(8,1),(8,10),0.008237 # DEPENDENCYPART_SIBL
(8,1),(8,11),0.000917238 # DEPENDENCYPART_SIBL
(8,1),(8,12),-0.0423691 # DEPENDENCYPART_SIBL
(8,1),(8,13),-0.0390482 # DEPENDENCYPART_SIBL
(8,1),(8,14),-0.0911974 # DEPENDENCYPART_SIBL
(8,1),(8,16),-0.0239653 # DEPENDENCYPART_SIBL
(8,1),(8,18),-0.01717 # DEPENDENCYPART_SIBL
(8,2),(8,3),0.108432 # DEPENDENCYPART_SIBL
(8,2),(8,4),0.139503 # DEPENDENCYPART_SIBL
(8,2),(8,5),-0.0240233 # DEPENDENCYPART_SIBL
(8,2),(8,6),-0.0107284 # DEPENDENCYPART_SIBL
(8,2),(8,7),-0.498977 # DEPENDENCYPART_SIBL
(8,2),(8,9),0.0223944 # DEPENDENCYPART_SIBL
(8,2),(8,10),0.0277901 # DEPENDENCYPART_SIBL
(8,2),(8,11),0.0192085 # DEPENDENCYPART_SIBL
(8,2),(8,12),-0.00415129 # DEPENDENCYPART_SIBL
(8,2),(8,13),0.00574548 # DEPENDENCYPART_SIBL
(8,2),(8,14),0.0354366 # DEPENDENCYPART_SIBL
(8,2),(8,16),-0.0477611 # DEPENDENCYPART_SIBL
(8,2),(8,18),0.035327 # DEPENDENCYPART_SIBL
(8,3),(8,4),0.0213286 # DEPENDENCYPART_SIBL
(8,3),(8,5),-0.0482291 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.0468637 # DEPENDENCYPART_SIBL
(8,3),(8,7),-0.145221 # DEPENDENCYPART_SIBL
(8,3),(8,9),0.0300376 # DEPENDENCYPART_SIBL
(8,3),(8,10),-0.0245885 # DEPENDENCYPART_SIBL
(8,3),(8,11),-0.0282693 # DEPENDENCYPART_SIBL
(8,3),(8,12),0.0054414 # DEPENDENCYPART_SIBL
(8,3),(8,13),0.0295971 # DEPENDENCYPART_SIBL
(8,3),(8,14),-0.102003 # DEPENDENCYPART_SIBL
(8,3),(8,16),0.057147 # DEPENDENCYPART_SIBL
(8,3),(8,18),0.00564905 # DEPENDENCYPART_SIBL
(8,4),(8,5),0.0699469 # DEPENDENCYPART_SIBL
(8,4),(8,6),0.182928 # DEPENDENCYPART_SIBL
(8,4),(8,7),-0.451258 # DEPENDENCYPART_SIBL
(8,4),(8,9),0.0861463 # DEPENDENCYPART_SIBL
(8,4),(8,10),0.0486326 # DEPENDENCYPART_SIBL
(8,4),(8,11),0.0297107 # DEPENDENCYPART_SIBL
(8,4),(8,12),0.00876185 # DEPENDENCYPART_SIBL
(8,4),(8,13),0.0276829 # DEPENDENCYPART_SIBL
(8,4),(8,14),-0.0980947 # DEPENDENCYPART_SIBL
(8,4),(8,16),-0.00849977 # DEPENDENCYPART_SIBL
(8,4),(8,18),0.0626069 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.142273 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.586063 # DEPENDENCYPART_SIBL
(8,5),(8,9),0.0105417 # DEPENDENCYPART_SIBL
(8,5),(8,10),0.103743 # DEPENDENCYPART_SIBL
(8,5),(8,11),-0.0431567 # DEPENDENCYPART_SIBL
(8,5),(8,12),-0.0255706 # DEPENDENCYPART_SIBL
(8,5),(8,13),-0.000208179 # DEPENDENCYPART_SIBL
(8,5),(8,14),-0.217763 # DEPENDENCYPART_SIBL
(8,5),(8,16),-0.0665156 # DEPENDENCYPART_SIBL
(8,5),(8,18),0.0129909 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.162401 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.00622928 # DEPENDENCYPART_SIBL
(8,6),(8,10),0.000659177 # DEPENDENCYPART_SIBL
(8,6),(8,11),-0.059512 # DEPENDENCYPART_SIBL
(8,6),(8,12),-0.069255 # DEPENDENCYPART_SIBL
(8,6),(8,13),-0.00164329 # DEPENDENCYPART_SIBL
(8,6),(8,14),-0.0634828 # DEPENDENCYPART_SIBL
(8,6),(8,16),-0.0703936 # DEPENDENCYPART_SIBL
(8,6),(8,18),0.0174311 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.13327 # DEPENDENCYPART_SIBL
(8,7),(8,10),0.027312 # DEPENDENCYPART_SIBL
(8,7),(8,11),-0.0949399 # DEPENDENCYPART_SIBL
(8,7),(8,12),-0.0712358 # DEPENDENCYPART_SIBL
(8,7),(8,13),0.156791 # DEPENDENCYPART_SIBL
(8,7),(8,14),-0.130611 # DEPENDENCYPART_SIBL
(8,7),(8,16),-0.0885231 # DEPENDENCYPART_SIBL
(8,7),(8,18),0.283431 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.104549 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.0752041 # DEPENDENCYPART_SIBL
(8,9),(8,12),-0.0810761 # DEPENDENCYPART_SIBL
(8,9),(8,13),0.21848 # DEPENDENCYPART_SIBL
(8,9),(8,14),-0.0550538 # DEPENDENCYPART_SIBL
(8,9),(8,16),-0.017805 # DEPENDENCYPART_SIBL
(8,9),(8,18),-0.308633 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.0185058 # DEPENDENCYPART_SIBL
(8,10),(8,12),0.147003 # DEPENDENCYPART_SIBL
(8,10),(8,13),-0.00565152 # DEPENDENCYPART_SIBL
(8,10),(8,14),0.11688 # DEPENDENCYPART_SIBL
(8,10),(8,16),0.172437 # DEPENDENCYPART_SIBL
(8,10),(8,18),0.0272682 # DEPENDENCYPART_SIBL
(8,11),(8,12),-0.0773864 # DEPENDENCYPART_SIBL
(8,11),(8,13),0.0746227 # DEPENDENCYPART_SIBL
(8,11),(8,14),0.0502997 # DEPENDENCYPART_SIBL
(8,11),(8,16),-0.0377642 # DEPENDENCYPART_SIBL
(8,11),(8,18),0.0412282 # DEPENDENCYPART_SIBL
(8,12),(8,13),-0.0989162 # DEPENDENCYPART_SIBL
(8,12),(8,14),0.0517625 # DEPENDENCYPART_SIBL
(8,12),(8,16),0.00541913 # DEPENDENCYPART_SIBL
(8,12),(8,18),-0.0798055 # DEPENDENCYPART_SIBL
(8,13),(8,14),0.134698 # DEPENDENCYPART_SIBL
(8,13),(8,16),0.459079 # DEPENDENCYPART_SIBL
(8,13),(8,18),0.566108 # DEPENDENCYPART_SIBL
(8,14),(8,16),0.101508 # DEPENDENCYPART_SIBL
(8,14),(8,18),0.0288921 # DEPENDENCYPART_SIBL
(8,16),(8,18),0.00888198 # DEPENDENCYPART_SIBL
(9,1),(9,2),-0.0137084 # DEPENDENCYPART_SIBL
(9,1),(9,3),-0.0589833 # DEPENDENCYPART_SIBL
(9,1),(9,4),-0.0182359 # DEPENDENCYPART_SIBL
(9,1),(9,5),-0.0195388 # DEPENDENCYPART_SIBL
(9,1),(9,6),0.365566 # DEPENDENCYPART_SIBL
(9,1),(9,7),-0.0217008 # DEPENDENCYPART_SIBL
(9,1),(9,8),0.0859062 # DEPENDENCYPART_SIBL
(9,1),(9,10),0.0600283 # DEPENDENCYPART_SIBL
(9,1),(9,11),-0.0552289 # DEPENDENCYPART_SIBL
(9,1),(9,12),-0.152749 # DEPENDENCYPART_SIBL
(9,1),(9,13),-0.0432236 # DEPENDENCYPART_SIBL
(9,1),(9,14),-0.159949 # DEPENDENCYPART_SIBL
(9,1),(9,15),-0.0552289 # DEPENDENCYPART_SIBL
(9,1),(9,16),-0.191215 # DEPENDENCYPART_SIBL
(9,1),(9,17),-0.153358 # DEPENDENCYPART_SIBL
(9,1),(9,18),-0.0420933 # DEPENDENCYPART_SIBL
(9,1),(9,20),-0.124381 # DEPENDENCYPART_SIBL
(9,1),(9,22),0.00215554 # DEPENDENCYPART_SIBL
(9,1),(9,23),-0.0911709 # DEPENDENCYPART_SIBL
(9,1),(9,24),0.0244085 # DEPENDENCYPART_SIBL
(9,2),(9,3),-0.0352052 # DEPENDENCYPART_SIBL
(9,2),(9,4),-0.149407 # DEPENDENCYPART_SIBL
(9,2),(9,5),-0.205885 # DEPENDENCYPART_SIBL
(9,2),(9,6),-0.120069 # DEPENDENCYPART_SIBL
(9,2),(9,7),-0.30571 # DEPENDENCYPART_SIBL
(9,2),(9,8),-0.158796 # DEPENDENCYPART_SIBL
(9,2),(9,10),-0.101106 # DEPENDENCYPART_SIBL
(9,2),(9,11),-0.0652755 # DEPENDENCYPART_SIBL
(9,2),(9,12),-0.0956064 # DEPENDENCYPART_SIBL
(9,2),(9,13),-0.086777 # DEPENDENCYPART_SIBL
(9,2),(9,14),-0.15036 # DEPENDENCYPART_SIBL
(9,2),(9,15),-0.0652755 # DEPENDENCYPART_SIBL
(9,2),(9,16),-0.184521 # DEPENDENCYPART_SIBL
(9,2),(9,17),-0.112245 # DEPENDENCYPART_SIBL
(9,2),(9,18),-0.0948106 # DEPENDENCYPART_SIBL
(9,2),(9,20),-0.12054 # DEPENDENCYPART_SIBL
(9,2),(9,22),-0.0244704 # DEPENDENCYPART_SIBL
(9,2),(9,23),0.0451936 # DEPENDENCYPART_SIBL
(9,2),(9,24),-0.0672589 # DEPENDENCYPART_SIBL
(9,3),(9,4),-0.0576897 # DEPENDENCYPART_SIBL
(9,3),(9,5),-0.0248922 # DEPENDENCYPART_SIBL
(9,3),(9,6),0.221187 # DEPENDENCYPART_SIBL
(9,3),(9,7),-0.0236945 # DEPENDENCYPART_SIBL
(9,3),(9,8),0.0204346 # DEPENDENCYPART_SIBL
(9,3),(9,10),-0.0644644 # DEPENDENCYPART_SIBL
(9,3),(9,11),-0.0548942 # DEPENDENCYPART_SIBL
(9,3),(9,12),-0.102428 # DEPENDENCYPART_SIBL
(9,3),(9,13),-0.0497321 # DEPENDENCYPART_SIBL
(9,3),(9,14),-0.0663944 # DEPENDENCYPART_SIBL
(9,3),(9,15),-0.0548942 # DEPENDENCYPART_SIBL
(9,3),(9,16),-0.0988289 # DEPENDENCYPART_SIBL
(9,3),(9,17),-0.116559 # DEPENDENCYPART_SIBL
(9,3),(9,18),-0.0348016 # DEPENDENCYPART_SIBL
(9,3),(9,20),-0.144602 # DEPENDENCYPART_SIBL
(9,3),(9,22),-0.0501652 # DEPENDENCYPART_SIBL
(9,3),(9,23),0.00511756 # DEPENDENCYPART_SIBL
(9,3),(9,24),-0.0408492 # DEPENDENCYPART_SIBL
(9,4),(9,5),-0.234077 # DEPENDENCYPART_SIBL
(9,4),(9,6),-0.0159926 # DEPENDENCYPART_SIBL
(9,4),(9,7),-0.344432 # DEPENDENCYPART_SIBL
(9,4),(9,8),-0.151679 # DEPENDENCYPART_SIBL
(9,4),(9,10),0.000584455 # DEPENDENCYPART_SIBL
(9,4),(9,11),-0.021371 # DEPENDENCYPART_SIBL
(9,4),(9,12),-0.0691681 # DEPENDENCYPART_SIBL
(9,4),(9,13),-0.0132924 # DEPENDENCYPART_SIBL
(9,4),(9,14),-0.211835 # DEPENDENCYPART_SIBL
(9,4),(9,15),-0.021371 # DEPENDENCYPART_SIBL
(9,4),(9,16),-0.125512 # DEPENDENCYPART_SIBL
(9,4),(9,17),-0.168112 # DEPENDENCYPART_SIBL
(9,4),(9,18),-0.0642744 # DEPENDENCYPART_SIBL
(9,4),(9,20),-0.102855 # DEPENDENCYPART_SIBL
(9,4),(9,22),-0.0299573 # DEPENDENCYPART_SIBL
(9,4),(9,23),-0.0546272 # DEPENDENCYPART_SIBL
(9,4),(9,24),-0.0771644 # DEPENDENCYPART_SIBL
(9,5),(9,6),-2.00464e-05 # DEPENDENCYPART_SIBL
(9,5),(9,7),-0.523725 # DEPENDENCYPART_SIBL
(9,5),(9,8),-0.682818 # DEPENDENCYPART_SIBL
(9,5),(9,10),0.0618408 # DEPENDENCYPART_SIBL
(9,5),(9,11),0.0190306 # DEPENDENCYPART_SIBL
(9,5),(9,12),-0.0471831 # DEPENDENCYPART_SIBL
(9,5),(9,13),0.0301317 # DEPENDENCYPART_SIBL
(9,5),(9,14),-0.0420877 # DEPENDENCYPART_SIBL
(9,5),(9,15),0.0190306 # DEPENDENCYPART_SIBL
(9,5),(9,16),0.0378228 # DEPENDENCYPART_SIBL
(9,5),(9,17),-0.0236411 # DEPENDENCYPART_SIBL
(9,5),(9,18),0.00825217 # DEPENDENCYPART_SIBL
(9,5),(9,20),-0.00649289 # DEPENDENCYPART_SIBL
(9,5),(9,22),0.0576627 # DEPENDENCYPART_SIBL
(9,5),(9,23),-0.00612769 # DEPENDENCYPART_SIBL
(9,5),(9,24),0.102943 # DEPENDENCYPART_SIBL
(9,6),(9,7),-0.0880495 # DEPENDENCYPART_SIBL
(9,6),(9,8),0.17303 # DEPENDENCYPART_SIBL
(9,6),(9,10),0.0719423 # DEPENDENCYPART_SIBL
(9,6),(9,11),-0.0103374 # DEPENDENCYPART_SIBL
(9,6),(9,12),-0.0983099 # DEPENDENCYPART_SIBL
(9,6),(9,13),-0.00268046 # DEPENDENCYPART_SIBL
(9,6),(9,14),-0.133138 # DEPENDENCYPART_SIBL
(9,6),(9,15),-0.0103374 # DEPENDENCYPART_SIBL
(9,6),(9,16),-0.0781041 # DEPENDENCYPART_SIBL
(9,6),(9,17),-0.124072 # DEPENDENCYPART_SIBL
(9,6),(9,18),-0.0525161 # DEPENDENCYPART_SIBL
(9,6),(9,20),-0.0514032 # DEPENDENCYPART_SIBL
(9,6),(9,22),0.00532053 # DEPENDENCYPART_SIBL
(9,6),(9,23),0.00396438 # DEPENDENCYPART_SIBL
(9,6),(9,24),0.0636823 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.162598 # DEPENDENCYPART_SIBL
(9,7),(9,10),-0.0719118 # DEPENDENCYPART_SIBL
(9,7),(9,11),-0.141291 # DEPENDENCYPART_SIBL
(9,7),(9,12),-0.188972 # DEPENDENCYPART_SIBL
(9,7),(9,13),-0.132034 # DEPENDENCYPART_SIBL
(9,7),(9,14),-0.287715 # DEPENDENCYPART_SIBL
(9,7),(9,15),-0.141291 # DEPENDENCYPART_SIBL
(9,7),(9,16),-0.200156 # DEPENDENCYPART_SIBL
(9,7),(9,17),-0.191679 # DEPENDENCYPART_SIBL
(9,7),(9,18),0.0320003 # DEPENDENCYPART_SIBL
(9,7),(9,20),-0.217933 # DEPENDENCYPART_SIBL
(9,7),(9,22),-0.0802643 # DEPENDENCYPART_SIBL
(9,7),(9,23),-0.104828 # DEPENDENCYPART_SIBL
(9,7),(9,24),-0.186214 # DEPENDENCYPART_SIBL
(9,8),(9,10),0.200106 # DEPENDENCYPART_SIBL
(9,8),(9,11),0.0836121 # DEPENDENCYPART_SIBL
(9,8),(9,12),-0.0382303 # DEPENDENCYPART_SIBL
(9,8),(9,13),-0.0354057 # DEPENDENCYPART_SIBL
(9,8),(9,14),0.243419 # DEPENDENCYPART_SIBL
(9,8),(9,15),0.0836121 # DEPENDENCYPART_SIBL
(9,8),(9,16),0.194851 # DEPENDENCYPART_SIBL
(9,8),(9,17),0.0212809 # DEPENDENCYPART_SIBL
(9,8),(9,18),0.0876089 # DEPENDENCYPART_SIBL
(9,8),(9,20),0.0162777 # DEPENDENCYPART_SIBL
(9,8),(9,22),0.10971 # DEPENDENCYPART_SIBL
(9,8),(9,23),0.0568774 # DEPENDENCYPART_SIBL
(9,8),(9,24),0.101997 # DEPENDENCYPART_SIBL
(9,10),(9,11),-0.1255 # DEPENDENCYPART_SIBL
(9,10),(9,12),-0.120882 # DEPENDENCYPART_SIBL
(9,10),(9,13),-0.0116961 # DEPENDENCYPART_SIBL
(9,10),(9,14),0.139219 # DEPENDENCYPART_SIBL
(9,10),(9,15),-0.1255 # DEPENDENCYPART_SIBL
(9,10),(9,16),0.237144 # DEPENDENCYPART_SIBL
(9,10),(9,17),-0.0638138 # DEPENDENCYPART_SIBL
(9,10),(9,18),0.104966 # DEPENDENCYPART_SIBL
(9,10),(9,20),-0.0341329 # DEPENDENCYPART_SIBL
(9,10),(9,22),-0.0377118 # DEPENDENCYPART_SIBL
(9,10),(9,23),0.0256265 # DEPENDENCYPART_SIBL
(9,10),(9,24),0.0415321 # DEPENDENCYPART_SIBL
(9,11),(9,12),-0.35114 # DEPENDENCYPART_SIBL
(9,11),(9,13),0.00756793 # DEPENDENCYPART_SIBL
(9,11),(9,14),-0.0994168 # DEPENDENCYPART_SIBL
(9,11),(9,15),-0.178333 # DEPENDENCYPART_SIBL
(9,11),(9,16),-0.20485 # DEPENDENCYPART_SIBL
(9,11),(9,17),-0.33904 # DEPENDENCYPART_SIBL
(9,11),(9,18),0.0132969 # DEPENDENCYPART_SIBL
(9,11),(9,20),-0.159834 # DEPENDENCYPART_SIBL
(9,11),(9,22),-0.209574 # DEPENDENCYPART_SIBL
(9,11),(9,23),-0.199646 # DEPENDENCYPART_SIBL
(9,11),(9,24),-0.0833555 # DEPENDENCYPART_SIBL
(9,12),(9,13),-0.0287265 # DEPENDENCYPART_SIBL
(9,12),(9,14),-0.0454129 # DEPENDENCYPART_SIBL
(9,12),(9,15),-0.158292 # DEPENDENCYPART_SIBL
(9,12),(9,16),-0.0447135 # DEPENDENCYPART_SIBL
(9,12),(9,17),-0.417785 # DEPENDENCYPART_SIBL
(9,12),(9,18),-0.0531771 # DEPENDENCYPART_SIBL
(9,12),(9,20),-0.122045 # DEPENDENCYPART_SIBL
(9,12),(9,22),-0.111414 # DEPENDENCYPART_SIBL
(9,12),(9,23),-0.199102 # DEPENDENCYPART_SIBL
(9,12),(9,24),-0.181677 # DEPENDENCYPART_SIBL
(9,13),(9,14),-0.00743378 # DEPENDENCYPART_SIBL
(9,13),(9,15),-0.0195005 # DEPENDENCYPART_SIBL
(9,13),(9,16),0.326929 # DEPENDENCYPART_SIBL
(9,13),(9,17),-0.0482513 # DEPENDENCYPART_SIBL
(9,13),(9,18),0.336964 # DEPENDENCYPART_SIBL
(9,13),(9,20),-0.0623672 # DEPENDENCYPART_SIBL
(9,13),(9,22),0.061751 # DEPENDENCYPART_SIBL
(9,13),(9,23),0.0837883 # DEPENDENCYPART_SIBL
(9,13),(9,24),0.0041776 # DEPENDENCYPART_SIBL
(9,14),(9,15),-0.178793 # DEPENDENCYPART_SIBL
(9,14),(9,16),-0.296017 # DEPENDENCYPART_SIBL
(9,14),(9,17),-0.392935 # DEPENDENCYPART_SIBL
(9,14),(9,18),-0.0922907 # DEPENDENCYPART_SIBL
(9,14),(9,20),-0.325149 # DEPENDENCYPART_SIBL
(9,14),(9,22),-0.372071 # DEPENDENCYPART_SIBL
(9,14),(9,23),-0.221786 # DEPENDENCYPART_SIBL
(9,14),(9,24),-0.129807 # DEPENDENCYPART_SIBL
(9,15),(9,16),-0.20485 # DEPENDENCYPART_SIBL
(9,15),(9,17),-0.33904 # DEPENDENCYPART_SIBL
(9,15),(9,18),0.0132969 # DEPENDENCYPART_SIBL
(9,15),(9,20),-0.159834 # DEPENDENCYPART_SIBL
(9,15),(9,22),-0.209574 # DEPENDENCYPART_SIBL
(9,15),(9,23),-0.199646 # DEPENDENCYPART_SIBL
(9,15),(9,24),-0.0833555 # DEPENDENCYPART_SIBL
(9,16),(9,17),-0.263997 # DEPENDENCYPART_SIBL
(9,16),(9,18),-0.0833648 # DEPENDENCYPART_SIBL
(9,16),(9,20),-0.237196 # DEPENDENCYPART_SIBL
(9,16),(9,22),-0.186292 # DEPENDENCYPART_SIBL
(9,16),(9,23),-0.203845 # DEPENDENCYPART_SIBL
(9,16),(9,24),-0.0439414 # DEPENDENCYPART_SIBL
(9,17),(9,18),-0.060277 # DEPENDENCYPART_SIBL
(9,17),(9,20),-0.175303 # DEPENDENCYPART_SIBL
(9,17),(9,22),-0.0992123 # DEPENDENCYPART_SIBL
(9,17),(9,23),-0.184727 # DEPENDENCYPART_SIBL
(9,17),(9,24),-0.152056 # DEPENDENCYPART_SIBL
(9,18),(9,20),-0.227196 # DEPENDENCYPART_SIBL
(9,18),(9,22),-0.253527 # DEPENDENCYPART_SIBL
(9,18),(9,23),-0.232417 # DEPENDENCYPART_SIBL
(9,18),(9,24),0.0464291 # DEPENDENCYPART_SIBL
(9,20),(9,22),-0.114269 # DEPENDENCYPART_SIBL
(9,20),(9,23),-0.137366 # DEPENDENCYPART_SIBL
(9,20),(9,24),-0.0514449 # DEPENDENCYPART_SIBL
(9,22),(9,23),-0.112335 # DEPENDENCYPART_SIBL
(9,22),(9,24),0.00133937 # DEPENDENCYPART_SIBL
(9,23),(9,24),0.0121838 # DEPENDENCYPART_SIBL
(10,8),(10,11),0.0310461 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.0917373 # DEPENDENCYPART_SIBL
(10,8),(10,13),0.0190093 # DEPENDENCYPART_SIBL
(10,8),(10,14),0.00021601 # DEPENDENCYPART_SIBL
(10,8),(10,15),0.0310461 # DEPENDENCYPART_SIBL
(10,8),(10,16),0.0536596 # DEPENDENCYPART_SIBL
(10,8),(10,17),-0.0557801 # DEPENDENCYPART_SIBL
(10,8),(10,18),-0.00574977 # DEPENDENCYPART_SIBL
(10,8),(10,23),-0.0088934 # DEPENDENCYPART_SIBL
(10,8),(10,24),-0.0454074 # DEPENDENCYPART_SIBL
(10,11),(10,12),-0.236331 # DEPENDENCYPART_SIBL
(10,11),(10,13),-0.0923354 # DEPENDENCYPART_SIBL
(10,11),(10,14),0.0787387 # DEPENDENCYPART_SIBL
(10,11),(10,15),-0.0531162 # DEPENDENCYPART_SIBL
(10,11),(10,16),-0.0873518 # DEPENDENCYPART_SIBL
(10,11),(10,17),-0.23091 # DEPENDENCYPART_SIBL
(10,11),(10,18),-0.108513 # DEPENDENCYPART_SIBL
(10,11),(10,23),-0.1113 # DEPENDENCYPART_SIBL
(10,11),(10,24),-0.091701 # DEPENDENCYPART_SIBL
(10,12),(10,13),-0.0655502 # DEPENDENCYPART_SIBL
(10,12),(10,14),0.230681 # DEPENDENCYPART_SIBL
(10,12),(10,15),-0.0518141 # DEPENDENCYPART_SIBL
(10,12),(10,16),0.100827 # DEPENDENCYPART_SIBL
(10,12),(10,17),-0.294995 # DEPENDENCYPART_SIBL
(10,12),(10,18),-0.120134 # DEPENDENCYPART_SIBL
(10,12),(10,23),-0.138067 # DEPENDENCYPART_SIBL
(10,12),(10,24),-0.0380289 # DEPENDENCYPART_SIBL
(10,13),(10,14),0.145755 # DEPENDENCYPART_SIBL
(10,13),(10,15),0.112282 # DEPENDENCYPART_SIBL
(10,13),(10,16),0.362086 # DEPENDENCYPART_SIBL
(10,13),(10,17),0.1531 # DEPENDENCYPART_SIBL
(10,13),(10,18),0.350674 # DEPENDENCYPART_SIBL
(10,13),(10,23),0.180162 # DEPENDENCYPART_SIBL
(10,13),(10,24),0.199849 # DEPENDENCYPART_SIBL
(10,14),(10,15),0.522558 # DEPENDENCYPART_SIBL
(10,14),(10,16),0.239573 # DEPENDENCYPART_SIBL
(10,14),(10,17),0.106715 # DEPENDENCYPART_SIBL
(10,14),(10,18),0.102828 # DEPENDENCYPART_SIBL
(10,14),(10,23),0.180726 # DEPENDENCYPART_SIBL
