# _root_ `` There was a roll of laughter through the stands , '' says Joe Sukle , the editor of the weekly Press and Journal in Middletown .
#goldHeads=13,3,13,5,3,5,6,5,10,8,13,13,0,15,13,15,18,15,18,23,23,23,19,23,23,25,13,
#predictedHeads=13,3,13,5,3,5,6,3,10,8,13,13,0,15,13,15,18,15,18,23,23,23,19,23,23,25,13,
(18,9),(18,25),-0.0143514 # DEPENDENCYPART_SIBL
(18,9),(18,26),-0.0152486 # DEPENDENCYPART_SIBL
(18,9),(18,27),-0.0869206 # DEPENDENCYPART_SIBL
(18,13),(18,14),-0.00799468 # DEPENDENCYPART_SIBL
(18,13),(18,15),-0.00518817 # DEPENDENCYPART_SIBL
(18,13),(18,16),0.0941681 # DEPENDENCYPART_SIBL
(18,13),(18,17),-0.0097846 # DEPENDENCYPART_SIBL
(18,13),(18,19),-0.0185019 # DEPENDENCYPART_SIBL
(18,13),(18,20),-0.0818164 # DEPENDENCYPART_SIBL
(18,13),(18,21),-0.0306507 # DEPENDENCYPART_SIBL
(18,13),(18,22),-0.00181213 # DEPENDENCYPART_SIBL
(18,13),(18,23),-0.00442301 # DEPENDENCYPART_SIBL
(18,13),(18,24),0.00710766 # DEPENDENCYPART_SIBL
(18,13),(18,25),0.0290608 # DEPENDENCYPART_SIBL
(18,13),(18,26),-0.00119319 # DEPENDENCYPART_SIBL
(18,13),(18,27),0.0652032 # DEPENDENCYPART_SIBL
(18,14),(18,15),0.0121451 # DEPENDENCYPART_SIBL
(18,14),(18,16),0.0300152 # DEPENDENCYPART_SIBL
(18,14),(18,17),-0.146096 # DEPENDENCYPART_SIBL
(18,14),(18,19),-0.0106137 # DEPENDENCYPART_SIBL
(18,14),(18,20),-0.11061 # DEPENDENCYPART_SIBL
(18,14),(18,21),-0.00849733 # DEPENDENCYPART_SIBL
(18,14),(18,22),0.00256023 # DEPENDENCYPART_SIBL
(18,14),(18,23),0.00688156 # DEPENDENCYPART_SIBL
(18,14),(18,24),0.0103255 # DEPENDENCYPART_SIBL
(18,14),(18,25),-0.000788126 # DEPENDENCYPART_SIBL
(18,14),(18,26),-0.000399722 # DEPENDENCYPART_SIBL
(18,14),(18,27),0.00714226 # DEPENDENCYPART_SIBL
(18,15),(18,16),0.0284326 # DEPENDENCYPART_SIBL
(18,15),(18,17),-0.147681 # DEPENDENCYPART_SIBL
(18,15),(18,19),-0.0138367 # DEPENDENCYPART_SIBL
(18,15),(18,20),-0.113833 # DEPENDENCYPART_SIBL
(18,15),(18,21),-0.0117205 # DEPENDENCYPART_SIBL
(18,15),(18,22),2.81659e-05 # DEPENDENCYPART_SIBL
(18,15),(18,23),0.00288305 # DEPENDENCYPART_SIBL
(18,15),(18,24),0.00779342 # DEPENDENCYPART_SIBL
(18,15),(18,25),-0.00401116 # DEPENDENCYPART_SIBL
(18,15),(18,26),-0.00293178 # DEPENDENCYPART_SIBL
(18,15),(18,27),0.00393296 # DEPENDENCYPART_SIBL
(18,16),(18,17),0.0244481 # DEPENDENCYPART_SIBL
(18,16),(18,19),-0.214871 # DEPENDENCYPART_SIBL
(18,16),(18,20),-0.128239 # DEPENDENCYPART_SIBL
(18,16),(18,21),-0.0656803 # DEPENDENCYPART_SIBL
(18,16),(18,22),-0.0314565 # DEPENDENCYPART_SIBL
(18,16),(18,23),-0.0623156 # DEPENDENCYPART_SIBL
(18,16),(18,24),-0.0263639 # DEPENDENCYPART_SIBL
(18,16),(18,25),-0.0322342 # DEPENDENCYPART_SIBL
(18,16),(18,26),-0.0346214 # DEPENDENCYPART_SIBL
(18,16),(18,27),0.0252462 # DEPENDENCYPART_SIBL
(18,17),(18,19),0.325376 # DEPENDENCYPART_SIBL
(18,17),(18,20),-0.118216 # DEPENDENCYPART_SIBL
(18,17),(18,21),-0.0610252 # DEPENDENCYPART_SIBL
(18,17),(18,22),0.0145923 # DEPENDENCYPART_SIBL
(18,17),(18,23),-0.019613 # DEPENDENCYPART_SIBL
(18,17),(18,24),0.00108416 # DEPENDENCYPART_SIBL
(18,17),(18,25),-0.0143514 # DEPENDENCYPART_SIBL
(18,17),(18,26),-0.0152486 # DEPENDENCYPART_SIBL
(18,17),(18,27),-0.0869206 # DEPENDENCYPART_SIBL
(18,19),(18,20),-0.0958666 # DEPENDENCYPART_SIBL
(18,19),(18,21),0.00538007 # DEPENDENCYPART_SIBL
(18,19),(18,22),0.0103847 # DEPENDENCYPART_SIBL
(18,19),(18,23),-0.0647279 # DEPENDENCYPART_SIBL
(18,19),(18,24),-0.0011941 # DEPENDENCYPART_SIBL
(18,19),(18,25),0.0094591 # DEPENDENCYPART_SIBL
(18,19),(18,26),0.0121246 # DEPENDENCYPART_SIBL
(18,19),(18,27),-0.0388408 # DEPENDENCYPART_SIBL
(18,20),(18,21),0.0149385 # DEPENDENCYPART_SIBL
(18,20),(18,22),-0.0266542 # DEPENDENCYPART_SIBL
(18,20),(18,23),-0.0172595 # DEPENDENCYPART_SIBL
(18,20),(18,24),-0.0327932 # DEPENDENCYPART_SIBL
(18,20),(18,25),-0.0710636 # DEPENDENCYPART_SIBL
(18,20),(18,26),-0.0261207 # DEPENDENCYPART_SIBL
(18,20),(18,27),-0.00648636 # DEPENDENCYPART_SIBL
(18,21),(18,22),-0.0109034 # DEPENDENCYPART_SIBL
(18,21),(18,23),-0.0314238 # DEPENDENCYPART_SIBL
(18,21),(18,24),-0.0165252 # DEPENDENCYPART_SIBL
(18,21),(18,25),-0.00428828 # DEPENDENCYPART_SIBL
(18,21),(18,26),-0.00985266 # DEPENDENCYPART_SIBL
(18,21),(18,27),0.00623015 # DEPENDENCYPART_SIBL
(18,22),(18,23),-0.0394645 # DEPENDENCYPART_SIBL
(18,22),(18,24),-0.0243273 # DEPENDENCYPART_SIBL
(18,22),(18,25),-0.00935132 # DEPENDENCYPART_SIBL
(18,22),(18,26),-0.0175238 # DEPENDENCYPART_SIBL
(18,22),(18,27),0.0406039 # DEPENDENCYPART_SIBL
(18,23),(18,24),-0.0502809 # DEPENDENCYPART_SIBL
(18,23),(18,25),-0.0201264 # DEPENDENCYPART_SIBL
(18,23),(18,26),-0.0436084 # DEPENDENCYPART_SIBL
(18,23),(18,27),0.00360349 # DEPENDENCYPART_SIBL
(18,24),(18,25),-0.0113072 # DEPENDENCYPART_SIBL
(18,24),(18,26),-0.0216063 # DEPENDENCYPART_SIBL
(18,24),(18,27),0.0187959 # DEPENDENCYPART_SIBL
(18,25),(18,26),0.00778683 # DEPENDENCYPART_SIBL
(18,25),(18,27),0.00243149 # DEPENDENCYPART_SIBL
(18,26),(18,27),0.0253801 # DEPENDENCYPART_SIBL
(19,17),(19,20),-0.00721744 # DEPENDENCYPART_SIBL
(19,17),(19,21),-0.0641402 # DEPENDENCYPART_SIBL
(19,17),(19,22),-0.156018 # DEPENDENCYPART_SIBL
(19,17),(19,23),-0.0442519 # DEPENDENCYPART_SIBL
(19,17),(19,24),-0.164544 # DEPENDENCYPART_SIBL
(19,17),(19,25),0.0134224 # DEPENDENCYPART_SIBL
(19,17),(19,26),-0.168799 # DEPENDENCYPART_SIBL
(19,20),(19,21),-0.0141431 # DEPENDENCYPART_SIBL
(19,20),(19,22),-0.0428888 # DEPENDENCYPART_SIBL
(19,20),(19,23),-0.0919606 # DEPENDENCYPART_SIBL
(19,20),(19,24),-0.0446497 # DEPENDENCYPART_SIBL
(19,20),(19,25),-0.0489916 # DEPENDENCYPART_SIBL
(19,20),(19,26),-0.0445088 # DEPENDENCYPART_SIBL
(19,21),(19,22),-0.0477848 # DEPENDENCYPART_SIBL
(19,21),(19,23),-0.113818 # DEPENDENCYPART_SIBL
(19,21),(19,24),-0.0490304 # DEPENDENCYPART_SIBL
(19,21),(19,25),-0.0149959 # DEPENDENCYPART_SIBL
(19,21),(19,26),-0.0488897 # DEPENDENCYPART_SIBL
(19,22),(19,23),-0.205207 # DEPENDENCYPART_SIBL
(19,22),(19,24),-0.117283 # DEPENDENCYPART_SIBL
(19,22),(19,25),-0.0203044 # DEPENDENCYPART_SIBL
(19,22),(19,26),-0.116866 # DEPENDENCYPART_SIBL
(19,23),(19,24),-0.0712649 # DEPENDENCYPART_SIBL
(19,23),(19,25),-0.0558553 # DEPENDENCYPART_SIBL
(19,23),(19,26),-0.0711242 # DEPENDENCYPART_SIBL
(19,24),(19,25),-0.0153811 # DEPENDENCYPART_SIBL
(19,24),(19,26),-0.114109 # DEPENDENCYPART_SIBL
(19,25),(19,26),-0.0449363 # DEPENDENCYPART_SIBL
(20,19),(20,21),-0.00361342 # DEPENDENCYPART_SIBL
(20,19),(20,25),-0.0112584 # DEPENDENCYPART_SIBL
(20,21),(20,25),-0.011136 # DEPENDENCYPART_SIBL
(21,18),(21,19),0.0336408 # DEPENDENCYPART_SIBL
(21,18),(21,20),-0.0255855 # DEPENDENCYPART_SIBL
(21,18),(21,22),0.0118451 # DEPENDENCYPART_SIBL
(21,18),(21,25),0.0114843 # DEPENDENCYPART_SIBL
(21,19),(21,20),0.0152982 # DEPENDENCYPART_SIBL
(21,19),(21,22),-0.0401985 # DEPENDENCYPART_SIBL
(21,19),(21,25),0.0136455 # DEPENDENCYPART_SIBL
(21,20),(21,22),0.118462 # DEPENDENCYPART_SIBL
(21,20),(21,25),0.353936 # DEPENDENCYPART_SIBL
(21,22),(21,25),0.0161272 # DEPENDENCYPART_SIBL
(22,17),(22,20),-0.389963 # DEPENDENCYPART_SIBL
(22,17),(22,21),0.0698111 # DEPENDENCYPART_SIBL
(22,17),(22,24),-0.013978 # DEPENDENCYPART_SIBL
(22,17),(22,25),-0.0312257 # DEPENDENCYPART_SIBL
(22,20),(22,21),0.0698111 # DEPENDENCYPART_SIBL
(22,20),(22,24),-0.013978 # DEPENDENCYPART_SIBL
(22,20),(22,25),-0.0312257 # DEPENDENCYPART_SIBL
(22,21),(22,24),-0.00448738 # DEPENDENCYPART_SIBL
(22,21),(22,25),0.0117247 # DEPENDENCYPART_SIBL
(22,24),(22,25),-0.00123441 # DEPENDENCYPART_SIBL
(23,1),(23,3),0.0410051 # DEPENDENCYPART_SIBL
(23,1),(23,4),-0.0211132 # DEPENDENCYPART_SIBL
(23,1),(23,5),-0.0172543 # DEPENDENCYPART_SIBL
(23,1),(23,6),-0.00308449 # DEPENDENCYPART_SIBL
(23,1),(23,7),-0.01455 # DEPENDENCYPART_SIBL
(23,1),(23,8),-0.0120492 # DEPENDENCYPART_SIBL
(23,1),(23,9),0.0124997 # DEPENDENCYPART_SIBL
(23,1),(23,10),-0.0152494 # DEPENDENCYPART_SIBL
(23,1),(23,11),0.0306094 # DEPENDENCYPART_SIBL
(23,1),(23,12),0.40982 # DEPENDENCYPART_SIBL
(23,1),(23,13),0.0527752 # DEPENDENCYPART_SIBL
(23,1),(23,14),-0.0145501 # DEPENDENCYPART_SIBL
(23,1),(23,15),-0.0145494 # DEPENDENCYPART_SIBL
(23,1),(23,16),0.0306094 # DEPENDENCYPART_SIBL
(23,1),(23,17),0.0124997 # DEPENDENCYPART_SIBL
(23,1),(23,18),-0.0146264 # DEPENDENCYPART_SIBL
(23,1),(23,19),-0.00308449 # DEPENDENCYPART_SIBL
(23,1),(23,20),0.0124997 # DEPENDENCYPART_SIBL
(23,1),(23,21),0.00854805 # DEPENDENCYPART_SIBL
(23,1),(23,22),-0.0213441 # DEPENDENCYPART_SIBL
(23,1),(23,24),-0.00931218 # DEPENDENCYPART_SIBL
(23,1),(23,25),-0.00915904 # DEPENDENCYPART_SIBL
(23,1),(23,26),-0.00930967 # DEPENDENCYPART_SIBL
(23,1),(23,27),0.00578111 # DEPENDENCYPART_SIBL
(23,3),(23,4),-0.0471871 # DEPENDENCYPART_SIBL
(23,3),(23,5),-0.0390964 # DEPENDENCYPART_SIBL
(23,3),(23,6),-0.0314009 # DEPENDENCYPART_SIBL
(23,3),(23,7),-0.0363942 # DEPENDENCYPART_SIBL
(23,3),(23,8),-0.0252831 # DEPENDENCYPART_SIBL
(23,3),(23,9),-0.0507239 # DEPENDENCYPART_SIBL
(23,3),(23,10),-0.0370939 # DEPENDENCYPART_SIBL
(23,3),(23,11),0.108805 # DEPENDENCYPART_SIBL
(23,3),(23,12),0.019618 # DEPENDENCYPART_SIBL
(23,3),(23,13),-0.00156138 # DEPENDENCYPART_SIBL
(23,3),(23,14),-0.0369805 # DEPENDENCYPART_SIBL
(23,3),(23,15),-0.0363936 # DEPENDENCYPART_SIBL
(23,3),(23,16),0.108805 # DEPENDENCYPART_SIBL
(23,3),(23,17),-0.0507239 # DEPENDENCYPART_SIBL
(23,3),(23,18),-0.0364709 # DEPENDENCYPART_SIBL
(23,3),(23,19),-0.0314009 # DEPENDENCYPART_SIBL
(23,3),(23,20),-0.0507239 # DEPENDENCYPART_SIBL
(23,3),(23,21),-0.0282671 # DEPENDENCYPART_SIBL
(23,3),(23,22),-0.0424297 # DEPENDENCYPART_SIBL
(23,3),(23,24),-0.428708 # DEPENDENCYPART_SIBL
(23,3),(23,25),-0.0221898 # DEPENDENCYPART_SIBL
(23,3),(23,26),-0.428706 # DEPENDENCYPART_SIBL
(23,3),(23,27),0.0717923 # DEPENDENCYPART_SIBL
(23,4),(23,5),0.0149733 # DEPENDENCYPART_SIBL
(23,4),(23,6),-0.0337681 # DEPENDENCYPART_SIBL
(23,4),(23,7),0.0179178 # DEPENDENCYPART_SIBL
(23,4),(23,8),-0.0325552 # DEPENDENCYPART_SIBL
(23,4),(23,9),-0.215786 # DEPENDENCYPART_SIBL
(23,4),(23,10),0.0172183 # DEPENDENCYPART_SIBL
(23,4),(23,11),-0.0309905 # DEPENDENCYPART_SIBL
(23,4),(23,12),-0.0987254 # DEPENDENCYPART_SIBL
(23,4),(23,13),-0.0195033 # DEPENDENCYPART_SIBL
(23,4),(23,14),0.0172165 # DEPENDENCYPART_SIBL
(23,4),(23,15),0.0179185 # DEPENDENCYPART_SIBL
(23,4),(23,16),-0.0309905 # DEPENDENCYPART_SIBL
(23,4),(23,17),-0.215786 # DEPENDENCYPART_SIBL
(23,4),(23,18),0.0154324 # DEPENDENCYPART_SIBL
(23,4),(23,19),-0.0337681 # DEPENDENCYPART_SIBL
(23,4),(23,20),-0.215786 # DEPENDENCYPART_SIBL
(23,4),(23,21),0.00441392 # DEPENDENCYPART_SIBL
(23,4),(23,22),0.00954422 # DEPENDENCYPART_SIBL
(23,4),(23,24),0.0633618 # DEPENDENCYPART_SIBL
(23,4),(23,25),-0.00259282 # DEPENDENCYPART_SIBL
(23,4),(23,26),0.0569285 # DEPENDENCYPART_SIBL
(23,4),(23,27),-0.127612 # DEPENDENCYPART_SIBL
(23,5),(23,6),-0.0183702 # DEPENDENCYPART_SIBL
(23,5),(23,7),-0.0140022 # DEPENDENCYPART_SIBL
(23,5),(23,8),-0.0198741 # DEPENDENCYPART_SIBL
(23,5),(23,9),-0.130614 # DEPENDENCYPART_SIBL
(23,5),(23,10),-0.014863 # DEPENDENCYPART_SIBL
(23,5),(23,11),0.0217376 # DEPENDENCYPART_SIBL
(23,5),(23,12),0.000318422 # DEPENDENCYPART_SIBL
(23,5),(23,13),-0.00647724 # DEPENDENCYPART_SIBL
(23,5),(23,14),-0.0143497 # DEPENDENCYPART_SIBL
(23,5),(23,15),-0.0140016 # DEPENDENCYPART_SIBL
(23,5),(23,16),0.0217376 # DEPENDENCYPART_SIBL
(23,5),(23,17),-0.130614 # DEPENDENCYPART_SIBL
(23,5),(23,18),-0.0142229 # DEPENDENCYPART_SIBL
(23,5),(23,19),-0.0183702 # DEPENDENCYPART_SIBL
(23,5),(23,20),-0.130614 # DEPENDENCYPART_SIBL
(23,5),(23,21),-0.0306135 # DEPENDENCYPART_SIBL
(23,5),(23,22),-0.0196398 # DEPENDENCYPART_SIBL
(23,5),(23,24),0.0582377 # DEPENDENCYPART_SIBL
(23,5),(23,25),-0.0153797 # DEPENDENCYPART_SIBL
(23,5),(23,26),0.0579246 # DEPENDENCYPART_SIBL
(23,5),(23,27),-0.000151346 # DEPENDENCYPART_SIBL
(23,6),(23,7),-0.0461702 # DEPENDENCYPART_SIBL
(23,6),(23,8),0.00384716 # DEPENDENCYPART_SIBL
(23,6),(23,9),-0.0473886 # DEPENDENCYPART_SIBL
(23,6),(23,10),-0.0486553 # DEPENDENCYPART_SIBL
(23,6),(23,11),0.0398895 # DEPENDENCYPART_SIBL
(23,6),(23,12),-0.0205992 # DEPENDENCYPART_SIBL
(23,6),(23,13),0.0169004 # DEPENDENCYPART_SIBL
(23,6),(23,14),-0.0461702 # DEPENDENCYPART_SIBL
(23,6),(23,15),-0.0461695 # DEPENDENCYPART_SIBL
(23,6),(23,16),0.0398895 # DEPENDENCYPART_SIBL
(23,6),(23,17),-0.0473886 # DEPENDENCYPART_SIBL
(23,6),(23,18),-0.0475575 # DEPENDENCYPART_SIBL
(23,6),(23,19),0.000661813 # DEPENDENCYPART_SIBL
(23,6),(23,20),-0.0473886 # DEPENDENCYPART_SIBL
(23,6),(23,21),-0.016167 # DEPENDENCYPART_SIBL
(23,6),(23,22),-0.0515948 # DEPENDENCYPART_SIBL
(23,6),(23,24),-0.150167 # DEPENDENCYPART_SIBL
(23,6),(23,25),0.121023 # DEPENDENCYPART_SIBL
(23,6),(23,26),-0.150132 # DEPENDENCYPART_SIBL
(23,6),(23,27),-0.0044724 # DEPENDENCYPART_SIBL
(23,7),(23,8),-0.014875 # DEPENDENCYPART_SIBL
(23,7),(23,9),-0.125622 # DEPENDENCYPART_SIBL
(23,7),(23,10),-0.00568077 # DEPENDENCYPART_SIBL
(23,7),(23,11),0.0369058 # DEPENDENCYPART_SIBL
(23,7),(23,12),0.00530957 # DEPENDENCYPART_SIBL
(23,7),(23,13),-0.000630658 # DEPENDENCYPART_SIBL
(23,7),(23,14),-0.00516742 # DEPENDENCYPART_SIBL
(23,7),(23,15),-0.00481937 # DEPENDENCYPART_SIBL
(23,7),(23,16),0.0369058 # DEPENDENCYPART_SIBL
(23,7),(23,17),-0.125622 # DEPENDENCYPART_SIBL
(23,7),(23,18),-0.00504066 # DEPENDENCYPART_SIBL
(23,7),(23,19),-0.013371 # DEPENDENCYPART_SIBL
(23,7),(23,20),-0.125622 # DEPENDENCYPART_SIBL
(23,7),(23,21),-0.0256081 # DEPENDENCYPART_SIBL
(23,7),(23,22),-0.0104575 # DEPENDENCYPART_SIBL
(23,7),(23,24),0.0618978 # DEPENDENCYPART_SIBL
(23,7),(23,25),-0.0149163 # DEPENDENCYPART_SIBL
(23,7),(23,26),0.0615847 # DEPENDENCYPART_SIBL
(23,7),(23,27),-0.0133096 # DEPENDENCYPART_SIBL
(23,8),(23,9),-0.0460388 # DEPENDENCYPART_SIBL
(23,8),(23,10),-0.0498596 # DEPENDENCYPART_SIBL
(23,8),(23,11),0.0428776 # DEPENDENCYPART_SIBL
(23,8),(23,12),-0.0165267 # DEPENDENCYPART_SIBL
(23,8),(23,13),0.0167661 # DEPENDENCYPART_SIBL
(23,8),(23,14),-0.0473746 # DEPENDENCYPART_SIBL
(23,8),(23,15),-0.0473739 # DEPENDENCYPART_SIBL
(23,8),(23,16),0.0428776 # DEPENDENCYPART_SIBL
(23,8),(23,17),-0.0460388 # DEPENDENCYPART_SIBL
(23,8),(23,18),-0.048762 # DEPENDENCYPART_SIBL
(23,8),(23,19),-0.008999 # DEPENDENCYPART_SIBL
(23,8),(23,20),-0.0460388 # DEPENDENCYPART_SIBL
(23,8),(23,21),-0.0239283 # DEPENDENCYPART_SIBL
(23,8),(23,22),-0.0527992 # DEPENDENCYPART_SIBL
(23,8),(23,24),-0.168764 # DEPENDENCYPART_SIBL
(23,8),(23,25),0.196617 # DEPENDENCYPART_SIBL
(23,8),(23,26),-0.168745 # DEPENDENCYPART_SIBL
(23,8),(23,27),-0.0216032 # DEPENDENCYPART_SIBL
(23,9),(23,10),0.0866226 # DEPENDENCYPART_SIBL
(23,9),(23,11),0.0990466 # DEPENDENCYPART_SIBL
(23,9),(23,12),0.000579443 # DEPENDENCYPART_SIBL
(23,9),(23,13),0.00574418 # DEPENDENCYPART_SIBL
(23,9),(23,14),0.0869715 # DEPENDENCYPART_SIBL
(23,9),(23,15),0.0873228 # DEPENDENCYPART_SIBL
(23,9),(23,16),0.0990466 # DEPENDENCYPART_SIBL
(23,9),(23,17),-0.22018 # DEPENDENCYPART_SIBL
(23,9),(23,18),0.0824276 # DEPENDENCYPART_SIBL
(23,9),(23,19),-0.0135444 # DEPENDENCYPART_SIBL
(23,9),(23,20),-0.22018 # DEPENDENCYPART_SIBL
(23,9),(23,21),0.0453514 # DEPENDENCYPART_SIBL
(23,9),(23,22),0.0761882 # DEPENDENCYPART_SIBL
(23,9),(23,24),0.212736 # DEPENDENCYPART_SIBL
(23,9),(23,25),0.179794 # DEPENDENCYPART_SIBL
(23,9),(23,26),0.208725 # DEPENDENCYPART_SIBL
(23,9),(23,27),-0.0893287 # DEPENDENCYPART_SIBL
(23,10),(23,11),0.021218 # DEPENDENCYPART_SIBL
(23,10),(23,12),-0.0011425 # DEPENDENCYPART_SIBL
(23,10),(23,13),-0.00795622 # DEPENDENCYPART_SIBL
(23,10),(23,14),-0.0151952 # DEPENDENCYPART_SIBL
(23,10),(23,15),-0.0148471 # DEPENDENCYPART_SIBL
(23,10),(23,16),0.021218 # DEPENDENCYPART_SIBL
(23,10),(23,17),-0.132075 # DEPENDENCYPART_SIBL
(23,10),(23,18),-0.0150684 # DEPENDENCYPART_SIBL
(23,10),(23,19),-0.0198231 # DEPENDENCYPART_SIBL
(23,10),(23,20),-0.132075 # DEPENDENCYPART_SIBL
(23,10),(23,21),-0.0320604 # DEPENDENCYPART_SIBL
(23,10),(23,22),-0.0204852 # DEPENDENCYPART_SIBL
(23,10),(23,24),0.0545268 # DEPENDENCYPART_SIBL
(23,10),(23,25),-0.0186315 # DEPENDENCYPART_SIBL
(23,10),(23,26),0.0542137 # DEPENDENCYPART_SIBL
(23,10),(23,27),-0.0196023 # DEPENDENCYPART_SIBL
(23,11),(23,12),0.0268711 # DEPENDENCYPART_SIBL
(23,11),(23,13),-0.00381453 # DEPENDENCYPART_SIBL
(23,11),(23,14),-0.00181249 # DEPENDENCYPART_SIBL
(23,11),(23,15),-0.00181176 # DEPENDENCYPART_SIBL
(23,11),(23,16),0.0649963 # DEPENDENCYPART_SIBL
(23,11),(23,17),-0.0870495 # DEPENDENCYPART_SIBL
(23,11),(23,18),-0.00204847 # DEPENDENCYPART_SIBL
(23,11),(23,19),-0.00928889 # DEPENDENCYPART_SIBL
(23,11),(23,20),-0.0870495 # DEPENDENCYPART_SIBL
(23,11),(23,21),-0.0289354 # DEPENDENCYPART_SIBL
(23,11),(23,22),-0.00771518 # DEPENDENCYPART_SIBL
(23,11),(23,24),-0.0168718 # DEPENDENCYPART_SIBL
(23,11),(23,25),-0.0214922 # DEPENDENCYPART_SIBL
(23,11),(23,26),-0.0168294 # DEPENDENCYPART_SIBL
(23,11),(23,27),0.0143621 # DEPENDENCYPART_SIBL
(23,12),(23,13),0.154036 # DEPENDENCYPART_SIBL
(23,12),(23,14),0.0114942 # DEPENDENCYPART_SIBL
(23,12),(23,15),0.0114949 # DEPENDENCYPART_SIBL
(23,12),(23,16),0.153091 # DEPENDENCYPART_SIBL
(23,12),(23,17),0.0141604 # DEPENDENCYPART_SIBL
(23,12),(23,18),0.0114179 # DEPENDENCYPART_SIBL
(23,12),(23,19),0.0177078 # DEPENDENCYPART_SIBL
(23,12),(23,20),0.0141604 # DEPENDENCYPART_SIBL
(23,12),(23,21),0.0600137 # DEPENDENCYPART_SIBL
(23,12),(23,22),0.00588081 # DEPENDENCYPART_SIBL
(23,12),(23,24),0.0175682 # DEPENDENCYPART_SIBL
(23,12),(23,25),0.0195187 # DEPENDENCYPART_SIBL
(23,12),(23,26),0.0175702 # DEPENDENCYPART_SIBL
(23,12),(23,27),0.0263308 # DEPENDENCYPART_SIBL
(23,13),(23,14),-0.015798 # DEPENDENCYPART_SIBL
(23,13),(23,15),-0.0152112 # DEPENDENCYPART_SIBL
(23,13),(23,16),0.0104076 # DEPENDENCYPART_SIBL
(23,13),(23,17),-0.0556676 # DEPENDENCYPART_SIBL
(23,13),(23,18),-0.0152883 # DEPENDENCYPART_SIBL
(23,13),(23,19),-0.0312494 # DEPENDENCYPART_SIBL
(23,13),(23,20),-0.0556676 # DEPENDENCYPART_SIBL
(23,13),(23,21),-0.0279938 # DEPENDENCYPART_SIBL
(23,13),(23,22),-0.0212473 # DEPENDENCYPART_SIBL
(23,13),(23,24),-0.382967 # DEPENDENCYPART_SIBL
(23,13),(23,25),-0.0441164 # DEPENDENCYPART_SIBL
(23,13),(23,26),-0.382965 # DEPENDENCYPART_SIBL
(23,13),(23,27),0.0339124 # DEPENDENCYPART_SIBL
(23,14),(23,15),-0.0112789 # DEPENDENCYPART_SIBL
(23,14),(23,16),0.0265686 # DEPENDENCYPART_SIBL
(23,14),(23,17),-0.130219 # DEPENDENCYPART_SIBL
(23,14),(23,18),-0.0115002 # DEPENDENCYPART_SIBL
(23,14),(23,19),-0.0179679 # DEPENDENCYPART_SIBL
(23,14),(23,20),-0.130219 # DEPENDENCYPART_SIBL
(23,14),(23,21),-0.0302049 # DEPENDENCYPART_SIBL
(23,14),(23,22),-0.016917 # DEPENDENCYPART_SIBL
(23,14),(23,24),0.0558098 # DEPENDENCYPART_SIBL
(23,14),(23,25),-0.0172151 # DEPENDENCYPART_SIBL
(23,14),(23,26),0.0554967 # DEPENDENCYPART_SIBL
(23,14),(23,27),-0.0156227 # DEPENDENCYPART_SIBL
(23,15),(23,16),0.0265863 # DEPENDENCYPART_SIBL
(23,15),(23,17),-0.130209 # DEPENDENCYPART_SIBL
(23,15),(23,18),-0.0130669 # DEPENDENCYPART_SIBL
(23,15),(23,19),-0.0179575 # DEPENDENCYPART_SIBL
(23,15),(23,20),-0.130209 # DEPENDENCYPART_SIBL
(23,15),(23,21),-0.0301945 # DEPENDENCYPART_SIBL
(23,15),(23,22),-0.0184838 # DEPENDENCYPART_SIBL
(23,15),(23,24),0.0561648 # DEPENDENCYPART_SIBL
(23,15),(23,25),-0.0172095 # DEPENDENCYPART_SIBL
(23,15),(23,26),0.0558516 # DEPENDENCYPART_SIBL
(23,15),(23,27),-0.0156029 # DEPENDENCYPART_SIBL
(23,16),(23,17),-0.0870495 # DEPENDENCYPART_SIBL
(23,16),(23,18),-0.00204847 # DEPENDENCYPART_SIBL
(23,16),(23,19),-0.00928889 # DEPENDENCYPART_SIBL
(23,16),(23,20),-0.0870495 # DEPENDENCYPART_SIBL
(23,16),(23,21),-0.0289354 # DEPENDENCYPART_SIBL
(23,16),(23,22),-0.00771518 # DEPENDENCYPART_SIBL
(23,16),(23,24),-0.0168718 # DEPENDENCYPART_SIBL
(23,16),(23,25),-0.0214922 # DEPENDENCYPART_SIBL
(23,16),(23,26),-0.0168294 # DEPENDENCYPART_SIBL
(23,16),(23,27),0.0143621 # DEPENDENCYPART_SIBL
(23,17),(23,18),0.0824276 # DEPENDENCYPART_SIBL
(23,17),(23,19),-0.0135444 # DEPENDENCYPART_SIBL
(23,17),(23,20),-0.22018 # DEPENDENCYPART_SIBL
(23,17),(23,21),0.0453514 # DEPENDENCYPART_SIBL
(23,17),(23,22),0.0761882 # DEPENDENCYPART_SIBL
(23,17),(23,24),0.212736 # DEPENDENCYPART_SIBL
(23,17),(23,25),0.179794 # DEPENDENCYPART_SIBL
(23,17),(23,26),0.208725 # DEPENDENCYPART_SIBL
(23,17),(23,27),-0.0893287 # DEPENDENCYPART_SIBL
(23,18),(23,19),-0.0188681 # DEPENDENCYPART_SIBL
(23,18),(23,20),-0.131121 # DEPENDENCYPART_SIBL
(23,18),(23,21),-0.0311051 # DEPENDENCYPART_SIBL
