# _root_ `` That suggests there is a little more inventory overhang than some people expected , '' said Edward Boss , senior financial economist at Continental Bank in Chicago .
#goldHeads=17,3,17,5,3,10,8,10,10,5,14,13,14,10,17,17,0,19,17,19,23,23,19,23,26,24,26,27,17,
#predictedHeads=17,3,17,5,3,10,8,10,10,5,14,13,14,10,17,17,0,19,17,19,23,23,19,23,26,24,26,27,17,
(14,12),(14,22),0.0555175 # DEPENDENCYPART_SIBL
(14,12),(14,23),-0.02089 # DEPENDENCYPART_SIBL
(14,12),(14,24),0.0503349 # DEPENDENCYPART_SIBL
(14,12),(14,26),-0.0220788 # DEPENDENCYPART_SIBL
(14,12),(14,27),0.0787585 # DEPENDENCYPART_SIBL
(14,12),(14,29),0.0555324 # DEPENDENCYPART_SIBL
(14,13),(14,15),0.0412161 # DEPENDENCYPART_SIBL
(14,13),(14,16),0.0344057 # DEPENDENCYPART_SIBL
(14,13),(14,17),0.0378662 # DEPENDENCYPART_SIBL
(14,13),(14,19),-0.0227132 # DEPENDENCYPART_SIBL
(14,13),(14,20),0.0412161 # DEPENDENCYPART_SIBL
(14,13),(14,21),0.00133381 # DEPENDENCYPART_SIBL
(14,13),(14,22),0.000594642 # DEPENDENCYPART_SIBL
(14,13),(14,23),-0.00971182 # DEPENDENCYPART_SIBL
(14,13),(14,24),0.0230245 # DEPENDENCYPART_SIBL
(14,13),(14,26),-0.029758 # DEPENDENCYPART_SIBL
(14,13),(14,27),-0.00813807 # DEPENDENCYPART_SIBL
(14,13),(14,29),0.0120348 # DEPENDENCYPART_SIBL
(14,15),(14,16),0.0458377 # DEPENDENCYPART_SIBL
(14,15),(14,17),0.0113337 # DEPENDENCYPART_SIBL
(14,15),(14,19),-0.0012159 # DEPENDENCYPART_SIBL
(14,15),(14,20),0.0383802 # DEPENDENCYPART_SIBL
(14,15),(14,21),0.0123607 # DEPENDENCYPART_SIBL
(14,15),(14,22),0.0130361 # DEPENDENCYPART_SIBL
(14,15),(14,23),0.00861116 # DEPENDENCYPART_SIBL
(14,15),(14,24),0.0218735 # DEPENDENCYPART_SIBL
(14,15),(14,26),0.00335124 # DEPENDENCYPART_SIBL
(14,15),(14,27),0.00673848 # DEPENDENCYPART_SIBL
(14,15),(14,29),0.00361307 # DEPENDENCYPART_SIBL
(14,16),(14,17),-0.00122116 # DEPENDENCYPART_SIBL
(14,16),(14,19),0.0318942 # DEPENDENCYPART_SIBL
(14,16),(14,20),-0.0116871 # DEPENDENCYPART_SIBL
(14,16),(14,21),-0.00219216 # DEPENDENCYPART_SIBL
(14,16),(14,22),-0.00168499 # DEPENDENCYPART_SIBL
(14,16),(14,23),0.0302268 # DEPENDENCYPART_SIBL
(14,16),(14,24),0.0183962 # DEPENDENCYPART_SIBL
(14,16),(14,26),0.0311783 # DEPENDENCYPART_SIBL
(14,16),(14,27),0.0236872 # DEPENDENCYPART_SIBL
(14,16),(14,29),-0.0750316 # DEPENDENCYPART_SIBL
(14,17),(14,19),-0.0141591 # DEPENDENCYPART_SIBL
(14,17),(14,20),0.0501553 # DEPENDENCYPART_SIBL
(14,17),(14,21),-0.0258746 # DEPENDENCYPART_SIBL
(14,17),(14,22),-0.0253782 # DEPENDENCYPART_SIBL
(14,17),(14,23),-0.0157503 # DEPENDENCYPART_SIBL
(14,17),(14,24),-0.00883955 # DEPENDENCYPART_SIBL
(14,17),(14,26),-0.0148342 # DEPENDENCYPART_SIBL
(14,17),(14,27),0.00698342 # DEPENDENCYPART_SIBL
(14,17),(14,29),0.024697 # DEPENDENCYPART_SIBL
(14,19),(14,20),-0.00845304 # DEPENDENCYPART_SIBL
(14,19),(14,21),-0.0466123 # DEPENDENCYPART_SIBL
(14,19),(14,22),-0.0466432 # DEPENDENCYPART_SIBL
(14,19),(14,23),-0.0447713 # DEPENDENCYPART_SIBL
(14,19),(14,24),0.00094936 # DEPENDENCYPART_SIBL
(14,19),(14,26),-0.0474578 # DEPENDENCYPART_SIBL
(14,19),(14,27),-0.00395545 # DEPENDENCYPART_SIBL
(14,19),(14,29),-0.0368141 # DEPENDENCYPART_SIBL
(14,20),(14,21),0.0123607 # DEPENDENCYPART_SIBL
(14,20),(14,22),0.0130361 # DEPENDENCYPART_SIBL
(14,20),(14,23),0.00861116 # DEPENDENCYPART_SIBL
(14,20),(14,24),0.0218735 # DEPENDENCYPART_SIBL
(14,20),(14,26),0.00335124 # DEPENDENCYPART_SIBL
(14,20),(14,27),0.00673848 # DEPENDENCYPART_SIBL
(14,20),(14,29),0.00361307 # DEPENDENCYPART_SIBL
(14,21),(14,22),-0.0395131 # DEPENDENCYPART_SIBL
(14,21),(14,23),-0.0217059 # DEPENDENCYPART_SIBL
(14,21),(14,24),0.0335302 # DEPENDENCYPART_SIBL
(14,21),(14,26),-0.0256124 # DEPENDENCYPART_SIBL
(14,21),(14,27),0.0168336 # DEPENDENCYPART_SIBL
(14,21),(14,29),-0.0127667 # DEPENDENCYPART_SIBL
(14,22),(14,23),-0.0188376 # DEPENDENCYPART_SIBL
(14,22),(14,24),0.0335678 # DEPENDENCYPART_SIBL
(14,22),(14,26),-0.0227868 # DEPENDENCYPART_SIBL
(14,22),(14,27),0.016704 # DEPENDENCYPART_SIBL
(14,22),(14,29),-0.014757 # DEPENDENCYPART_SIBL
(14,23),(14,24),0.00633196 # DEPENDENCYPART_SIBL
(14,23),(14,26),-0.0484736 # DEPENDENCYPART_SIBL
(14,23),(14,27),-0.00225738 # DEPENDENCYPART_SIBL
(14,23),(14,29),-0.0328487 # DEPENDENCYPART_SIBL
(14,24),(14,26),-0.00828788 # DEPENDENCYPART_SIBL
(14,24),(14,27),0.0297445 # DEPENDENCYPART_SIBL
(14,24),(14,29),-0.0346614 # DEPENDENCYPART_SIBL
(14,26),(14,27),-0.034721 # DEPENDENCYPART_SIBL
(14,26),(14,29),-0.0656704 # DEPENDENCYPART_SIBL
(14,27),(14,29),-0.0303492 # DEPENDENCYPART_SIBL
(17,1),(17,2),0.0323682 # DEPENDENCYPART_SIBL
(17,1),(17,3),0.00693214 # DEPENDENCYPART_SIBL
(17,1),(17,5),0.0214401 # DEPENDENCYPART_SIBL
(17,1),(17,6),0.0171731 # DEPENDENCYPART_SIBL
(17,1),(17,7),0.0100874 # DEPENDENCYPART_SIBL
(17,1),(17,10),-0.0264523 # DEPENDENCYPART_SIBL
(17,1),(17,11),-0.0826503 # DEPENDENCYPART_SIBL
(17,1),(17,12),0.030581 # DEPENDENCYPART_SIBL
(17,1),(17,13),-0.0380798 # DEPENDENCYPART_SIBL
(17,1),(17,14),0.0188767 # DEPENDENCYPART_SIBL
(17,1),(17,15),0.0757526 # DEPENDENCYPART_SIBL
(17,1),(17,16),0.381011 # DEPENDENCYPART_SIBL
(17,1),(17,18),-0.0131234 # DEPENDENCYPART_SIBL
(17,1),(17,19),-0.00756105 # DEPENDENCYPART_SIBL
(17,1),(17,20),0.014937 # DEPENDENCYPART_SIBL
(17,1),(17,21),-0.0488999 # DEPENDENCYPART_SIBL
(17,1),(17,22),-0.0507009 # DEPENDENCYPART_SIBL
(17,1),(17,23),-0.0155123 # DEPENDENCYPART_SIBL
(17,1),(17,24),-0.0326495 # DEPENDENCYPART_SIBL
(17,1),(17,26),0.000358021 # DEPENDENCYPART_SIBL
(17,1),(17,27),0.0610303 # DEPENDENCYPART_SIBL
(17,1),(17,29),0.033209 # DEPENDENCYPART_SIBL
(17,2),(17,3),-0.0245221 # DEPENDENCYPART_SIBL
(17,2),(17,5),-0.0413922 # DEPENDENCYPART_SIBL
(17,2),(17,6),-0.152228 # DEPENDENCYPART_SIBL
(17,2),(17,7),-0.055577 # DEPENDENCYPART_SIBL
(17,2),(17,10),-0.0310178 # DEPENDENCYPART_SIBL
(17,2),(17,11),-0.0743016 # DEPENDENCYPART_SIBL
(17,2),(17,12),-0.101925 # DEPENDENCYPART_SIBL
(17,2),(17,13),-0.0283479 # DEPENDENCYPART_SIBL
(17,2),(17,14),-0.0138614 # DEPENDENCYPART_SIBL
(17,2),(17,15),0.0223312 # DEPENDENCYPART_SIBL
(17,2),(17,16),-0.0358584 # DEPENDENCYPART_SIBL
(17,2),(17,18),-0.0536234 # DEPENDENCYPART_SIBL
(17,2),(17,19),-0.052091 # DEPENDENCYPART_SIBL
(17,2),(17,20),0.0714564 # DEPENDENCYPART_SIBL
(17,2),(17,21),0.0218103 # DEPENDENCYPART_SIBL
(17,2),(17,22),0.0278009 # DEPENDENCYPART_SIBL
(17,2),(17,23),-0.0596194 # DEPENDENCYPART_SIBL
(17,2),(17,24),0.026382 # DEPENDENCYPART_SIBL
(17,2),(17,26),-0.0574647 # DEPENDENCYPART_SIBL
(17,2),(17,27),0.0625966 # DEPENDENCYPART_SIBL
(17,2),(17,29),-0.0630648 # DEPENDENCYPART_SIBL
(17,3),(17,5),-0.0863032 # DEPENDENCYPART_SIBL
(17,3),(17,6),-0.0219216 # DEPENDENCYPART_SIBL
(17,3),(17,7),-0.0133311 # DEPENDENCYPART_SIBL
(17,3),(17,10),-0.0030018 # DEPENDENCYPART_SIBL
(17,3),(17,11),-0.0638275 # DEPENDENCYPART_SIBL
(17,3),(17,12),-0.0135037 # DEPENDENCYPART_SIBL
(17,3),(17,13),0.00568087 # DEPENDENCYPART_SIBL
(17,3),(17,14),-0.0554483 # DEPENDENCYPART_SIBL
(17,3),(17,15),0.0176643 # DEPENDENCYPART_SIBL
(17,3),(17,16),0.0196658 # DEPENDENCYPART_SIBL
(17,3),(17,18),0.021885 # DEPENDENCYPART_SIBL
(17,3),(17,19),0.0257391 # DEPENDENCYPART_SIBL
(17,3),(17,20),-0.0376354 # DEPENDENCYPART_SIBL
(17,3),(17,21),-0.0260719 # DEPENDENCYPART_SIBL
(17,3),(17,22),-0.0280221 # DEPENDENCYPART_SIBL
(17,3),(17,23),0.0203359 # DEPENDENCYPART_SIBL
(17,3),(17,24),-0.0368135 # DEPENDENCYPART_SIBL
(17,3),(17,26),0.0227759 # DEPENDENCYPART_SIBL
(17,3),(17,27),0.045006 # DEPENDENCYPART_SIBL
(17,3),(17,29),0.0429154 # DEPENDENCYPART_SIBL
(17,5),(17,6),-0.0150981 # DEPENDENCYPART_SIBL
(17,5),(17,7),-0.013069 # DEPENDENCYPART_SIBL
(17,5),(17,10),-0.00263363 # DEPENDENCYPART_SIBL
(17,5),(17,11),-0.0638893 # DEPENDENCYPART_SIBL
(17,5),(17,12),-0.00687132 # DEPENDENCYPART_SIBL
(17,5),(17,13),0.00440045 # DEPENDENCYPART_SIBL
(17,5),(17,14),-0.0736477 # DEPENDENCYPART_SIBL
(17,5),(17,15),0.0109515 # DEPENDENCYPART_SIBL
(17,5),(17,16),0.0217934 # DEPENDENCYPART_SIBL
(17,5),(17,18),-0.0414818 # DEPENDENCYPART_SIBL
(17,5),(17,19),-0.0356004 # DEPENDENCYPART_SIBL
(17,5),(17,20),-0.0361188 # DEPENDENCYPART_SIBL
(17,5),(17,21),-0.0619716 # DEPENDENCYPART_SIBL
(17,5),(17,22),-0.0639218 # DEPENDENCYPART_SIBL
(17,5),(17,23),-0.0410018 # DEPENDENCYPART_SIBL
(17,5),(17,24),-0.0898429 # DEPENDENCYPART_SIBL
(17,5),(17,26),-0.0404194 # DEPENDENCYPART_SIBL
(17,5),(17,27),0.00740324 # DEPENDENCYPART_SIBL
(17,5),(17,29),-0.00414892 # DEPENDENCYPART_SIBL
(17,6),(17,7),-0.0982141 # DEPENDENCYPART_SIBL
(17,6),(17,10),-0.0470325 # DEPENDENCYPART_SIBL
(17,6),(17,11),-0.0950658 # DEPENDENCYPART_SIBL
(17,6),(17,12),-0.147129 # DEPENDENCYPART_SIBL
(17,6),(17,13),-0.0423344 # DEPENDENCYPART_SIBL
(17,6),(17,14),-0.0502232 # DEPENDENCYPART_SIBL
(17,6),(17,15),-0.127639 # DEPENDENCYPART_SIBL
(17,6),(17,16),-0.0801182 # DEPENDENCYPART_SIBL
(17,6),(17,18),-0.0834238 # DEPENDENCYPART_SIBL
(17,6),(17,19),-0.0818912 # DEPENDENCYPART_SIBL
(17,6),(17,20),0.0120084 # DEPENDENCYPART_SIBL
(17,6),(17,21),-0.00837762 # DEPENDENCYPART_SIBL
(17,6),(17,22),0.000900596 # DEPENDENCYPART_SIBL
(17,6),(17,23),-0.0894254 # DEPENDENCYPART_SIBL
(17,6),(17,24),0.0566946 # DEPENDENCYPART_SIBL
(17,6),(17,26),-0.0898691 # DEPENDENCYPART_SIBL
(17,6),(17,27),0.0872449 # DEPENDENCYPART_SIBL
(17,6),(17,29),-0.0501452 # DEPENDENCYPART_SIBL
(17,7),(17,10),-0.02227 # DEPENDENCYPART_SIBL
(17,7),(17,11),-0.0618349 # DEPENDENCYPART_SIBL
(17,7),(17,12),0.003182 # DEPENDENCYPART_SIBL
(17,7),(17,13),-0.00910797 # DEPENDENCYPART_SIBL
(17,7),(17,14),-0.0186592 # DEPENDENCYPART_SIBL
(17,7),(17,15),-0.0644591 # DEPENDENCYPART_SIBL
(17,7),(17,16),-0.0444651 # DEPENDENCYPART_SIBL
(17,7),(17,18),-0.0220759 # DEPENDENCYPART_SIBL
(17,7),(17,19),-0.0205437 # DEPENDENCYPART_SIBL
(17,7),(17,20),-0.0656791 # DEPENDENCYPART_SIBL
(17,7),(17,21),-0.0360933 # DEPENDENCYPART_SIBL
(17,7),(17,22),-0.036878 # DEPENDENCYPART_SIBL
(17,7),(17,23),-0.02582 # DEPENDENCYPART_SIBL
(17,7),(17,24),-0.0205747 # DEPENDENCYPART_SIBL
(17,7),(17,26),-0.0396126 # DEPENDENCYPART_SIBL
(17,7),(17,27),-0.0239299 # DEPENDENCYPART_SIBL
(17,7),(17,29),0.000401894 # DEPENDENCYPART_SIBL
(17,10),(17,11),-0.0463196 # DEPENDENCYPART_SIBL
(17,10),(17,12),-0.0640616 # DEPENDENCYPART_SIBL
(17,10),(17,13),-0.103194 # DEPENDENCYPART_SIBL
(17,10),(17,14),0.000418066 # DEPENDENCYPART_SIBL
(17,10),(17,15),-0.0268934 # DEPENDENCYPART_SIBL
(17,10),(17,16),-0.0351149 # DEPENDENCYPART_SIBL
(17,10),(17,18),-0.112729 # DEPENDENCYPART_SIBL
(17,10),(17,19),-0.114309 # DEPENDENCYPART_SIBL
(17,10),(17,20),0.00129324 # DEPENDENCYPART_SIBL
(17,10),(17,21),-0.0676277 # DEPENDENCYPART_SIBL
(17,10),(17,22),-0.0680289 # DEPENDENCYPART_SIBL
(17,10),(17,23),-0.103757 # DEPENDENCYPART_SIBL
(17,10),(17,24),-0.0341507 # DEPENDENCYPART_SIBL
(17,10),(17,26),-0.12155 # DEPENDENCYPART_SIBL
(17,10),(17,27),-0.0597438 # DEPENDENCYPART_SIBL
(17,10),(17,29),0.0211772 # DEPENDENCYPART_SIBL
(17,11),(17,12),0.012865 # DEPENDENCYPART_SIBL
(17,11),(17,13),0.0458703 # DEPENDENCYPART_SIBL
(17,11),(17,14),-0.042047 # DEPENDENCYPART_SIBL
(17,11),(17,15),-0.0607781 # DEPENDENCYPART_SIBL
(17,11),(17,16),-0.0479744 # DEPENDENCYPART_SIBL
(17,11),(17,18),-0.0258291 # DEPENDENCYPART_SIBL
(17,11),(17,19),-0.024331 # DEPENDENCYPART_SIBL
(17,11),(17,20),-0.0847352 # DEPENDENCYPART_SIBL
(17,11),(17,21),-0.0316976 # DEPENDENCYPART_SIBL
(17,11),(17,22),-0.0316731 # DEPENDENCYPART_SIBL
(17,11),(17,23),-0.0297151 # DEPENDENCYPART_SIBL
(17,11),(17,24),-0.0503232 # DEPENDENCYPART_SIBL
(17,11),(17,26),-0.0282444 # DEPENDENCYPART_SIBL
(17,11),(17,27),-0.0047396 # DEPENDENCYPART_SIBL
(17,11),(17,29),-0.0597164 # DEPENDENCYPART_SIBL
(17,12),(17,13),-0.0190619 # DEPENDENCYPART_SIBL
(17,12),(17,14),-0.0460982 # DEPENDENCYPART_SIBL
(17,12),(17,15),-0.140203 # DEPENDENCYPART_SIBL
(17,12),(17,16),-0.0504494 # DEPENDENCYPART_SIBL
(17,12),(17,18),-0.0260003 # DEPENDENCYPART_SIBL
(17,12),(17,19),-0.0244679 # DEPENDENCYPART_SIBL
(17,12),(17,20),0.0618298 # DEPENDENCYPART_SIBL
(17,12),(17,21),0.0282074 # DEPENDENCYPART_SIBL
(17,12),(17,22),0.0340854 # DEPENDENCYPART_SIBL
(17,12),(17,23),-0.0319944 # DEPENDENCYPART_SIBL
(17,12),(17,24),0.0428583 # DEPENDENCYPART_SIBL
(17,12),(17,26),-0.0309302 # DEPENDENCYPART_SIBL
(17,12),(17,27),0.102277 # DEPENDENCYPART_SIBL
(17,12),(17,29),0.0512659 # DEPENDENCYPART_SIBL
(17,13),(17,14),0.00874332 # DEPENDENCYPART_SIBL
(17,13),(17,15),-0.0275613 # DEPENDENCYPART_SIBL
(17,13),(17,16),-0.0236567 # DEPENDENCYPART_SIBL
(17,13),(17,18),-0.106532 # DEPENDENCYPART_SIBL
(17,13),(17,19),-0.108112 # DEPENDENCYPART_SIBL
(17,13),(17,20),0.0334581 # DEPENDENCYPART_SIBL
(17,13),(17,21),-0.0470038 # DEPENDENCYPART_SIBL
(17,13),(17,22),-0.0474049 # DEPENDENCYPART_SIBL
(17,13),(17,23),-0.0975593 # DEPENDENCYPART_SIBL
(17,13),(17,24),-0.034321 # DEPENDENCYPART_SIBL
(17,13),(17,26),-0.115353 # DEPENDENCYPART_SIBL
(17,13),(17,27),-0.0480026 # DEPENDENCYPART_SIBL
(17,13),(17,29),0.0279334 # DEPENDENCYPART_SIBL
(17,14),(17,15),-0.000368367 # DEPENDENCYPART_SIBL
(17,14),(17,16),-0.00516856 # DEPENDENCYPART_SIBL
(17,14),(17,18),0.0228013 # DEPENDENCYPART_SIBL
(17,14),(17,19),0.0266554 # DEPENDENCYPART_SIBL
(17,14),(17,20),-0.041996 # DEPENDENCYPART_SIBL
(17,14),(17,21),-0.0412442 # DEPENDENCYPART_SIBL
(17,14),(17,22),-0.0431945 # DEPENDENCYPART_SIBL
(17,14),(17,23),0.021254 # DEPENDENCYPART_SIBL
(17,14),(17,24),-0.028849 # DEPENDENCYPART_SIBL
(17,14),(17,26),0.0236922 # DEPENDENCYPART_SIBL
(17,14),(17,27),0.0569206 # DEPENDENCYPART_SIBL
(17,14),(17,29),0.00868007 # DEPENDENCYPART_SIBL
(17,15),(17,16),0.0556583 # DEPENDENCYPART_SIBL
(17,15),(17,18),0.0145458 # DEPENDENCYPART_SIBL
(17,15),(17,19),0.019844 # DEPENDENCYPART_SIBL
(17,15),(17,20),0.236456 # DEPENDENCYPART_SIBL
(17,15),(17,21),-0.050904 # DEPENDENCYPART_SIBL
(17,15),(17,22),-0.0543459 # DEPENDENCYPART_SIBL
(17,15),(17,23),0.0106128 # DEPENDENCYPART_SIBL
(17,15),(17,24),-0.0312547 # DEPENDENCYPART_SIBL
(17,15),(17,26),0.0283715 # DEPENDENCYPART_SIBL
(17,15),(17,27),0.0183225 # DEPENDENCYPART_SIBL
(17,15),(17,29),0.0157948 # DEPENDENCYPART_SIBL
(17,16),(17,18),0.0299736 # DEPENDENCYPART_SIBL
(17,16),(17,19),0.0315058 # DEPENDENCYPART_SIBL
(17,16),(17,20),0.0764231 # DEPENDENCYPART_SIBL
(17,16),(17,21),0.0036106 # DEPENDENCYPART_SIBL
(17,16),(17,22),0.0022935 # DEPENDENCYPART_SIBL
(17,16),(17,23),0.0190849 # DEPENDENCYPART_SIBL
(17,16),(17,24),-0.00403054 # DEPENDENCYPART_SIBL
(17,16),(17,26),0.0370476 # DEPENDENCYPART_SIBL
(17,16),(17,27),0.0944106 # DEPENDENCYPART_SIBL
(17,16),(17,29),0.0541183 # DEPENDENCYPART_SIBL
(17,18),(17,19),-0.0789152 # DEPENDENCYPART_SIBL
(17,18),(17,20),-0.0915354 # DEPENDENCYPART_SIBL
(17,18),(17,21),-0.0922189 # DEPENDENCYPART_SIBL
(17,18),(17,22),-0.09221 # DEPENDENCYPART_SIBL
(17,18),(17,23),-0.0816174 # DEPENDENCYPART_SIBL
(17,18),(17,24),-0.0697529 # DEPENDENCYPART_SIBL
(17,18),(17,26),-0.0837617 # DEPENDENCYPART_SIBL
(17,18),(17,27),-0.0558104 # DEPENDENCYPART_SIBL
(17,18),(17,29),-0.0929775 # DEPENDENCYPART_SIBL
(17,19),(17,20),-0.0914912 # DEPENDENCYPART_SIBL
(17,19),(17,21),-0.0924282 # DEPENDENCYPART_SIBL
(17,19),(17,22),-0.0924193 # DEPENDENCYPART_SIBL
(17,19),(17,23),-0.0818266 # DEPENDENCYPART_SIBL
(17,19),(17,24),-0.069962 # DEPENDENCYPART_SIBL
(17,19),(17,26),-0.0839709 # DEPENDENCYPART_SIBL
(17,19),(17,27),-0.0560196 # DEPENDENCYPART_SIBL
(17,19),(17,29),-0.0912565 # DEPENDENCYPART_SIBL
(17,20),(17,21),0.00625242 # DEPENDENCYPART_SIBL
(17,20),(17,22),0.00700728 # DEPENDENCYPART_SIBL
(17,20),(17,23),0.0195147 # DEPENDENCYPART_SIBL
(17,20),(17,24),-0.00623621 # DEPENDENCYPART_SIBL
(17,20),(17,26),0.0148033 # DEPENDENCYPART_SIBL
(17,20),(17,27),-0.0140955 # DEPENDENCYPART_SIBL
(17,20),(17,29),-0.0300065 # DEPENDENCYPART_SIBL
(17,21),(17,22),-0.0450837 # DEPENDENCYPART_SIBL
(17,21),(17,23),-0.017831 # DEPENDENCYPART_SIBL
(17,21),(17,24),0.00958215 # DEPENDENCYPART_SIBL
(17,21),(17,26),-0.0213735 # DEPENDENCYPART_SIBL
(17,21),(17,27),0.00234217 # DEPENDENCYPART_SIBL
(17,21),(17,29),-0.0505183 # DEPENDENCYPART_SIBL
(17,22),(17,23),-0.0149623 # DEPENDENCYPART_SIBL
(17,22),(17,24),0.00962013 # DEPENDENCYPART_SIBL
(17,22),(17,26),-0.0185476 # DEPENDENCYPART_SIBL
(17,22),(17,27),0.00221297 # DEPENDENCYPART_SIBL
(17,22),(17,29),-0.0525082 # DEPENDENCYPART_SIBL
(17,23),(17,24),-0.0656388 # DEPENDENCYPART_SIBL
(17,23),(17,26),-0.0855171 # DEPENDENCYPART_SIBL
(17,23),(17,27),-0.0553809 # DEPENDENCYPART_SIBL
(17,23),(17,29),-0.087823 # DEPENDENCYPART_SIBL
(17,24),(17,26),-0.0072966 # DEPENDENCYPART_SIBL
(17,24),(17,27),0.0163154 # DEPENDENCYPART_SIBL
(17,24),(17,29),-0.0885004 # DEPENDENCYPART_SIBL
(17,26),(17,27),-0.0878878 # DEPENDENCYPART_SIBL
(17,26),(17,29),-0.120664 # DEPENDENCYPART_SIBL
(17,27),(17,29),-0.0697032 # DEPENDENCYPART_SIBL
(18,16),(18,19),-0.0104647 # DEPENDENCYPART_SIBL
(18,16),(18,21),-0.0106878 # DEPENDENCYPART_SIBL
(18,16),(18,23),-0.00665585 # DEPENDENCYPART_SIBL
(18,16),(18,26),-0.00282193 # DEPENDENCYPART_SIBL
(18,19),(18,21),0.00358175 # DEPENDENCYPART_SIBL
(18,19),(18,23),-0.00965596 # DEPENDENCYPART_SIBL
(18,19),(18,26),-0.0161861 # DEPENDENCYPART_SIBL
(18,21),(18,23),-0.00524843 # DEPENDENCYPART_SIBL
(18,21),(18,26),-0.0135417 # DEPENDENCYPART_SIBL
(18,23),(18,26),-0.0232481 # DEPENDENCYPART_SIBL
(19,12),(19,13),-0.0284464 # DEPENDENCYPART_SIBL
(19,12),(19,15),-0.00727782 # DEPENDENCYPART_SIBL
(19,12),(19,16),0.231462 # DEPENDENCYPART_SIBL
(19,12),(19,17),0.0320483 # DEPENDENCYPART_SIBL
(19,12),(19,18),0.00689543 # DEPENDENCYPART_SIBL
(19,12),(19,20),-0.0337763 # DEPENDENCYPART_SIBL
(19,12),(19,21),-0.048619 # DEPENDENCYPART_SIBL
(19,12),(19,22),-0.0418333 # DEPENDENCYPART_SIBL
(19,12),(19,23),-0.0515703 # DEPENDENCYPART_SIBL
(19,12),(19,24),0.0812131 # DEPENDENCYPART_SIBL
(19,12),(19,25),-0.0540716 # DEPENDENCYPART_SIBL
(19,12),(19,26),-0.0551698 # DEPENDENCYPART_SIBL
(19,12),(19,27),0.0430956 # DEPENDENCYPART_SIBL
(19,12),(19,28),-0.0375206 # DEPENDENCYPART_SIBL
(19,12),(19,29),-0.0263509 # DEPENDENCYPART_SIBL
(19,13),(19,15),0.0236316 # DEPENDENCYPART_SIBL
(19,13),(19,16),0.246503 # DEPENDENCYPART_SIBL
(19,13),(19,17),0.00942565 # DEPENDENCYPART_SIBL
(19,13),(19,18),0.0157046 # DEPENDENCYPART_SIBL
(19,13),(19,20),0.0455272 # DEPENDENCYPART_SIBL
(19,13),(19,21),-0.026091 # DEPENDENCYPART_SIBL
(19,13),(19,22),-0.0257913 # DEPENDENCYPART_SIBL
(19,13),(19,23),0.0313904 # DEPENDENCYPART_SIBL
(19,13),(19,24),0.0755288 # DEPENDENCYPART_SIBL
(19,13),(19,25),-0.000353127 # DEPENDENCYPART_SIBL
(19,13),(19,26),0.0117727 # DEPENDENCYPART_SIBL
(19,13),(19,27),-0.0148181 # DEPENDENCYPART_SIBL
(19,13),(19,28),0.04697 # DEPENDENCYPART_SIBL
(19,13),(19,29),-0.0122657 # DEPENDENCYPART_SIBL
(19,15),(19,16),0.286872 # DEPENDENCYPART_SIBL
(19,15),(19,17),0.0444942 # DEPENDENCYPART_SIBL
(19,15),(19,18),-0.0149616 # DEPENDENCYPART_SIBL
(19,15),(19,20),0.140625 # DEPENDENCYPART_SIBL
(19,15),(19,21),-0.0823658 # DEPENDENCYPART_SIBL
(19,15),(19,22),-0.0844411 # DEPENDENCYPART_SIBL
(19,15),(19,23),-0.0110762 # DEPENDENCYPART_SIBL
(19,15),(19,24),-0.0228674 # DEPENDENCYPART_SIBL
(19,15),(19,25),-0.01578 # DEPENDENCYPART_SIBL
(19,15),(19,26),-0.0067996 # DEPENDENCYPART_SIBL
(19,15),(19,27),-0.0152567 # DEPENDENCYPART_SIBL
(19,15),(19,28),0.00182369 # DEPENDENCYPART_SIBL
(19,15),(19,29),0.027459 # DEPENDENCYPART_SIBL
(19,16),(19,17),0.0421009 # DEPENDENCYPART_SIBL
(19,16),(19,18),0.00841749 # DEPENDENCYPART_SIBL
(19,16),(19,20),0.0159617 # DEPENDENCYPART_SIBL
(19,16),(19,21),-0.0106878 # DEPENDENCYPART_SIBL
(19,16),(19,22),-0.0105743 # DEPENDENCYPART_SIBL
(19,16),(19,23),-0.0039661 # DEPENDENCYPART_SIBL
(19,16),(19,24),0.0266378 # DEPENDENCYPART_SIBL
(19,16),(19,25),-0.00777943 # DEPENDENCYPART_SIBL
(19,16),(19,26),-0.00013218 # DEPENDENCYPART_SIBL
(19,16),(19,27),0.0332358 # DEPENDENCYPART_SIBL
(19,16),(19,28),0.0101375 # DEPENDENCYPART_SIBL
(19,16),(19,29),0.0369687 # DEPENDENCYPART_SIBL
(19,17),(19,18),0.0373479 # DEPENDENCYPART_SIBL
(19,17),(19,20),-0.0333308 # DEPENDENCYPART_SIBL
(19,17),(19,21),-0.0460668 # DEPENDENCYPART_SIBL
(19,17),(19,22),-0.0469515 # DEPENDENCYPART_SIBL
(19,17),(19,23),-0.0161938 # DEPENDENCYPART_SIBL
(19,17),(19,24),0.0325786 # DEPENDENCYPART_SIBL
(19,17),(19,25),-0.0213177 # DEPENDENCYPART_SIBL
(19,17),(19,26),-0.0196358 # DEPENDENCYPART_SIBL
(19,17),(19,27),0.0276774 # DEPENDENCYPART_SIBL
(19,17),(19,28),-0.00511732 # DEPENDENCYPART_SIBL
(19,17),(19,29),0.0713159 # DEPENDENCYPART_SIBL
