# _root_ It starts with conception , taking the sperm 's point of view , then progresses to the baby 's point of view .
#goldHeads=2,0,2,3,2,2,8,10,8,6,10,11,2,15,2,15,18,20,18,16,20,21,2,
#predictedHeads=2,0,2,3,2,2,8,10,8,6,10,11,6,15,6,15,18,20,18,16,20,21,2,
(1,3),(3,4),(3,5),-0.0194889 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,4),(3,6),-0.0195413 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,4),(3,10),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,4),(3,15),-0.0195413 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,4),(3,16),-0.0194411 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,4),(3,24),-0.022082 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,5),(3,6),-0.0194645 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,5),(3,10),-0.0203338 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,5),(3,15),-0.0194645 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,5),(3,16),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,5),(3,24),-0.019812 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,6),(3,10),-0.0194418 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,6),(3,15),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,6),(3,16),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,6),(3,24),-0.0233985 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,10),(3,15),-0.0195413 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,10),(3,16),-0.0194411 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,10),(3,24),-0.022082 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,15),(3,16),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,15),(3,24),-0.0233985 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,16),(3,24),-0.0197748 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,3),(3,-1),-0.160132 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,5),(5,5),(5,6),-0.0200126 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,5),(5,5),(5,24),-0.00312187 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,5),(5,6),(5,24),-0.0200126 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,5),(5,5),(5,-1),-0.133275 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,1),(1,1),(1,3),-0.144707 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,1),(1,5),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,1),(1,24),-0.132926 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,1),(1,3),(1,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,3),(1,24),-0.154454 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,1),(1,5),(1,24),-0.126374 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,1),(1,1),(1,-1),0.0824869 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,3),(3,3),(3,4),0.0458453 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,5),-0.0435411 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,6),0.0495873 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,10),0.0479027 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,15),0.0417666 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,16),-0.0446932 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,24),-0.10535 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,3),(3,4),(3,5),-0.0317793 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,6),-0.0322943 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,10),-0.0561469 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,15),-0.0322943 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,16),-0.0109763 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,24),0.119319 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,5),(3,6),-0.0211568 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,10),-0.0242396 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,15),-0.020822 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,16),-0.00651204 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,24),0.0303903 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,6),(3,10),-0.023791 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,15),-0.0195418 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,16),-0.0194914 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,24),-0.0312751 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,10),(3,15),-0.0322943 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,10),(3,16),-0.0111849 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,10),(3,24),0.12144 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,15),(3,16),-0.0194914 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,15),(3,24),-0.0323978 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,16),(3,24),0.00668239 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,3),(3,-1),0.0606126 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,4),(4,4),(4,5),0.062012 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,6),-0.0261923 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,8),0.0343791 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,10),0.0332469 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,11),-0.0852671 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,12),0.0370519 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,13),0.062012 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,15),-0.0259636 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,16),-0.0866166 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,20),0.0332469 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,24),0.0603006 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,4),(4,5),(4,6),-0.00833379 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,8),-0.0500956 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,10),-0.0500956 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,11),-0.0172683 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,12),-0.0500956 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,13),-0.023793 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,15),-0.00833362 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,16),-0.0208314 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,20),-0.0500956 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,24),-0.0668748 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,6),(4,8),-0.0298479 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,10),-0.0298479 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,11),0.00117861 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,12),-0.0298479 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,13),-0.05215 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,15),-0.00608365 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,16),-0.0202042 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,20),-0.0298479 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,24),-0.0274287 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,8),(4,10),-0.0149025 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,8),(4,11),-0.0356332 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,8),(4,12),-0.0149898 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,8),(4,13),-0.0593796 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,8),(4,15),-0.00548317 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,8),(4,16),-0.0362897 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,8),(4,20),-0.0149025 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,8),(4,24),-0.00488644 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,10),(4,11),-0.0356332 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,10),(4,12),-0.0149898 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,10),(4,13),-0.0593933 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,10),(4,15),-0.00548317 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,10),(4,16),-0.0368276 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,10),(4,20),-0.0149025 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,10),(4,24),-0.00558934 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,11),(4,12),-0.0368337 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,11),(4,13),0.0406128 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,11),(4,15),-0.0236374 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,11),(4,16),-0.00536208 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,11),(4,20),-0.0369559 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,11),(4,24),-0.0404114 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,12),(4,13),-0.0593796 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,12),(4,15),-0.00548317 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,12),(4,16),-0.0362897 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,12),(4,20),-0.0149025 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,12),(4,24),-0.00230096 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,13),(4,15),-0.00833362 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,13),(4,16),-0.0208314 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,13),(4,20),-0.0500956 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,13),(4,24),-0.0668748 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,15),(4,16),-0.0202042 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,15),(4,20),-0.0298479 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,15),(4,24),-0.026959 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,16),(4,20),-0.0259296 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,16),(4,24),-0.0585134 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,20),(4,24),-0.00558934 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,4),(4,3),0.157435 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,2),0.132083 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,1),-0.152106 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,-1),-0.188048 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,4),(4,3),(4,2),0.119461 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,3),(4,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,3),(4,-1),-0.0451189 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,2),(4,1),-0.144751 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,2),(4,-1),-0.137727 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,4),(4,1),(4,-1),-0.2262 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,5),(5,6),-0.0306513 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,24),0.0312338 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,5),(5,6),(5,24),-0.0306513 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,5),(5,-1),-0.11117 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,6),(6,6),(6,7),-0.0315153 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,6),(6,6),(6,8),0.051216 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,6),(6,6),(6,10),0.05021 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,6),(6,6),(6,11),-0.0908073 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,6),(6,6),(6,12),0.0508245 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,6),(6,6),(6,13),-0.105261 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,6),(6,6),(6,14),-0.055649 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,6),(6,6),(6,15),-0.0711131 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,6),(6,6),(6,16),0.089686 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,6),(6,6),(6,20),0.05021 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,6),(6,6),(6,23),-0.0411165 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,6),(6,6),(6,24),0.0821669 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,6),(6,7),(6,8),-0.0233035 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,7),(6,10),-0.0233035 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,7),(6,11),-0.017385 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,7),(6,12),-0.0233035 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,7),(6,13),-0.0196476 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,7),(6,14),-0.0193388 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,7),(6,15),-0.0245886 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,7),(6,16),-0.0220792 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,7),(6,20),-0.0233035 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,7),(6,23),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,7),(6,24),-0.0347583 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,6),(6,8),(6,10),-0.00316408 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,8),(6,11),-0.00195299 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,8),(6,12),-0.00316408 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,8),(6,13),-0.0573077 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,8),(6,14),-0.036663 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,8),(6,15),-0.0447672 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,8),(6,16),-0.0201375 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,8),(6,20),-0.00316408 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,8),(6,23),-0.0145716 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,8),(6,24),-0.0268508 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,6),(6,10),(6,11),-0.00230231 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,10),(6,12),-0.00316408 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,10),(6,13),-0.0573077 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,10),(6,14),-0.036663 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,10),(6,15),-0.0447672 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,10),(6,16),-0.0190145 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,10),(6,20),-0.00316408 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,10),(6,23),-0.0145716 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,10),(6,24),-0.0286306 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,6),(6,11),(6,12),-0.0105453 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,11),(6,13),0.0435085 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,11),(6,14),-0.0296142 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,11),(6,15),-0.0382285 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,11),(6,16),-0.0482181 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,11),(6,20),-0.0105441 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,11),(6,23),-0.0302553 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,11),(6,24),0.0405544 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,6),(6,12),(6,13),-0.0573077 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,12),(6,14),-0.036663 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,12),(6,15),-0.0447672 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,12),(6,16),-0.0201375 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,12),(6,20),-0.00316408 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,12),(6,23),-0.0145716 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,12),(6,24),-0.0274003 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,6),(6,13),(6,14),-0.0308012 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,13),(6,15),0.0503506 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,13),(6,16),-5.37378e-05 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,13),(6,20),-0.052828 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,13),(6,23),-0.0194414 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,13),(6,24),0.104816 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,6),(6,14),(6,15),-0.0120479 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,14),(6,16),-0.0213349 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,14),(6,20),-0.0364201 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,14),(6,23),-0.0233504 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,14),(6,24),0.00285422 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,6),(6,15),(6,16),-0.0221843 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,15),(6,20),-0.0293064 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,15),(6,23),-0.00237462 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,15),(6,24),-0.0331025 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,6),(6,16),(6,20),-0.0314874 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,16),(6,23),-0.0195035 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,16),(6,24),-0.0264601 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,6),(6,20),(6,23),-0.0145716 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,20),(6,24),-0.0286306 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,6),(6,23),(6,24),-0.0327537 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,6),(6,6),(6,5),0.111003 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,6),(6,6),(6,4),0.159676 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,6),(6,6),(6,3),-0.0199246 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,6),(6,6),(6,1),-0.161264 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,6),(6,6),(6,-1),-0.233134 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,6),(6,5),(6,4),0.120038 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,5),(6,3),0.059713 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,5),(6,1),-0.144716 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,5),(6,-1),-0.118074 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,6),(6,4),(6,3),0.210758 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,4),(6,1),-0.145122 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,4),(6,-1),-0.160174 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,6),(6,3),(6,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,3),(6,-1),-0.136007 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,6),(6,1),(6,-1),-0.128122 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,10),(10,11),-0.0874263 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,10),(10,12),0.0283657 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,10),(10,13),0.0620111 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,10),(10,14),-0.0362274 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,10),(10,15),-0.0260316 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,10),(10,16),-0.0768052 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,10),(10,20),0.0245606 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,10),(10,21),-0.0874263 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,10),(10,23),0.00656601 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,10),(10,24),0.0564319 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,10),(10,11),(10,12),-0.0374131 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,11),(10,13),0.0406121 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,11),(10,14),-0.0335761 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,11),(10,15),-0.0236383 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,11),(10,16),-0.00536208 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,11),(10,20),-0.0375353 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,11),(10,21),-0.000279928 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,11),(10,23),-0.0214351 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,11),(10,24),-0.0440354 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,12),(10,13),-0.0593796 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,12),(10,14),-0.0192229 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,12),(10,15),-0.00548317 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,12),(10,16),-0.0364554 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,12),(10,20),-0.0149025 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,12),(10,21),-0.0370078 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,12),(10,23),-0.0209326 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,12),(10,24),-0.0061044 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,13),(10,14),-0.0617142 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,13),(10,15),-0.00833403 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,13),(10,16),-0.0208318 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,13),(10,20),-0.0500956 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,13),(10,21),-0.0172683 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,13),(10,23),-0.0194519 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,13),(10,24),-0.0668748 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,14),(10,15),-0.0141228 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,14),(10,16),-0.0132457 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,14),(10,20),-0.0334444 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,14),(10,21),-0.00331427 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,14),(10,23),-0.0196195 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,14),(10,24),-0.0387037 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,15),(10,16),-0.0202042 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,15),(10,20),-0.0298481 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,15),(10,21),0.00117861 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,15),(10,23),-0.0198145 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,15),(10,24),-0.0274363 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,16),(10,20),-0.0259296 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,16),(10,21),-0.0205006 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,16),(10,23),-0.0194414 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,16),(10,24),-0.0486171 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,20),(10,21),-0.0370078 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,20),(10,23),-0.0209326 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,20),(10,24),-0.00939279 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,21),(10,23),-0.0214351 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,21),(10,24),-0.0440354 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,23),(10,24),-0.0121011 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,10),(10,9),0.0983595 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,10),(10,8),0.0330939 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,10),(10,7),0.0943633 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,10),(10,6),0.129436 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,10),(10,5),0.0490521 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,10),(10,4),0.0330939 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,10),(10,3),0.158637 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,10),(10,-1),-0.190824 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,10),(10,9),(10,8),0.114639 # DEPENDENCYPART_GRANDSIBL
