# _root_ Mr. Shilling , who was Merrill Lynch 's chief economist from 1967 to 1971 , has heralded a recession for months .
#goldHeads=2,16,2,5,2,7,10,7,10,5,5,11,11,13,2,0,16,19,17,17,20,16,
#predictedHeads=2,16,2,5,2,7,10,7,10,5,5,11,11,13,2,0,16,19,17,19,20,16,
(2,16),(16,2),-0.593663 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,16),(16,3),0.295813 # DEPENDENCYPART_GRANDPAR
(2,16),(16,5),0.522053 # DEPENDENCYPART_GRANDPAR
(2,16),(16,7),0.220368 # DEPENDENCYPART_GRANDPAR
(2,16),(16,9),0.26927 # DEPENDENCYPART_GRANDPAR
(2,16),(16,10),0.0765111 # DEPENDENCYPART_GRANDPAR
(2,16),(16,11),0.468092 # DEPENDENCYPART_GRANDPAR
(2,16),(16,12),-0.0930901 # DEPENDENCYPART_GRANDPAR
(2,16),(16,13),0.00579412 # DEPENDENCYPART_GRANDPAR
(2,16),(16,14),-0.169961 # DEPENDENCYPART_GRANDPAR
(2,16),(16,15),0.203082 # DEPENDENCYPART_GRANDPAR
(2,16),(16,17),-0.0792286 # DEPENDENCYPART_GRANDPAR
(2,16),(16,18),-0.0991135 # DEPENDENCYPART_GRANDPAR
(2,16),(16,19),-0.0310275 # DEPENDENCYPART_GRANDPAR
(2,16),(16,20),0.340159 # DEPENDENCYPART_GRANDPAR
(2,16),(16,21),-0.178026 # DEPENDENCYPART_GRANDPAR
(2,16),(16,22),-0.633312 # DEPENDENCYPART_GRANDPAR
(2,19),(19,4),0.601943 # DEPENDENCYPART_GRANDPAR
(2,19),(19,12),0.000393305 # DEPENDENCYPART_GRANDPAR
(2,19),(19,14),-0.0796435 # DEPENDENCYPART_GRANDPAR
(2,19),(19,17),0.0351297 # DEPENDENCYPART_GRANDPAR
(2,19),(19,18),0.328103 # DEPENDENCYPART_GRANDPAR
(2,19),(19,20),0.189509 # DEPENDENCYPART_GRANDPAR
(2,19),(19,21),-0.188237 # DEPENDENCYPART_GRANDPAR
(2,19),(19,22),-0.543114 # DEPENDENCYPART_GRANDPAR
(2,20),(20,13),0.0208975 # DEPENDENCYPART_GRANDPAR
(2,20),(20,18),0.192072 # DEPENDENCYPART_GRANDPAR
(2,20),(20,19),-0.161784 # DEPENDENCYPART_GRANDPAR
(2,20),(20,21),-0.122261 # DEPENDENCYPART_GRANDPAR
(2,20),(20,22),-0.61054 # DEPENDENCYPART_GRANDPAR
(2,22),(22,20),0.146696 # DEPENDENCYPART_GRANDPAR
(5,2),(2,1),0.105301 # DEPENDENCYPART_GRANDPAR
(5,2),(2,3),-0.0803015 # DEPENDENCYPART_GRANDPAR
(5,2),(2,5),-0.850267 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,2),(2,6),0.421144 # DEPENDENCYPART_GRANDPAR
(5,2),(2,7),0.451735 # DEPENDENCYPART_GRANDPAR
(5,2),(2,8),-0.479669 # DEPENDENCYPART_GRANDPAR
(5,2),(2,9),-0.0584462 # DEPENDENCYPART_GRANDPAR
(5,2),(2,10),0.240794 # DEPENDENCYPART_GRANDPAR
(5,2),(2,11),0.26596 # DEPENDENCYPART_GRANDPAR
(5,2),(2,15),-0.202326 # DEPENDENCYPART_GRANDPAR
(5,2),(2,16),0.216061 # DEPENDENCYPART_GRANDPAR
(5,2),(2,19),-0.314988 # DEPENDENCYPART_GRANDPAR
(5,2),(2,20),0.0955147 # DEPENDENCYPART_GRANDPAR
(5,2),(2,22),-0.916402 # DEPENDENCYPART_GRANDPAR
(5,6),(6,4),0.197117 # DEPENDENCYPART_GRANDPAR
(5,6),(6,5),-0.357161 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,6),(6,7),0.713865 # DEPENDENCYPART_GRANDPAR
(5,6),(6,8),-0.403213 # DEPENDENCYPART_GRANDPAR
(5,6),(6,11),0.348706 # DEPENDENCYPART_GRANDPAR
(5,6),(6,12),0.521926 # DEPENDENCYPART_GRANDPAR
(5,7),(7,1),-0.326622 # DEPENDENCYPART_GRANDPAR
(5,7),(7,2),-0.810288 # DEPENDENCYPART_GRANDPAR
(5,7),(7,3),-0.807726 # DEPENDENCYPART_GRANDPAR
(5,7),(7,4),0.197119 # DEPENDENCYPART_GRANDPAR
(5,7),(7,5),-0.363702 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,7),(7,6),0.770726 # DEPENDENCYPART_GRANDPAR
(5,7),(7,8),-0.404045 # DEPENDENCYPART_GRANDPAR
(5,7),(7,9),0.233685 # DEPENDENCYPART_GRANDPAR
(5,7),(7,10),0.524325 # DEPENDENCYPART_GRANDPAR
(5,7),(7,11),0.347268 # DEPENDENCYPART_GRANDPAR
(5,7),(7,12),0.520578 # DEPENDENCYPART_GRANDPAR
(5,7),(7,14),0.501455 # DEPENDENCYPART_GRANDPAR
(5,7),(7,15),0.493872 # DEPENDENCYPART_GRANDPAR
(5,7),(7,16),0.580474 # DEPENDENCYPART_GRANDPAR
(5,7),(7,22),-0.528995 # DEPENDENCYPART_GRANDPAR
(5,9),(9,2),-0.810507 # DEPENDENCYPART_GRANDPAR
(5,9),(9,4),0.196907 # DEPENDENCYPART_GRANDPAR
(5,9),(9,5),-0.368064 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,9),(9,6),0.759809 # DEPENDENCYPART_GRANDPAR
(5,9),(9,7),0.799801 # DEPENDENCYPART_GRANDPAR
(5,9),(9,8),0.0655203 # DEPENDENCYPART_GRANDPAR
(5,9),(9,10),0.489936 # DEPENDENCYPART_GRANDPAR
(5,9),(9,11),0.327741 # DEPENDENCYPART_GRANDPAR
(5,9),(9,12),0.508617 # DEPENDENCYPART_GRANDPAR
(5,9),(9,13),0.334227 # DEPENDENCYPART_GRANDPAR
(5,9),(9,14),0.489494 # DEPENDENCYPART_GRANDPAR
(5,10),(10,1),-0.326652 # DEPENDENCYPART_GRANDPAR
(5,10),(10,2),-0.810319 # DEPENDENCYPART_GRANDPAR
(5,10),(10,3),-0.807747 # DEPENDENCYPART_GRANDPAR
(5,10),(10,4),0.197099 # DEPENDENCYPART_GRANDPAR
(5,10),(10,5),-0.352607 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,10),(10,6),0.788047 # DEPENDENCYPART_GRANDPAR
(5,10),(10,7),0.828407 # DEPENDENCYPART_GRANDPAR
(5,10),(10,8),0.0795104 # DEPENDENCYPART_GRANDPAR
(5,10),(10,9),0.304007 # DEPENDENCYPART_GRANDPAR
(5,10),(10,11),0.354904 # DEPENDENCYPART_GRANDPAR
(5,10),(10,12),0.522371 # DEPENDENCYPART_GRANDPAR
(5,10),(10,13),0.347982 # DEPENDENCYPART_GRANDPAR
(5,10),(10,14),0.503249 # DEPENDENCYPART_GRANDPAR
(5,10),(10,15),0.495726 # DEPENDENCYPART_GRANDPAR
(5,10),(10,16),0.580504 # DEPENDENCYPART_GRANDPAR
(5,10),(10,17),0.598527 # DEPENDENCYPART_GRANDPAR
(5,10),(10,19),-0.0563922 # DEPENDENCYPART_GRANDPAR
(5,10),(10,20),0.205164 # DEPENDENCYPART_GRANDPAR
(5,10),(10,22),-0.525964 # DEPENDENCYPART_GRANDPAR
(5,11),(11,4),0.144409 # DEPENDENCYPART_GRANDPAR
(5,11),(11,10),0.507438 # DEPENDENCYPART_GRANDPAR
(5,11),(11,12),0.599804 # DEPENDENCYPART_GRANDPAR
(5,11),(11,13),0.414211 # DEPENDENCYPART_GRANDPAR
(5,11),(11,14),0.583254 # DEPENDENCYPART_GRANDPAR
(5,11),(11,15),0.480792 # DEPENDENCYPART_GRANDPAR
(5,11),(11,16),0.49982 # DEPENDENCYPART_GRANDPAR
(5,11),(11,19),0.00887801 # DEPENDENCYPART_GRANDPAR
(5,11),(11,20),0.324931 # DEPENDENCYPART_GRANDPAR
(5,13),(13,4),0.0873507 # DEPENDENCYPART_GRANDPAR
(5,13),(13,12),0.388284 # DEPENDENCYPART_GRANDPAR
(5,13),(13,14),0.624073 # DEPENDENCYPART_GRANDPAR
(5,13),(13,15),0.448442 # DEPENDENCYPART_GRANDPAR
(5,13),(13,16),0.545493 # DEPENDENCYPART_GRANDPAR
(5,13),(13,19),0.0481682 # DEPENDENCYPART_GRANDPAR
(5,16),(16,1),-0.664005 # DEPENDENCYPART_GRANDPAR
(5,16),(16,2),-1.14772 # DEPENDENCYPART_GRANDPAR
(5,16),(16,3),-0.854669 # DEPENDENCYPART_GRANDPAR
(5,16),(16,5),-0.56225 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,16),(16,7),0.727468 # DEPENDENCYPART_GRANDPAR
(5,16),(16,9),0.196005 # DEPENDENCYPART_GRANDPAR
(5,16),(16,10),0.517993 # DEPENDENCYPART_GRANDPAR
(5,16),(16,11),0.448319 # DEPENDENCYPART_GRANDPAR
(5,16),(16,12),0.326212 # DEPENDENCYPART_GRANDPAR
(5,16),(16,13),0.419206 # DEPENDENCYPART_GRANDPAR
(5,16),(16,14),0.301804 # DEPENDENCYPART_GRANDPAR
(5,16),(16,15),0.230675 # DEPENDENCYPART_GRANDPAR
(5,16),(16,17),0.633459 # DEPENDENCYPART_GRANDPAR
(5,16),(16,18),0.1269 # DEPENDENCYPART_GRANDPAR
(5,16),(16,19),0.127618 # DEPENDENCYPART_GRANDPAR
(5,16),(16,20),0.548524 # DEPENDENCYPART_GRANDPAR
(5,16),(16,21),0.463599 # DEPENDENCYPART_GRANDPAR
(5,16),(16,22),-0.393152 # DEPENDENCYPART_GRANDPAR
(5,17),(17,3),-0.829671 # DEPENDENCYPART_GRANDPAR
(5,17),(17,5),-0.654067 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,17),(17,10),0.451421 # DEPENDENCYPART_GRANDPAR
(5,17),(17,11),0.383884 # DEPENDENCYPART_GRANDPAR
(5,17),(17,13),0.405679 # DEPENDENCYPART_GRANDPAR
(5,17),(17,16),0.487934 # DEPENDENCYPART_GRANDPAR
(5,17),(17,18),0.0880029 # DEPENDENCYPART_GRANDPAR
(5,17),(17,19),0.0962117 # DEPENDENCYPART_GRANDPAR
(5,17),(17,20),0.4863 # DEPENDENCYPART_GRANDPAR
(5,17),(17,21),0.432393 # DEPENDENCYPART_GRANDPAR
(5,17),(17,22),-0.476974 # DEPENDENCYPART_GRANDPAR
(5,20),(20,13),0.347076 # DEPENDENCYPART_GRANDPAR
(5,20),(20,18),-0.0203709 # DEPENDENCYPART_GRANDPAR
(5,20),(20,19),-0.0950969 # DEPENDENCYPART_GRANDPAR
(5,20),(20,21),0.384044 # DEPENDENCYPART_GRANDPAR
(5,20),(20,22),-0.589056 # DEPENDENCYPART_GRANDPAR
(5,22),(22,20),0.103623 # DEPENDENCYPART_GRANDPAR
(6,5),(5,2),-0.726562 # DEPENDENCYPART_GRANDPAR
(6,5),(5,3),-0.253322 # DEPENDENCYPART_GRANDPAR
(6,5),(5,4),-0.488024 # DEPENDENCYPART_GRANDPAR
(6,5),(5,6),-1.5603 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,5),(5,7),-0.216171 # DEPENDENCYPART_GRANDPAR
(6,5),(5,9),-0.565946 # DEPENDENCYPART_GRANDPAR
(6,5),(5,10),-0.443353 # DEPENDENCYPART_GRANDPAR
(6,5),(5,11),-0.373242 # DEPENDENCYPART_GRANDPAR
(6,5),(5,13),-0.335922 # DEPENDENCYPART_GRANDPAR
(6,5),(5,15),-0.381433 # DEPENDENCYPART_GRANDPAR
(6,5),(5,16),-0.65454 # DEPENDENCYPART_GRANDPAR
(6,5),(5,17),-0.747482 # DEPENDENCYPART_GRANDPAR
(6,5),(5,20),-0.673193 # DEPENDENCYPART_GRANDPAR
(6,5),(5,22),-1.3015 # DEPENDENCYPART_GRANDPAR
(6,7),(7,1),-1.22659 # DEPENDENCYPART_GRANDPAR
(6,7),(7,2),-1.40982 # DEPENDENCYPART_GRANDPAR
(6,7),(7,3),-0.958075 # DEPENDENCYPART_GRANDPAR
(6,7),(7,4),-0.896497 # DEPENDENCYPART_GRANDPAR
(6,7),(7,5),-1.06078 # DEPENDENCYPART_GRANDPAR
(6,7),(7,6),-0.756685 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,7),(7,8),-0.441077 # DEPENDENCYPART_GRANDPAR
(6,7),(7,9),0.281897 # DEPENDENCYPART_GRANDPAR
(6,7),(7,10),0.398822 # DEPENDENCYPART_GRANDPAR
(6,7),(7,11),0.312747 # DEPENDENCYPART_GRANDPAR
(6,7),(7,12),-0.048518 # DEPENDENCYPART_GRANDPAR
(6,7),(7,14),-0.112765 # DEPENDENCYPART_GRANDPAR
(6,7),(7,15),0.35071 # DEPENDENCYPART_GRANDPAR
(6,7),(7,16),0.0398717 # DEPENDENCYPART_GRANDPAR
(6,7),(7,22),-0.602265 # DEPENDENCYPART_GRANDPAR
(6,11),(11,4),-0.852117 # DEPENDENCYPART_GRANDPAR
(6,11),(11,10),0.257537 # DEPENDENCYPART_GRANDPAR
(6,11),(11,12),0.0365087 # DEPENDENCYPART_GRANDPAR
(6,11),(11,13),0.494509 # DEPENDENCYPART_GRANDPAR
(6,11),(11,14),-0.0340159 # DEPENDENCYPART_GRANDPAR
(6,11),(11,15),0.338331 # DEPENDENCYPART_GRANDPAR
(6,11),(11,16),0.0162702 # DEPENDENCYPART_GRANDPAR
(6,11),(11,19),0.0367221 # DEPENDENCYPART_GRANDPAR
(6,11),(11,20),0.12437 # DEPENDENCYPART_GRANDPAR
(6,12),(12,9),0.313026 # DEPENDENCYPART_GRANDPAR
(6,12),(12,10),0.431815 # DEPENDENCYPART_GRANDPAR
(6,12),(12,11),0.315336 # DEPENDENCYPART_GRANDPAR
(6,12),(12,13),0.493221 # DEPENDENCYPART_GRANDPAR
(6,12),(12,14),-0.0690188 # DEPENDENCYPART_GRANDPAR
(6,12),(12,15),0.227922 # DEPENDENCYPART_GRANDPAR
(6,12),(12,16),-0.0119221 # DEPENDENCYPART_GRANDPAR
(6,12),(12,17),-0.106703 # DEPENDENCYPART_GRANDPAR
(6,12),(12,19),-0.270706 # DEPENDENCYPART_GRANDPAR
(7,1),(1,2),-0.729697 # DEPENDENCYPART_GRANDPAR
(7,1),(1,3),-0.154495 # DEPENDENCYPART_GRANDPAR
(7,1),(1,5),-0.431206 # DEPENDENCYPART_GRANDPAR
(7,1),(1,10),-0.516701 # DEPENDENCYPART_GRANDPAR
(7,1),(1,15),-0.542346 # DEPENDENCYPART_GRANDPAR
(7,1),(1,22),-1.40095 # DEPENDENCYPART_GRANDPAR
(7,2),(2,1),-0.268846 # DEPENDENCYPART_GRANDPAR
(7,2),(2,3),-0.144344 # DEPENDENCYPART_GRANDPAR
(7,2),(2,5),-0.420389 # DEPENDENCYPART_GRANDPAR
(7,2),(2,6),0.124432 # DEPENDENCYPART_GRANDPAR
(7,2),(2,7),-1.41371 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,2),(2,8),-0.766361 # DEPENDENCYPART_GRANDPAR
(7,2),(2,9),-0.407297 # DEPENDENCYPART_GRANDPAR
(7,2),(2,10),-0.516506 # DEPENDENCYPART_GRANDPAR
(7,2),(2,11),-0.468834 # DEPENDENCYPART_GRANDPAR
(7,2),(2,15),-0.542155 # DEPENDENCYPART_GRANDPAR
(7,2),(2,16),-0.864617 # DEPENDENCYPART_GRANDPAR
(7,2),(2,19),-0.912191 # DEPENDENCYPART_GRANDPAR
(7,2),(2,20),-0.788969 # DEPENDENCYPART_GRANDPAR
(7,2),(2,22),-1.40078 # DEPENDENCYPART_GRANDPAR
(7,5),(5,2),-0.648035 # DEPENDENCYPART_GRANDPAR
(7,5),(5,3),-0.149391 # DEPENDENCYPART_GRANDPAR
(7,5),(5,4),-0.447687 # DEPENDENCYPART_GRANDPAR
(7,5),(5,6),0.0175881 # DEPENDENCYPART_GRANDPAR
(7,5),(5,7),-1.5832 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,5),(5,9),-0.576317 # DEPENDENCYPART_GRANDPAR
(7,5),(5,10),-0.686019 # DEPENDENCYPART_GRANDPAR
(7,5),(5,11),-0.647377 # DEPENDENCYPART_GRANDPAR
(7,5),(5,13),-0.633943 # DEPENDENCYPART_GRANDPAR
(7,5),(5,15),-0.535133 # DEPENDENCYPART_GRANDPAR
(7,5),(5,16),-0.947733 # DEPENDENCYPART_GRANDPAR
(7,5),(5,17),-1.01244 # DEPENDENCYPART_GRANDPAR
(7,5),(5,20),-0.971714 # DEPENDENCYPART_GRANDPAR
(7,5),(5,22),-1.45146 # DEPENDENCYPART_GRANDPAR
(7,6),(6,4),-0.401823 # DEPENDENCYPART_GRANDPAR
(7,6),(6,5),-0.553159 # DEPENDENCYPART_GRANDPAR
(7,6),(6,7),-1.41372 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,6),(6,8),-0.766361 # DEPENDENCYPART_GRANDPAR
(7,6),(6,11),-0.468835 # DEPENDENCYPART_GRANDPAR
(7,6),(6,12),-0.719086 # DEPENDENCYPART_GRANDPAR
(7,9),(9,2),-1.33232 # DEPENDENCYPART_GRANDPAR
(7,9),(9,4),-0.860511 # DEPENDENCYPART_GRANDPAR
(7,9),(9,5),-1.16486 # DEPENDENCYPART_GRANDPAR
(7,9),(9,6),-0.493822 # DEPENDENCYPART_GRANDPAR
(7,9),(9,7),-0.791553 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,9),(9,8),0.249725 # DEPENDENCYPART_GRANDPAR
(7,9),(9,10),0.11994 # DEPENDENCYPART_GRANDPAR
(7,9),(9,11),0.0269801 # DEPENDENCYPART_GRANDPAR
(7,9),(9,12),-0.118538 # DEPENDENCYPART_GRANDPAR
(7,9),(9,13),0.0691362 # DEPENDENCYPART_GRANDPAR
(7,9),(9,14),-0.272328 # DEPENDENCYPART_GRANDPAR
(7,10),(10,1),-1.07948 # DEPENDENCYPART_GRANDPAR
(7,10),(10,2),-1.33166 # DEPENDENCYPART_GRANDPAR
(7,10),(10,3),-0.857833 # DEPENDENCYPART_GRANDPAR
(7,10),(10,4),-0.85985 # DEPENDENCYPART_GRANDPAR
(7,10),(10,5),-1.1642 # DEPENDENCYPART_GRANDPAR
(7,10),(10,6),-0.493159 # DEPENDENCYPART_GRANDPAR
(7,10),(10,7),-0.791893 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,10),(10,8),0.235764 # DEPENDENCYPART_GRANDPAR
(7,10),(10,9),0.260367 # DEPENDENCYPART_GRANDPAR
(7,10),(10,11),0.0735773 # DEPENDENCYPART_GRANDPAR
(7,10),(10,12),-0.0967094 # DEPENDENCYPART_GRANDPAR
(7,10),(10,13),0.0909651 # DEPENDENCYPART_GRANDPAR
(7,10),(10,14),-0.250499 # DEPENDENCYPART_GRANDPAR
(7,10),(10,15),0.208999 # DEPENDENCYPART_GRANDPAR
(7,10),(10,16),-0.243296 # DEPENDENCYPART_GRANDPAR
(7,10),(10,17),-0.303718 # DEPENDENCYPART_GRANDPAR
(7,10),(10,19),-0.254319 # DEPENDENCYPART_GRANDPAR
(7,10),(10,20),-0.233404 # DEPENDENCYPART_GRANDPAR
(7,10),(10,22),-0.738853 # DEPENDENCYPART_GRANDPAR
(7,11),(11,4),-0.81547 # DEPENDENCYPART_GRANDPAR
(7,11),(11,10),0.00902307 # DEPENDENCYPART_GRANDPAR
(7,11),(11,12),-0.0245151 # DEPENDENCYPART_GRANDPAR
(7,11),(11,13),0.195798 # DEPENDENCYPART_GRANDPAR
(7,11),(11,14),-0.184582 # DEPENDENCYPART_GRANDPAR
(7,11),(11,15),0.18394 # DEPENDENCYPART_GRANDPAR
(7,11),(11,16),-0.277966 # DEPENDENCYPART_GRANDPAR
(7,11),(11,19),-0.152129 # DEPENDENCYPART_GRANDPAR
(7,11),(11,20),-0.171703 # DEPENDENCYPART_GRANDPAR
(7,12),(12,9),0.296807 # DEPENDENCYPART_GRANDPAR
(7,12),(12,10),0.183301 # DEPENDENCYPART_GRANDPAR
(7,12),(12,11),0.041538 # DEPENDENCYPART_GRANDPAR
(7,12),(12,13),0.195201 # DEPENDENCYPART_GRANDPAR
(7,12),(12,14),-0.218894 # DEPENDENCYPART_GRANDPAR
(7,12),(12,15),0.074222 # DEPENDENCYPART_GRANDPAR
(7,12),(12,16),-0.305467 # DEPENDENCYPART_GRANDPAR
(7,12),(12,17),-0.372015 # DEPENDENCYPART_GRANDPAR
(7,12),(12,19),-0.458174 # DEPENDENCYPART_GRANDPAR
(7,14),(14,9),0.296741 # DEPENDENCYPART_GRANDPAR
(7,14),(14,10),0.183236 # DEPENDENCYPART_GRANDPAR
(7,14),(14,11),0.0415322 # DEPENDENCYPART_GRANDPAR
(7,14),(14,12),-0.229033 # DEPENDENCYPART_GRANDPAR
(7,14),(14,13),-0.115301 # DEPENDENCYPART_GRANDPAR
(7,14),(14,15),0.074222 # DEPENDENCYPART_GRANDPAR
(7,14),(14,16),-0.305489 # DEPENDENCYPART_GRANDPAR
(7,14),(14,17),-0.372037 # DEPENDENCYPART_GRANDPAR
(7,14),(14,19),-0.458174 # DEPENDENCYPART_GRANDPAR
(7,16),(16,1),-1.2523 # DEPENDENCYPART_GRANDPAR
(7,16),(16,2),-1.50496 # DEPENDENCYPART_GRANDPAR
(7,16),(16,3),-0.852614 # DEPENDENCYPART_GRANDPAR
(7,16),(16,5),-1.23658 # DEPENDENCYPART_GRANDPAR
(7,16),(16,7),-0.875486 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,16),(16,9),0.134565 # DEPENDENCYPART_GRANDPAR
(7,16),(16,10),0.0278486 # DEPENDENCYPART_GRANDPAR
(7,16),(16,11),0.0189029 # DEPENDENCYPART_GRANDPAR
(7,16),(16,12),-0.292185 # DEPENDENCYPART_GRANDPAR
(7,16),(16,13),0.116173 # DEPENDENCYPART_GRANDPAR
(7,16),(16,14),-0.449318 # DEPENDENCYPART_GRANDPAR
(7,16),(16,15),0.0371404 # DEPENDENCYPART_GRANDPAR
(7,16),(16,17),-0.297239 # DEPENDENCYPART_GRANDPAR
(7,16),(16,18),-0.204641 # DEPENDENCYPART_GRANDPAR
(7,16),(16,19),-0.232602 # DEPENDENCYPART_GRANDPAR
(7,16),(16,20),-0.117412 # DEPENDENCYPART_GRANDPAR
(7,16),(16,21),-0.282421 # DEPENDENCYPART_GRANDPAR
(7,16),(16,22),-0.83773 # DEPENDENCYPART_GRANDPAR
(7,22),(22,20),-0.316691 # DEPENDENCYPART_GRANDPAR
(9,2),(2,1),0.10358 # DEPENDENCYPART_GRANDPAR
(9,2),(2,3),-0.233115 # DEPENDENCYPART_GRANDPAR
(9,2),(2,5),-0.149965 # DEPENDENCYPART_GRANDPAR
(9,2),(2,6),0.441085 # DEPENDENCYPART_GRANDPAR
(9,2),(2,7),0.0766557 # DEPENDENCYPART_GRANDPAR
(9,2),(2,8),1.07524 # DEPENDENCYPART_GRANDPAR
(9,2),(2,9),-1.34008 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,2),(2,10),-0.074821 # DEPENDENCYPART_GRANDPAR
(9,2),(2,11),-0.398412 # DEPENDENCYPART_GRANDPAR
(9,2),(2,15),-0.323468 # DEPENDENCYPART_GRANDPAR
(9,2),(2,16),-0.505347 # DEPENDENCYPART_GRANDPAR
(9,2),(2,19),-0.733503 # DEPENDENCYPART_GRANDPAR
(9,2),(2,20),-0.582039 # DEPENDENCYPART_GRANDPAR
(9,2),(2,22),-1.05429 # DEPENDENCYPART_GRANDPAR
(9,5),(5,2),-0.312499 # DEPENDENCYPART_GRANDPAR
(9,5),(5,3),-0.238979 # DEPENDENCYPART_GRANDPAR
(9,5),(5,4),-0.180122 # DEPENDENCYPART_GRANDPAR
(9,5),(5,6),0.337601 # DEPENDENCYPART_GRANDPAR
(9,5),(5,7),-0.033807 # DEPENDENCYPART_GRANDPAR
(9,5),(5,9),-1.5091 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,5),(5,10),-0.244334 # DEPENDENCYPART_GRANDPAR
(9,5),(5,11),-0.576955 # DEPENDENCYPART_GRANDPAR
(9,5),(5,13),-0.298856 # DEPENDENCYPART_GRANDPAR
(9,5),(5,15),-0.316446 # DEPENDENCYPART_GRANDPAR
(9,5),(5,16),-0.588463 # DEPENDENCYPART_GRANDPAR
(9,5),(5,17),-0.709261 # DEPENDENCYPART_GRANDPAR
(9,5),(5,20),-0.764784 # DEPENDENCYPART_GRANDPAR
(9,5),(5,22),-1.10498 # DEPENDENCYPART_GRANDPAR
(9,6),(6,4),-0.132444 # DEPENDENCYPART_GRANDPAR
(9,6),(6,5),-0.283024 # DEPENDENCYPART_GRANDPAR
(9,6),(6,7),0.0717587 # DEPENDENCYPART_GRANDPAR
(9,6),(6,8),1.07183 # DEPENDENCYPART_GRANDPAR
(9,6),(6,11),-0.398414 # DEPENDENCYPART_GRANDPAR
(9,6),(6,12),-0.462981 # DEPENDENCYPART_GRANDPAR
(9,7),(7,1),0.116898 # DEPENDENCYPART_GRANDPAR
(9,7),(7,2),-0.331301 # DEPENDENCYPART_GRANDPAR
(9,7),(7,3),-0.205469 # DEPENDENCYPART_GRANDPAR
(9,7),(7,4),-0.132894 # DEPENDENCYPART_GRANDPAR
(9,7),(7,5),-0.281452 # DEPENDENCYPART_GRANDPAR
(9,7),(7,6),0.500572 # DEPENDENCYPART_GRANDPAR
(9,7),(7,8),1.07623 # DEPENDENCYPART_GRANDPAR
(9,7),(7,9),-1.34008 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,7),(7,10),-0.0748211 # DEPENDENCYPART_GRANDPAR
(9,7),(7,11),-0.398413 # DEPENDENCYPART_GRANDPAR
(9,7),(7,12),-0.462981 # DEPENDENCYPART_GRANDPAR
(9,7),(7,14),-0.5671 # DEPENDENCYPART_GRANDPAR
(9,7),(7,15),-0.323468 # DEPENDENCYPART_GRANDPAR
(9,7),(7,16),-0.505347 # DEPENDENCYPART_GRANDPAR
(9,7),(7,22),-1.05429 # DEPENDENCYPART_GRANDPAR
(9,10),(10,1),-0.70682 # DEPENDENCYPART_GRANDPAR
(9,10),(10,2),-0.993865 # DEPENDENCYPART_GRANDPAR
(9,10),(10,3),-0.941457 # DEPENDENCYPART_GRANDPAR
(9,10),(10,4),-0.586802 # DEPENDENCYPART_GRANDPAR
(9,10),(10,5),-0.888595 # DEPENDENCYPART_GRANDPAR
(9,10),(10,6),-0.178128 # DEPENDENCYPART_GRANDPAR
(9,10),(10,7),-0.540433 # DEPENDENCYPART_GRANDPAR
(9,10),(10,8),0.0866544 # DEPENDENCYPART_GRANDPAR
(9,10),(10,9),-0.672521 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,10),(10,11),0.135595 # DEPENDENCYPART_GRANDPAR
(9,10),(10,12),0.15572 # DEPENDENCYPART_GRANDPAR
(9,10),(10,13),0.422379 # DEPENDENCYPART_GRANDPAR
(9,10),(10,14),0.0549424 # DEPENDENCYPART_GRANDPAR
(9,10),(10,15),0.423754 # DEPENDENCYPART_GRANDPAR
(9,10),(10,16),0.110829 # DEPENDENCYPART_GRANDPAR
(9,10),(10,17),-0.00568294 # DEPENDENCYPART_GRANDPAR
(9,10),(10,19),-0.0756212 # DEPENDENCYPART_GRANDPAR
(9,10),(10,20),-0.0348791 # DEPENDENCYPART_GRANDPAR
(9,10),(10,22),-0.396038 # DEPENDENCYPART_GRANDPAR
(9,11),(11,4),-0.542423 # DEPENDENCYPART_GRANDPAR
(9,11),(11,10),0.45487 # DEPENDENCYPART_GRANDPAR
(9,11),(11,12),0.231272 # DEPENDENCYPART_GRANDPAR
(9,11),(11,13),0.530569 # DEPENDENCYPART_GRANDPAR
