# _root_ Guber-Peters 's net income in the latest quarter compared with a net loss of $ 6.9 million , or 62 cents a share , in the year-earlier period .
#goldHeads=4,1,4,9,4,8,8,5,0,9,13,13,10,13,14,15,15,15,15,21,19,23,21,15,13,28,28,25,9,
#predictedHeads=4,1,4,9,4,8,8,5,0,9,13,13,10,13,14,15,15,15,15,21,19,23,21,15,13,28,28,25,9,
(4,7),(4,29),-0.0243359 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.0414499 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.024668 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.101956 # DEPENDENCYPART_SIBL
(4,8),(4,14),0.0360138 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.0238942 # DEPENDENCYPART_SIBL
(4,8),(4,19),-0.0377261 # DEPENDENCYPART_SIBL
(4,8),(4,23),-0.0780153 # DEPENDENCYPART_SIBL
(4,8),(4,24),-0.0238942 # DEPENDENCYPART_SIBL
(4,8),(4,25),0.00574356 # DEPENDENCYPART_SIBL
(4,8),(4,28),-0.0915614 # DEPENDENCYPART_SIBL
(4,8),(4,29),-0.0307015 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.115183 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.132267 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.0951553 # DEPENDENCYPART_SIBL
(4,9),(4,18),0.144425 # DEPENDENCYPART_SIBL
(4,9),(4,19),0.0315038 # DEPENDENCYPART_SIBL
(4,9),(4,23),-0.0838104 # DEPENDENCYPART_SIBL
(4,9),(4,24),0.144425 # DEPENDENCYPART_SIBL
(4,9),(4,25),-0.0969131 # DEPENDENCYPART_SIBL
(4,9),(4,28),-0.11714 # DEPENDENCYPART_SIBL
(4,9),(4,29),0.0183819 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.0469469 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.000157139 # DEPENDENCYPART_SIBL
(4,10),(4,18),0.133376 # DEPENDENCYPART_SIBL
(4,10),(4,19),-0.0745706 # DEPENDENCYPART_SIBL
(4,10),(4,23),0.0362346 # DEPENDENCYPART_SIBL
(4,10),(4,24),0.133376 # DEPENDENCYPART_SIBL
(4,10),(4,25),0.153468 # DEPENDENCYPART_SIBL
(4,10),(4,28),0.0445528 # DEPENDENCYPART_SIBL
(4,10),(4,29),0.0293161 # DEPENDENCYPART_SIBL
(4,13),(4,14),0.0812004 # DEPENDENCYPART_SIBL
(4,13),(4,18),-0.00221957 # DEPENDENCYPART_SIBL
(4,13),(4,19),-0.0748458 # DEPENDENCYPART_SIBL
(4,13),(4,23),-0.0797159 # DEPENDENCYPART_SIBL
(4,13),(4,24),-0.00221957 # DEPENDENCYPART_SIBL
(4,13),(4,25),0.0225801 # DEPENDENCYPART_SIBL
(4,13),(4,28),-0.0890185 # DEPENDENCYPART_SIBL
(4,13),(4,29),-0.0457655 # DEPENDENCYPART_SIBL
(4,14),(4,18),0.104709 # DEPENDENCYPART_SIBL
(4,14),(4,19),-0.136161 # DEPENDENCYPART_SIBL
(4,14),(4,23),0.0807746 # DEPENDENCYPART_SIBL
(4,14),(4,24),0.104709 # DEPENDENCYPART_SIBL
(4,14),(4,25),0.23762 # DEPENDENCYPART_SIBL
(4,14),(4,28),0.107586 # DEPENDENCYPART_SIBL
(4,14),(4,29),-0.0231819 # DEPENDENCYPART_SIBL
(4,18),(4,19),1.0682 # DEPENDENCYPART_SIBL
(4,18),(4,23),0.641724 # DEPENDENCYPART_SIBL
(4,18),(4,24),0.0718491 # DEPENDENCYPART_SIBL
(4,18),(4,25),0.193702 # DEPENDENCYPART_SIBL
(4,18),(4,28),0.800398 # DEPENDENCYPART_SIBL
(4,18),(4,29),-0.0137238 # DEPENDENCYPART_SIBL
(4,19),(4,23),-0.0865088 # DEPENDENCYPART_SIBL
(4,19),(4,24),0.0714863 # DEPENDENCYPART_SIBL
(4,19),(4,25),-0.0502754 # DEPENDENCYPART_SIBL
(4,19),(4,28),-0.0703259 # DEPENDENCYPART_SIBL
(4,19),(4,29),-0.287289 # DEPENDENCYPART_SIBL
(4,23),(4,24),0.00593291 # DEPENDENCYPART_SIBL
(4,23),(4,25),-0.088452 # DEPENDENCYPART_SIBL
(4,23),(4,28),-0.12407 # DEPENDENCYPART_SIBL
(4,23),(4,29),-0.0489734 # DEPENDENCYPART_SIBL
(4,24),(4,25),0.193702 # DEPENDENCYPART_SIBL
(4,24),(4,28),0.800398 # DEPENDENCYPART_SIBL
(4,24),(4,29),-0.0137238 # DEPENDENCYPART_SIBL
(4,25),(4,28),0.197365 # DEPENDENCYPART_SIBL
(4,25),(4,29),0.0303787 # DEPENDENCYPART_SIBL
(4,28),(4,29),-0.0427834 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0732437 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.14883 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0939514 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0331072 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.00871097 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0111897 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0229867 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.0264331 # DEPENDENCYPART_SIBL
(5,1),(5,29),-0.026139 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0106799 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0766752 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.103674 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.088793 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.115599 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.207995 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.137055 # DEPENDENCYPART_SIBL
(5,2),(5,29),0.304641 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.111843 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0283823 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0183285 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0276245 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0156493 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.0505416 # DEPENDENCYPART_SIBL
(5,4),(5,29),-0.0514073 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.227142 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.718968 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.24668 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.176163 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.706634 # DEPENDENCYPART_SIBL
(5,6),(5,29),-0.129917 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.592319 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.14353 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.0091037 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.577587 # DEPENDENCYPART_SIBL
(5,7),(5,29),0.147671 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.29844 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.201274 # DEPENDENCYPART_SIBL
(5,8),(5,13),-1.11331 # DEPENDENCYPART_SIBL
(5,8),(5,29),0.0148792 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.142427 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.710878 # DEPENDENCYPART_SIBL
(5,9),(5,29),0.219305 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.32283 # DEPENDENCYPART_SIBL
(5,10),(5,29),0.0973301 # DEPENDENCYPART_SIBL
(5,13),(5,29),0.0770863 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0412911 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.104503 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.0342344 # DEPENDENCYPART_SIBL
(7,1),(7,8),0.0115002 # DEPENDENCYPART_SIBL
(7,1),(7,9),0.0304065 # DEPENDENCYPART_SIBL
(7,1),(7,10),0.0159469 # DEPENDENCYPART_SIBL
(7,1),(7,13),-0.00494757 # DEPENDENCYPART_SIBL
(7,1),(7,14),0.0034698 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.148399 # DEPENDENCYPART_SIBL
(7,4),(7,8),0.0340421 # DEPENDENCYPART_SIBL
(7,4),(7,9),0.0141281 # DEPENDENCYPART_SIBL
(7,4),(7,10),0.0285879 # DEPENDENCYPART_SIBL
(7,4),(7,13),0.051088 # DEPENDENCYPART_SIBL
(7,4),(7,14),-0.0336328 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.118306 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.0849145 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.061414 # DEPENDENCYPART_SIBL
(7,6),(7,13),0.118873 # DEPENDENCYPART_SIBL
(7,6),(7,14),0.473073 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.0486583 # DEPENDENCYPART_SIBL
(7,8),(7,10),0.016165 # DEPENDENCYPART_SIBL
(7,8),(7,13),-0.144506 # DEPENDENCYPART_SIBL
(7,8),(7,14),-0.0431231 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.123917 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.170509 # DEPENDENCYPART_SIBL
(7,9),(7,14),-0.151581 # DEPENDENCYPART_SIBL
(7,10),(7,13),0.0545266 # DEPENDENCYPART_SIBL
(7,10),(7,14),-0.166442 # DEPENDENCYPART_SIBL
(7,13),(7,14),0.0122283 # DEPENDENCYPART_SIBL
(8,1),(8,2),-0.00813946 # DEPENDENCYPART_SIBL
(8,1),(8,3),-0.0357461 # DEPENDENCYPART_SIBL
(8,1),(8,4),-0.0409932 # DEPENDENCYPART_SIBL
(8,1),(8,5),0.0513124 # DEPENDENCYPART_SIBL
(8,1),(8,6),-0.196992 # DEPENDENCYPART_SIBL
(8,1),(8,7),0.0365773 # DEPENDENCYPART_SIBL
(8,1),(8,9),-0.122412 # DEPENDENCYPART_SIBL
(8,1),(8,10),-0.0618895 # DEPENDENCYPART_SIBL
(8,1),(8,13),-0.0516533 # DEPENDENCYPART_SIBL
(8,1),(8,14),-0.0351886 # DEPENDENCYPART_SIBL
(8,1),(8,18),-0.0304625 # DEPENDENCYPART_SIBL
(8,1),(8,19),-0.0107731 # DEPENDENCYPART_SIBL
(8,1),(8,24),-0.0304625 # DEPENDENCYPART_SIBL
(8,1),(8,29),0.0788849 # DEPENDENCYPART_SIBL
(8,2),(8,3),0.195679 # DEPENDENCYPART_SIBL
(8,2),(8,4),0.108004 # DEPENDENCYPART_SIBL
(8,2),(8,5),0.0167889 # DEPENDENCYPART_SIBL
(8,2),(8,6),-0.119884 # DEPENDENCYPART_SIBL
(8,2),(8,7),0.103842 # DEPENDENCYPART_SIBL
(8,2),(8,9),-0.0883355 # DEPENDENCYPART_SIBL
(8,2),(8,10),0.0850701 # DEPENDENCYPART_SIBL
(8,2),(8,13),-0.0414487 # DEPENDENCYPART_SIBL
(8,2),(8,14),-0.0192738 # DEPENDENCYPART_SIBL
(8,2),(8,18),0.00691034 # DEPENDENCYPART_SIBL
(8,2),(8,19),0.0128235 # DEPENDENCYPART_SIBL
(8,2),(8,24),0.00691034 # DEPENDENCYPART_SIBL
(8,2),(8,29),0.201001 # DEPENDENCYPART_SIBL
(8,3),(8,4),0.124788 # DEPENDENCYPART_SIBL
(8,3),(8,5),-0.00783605 # DEPENDENCYPART_SIBL
(8,3),(8,6),-0.586267 # DEPENDENCYPART_SIBL
(8,3),(8,7),-0.0435618 # DEPENDENCYPART_SIBL
(8,3),(8,9),-0.00417092 # DEPENDENCYPART_SIBL
(8,3),(8,10),0.0784673 # DEPENDENCYPART_SIBL
(8,3),(8,13),0.148027 # DEPENDENCYPART_SIBL
(8,3),(8,14),0.245018 # DEPENDENCYPART_SIBL
(8,3),(8,18),0.239769 # DEPENDENCYPART_SIBL
(8,3),(8,19),0.0541346 # DEPENDENCYPART_SIBL
(8,3),(8,24),0.239769 # DEPENDENCYPART_SIBL
(8,3),(8,29),0.105052 # DEPENDENCYPART_SIBL
(8,4),(8,5),0.0231837 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.505505 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.0767212 # DEPENDENCYPART_SIBL
(8,4),(8,9),-0.0967857 # DEPENDENCYPART_SIBL
(8,4),(8,10),-0.0544056 # DEPENDENCYPART_SIBL
(8,4),(8,13),0.0385914 # DEPENDENCYPART_SIBL
(8,4),(8,14),-0.0769419 # DEPENDENCYPART_SIBL
(8,4),(8,18),0.00957513 # DEPENDENCYPART_SIBL
(8,4),(8,19),-0.0629403 # DEPENDENCYPART_SIBL
(8,4),(8,24),0.00957513 # DEPENDENCYPART_SIBL
(8,4),(8,29),-0.0299275 # DEPENDENCYPART_SIBL
(8,5),(8,6),-0.115565 # DEPENDENCYPART_SIBL
(8,5),(8,7),-0.0258094 # DEPENDENCYPART_SIBL
(8,5),(8,9),-0.157789 # DEPENDENCYPART_SIBL
(8,5),(8,10),0.0128126 # DEPENDENCYPART_SIBL
(8,5),(8,13),0.00107771 # DEPENDENCYPART_SIBL
(8,5),(8,14),0.108104 # DEPENDENCYPART_SIBL
(8,5),(8,18),0.0137164 # DEPENDENCYPART_SIBL
(8,5),(8,19),-0.0297324 # DEPENDENCYPART_SIBL
(8,5),(8,24),0.0137164 # DEPENDENCYPART_SIBL
(8,5),(8,29),0.00740025 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.351604 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.343086 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.540333 # DEPENDENCYPART_SIBL
(8,6),(8,13),-0.148963 # DEPENDENCYPART_SIBL
(8,6),(8,14),0.161544 # DEPENDENCYPART_SIBL
(8,6),(8,18),-0.110615 # DEPENDENCYPART_SIBL
(8,6),(8,19),-0.143093 # DEPENDENCYPART_SIBL
(8,6),(8,24),-0.110615 # DEPENDENCYPART_SIBL
(8,6),(8,29),-0.24396 # DEPENDENCYPART_SIBL
(8,7),(8,9),-0.15385 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.161631 # DEPENDENCYPART_SIBL
(8,7),(8,13),-0.102768 # DEPENDENCYPART_SIBL
(8,7),(8,14),-0.150014 # DEPENDENCYPART_SIBL
(8,7),(8,18),-0.0905177 # DEPENDENCYPART_SIBL
(8,7),(8,19),-0.0786084 # DEPENDENCYPART_SIBL
(8,7),(8,24),-0.0905177 # DEPENDENCYPART_SIBL
(8,7),(8,29),-0.0689761 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.0926736 # DEPENDENCYPART_SIBL
(8,9),(8,13),-0.123517 # DEPENDENCYPART_SIBL
(8,9),(8,14),-0.0779298 # DEPENDENCYPART_SIBL
(8,9),(8,18),0.239414 # DEPENDENCYPART_SIBL
(8,9),(8,19),0.133281 # DEPENDENCYPART_SIBL
(8,9),(8,24),0.239414 # DEPENDENCYPART_SIBL
(8,9),(8,29),0.0579767 # DEPENDENCYPART_SIBL
(8,10),(8,13),-0.000958381 # DEPENDENCYPART_SIBL
(8,10),(8,14),-0.0285787 # DEPENDENCYPART_SIBL
(8,10),(8,18),0.0821003 # DEPENDENCYPART_SIBL
(8,10),(8,19),-0.0161256 # DEPENDENCYPART_SIBL
(8,10),(8,24),0.0821003 # DEPENDENCYPART_SIBL
(8,10),(8,29),0.0185194 # DEPENDENCYPART_SIBL
(8,13),(8,14),0.0999897 # DEPENDENCYPART_SIBL
(8,13),(8,18),0.093315 # DEPENDENCYPART_SIBL
(8,13),(8,19),0.0131491 # DEPENDENCYPART_SIBL
(8,13),(8,24),0.093315 # DEPENDENCYPART_SIBL
(8,13),(8,29),-0.013719 # DEPENDENCYPART_SIBL
(8,14),(8,18),0.00937787 # DEPENDENCYPART_SIBL
(8,14),(8,19),-0.0967896 # DEPENDENCYPART_SIBL
(8,14),(8,24),0.00937787 # DEPENDENCYPART_SIBL
(8,14),(8,29),-0.0526367 # DEPENDENCYPART_SIBL
(8,18),(8,19),1.18216 # DEPENDENCYPART_SIBL
(8,18),(8,24),0.265435 # DEPENDENCYPART_SIBL
(8,18),(8,29),0.0398016 # DEPENDENCYPART_SIBL
(8,19),(8,24),0.166376 # DEPENDENCYPART_SIBL
(8,19),(8,29),-0.249977 # DEPENDENCYPART_SIBL
(8,24),(8,29),0.0398016 # DEPENDENCYPART_SIBL
(9,1),(9,2),-0.0256927 # DEPENDENCYPART_SIBL
(9,1),(9,4),-0.116943 # DEPENDENCYPART_SIBL
(9,1),(9,5),0.00249858 # DEPENDENCYPART_SIBL
(9,1),(9,6),-0.045243 # DEPENDENCYPART_SIBL
(9,1),(9,7),-0.027613 # DEPENDENCYPART_SIBL
(9,1),(9,8),-0.115049 # DEPENDENCYPART_SIBL
(9,1),(9,10),-0.1238 # DEPENDENCYPART_SIBL
(9,1),(9,13),-0.0163336 # DEPENDENCYPART_SIBL
(9,1),(9,14),-0.0935048 # DEPENDENCYPART_SIBL
(9,1),(9,15),-0.0105284 # DEPENDENCYPART_SIBL
(9,1),(9,18),8.83204e-05 # DEPENDENCYPART_SIBL
(9,1),(9,19),0.0454903 # DEPENDENCYPART_SIBL
(9,1),(9,21),0.0179002 # DEPENDENCYPART_SIBL
(9,1),(9,24),8.83204e-05 # DEPENDENCYPART_SIBL
(9,1),(9,25),-0.0659391 # DEPENDENCYPART_SIBL
(9,1),(9,29),0.131357 # DEPENDENCYPART_SIBL
(9,2),(9,4),0.0302871 # DEPENDENCYPART_SIBL
(9,2),(9,5),-0.0854013 # DEPENDENCYPART_SIBL
(9,2),(9,6),-0.000239342 # DEPENDENCYPART_SIBL
(9,2),(9,7),-0.0101734 # DEPENDENCYPART_SIBL
(9,2),(9,8),0.0303852 # DEPENDENCYPART_SIBL
(9,2),(9,10),-0.0186756 # DEPENDENCYPART_SIBL
(9,2),(9,13),-0.0355032 # DEPENDENCYPART_SIBL
(9,2),(9,14),-0.0682152 # DEPENDENCYPART_SIBL
(9,2),(9,15),0.0170378 # DEPENDENCYPART_SIBL
(9,2),(9,18),-0.020552 # DEPENDENCYPART_SIBL
(9,2),(9,19),0.0101006 # DEPENDENCYPART_SIBL
(9,2),(9,21),0.00102481 # DEPENDENCYPART_SIBL
(9,2),(9,24),-0.020552 # DEPENDENCYPART_SIBL
(9,2),(9,25),-0.0948542 # DEPENDENCYPART_SIBL
(9,2),(9,29),0.132618 # DEPENDENCYPART_SIBL
(9,4),(9,5),0.0375054 # DEPENDENCYPART_SIBL
(9,4),(9,6),-0.210669 # DEPENDENCYPART_SIBL
(9,4),(9,7),0.0202356 # DEPENDENCYPART_SIBL
(9,4),(9,8),-0.12627 # DEPENDENCYPART_SIBL
(9,4),(9,10),-0.0912723 # DEPENDENCYPART_SIBL
(9,4),(9,13),0.0272849 # DEPENDENCYPART_SIBL
(9,4),(9,14),-0.114659 # DEPENDENCYPART_SIBL
(9,4),(9,15),0.0200109 # DEPENDENCYPART_SIBL
(9,4),(9,18),-0.0662528 # DEPENDENCYPART_SIBL
(9,4),(9,19),0.00687587 # DEPENDENCYPART_SIBL
(9,4),(9,21),0.0273018 # DEPENDENCYPART_SIBL
(9,4),(9,24),-0.0662528 # DEPENDENCYPART_SIBL
(9,4),(9,25),-0.0659749 # DEPENDENCYPART_SIBL
(9,4),(9,29),0.153391 # DEPENDENCYPART_SIBL
(9,5),(9,6),0.0323524 # DEPENDENCYPART_SIBL
(9,5),(9,7),0.0110531 # DEPENDENCYPART_SIBL
(9,5),(9,8),0.00481905 # DEPENDENCYPART_SIBL
(9,5),(9,10),0.00706374 # DEPENDENCYPART_SIBL
(9,5),(9,13),0.035157 # DEPENDENCYPART_SIBL
(9,5),(9,14),-0.0489571 # DEPENDENCYPART_SIBL
(9,5),(9,15),0.104384 # DEPENDENCYPART_SIBL
(9,5),(9,18),0.0239284 # DEPENDENCYPART_SIBL
(9,5),(9,19),0.0100761 # DEPENDENCYPART_SIBL
(9,5),(9,21),-0.00266102 # DEPENDENCYPART_SIBL
(9,5),(9,24),0.0239284 # DEPENDENCYPART_SIBL
(9,5),(9,25),-0.065597 # DEPENDENCYPART_SIBL
(9,5),(9,29),0.0715108 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.107729 # DEPENDENCYPART_SIBL
(9,6),(9,8),0.0468739 # DEPENDENCYPART_SIBL
(9,6),(9,10),-0.241266 # DEPENDENCYPART_SIBL
(9,6),(9,13),-0.0381035 # DEPENDENCYPART_SIBL
(9,6),(9,14),0.249245 # DEPENDENCYPART_SIBL
(9,6),(9,15),-0.0950489 # DEPENDENCYPART_SIBL
(9,6),(9,18),0.0782557 # DEPENDENCYPART_SIBL
(9,6),(9,19),0.0922687 # DEPENDENCYPART_SIBL
(9,6),(9,21),0.00618275 # DEPENDENCYPART_SIBL
(9,6),(9,24),0.0782557 # DEPENDENCYPART_SIBL
(9,6),(9,25),-0.0101245 # DEPENDENCYPART_SIBL
(9,6),(9,29),-0.0418104 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.0208419 # DEPENDENCYPART_SIBL
(9,7),(9,10),-0.0943449 # DEPENDENCYPART_SIBL
(9,7),(9,13),-0.0187776 # DEPENDENCYPART_SIBL
(9,7),(9,14),-0.0770234 # DEPENDENCYPART_SIBL
(9,7),(9,15),0.00228749 # DEPENDENCYPART_SIBL
(9,7),(9,18),0.000265254 # DEPENDENCYPART_SIBL
(9,7),(9,19),0.0287202 # DEPENDENCYPART_SIBL
(9,7),(9,21),-0.0112256 # DEPENDENCYPART_SIBL
(9,7),(9,24),0.000265254 # DEPENDENCYPART_SIBL
(9,7),(9,25),0.0275166 # DEPENDENCYPART_SIBL
(9,7),(9,29),0.0308618 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.0833795 # DEPENDENCYPART_SIBL
(9,8),(9,13),-0.0149928 # DEPENDENCYPART_SIBL
(9,8),(9,14),-0.10532 # DEPENDENCYPART_SIBL
(9,8),(9,15),0.021227 # DEPENDENCYPART_SIBL
(9,8),(9,18),0.0249466 # DEPENDENCYPART_SIBL
(9,8),(9,19),0.0187709 # DEPENDENCYPART_SIBL
(9,8),(9,21),0.0257234 # DEPENDENCYPART_SIBL
(9,8),(9,24),0.0249466 # DEPENDENCYPART_SIBL
(9,8),(9,25),-0.0716842 # DEPENDENCYPART_SIBL
(9,8),(9,29),0.150066 # DEPENDENCYPART_SIBL
(9,10),(9,13),-0.311084 # DEPENDENCYPART_SIBL
(9,10),(9,14),-0.638185 # DEPENDENCYPART_SIBL
(9,10),(9,15),-0.389981 # DEPENDENCYPART_SIBL
(9,10),(9,18),-0.255202 # DEPENDENCYPART_SIBL
(9,10),(9,19),-0.28791 # DEPENDENCYPART_SIBL
(9,10),(9,21),-0.453044 # DEPENDENCYPART_SIBL
(9,10),(9,24),-0.255202 # DEPENDENCYPART_SIBL
(9,10),(9,25),-0.446458 # DEPENDENCYPART_SIBL
(9,10),(9,29),-0.175608 # DEPENDENCYPART_SIBL
(9,13),(9,14),-0.0791102 # DEPENDENCYPART_SIBL
(9,13),(9,15),-0.0747832 # DEPENDENCYPART_SIBL
(9,13),(9,18),0.0175903 # DEPENDENCYPART_SIBL
(9,13),(9,19),-0.0372649 # DEPENDENCYPART_SIBL
(9,13),(9,21),-0.294196 # DEPENDENCYPART_SIBL
(9,13),(9,24),0.0175903 # DEPENDENCYPART_SIBL
(9,13),(9,25),-0.0434991 # DEPENDENCYPART_SIBL
(9,13),(9,29),0.028749 # DEPENDENCYPART_SIBL
(9,14),(9,15),-0.332651 # DEPENDENCYPART_SIBL
(9,14),(9,18),-0.244013 # DEPENDENCYPART_SIBL
(9,14),(9,19),-0.317074 # DEPENDENCYPART_SIBL
(9,14),(9,21),-0.267406 # DEPENDENCYPART_SIBL
(9,14),(9,24),-0.244013 # DEPENDENCYPART_SIBL
(9,14),(9,25),-0.507308 # DEPENDENCYPART_SIBL
(9,14),(9,29),-0.23562 # DEPENDENCYPART_SIBL
(9,15),(9,18),-0.0437075 # DEPENDENCYPART_SIBL
(9,15),(9,19),0.00667754 # DEPENDENCYPART_SIBL
(9,15),(9,21),-0.310296 # DEPENDENCYPART_SIBL
(9,15),(9,24),-0.0437075 # DEPENDENCYPART_SIBL
(9,15),(9,25),-0.00129818 # DEPENDENCYPART_SIBL
(9,15),(9,29),0.0140083 # DEPENDENCYPART_SIBL
(9,18),(9,19),0.658357 # DEPENDENCYPART_SIBL
(9,18),(9,21),0.099273 # DEPENDENCYPART_SIBL
(9,18),(9,24),-0.0654143 # DEPENDENCYPART_SIBL
(9,18),(9,25),0.0618485 # DEPENDENCYPART_SIBL
(9,18),(9,29),0.0222144 # DEPENDENCYPART_SIBL
(9,19),(9,21),0.135241 # DEPENDENCYPART_SIBL
(9,19),(9,24),0.105398 # DEPENDENCYPART_SIBL
(9,19),(9,25),-0.0402688 # DEPENDENCYPART_SIBL
(9,19),(9,29),-0.045262 # DEPENDENCYPART_SIBL
(9,21),(9,24),0.140269 # DEPENDENCYPART_SIBL
(9,21),(9,25),0.0802156 # DEPENDENCYPART_SIBL
(9,21),(9,29),0.101966 # DEPENDENCYPART_SIBL
(9,24),(9,25),0.0618485 # DEPENDENCYPART_SIBL
(9,24),(9,29),0.0222144 # DEPENDENCYPART_SIBL
(9,25),(9,29),-0.0896151 # DEPENDENCYPART_SIBL
(10,4),(10,5),0.161077 # DEPENDENCYPART_SIBL
(10,4),(10,7),-0.0161337 # DEPENDENCYPART_SIBL
(10,4),(10,8),-0.245242 # DEPENDENCYPART_SIBL
(10,4),(10,9),-0.0227372 # DEPENDENCYPART_SIBL
(10,4),(10,11),-0.0928809 # DEPENDENCYPART_SIBL
(10,4),(10,12),-0.051724 # DEPENDENCYPART_SIBL
(10,4),(10,13),-0.0302225 # DEPENDENCYPART_SIBL
(10,4),(10,14),-0.0915434 # DEPENDENCYPART_SIBL
(10,4),(10,15),-0.0877264 # DEPENDENCYPART_SIBL
(10,4),(10,17),-0.117611 # DEPENDENCYPART_SIBL
(10,4),(10,18),-0.217392 # DEPENDENCYPART_SIBL
(10,4),(10,19),-0.152138 # DEPENDENCYPART_SIBL
(10,4),(10,21),-0.112203 # DEPENDENCYPART_SIBL
(10,4),(10,25),-0.079968 # DEPENDENCYPART_SIBL
(10,4),(10,29),0.00577849 # DEPENDENCYPART_SIBL
(10,5),(10,7),0.0106789 # DEPENDENCYPART_SIBL
(10,5),(10,8),-0.0235822 # DEPENDENCYPART_SIBL
(10,5),(10,9),-0.038504 # DEPENDENCYPART_SIBL
(10,5),(10,11),-0.0432476 # DEPENDENCYPART_SIBL
(10,5),(10,12),0.0176906 # DEPENDENCYPART_SIBL
(10,5),(10,13),0.0384603 # DEPENDENCYPART_SIBL
(10,5),(10,14),0.0311744 # DEPENDENCYPART_SIBL
(10,5),(10,15),-0.0119624 # DEPENDENCYPART_SIBL
(10,5),(10,17),0.00826371 # DEPENDENCYPART_SIBL
(10,5),(10,18),-0.107464 # DEPENDENCYPART_SIBL
(10,5),(10,19),-0.155266 # DEPENDENCYPART_SIBL
(10,5),(10,21),-0.145516 # DEPENDENCYPART_SIBL
(10,5),(10,25),-0.031468 # DEPENDENCYPART_SIBL
(10,5),(10,29),0.139811 # DEPENDENCYPART_SIBL
(10,7),(10,8),-0.0670104 # DEPENDENCYPART_SIBL
(10,7),(10,9),0.00120125 # DEPENDENCYPART_SIBL
(10,7),(10,11),-0.071801 # DEPENDENCYPART_SIBL
(10,7),(10,12),-0.0493971 # DEPENDENCYPART_SIBL
(10,7),(10,13),-0.0897111 # DEPENDENCYPART_SIBL
