# _root_ He received $ 724,579 for the shares , according to insider filings with the Securities and Exchange Commission .
#goldHeads=2,0,4,2,2,7,5,2,2,9,12,10,12,18,16,18,16,13,2,
#predictedHeads=2,0,4,2,2,7,5,2,2,9,12,10,12,18,16,18,16,13,2,
(2,13),(13,13),(13,16),0.00832414 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,13),(13,13),(13,17),0.0692713 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,13),(13,13),(13,18),0.062968 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,13),(13,13),(13,19),-0.0213501 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,13),(13,13),(13,20),-0.104291 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,13),(13,14),(13,15),-0.0253813 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,14),(13,16),-0.0194544 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,14),(13,17),-0.0253813 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,14),(13,18),-0.0253813 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,14),(13,19),-0.0194985 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,14),(13,20),0.0199545 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,15),(13,16),-0.0384049 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,15),(13,17),-0.0568864 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,15),(13,18),-0.056583 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,15),(13,19),-0.0211349 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,15),(13,20),0.125698 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,16),(13,17),-0.140092 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,16),(13,18),-0.199562 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,16),(13,19),0.11015 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,16),(13,20),0.0299806 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,17),(13,18),-0.056583 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,17),(13,19),-0.0211349 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,17),(13,20),0.144377 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,18),(13,19),-0.0211349 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,18),(13,20),0.13723 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,19),(13,20),-0.0242666 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,13),(13,12),0.0628796 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,13),(13,13),(13,11),0.0654086 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,13),(13,13),(13,10),0.108263 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,13),(13,13),(13,-1),0.0667939 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,13),(13,12),(13,11),0.105068 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,12),(13,10),0.111649 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,12),(13,-1),-0.211455 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,11),(13,10),0.111649 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,11),(13,-1),-0.208907 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,10),(13,-1),-0.146981 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,16),(16,17),-0.0180007 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,18),-0.0182954 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,19),-0.00732112 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,20),-0.160002 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,16),(16,17),(16,18),0.0599288 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,17),(16,19),-0.0207308 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,17),(16,20),0.0160163 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,18),(16,19),-0.0207308 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,18),(16,20),0.0156593 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,19),(16,20),-0.030308 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,16),(16,15),0.143274 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,14),0.0635585 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,13),0.132667 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,12),0.146264 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,11),0.146264 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,10),0.129207 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,9),0.168505 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,8),0.0638402 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,7),0.148182 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,6),0.0635585 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,5),0.133232 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,4),0.0752241 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,3),0.136082 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,2),0.168766 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,1),-0.144734 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,-1),-0.155659 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,16),(16,15),(16,14),0.145651 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,15),(16,13),0.062827 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,15),(16,12),0.0835923 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,15),(16,11),0.0835923 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,15),(16,10),0.0831046 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,15),(16,9),0.113686 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,15),(16,8),0.225552 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,15),(16,7),0.0835923 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,15),(16,6),0.145651 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,15),(16,5),0.0813011 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,15),(16,4),0.113944 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,15),(16,3),0.101341 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,15),(16,2),0.113693 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,15),(16,1),-0.144723 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,15),(16,-1),-0.16499 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,14),(16,13),0.1119 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,14),(16,12),0.115142 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,14),(16,11),0.115142 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,14),(16,10),0.107825 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,14),(16,9),0.10582 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,14),(16,8),0.103386 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,14),(16,7),0.115142 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,14),(16,6),0.109513 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,14),(16,5),0.111899 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,14),(16,4),0.108448 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,14),(16,3),0.10954 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,14),(16,2),0.105764 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,14),(16,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,14),(16,-1),-0.138343 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,13),(16,12),0.105595 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,13),(16,11),0.105595 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,13),(16,10),0.102593 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,13),(16,9),0.0938949 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,13),(16,8),0.0787471 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,13),(16,7),0.105592 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,13),(16,6),0.101807 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,13),(16,5),0.100804 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,13),(16,4),0.108348 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,13),(16,3),0.109061 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,13),(16,2),0.0938946 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,13),(16,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,13),(16,-1),-0.066825 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,12),(16,11),0.0836597 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,12),(16,10),0.0831046 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,12),(16,9),0.113687 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,12),(16,8),0.225661 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,12),(16,7),0.0836597 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,12),(16,6),0.145686 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,12),(16,5),0.0813015 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,12),(16,4),0.113944 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,12),(16,3),0.101341 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,12),(16,2),0.113694 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,12),(16,1),-0.144723 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,12),(16,-1),-0.162494 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,11),(16,10),0.0831046 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,11),(16,9),0.113687 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,11),(16,8),0.225661 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,11),(16,7),0.0836597 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,11),(16,6),0.145686 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,11),(16,5),0.0813015 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,11),(16,4),0.113944 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,11),(16,3),0.101341 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,11),(16,2),0.113694 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,11),(16,1),-0.144723 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,11),(16,-1),-0.162234 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,10),(16,9),0.0884505 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,10),(16,8),0.123364 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,10),(16,7),0.0915292 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,10),(16,6),0.109101 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,10),(16,5),0.105306 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,10),(16,4),0.117324 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,10),(16,3),0.104414 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,10),(16,2),0.0886407 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,10),(16,1),-0.144835 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,10),(16,-1),-0.0924983 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,9),(16,8),0.113778 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,9),(16,7),0.0873797 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,9),(16,6),0.0966326 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,9),(16,5),0.115273 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,9),(16,4),0.105164 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,9),(16,3),0.104564 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,9),(16,2),0.0601632 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,9),(16,1),-0.144808 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,9),(16,-1),-0.140105 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,8),(16,7),0.232926 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,8),(16,6),0.0986367 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,8),(16,5),0.144727 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,8),(16,4),0.110095 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,8),(16,3),0.09519 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,8),(16,2),0.136382 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,8),(16,1),-0.144724 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,8),(16,-1),-0.169036 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,7),(16,6),0.145686 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,7),(16,5),0.0812993 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,7),(16,4),0.113842 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,7),(16,3),0.101341 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,7),(16,2),0.113682 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,7),(16,1),-0.144723 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,7),(16,-1),-0.152815 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,6),(16,5),0.111899 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,6),(16,4),0.108448 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,6),(16,3),0.10954 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,6),(16,2),0.105764 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,6),(16,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,6),(16,-1),-0.138343 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,5),(16,4),0.108345 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,5),(16,3),0.109061 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,5),(16,2),0.0938034 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,5),(16,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,5),(16,-1),-0.0579976 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,4),(16,3),0.120414 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,4),(16,2),0.107401 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,4),(16,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,4),(16,-1),-0.201754 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,3),(16,2),0.102465 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,3),(16,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,3),(16,-1),-0.13885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,2),(16,1),-0.144808 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,2),(16,-1),-0.139507 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,16),(16,1),(16,-1),-0.164501 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,19),(19,19),(19,20),-0.00554105 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,19),(19,19),(19,-1),0.0209513 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,4),(4,4),(4,5),-0.0511457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,4),(4,4),(4,6),-0.0306081 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,4),(4,4),(4,8),-0.0215119 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,4),(4,4),(4,9),-0.0259197 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,4),(4,4),(4,13),-0.0511211 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,4),(4,4),(4,16),-0.0212488 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,4),(4,4),(4,18),-0.0506747 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,4),(4,4),(4,20),0.27859 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,4),(4,5),(4,6),-0.0194462 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,5),(4,8),-0.0195834 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,5),(4,9),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,5),(4,13),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,5),(4,16),-0.019482 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,5),(4,18),-0.0195832 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,5),(4,20),-0.0504783 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,4),(4,6),(4,8),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,6),(4,9),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,6),(4,13),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,6),(4,16),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,6),(4,18),-0.0208474 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,6),(4,20),-0.0280157 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,4),(4,8),(4,9),-0.019444 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,8),(4,13),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,8),(4,16),-0.0204318 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,8),(4,18),-0.0195448 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,8),(4,20),-0.0203398 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,4),(4,9),(4,13),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,9),(4,16),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,9),(4,18),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,9),(4,20),-0.0259234 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,4),(4,13),(4,16),-0.019482 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,13),(4,18),-0.0195832 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,13),(4,20),-0.0504538 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,4),(4,16),(4,18),0.0474566 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,16),(4,20),-0.0222556 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,4),(4,18),(4,20),-0.0506577 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,4),(4,4),(4,3),0.101002 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,4),(4,4),(4,-1),0.0481048 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,4),(4,3),(4,-1),-0.15324 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,5),(5,5),(5,6),-0.0150276 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,5),(5,5),(5,7),0.0447457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,5),(5,5),(5,8),-0.0204367 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,5),(5,5),(5,9),-0.0446135 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,5),(5,5),(5,10),-0.0194405 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,5),(5,5),(5,12),0.0475319 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,5),(5,5),(5,13),-0.0159423 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,5),(5,5),(5,16),0.00126775 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,5),(5,5),(5,18),0.0475319 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,5),(5,5),(5,20),-0.0198572 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,5),(5,6),(5,7),-0.0195387 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,6),(5,8),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,6),(5,9),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,6),(5,10),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,6),(5,12),-0.0195387 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,6),(5,13),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,6),(5,16),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,6),(5,18),-0.0195387 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,6),(5,20),-0.0148804 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,7),(5,8),-0.0194586 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,7),(5,9),-0.0198238 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,7),(5,10),-0.0202398 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,7),(5,12),-0.022179 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,7),(5,13),-0.0197008 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,7),(5,16),-0.0208383 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,7),(5,18),-0.022179 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,7),(5,20),0.050559 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,8),(5,9),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,8),(5,10),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,8),(5,12),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,8),(5,13),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,8),(5,16),-0.0194646 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,8),(5,18),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,8),(5,20),-0.0194405 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,9),(5,10),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,9),(5,12),-0.0194462 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,9),(5,13),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,9),(5,16),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,9),(5,18),-0.0194462 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,9),(5,20),-0.0451642 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,10),(5,12),-0.0199309 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,10),(5,13),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,10),(5,16),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,10),(5,18),-0.0199309 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,10),(5,20),-0.0198525 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,12),(5,13),-0.0197008 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,12),(5,16),-0.0208383 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,12),(5,18),-0.022179 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,12),(5,20),0.0533452 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,13),(5,16),-0.0194477 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,13),(5,18),-0.0197108 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,13),(5,20),-0.0159316 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,16),(5,18),0.0474446 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,16),(5,20),-0.000598843 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,18),(5,20),0.0533452 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,5),(5,4),0.109343 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,5),(5,5),(5,3),0.109424 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,5),(5,5),(5,-1),-0.074378 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,5),(5,4),(5,3),0.10954 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,4),(5,-1),-0.144997 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,3),(5,-1),-0.144872 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,6),(6,6),(6,8),-0.0194405 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,6),(6,6),(6,9),-0.0194412 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,6),(6,6),(6,20),-0.0516113 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,6),(6,8),(6,9),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,8),(6,20),-0.0194405 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,6),(6,9),(6,20),-0.0194412 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,6),(6,6),(6,5),0.105785 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,6),(6,6),(6,-1),-0.171675 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,6),(6,5),(6,-1),-0.148458 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,7),(7,7),(7,8),-0.026283 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,7),(7,9),-0.0290225 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,7),(7,10),-0.0213465 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,7),(7,12),-0.0152933 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,7),(7,13),-0.0430217 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,7),(7,16),-0.0220727 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,7),(7,19),-0.0209464 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,7),(7,20),-0.0455789 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,7),(7,8),(7,9),-0.0258145 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,8),(7,10),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,8),(7,12),-0.0197353 # DEPENDENCYPART_GRANDSIBL
