# _root_ Institutional building , such as hospitals and schools , eased in September following a surge in August .
#goldHeads=10,1,1,5,1,7,5,7,1,0,10,11,10,15,13,15,16,10,
#predictedHeads=10,10,2,5,2,7,5,7,10,0,10,11,10,15,13,15,16,10,
(2,8),(8,10),(8,13),-0.00608496 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,10),(8,15),-0.0298479 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,10),(8,19),-0.0236312 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,8),(8,11),(8,13),-0.0156881 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,11),(8,15),-0.042581 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,11),(8,19),-0.0545977 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,8),(8,13),(8,15),-0.0298479 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,13),(8,19),-0.0286531 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,8),(8,15),(8,19),-0.00656182 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,8),(8,8),(8,7),0.119747 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,6),0.026687 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,5),0.163987 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,4),0.129927 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,3),0.0482495 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,2),0.12672 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,1),-0.155976 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,-1),-0.17659 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,8),(8,7),(8,6),-0.0855798 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,7),(8,5),0.182095 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,7),(8,4),0.129013 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,7),(8,3),0.132553 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,7),(8,2),0.114053 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,7),(8,1),0.131691 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,7),(8,-1),-0.142243 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,8),(8,6),(8,5),0.0856944 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,6),(8,4),0.111885 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,6),(8,3),0.138456 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,6),(8,2),0.132294 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,6),(8,1),-0.145686 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,6),(8,-1),-0.114514 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,8),(8,5),(8,4),0.0873073 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,5),(8,3),0.0843757 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,5),(8,2),0.113051 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,5),(8,1),-0.146327 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,5),(8,-1),-0.0419691 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,8),(8,4),(8,3),0.141075 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,4),(8,2),0.103946 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,4),(8,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,4),(8,-1),-0.0910692 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,8),(8,3),(8,2),0.122055 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,3),(8,1),-0.146717 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,3),(8,-1),-0.138741 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,8),(8,2),(8,1),-0.144892 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,2),(8,-1),-0.140166 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,8),(8,1),(8,-1),-0.0903211 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,9),(9,9),(9,19),0.0330245 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,9),(9,9),(9,-1),-0.109378 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,10),(10,10),(10,11),-0.0548269 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,10),(10,12),0.0360935 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,10),(10,13),-0.0719187 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,10),(10,15),0.0328672 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,10),(10,16),-0.0548269 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,10),(10,18),-0.0411165 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,10),(10,19),0.083412 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,10),(10,11),(10,12),0.000575715 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,11),(10,13),-0.0351653 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,11),(10,15),0.000580999 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,11),(10,16),-0.0446468 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,11),(10,18),-0.0338955 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,11),(10,19),0.0162909 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,12),(10,13),-0.0445002 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,12),(10,15),-0.00289078 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,12),(10,16),-0.0328459 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,12),(10,18),-0.0145716 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,12),(10,19),-0.0279407 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,13),(10,15),-0.0291435 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,13),(10,16),-0.0258042 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,13),(10,18),-0.00237462 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,13),(10,19),-0.0342944 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,15),(10,16),-0.0330304 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,15),(10,18),-0.0145716 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,15),(10,19),-0.0326039 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,16),(10,18),-0.0338955 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,16),(10,19),0.0162909 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,18),(10,19),-0.0327537 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,10),(10,9),0.112 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,10),(10,8),0.15447 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,10),(10,7),0.015835 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,10),(10,6),0.156554 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,10),(10,5),-0.0483059 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,10),(10,4),0.144534 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,10),(10,3),0.112 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,10),(10,2),0.137902 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,10),(10,1),-0.158974 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,10),(10,-1),-0.241373 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,10),(10,9),(10,8),0.120038 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,9),(10,7),0.122824 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,9),(10,6),0.120038 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,9),(10,5),0.0574466 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,9),(10,4),0.0989174 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,9),(10,3),0.113096 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,9),(10,2),0.136635 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,9),(10,1),-0.145198 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,9),(10,-1),-0.118072 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,8),(10,7),0.0851602 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,8),(10,6),0.098377 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,8),(10,5),0.282275 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,8),(10,4),0.0984126 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,8),(10,3),0.100925 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,8),(10,2),0.104577 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,8),(10,1),-0.145005 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,8),(10,-1),-0.167881 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,7),(10,6),-0.0962933 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,7),(10,5),0.19573 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,7),(10,4),0.113119 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,7),(10,3),0.0373182 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,7),(10,2),0.104054 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,7),(10,1),0.133219 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,7),(10,-1),-0.206115 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,6),(10,5),0.282275 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,6),(10,4),0.0984126 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,6),(10,3),0.100925 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,6),(10,2),0.104577 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,6),(10,1),-0.145005 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,6),(10,-1),-0.164647 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,5),(10,4),0.119565 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,5),(10,3),0.0831937 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,5),(10,2),0.110123 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,5),(10,1),-0.144857 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,5),(10,-1),-0.110333 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,4),(10,3),0.110534 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,4),(10,2),0.101023 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,4),(10,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,4),(10,-1),-0.126757 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,3),(10,2),0.136635 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,3),(10,1),-0.145198 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,3),(10,-1),-0.118072 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,2),(10,1),-0.145245 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,2),(10,-1),-0.143299 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,10),(10,1),(10,-1),-0.126777 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,11),(11,11),(11,12),0.0634763 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,11),(11,11),(11,13),0.0194443 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,11),(11,11),(11,15),0.0485874 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,11),(11,11),(11,16),-0.0451491 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,11),(11,11),(11,19),-0.0668088 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,11),(11,12),(11,13),-0.0349581 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,12),(11,15),-0.059017 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,12),(11,16),0.0514564 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,12),(11,19),0.105198 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,11),(11,13),(11,15),-0.0236227 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,13),(11,16),-0.017761 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,13),(11,19),-0.0553923 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,11),(11,15),(11,16),0.0514484 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,15),(11,19),0.0899563 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,11),(11,16),(11,19),-0.0261959 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,11),(11,11),(11,9),0.103127 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,11),(11,11),(11,-1),0.0504847 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,11),(11,9),(11,-1),-0.154153 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,13),(13,14),-0.0395986 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,13),(13,13),(13,15),0.0424431 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,13),(13,13),(13,16),-0.0603885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,13),(13,13),(13,17),0.0448622 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,13),(13,13),(13,18),-0.0411165 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,13),(13,13),(13,19),0.0976949 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,13),(13,14),(13,15),-0.0237222 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,14),(13,16),-0.0144361 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,14),(13,17),-0.0237222 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,14),(13,18),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,14),(13,19),-0.0405849 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,15),(13,16),-0.0402108 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,15),(13,17),-0.00580899 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,15),(13,18),-0.0145716 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,15),(13,19),-0.0193477 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,16),(13,17),0.000580936 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,16),(13,18),-0.0338955 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,16),(13,19),0.00854727 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,17),(13,18),-0.0145716 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,17),(13,19),-0.0171653 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,18),(13,19),-0.0327537 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,13),(13,12),0.161488 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,13),(13,13),(13,11),-0.0437191 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,13),(13,13),(13,10),0.140332 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,13),(13,13),(13,9),0.11193 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,13),(13,13),(13,5),-0.0483097 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,13),(13,13),(13,-1),-0.236362 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,13),(13,12),(13,11),0.207404 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,12),(13,10),0.104629 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,12),(13,9),0.100925 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,12),(13,5),0.2823 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,12),(13,-1),-0.15834 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,11),(13,10),0.10806 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,11),(13,9),0.0758109 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,11),(13,5),0.105405 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,11),(13,-1),-0.132498 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,10),(13,9),0.192457 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,10),(13,5),0.117537 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,10),(13,-1),-0.140951 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,9),(13,5),0.0566912 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,9),(13,-1),-0.118096 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,5),(13,-1),-0.110259 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,16),(16,17),0.0567278 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,18),-0.0213501 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,19),-0.0668088 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,16),(16,17),(16,18),-0.0219821 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,17),(16,19),0.100223 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,18),(16,19),-0.0251138 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,16),(16,15),0.112775 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,14),0.114903 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,13),0.132102 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,-1),0.0504847 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,16),(16,15),(16,14),0.106806 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,15),(16,13),0.107999 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,15),(16,-1),-0.165347 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,14),(16,13),0.109521 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,14),(16,-1),-0.178586 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,13),(16,-1),-0.10867 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,18),(18,18),(18,19),-0.00751591 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,18),(18,18),(18,16),0.0996059 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,18),(18,18),(18,-1),0.0188555 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,18),(18,16),(18,-1),-0.164965 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,5),(5,6),-0.0450749 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,5),(5,5),(5,7),-0.0232557 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,5),(5,5),(5,8),-0.0450749 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,5),(5,5),(5,9),-0.0194777 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,5),(5,5),(5,10),-0.0300521 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,5),(5,5),(5,11),-0.0199926 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,5),(5,5),(5,13),-0.0300521 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,5),(5,5),(5,16),-0.0199926 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,5),(5,5),(5,19),-0.0321878 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,5),(5,6),(5,7),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,6),(5,8),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,6),(5,9),-0.019455 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,6),(5,10),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,6),(5,11),-0.0203067 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,6),(5,13),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,6),(5,16),-0.0203067 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,6),(5,19),-0.0444437 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,7),(5,8),0.0402846 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,7),(5,9),0.147808 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,7),(5,10),0.106873 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,7),(5,11),0.123598 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,7),(5,13),0.158894 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,7),(5,16),0.123222 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,7),(5,19),-0.0232574 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,8),(5,9),-0.019455 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,8),(5,10),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,8),(5,11),-0.0203067 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,8),(5,13),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,8),(5,16),-0.0203067 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,8),(5,19),-0.0444437 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,9),(5,10),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,9),(5,11),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,9),(5,13),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,9),(5,16),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,9),(5,19),-0.0195511 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,10),(5,11),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,10),(5,13),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,10),(5,16),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,10),(5,19),-0.0300657 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,11),(5,13),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,11),(5,16),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,11),(5,19),-0.0212743 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,13),(5,16),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,13),(5,19),-0.0300657 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,16),(5,19),-0.0212743 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,5),(5,4),0.109517 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,5),(5,5),(5,3),0.10954 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,5),(5,5),(5,2),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,5),(5,5),(5,-1),-0.247774 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,5),(5,4),(5,3),0.10954 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,4),(5,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,4),(5,-1),-0.144725 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,3),(5,2),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,5),(5,3),(5,-1),-0.144701 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,5),(5,2),(5,-1),-0.144705 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,1),(1,1),(1,2),0.108578 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,1),(1,3),0.104454 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,1),(1,4),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,1),(1,5),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,1),(1,7),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,1),(1,9),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,1),(1,10),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,1),(1,15),-0.146118 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,1),(1,18),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,1),(1,19),-0.0714251 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,1),(1,2),(1,3),0.10954 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,2),(1,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,2),(1,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,2),(1,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,2),(1,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,2),(1,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,2),(1,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,2),(1,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,2),(1,19),-0.145531 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,1),(1,3),(1,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,3),(1,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,3),(1,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,3),(1,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,3),(1,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,3),(1,15),-0.144713 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,3),(1,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,3),(1,19),-0.146611 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,1),(1,4),(1,5),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,4),(1,7),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,4),(1,9),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,4),(1,10),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,4),(1,15),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,4),(1,18),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
