# _root_ These firms , which often have acquired a local brokerage firm , are calling the shots when it comes to deciding in which market to transact a trade .
#goldHeads=2,13,2,6,6,2,6,11,11,11,7,2,0,13,16,14,19,19,14,19,20,26,24,22,26,21,28,26,13,
#predictedHeads=2,13,2,6,6,2,6,11,11,11,7,2,0,13,16,14,19,19,14,21,19,26,22,26,26,21,28,26,13,
(19,15),(19,18),-0.113063 # DEPENDENCYPART_SIBL
(19,15),(19,20),-0.0534068 # DEPENDENCYPART_SIBL
(19,15),(19,21),-0.0843642 # DEPENDENCYPART_SIBL
(19,15),(19,22),0.0232656 # DEPENDENCYPART_SIBL
(19,15),(19,24),-0.111327 # DEPENDENCYPART_SIBL
(19,15),(19,25),-0.0534068 # DEPENDENCYPART_SIBL
(19,15),(19,26),-0.0813891 # DEPENDENCYPART_SIBL
(19,15),(19,28),-0.0675298 # DEPENDENCYPART_SIBL
(19,15),(19,29),-0.0783573 # DEPENDENCYPART_SIBL
(19,16),(19,17),-0.0906721 # DEPENDENCYPART_SIBL
(19,16),(19,18),-0.0513793 # DEPENDENCYPART_SIBL
(19,16),(19,20),0.0469676 # DEPENDENCYPART_SIBL
(19,16),(19,21),0.00655335 # DEPENDENCYPART_SIBL
(19,16),(19,22),-0.010447 # DEPENDENCYPART_SIBL
(19,16),(19,24),-0.0341255 # DEPENDENCYPART_SIBL
(19,16),(19,25),0.0469676 # DEPENDENCYPART_SIBL
(19,16),(19,26),0.000832115 # DEPENDENCYPART_SIBL
(19,16),(19,28),-0.0133038 # DEPENDENCYPART_SIBL
(19,16),(19,29),0.0272724 # DEPENDENCYPART_SIBL
(19,17),(19,18),0.0449699 # DEPENDENCYPART_SIBL
(19,17),(19,20),0.188654 # DEPENDENCYPART_SIBL
(19,17),(19,21),-0.158275 # DEPENDENCYPART_SIBL
(19,17),(19,22),0.0935888 # DEPENDENCYPART_SIBL
(19,17),(19,24),0.109535 # DEPENDENCYPART_SIBL
(19,17),(19,25),0.188654 # DEPENDENCYPART_SIBL
(19,17),(19,26),-0.160727 # DEPENDENCYPART_SIBL
(19,17),(19,28),0.089449 # DEPENDENCYPART_SIBL
(19,17),(19,29),-0.231367 # DEPENDENCYPART_SIBL
(19,18),(19,20),-0.0259433 # DEPENDENCYPART_SIBL
(19,18),(19,21),0.0446368 # DEPENDENCYPART_SIBL
(19,18),(19,22),0.00937046 # DEPENDENCYPART_SIBL
(19,18),(19,24),-0.00206157 # DEPENDENCYPART_SIBL
(19,18),(19,25),-0.0259433 # DEPENDENCYPART_SIBL
(19,18),(19,26),0.0423304 # DEPENDENCYPART_SIBL
(19,18),(19,28),0.031309 # DEPENDENCYPART_SIBL
(19,18),(19,29),0.0108867 # DEPENDENCYPART_SIBL
(19,20),(19,21),-0.00091347 # DEPENDENCYPART_SIBL
(19,20),(19,22),0.0242096 # DEPENDENCYPART_SIBL
(19,20),(19,24),-0.0146178 # DEPENDENCYPART_SIBL
(19,20),(19,25),-0.130876 # DEPENDENCYPART_SIBL
(19,20),(19,26),-0.0155392 # DEPENDENCYPART_SIBL
(19,20),(19,28),-0.0193835 # DEPENDENCYPART_SIBL
(19,20),(19,29),0.0217762 # DEPENDENCYPART_SIBL
(19,21),(19,22),0.0163388 # DEPENDENCYPART_SIBL
(19,21),(19,24),-0.000374416 # DEPENDENCYPART_SIBL
(19,21),(19,25),-0.0387157 # DEPENDENCYPART_SIBL
(19,21),(19,26),-0.0162081 # DEPENDENCYPART_SIBL
(19,21),(19,28),-0.00813942 # DEPENDENCYPART_SIBL
(19,21),(19,29),0.046356 # DEPENDENCYPART_SIBL
(19,22),(19,24),0.00620098 # DEPENDENCYPART_SIBL
(19,22),(19,25),-0.093044 # DEPENDENCYPART_SIBL
(19,22),(19,26),-0.0272047 # DEPENDENCYPART_SIBL
(19,22),(19,28),-0.00210668 # DEPENDENCYPART_SIBL
(19,22),(19,29),2.37673e-06 # DEPENDENCYPART_SIBL
(19,24),(19,25),0.0204912 # DEPENDENCYPART_SIBL
(19,24),(19,26),-0.00683359 # DEPENDENCYPART_SIBL
(19,24),(19,28),-0.0271303 # DEPENDENCYPART_SIBL
(19,24),(19,29),0.0343678 # DEPENDENCYPART_SIBL
(19,25),(19,26),-0.0155392 # DEPENDENCYPART_SIBL
(19,25),(19,28),-0.0193835 # DEPENDENCYPART_SIBL
(19,25),(19,29),0.0217762 # DEPENDENCYPART_SIBL
(19,26),(19,28),-0.0100607 # DEPENDENCYPART_SIBL
(19,26),(19,29),0.0377525 # DEPENDENCYPART_SIBL
(19,28),(19,29),0.0317723 # DEPENDENCYPART_SIBL
(20,21),(20,22),0.0304149 # DEPENDENCYPART_SIBL
(20,21),(20,24),-0.0252358 # DEPENDENCYPART_SIBL
(20,21),(20,25),0.0294796 # DEPENDENCYPART_SIBL
(20,21),(20,28),-0.0266927 # DEPENDENCYPART_SIBL
(20,22),(20,24),-0.0200597 # DEPENDENCYPART_SIBL
(20,22),(20,25),0.0120388 # DEPENDENCYPART_SIBL
(20,22),(20,28),-0.0187687 # DEPENDENCYPART_SIBL
(20,24),(20,25),0.0223395 # DEPENDENCYPART_SIBL
(20,24),(20,28),-0.115945 # DEPENDENCYPART_SIBL
(20,25),(20,28),0.00547001 # DEPENDENCYPART_SIBL
(21,6),(21,11),-0.00331684 # DEPENDENCYPART_SIBL
(21,6),(21,13),-0.0538197 # DEPENDENCYPART_SIBL
(21,6),(21,16),0.00800966 # DEPENDENCYPART_SIBL
(21,6),(21,17),-0.0486217 # DEPENDENCYPART_SIBL
(21,6),(21,18),0.0124809 # DEPENDENCYPART_SIBL
(21,6),(21,19),-0.0498488 # DEPENDENCYPART_SIBL
(21,6),(21,20),-9.3838e-05 # DEPENDENCYPART_SIBL
(21,6),(21,22),-0.0280651 # DEPENDENCYPART_SIBL
(21,6),(21,24),-0.0149307 # DEPENDENCYPART_SIBL
(21,6),(21,25),-0.0849696 # DEPENDENCYPART_SIBL
(21,6),(21,26),-0.0261867 # DEPENDENCYPART_SIBL
(21,6),(21,28),-0.00124409 # DEPENDENCYPART_SIBL
(21,6),(21,29),0.0578278 # DEPENDENCYPART_SIBL
(21,11),(21,13),-0.00834063 # DEPENDENCYPART_SIBL
(21,11),(21,16),-0.101383 # DEPENDENCYPART_SIBL
(21,11),(21,17),-0.0932645 # DEPENDENCYPART_SIBL
(21,11),(21,18),-0.0646137 # DEPENDENCYPART_SIBL
(21,11),(21,19),-0.00803684 # DEPENDENCYPART_SIBL
(21,11),(21,20),-0.00467515 # DEPENDENCYPART_SIBL
(21,11),(21,22),0.0625392 # DEPENDENCYPART_SIBL
(21,11),(21,24),0.0528023 # DEPENDENCYPART_SIBL
(21,11),(21,25),0.030461 # DEPENDENCYPART_SIBL
(21,11),(21,26),0.068522 # DEPENDENCYPART_SIBL
(21,11),(21,28),0.073624 # DEPENDENCYPART_SIBL
(21,11),(21,29),0.062372 # DEPENDENCYPART_SIBL
(21,13),(21,16),-0.0104015 # DEPENDENCYPART_SIBL
(21,13),(21,17),-0.0421483 # DEPENDENCYPART_SIBL
(21,13),(21,18),0.0570674 # DEPENDENCYPART_SIBL
(21,13),(21,19),-0.0422949 # DEPENDENCYPART_SIBL
(21,13),(21,20),0.00230367 # DEPENDENCYPART_SIBL
(21,13),(21,22),-0.0501848 # DEPENDENCYPART_SIBL
(21,13),(21,24),-0.00152845 # DEPENDENCYPART_SIBL
(21,13),(21,25),-0.0778833 # DEPENDENCYPART_SIBL
(21,13),(21,26),-0.000161892 # DEPENDENCYPART_SIBL
(21,13),(21,28),0.0117874 # DEPENDENCYPART_SIBL
(21,13),(21,29),0.0701695 # DEPENDENCYPART_SIBL
(21,16),(21,17),-0.0870524 # DEPENDENCYPART_SIBL
(21,16),(21,18),-0.0577813 # DEPENDENCYPART_SIBL
(21,16),(21,19),-0.00498881 # DEPENDENCYPART_SIBL
(21,16),(21,20),0.00981568 # DEPENDENCYPART_SIBL
(21,16),(21,22),-0.0140259 # DEPENDENCYPART_SIBL
(21,16),(21,24),-0.0112071 # DEPENDENCYPART_SIBL
(21,16),(21,25),0.00151865 # DEPENDENCYPART_SIBL
(21,16),(21,26),0.00964991 # DEPENDENCYPART_SIBL
(21,16),(21,28),0.00961456 # DEPENDENCYPART_SIBL
(21,16),(21,29),0.0262028 # DEPENDENCYPART_SIBL
(21,17),(21,18),0.00448565 # DEPENDENCYPART_SIBL
(21,17),(21,19),0.00107898 # DEPENDENCYPART_SIBL
(21,17),(21,20),-0.0325277 # DEPENDENCYPART_SIBL
(21,17),(21,22),0.0631833 # DEPENDENCYPART_SIBL
(21,17),(21,24),0.0931612 # DEPENDENCYPART_SIBL
(21,17),(21,25),0.0933008 # DEPENDENCYPART_SIBL
(21,17),(21,26),-0.175812 # DEPENDENCYPART_SIBL
(21,17),(21,28),0.0730756 # DEPENDENCYPART_SIBL
(21,17),(21,29),-0.260323 # DEPENDENCYPART_SIBL
(21,18),(21,19),0.0074649 # DEPENDENCYPART_SIBL
(21,18),(21,20),0.236293 # DEPENDENCYPART_SIBL
(21,18),(21,22),0.0011442 # DEPENDENCYPART_SIBL
(21,18),(21,24),0.00379098 # DEPENDENCYPART_SIBL
(21,18),(21,25),-0.0911764 # DEPENDENCYPART_SIBL
(21,18),(21,26),0.0591013 # DEPENDENCYPART_SIBL
(21,18),(21,28),0.0371615 # DEPENDENCYPART_SIBL
(21,18),(21,29),0.00836722 # DEPENDENCYPART_SIBL
(21,19),(21,20),0.00571229 # DEPENDENCYPART_SIBL
(21,19),(21,22),-0.0132407 # DEPENDENCYPART_SIBL
(21,19),(21,24),0.00347909 # DEPENDENCYPART_SIBL
(21,19),(21,25),-0.0738062 # DEPENDENCYPART_SIBL
(21,19),(21,26),-0.00412191 # DEPENDENCYPART_SIBL
(21,19),(21,28),0.0167581 # DEPENDENCYPART_SIBL
(21,19),(21,29),0.0337867 # DEPENDENCYPART_SIBL
(21,20),(21,22),-0.0235748 # DEPENDENCYPART_SIBL
(21,20),(21,24),0.0737566 # DEPENDENCYPART_SIBL
(21,20),(21,25),0.0764468 # DEPENDENCYPART_SIBL
(21,20),(21,26),0.00274635 # DEPENDENCYPART_SIBL
(21,20),(21,28),0.023604 # DEPENDENCYPART_SIBL
(21,20),(21,29),-0.223035 # DEPENDENCYPART_SIBL
(21,22),(21,24),0.00553449 # DEPENDENCYPART_SIBL
(21,22),(21,25),-0.0870416 # DEPENDENCYPART_SIBL
(21,22),(21,26),-0.00503085 # DEPENDENCYPART_SIBL
(21,22),(21,28),-0.00277317 # DEPENDENCYPART_SIBL
(21,22),(21,29),-0.0225651 # DEPENDENCYPART_SIBL
(21,24),(21,25),0.0262913 # DEPENDENCYPART_SIBL
(21,24),(21,26),0.0162005 # DEPENDENCYPART_SIBL
(21,24),(21,28),-0.0264037 # DEPENDENCYPART_SIBL
(21,24),(21,29),0.0158925 # DEPENDENCYPART_SIBL
(21,25),(21,26),-0.00661646 # DEPENDENCYPART_SIBL
(21,25),(21,28),-0.030547 # DEPENDENCYPART_SIBL
(21,25),(21,29),-0.0173558 # DEPENDENCYPART_SIBL
(21,26),(21,28),-0.019278 # DEPENDENCYPART_SIBL
(21,26),(21,29),0.000760349 # DEPENDENCYPART_SIBL
(21,28),(21,29),0.0132969 # DEPENDENCYPART_SIBL
(22,20),(22,21),0.012611 # DEPENDENCYPART_SIBL
(22,20),(22,23),0.0241554 # DEPENDENCYPART_SIBL
(22,20),(22,24),-0.00799343 # DEPENDENCYPART_SIBL
(22,20),(22,25),0.262576 # DEPENDENCYPART_SIBL
(22,20),(22,26),0.00145617 # DEPENDENCYPART_SIBL
(22,20),(22,28),-0.0247276 # DEPENDENCYPART_SIBL
(22,21),(22,23),0.0186356 # DEPENDENCYPART_SIBL
(22,21),(22,24),-0.0813163 # DEPENDENCYPART_SIBL
(22,21),(22,25),0.0343586 # DEPENDENCYPART_SIBL
(22,21),(22,26),0.0344925 # DEPENDENCYPART_SIBL
(22,21),(22,28),-0.0744745 # DEPENDENCYPART_SIBL
(22,23),(22,24),-0.0681435 # DEPENDENCYPART_SIBL
(22,23),(22,25),-0.0252525 # DEPENDENCYPART_SIBL
(22,23),(22,26),-0.0221244 # DEPENDENCYPART_SIBL
(22,23),(22,28),-0.0654979 # DEPENDENCYPART_SIBL
(22,24),(22,25),-0.0464301 # DEPENDENCYPART_SIBL
(22,24),(22,26),-0.0350227 # DEPENDENCYPART_SIBL
(22,24),(22,28),-0.129636 # DEPENDENCYPART_SIBL
(22,25),(22,26),0.022322 # DEPENDENCYPART_SIBL
(22,25),(22,28),0.0109191 # DEPENDENCYPART_SIBL
(22,26),(22,28),-0.0623554 # DEPENDENCYPART_SIBL
(24,20),(24,21),0.0190708 # DEPENDENCYPART_SIBL
(24,20),(24,22),-0.0446307 # DEPENDENCYPART_SIBL
(24,20),(24,23),-0.00566846 # DEPENDENCYPART_SIBL
(24,20),(24,25),0.199359 # DEPENDENCYPART_SIBL
(24,20),(24,26),0.0634749 # DEPENDENCYPART_SIBL
(24,20),(24,28),0.265168 # DEPENDENCYPART_SIBL
(24,21),(24,22),-0.0128677 # DEPENDENCYPART_SIBL
(24,21),(24,23),0.0158424 # DEPENDENCYPART_SIBL
(24,21),(24,25),-0.0309986 # DEPENDENCYPART_SIBL
(24,21),(24,26),-0.0352363 # DEPENDENCYPART_SIBL
(24,21),(24,28),0.00938954 # DEPENDENCYPART_SIBL
(24,22),(24,23),-0.0263798 # DEPENDENCYPART_SIBL
(24,22),(24,25),-0.0323542 # DEPENDENCYPART_SIBL
(24,22),(24,26),-0.00889889 # DEPENDENCYPART_SIBL
(24,22),(24,28),-0.00265787 # DEPENDENCYPART_SIBL
(24,23),(24,25),-0.0153498 # DEPENDENCYPART_SIBL
(24,23),(24,26),0.0147796 # DEPENDENCYPART_SIBL
(24,23),(24,28),-0.00516262 # DEPENDENCYPART_SIBL
(24,25),(24,26),-0.014696 # DEPENDENCYPART_SIBL
(24,25),(24,28),-0.0052282 # DEPENDENCYPART_SIBL
(24,26),(24,28),-0.0217586 # DEPENDENCYPART_SIBL
(25,22),(25,24),0.0352569 # DEPENDENCYPART_SIBL
(25,22),(25,26),0.00880774 # DEPENDENCYPART_SIBL
(25,22),(25,28),0.0335782 # DEPENDENCYPART_SIBL
(25,24),(25,26),-0.024399 # DEPENDENCYPART_SIBL
(25,24),(25,28),0.0608177 # DEPENDENCYPART_SIBL
(25,26),(25,28),-0.0261194 # DEPENDENCYPART_SIBL
(26,11),(26,13),-0.00833582 # DEPENDENCYPART_SIBL
(26,11),(26,16),-0.101378 # DEPENDENCYPART_SIBL
(26,11),(26,17),-0.0932597 # DEPENDENCYPART_SIBL
(26,11),(26,18),-0.0646088 # DEPENDENCYPART_SIBL
(26,11),(26,19),-0.00803203 # DEPENDENCYPART_SIBL
(26,11),(26,20),-0.00467035 # DEPENDENCYPART_SIBL
(26,11),(26,21),-0.00793643 # DEPENDENCYPART_SIBL
(26,11),(26,22),-0.00736587 # DEPENDENCYPART_SIBL
(26,11),(26,23),-0.11279 # DEPENDENCYPART_SIBL
(26,11),(26,24),-0.0993014 # DEPENDENCYPART_SIBL
(26,11),(26,25),-0.00467035 # DEPENDENCYPART_SIBL
(26,11),(26,27),-0.0883815 # DEPENDENCYPART_SIBL
(26,11),(26,28),0.0590534 # DEPENDENCYPART_SIBL
(26,11),(26,29),0.0546524 # DEPENDENCYPART_SIBL
(26,13),(26,16),-0.0104015 # DEPENDENCYPART_SIBL
(26,13),(26,17),-0.0421483 # DEPENDENCYPART_SIBL
(26,13),(26,18),0.0570674 # DEPENDENCYPART_SIBL
(26,13),(26,19),-0.0422949 # DEPENDENCYPART_SIBL
(26,13),(26,20),0.00230367 # DEPENDENCYPART_SIBL
(26,13),(26,21),-0.0430345 # DEPENDENCYPART_SIBL
(26,13),(26,22),-0.0149155 # DEPENDENCYPART_SIBL
(26,13),(26,23),-0.0438748 # DEPENDENCYPART_SIBL
(26,13),(26,24),-0.0204873 # DEPENDENCYPART_SIBL
(26,13),(26,25),0.00230367 # DEPENDENCYPART_SIBL
(26,13),(26,27),-0.0826683 # DEPENDENCYPART_SIBL
(26,13),(26,28),0.00936735 # DEPENDENCYPART_SIBL
(26,13),(26,29),0.0702107 # DEPENDENCYPART_SIBL
(26,16),(26,17),-0.0870476 # DEPENDENCYPART_SIBL
(26,16),(26,18),-0.0577765 # DEPENDENCYPART_SIBL
(26,16),(26,19),-0.004984 # DEPENDENCYPART_SIBL
(26,16),(26,20),0.00982049 # DEPENDENCYPART_SIBL
(26,16),(26,21),-0.00488841 # DEPENDENCYPART_SIBL
(26,16),(26,22),0.00107287 # DEPENDENCYPART_SIBL
(26,16),(26,23),-0.106578 # DEPENDENCYPART_SIBL
(26,16),(26,24),-0.0947009 # DEPENDENCYPART_SIBL
(26,16),(26,25),0.00982049 # DEPENDENCYPART_SIBL
(26,16),(26,27),-0.131208 # DEPENDENCYPART_SIBL
(26,16),(26,28),-0.00495606 # DEPENDENCYPART_SIBL
(26,16),(26,29),0.0184831 # DEPENDENCYPART_SIBL
(26,17),(26,18),0.00448565 # DEPENDENCYPART_SIBL
(26,17),(26,19),0.00107898 # DEPENDENCYPART_SIBL
(26,17),(26,20),-0.0325277 # DEPENDENCYPART_SIBL
(26,17),(26,21),0.000735352 # DEPENDENCYPART_SIBL
(26,17),(26,22),0.0239234 # DEPENDENCYPART_SIBL
(26,17),(26,23),-0.0296691 # DEPENDENCYPART_SIBL
(26,17),(26,24),0.0266814 # DEPENDENCYPART_SIBL
(26,17),(26,25),-0.0325277 # DEPENDENCYPART_SIBL
(26,17),(26,27),-0.0587324 # DEPENDENCYPART_SIBL
(26,17),(26,28),0.0706556 # DEPENDENCYPART_SIBL
(26,17),(26,29),-0.260282 # DEPENDENCYPART_SIBL
(26,18),(26,19),0.0074649 # DEPENDENCYPART_SIBL
(26,18),(26,20),0.236293 # DEPENDENCYPART_SIBL
(26,18),(26,21),0.00665832 # DEPENDENCYPART_SIBL
(26,18),(26,22),0.0867759 # DEPENDENCYPART_SIBL
(26,18),(26,23),0.00525915 # DEPENDENCYPART_SIBL
(26,18),(26,24),0.0419071 # DEPENDENCYPART_SIBL
(26,18),(26,25),0.236293 # DEPENDENCYPART_SIBL
(26,18),(26,27),-0.106874 # DEPENDENCYPART_SIBL
(26,18),(26,28),0.0347423 # DEPENDENCYPART_SIBL
(26,18),(26,29),0.00841031 # DEPENDENCYPART_SIBL
(26,19),(26,20),0.00571229 # DEPENDENCYPART_SIBL
(26,19),(26,21),-0.032643 # DEPENDENCYPART_SIBL
(26,19),(26,22),-0.0109456 # DEPENDENCYPART_SIBL
(26,19),(26,23),-0.0441011 # DEPENDENCYPART_SIBL
(26,19),(26,24),-0.0130449 # DEPENDENCYPART_SIBL
(26,19),(26,25),0.00571229 # DEPENDENCYPART_SIBL
(26,19),(26,27),-0.0904547 # DEPENDENCYPART_SIBL
(26,19),(26,28),0.0143381 # DEPENDENCYPART_SIBL
(26,19),(26,29),0.0338279 # DEPENDENCYPART_SIBL
(26,20),(26,21),-0.0184576 # DEPENDENCYPART_SIBL
(26,20),(26,22),-0.0248692 # DEPENDENCYPART_SIBL
(26,20),(26,23),-0.0408953 # DEPENDENCYPART_SIBL
(26,20),(26,24),-0.0198175 # DEPENDENCYPART_SIBL
(26,20),(26,25),-0.0223181 # DEPENDENCYPART_SIBL
(26,20),(26,27),-0.0019788 # DEPENDENCYPART_SIBL
(26,20),(26,28),0.0211857 # DEPENDENCYPART_SIBL
(26,20),(26,29),-0.222992 # DEPENDENCYPART_SIBL
(26,21),(26,22),-0.0191536 # DEPENDENCYPART_SIBL
(26,21),(26,23),-0.0533083 # DEPENDENCYPART_SIBL
(26,21),(26,24),-0.0195163 # DEPENDENCYPART_SIBL
(26,21),(26,25),-0.00265542 # DEPENDENCYPART_SIBL
(26,21),(26,27),-0.0912123 # DEPENDENCYPART_SIBL
(26,21),(26,28),0.0114762 # DEPENDENCYPART_SIBL
(26,21),(26,29),0.0371175 # DEPENDENCYPART_SIBL
(26,22),(26,23),-0.0654378 # DEPENDENCYPART_SIBL
(26,22),(26,24),0.031787 # DEPENDENCYPART_SIBL
(26,22),(26,25),0.0587195 # DEPENDENCYPART_SIBL
(26,22),(26,27),-0.0653765 # DEPENDENCYPART_SIBL
(26,22),(26,28),0.0100084 # DEPENDENCYPART_SIBL
(26,22),(26,29),0.0418348 # DEPENDENCYPART_SIBL
(26,23),(26,24),-0.0729407 # DEPENDENCYPART_SIBL
(26,23),(26,25),0.0653297 # DEPENDENCYPART_SIBL
(26,23),(26,27),-0.0562791 # DEPENDENCYPART_SIBL
(26,23),(26,28),0.00556812 # DEPENDENCYPART_SIBL
(26,23),(26,29),-0.182837 # DEPENDENCYPART_SIBL
(26,24),(26,25),0.0372314 # DEPENDENCYPART_SIBL
(26,24),(26,27),-0.106999 # DEPENDENCYPART_SIBL
(26,24),(26,28),0.0375693 # DEPENDENCYPART_SIBL
(26,24),(26,29),0.013657 # DEPENDENCYPART_SIBL
(26,25),(26,27),-0.0019788 # DEPENDENCYPART_SIBL
(26,25),(26,28),0.0211857 # DEPENDENCYPART_SIBL
(26,25),(26,29),-0.222992 # DEPENDENCYPART_SIBL
(26,27),(26,28),-0.0381079 # DEPENDENCYPART_SIBL
(26,27),(26,29),-0.049412 # DEPENDENCYPART_SIBL
(26,28),(26,29),0.018765 # DEPENDENCYPART_SIBL
(28,23),(28,24),-0.0755745 # DEPENDENCYPART_SIBL
(28,23),(28,25),-0.0256027 # DEPENDENCYPART_SIBL
(28,23),(28,27),-0.0763617 # DEPENDENCYPART_SIBL
(28,23),(28,29),-0.0963672 # DEPENDENCYPART_SIBL
(28,24),(28,25),-0.0138871 # DEPENDENCYPART_SIBL
(28,24),(28,27),-0.0657343 # DEPENDENCYPART_SIBL
(28,24),(28,29),-0.0182892 # DEPENDENCYPART_SIBL
(28,25),(28,27),-0.0446268 # DEPENDENCYPART_SIBL
(28,25),(28,29),-0.0137516 # DEPENDENCYPART_SIBL
(28,27),(28,29),-0.021941 # DEPENDENCYPART_SIBL
(0,0),(0,2),-0.569629 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,6),0.187187 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,7),-0.0758948 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,13),0.193095 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,14),0.242359 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,19),-0.258796 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,30),-0.904524 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(0,2),(0,6),-1.01896 # DEPENDENCYPART_NEXTSIBL
(0,2),(0,7),-1.15068 # DEPENDENCYPART_NEXTSIBL
(0,2),(0,13),-0.828957 # DEPENDENCYPART_NEXTSIBL
(0,2),(0,14),-0.888744 # DEPENDENCYPART_NEXTSIBL
(0,2),(0,19),-0.709415 # DEPENDENCYPART_NEXTSIBL
(0,2),(0,30),-0.646426 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,6),(0,7),-1.01793 # DEPENDENCYPART_NEXTSIBL
(0,6),(0,13),-0.95958 # DEPENDENCYPART_NEXTSIBL
(0,6),(0,14),-1.02667 # DEPENDENCYPART_NEXTSIBL
(0,6),(0,19),-1.0809 # DEPENDENCYPART_NEXTSIBL
(0,6),(0,30),-0.51116 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,7),(0,13),-1.03438 # DEPENDENCYPART_NEXTSIBL
(0,7),(0,14),-1.23354 # DEPENDENCYPART_NEXTSIBL
(0,7),(0,19),-1.25402 # DEPENDENCYPART_NEXTSIBL
(0,7),(0,30),-0.676929 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,13),(0,14),-0.792963 # DEPENDENCYPART_NEXTSIBL
(0,13),(0,19),-0.764361 # DEPENDENCYPART_NEXTSIBL
(0,13),(0,30),-0.520299 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,14),(0,19),-1.26638 # DEPENDENCYPART_NEXTSIBL
(0,14),(0,30),-0.37537 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,19),(0,30),-0.0961097 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,0),(0,-1),-0.383514 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(1,1),(1,2),-0.58304 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,3),-0.695789 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,6),-0.122955 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,30),-0.248876 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(1,2),(1,3),-0.501729 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,6),-0.940036 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,30),-0.704025 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,3),(1,6),0.215508 # DEPENDENCYPART_NEXTSIBL
(1,3),(1,30),-1.29487 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,6),(1,30),-0.717622 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,1),(1,-1),-0.295065 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(2,2),(2,3),-0.58303 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,5),-0.0620738 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,6),-0.0699374 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,7),-0.303151 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,8),-0.962739 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,9),-0.327438 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,10),-0.44347 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,11),-0.47182 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,12),-0.885294 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,13),-0.199357 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,14),0.0384008 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,16),-0.413412 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,19),-0.54143 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,29),-0.761959 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,30),-0.341694 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(2,3),(2,5),-0.131003 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,6),0.356949 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,7),0.241521 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,8),-0.361734 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,9),-0.147575 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,10),-0.265431 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,11),0.199523 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,12),-0.744884 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,13),-0.0994071 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,14),-0.302647 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,16),-0.477123 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,19),-0.571635 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,29),-1.49234 # DEPENDENCYPART_NEXTSIBL
