# _root_ ( After 1992 , the winter and summer Olympics will be held two years apart , with the revised schedule beginning with the winter games in 1994 and the summer games in 1996 . )
#goldHeads=10,10,2,10,9,7,9,7,10,0,10,11,14,15,12,12,12,20,20,21,17,21,25,25,28,25,26,22,31,31,28,31,32,10,10,
#predictedHeads=10,10,2,10,9,7,9,7,10,0,10,11,14,12,12,12,12,20,20,17,20,21,25,25,22,21,26,22,31,31,28,31,32,10,28,
(7,22),(22,28),(22,31),0.180942 # DEPENDENCYPART_GRANDSIBL
(7,22),(22,28),(22,32),-0.372463 # DEPENDENCYPART_GRANDSIBL
(7,22),(22,28),(22,36),0.0606611 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,22),(22,31),(22,32),-0.0236391 # DEPENDENCYPART_GRANDSIBL
(7,22),(22,31),(22,36),-0.0149894 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,22),(22,32),(22,36),-0.0443546 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,22),(22,22),(22,-1),-0.0869513 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,25),(25,25),(25,26),-0.0696898 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,25),(25,25),(25,27),-0.0252594 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,25),(25,25),(25,28),0.00064595 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,25),(25,25),(25,30),-0.0387339 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,25),(25,25),(25,31),-0.0383629 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,25),(25,25),(25,32),-0.0696898 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,25),(25,25),(25,33),-0.0251734 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,25),(25,25),(25,34),-0.023758 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,25),(25,25),(25,35),-0.0286363 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,25),(25,25),(25,36),0.179661 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,25),(25,26),(25,27),-0.0201027 # DEPENDENCYPART_GRANDSIBL
(7,25),(25,26),(25,28),-0.0261991 # DEPENDENCYPART_GRANDSIBL
(7,25),(25,26),(25,30),-0.0334511 # DEPENDENCYPART_GRANDSIBL
(7,25),(25,26),(25,31),-0.0334511 # DEPENDENCYPART_GRANDSIBL
(7,25),(25,26),(25,32),0.00477015 # DEPENDENCYPART_GRANDSIBL
(7,25),(25,26),(25,33),-0.0201027 # DEPENDENCYPART_GRANDSIBL
(7,25),(25,26),(25,34),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(7,25),(25,26),(25,35),-0.0202543 # DEPENDENCYPART_GRANDSIBL
(7,25),(25,26),(25,36),-0.107192 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,25),(25,27),(25,28),-0.0206276 # DEPENDENCYPART_GRANDSIBL
(7,25),(25,27),(25,30),-0.0210186 # DEPENDENCYPART_GRANDSIBL
(7,25),(25,27),(25,31),-0.0210186 # DEPENDENCYPART_GRANDSIBL
(7,25),(25,27),(25,32),-0.0313515 # DEPENDENCYPART_GRANDSIBL
(7,25),(25,27),(25,33),-0.0210645 # DEPENDENCYPART_GRANDSIBL
(7,25),(25,27),(25,34),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(7,25),(25,27),(25,35),-0.0115344 # DEPENDENCYPART_GRANDSIBL
(7,25),(25,27),(25,36),0.00998154 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,25),(25,28),(25,30),0.252816 # DEPENDENCYPART_GRANDSIBL
(7,25),(25,28),(25,31),0.210487 # DEPENDENCYPART_GRANDSIBL
(7,25),(25,28),(25,32),-0.372734 # DEPENDENCYPART_GRANDSIBL
(7,25),(25,28),(25,33),0.11847 # DEPENDENCYPART_GRANDSIBL
(7,25),(25,28),(25,34),0.13751 # DEPENDENCYPART_GRANDSIBL
(7,25),(25,28),(25,35),0.134734 # DEPENDENCYPART_GRANDSIBL
(7,25),(25,28),(25,36),-0.0860246 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,25),(25,30),(25,31),-0.00584777 # DEPENDENCYPART_GRANDSIBL
(7,25),(25,30),(25,32),-0.0317613 # DEPENDENCYPART_GRANDSIBL
(7,25),(25,30),(25,33),-0.0270239 # DEPENDENCYPART_GRANDSIBL
(7,25),(25,30),(25,34),-0.00760908 # DEPENDENCYPART_GRANDSIBL
(7,25),(25,30),(25,35),0.000849781 # DEPENDENCYPART_GRANDSIBL
(7,25),(25,30),(25,36),0.00147145 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,25),(25,31),(25,32),-0.0317616 # DEPENDENCYPART_GRANDSIBL
(7,25),(25,31),(25,33),-0.0270239 # DEPENDENCYPART_GRANDSIBL
(7,25),(25,31),(25,34),-0.00760908 # DEPENDENCYPART_GRANDSIBL
(7,25),(25,31),(25,35),0.000849781 # DEPENDENCYPART_GRANDSIBL
(7,25),(25,31),(25,36),0.00146752 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,25),(25,32),(25,33),-0.0201027 # DEPENDENCYPART_GRANDSIBL
(7,25),(25,32),(25,34),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(7,25),(25,32),(25,35),-0.0202543 # DEPENDENCYPART_GRANDSIBL
(7,25),(25,32),(25,36),-0.107192 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,25),(25,33),(25,34),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(7,25),(25,33),(25,35),-0.0115344 # DEPENDENCYPART_GRANDSIBL
(7,25),(25,33),(25,36),0.0102854 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,25),(25,34),(25,35),-0.0199027 # DEPENDENCYPART_GRANDSIBL
(7,25),(25,34),(25,36),-0.0266097 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,25),(25,35),(25,36),-0.00675251 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,25),(25,25),(25,24),0.041189 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,25),(25,25),(25,23),0.05108 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,25),(25,25),(25,22),0.159329 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,25),(25,25),(25,20),0.041189 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,25),(25,25),(25,19),0.0855645 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,25),(25,25),(25,18),0.05108 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,25),(25,25),(25,-1),-0.0214687 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,25),(25,24),(25,23),0.115402 # DEPENDENCYPART_GRANDSIBL
(7,25),(25,24),(25,22),0.0971273 # DEPENDENCYPART_GRANDSIBL
(7,25),(25,24),(25,20),0.177976 # DEPENDENCYPART_GRANDSIBL
(7,25),(25,24),(25,19),0.136419 # DEPENDENCYPART_GRANDSIBL
(7,25),(25,24),(25,18),0.115402 # DEPENDENCYPART_GRANDSIBL
(7,25),(25,24),(25,-1),-0.159889 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,25),(25,23),(25,22),0.101948 # DEPENDENCYPART_GRANDSIBL
(7,25),(25,23),(25,20),0.117023 # DEPENDENCYPART_GRANDSIBL
(7,25),(25,23),(25,19),0.115795 # DEPENDENCYPART_GRANDSIBL
(7,25),(25,23),(25,18),0.10948 # DEPENDENCYPART_GRANDSIBL
(7,25),(25,23),(25,-1),-0.131839 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,25),(25,22),(25,20),0.110788 # DEPENDENCYPART_GRANDSIBL
(7,25),(25,22),(25,19),0.0966594 # DEPENDENCYPART_GRANDSIBL
(7,25),(25,22),(25,18),0.107916 # DEPENDENCYPART_GRANDSIBL
(7,25),(25,22),(25,-1),-0.0441691 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,25),(25,20),(25,19),0.136419 # DEPENDENCYPART_GRANDSIBL
(7,25),(25,20),(25,18),0.115402 # DEPENDENCYPART_GRANDSIBL
(7,25),(25,20),(25,-1),-0.159889 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,25),(25,19),(25,18),0.137568 # DEPENDENCYPART_GRANDSIBL
(7,25),(25,19),(25,-1),-0.184374 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,25),(25,18),(25,-1),-0.131839 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,34),(34,34),(34,36),-0.023829 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,34),(34,34),(34,32),0.108862 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,34),(34,34),(34,-1),-0.105648 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,34),(34,32),(34,-1),-0.145387 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,1),(1,1),(1,36),-0.186022 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,1),(1,1),(1,-1),-0.0608976 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,2),(2,2),(2,3),0.0239303 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,2),(2,2),(2,4),0.0978507 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,2),(2,2),(2,6),0.045133 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,2),(2,2),(2,7),0.100256 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,2),(2,2),(2,10),-0.144742 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,2),(2,2),(2,17),-0.144918 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,2),(2,2),(2,36),-0.138459 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,2),(2,3),(2,4),0.109319 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,3),(2,6),0.111979 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,3),(2,7),0.10954 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,3),(2,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,3),(2,17),-0.144702 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,3),(2,36),-0.0964484 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,2),(2,4),(2,6),0.108237 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,4),(2,7),0.10954 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,4),(2,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,4),(2,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,4),(2,36),-0.147715 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,2),(2,6),(2,7),0.109354 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,6),(2,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,6),(2,17),-0.144725 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,6),(2,36),-0.190507 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,2),(2,7),(2,10),-0.0394237 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,7),(2,17),-0.00999869 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,7),(2,36),-0.168292 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,2),(2,10),(2,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,10),(2,36),-0.144771 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,2),(2,17),(2,36),-0.144155 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,2),(2,2),(2,1),-0.0263804 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,2),(2,2),(2,-1),-0.338688 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,2),(2,1),(2,-1),-0.0263804 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,5),(5,5),(5,6),0.0992386 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,5),(5,5),(5,36),0.0990526 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,5),(5,6),(5,36),-0.154196 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,5),(5,5),(5,4),-0.0275126 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,5),(5,5),(5,-1),0.218242 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,5),(5,4),(5,-1),-0.014727 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,6),(6,6),(6,8),-0.155839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,6),(6,6),(6,9),-0.155839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,6),(6,6),(6,10),-0.147917 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,6),(6,6),(6,11),-0.172272 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,6),(6,6),(6,12),-0.172272 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,6),(6,6),(6,36),-0.0197398 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,6),(6,8),(6,9),-0.145195 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,6),(6,8),(6,10),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,6),(6,8),(6,11),-0.14473 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,6),(6,8),(6,12),-0.14473 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,6),(6,8),(6,36),-0.173915 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,6),(6,9),(6,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,9),(6,11),-0.14473 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,9),(6,12),-0.14473 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,9),(6,36),-0.173916 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,6),(6,10),(6,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,10),(6,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,10),(6,36),-0.150362 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,6),(6,11),(6,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,11),(6,36),-0.196925 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,6),(6,12),(6,36),-0.196531 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,6),(6,6),(6,5),-0.00805288 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,6),(6,6),(6,4),0.133904 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,6),(6,6),(6,3),-0.104275 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,6),(6,6),(6,2),-0.00579898 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,6),(6,6),(6,1),0.0120107 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,6),(6,6),(6,-1),0.135958 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,6),(6,5),(6,4),-0.0209084 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,5),(6,3),-0.0221844 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,5),(6,2),-0.0221574 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,5),(6,1),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,5),(6,-1),-0.00971923 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,6),(6,4),(6,3),-0.0172191 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,4),(6,2),0.003624 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,4),(6,1),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,4),(6,-1),-0.020159 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,6),(6,3),(6,2),-0.0219778 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,3),(6,1),-0.0197001 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,3),(6,-1),-0.10222 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,6),(6,2),(6,1),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,2),(6,-1),-0.0170194 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,6),(6,1),(6,-1),0.0220915 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,9),(9,9),(9,36),0.132973 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,9),(9,9),(9,8),0.160631 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,9),(9,9),(9,7),-0.1512 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,9),(9,9),(9,6),-0.155839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,9),(9,9),(9,5),-0.144702 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,9),(9,9),(9,-1),-0.0185617 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,9),(9,8),(9,7),-0.14471 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,9),(9,8),(9,6),-0.145195 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,9),(9,8),(9,5),-0.145039 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,9),(9,8),(9,-1),-0.173915 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,9),(9,7),(9,6),0.0291356 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,7),(9,5),-0.0013392 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,7),(9,-1),-0.226199 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,9),(9,6),(9,5),-0.145039 # DEPENDENCYPART_GRANDSIBL
(8,9),(9,6),(9,-1),-0.173915 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,9),(9,5),(9,-1),-0.160173 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,10),(10,11),0.00573704 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,12),0.00881351 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,15),-0.0254428 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,16),-0.0092101 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,17),-0.0172885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,28),0.0146135 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,34),-0.0201446 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,36),-0.0756722 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,10),(10,11),(10,12),-0.0280404 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,11),(10,15),-0.0203694 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,11),(10,16),-0.0261233 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,11),(10,17),-0.0228192 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,11),(10,28),-0.0199247 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,11),(10,34),-0.025572 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,11),(10,36),0.050097 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,12),(10,15),-0.0201497 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,12),(10,16),-0.0253741 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,12),(10,17),-0.0218155 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,12),(10,28),-0.0197946 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,12),(10,34),-0.0253938 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,12),(10,36),0.0429024 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,15),(10,16),-0.0209275 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,15),(10,17),-0.0126891 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,15),(10,28),-0.0195453 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,15),(10,34),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,15),(10,36),-0.0251668 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,16),(10,17),-0.020376 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,16),(10,28),-0.0118123 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,16),(10,34),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,16),(10,36),-0.0256297 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,17),(10,28),-0.0195385 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,17),(10,34),-0.0194413 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,17),(10,36),-0.0249246 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,28),(10,34),0.0746078 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,28),(10,36),0.0148228 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,34),(10,36),-0.0290389 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,10),(10,9),0.200132 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,8),0.200132 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,7),-0.146232 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,6),-0.145085 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,5),-0.144722 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,4),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,3),-0.14482 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,2),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,1),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,10),(10,-1),-0.333484 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,10),(10,9),(10,8),0.0969569 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,9),(10,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,9),(10,6),-0.144784 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,9),(10,5),-0.144711 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,9),(10,4),-0.144728 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,9),(10,3),-0.144708 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,9),(10,2),-0.144793 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,9),(10,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,9),(10,-1),-0.0341346 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,8),(10,7),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,8),(10,6),-0.144784 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,8),(10,5),-0.144711 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,8),(10,4),-0.144728 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,8),(10,3),-0.144708 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,8),(10,2),-0.144793 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,8),(10,1),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,10),(10,8),(10,-1),-0.0341346 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,10),(10,7),(10,6),0.0292086 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,7),(10,5),-0.00131065 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,7),(10,4),0.0786988 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,7),(10,3),0.0318675 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,7),(10,2),-0.0310326 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,7),(10,1),-0.0238545 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,7),(10,-1),-0.153157 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,6),(10,5),-0.144711 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,6),(10,4),-0.144728 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,6),(10,3),-0.144708 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,6),(10,2),-0.144793 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,6),(10,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,6),(10,-1),-0.0341346 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,5),(10,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,5),(10,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,5),(10,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,5),(10,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,5),(10,-1),-0.143215 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,4),(10,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,4),(10,2),-0.144709 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,4),(10,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,4),(10,-1),-0.15375 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,3),(10,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,3),(10,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,3),(10,-1),-0.150181 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,2),(10,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(8,10),(10,2),(10,-1),-0.158057 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,10),(10,1),(10,-1),-0.152346 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,11),(11,11),(11,12),-0.0420544 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,11),(11,11),(11,13),-0.00268553 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,11),(11,11),(11,14),-0.0236965 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,11),(11,11),(11,15),0.0142253 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,11),(11,11),(11,16),-0.0408923 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,11),(11,11),(11,17),0.0128502 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,11),(11,11),(11,20),-0.0259711 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,11),(11,11),(11,21),-0.0455143 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,11),(11,11),(11,28),0.0100461 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,11),(11,11),(11,34),-0.0230581 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,11),(11,11),(11,36),0.0529943 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
