# _root_ Gains in advertising revenue , however , resulted in operating profit of $ 78.4 million -- up 20 % from $ 65.6 million .
#goldHeads=8,1,4,2,8,8,8,0,8,11,9,11,12,13,13,13,13,19,17,17,20,21,21,8,
#predictedHeads=8,1,4,2,8,8,8,0,8,11,9,11,12,13,13,13,13,19,17,17,20,21,21,8,
(5,6),(6,8),(6,11),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,8),(6,20),-0.0420471 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,8),(6,25),-0.0496596 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,9),(6,11),-0.0419992 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,9),(6,20),-0.0423028 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,9),(6,25),-0.0567508 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,11),(6,20),-0.0419991 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,11),(6,25),-0.0503943 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,20),(6,25),-0.056985 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,6),(6,5),0.119164 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,6),(6,6),(6,4),-0.125149 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,3),-0.125149 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,2),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,1),-0.125149 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,-1),-0.29037 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,6),(6,5),(6,4),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,5),(6,3),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,5),(6,2),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,5),(6,1),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,5),(6,-1),-0.124885 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,6),(6,4),(6,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,4),(6,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,4),(6,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,4),(6,-1),-0.125149 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,3),(6,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,3),(6,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,3),(6,-1),-0.125149 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,2),(6,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,6),(6,2),(6,-1),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,1),(6,-1),-0.125149 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,1),(1,1),(1,2),0.130909 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,1),(1,1),(1,3),0.130888 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,1),(1,1),(1,4),0.129453 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,1),(1,1),(1,5),0.0961034 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,1),(1,1),(1,6),-0.125032 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,1),(1,1),(1,7),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,1),(1,1),(1,8),-0.126274 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,1),(1,1),(1,9),-0.128999 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,1),(1,1),(1,11),-0.125302 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,1),(1,1),(1,16),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,1),(1,1),(1,20),-0.128635 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,1),(1,1),(1,24),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,1),(1,1),(1,25),-0.174492 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,1),(1,2),(1,3),0.119979 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,2),(1,4),0.119979 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,2),(1,5),0.112451 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,2),(1,6),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,1),(1,2),(1,7),-0.12489 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,2),(1,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,2),(1,9),-0.126585 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,2),(1,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,2),(1,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,2),(1,20),-0.125735 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,2),(1,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,2),(1,25),-0.109891 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,1),(1,3),(1,4),0.129388 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,3),(1,5),0.129263 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,3),(1,6),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,1),(1,3),(1,7),-0.12584 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,3),(1,8),-0.124891 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,3),(1,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,3),(1,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,3),(1,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,3),(1,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,3),(1,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,3),(1,25),-0.0794658 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,1),(1,4),(1,5),0.129263 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,4),(1,6),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,1),(1,4),(1,7),-0.12584 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,4),(1,8),-0.124891 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,4),(1,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,4),(1,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,4),(1,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,4),(1,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,4),(1,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,4),(1,25),-0.0794658 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,1),(1,5),(1,6),-0.125398 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,1),(1,5),(1,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,5),(1,8),-0.126146 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,5),(1,9),-0.127029 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,5),(1,11),-0.127171 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,5),(1,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,5),(1,20),-0.126576 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,5),(1,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,5),(1,25),-0.125529 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,1),(1,6),(1,7),-0.124899 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,1),(1,6),(1,8),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,1),(1,6),(1,9),-0.124886 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,1),(1,6),(1,11),-0.125065 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,1),(1,6),(1,16),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,1),(1,6),(1,20),-0.124886 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,1),(1,6),(1,24),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,1),(1,6),(1,25),-0.144702 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,1),(1,7),(1,8),-0.126146 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,7),(1,9),-0.127029 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,7),(1,11),-0.127171 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,7),(1,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,7),(1,20),-0.126576 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,7),(1,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,7),(1,25),-0.125529 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,1),(1,8),(1,9),-0.124896 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,8),(1,11),-0.124896 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,8),(1,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,8),(1,20),-0.124896 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,8),(1,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,8),(1,25),-0.121022 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,1),(1,9),(1,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,9),(1,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,9),(1,20),-0.125735 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,9),(1,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,9),(1,25),-0.109891 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,1),(1,11),(1,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,11),(1,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,11),(1,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,11),(1,25),-0.0794679 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,1),(1,16),(1,20),-0.124973 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,16),(1,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,16),(1,25),-0.131539 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,1),(1,20),(1,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,1),(1,20),(1,25),-0.107688 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,1),(1,24),(1,25),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,1),(1,1),(1,-1),-0.0826999 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,2),(2,2),(2,3),0.0963325 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,2),(2,2),(2,4),0.0963409 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,2),(2,2),(2,5),0.124652 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,2),(2,2),(2,6),-0.124886 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,2),(2,2),(2,7),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,2),(2,2),(2,8),-0.124986 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,2),(2,2),(2,9),-0.125186 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,2),(2,2),(2,25),0.00368005 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,2),(2,3),(2,4),0.118874 # DEPENDENCYPART_GRANDSIBL
(6,2),(2,3),(2,5),0.117489 # DEPENDENCYPART_GRANDSIBL
(6,2),(2,3),(2,6),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,2),(2,3),(2,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,2),(2,3),(2,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,2),(2,3),(2,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,2),(2,3),(2,25),-0.151462 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,2),(2,4),(2,5),0.117489 # DEPENDENCYPART_GRANDSIBL
(6,2),(2,4),(2,6),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,2),(2,4),(2,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,2),(2,4),(2,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,2),(2,4),(2,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,2),(2,4),(2,25),-0.151454 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,2),(2,5),(2,6),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,2),(2,5),(2,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,2),(2,5),(2,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,2),(2,5),(2,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,2),(2,5),(2,25),-0.120858 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,2),(2,6),(2,7),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,2),(2,6),(2,8),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,2),(2,6),(2,9),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,2),(2,6),(2,25),-0.15972 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,2),(2,7),(2,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,2),(2,7),(2,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,2),(2,7),(2,25),-0.120858 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,2),(2,8),(2,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,2),(2,8),(2,25),-0.118376 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,2),(2,9),(2,25),-0.1208 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,2),(2,2),(2,1),-0.0654831 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,2),(2,2),(2,-1),0.00653891 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,2),(2,1),(2,-1),-0.109526 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,3),(3,3),(3,4),0.129411 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,3),(3,3),(3,5),0.0961034 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,3),(3,3),(3,6),-0.125032 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,3),(3,3),(3,7),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,3),(3,3),(3,8),-0.126274 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,3),(3,3),(3,25),-0.174638 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,3),(3,4),(3,5),0.129263 # DEPENDENCYPART_GRANDSIBL
(6,3),(3,4),(3,6),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,3),(3,4),(3,7),-0.12584 # DEPENDENCYPART_GRANDSIBL
(6,3),(3,4),(3,8),-0.124891 # DEPENDENCYPART_GRANDSIBL
(6,3),(3,4),(3,25),-0.0794588 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,3),(3,5),(3,6),-0.125398 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,3),(3,5),(3,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,3),(3,5),(3,8),-0.126146 # DEPENDENCYPART_GRANDSIBL
(6,3),(3,5),(3,25),-0.125533 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,3),(3,6),(3,7),-0.124899 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,3),(3,6),(3,8),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,3),(3,6),(3,25),-0.144701 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,3),(3,7),(3,8),-0.126146 # DEPENDENCYPART_GRANDSIBL
(6,3),(3,7),(3,25),-0.125533 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,3),(3,8),(3,25),-0.121082 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,3),(3,3),(3,2),-0.034446 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,3),(3,3),(3,1),-0.058319 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,3),(3,3),(3,-1),-0.0827478 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,3),(3,2),(3,1),-0.0425389 # DEPENDENCYPART_GRANDSIBL
(6,3),(3,2),(3,-1),-0.0236907 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,3),(3,1),(3,-1),-0.0772481 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,4),(4,4),(4,5),0.0961034 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,4),(4,4),(4,6),-0.125032 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,4),(4,4),(4,7),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,4),(4,4),(4,8),-0.126274 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,4),(4,4),(4,9),-0.128999 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,4),(4,4),(4,11),-0.125302 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,4),(4,4),(4,16),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,4),(4,4),(4,24),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,4),(4,4),(4,25),-0.176147 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,4),(4,5),(4,6),-0.125398 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,4),(4,5),(4,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,4),(4,5),(4,8),-0.126146 # DEPENDENCYPART_GRANDSIBL
(6,4),(4,5),(4,9),-0.127029 # DEPENDENCYPART_GRANDSIBL
(6,4),(4,5),(4,11),-0.127171 # DEPENDENCYPART_GRANDSIBL
(6,4),(4,5),(4,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,4),(4,5),(4,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,4),(4,5),(4,25),-0.125529 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,4),(4,6),(4,7),-0.124899 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,4),(4,6),(4,8),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,4),(4,6),(4,9),-0.124886 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,4),(4,6),(4,11),-0.125065 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,4),(4,6),(4,16),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,4),(4,6),(4,24),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,4),(4,6),(4,25),-0.144701 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,4),(4,7),(4,8),-0.126146 # DEPENDENCYPART_GRANDSIBL
(6,4),(4,7),(4,9),-0.127029 # DEPENDENCYPART_GRANDSIBL
(6,4),(4,7),(4,11),-0.127171 # DEPENDENCYPART_GRANDSIBL
(6,4),(4,7),(4,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,4),(4,7),(4,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,4),(4,7),(4,25),-0.125529 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,4),(4,8),(4,9),-0.124896 # DEPENDENCYPART_GRANDSIBL
(6,4),(4,8),(4,11),-0.124896 # DEPENDENCYPART_GRANDSIBL
(6,4),(4,8),(4,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,4),(4,8),(4,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,4),(4,8),(4,25),-0.121106 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,4),(4,9),(4,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,4),(4,9),(4,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,4),(4,9),(4,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,4),(4,9),(4,25),-0.109909 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,4),(4,11),(4,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,4),(4,11),(4,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,4),(4,11),(4,25),-0.0794609 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,4),(4,16),(4,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(6,4),(4,16),(4,25),-0.131539 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,4),(4,24),(4,25),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,4),(4,4),(4,3),-0.0583855 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,4),(4,4),(4,2),-0.0344288 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,4),(4,4),(4,1),-0.0583969 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,4),(4,4),(4,-1),-0.0837164 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,4),(4,3),(4,2),-0.0436193 # DEPENDENCYPART_GRANDSIBL
(6,4),(4,3),(4,1),-0.036084 # DEPENDENCYPART_GRANDSIBL
(6,4),(4,3),(4,-1),-0.0773148 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,4),(4,2),(4,1),-0.0425389 # DEPENDENCYPART_GRANDSIBL
(6,4),(4,2),(4,-1),-0.0236734 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,4),(4,1),(4,-1),-0.077326 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,5),(5,5),(5,6),-0.124885 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,5),(5,5),(5,25),-0.142966 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,5),(5,6),(5,25),-0.127553 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,5),(5,5),(5,2),-0.0472555 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,5),(5,5),(5,-1),-0.0504412 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,5),(5,2),(5,-1),-0.047877 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,7),(7,7),(7,25),-0.0504412 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,7),(7,7),(7,6),0.116496 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,7),(7,7),(7,-1),-0.142966 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,7),(7,6),(7,-1),-0.127553 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,8),(8,8),(8,9),-0.0464477 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,8),(8,8),(8,10),-0.0787768 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,8),(8,8),(8,11),-0.0786897 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,8),(8,8),(8,12),-0.049558 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,8),(8,8),(8,13),-0.047438 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,8),(8,8),(8,14),-0.052857 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,8),(8,8),(8,16),-0.0463695 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,8),(8,8),(8,17),-0.0271256 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,8),(8,8),(8,20),-0.0413299 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,8),(8,8),(8,24),-0.0419988 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(6,8),(8,8),(8,25),0.0823205 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(6,8),(8,9),(8,10),-0.0425567 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,9),(8,11),-0.0425567 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,9),(8,12),-0.0417219 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,9),(8,13),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,9),(8,14),-0.0420567 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,9),(8,16),-0.0420105 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,9),(8,17),-0.0371236 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,9),(8,20),-0.0417294 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,9),(8,24),-0.0419998 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,9),(8,25),-0.0760601 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,8),(8,10),(8,11),-0.0437473 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,10),(8,12),-0.0466814 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,10),(8,13),-0.0420159 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,10),(8,14),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,10),(8,16),-0.042304 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,10),(8,17),-0.0441674 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,10),(8,20),-0.0470567 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,10),(8,24),-0.0453164 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,10),(8,25),-0.0720742 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,8),(8,11),(8,12),-0.0466814 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,11),(8,13),-0.0420159 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,11),(8,14),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,11),(8,16),-0.042304 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,11),(8,17),-0.0441674 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,11),(8,20),-0.0470567 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,11),(8,24),-0.0453164 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,11),(8,25),-0.0719871 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(6,8),(8,12),(8,13),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,12),(8,14),-0.0421145 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,12),(8,16),-0.0420105 # DEPENDENCYPART_GRANDSIBL
(6,8),(8,12),(8,17),-0.0407611 # DEPENDENCYPART_GRANDSIBL
