# _root_ Great Northern surged 20 1\/8 to 62 7\/8 , well above Georgia-Pacific 's offering price of $ 58 a share , amid speculation that other suitors for the company would surface or that the bid would be raised .
#goldHeads=2,3,0,5,3,3,8,6,3,11,3,15,12,15,11,15,18,16,20,18,3,3,22,30,26,30,26,29,27,32,30,23,36,35,36,32,36,37,3,
#predictedHeads=2,3,0,5,3,3,8,6,3,11,3,15,12,15,11,15,18,16,20,18,3,3,22,30,26,30,26,29,27,23,30,31,36,35,36,32,36,37,3,
(1,3),(3,15),(3,16),-0.0146179 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,15),(3,21),-0.0662857 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,15),(3,22),-0.00736615 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,15),(3,24),-0.00734472 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,15),(3,27),-0.00454019 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,15),(3,30),-0.0369406 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,15),(3,32),-0.0596048 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,15),(3,39),-0.0550567 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,15),(3,40),-0.0520076 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,16),(3,21),-0.0249917 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,16),(3,22),-0.0511766 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,16),(3,24),-0.0525343 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,16),(3,27),-0.0423487 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,16),(3,30),-0.034461 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,16),(3,32),-0.0423082 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,16),(3,39),-0.0530068 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,16),(3,40),-0.0190382 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,21),(3,22),-0.0643618 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,21),(3,24),-0.062949 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,21),(3,27),-0.0640511 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,21),(3,30),-0.0319859 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,21),(3,32),-0.022738 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,21),(3,39),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,21),(3,40),-0.0932722 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,22),(3,24),-0.0447734 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,22),(3,27),-0.0345878 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,22),(3,30),-0.0344577 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,22),(3,32),-0.0419948 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,22),(3,39),-0.0529863 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,22),(3,40),-0.023357 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,24),(3,27),-0.0416824 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,24),(3,30),-0.0348874 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,24),(3,32),-0.0420157 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,24),(3,39),-0.0529863 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,24),(3,40),-0.0481468 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,27),(3,30),-0.0348623 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,27),(3,32),-0.0399059 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,27),(3,39),-0.0548022 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,27),(3,40),-0.0283757 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,30),(3,32),-0.0420423 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,30),(3,39),-0.042001 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,30),(3,40),-0.0325172 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,32),(3,39),0.0838086 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,32),(3,40),-0.0643388 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,39),(3,40),-0.0871039 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,3),(3,2),0.166025 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,3),(3,3),(3,1),0.166025 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,3),(3,3),(3,-1),0.040957 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,3),(3,2),(3,1),0.0946077 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,2),(3,-1),-0.0304103 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,1),(3,-1),-0.0304103 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,4),(4,4),(4,5),-0.0237242 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,4),(4,4),(4,7),-0.0234192 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,4),(4,4),(4,8),-0.0240765 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,4),(4,4),(4,9),-0.063634 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,4),(4,4),(4,40),0.134662 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,4),(4,5),(4,7),-0.0415327 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,5),(4,8),-0.0415327 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,5),(4,9),-0.042255 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,5),(4,40),0.0986689 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,7),(4,8),-0.0415327 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,7),(4,9),-0.042255 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,7),(4,40),0.0990394 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,8),(4,9),-0.042255 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,8),(4,40),0.0983453 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,9),(4,40),-0.04084 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,4),(4,2),0.191625 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,4),(4,4),(4,1),0.19135 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,4),(4,4),(4,-1),-0.0501209 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,4),(4,2),(4,1),0.12178 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,2),(4,-1),-0.0605818 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,1),(4,-1),-0.0608571 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,5),(5,5),(5,6),0.0687431 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,5),(5,5),(5,7),-0.0169529 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,5),(5,5),(5,8),-0.0176103 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,5),(5,5),(5,9),-0.0636333 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,5),(5,5),(5,40),0.140937 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,5),(5,6),(5,7),0.0466122 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,6),(5,8),0.0465752 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,6),(5,9),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,6),(5,40),-0.0884132 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,5),(5,7),(5,8),-0.0415327 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,7),(5,9),-0.042255 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,7),(5,40),0.101225 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,5),(5,8),(5,9),-0.042255 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,8),(5,40),0.100531 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,5),(5,9),(5,40),-0.04084 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,5),(5,5),(5,4),0.106546 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,5),(5,5),(5,2),0.199531 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,5),(5,5),(5,-1),-0.0527416 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,5),(5,4),(5,2),0.118942 # DEPENDENCYPART_GRANDSIBL
(1,5),(5,4),(5,-1),-0.151576 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,5),(5,2),(5,-1),-0.0526781 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,8),(8,8),(8,9),-0.0636333 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,8),(8,8),(8,10),-0.0871984 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,8),(8,8),(8,11),-0.032287 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,8),(8,8),(8,12),-0.0504759 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,8),(8,8),(8,15),-0.0504759 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,8),(8,8),(8,40),0.139697 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,8),(8,9),(8,10),-0.0275337 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,9),(8,11),-0.047759 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,9),(8,12),-0.0611546 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,9),(8,15),-0.0611546 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,9),(8,40),-0.04084 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,8),(8,10),(8,11),-0.0420524 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,10),(8,12),-0.0420409 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,10),(8,15),-0.0420409 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,10),(8,40),-0.071913 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,8),(8,11),(8,12),-0.0415712 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,11),(8,15),-0.0415712 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,11),(8,40),-0.0469456 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,8),(8,12),(8,15),-0.0428603 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,12),(8,40),-0.0611714 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,8),(8,15),(8,40),-0.0611714 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,8),(8,8),(8,7),0.106934 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,8),(8,8),(8,6),0.0703632 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,8),(8,8),(8,5),0.106933 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,8),(8,8),(8,4),0.106763 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,8),(8,8),(8,-1),-0.0663366 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,8),(8,7),(8,6),0.118831 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,7),(8,5),0.119109 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,7),(8,4),0.119109 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,7),(8,-1),-0.151226 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,8),(8,6),(8,5),0.110193 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,6),(8,4),0.110193 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,6),(8,-1),-0.159393 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,8),(8,5),(8,4),0.119109 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,5),(8,-1),-0.151181 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,8),(8,4),(8,-1),-0.15136 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,39),(39,39),(39,40),-0.005328 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,39),(39,39),(39,38),0.117049 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,39),(39,39),(39,36),0.119113 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,39),(39,39),(39,-1),-0.0511104 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,39),(39,38),(39,36),0.119164 # DEPENDENCYPART_GRANDSIBL
(1,39),(39,38),(39,-1),-0.127001 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,39),(39,36),(39,-1),-0.124936 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,1),(1,1),(1,2),-0.141313 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,1),(1,1),(1,3),-0.15429 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,1),(1,4),-0.125914 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,1),(1,5),-0.125914 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,1),(1,8),-0.125916 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,1),(1,39),-0.125132 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,1),(1,40),0.02654 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,1),(1,2),(1,3),-0.125545 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,2),(1,4),-0.125238 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,2),(1,5),-0.125238 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,2),(1,8),-0.125238 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,2),(1,39),-0.125194 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,2),(1,40),-0.146606 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,1),(1,3),(1,4),-0.124887 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,3),(1,5),-0.124887 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,3),(1,8),-0.124887 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,3),(1,39),-0.124886 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,3),(1,40),-0.173808 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,1),(1,4),(1,5),-0.125415 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,4),(1,8),-0.125415 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,4),(1,39),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,4),(1,40),-0.120355 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,1),(1,5),(1,8),-0.125415 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,5),(1,39),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,5),(1,40),-0.123321 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,1),(1,8),(1,39),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,8),(1,40),-0.127366 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,1),(1,39),(1,40),-0.144995 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,1),(1,1),(1,-1),0.100739 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,3),(3,3),(3,4),-0.00705475 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,5),-0.00390461 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,6),-0.0588036 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,7),-0.00681197 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,8),-0.00711891 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,9),-0.0734363 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,10),0.00464283 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,11),-0.0294665 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,14),-0.0292894 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,15),-0.0297386 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,16),-0.0382503 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,21),-0.0734363 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,22),-0.0353151 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,24),-0.0728919 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,27),-0.0522702 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,30),-0.0296659 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,32),-0.100936 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,39),-0.048883 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,40),0.0673163 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,3),(3,4),(3,5),-0.0455398 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,6),-0.0447027 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,7),-0.0454371 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,8),-0.0454371 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,9),-0.0466537 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,10),-0.0431736 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,11),-0.0509892 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,14),-0.0421085 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,15),-0.0421085 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,16),-0.051725 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,21),-0.0466537 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,22),-0.0509892 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,24),-0.0511913 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,27),-0.0518792 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,30),-0.042114 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,32),-0.0400825 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,39),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,40),-0.00102863 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,5),(3,6),-0.0416773 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,7),-0.0454365 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,8),-0.0454365 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,9),-0.0466537 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,10),-0.0431736 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,11),-0.0509889 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,14),-0.0421085 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,15),-0.0421085 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,16),-0.0517247 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,21),-0.0466537 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,22),-0.0509889 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,24),-0.051191 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,27),-0.0518789 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,30),-0.042114 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,32),-0.0400825 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,39),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,40),-0.000987191 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,6),(3,7),-0.0434003 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,8),-0.0434682 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,9),-0.0532386 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,10),-0.0408487 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,11),-0.0553541 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,14),-0.0631862 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,15),-0.0631862 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,16),-0.0551903 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,21),-0.0532386 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,22),-0.0551663 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,24),-0.0551732 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,27),-0.0667577 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,30),-0.042987 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,32),-0.0441564 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,39),-0.0432707 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,40),-0.0462536 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,7),(3,8),-0.0454365 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,9),-0.0466962 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,10),-0.0431736 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,11),-0.0509889 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,14),-0.0421085 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,15),-0.0421085 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,16),-0.0517247 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,21),-0.0466962 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,22),-0.0509889 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,24),-0.051191 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,27),-0.0518789 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,30),-0.042114 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,32),-0.0400825 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,39),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,40),-0.000987191 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,8),(3,9),-0.0466537 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,8),(3,10),-0.0431736 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,8),(3,11),-0.0513622 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,8),(3,14),-0.0421085 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,8),(3,15),-0.0421085 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,8),(3,16),-0.052098 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,8),(3,21),-0.0466537 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,8),(3,22),-0.0513622 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,8),(3,24),-0.0515642 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,8),(3,27),-0.0522522 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,8),(3,30),-0.042114 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,8),(3,32),-0.0400825 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,8),(3,39),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,8),(3,40),-0.000988843 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,9),(3,10),-0.0461497 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,9),(3,11),-0.0629182 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,9),(3,14),-0.0358372 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,9),(3,15),-0.0356703 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,9),(3,16),-0.0631773 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,9),(3,21),-0.0295576 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,9),(3,22),-0.0643618 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,9),(3,24),-0.062949 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,9),(3,27),-0.0640511 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,9),(3,30),-0.0319859 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,9),(3,32),-0.022738 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,9),(3,39),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,9),(3,40),-0.0932716 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,10),(3,11),-0.0286343 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,10),(3,14),-0.0433255 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,10),(3,15),-0.0426813 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,10),(3,16),-0.027509 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,10),(3,21),-0.0471628 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,10),(3,22),-0.033 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,10),(3,24),-0.0341798 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,10),(3,27),-0.0297041 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,10),(3,30),-0.0476341 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,10),(3,32),-0.0255086 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,10),(3,39),-0.0452914 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,10),(3,40),0.0158293 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,11),(3,14),-0.0398866 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,11),(3,15),-0.0398866 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,11),(3,16),-0.0458729 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,11),(3,21),-0.0226895 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,11),(3,22),-0.0434157 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,11),(3,24),-0.0447734 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,11),(3,27),-0.0345878 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,11),(3,30),-0.0344577 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,11),(3,32),-0.0419948 # DEPENDENCYPART_GRANDSIBL
