# _root_ Aaron Ment , Connecticut 's chief court administrator , declined to comment on the suit and the EEOC 's intervention .
#goldHeads=2,10,2,8,4,8,8,2,2,0,12,10,12,15,16,13,18,20,18,16,10,
#predictedHeads=2,10,2,8,4,8,8,2,2,0,12,10,12,15,16,13,18,20,18,16,10,
(16,18),(16,19),-0.737494 # DEPENDENCYPART_NEXTSIBL
(16,18),(16,20),-1.08484 # DEPENDENCYPART_NEXTSIBL
(16,18),(16,21),-0.803784 # DEPENDENCYPART_NEXTSIBL
(16,18),(16,22),-0.18732 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,19),(16,20),-0.818908 # DEPENDENCYPART_NEXTSIBL
(16,19),(16,21),-0.765153 # DEPENDENCYPART_NEXTSIBL
(16,19),(16,22),-0.421816 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,20),(16,21),-0.548297 # DEPENDENCYPART_NEXTSIBL
(16,20),(16,22),-0.760254 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,21),(16,22),-1.18904 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,16),(16,15),-0.393517 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,14),-1.05913 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,13),-0.542874 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,12),0.168787 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,11),-0.121156 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,10),0.479152 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,9),-1.15583 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,8),-0.352015 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,7),-0.636832 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,6),-0.71256 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,4),-0.766156 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,3),-0.500604 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,2),-0.501289 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,1),-0.606605 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,-1),-1.16106 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(16,15),(16,14),-0.433044 # DEPENDENCYPART_NEXTSIBL
(16,15),(16,13),-0.984836 # DEPENDENCYPART_NEXTSIBL
(16,15),(16,12),-1.1832 # DEPENDENCYPART_NEXTSIBL
(16,15),(16,11),-1.46122 # DEPENDENCYPART_NEXTSIBL
(16,15),(16,10),-1.23068 # DEPENDENCYPART_NEXTSIBL
(16,15),(16,9),-1.63007 # DEPENDENCYPART_NEXTSIBL
(16,15),(16,8),-1.66201 # DEPENDENCYPART_NEXTSIBL
(16,15),(16,7),-1.58196 # DEPENDENCYPART_NEXTSIBL
(16,15),(16,6),-1.4022 # DEPENDENCYPART_NEXTSIBL
(16,15),(16,4),-1.44589 # DEPENDENCYPART_NEXTSIBL
(16,15),(16,3),-1.58057 # DEPENDENCYPART_NEXTSIBL
(16,15),(16,2),-1.48936 # DEPENDENCYPART_NEXTSIBL
(16,15),(16,1),-1.33777 # DEPENDENCYPART_NEXTSIBL
(16,15),(16,-1),-0.896268 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,14),(16,13),-0.805839 # DEPENDENCYPART_NEXTSIBL
(16,14),(16,12),-1.28501 # DEPENDENCYPART_NEXTSIBL
(16,14),(16,11),-1.31165 # DEPENDENCYPART_NEXTSIBL
(16,14),(16,10),-1.32504 # DEPENDENCYPART_NEXTSIBL
(16,14),(16,9),-1.2636 # DEPENDENCYPART_NEXTSIBL
(16,14),(16,8),-1.51018 # DEPENDENCYPART_NEXTSIBL
(16,14),(16,7),-1.41372 # DEPENDENCYPART_NEXTSIBL
(16,14),(16,6),-1.37544 # DEPENDENCYPART_NEXTSIBL
(16,14),(16,4),-1.34848 # DEPENDENCYPART_NEXTSIBL
(16,14),(16,3),-1.50048 # DEPENDENCYPART_NEXTSIBL
(16,14),(16,2),-1.28658 # DEPENDENCYPART_NEXTSIBL
(16,14),(16,1),-1.23273 # DEPENDENCYPART_NEXTSIBL
(16,14),(16,-1),-0.353585 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,13),(16,12),-0.947895 # DEPENDENCYPART_NEXTSIBL
(16,13),(16,11),-1.02764 # DEPENDENCYPART_NEXTSIBL
(16,13),(16,10),-1.18935 # DEPENDENCYPART_NEXTSIBL
(16,13),(16,9),-1.16606 # DEPENDENCYPART_NEXTSIBL
(16,13),(16,8),-1.20566 # DEPENDENCYPART_NEXTSIBL
(16,13),(16,7),-1.27109 # DEPENDENCYPART_NEXTSIBL
(16,13),(16,6),-1.29788 # DEPENDENCYPART_NEXTSIBL
(16,13),(16,4),-1.23975 # DEPENDENCYPART_NEXTSIBL
(16,13),(16,3),-1.56488 # DEPENDENCYPART_NEXTSIBL
(16,13),(16,2),-1.21074 # DEPENDENCYPART_NEXTSIBL
(16,13),(16,1),-1.21046 # DEPENDENCYPART_NEXTSIBL
(16,13),(16,-1),-0.868268 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,12),(16,11),-0.449184 # DEPENDENCYPART_NEXTSIBL
(16,12),(16,10),-1.37325 # DEPENDENCYPART_NEXTSIBL
(16,12),(16,9),-0.921235 # DEPENDENCYPART_NEXTSIBL
(16,12),(16,8),-1.0335 # DEPENDENCYPART_NEXTSIBL
(16,12),(16,7),-1.04482 # DEPENDENCYPART_NEXTSIBL
(16,12),(16,6),-1.15894 # DEPENDENCYPART_NEXTSIBL
(16,12),(16,4),-0.894562 # DEPENDENCYPART_NEXTSIBL
(16,12),(16,3),-1.10383 # DEPENDENCYPART_NEXTSIBL
(16,12),(16,2),-0.747046 # DEPENDENCYPART_NEXTSIBL
(16,12),(16,1),-0.796428 # DEPENDENCYPART_NEXTSIBL
(16,12),(16,-1),-0.9722 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,11),(16,10),-0.732693 # DEPENDENCYPART_NEXTSIBL
(16,11),(16,9),-0.702982 # DEPENDENCYPART_NEXTSIBL
(16,11),(16,8),-0.986477 # DEPENDENCYPART_NEXTSIBL
(16,11),(16,7),-1.0596 # DEPENDENCYPART_NEXTSIBL
(16,11),(16,6),-1.00938 # DEPENDENCYPART_NEXTSIBL
(16,11),(16,4),-0.901027 # DEPENDENCYPART_NEXTSIBL
(16,11),(16,3),-1.09712 # DEPENDENCYPART_NEXTSIBL
(16,11),(16,2),-0.661654 # DEPENDENCYPART_NEXTSIBL
(16,11),(16,1),-0.627624 # DEPENDENCYPART_NEXTSIBL
(16,11),(16,-1),-0.500397 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,10),(16,9),-0.326999 # DEPENDENCYPART_NEXTSIBL
(16,10),(16,8),-0.682557 # DEPENDENCYPART_NEXTSIBL
(16,10),(16,7),-0.724295 # DEPENDENCYPART_NEXTSIBL
(16,10),(16,6),-0.908493 # DEPENDENCYPART_NEXTSIBL
(16,10),(16,4),-0.715861 # DEPENDENCYPART_NEXTSIBL
(16,10),(16,3),-0.943084 # DEPENDENCYPART_NEXTSIBL
(16,10),(16,2),-0.52302 # DEPENDENCYPART_NEXTSIBL
(16,10),(16,1),-0.50891 # DEPENDENCYPART_NEXTSIBL
(16,10),(16,-1),-1.22963 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,9),(16,8),-0.0702003 # DEPENDENCYPART_NEXTSIBL
(16,9),(16,7),-0.355415 # DEPENDENCYPART_NEXTSIBL
(16,9),(16,6),-0.289129 # DEPENDENCYPART_NEXTSIBL
(16,9),(16,4),-0.499106 # DEPENDENCYPART_NEXTSIBL
(16,9),(16,3),-1.08152 # DEPENDENCYPART_NEXTSIBL
(16,9),(16,2),-0.25009 # DEPENDENCYPART_NEXTSIBL
(16,9),(16,1),-0.452657 # DEPENDENCYPART_NEXTSIBL
(16,9),(16,-1),-0.932583 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,8),(16,7),-0.572299 # DEPENDENCYPART_NEXTSIBL
(16,8),(16,6),-0.459005 # DEPENDENCYPART_NEXTSIBL
(16,8),(16,4),-0.971476 # DEPENDENCYPART_NEXTSIBL
(16,8),(16,3),-0.463303 # DEPENDENCYPART_NEXTSIBL
(16,8),(16,2),-1.22193 # DEPENDENCYPART_NEXTSIBL
(16,8),(16,1),-0.986792 # DEPENDENCYPART_NEXTSIBL
(16,8),(16,-1),-0.962185 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,7),(16,6),-0.250913 # DEPENDENCYPART_NEXTSIBL
(16,7),(16,4),-1.09985 # DEPENDENCYPART_NEXTSIBL
(16,7),(16,3),-0.842277 # DEPENDENCYPART_NEXTSIBL
(16,7),(16,2),-1.29122 # DEPENDENCYPART_NEXTSIBL
(16,7),(16,1),-1.19931 # DEPENDENCYPART_NEXTSIBL
(16,7),(16,-1),-1.38754 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,6),(16,4),-0.748909 # DEPENDENCYPART_NEXTSIBL
(16,6),(16,3),-0.921266 # DEPENDENCYPART_NEXTSIBL
(16,6),(16,2),-1.05524 # DEPENDENCYPART_NEXTSIBL
(16,6),(16,1),-1.20702 # DEPENDENCYPART_NEXTSIBL
(16,6),(16,-1),-1.03264 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,4),(16,3),-0.333756 # DEPENDENCYPART_NEXTSIBL
(16,4),(16,2),-1.27296 # DEPENDENCYPART_NEXTSIBL
(16,4),(16,1),-1.4319 # DEPENDENCYPART_NEXTSIBL
(16,4),(16,-1),-0.480158 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,3),(16,2),-0.0599366 # DEPENDENCYPART_NEXTSIBL
(16,3),(16,1),-0.779612 # DEPENDENCYPART_NEXTSIBL
(16,3),(16,-1),-1.70094 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,2),(16,1),-0.510612 # DEPENDENCYPART_NEXTSIBL
(16,2),(16,-1),-0.660758 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,1),(16,-1),-0.618672 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(17,17),(17,22),-0.231561 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(17,17),(17,-1),-0.365453 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(18,18),(18,19),-0.676187 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,20),-0.56476 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,21),-0.990448 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,22),-0.510989 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(18,19),(18,20),-0.716355 # DEPENDENCYPART_NEXTSIBL
(18,19),(18,21),-0.684438 # DEPENDENCYPART_NEXTSIBL
(18,19),(18,22),-0.144799 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,20),(18,21),-0.421714 # DEPENDENCYPART_NEXTSIBL
(18,20),(18,22),-0.777916 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,21),(18,22),-1.10954 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,18),(18,17),-0.825712 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,16),0.153423 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,15),-0.257945 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,14),-0.879372 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,-1),-0.551373 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(18,17),(18,16),-0.374128 # DEPENDENCYPART_NEXTSIBL
(18,17),(18,15),-1.06264 # DEPENDENCYPART_NEXTSIBL
(18,17),(18,14),-1.07629 # DEPENDENCYPART_NEXTSIBL
(18,17),(18,-1),-0.275761 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,16),(18,15),-0.493065 # DEPENDENCYPART_NEXTSIBL
(18,16),(18,14),-0.407798 # DEPENDENCYPART_NEXTSIBL
(18,16),(18,-1),-0.57643 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,15),(18,14),-0.310952 # DEPENDENCYPART_NEXTSIBL
(18,15),(18,-1),-0.782964 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,14),(18,-1),-0.234957 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,19),(19,21),-1.14706 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(19,19),(19,22),-0.371111 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(19,21),(19,22),-1.20031 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,19),(19,-1),-0.444621 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(20,20),(20,21),-0.990449 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,22),-0.523927 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(20,21),(20,22),-1.10954 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,20),(20,19),-1.34608 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,18),-0.734459 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,17),-0.825712 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,16),0.153423 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,15),-0.257945 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,14),-0.879372 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,13),-0.521663 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,12),-0.487569 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,-1),-0.556478 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(20,19),(20,18),-0.452142 # DEPENDENCYPART_NEXTSIBL
(20,19),(20,17),-0.747642 # DEPENDENCYPART_NEXTSIBL
(20,19),(20,16),-0.777784 # DEPENDENCYPART_NEXTSIBL
(20,19),(20,15),-0.90361 # DEPENDENCYPART_NEXTSIBL
(20,19),(20,14),-1.06283 # DEPENDENCYPART_NEXTSIBL
(20,19),(20,13),-1.35412 # DEPENDENCYPART_NEXTSIBL
(20,19),(20,12),-1.03135 # DEPENDENCYPART_NEXTSIBL
(20,19),(20,-1),-0.92619 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,18),(20,17),-0.745378 # DEPENDENCYPART_NEXTSIBL
(20,18),(20,16),-0.78061 # DEPENDENCYPART_NEXTSIBL
(20,18),(20,15),-1.36368 # DEPENDENCYPART_NEXTSIBL
(20,18),(20,14),-1.32751 # DEPENDENCYPART_NEXTSIBL
(20,18),(20,13),-1.07972 # DEPENDENCYPART_NEXTSIBL
(20,18),(20,12),-1.18369 # DEPENDENCYPART_NEXTSIBL
(20,18),(20,-1),-0.202333 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,17),(20,16),-0.374128 # DEPENDENCYPART_NEXTSIBL
(20,17),(20,15),-1.06264 # DEPENDENCYPART_NEXTSIBL
(20,17),(20,14),-1.07629 # DEPENDENCYPART_NEXTSIBL
(20,17),(20,13),-0.986866 # DEPENDENCYPART_NEXTSIBL
(20,17),(20,12),-1.17335 # DEPENDENCYPART_NEXTSIBL
(20,17),(20,-1),-0.27576 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,16),(20,15),-0.493065 # DEPENDENCYPART_NEXTSIBL
(20,16),(20,14),-0.407798 # DEPENDENCYPART_NEXTSIBL
(20,16),(20,13),-0.498483 # DEPENDENCYPART_NEXTSIBL
(20,16),(20,12),-0.388198 # DEPENDENCYPART_NEXTSIBL
(20,16),(20,-1),-0.57643 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,15),(20,14),-0.310952 # DEPENDENCYPART_NEXTSIBL
(20,15),(20,13),-0.792081 # DEPENDENCYPART_NEXTSIBL
(20,15),(20,12),-0.926701 # DEPENDENCYPART_NEXTSIBL
(20,15),(20,-1),-0.782964 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,14),(20,13),-0.700074 # DEPENDENCYPART_NEXTSIBL
(20,14),(20,12),-1.15146 # DEPENDENCYPART_NEXTSIBL
(20,14),(20,-1),-0.234957 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,13),(20,12),-0.929536 # DEPENDENCYPART_NEXTSIBL
(20,13),(20,-1),-0.970202 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,12),(20,-1),-0.965895 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,21),(21,22),-0.551259 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(21,21),(21,20),-0.648972 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(21,21),(21,-1),-0.138597 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(21,20),(21,-1),-1.00867 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,2),(2,1),0.355367 # DEPENDENCYPART_GRANDPAR
(0,2),(2,3),0.257567 # DEPENDENCYPART_GRANDPAR
(0,2),(2,4),0.294695 # DEPENDENCYPART_GRANDPAR
(0,2),(2,5),-0.168181 # DEPENDENCYPART_GRANDPAR
(0,2),(2,6),0.0184841 # DEPENDENCYPART_GRANDPAR
(0,2),(2,7),0.365906 # DEPENDENCYPART_GRANDPAR
(0,2),(2,8),0.370648 # DEPENDENCYPART_GRANDPAR
(0,2),(2,9),0.17371 # DEPENDENCYPART_GRANDPAR
(0,2),(2,10),1.31893 # DEPENDENCYPART_GRANDPAR
(0,2),(2,12),0.936426 # DEPENDENCYPART_GRANDPAR
(0,2),(2,13),0.0653112 # DEPENDENCYPART_GRANDPAR
(0,2),(2,15),0.584619 # DEPENDENCYPART_GRANDPAR
(0,2),(2,16),-0.0626012 # DEPENDENCYPART_GRANDPAR
(0,2),(2,20),-0.0380209 # DEPENDENCYPART_GRANDPAR
(0,2),(2,21),1.94459 # DEPENDENCYPART_GRANDPAR
(0,8),(8,1),0.357387 # DEPENDENCYPART_GRANDPAR
(0,8),(8,2),0.468137 # DEPENDENCYPART_GRANDPAR
(0,8),(8,3),0.296334 # DEPENDENCYPART_GRANDPAR
(0,8),(8,4),-0.304356 # DEPENDENCYPART_GRANDPAR
(0,8),(8,6),-0.414421 # DEPENDENCYPART_GRANDPAR
(0,8),(8,7),-0.274135 # DEPENDENCYPART_GRANDPAR
(0,8),(8,9),0.174154 # DEPENDENCYPART_GRANDPAR
(0,8),(8,10),1.3189 # DEPENDENCYPART_GRANDPAR
(0,8),(8,12),0.936403 # DEPENDENCYPART_GRANDPAR
(0,8),(8,13),0.0653112 # DEPENDENCYPART_GRANDPAR
(0,8),(8,15),0.583487 # DEPENDENCYPART_GRANDPAR
(0,8),(8,16),-0.0626012 # DEPENDENCYPART_GRANDPAR
(0,8),(8,20),-0.0391521 # DEPENDENCYPART_GRANDPAR
(0,8),(8,21),1.94459 # DEPENDENCYPART_GRANDPAR
(0,10),(10,1),0.536154 # DEPENDENCYPART_GRANDPAR
(0,10),(10,2),0.646904 # DEPENDENCYPART_GRANDPAR
(0,10),(10,3),0.412238 # DEPENDENCYPART_GRANDPAR
(0,10),(10,4),-0.125561 # DEPENDENCYPART_GRANDPAR
(0,10),(10,6),-0.350636 # DEPENDENCYPART_GRANDPAR
(0,10),(10,7),-0.103764 # DEPENDENCYPART_GRANDPAR
(0,10),(10,8),-0.0531681 # DEPENDENCYPART_GRANDPAR
(0,10),(10,9),0.328381 # DEPENDENCYPART_GRANDPAR
(0,10),(10,11),0.305039 # DEPENDENCYPART_GRANDPAR
(0,10),(10,12),1.04002 # DEPENDENCYPART_GRANDPAR
(0,10),(10,13),0.120227 # DEPENDENCYPART_GRANDPAR
(0,10),(10,15),0.520192 # DEPENDENCYPART_GRANDPAR
(0,10),(10,16),-0.122093 # DEPENDENCYPART_GRANDPAR
(0,10),(10,20),-0.14307 # DEPENDENCYPART_GRANDPAR
(0,10),(10,21),2.01368 # DEPENDENCYPART_GRANDPAR
(0,12),(12,1),0.504751 # DEPENDENCYPART_GRANDPAR
(0,12),(12,2),0.615502 # DEPENDENCYPART_GRANDPAR
(0,12),(12,3),0.431128 # DEPENDENCYPART_GRANDPAR
(0,12),(12,8),-0.0845709 # DEPENDENCYPART_GRANDPAR
(0,12),(12,9),0.347271 # DEPENDENCYPART_GRANDPAR
(0,12),(12,10),1.17403 # DEPENDENCYPART_GRANDPAR
(0,12),(12,11),-0.316049 # DEPENDENCYPART_GRANDPAR
(0,12),(12,13),0.0631638 # DEPENDENCYPART_GRANDPAR
(0,12),(12,14),-0.364878 # DEPENDENCYPART_GRANDPAR
(0,12),(12,15),0.460808 # DEPENDENCYPART_GRANDPAR
(0,12),(12,16),-0.105958 # DEPENDENCYPART_GRANDPAR
(0,12),(12,17),-0.276746 # DEPENDENCYPART_GRANDPAR
(0,12),(12,18),-0.246887 # DEPENDENCYPART_GRANDPAR
(0,12),(12,20),-0.202454 # DEPENDENCYPART_GRANDPAR
(0,12),(12,21),1.92849 # DEPENDENCYPART_GRANDPAR
(0,16),(16,1),0.424435 # DEPENDENCYPART_GRANDPAR
(0,16),(16,2),0.535185 # DEPENDENCYPART_GRANDPAR
(0,16),(16,3),0.315774 # DEPENDENCYPART_GRANDPAR
(0,16),(16,4),-0.237222 # DEPENDENCYPART_GRANDPAR
(0,16),(16,6),-0.413307 # DEPENDENCYPART_GRANDPAR
(0,16),(16,7),-0.227475 # DEPENDENCYPART_GRANDPAR
(0,16),(16,8),-0.164396 # DEPENDENCYPART_GRANDPAR
(0,16),(16,9),0.231917 # DEPENDENCYPART_GRANDPAR
(0,16),(16,10),1.53801 # DEPENDENCYPART_GRANDPAR
(0,16),(16,11),-0.241579 # DEPENDENCYPART_GRANDPAR
(0,16),(16,12),1.03873 # DEPENDENCYPART_GRANDPAR
(0,16),(16,13),-0.327515 # DEPENDENCYPART_GRANDPAR
(0,16),(16,14),-0.75971 # DEPENDENCYPART_GRANDPAR
(0,16),(16,15),0.018711 # DEPENDENCYPART_GRANDPAR
(0,16),(16,17),-0.316514 # DEPENDENCYPART_GRANDPAR
(0,16),(16,18),-0.430806 # DEPENDENCYPART_GRANDPAR
(0,16),(16,19),-0.535304 # DEPENDENCYPART_GRANDPAR
(0,16),(16,20),-0.382437 # DEPENDENCYPART_GRANDPAR
(0,16),(16,21),1.85907 # DEPENDENCYPART_GRANDPAR
(1,2),(2,1),-0.89073 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,2),(2,3),0.0584606 # DEPENDENCYPART_GRANDPAR
(1,2),(2,4),0.328245 # DEPENDENCYPART_GRANDPAR
(1,2),(2,5),-0.689724 # DEPENDENCYPART_GRANDPAR
(1,2),(2,6),0.0527115 # DEPENDENCYPART_GRANDPAR
(1,2),(2,7),-0.0560265 # DEPENDENCYPART_GRANDPAR
(1,2),(2,8),0.165305 # DEPENDENCYPART_GRANDPAR
(1,2),(2,9),0.0374057 # DEPENDENCYPART_GRANDPAR
(1,2),(2,10),-0.128295 # DEPENDENCYPART_GRANDPAR
(1,2),(2,12),0.00426966 # DEPENDENCYPART_GRANDPAR
(1,2),(2,13),-0.286977 # DEPENDENCYPART_GRANDPAR
(1,2),(2,15),-0.347859 # DEPENDENCYPART_GRANDPAR
(1,2),(2,16),-0.184387 # DEPENDENCYPART_GRANDPAR
(1,2),(2,20),-0.24748 # DEPENDENCYPART_GRANDPAR
(1,2),(2,21),-0.761416 # DEPENDENCYPART_GRANDPAR
(1,4),(4,1),-0.89075 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,4),(4,2),0.345821 # DEPENDENCYPART_GRANDPAR
(1,4),(4,3),0.0382416 # DEPENDENCYPART_GRANDPAR
(1,4),(4,5),-0.689724 # DEPENDENCYPART_GRANDPAR
(1,4),(4,6),0.0527115 # DEPENDENCYPART_GRANDPAR
(1,4),(4,7),-0.0560265 # DEPENDENCYPART_GRANDPAR
(1,4),(4,8),0.165305 # DEPENDENCYPART_GRANDPAR
(1,4),(4,9),0.0374057 # DEPENDENCYPART_GRANDPAR
(1,4),(4,10),-0.128674 # DEPENDENCYPART_GRANDPAR
(1,4),(4,13),-0.288608 # DEPENDENCYPART_GRANDPAR
(1,5),(5,21),-0.906481 # DEPENDENCYPART_GRANDPAR
(1,8),(8,1),-0.88528 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,8),(8,2),0.351291 # DEPENDENCYPART_GRANDPAR
(1,8),(8,3),0.0395041 # DEPENDENCYPART_GRANDPAR
(1,8),(8,4),0.30204 # DEPENDENCYPART_GRANDPAR
(1,8),(8,6),0.30263 # DEPENDENCYPART_GRANDPAR
(1,8),(8,7),-0.075145 # DEPENDENCYPART_GRANDPAR
(1,8),(8,9),0.0378259 # DEPENDENCYPART_GRANDPAR
(1,8),(8,10),-0.128364 # DEPENDENCYPART_GRANDPAR
(1,8),(8,12),0.00420089 # DEPENDENCYPART_GRANDPAR
(1,8),(8,13),-0.287 # DEPENDENCYPART_GRANDPAR
(1,8),(8,15),-0.349014 # DEPENDENCYPART_GRANDPAR
(1,8),(8,16),-0.18441 # DEPENDENCYPART_GRANDPAR
(1,8),(8,20),-0.248634 # DEPENDENCYPART_GRANDPAR
(1,8),(8,21),-0.76144 # DEPENDENCYPART_GRANDPAR
(1,10),(10,1),-1.00114 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,10),(10,2),0.235431 # DEPENDENCYPART_GRANDPAR
(1,10),(10,3),-0.108126 # DEPENDENCYPART_GRANDPAR
(1,10),(10,4),0.186153 # DEPENDENCYPART_GRANDPAR
(1,10),(10,6),0.019865 # DEPENDENCYPART_GRANDPAR
(1,10),(10,7),-0.193699 # DEPENDENCYPART_GRANDPAR
(1,10),(10,8),0.0228479 # DEPENDENCYPART_GRANDPAR
(1,10),(10,9),-0.129181 # DEPENDENCYPART_GRANDPAR
(1,10),(10,11),0.161762 # DEPENDENCYPART_GRANDPAR
(1,10),(10,12),-0.0027184 # DEPENDENCYPART_GRANDPAR
(1,10),(10,13),-0.163957 # DEPENDENCYPART_GRANDPAR
(1,10),(10,15),-0.285754 # DEPENDENCYPART_GRANDPAR
(1,10),(10,16),-0.0277893 # DEPENDENCYPART_GRANDPAR
(1,10),(10,20),-0.211842 # DEPENDENCYPART_GRANDPAR
(1,10),(10,21),-0.883359 # DEPENDENCYPART_GRANDPAR
(2,1),(1,2),-1.3309 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,1),(1,3),-0.487128 # DEPENDENCYPART_GRANDPAR
(2,1),(1,4),-0.00637584 # DEPENDENCYPART_GRANDPAR
(2,1),(1,5),-0.998177 # DEPENDENCYPART_GRANDPAR
(2,1),(1,8),-0.427371 # DEPENDENCYPART_GRANDPAR
(2,1),(1,9),-0.616956 # DEPENDENCYPART_GRANDPAR
(2,1),(1,10),-0.857426 # DEPENDENCYPART_GRANDPAR
(2,4),(4,1),-0.494549 # DEPENDENCYPART_GRANDPAR
(2,4),(4,2),-0.706875 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,4),(4,3),0.230019 # DEPENDENCYPART_GRANDPAR
(2,4),(4,5),-0.712582 # DEPENDENCYPART_GRANDPAR
(2,4),(4,6),0.118294 # DEPENDENCYPART_GRANDPAR
