# _root_ Investors have complained for some time about program trading , particularly index arbitrage , to little avail .
#goldHeads=2,0,2,3,6,4,3,9,7,9,9,13,9,9,3,17,15,2,
#predictedHeads=2,0,2,3,6,4,6,9,7,9,13,13,9,13,13,17,15,2,
(7,17),(17,13),0.350602 # DEPENDENCYPART_GRANDPAR
(7,17),(17,14),0.231825 # DEPENDENCYPART_GRANDPAR
(7,17),(17,15),-0.0898557 # DEPENDENCYPART_GRANDPAR
(7,17),(17,16),-0.0560435 # DEPENDENCYPART_GRANDPAR
(7,17),(17,18),-0.296923 # DEPENDENCYPART_GRANDPAR
(8,6),(6,1),-0.966174 # DEPENDENCYPART_GRANDPAR
(8,6),(6,2),-0.852129 # DEPENDENCYPART_GRANDPAR
(8,6),(6,4),-0.592505 # DEPENDENCYPART_GRANDPAR
(8,6),(6,5),-0.45025 # DEPENDENCYPART_GRANDPAR
(8,6),(6,7),-0.346227 # DEPENDENCYPART_GRANDPAR
(8,6),(6,8),-1.50959 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,6),(6,9),-0.246854 # DEPENDENCYPART_GRANDPAR
(8,6),(6,10),-0.724953 # DEPENDENCYPART_GRANDPAR
(8,6),(6,11),-0.416465 # DEPENDENCYPART_GRANDPAR
(8,6),(6,12),-0.744642 # DEPENDENCYPART_GRANDPAR
(8,6),(6,13),-0.477869 # DEPENDENCYPART_GRANDPAR
(8,6),(6,14),-0.634235 # DEPENDENCYPART_GRANDPAR
(8,6),(6,15),-0.346505 # DEPENDENCYPART_GRANDPAR
(8,6),(6,16),-0.800236 # DEPENDENCYPART_GRANDPAR
(8,6),(6,17),-0.61115 # DEPENDENCYPART_GRANDPAR
(8,6),(6,18),-0.818734 # DEPENDENCYPART_GRANDPAR
(8,7),(7,4),-0.522469 # DEPENDENCYPART_GRANDPAR
(8,7),(7,5),-0.321179 # DEPENDENCYPART_GRANDPAR
(8,7),(7,6),-0.34751 # DEPENDENCYPART_GRANDPAR
(8,7),(7,8),-1.54961 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,7),(7,9),-0.286527 # DEPENDENCYPART_GRANDPAR
(8,7),(7,10),-0.633909 # DEPENDENCYPART_GRANDPAR
(8,7),(7,11),-0.386122 # DEPENDENCYPART_GRANDPAR
(8,7),(7,12),-0.78528 # DEPENDENCYPART_GRANDPAR
(8,7),(7,13),-0.518508 # DEPENDENCYPART_GRANDPAR
(8,7),(7,15),-0.304059 # DEPENDENCYPART_GRANDPAR
(8,7),(7,17),-0.651789 # DEPENDENCYPART_GRANDPAR
(8,13),(13,5),-0.860754 # DEPENDENCYPART_GRANDPAR
(8,13),(13,6),-0.902276 # DEPENDENCYPART_GRANDPAR
(8,13),(13,7),-0.853203 # DEPENDENCYPART_GRANDPAR
(8,13),(13,8),-0.997941 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,13),(13,9),0.256711 # DEPENDENCYPART_GRANDPAR
(8,13),(13,10),-0.131706 # DEPENDENCYPART_GRANDPAR
(8,13),(13,11),0.057359 # DEPENDENCYPART_GRANDPAR
(8,13),(13,12),-0.225197 # DEPENDENCYPART_GRANDPAR
(8,13),(13,14),0.00366263 # DEPENDENCYPART_GRANDPAR
(8,13),(13,15),0.16564 # DEPENDENCYPART_GRANDPAR
(8,13),(13,16),-0.429659 # DEPENDENCYPART_GRANDPAR
(8,13),(13,17),-0.0306796 # DEPENDENCYPART_GRANDPAR
(8,13),(13,18),-0.271784 # DEPENDENCYPART_GRANDPAR
(8,15),(15,14),-0.193371 # DEPENDENCYPART_GRANDPAR
(8,15),(15,16),-0.328001 # DEPENDENCYPART_GRANDPAR
(8,15),(15,17),0.0120945 # DEPENDENCYPART_GRANDPAR
(8,15),(15,18),-0.349803 # DEPENDENCYPART_GRANDPAR
(8,17),(17,2),-1.37036 # DEPENDENCYPART_GRANDPAR
(8,17),(17,5),-0.860754 # DEPENDENCYPART_GRANDPAR
(8,17),(17,6),-0.902276 # DEPENDENCYPART_GRANDPAR
(8,17),(17,7),-0.853203 # DEPENDENCYPART_GRANDPAR
(8,17),(17,8),-0.993536 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,17),(17,9),0.261115 # DEPENDENCYPART_GRANDPAR
(8,17),(17,11),0.0588221 # DEPENDENCYPART_GRANDPAR
(8,17),(17,12),-0.216755 # DEPENDENCYPART_GRANDPAR
(8,17),(17,13),0.0483582 # DEPENDENCYPART_GRANDPAR
(8,17),(17,14),-0.0323473 # DEPENDENCYPART_GRANDPAR
(8,17),(17,15),0.190138 # DEPENDENCYPART_GRANDPAR
(8,17),(17,16),-0.205802 # DEPENDENCYPART_GRANDPAR
(8,17),(17,18),-0.271669 # DEPENDENCYPART_GRANDPAR
(9,2),(2,1),-0.586102 # DEPENDENCYPART_GRANDPAR
(9,2),(2,3),-0.478052 # DEPENDENCYPART_GRANDPAR
(9,2),(2,4),-0.212569 # DEPENDENCYPART_GRANDPAR
(9,2),(2,5),0.031569 # DEPENDENCYPART_GRANDPAR
(9,2),(2,6),-0.081973 # DEPENDENCYPART_GRANDPAR
(9,2),(2,7),-0.0723927 # DEPENDENCYPART_GRANDPAR
(9,2),(2,9),-1.17569 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,2),(2,10),-0.305897 # DEPENDENCYPART_GRANDPAR
(9,2),(2,11),-0.237404 # DEPENDENCYPART_GRANDPAR
(9,2),(2,14),-0.352606 # DEPENDENCYPART_GRANDPAR
(9,2),(2,18),-0.493934 # DEPENDENCYPART_GRANDPAR
(9,4),(4,1),-0.566219 # DEPENDENCYPART_GRANDPAR
(9,4),(4,5),0.106102 # DEPENDENCYPART_GRANDPAR
(9,4),(4,6),0.00513262 # DEPENDENCYPART_GRANDPAR
(9,4),(4,7),-0.0129456 # DEPENDENCYPART_GRANDPAR
(9,4),(4,8),0.330958 # DEPENDENCYPART_GRANDPAR
(9,4),(4,9),-1.08078 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,4),(4,10),-0.206477 # DEPENDENCYPART_GRANDPAR
(9,4),(4,11),-0.139432 # DEPENDENCYPART_GRANDPAR
(9,4),(4,13),-0.311555 # DEPENDENCYPART_GRANDPAR
(9,4),(4,15),-0.149758 # DEPENDENCYPART_GRANDPAR
(9,4),(4,17),-0.440734 # DEPENDENCYPART_GRANDPAR
(9,4),(4,18),-0.406364 # DEPENDENCYPART_GRANDPAR
(9,5),(5,7),-0.0231626 # DEPENDENCYPART_GRANDPAR
(9,6),(6,1),-0.601231 # DEPENDENCYPART_GRANDPAR
(9,6),(6,2),-0.551105 # DEPENDENCYPART_GRANDPAR
(9,6),(6,4),-0.200665 # DEPENDENCYPART_GRANDPAR
(9,6),(6,5),-0.0201118 # DEPENDENCYPART_GRANDPAR
(9,6),(6,7),0.0528992 # DEPENDENCYPART_GRANDPAR
(9,6),(6,8),0.422914 # DEPENDENCYPART_GRANDPAR
(9,6),(6,9),-1.03862 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,6),(6,10),-0.294712 # DEPENDENCYPART_GRANDPAR
(9,6),(6,11),-0.170593 # DEPENDENCYPART_GRANDPAR
(9,6),(6,12),-0.180136 # DEPENDENCYPART_GRANDPAR
(9,6),(6,13),-0.267851 # DEPENDENCYPART_GRANDPAR
(9,6),(6,14),-0.341421 # DEPENDENCYPART_GRANDPAR
(9,6),(6,15),-0.189416 # DEPENDENCYPART_GRANDPAR
(9,6),(6,16),-0.422598 # DEPENDENCYPART_GRANDPAR
(9,6),(6,17),-0.39703 # DEPENDENCYPART_GRANDPAR
(9,6),(6,18),-0.440593 # DEPENDENCYPART_GRANDPAR
(9,7),(7,4),-0.130323 # DEPENDENCYPART_GRANDPAR
(9,7),(7,5),0.100411 # DEPENDENCYPART_GRANDPAR
(9,7),(7,6),0.0946597 # DEPENDENCYPART_GRANDPAR
(9,7),(7,8),0.413495 # DEPENDENCYPART_GRANDPAR
(9,7),(7,9),-1.07827 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,7),(7,10),-0.204782 # DEPENDENCYPART_GRANDPAR
(9,7),(7,11),-0.141364 # DEPENDENCYPART_GRANDPAR
(9,7),(7,12),-0.22133 # DEPENDENCYPART_GRANDPAR
(9,7),(7,13),-0.309045 # DEPENDENCYPART_GRANDPAR
(9,7),(7,15),-0.148084 # DEPENDENCYPART_GRANDPAR
(9,7),(7,17),-0.438224 # DEPENDENCYPART_GRANDPAR
(9,8),(8,6),0.0765177 # DEPENDENCYPART_GRANDPAR
(9,8),(8,7),-0.0384325 # DEPENDENCYPART_GRANDPAR
(9,8),(8,13),-0.267595 # DEPENDENCYPART_GRANDPAR
(9,8),(8,15),-0.189199 # DEPENDENCYPART_GRANDPAR
(9,8),(8,17),-0.396774 # DEPENDENCYPART_GRANDPAR
(9,11),(11,1),-1.15968 # DEPENDENCYPART_GRANDPAR
(9,11),(11,4),-0.631289 # DEPENDENCYPART_GRANDPAR
(9,11),(11,6),-0.431848 # DEPENDENCYPART_GRANDPAR
(9,11),(11,9),-0.518398 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,11),(11,10),0.276612 # DEPENDENCYPART_GRANDPAR
(9,11),(11,12),0.366265 # DEPENDENCYPART_GRANDPAR
(9,11),(11,13),0.296919 # DEPENDENCYPART_GRANDPAR
(9,11),(11,14),0.232535 # DEPENDENCYPART_GRANDPAR
(9,11),(11,15),0.40549 # DEPENDENCYPART_GRANDPAR
(9,11),(11,16),0.0710979 # DEPENDENCYPART_GRANDPAR
(9,11),(11,17),0.164126 # DEPENDENCYPART_GRANDPAR
(9,12),(12,9),-0.582424 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,12),(12,10),0.285543 # DEPENDENCYPART_GRANDPAR
(9,12),(12,11),0.29523 # DEPENDENCYPART_GRANDPAR
(9,12),(12,13),0.32618 # DEPENDENCYPART_GRANDPAR
(9,12),(12,15),0.327808 # DEPENDENCYPART_GRANDPAR
(9,12),(12,17),0.194452 # DEPENDENCYPART_GRANDPAR
(9,13),(13,5),-0.437517 # DEPENDENCYPART_GRANDPAR
(9,13),(13,6),-0.429064 # DEPENDENCYPART_GRANDPAR
(9,13),(13,7),-0.441587 # DEPENDENCYPART_GRANDPAR
(9,13),(13,8),-0.0717471 # DEPENDENCYPART_GRANDPAR
(9,13),(13,9),-0.555393 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,13),(13,10),0.291407 # DEPENDENCYPART_GRANDPAR
(9,13),(13,11),0.296895 # DEPENDENCYPART_GRANDPAR
(9,13),(13,12),0.316527 # DEPENDENCYPART_GRANDPAR
(9,13),(13,14),0.297033 # DEPENDENCYPART_GRANDPAR
(9,13),(13,15),0.329595 # DEPENDENCYPART_GRANDPAR
(9,13),(13,16),-0.0470171 # DEPENDENCYPART_GRANDPAR
(9,13),(13,17),0.165975 # DEPENDENCYPART_GRANDPAR
(9,13),(13,18),0.109771 # DEPENDENCYPART_GRANDPAR
(9,15),(15,14),0.0962818 # DEPENDENCYPART_GRANDPAR
(9,15),(15,16),0.0494166 # DEPENDENCYPART_GRANDPAR
(9,15),(15,17),0.2031 # DEPENDENCYPART_GRANDPAR
(9,15),(15,18),0.025782 # DEPENDENCYPART_GRANDPAR
(9,16),(16,9),-0.590804 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,16),(16,11),0.27375 # DEPENDENCYPART_GRANDPAR
(9,16),(16,13),0.177452 # DEPENDENCYPART_GRANDPAR
(9,16),(16,14),0.127077 # DEPENDENCYPART_GRANDPAR
(9,16),(16,18),0.0432798 # DEPENDENCYPART_GRANDPAR
(9,17),(17,2),-1.06609 # DEPENDENCYPART_GRANDPAR
(9,17),(17,5),-0.437517 # DEPENDENCYPART_GRANDPAR
(9,17),(17,6),-0.429064 # DEPENDENCYPART_GRANDPAR
(9,17),(17,7),-0.441587 # DEPENDENCYPART_GRANDPAR
(9,17),(17,8),-0.0717471 # DEPENDENCYPART_GRANDPAR
(9,17),(17,9),-0.550988 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,17),(17,11),0.298358 # DEPENDENCYPART_GRANDPAR
(9,17),(17,12),0.324969 # DEPENDENCYPART_GRANDPAR
(9,17),(17,13),0.235386 # DEPENDENCYPART_GRANDPAR
(9,17),(17,14),0.253339 # DEPENDENCYPART_GRANDPAR
(9,17),(17,15),0.342234 # DEPENDENCYPART_GRANDPAR
(9,17),(17,16),0.16495 # DEPENDENCYPART_GRANDPAR
(9,17),(17,18),0.109913 # DEPENDENCYPART_GRANDPAR
(9,18),(18,16),0.0570707 # DEPENDENCYPART_GRANDPAR
(9,18),(18,17),0.00332491 # DEPENDENCYPART_GRANDPAR
(11,1),(1,2),0.0838383 # DEPENDENCYPART_GRANDPAR
(11,1),(1,3),0.135025 # DEPENDENCYPART_GRANDPAR
(11,1),(1,4),0.18783 # DEPENDENCYPART_GRANDPAR
(11,1),(1,6),0.316021 # DEPENDENCYPART_GRANDPAR
(11,1),(1,7),0.484759 # DEPENDENCYPART_GRANDPAR
(11,1),(1,10),0.246357 # DEPENDENCYPART_GRANDPAR
(11,1),(1,14),-0.372386 # DEPENDENCYPART_GRANDPAR
(11,1),(1,18),-0.676584 # DEPENDENCYPART_GRANDPAR
(11,4),(4,1),0.142329 # DEPENDENCYPART_GRANDPAR
(11,4),(4,5),0.145028 # DEPENDENCYPART_GRANDPAR
(11,4),(4,6),0.207838 # DEPENDENCYPART_GRANDPAR
(11,4),(4,7),0.379382 # DEPENDENCYPART_GRANDPAR
(11,4),(4,8),0.092212 # DEPENDENCYPART_GRANDPAR
(11,4),(4,9),0.0803113 # DEPENDENCYPART_GRANDPAR
(11,4),(4,10),0.148348 # DEPENDENCYPART_GRANDPAR
(11,4),(4,11),-1.28183 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(11,4),(4,13),-0.32325 # DEPENDENCYPART_GRANDPAR
(11,4),(4,15),-0.40977 # DEPENDENCYPART_GRANDPAR
(11,4),(4,17),-0.670628 # DEPENDENCYPART_GRANDPAR
(11,4),(4,18),-0.671361 # DEPENDENCYPART_GRANDPAR
(11,6),(6,1),0.151055 # DEPENDENCYPART_GRANDPAR
(11,6),(6,2),0.0174553 # DEPENDENCYPART_GRANDPAR
(11,6),(6,4),0.0956076 # DEPENDENCYPART_GRANDPAR
(11,6),(6,5),0.221539 # DEPENDENCYPART_GRANDPAR
(11,6),(6,7),0.486601 # DEPENDENCYPART_GRANDPAR
(11,6),(6,8),0.241054 # DEPENDENCYPART_GRANDPAR
(11,6),(6,9),0.201402 # DEPENDENCYPART_GRANDPAR
(11,6),(6,10),0.229038 # DEPENDENCYPART_GRANDPAR
(11,6),(6,11),-1.28608 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(11,6),(6,12),0.0178406 # DEPENDENCYPART_GRANDPAR
(11,6),(6,13),-0.249202 # DEPENDENCYPART_GRANDPAR
(11,6),(6,14),-0.372316 # DEPENDENCYPART_GRANDPAR
(11,6),(6,15),-0.419878 # DEPENDENCYPART_GRANDPAR
(11,6),(6,16),-0.587132 # DEPENDENCYPART_GRANDPAR
(11,6),(6,17),-0.59658 # DEPENDENCYPART_GRANDPAR
(11,6),(6,18),-0.676584 # DEPENDENCYPART_GRANDPAR
(11,9),(9,2),0.0161398 # DEPENDENCYPART_GRANDPAR
(11,9),(9,4),0.102394 # DEPENDENCYPART_GRANDPAR
(11,9),(9,5),0.232622 # DEPENDENCYPART_GRANDPAR
(11,9),(9,6),0.294408 # DEPENDENCYPART_GRANDPAR
(11,9),(9,7),0.369053 # DEPENDENCYPART_GRANDPAR
(11,9),(9,8),0.2539 # DEPENDENCYPART_GRANDPAR
(11,9),(9,10),0.224583 # DEPENDENCYPART_GRANDPAR
(11,9),(9,11),-1.28607 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(11,9),(9,12),0.0176422 # DEPENDENCYPART_GRANDPAR
(11,9),(9,13),-0.2494 # DEPENDENCYPART_GRANDPAR
(11,9),(9,14),-0.372316 # DEPENDENCYPART_GRANDPAR
(11,9),(9,15),-0.419896 # DEPENDENCYPART_GRANDPAR
(11,9),(9,16),-0.58714 # DEPENDENCYPART_GRANDPAR
(11,9),(9,17),-0.596778 # DEPENDENCYPART_GRANDPAR
(11,9),(9,18),-0.676584 # DEPENDENCYPART_GRANDPAR
(11,12),(12,9),-0.232665 # DEPENDENCYPART_GRANDPAR
(11,12),(12,10),-0.265081 # DEPENDENCYPART_GRANDPAR
(11,12),(12,11),-0.921099 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(11,12),(12,13),0.17317 # DEPENDENCYPART_GRANDPAR
(11,12),(12,15),-0.033122 # DEPENDENCYPART_GRANDPAR
(11,12),(12,17),-0.173188 # DEPENDENCYPART_GRANDPAR
(11,13),(13,5),-0.230668 # DEPENDENCYPART_GRANDPAR
(11,13),(13,6),-0.119936 # DEPENDENCYPART_GRANDPAR
(11,13),(13,7),0.022016 # DEPENDENCYPART_GRANDPAR
(11,13),(13,8),-0.20261 # DEPENDENCYPART_GRANDPAR
(11,13),(13,9),-0.232665 # DEPENDENCYPART_GRANDPAR
(11,13),(13,10),-0.264552 # DEPENDENCYPART_GRANDPAR
(11,13),(13,11),-0.922732 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(11,13),(13,12),0.470243 # DEPENDENCYPART_GRANDPAR
(11,13),(13,14),0.123684 # DEPENDENCYPART_GRANDPAR
(11,13),(13,15),-0.0238867 # DEPENDENCYPART_GRANDPAR
(11,13),(13,16),-0.169279 # DEPENDENCYPART_GRANDPAR
(11,13),(13,17),-0.191134 # DEPENDENCYPART_GRANDPAR
(11,13),(13,18),-0.227689 # DEPENDENCYPART_GRANDPAR
(11,15),(15,14),0.109643 # DEPENDENCYPART_GRANDPAR
(11,15),(15,16),-0.128035 # DEPENDENCYPART_GRANDPAR
(11,15),(15,17),-0.162005 # DEPENDENCYPART_GRANDPAR
(11,15),(15,18),-0.248635 # DEPENDENCYPART_GRANDPAR
(11,16),(16,9),-0.273553 # DEPENDENCYPART_GRANDPAR
(11,16),(16,11),-0.922475 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(11,16),(16,13),0.136417 # DEPENDENCYPART_GRANDPAR
(11,16),(16,14),0.0472984 # DEPENDENCYPART_GRANDPAR
(11,16),(16,18),-0.330047 # DEPENDENCYPART_GRANDPAR
(11,17),(17,2),-0.439962 # DEPENDENCYPART_GRANDPAR
(11,17),(17,5),-0.230668 # DEPENDENCYPART_GRANDPAR
(11,17),(17,6),-0.119936 # DEPENDENCYPART_GRANDPAR
(11,17),(17,7),0.0220162 # DEPENDENCYPART_GRANDPAR
(11,17),(17,8),-0.20261 # DEPENDENCYPART_GRANDPAR
(11,17),(17,9),-0.232665 # DEPENDENCYPART_GRANDPAR
(11,17),(17,11),-0.921189 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(11,17),(17,12),0.478841 # DEPENDENCYPART_GRANDPAR
(11,17),(17,13),0.205983 # DEPENDENCYPART_GRANDPAR
(11,17),(17,14),0.128054 # DEPENDENCYPART_GRANDPAR
(11,17),(17,15),0.00139434 # DEPENDENCYPART_GRANDPAR
(11,17),(17,16),-0.0897008 # DEPENDENCYPART_GRANDPAR
(11,17),(17,18),-0.227686 # DEPENDENCYPART_GRANDPAR
(12,9),(9,2),-0.792321 # DEPENDENCYPART_GRANDPAR
(12,9),(9,4),-0.539805 # DEPENDENCYPART_GRANDPAR
(12,9),(9,5),-0.406445 # DEPENDENCYPART_GRANDPAR
(12,9),(9,6),-0.357276 # DEPENDENCYPART_GRANDPAR
(12,9),(9,7),-0.291185 # DEPENDENCYPART_GRANDPAR
(12,9),(9,8),-0.0211201 # DEPENDENCYPART_GRANDPAR
(12,9),(9,10),0.115043 # DEPENDENCYPART_GRANDPAR
(12,9),(9,11),-0.0216727 # DEPENDENCYPART_GRANDPAR
(12,9),(9,12),-1.34401 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(12,9),(9,13),-0.165002 # DEPENDENCYPART_GRANDPAR
(12,9),(9,14),-0.678619 # DEPENDENCYPART_GRANDPAR
(12,9),(9,15),-0.303838 # DEPENDENCYPART_GRANDPAR
(12,9),(9,16),-0.541685 # DEPENDENCYPART_GRANDPAR
(12,9),(9,17),-0.529021 # DEPENDENCYPART_GRANDPAR
(12,9),(9,18),-0.675916 # DEPENDENCYPART_GRANDPAR
(12,11),(11,1),-0.977117 # DEPENDENCYPART_GRANDPAR
(12,11),(11,4),-0.448354 # DEPENDENCYPART_GRANDPAR
(12,11),(11,6),-0.36415 # DEPENDENCYPART_GRANDPAR
(12,11),(11,9),-0.233993 # DEPENDENCYPART_GRANDPAR
(12,11),(11,10),0.104613 # DEPENDENCYPART_GRANDPAR
(12,11),(11,12),-1.34102 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(12,11),(11,13),-0.162015 # DEPENDENCYPART_GRANDPAR
(12,11),(11,14),-0.569374 # DEPENDENCYPART_GRANDPAR
(12,11),(11,15),-0.24267 # DEPENDENCYPART_GRANDPAR
(12,11),(11,16),-0.480542 # DEPENDENCYPART_GRANDPAR
(12,11),(11,17),-0.526034 # DEPENDENCYPART_GRANDPAR
(12,13),(13,5),-0.803431 # DEPENDENCYPART_GRANDPAR
(12,13),(13,6),-0.89291 # DEPENDENCYPART_GRANDPAR
(12,13),(13,7),-0.665723 # DEPENDENCYPART_GRANDPAR
(12,13),(13,8),-0.607463 # DEPENDENCYPART_GRANDPAR
(12,13),(13,9),-0.794306 # DEPENDENCYPART_GRANDPAR
(12,13),(13,10),-0.464177 # DEPENDENCYPART_GRANDPAR
(12,13),(13,11),-0.488406 # DEPENDENCYPART_GRANDPAR
(12,13),(13,12),-0.826342 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(12,13),(13,14),-0.0477622 # DEPENDENCYPART_GRANDPAR
(12,13),(13,15),0.215935 # DEPENDENCYPART_GRANDPAR
(12,13),(13,16),-0.171733 # DEPENDENCYPART_GRANDPAR
(12,13),(13,17),0.033925 # DEPENDENCYPART_GRANDPAR
(12,13),(13,18),-0.133395 # DEPENDENCYPART_GRANDPAR
(12,15),(15,14),-0.240071 # DEPENDENCYPART_GRANDPAR
(12,15),(15,16),-0.0691728 # DEPENDENCYPART_GRANDPAR
(12,15),(15,17),0.0828499 # DEPENDENCYPART_GRANDPAR
(12,15),(15,18),-0.209137 # DEPENDENCYPART_GRANDPAR
(12,17),(17,2),-1.27607 # DEPENDENCYPART_GRANDPAR
(12,17),(17,5),-0.803431 # DEPENDENCYPART_GRANDPAR
(12,17),(17,6),-0.89291 # DEPENDENCYPART_GRANDPAR
(12,17),(17,7),-0.665723 # DEPENDENCYPART_GRANDPAR
(12,17),(17,8),-0.607463 # DEPENDENCYPART_GRANDPAR
(12,17),(17,9),-0.794306 # DEPENDENCYPART_GRANDPAR
(12,17),(17,11),-0.488406 # DEPENDENCYPART_GRANDPAR
(12,17),(17,12),-0.8179 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(12,17),(17,13),0.359591 # DEPENDENCYPART_GRANDPAR
(12,17),(17,14),-0.0778913 # DEPENDENCYPART_GRANDPAR
(12,17),(17,15),0.22884 # DEPENDENCYPART_GRANDPAR
(12,17),(17,16),0.0460739 # DEPENDENCYPART_GRANDPAR
(12,17),(17,18),-0.133279 # DEPENDENCYPART_GRANDPAR
(13,5),(5,7),-0.139413 # DEPENDENCYPART_GRANDPAR
(13,6),(6,1),-0.690727 # DEPENDENCYPART_GRANDPAR
(13,6),(6,2),-0.717628 # DEPENDENCYPART_GRANDPAR
(13,6),(6,4),-0.286473 # DEPENDENCYPART_GRANDPAR
(13,6),(6,5),-0.277125 # DEPENDENCYPART_GRANDPAR
(13,6),(6,7),-0.0549543 # DEPENDENCYPART_GRANDPAR
(13,6),(6,8),0.347547 # DEPENDENCYPART_GRANDPAR
(13,6),(6,9),-0.0436309 # DEPENDENCYPART_GRANDPAR
(13,6),(6,10),0.207233 # DEPENDENCYPART_GRANDPAR
(13,6),(6,11),-0.014338 # DEPENDENCYPART_GRANDPAR
(13,6),(6,12),0.39215 # DEPENDENCYPART_GRANDPAR
(13,6),(6,13),-0.986176 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(13,6),(6,14),-0.299612 # DEPENDENCYPART_GRANDPAR
(13,6),(6,15),-0.274326 # DEPENDENCYPART_GRANDPAR
(13,6),(6,16),-0.265599 # DEPENDENCYPART_GRANDPAR
(13,6),(6,17),-0.264967 # DEPENDENCYPART_GRANDPAR
(13,6),(6,18),-0.303536 # DEPENDENCYPART_GRANDPAR
(13,7),(7,4),-0.227409 # DEPENDENCYPART_GRANDPAR
(13,7),(7,5),-0.161887 # DEPENDENCYPART_GRANDPAR
(13,7),(7,6),-0.00754256 # DEPENDENCYPART_GRANDPAR
(13,7),(7,8),0.351348 # DEPENDENCYPART_GRANDPAR
(13,7),(7,9),-0.0116168 # DEPENDENCYPART_GRANDPAR
(13,7),(7,10),0.191527 # DEPENDENCYPART_GRANDPAR
(13,7),(7,11),0.106182 # DEPENDENCYPART_GRANDPAR
(13,7),(7,12),0.389058 # DEPENDENCYPART_GRANDPAR
(13,7),(7,13),-1.02865 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(13,7),(7,15),-0.23372 # DEPENDENCYPART_GRANDPAR
(13,7),(7,17),-0.307446 # DEPENDENCYPART_GRANDPAR
(13,8),(8,6),-0.0178526 # DEPENDENCYPART_GRANDPAR
(13,8),(8,7),-0.1613 # DEPENDENCYPART_GRANDPAR
(13,8),(8,13),-0.985895 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(13,8),(8,15),-0.274083 # DEPENDENCYPART_GRANDPAR
(13,8),(8,17),-0.264686 # DEPENDENCYPART_GRANDPAR
(13,9),(9,2),-0.741427 # DEPENDENCYPART_GRANDPAR
(13,9),(9,4),-0.303116 # DEPENDENCYPART_GRANDPAR
(13,9),(9,5),-0.291543 # DEPENDENCYPART_GRANDPAR
(13,9),(9,6),0.0099872 # DEPENDENCYPART_GRANDPAR
(13,9),(9,7),-0.169848 # DEPENDENCYPART_GRANDPAR
(13,9),(9,8),0.440046 # DEPENDENCYPART_GRANDPAR
(13,9),(9,10),0.172177 # DEPENDENCYPART_GRANDPAR
(13,9),(9,11),-0.0313965 # DEPENDENCYPART_GRANDPAR
(13,9),(9,12),0.387141 # DEPENDENCYPART_GRANDPAR
(13,9),(9,13),-0.986086 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(13,9),(9,14),-0.299342 # DEPENDENCYPART_GRANDPAR
(13,9),(9,15),-0.274074 # DEPENDENCYPART_GRANDPAR
(13,9),(9,16),-0.265339 # DEPENDENCYPART_GRANDPAR
(13,9),(9,17),-0.264878 # DEPENDENCYPART_GRANDPAR
(13,9),(9,18),-0.303267 # DEPENDENCYPART_GRANDPAR
(13,11),(11,1),-0.72434 # DEPENDENCYPART_GRANDPAR
(13,11),(11,4),-0.23206 # DEPENDENCYPART_GRANDPAR
(13,11),(11,6),-0.0206448 # DEPENDENCYPART_GRANDPAR
(13,11),(11,9),0.00981239 # DEPENDENCYPART_GRANDPAR
(13,11),(11,10),0.15607 # DEPENDENCYPART_GRANDPAR
(13,11),(11,12),0.386887 # DEPENDENCYPART_GRANDPAR
(13,11),(11,13),-0.983026 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(13,11),(11,14),-0.190023 # DEPENDENCYPART_GRANDPAR
(13,11),(11,15),-0.212832 # DEPENDENCYPART_GRANDPAR
