# _root_ `` Psyllium 's not a good crop , '' complains Sooraji Jath , a 26-year-old farmer from the village of Lakshmipura . ``
#goldHeads=10,3,10,3,7,7,3,10,10,0,12,10,12,16,16,12,16,19,17,19,20,10,10,
#predictedHeads=10,3,10,3,7,7,3,10,10,0,12,10,12,16,16,12,16,19,17,19,20,10,10,
(2,10),(10,8),(10,7),0.119906 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,8),(10,6),0.105096 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,8),(10,5),0.10947 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,8),(10,4),0.102392 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,8),(10,3),0.122817 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,8),(10,2),0.119945 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,8),(10,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,8),(10,-1),-0.208604 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,7),(10,6),0.10556 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,7),(10,5),0.109881 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,7),(10,4),0.103956 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,7),(10,3),0.103747 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,7),(10,2),0.0941065 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,7),(10,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,7),(10,-1),-0.0829408 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,6),(10,5),0.109414 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,6),(10,4),0.107994 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,6),(10,3),0.109496 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,6),(10,2),0.108638 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,6),(10,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,6),(10,-1),-0.225655 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,5),(10,4),0.109191 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,5),(10,3),0.109468 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,5),(10,2),0.108709 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,5),(10,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,5),(10,-1),-0.164004 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,4),(10,3),0.114653 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,4),(10,2),0.108221 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,4),(10,1),-0.144713 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,4),(10,-1),-0.189935 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,3),(10,2),0.107548 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,3),(10,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,3),(10,-1),-0.153534 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,2),(10,1),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,2),(10,-1),-0.0831122 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,10),(10,1),(10,-1),-0.120263 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,12),(12,13),0.133844 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,15),-0.0415639 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,16),-0.131973 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,17),-0.021433 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,19),-0.131973 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,20),0.00760936 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,21),-0.131973 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,22),0.0757667 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,23),-0.0324136 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,24),0.133147 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,12),(12,13),(12,15),-0.0310298 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,13),(12,16),0.135132 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,13),(12,17),0.00361464 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,13),(12,19),0.135126 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,13),(12,20),0.00606279 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,13),(12,21),0.135132 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,13),(12,22),-0.0242318 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,13),(12,23),-0.0270727 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,13),(12,24),-0.0201803 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,15),(12,16),-0.0388087 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,15),(12,17),-0.0238683 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,15),(12,19),-0.0388087 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,15),(12,20),-0.0238524 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,15),(12,21),-0.0388087 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,15),(12,22),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,15),(12,23),-0.0193988 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,15),(12,24),-0.0294546 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,16),(12,17),-0.0197025 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,16),(12,19),-0.00139317 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,16),(12,20),-0.0236765 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,16),(12,21),-0.00139317 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,16),(12,22),-0.0111699 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,16),(12,23),-0.0294511 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,16),(12,24),0.0258733 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,17),(12,19),-0.0211627 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,17),(12,20),-0.0358576 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,17),(12,21),-0.0211627 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,17),(12,22),-0.0204459 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,17),(12,23),-0.0203754 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,17),(12,24),-0.0226288 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,19),(12,20),-0.0236765 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,19),(12,21),-0.00139317 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,19),(12,22),-0.0111699 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,19),(12,23),-0.0294511 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,19),(12,24),0.0258675 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,20),(12,21),-0.0174279 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,20),(12,22),-0.0210534 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,20),(12,23),-0.0208366 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,20),(12,24),-0.00940097 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,21),(12,22),-0.0111699 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,21),(12,23),-0.0294511 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,21),(12,24),0.0258733 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,22),(12,23),-0.0196249 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,22),(12,24),0.0744321 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,23),(12,24),-0.0283036 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,12),(12,11),0.161015 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,9),0.0903868 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,8),0.182012 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,7),0.161015 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,6),0.0821196 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,5),0.113866 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,-1),-0.0189342 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,12),(12,11),(12,9),0.105873 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,11),(12,8),0.116649 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,11),(12,7),0.0911065 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,11),(12,6),0.134057 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,11),(12,5),0.167155 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,11),(12,-1),-0.174096 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,9),(12,8),0.1074 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,9),(12,7),0.107045 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,9),(12,6),0.109333 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,9),(12,5),0.108783 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,9),(12,-1),-0.156988 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,8),(12,7),0.118032 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,8),(12,6),0.0725065 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,8),(12,5),0.108712 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,8),(12,-1),-0.0334281 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,7),(12,6),0.134057 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,7),(12,5),0.167155 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,7),(12,-1),-0.17411 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,6),(12,5),0.120632 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,6),(12,-1),-0.196186 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,5),(12,-1),-0.0889915 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,13),(13,24),-0.0477984 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,13),(13,13),(13,-1),-0.188231 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,16),(16,16),(16,17),-0.021433 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,18),-0.00805288 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,19),-0.131973 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,20),0.00760936 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,21),-0.131973 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,22),0.0757667 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,23),-0.0324136 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,24),0.133931 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,16),(16,17),(16,18),-0.0194506 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,17),(16,19),-0.0211627 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,17),(16,20),-0.0358576 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,17),(16,21),-0.0211627 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,17),(16,22),-0.0204459 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,17),(16,23),-0.0203754 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,17),(16,24),-0.0226288 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,18),(16,19),-0.0169578 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,18),(16,20),-0.0221574 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,18),(16,21),-0.0169578 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,18),(16,22),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,18),(16,23),-0.0227494 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,18),(16,24),-0.00947284 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,19),(16,20),-0.0236765 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,19),(16,21),-0.00139317 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,19),(16,22),-0.0111699 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,19),(16,23),-0.0294511 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,19),(16,24),0.0256001 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,20),(16,21),-0.0174279 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,20),(16,22),-0.0210534 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,20),(16,23),-0.0208366 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,20),(16,24),-0.00940097 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,21),(16,22),-0.0111699 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,21),(16,23),-0.0294511 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,21),(16,24),0.0256059 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,22),(16,23),-0.0196249 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,22),(16,24),0.0744321 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,23),(16,24),-0.0283036 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,16),(16,15),0.0806915 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,14),0.113866 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,13),0.182012 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,12),0.161014 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,11),0.161014 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,8),0.182012 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,7),0.161014 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,6),0.0821196 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,5),0.113866 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,-1),-0.018417 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,16),(16,15),(16,14),0.122119 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,15),(16,13),0.0775511 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,15),(16,12),0.123256 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,15),(16,11),0.123256 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,15),(16,8),0.0775511 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,15),(16,7),0.123256 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,15),(16,6),0.117695 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,15),(16,5),0.122119 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,15),(16,-1),-0.193454 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,14),(16,13),0.10746 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,14),(16,12),0.122034 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,14),(16,11),0.122034 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,14),(16,8),0.10746 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,14),(16,7),0.122034 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,14),(16,6),0.117394 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,14),(16,5),0.107772 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,14),(16,-1),-0.0889925 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,13),(16,12),0.118045 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,13),(16,11),0.118045 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,13),(16,8),0.108616 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,13),(16,7),0.118032 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,13),(16,6),0.0725065 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,13),(16,5),0.108712 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,13),(16,-1),-0.0334281 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,12),(16,11),0.0911045 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,12),(16,8),0.116649 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,12),(16,7),0.0911045 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,12),(16,6),0.134057 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,12),(16,5),0.167154 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,12),(16,-1),-0.174096 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,11),(16,8),0.116649 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,11),(16,7),0.0911045 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,11),(16,6),0.134057 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,11),(16,5),0.167154 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,11),(16,-1),-0.174096 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,8),(16,7),0.118032 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,8),(16,6),0.0725065 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,8),(16,5),0.108712 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,8),(16,-1),-0.0334281 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,7),(16,6),0.134057 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,7),(16,5),0.167154 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,7),(16,-1),-0.17411 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,6),(16,5),0.120632 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,6),(16,-1),-0.196186 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,5),(16,-1),-0.0889925 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,22),(22,22),(22,24),0.00397982 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,22),(22,22),(22,20),0.109123 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,22),(22,22),(22,17),0.109218 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,22),(22,22),(22,-1),-0.112602 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,22),(22,20),(22,17),0.10954 # DEPENDENCYPART_GRANDSIBL
(2,22),(22,20),(22,-1),-0.145167 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,22),(22,17),(22,-1),-0.145072 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,1),(1,1),(1,24),-0.110704 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,1),(1,1),(1,-1),0.0131286 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,2),(2,2),(2,3),-0.126519 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,4),-0.145939 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,7),-0.0538673 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,8),-0.144869 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,9),-0.1449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,10),-0.12646 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,12),-0.0538673 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,13),-0.144869 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,16),-0.0538673 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,22),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,24),-0.197155 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,2),(2,3),(2,4),-0.144713 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,3),(2,7),-0.142065 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,3),(2,8),-0.161397 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,3),(2,9),-0.144702 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,3),(2,10),-0.142049 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,3),(2,12),-0.142065 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,3),(2,13),-0.161397 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,3),(2,16),-0.142065 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,3),(2,22),-0.144708 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,3),(2,24),-0.159231 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,2),(2,4),(2,7),-0.144852 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,4),(2,8),-0.144746 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,4),(2,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,4),(2,10),-0.145353 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,4),(2,12),-0.144852 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,4),(2,13),-0.144746 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,4),(2,16),-0.144852 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,4),(2,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,4),(2,24),-0.148513 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,2),(2,7),(2,8),-0.158908 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,7),(2,9),-0.144702 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,7),(2,10),-0.145067 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,7),(2,12),-0.139044 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,7),(2,13),-0.158908 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,7),(2,16),-0.139044 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,7),(2,22),-0.144958 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,7),(2,24),-0.115569 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,2),(2,8),(2,9),-0.144906 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,8),(2,10),-0.159637 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,8),(2,12),-0.161032 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,8),(2,13),-0.144812 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,8),(2,16),-0.161032 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,8),(2,22),-0.144938 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,8),(2,24),-0.137838 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,2),(2,9),(2,10),-0.145369 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,9),(2,12),-0.145569 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,9),(2,13),-0.145047 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,9),(2,16),-0.145569 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,9),(2,22),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,9),(2,24),-0.181422 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,2),(2,10),(2,12),-0.142065 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,10),(2,13),-0.161397 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,10),(2,16),-0.142065 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,10),(2,22),-0.144708 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,10),(2,24),-0.145476 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,2),(2,12),(2,13),-0.158908 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,12),(2,16),-0.139044 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,12),(2,22),-0.144958 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,12),(2,24),-0.11556 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,2),(2,13),(2,16),-0.161032 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,13),(2,22),-0.144938 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,13),(2,24),-0.137838 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,2),(2,16),(2,22),-0.144958 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,16),(2,24),-0.115597 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,2),(2,22),(2,24),-0.14799 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,2),(2,2),(2,1),-0.0658207 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,-1),0.0280878 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,2),(2,1),(2,-1),-0.0512006 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,4),(4,4),(4,5),-0.00996353 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,4),(4,4),(4,6),-0.0848257 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,4),(4,4),(4,7),0.0028496 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,4),(4,4),(4,8),-0.0456783 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,4),(4,4),(4,10),-0.0430928 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,4),(4,4),(4,13),-0.0456783 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,4),(4,4),(4,24),0.115263 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,4),(4,5),(4,6),-0.0201089 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,5),(4,7),-0.012241 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,5),(4,8),-0.0198841 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,5),(4,10),-0.0196625 # DEPENDENCYPART_GRANDSIBL
(3,4),(4,5),(4,13),-0.0198841 # DEPENDENCYPART_GRANDSIBL
