# _root_ In fact , without Wall Street firms trading for their own accounts , the stock-index arbitrage trading opportunities for the big funds may be all the more abundant .
#goldHeads=23,1,23,23,7,7,8,4,8,12,12,9,23,18,18,18,18,23,18,22,22,19,0,23,27,27,24,27,23,
#predictedHeads=23,1,23,23,7,7,8,4,8,12,12,9,23,18,18,18,18,23,18,22,22,19,0,23,26,28,28,24,23,
(1,7),(7,17),(7,26),-0.0436697 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,17),(7,29),-0.0457481 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,17),(7,30),-0.120837 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,7),(7,18),(7,22),-0.0526642 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,18),(7,23),-0.0438088 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,18),(7,26),-0.0436697 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,18),(7,29),-0.0457468 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,18),(7,30),-0.120229 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,7),(7,22),(7,23),-0.0438088 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,22),(7,26),-0.0436697 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,22),(7,29),-0.0457468 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,22),(7,30),-0.119456 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,7),(7,23),(7,26),-0.0420056 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,23),(7,29),-0.041999 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,23),(7,30),-0.0160781 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,7),(7,26),(7,29),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,26),(7,30),-0.0328222 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,7),(7,29),(7,30),-0.0623988 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,7),(7,7),(7,6),0.180595 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,7),(7,7),(7,5),0.182861 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,7),(7,7),(7,4),0.172008 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,7),(7,7),(7,3),0.00717476 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,7),(7,7),(7,2),0.178941 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,7),(7,7),(7,1),0.163379 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,7),(7,7),(7,-1),-0.101771 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,7),(7,6),(7,5),0.142533 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,6),(7,4),0.116958 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,6),(7,3),0.0670354 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,6),(7,2),0.141993 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,6),(7,1),0.115283 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,7),(7,6),(7,-1),-0.111182 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,7),(7,5),(7,4),0.116958 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,5),(7,3),0.0670354 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,5),(7,2),0.138045 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,5),(7,1),0.115283 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,7),(7,5),(7,-1),-0.108867 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,7),(7,4),(7,3),0.117269 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,4),(7,2),0.110544 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,4),(7,1),0.117873 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,7),(7,4),(7,-1),-0.0987994 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,7),(7,3),(7,2),0.0318258 # DEPENDENCYPART_GRANDSIBL
(1,7),(7,3),(7,1),0.131001 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,7),(7,3),(7,-1),-0.14086 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,7),(7,2),(7,1),0.115283 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,7),(7,2),(7,-1),-0.115093 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,7),(7,1),(7,-1),-0.105329 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,8),(8,8),(8,9),-0.110548 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,8),(8,8),(8,11),-0.0561204 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,8),(8,8),(8,12),0.078479 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,8),(8,8),(8,13),-0.0867354 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,8),(8,8),(8,18),0.0762519 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,8),(8,8),(8,19),-0.110548 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,8),(8,8),(8,24),-0.0670092 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,8),(8,8),(8,29),-0.0448079 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,8),(8,8),(8,30),-0.0273253 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,8),(8,9),(8,11),-0.0421328 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,9),(8,12),-0.0448666 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,9),(8,13),-0.0480974 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,9),(8,18),-0.0448666 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,9),(8,19),-0.043591 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,9),(8,24),-0.0263345 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,9),(8,29),-0.042465 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,9),(8,30),-0.044447 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,8),(8,11),(8,12),-0.0460109 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,11),(8,13),-0.0463481 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,11),(8,18),-0.0460109 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,11),(8,19),-0.0412021 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,11),(8,24),-0.0455599 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,11),(8,29),-0.0427869 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,11),(8,30),-0.0510316 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,8),(8,12),(8,13),-0.0741289 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,12),(8,18),-0.0492338 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,12),(8,19),0.010242 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,12),(8,24),-0.0340282 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,12),(8,29),-0.0453502 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,12),(8,30),-0.0371991 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,8),(8,13),(8,18),-0.0569127 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,13),(8,19),-0.0602181 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,13),(8,24),-0.0466663 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,13),(8,29),-0.0420085 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,13),(8,30),-0.0432428 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,8),(8,18),(8,19),0.00772699 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,18),(8,24),-0.0340282 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,18),(8,29),-0.0453502 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,18),(8,30),-0.0369112 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,8),(8,19),(8,24),-0.0263345 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,19),(8,29),-0.042465 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,19),(8,30),-0.044447 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,8),(8,24),(8,29),-0.0430385 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,24),(8,30),-0.0826226 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,8),(8,29),(8,30),-0.0458084 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,8),(8,8),(8,7),0.128343 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,8),(8,8),(8,6),0.132247 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,8),(8,8),(8,4),0.108876 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,8),(8,8),(8,2),0.133075 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,8),(8,8),(8,1),0.112683 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,8),(8,8),(8,-1),-0.116002 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,8),(8,7),(8,6),0.134237 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,7),(8,4),0.120165 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,7),(8,2),0.13424 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,7),(8,1),0.118304 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,8),(8,7),(8,-1),-0.112751 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,8),(8,6),(8,4),0.120191 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,6),(8,2),0.134059 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,6),(8,1),0.11833 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,8),(8,6),(8,-1),-0.109158 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,8),(8,4),(8,2),0.119925 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,4),(8,1),0.118193 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,8),(8,4),(8,-1),-0.136892 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,8),(8,2),(8,1),0.11833 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,8),(8,2),(8,-1),-0.108501 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,8),(8,1),(8,-1),-0.127683 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,1),(1,1),(1,2),-0.144665 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,1),(1,1),(1,3),-0.127581 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,1),(1,4),-0.12611 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,1),(1,7),-0.144665 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,1),(1,8),-0.126949 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,1),(1,30),-0.0806087 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,1),(1,2),(1,3),-0.124921 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,2),(1,4),-0.124898 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,2),(1,7),-0.125348 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,2),(1,8),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,2),(1,30),-0.141699 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,1),(1,3),(1,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,3),(1,7),-0.124899 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,3),(1,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,3),(1,30),-0.11174 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,1),(1,4),(1,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,4),(1,8),-0.12489 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,4),(1,30),-0.142255 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,1),(1,7),(1,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,7),(1,30),-0.141695 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,1),(1,8),(1,30),-0.124687 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,1),(1,1),(1,-1),-0.362692 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,3),(3,3),(3,4),-0.0574017 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,30),-0.0115052 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,3),(3,4),(3,30),-0.0610288 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,3),(3,1),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,-1),-0.0963668 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,3),(3,1),(3,-1),-0.128902 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,4),(4,5),0.0544512 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,6),0.0671627 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,7),0.0865185 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,8),-0.0442659 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,9),-0.057761 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,12),0.0711791 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,30),-0.350248 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,4),(4,5),(4,6),-0.0782365 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,7),-0.0776074 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,8),-0.0505106 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,9),-0.0356464 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,12),-0.0771637 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,30),0.0145255 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,6),(4,7),-0.077635 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,8),-0.0505924 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,9),-0.0324886 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,12),-0.0771914 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,30),0.0271994 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,7),(4,8),-0.0506646 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,7),(4,9),-0.0357042 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,7),(4,12),-0.0771471 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,7),(4,30),0.0459973 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,8),(4,9),-0.0448294 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,8),(4,12),-0.0450104 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,8),(4,30),-0.0289079 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,9),(4,12),-0.0477013 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,9),(4,30),-0.0800614 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,12),(4,30),0.0312314 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,4),(4,3),0.109424 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,2),0.0591721 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,4),(4,4),(4,1),-0.12583 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,-1),-0.0843844 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,4),(4,3),(4,2),0.116202 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,3),(4,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,3),(4,-1),-0.114987 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,2),(4,1),-0.124911 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,2),(4,-1),-0.143558 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,4),(4,1),(4,-1),-0.151163 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,6),(6,6),(6,7),-0.182482 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,6),(6,6),(6,8),0.0468001 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,6),(6,6),(6,9),-0.0339009 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,6),(6,6),(6,30),0.0954944 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,6),(6,7),(6,8),-0.0429982 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,7),(6,9),-0.0319467 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,7),(6,30),0.0036998 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,6),(6,8),(6,9),-0.0514491 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,8),(6,30),-0.0129896 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,6),(6,9),(6,30),-0.0739427 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,6),(6,6),(6,5),0.145701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,6),(6,6),(6,4),0.196268 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,6),(6,6),(6,3),0.165609 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,6),(6,6),(6,-1),0.0259249 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,6),(6,5),(6,4),0.113075 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,5),(6,3),0.122623 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,5),(6,-1),-0.14688 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,6),(6,4),(6,3),0.114313 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,4),(6,-1),-0.0950449 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,6),(6,3),(6,-1),-0.00337849 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,7),(7,8),0.0467009 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,9),-0.033946 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,11),-0.0687307 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,12),-0.183717 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,13),0.138484 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,17),-0.18324 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,18),-0.183945 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,22),-0.18481 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,23),-0.0498415 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,26),-0.039146 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,29),0.0853674 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,30),0.0953274 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,7),(7,8),(7,9),-0.0514491 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,8),(7,11),-0.0438367 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,8),(7,12),-0.0484194 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,8),(7,13),-0.0559694 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,8),(7,17),-0.0484194 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,8),(7,18),-0.0484194 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,8),(7,22),-0.0484194 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,8),(7,23),-0.0428132 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,8),(7,26),-0.0319339 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,8),(7,29),-0.0421587 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,8),(7,30),-0.0132704 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,9),(7,11),-0.0407804 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,9),(7,12),-0.0427214 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,9),(7,13),-0.076915 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,9),(7,17),-0.0428049 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,9),(7,18),-0.0427214 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,9),(7,22),-0.0427214 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,9),(7,23),-0.0389505 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,9),(7,26),-0.0425505 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,9),(7,29),-0.0454444 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,9),(7,30),-0.0739849 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,11),(7,12),-0.0617138 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,11),(7,13),-0.0325489 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,11),(7,17),-0.0617138 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,11),(7,18),-0.0617138 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,11),(7,22),-0.0617138 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,11),(7,23),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,11),(7,26),-0.0628089 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,11),(7,29),-0.0421103 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,11),(7,30),-0.0537148 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,12),(7,13),-0.051915 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,12),(7,17),-0.0133135 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,12),(7,18),-0.0133061 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,12),(7,22),-0.0133061 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,12),(7,23),-0.0428216 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,12),(7,26),-0.0143623 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,12),(7,29),-0.0383558 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,12),(7,30),0.00183568 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,13),(7,17),0.133748 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,13),(7,18),0.133752 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,13),(7,22),0.133452 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,13),(7,23),-0.0523915 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,13),(7,26),-0.0474936 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,13),(7,29),-0.0439761 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,13),(7,30),-0.0439309 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,17),(7,18),-0.0133063 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,17),(7,22),-0.0133063 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,17),(7,23),-0.0428223 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,17),(7,26),-0.0143698 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,17),(7,29),-0.0383558 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,17),(7,30),0.00224967 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,18),(7,22),-0.0133061 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,18),(7,23),-0.0428216 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,18),(7,26),-0.0143623 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,18),(7,29),-0.0383558 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,18),(7,30),0.00162789 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,22),(7,23),-0.0428216 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,22),(7,26),-0.0143623 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,22),(7,29),-0.0383558 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,22),(7,30),0.000560807 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,23),(7,26),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,23),(7,29),-0.0419991 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,23),(7,30),-0.0706607 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,26),(7,29),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,26),(7,30),-0.00917298 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,29),(7,30),0.0957853 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,7),(7,6),0.145747 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,5),0.145315 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,4),0.196271 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,3),0.165615 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,2),0.145319 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,7),(7,7),(7,1),-0.144064 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,-1),0.0173014 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,7),(7,6),(7,5),0.109924 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,6),(7,4),0.112917 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,6),(7,3),0.122623 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,6),(7,2),0.109476 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,6),(7,1),-0.125035 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,6),(7,-1),-0.144358 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,5),(7,4),0.112916 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,5),(7,3),0.122623 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,5),(7,2),0.109075 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,5),(7,1),-0.125035 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,5),(7,-1),-0.144594 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,4),(7,3),0.114313 # DEPENDENCYPART_GRANDSIBL
