# _root_ The marriage of news and theater , if not exactly inevitable , has been consummated nonetheless .
#goldHeads=2,13,2,5,3,5,13,11,11,11,13,13,0,13,14,15,13,
#predictedHeads=2,13,2,5,3,5,2,11,11,11,2,2,0,13,14,15,13,
(0,15),(15,9),(15,4),0.158489 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,9),(15,3),0.108388 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,9),(15,2),0.156908 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,9),(15,-1),-0.173632 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,15),(15,8),(15,7),0.110865 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,8),(15,6),0.162895 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,8),(15,5),0.0967148 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,8),(15,4),0.162895 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,8),(15,3),0.116749 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,8),(15,2),0.162895 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,8),(15,-1),-0.269882 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,15),(15,7),(15,6),0.101831 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,7),(15,5),0.0967686 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,7),(15,4),0.10525 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,7),(15,3),0.31616 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,7),(15,2),0.101831 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,7),(15,-1),-0.349652 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,15),(15,6),(15,5),0.130786 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,6),(15,4),0.105897 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,6),(15,3),-0.0820865 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,6),(15,2),0.105898 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,6),(15,-1),0.0646639 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,15),(15,5),(15,4),-0.0417847 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,5),(15,3),-0.00759001 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,5),(15,2),0.00835233 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,5),(15,-1),0.0109082 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,15),(15,4),(15,3),-0.0826086 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,4),(15,2),0.105799 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,4),(15,-1),0.0671214 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,15),(15,3),(15,2),0.162871 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,3),(15,-1),-0.232221 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,15),(15,2),(15,-1),0.0646639 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,3),(3,4),0.0179805 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,3),(3,3),(3,5),0.0227135 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,3),(3,3),(3,6),0.0179808 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,3),(3,3),(3,7),-0.0194569 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,3),(3,3),(3,9),-0.0210585 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,3),(3,3),(3,10),-0.0209883 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,3),(3,3),(3,16),-0.0209883 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,3),(3,3),(3,17),-0.0194405 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,3),(3,3),(3,18),-0.0929159 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,3),(3,4),(3,5),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,4),(3,6),-0.0196698 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,4),(3,7),-0.0235296 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,4),(3,9),-0.0196561 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,4),(3,10),-0.0195845 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,4),(3,16),-0.0195845 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,4),(3,17),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,4),(3,18),0.0215839 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,5),(3,6),0.120706 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,5),(3,7),0.225328 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,5),(3,9),0.180086 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,5),(3,10),0.198852 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,5),(3,16),0.112612 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,5),(3,17),0.137023 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,5),(3,18),0.0235199 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,6),(3,7),-0.0235296 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,6),(3,9),-0.0196561 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,6),(3,10),-0.0195845 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,6),(3,16),-0.0195845 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,6),(3,17),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,6),(3,18),0.021588 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,7),(3,9),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,7),(3,10),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,7),(3,16),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,7),(3,17),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,7),(3,18),-0.0244425 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,9),(3,10),-0.0194441 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,9),(3,16),-0.0194441 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,9),(3,17),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,9),(3,18),-0.021104 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,10),(3,16),-0.0194429 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,10),(3,17),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,10),(3,18),-0.0210275 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,16),(3,17),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(1,3),(3,16),(3,18),-0.0210275 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,17),(3,18),-0.0194405 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,3),(3,3),(3,1),0.106043 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,3),(3,3),(3,-1),-0.127334 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,3),(3,1),(3,-1),-0.149425 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,1),(1,1),(1,3),-0.147612 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,1),(1,18),0.0952352 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,1),(1,3),(1,18),-0.173678 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,1),(1,1),(1,-1),0.214429 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,3),(3,3),(3,4),0.125313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,5),0.0584807 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,6),0.124071 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,7),-0.0466071 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,9),-0.0700308 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,10),-0.0666949 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,16),-0.0666949 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,17),-0.0194405 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,18),-0.37829 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,3),(3,4),(3,5),-0.0389636 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,6),-0.0616137 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,7),0.00370842 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,9),-0.0260263 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,10),-0.0259983 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,16),-0.0259983 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,17),-0.0194428 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,18),0.0409182 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,5),(3,6),-0.0075882 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,7),0.217099 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,9),0.101484 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,10),0.135707 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,16),0.109299 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,17),0.105205 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,18),0.0291242 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,6),(3,7),0.00370842 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,9),-0.0260263 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,10),-0.0259983 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,16),-0.0259983 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,17),-0.0194428 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,18),0.0381512 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,7),(3,9),-0.00392948 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,10),-0.00928713 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,16),-0.00928713 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,17),-0.0209278 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,18),-0.00126869 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,9),(3,10),-0.00139468 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,9),(3,16),-0.00139468 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,9),(3,17),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,9),(3,18),0.0106364 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,10),(3,16),-0.00677599 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,10),(3,17),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,10),(3,18),0.0121031 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,16),(3,17),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,16),(3,18),0.0121031 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,17),(3,18),-0.0246046 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,3),(3,1),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,-1),-0.0521678 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,3),(3,1),(3,-1),-0.169261 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,4),(4,6),-0.131973 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,18),0.136886 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,4),(4,6),(4,18),0.0259137 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,4),(4,3),0.200155 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,2),0.161477 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,1),-0.144702 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,-1),-0.0171137 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,4),(4,3),(4,2),0.101972 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,3),(4,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,3),(4,-1),-0.0829337 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,2),(4,1),-0.145039 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,2),(4,-1),-0.173874 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,4),(4,1),(4,-1),-0.158853 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,5),(5,6),-0.0675895 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,7),-0.0290923 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,8),-0.00693666 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,9),-0.0153442 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,10),-0.0122974 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,11),0.132785 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,12),-0.0290923 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,13),0.018187 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,14),0.00829678 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,15),0.00831106 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,17),-0.0252004 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,18),-0.253183 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,5),(5,6),(5,7),-0.0745733 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,6),(5,8),-0.0064358 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,6),(5,9),-0.0261119 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,6),(5,10),-0.0260247 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,6),(5,11),-0.0915072 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,6),(5,12),-0.0745733 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,6),(5,13),-0.0316232 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,6),(5,14),-0.0315015 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,6),(5,15),-0.0315015 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,6),(5,17),-0.0156692 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,6),(5,18),-0.00985784 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,7),(5,8),-0.0329327 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,7),(5,9),-0.0056011 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,7),(5,10),-0.00547288 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,7),(5,11),0.109566 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,7),(5,12),-0.0196752 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,7),(5,13),-0.0417465 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,7),(5,14),-0.0413764 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,7),(5,15),-0.0413752 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,7),(5,17),-0.0195141 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,7),(5,18),-0.0592682 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,8),(5,9),-0.0144273 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,8),(5,10),-0.0144039 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,8),(5,11),-0.0244807 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,8),(5,12),-0.0191975 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,8),(5,13),-0.0273922 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,8),(5,14),-0.0273394 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,8),(5,15),-0.0273394 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,8),(5,17),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,8),(5,18),0.0479482 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,9),(5,10),-0.0236954 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,9),(5,11),-0.0175786 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,9),(5,12),-0.0247997 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,9),(5,13),-0.00473567 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,9),(5,14),-0.00790174 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,9),(5,15),-0.00790174 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,9),(5,17),-0.019613 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,9),(5,18),0.0146225 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,10),(5,11),-0.0168611 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,10),(5,12),-0.0247627 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,10),(5,13),-0.00472143 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,10),(5,14),-0.0078875 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,10),(5,15),-0.0078875 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,10),(5,17),-0.019613 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,10),(5,18),0.0109361 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,11),(5,12),0.0135628 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,11),(5,13),-0.0215483 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,11),(5,14),-0.0215483 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,11),(5,15),-0.0215483 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,11),(5,17),-0.0223404 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,11),(5,18),0.104202 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,12),(5,13),-0.0417465 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,12),(5,14),-0.0413764 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,12),(5,15),-0.0413752 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,12),(5,17),-0.0195141 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,12),(5,18),-0.0592682 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,13),(5,14),-0.0245577 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,13),(5,15),-0.0245126 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,13),(5,17),-0.0223631 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,13),(5,18),-0.00821301 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,14),(5,15),-0.0244471 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,14),(5,17),-0.0223631 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,14),(5,18),-0.0211478 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,15),(5,17),-0.0223631 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,15),(5,18),-0.0211172 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,17),(5,18),-0.0291688 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,5),(5,4),0.195451 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,3),0.208636 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,2),0.195461 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,1),-0.144702 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,-1),-0.451396 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,5),(5,4),(5,3),0.0789743 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,4),(5,2),0.138588 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,4),(5,1),-0.145401 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,4),(5,-1),-0.197725 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,3),(5,2),0.101426 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,3),(5,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,3),(5,-1),-0.0599574 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,2),(5,1),-0.145401 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,2),(5,-1),-0.197725 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,5),(5,1),(5,-1),-0.0982665 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,6),(6,6),(6,7),0.133836 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,6),(6,6),(6,8),-0.00323006 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,6),(6,6),(6,9),-0.0276921 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,6),(6,6),(6,10),-0.0301868 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,6),(6,6),(6,11),-0.041564 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,6),(6,6),(6,12),0.133836 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,6),(6,6),(6,13),0.0503956 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,6),(6,6),(6,14),0.0478653 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,6),(6,6),(6,16),-0.0301868 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,6),(6,6),(6,17),0.0757667 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,6),(6,6),(6,18),0.13788 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,6),(6,7),(6,8),0.003624 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,7),(6,9),-0.0277552 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,7),(6,10),-0.0275909 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,7),(6,11),-0.0310298 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,7),(6,12),-0.0232074 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,7),(6,13),-0.0659408 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,7),(6,14),-0.0676571 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,7),(6,16),-0.0275909 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,7),(6,17),-0.0242318 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,7),(6,18),-0.020159 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,6),(6,8),(6,9),-0.020638 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,8),(6,10),-0.020638 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,8),(6,11),-0.0184824 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,8),(6,12),-0.0480098 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,8),(6,13),-0.0147679 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,8),(6,14),-0.0144917 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,8),(6,16),-0.020638 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,8),(6,17),-0.0204459 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,8),(6,18),-0.0145335 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,6),(6,9),(6,10),-0.023208 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,9),(6,11),-0.0197503 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,9),(6,12),-0.0227454 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,9),(6,13),-0.022616 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,9),(6,14),-0.0222288 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,9),(6,16),-0.023208 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,9),(6,17),-0.0198722 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,9),(6,18),-0.0374322 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,6),(6,10),(6,11),-0.0195969 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,10),(6,12),-0.0227454 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,10),(6,13),-0.0226126 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,10),(6,14),-0.0222254 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,10),(6,16),-0.0232032 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,10),(6,17),-0.0198722 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,10),(6,18),-0.0363743 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,6),(6,11),(6,12),-0.0272133 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,11),(6,13),-0.0151171 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,11),(6,14),-0.0151171 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,11),(6,16),-0.0213569 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,11),(6,17),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,11),(6,18),-0.0294546 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,6),(6,12),(6,13),-0.0659408 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,12),(6,14),-0.0676571 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,12),(6,16),-0.0275909 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,12),(6,17),-0.0242318 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,12),(6,18),-0.020159 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,6),(6,13),(6,14),-0.0242337 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,13),(6,16),-0.0198125 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,13),(6,17),-0.0195611 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,13),(6,18),0.00681997 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,6),(6,14),(6,16),-0.0198125 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,14),(6,17),-0.0195606 # DEPENDENCYPART_GRANDSIBL
(2,6),(6,14),(6,18),0.00238438 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,6),(6,16),(6,17),-0.0198722 # DEPENDENCYPART_GRANDSIBL
