# _root_ The Pentagon 's recently issued `` Soviet Military Power , '' though in general adopting a softer line , repeated the Sverdlovsk assessment .
#goldHeads=2,9,2,5,9,9,9,9,20,20,20,15,15,13,20,18,18,15,20,0,23,23,20,20,
#predictedHeads=2,9,2,5,20,9,9,9,5,9,9,15,15,13,9,18,18,15,20,0,23,23,20,20,
(20,11),(20,9),-0.923007 # DEPENDENCYPART_NEXTSIBL
(20,11),(20,8),-0.901385 # DEPENDENCYPART_NEXTSIBL
(20,11),(20,7),-0.947788 # DEPENDENCYPART_NEXTSIBL
(20,11),(20,6),-1.14107 # DEPENDENCYPART_NEXTSIBL
(20,11),(20,5),-0.954635 # DEPENDENCYPART_NEXTSIBL
(20,11),(20,4),-1.1446 # DEPENDENCYPART_NEXTSIBL
(20,11),(20,2),-1.08067 # DEPENDENCYPART_NEXTSIBL
(20,11),(20,-1),-1.14766 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,10),(20,9),-0.637684 # DEPENDENCYPART_NEXTSIBL
(20,10),(20,8),-0.695898 # DEPENDENCYPART_NEXTSIBL
(20,10),(20,7),-0.655414 # DEPENDENCYPART_NEXTSIBL
(20,10),(20,6),-0.99134 # DEPENDENCYPART_NEXTSIBL
(20,10),(20,5),-0.382243 # DEPENDENCYPART_NEXTSIBL
(20,10),(20,4),-0.806437 # DEPENDENCYPART_NEXTSIBL
(20,10),(20,2),-0.875514 # DEPENDENCYPART_NEXTSIBL
(20,10),(20,-1),-1.33195 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,9),(20,8),-0.409778 # DEPENDENCYPART_NEXTSIBL
(20,9),(20,7),-0.542035 # DEPENDENCYPART_NEXTSIBL
(20,9),(20,6),-0.632736 # DEPENDENCYPART_NEXTSIBL
(20,9),(20,5),-1.11404 # DEPENDENCYPART_NEXTSIBL
(20,9),(20,4),-0.793252 # DEPENDENCYPART_NEXTSIBL
(20,9),(20,2),-1.1147 # DEPENDENCYPART_NEXTSIBL
(20,9),(20,-1),-1.10178 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,8),(20,7),-0.496495 # DEPENDENCYPART_NEXTSIBL
(20,8),(20,6),-0.668685 # DEPENDENCYPART_NEXTSIBL
(20,8),(20,5),-0.942625 # DEPENDENCYPART_NEXTSIBL
(20,8),(20,4),-0.992252 # DEPENDENCYPART_NEXTSIBL
(20,8),(20,2),-1.02495 # DEPENDENCYPART_NEXTSIBL
(20,8),(20,-1),-1.19571 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,7),(20,6),-0.241679 # DEPENDENCYPART_NEXTSIBL
(20,7),(20,5),-0.682897 # DEPENDENCYPART_NEXTSIBL
(20,7),(20,4),-0.792537 # DEPENDENCYPART_NEXTSIBL
(20,7),(20,2),-0.842116 # DEPENDENCYPART_NEXTSIBL
(20,7),(20,-1),-0.785726 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,6),(20,5),-0.678276 # DEPENDENCYPART_NEXTSIBL
(20,6),(20,4),-0.744173 # DEPENDENCYPART_NEXTSIBL
(20,6),(20,2),-0.822033 # DEPENDENCYPART_NEXTSIBL
(20,6),(20,-1),-1.27853 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,5),(20,4),-0.475325 # DEPENDENCYPART_NEXTSIBL
(20,5),(20,2),-0.678508 # DEPENDENCYPART_NEXTSIBL
(20,5),(20,-1),-0.877999 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,4),(20,2),-0.574497 # DEPENDENCYPART_NEXTSIBL
(20,4),(20,-1),-0.686071 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,2),(20,-1),-0.454218 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,21),(21,25),-0.0856959 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(21,21),(21,-1),-0.219588 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(22,22),(22,23),-0.361363 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,25),-0.362073 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(22,23),(22,25),-0.873043 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,22),(22,21),-0.668012 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,-1),-0.395969 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(22,21),(22,-1),-0.547649 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(23,23),(23,24),-0.973474 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(23,23),(23,25),-0.375099 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(23,24),(23,25),-1.76568 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(23,23),(23,22),-0.323333 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(23,23),(23,21),-0.665408 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(23,23),(23,19),-1.41749 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(23,23),(23,18),-0.065512 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(23,23),(23,17),-0.173398 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(23,23),(23,16),-0.851577 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(23,23),(23,15),-0.277851 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(23,23),(23,14),-0.267122 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(23,23),(23,-1),-0.40236 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(23,22),(23,21),-0.468093 # DEPENDENCYPART_NEXTSIBL
(23,22),(23,19),-1.51211 # DEPENDENCYPART_NEXTSIBL
(23,22),(23,18),-1.23162 # DEPENDENCYPART_NEXTSIBL
(23,22),(23,17),-0.972779 # DEPENDENCYPART_NEXTSIBL
(23,22),(23,16),-1.27747 # DEPENDENCYPART_NEXTSIBL
(23,22),(23,15),-0.885721 # DEPENDENCYPART_NEXTSIBL
(23,22),(23,14),-1.21893 # DEPENDENCYPART_NEXTSIBL
(23,22),(23,-1),-1.31459 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(23,21),(23,19),-0.995976 # DEPENDENCYPART_NEXTSIBL
(23,21),(23,18),-1.18241 # DEPENDENCYPART_NEXTSIBL
(23,21),(23,17),-1.11343 # DEPENDENCYPART_NEXTSIBL
(23,21),(23,16),-1.18867 # DEPENDENCYPART_NEXTSIBL
(23,21),(23,15),-1.26385 # DEPENDENCYPART_NEXTSIBL
(23,21),(23,14),-1.13794 # DEPENDENCYPART_NEXTSIBL
(23,21),(23,-1),-0.544634 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(23,19),(23,18),-0.224933 # DEPENDENCYPART_NEXTSIBL
(23,19),(23,17),-0.277373 # DEPENDENCYPART_NEXTSIBL
(23,19),(23,16),-0.737178 # DEPENDENCYPART_NEXTSIBL
(23,19),(23,15),0.11826 # DEPENDENCYPART_NEXTSIBL
(23,19),(23,14),-0.25043 # DEPENDENCYPART_NEXTSIBL
(23,19),(23,-1),-0.93955 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(23,18),(23,17),-0.192985 # DEPENDENCYPART_NEXTSIBL
(23,18),(23,16),-0.352021 # DEPENDENCYPART_NEXTSIBL
(23,18),(23,15),-0.867061 # DEPENDENCYPART_NEXTSIBL
(23,18),(23,14),-0.78046 # DEPENDENCYPART_NEXTSIBL
(23,18),(23,-1),-0.941321 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(23,17),(23,16),-0.212586 # DEPENDENCYPART_NEXTSIBL
(23,17),(23,15),-0.716187 # DEPENDENCYPART_NEXTSIBL
(23,17),(23,14),-1.00358 # DEPENDENCYPART_NEXTSIBL
(23,17),(23,-1),-0.827801 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(23,16),(23,15),-0.78963 # DEPENDENCYPART_NEXTSIBL
(23,16),(23,14),-0.643627 # DEPENDENCYPART_NEXTSIBL
(23,16),(23,-1),-0.405299 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(23,15),(23,14),-0.270214 # DEPENDENCYPART_NEXTSIBL
(23,15),(23,-1),-0.950363 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(23,14),(23,-1),-0.720156 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(24,24),(24,25),-0.405394 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(24,24),(24,23),-0.451657 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(24,24),(24,-1),0.00726794 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(24,23),(24,-1),-1.1105 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,2),(2,1),0.0611801 # DEPENDENCYPART_GRANDPAR
(0,2),(2,3),0.0679889 # DEPENDENCYPART_GRANDPAR
(0,2),(2,4),0.625703 # DEPENDENCYPART_GRANDPAR
(0,2),(2,5),0.589516 # DEPENDENCYPART_GRANDPAR
(0,2),(2,6),0.190347 # DEPENDENCYPART_GRANDPAR
(0,2),(2,7),-0.0754825 # DEPENDENCYPART_GRANDPAR
(0,2),(2,9),0.0913394 # DEPENDENCYPART_GRANDPAR
(0,2),(2,10),0.24362 # DEPENDENCYPART_GRANDPAR
(0,2),(2,11),0.296816 # DEPENDENCYPART_GRANDPAR
(0,2),(2,18),0.352779 # DEPENDENCYPART_GRANDPAR
(0,2),(2,19),0.010862 # DEPENDENCYPART_GRANDPAR
(0,2),(2,24),2.53482 # DEPENDENCYPART_GRANDPAR
(0,4),(4,1),-0.00292896 # DEPENDENCYPART_GRANDPAR
(0,4),(4,2),0.381521 # DEPENDENCYPART_GRANDPAR
(0,4),(4,5),0.526058 # DEPENDENCYPART_GRANDPAR
(0,4),(4,7),-0.330847 # DEPENDENCYPART_GRANDPAR
(0,4),(4,8),-0.501807 # DEPENDENCYPART_GRANDPAR
(0,4),(4,9),-0.295109 # DEPENDENCYPART_GRANDPAR
(0,4),(4,10),0.112893 # DEPENDENCYPART_GRANDPAR
(0,4),(4,12),-0.304484 # DEPENDENCYPART_GRANDPAR
(0,4),(4,13),-0.455133 # DEPENDENCYPART_GRANDPAR
(0,4),(4,20),-0.157351 # DEPENDENCYPART_GRANDPAR
(0,5),(5,1),-0.0601885 # DEPENDENCYPART_GRANDPAR
(0,5),(5,2),0.389049 # DEPENDENCYPART_GRANDPAR
(0,5),(5,4),0.344995 # DEPENDENCYPART_GRANDPAR
(0,5),(5,6),-0.0396106 # DEPENDENCYPART_GRANDPAR
(0,5),(5,7),-0.133489 # DEPENDENCYPART_GRANDPAR
(0,5),(5,8),-0.299423 # DEPENDENCYPART_GRANDPAR
(0,5),(5,9),-0.00244862 # DEPENDENCYPART_GRANDPAR
(0,5),(5,10),0.209972 # DEPENDENCYPART_GRANDPAR
(0,5),(5,11),0.0570605 # DEPENDENCYPART_GRANDPAR
(0,5),(5,12),0.0083152 # DEPENDENCYPART_GRANDPAR
(0,5),(5,13),-0.178541 # DEPENDENCYPART_GRANDPAR
(0,5),(5,14),-0.566251 # DEPENDENCYPART_GRANDPAR
(0,5),(5,15),0.126214 # DEPENDENCYPART_GRANDPAR
(0,5),(5,18),0.275028 # DEPENDENCYPART_GRANDPAR
(0,5),(5,19),-0.0227856 # DEPENDENCYPART_GRANDPAR
(0,5),(5,20),-0.149336 # DEPENDENCYPART_GRANDPAR
(0,5),(5,23),0.00456334 # DEPENDENCYPART_GRANDPAR
(0,5),(5,24),2.55255 # DEPENDENCYPART_GRANDPAR
(0,9),(9,1),0.0675379 # DEPENDENCYPART_GRANDPAR
(0,9),(9,2),0.22289 # DEPENDENCYPART_GRANDPAR
(0,9),(9,4),0.257058 # DEPENDENCYPART_GRANDPAR
(0,9),(9,5),0.449535 # DEPENDENCYPART_GRANDPAR
(0,9),(9,6),-0.441914 # DEPENDENCYPART_GRANDPAR
(0,9),(9,7),-0.563374 # DEPENDENCYPART_GRANDPAR
(0,9),(9,8),-0.708434 # DEPENDENCYPART_GRANDPAR
(0,9),(9,10),0.247462 # DEPENDENCYPART_GRANDPAR
(0,9),(9,11),0.296667 # DEPENDENCYPART_GRANDPAR
(0,9),(9,12),-0.115771 # DEPENDENCYPART_GRANDPAR
(0,9),(9,13),-0.282875 # DEPENDENCYPART_GRANDPAR
(0,9),(9,14),-0.530031 # DEPENDENCYPART_GRANDPAR
(0,9),(9,15),0.173685 # DEPENDENCYPART_GRANDPAR
(0,9),(9,18),0.367662 # DEPENDENCYPART_GRANDPAR
(0,9),(9,19),0.0147038 # DEPENDENCYPART_GRANDPAR
(0,9),(9,20),-0.0852749 # DEPENDENCYPART_GRANDPAR
(0,9),(9,23),0.125356 # DEPENDENCYPART_GRANDPAR
(0,9),(9,24),2.53448 # DEPENDENCYPART_GRANDPAR
(0,15),(15,9),-0.36202 # DEPENDENCYPART_GRANDPAR
(0,15),(15,12),-0.747032 # DEPENDENCYPART_GRANDPAR
(0,15),(15,13),-0.602012 # DEPENDENCYPART_GRANDPAR
(0,15),(15,14),-0.898911 # DEPENDENCYPART_GRANDPAR
(0,15),(15,16),-0.425709 # DEPENDENCYPART_GRANDPAR
(0,15),(15,17),-0.839394 # DEPENDENCYPART_GRANDPAR
(0,15),(15,18),0.234022 # DEPENDENCYPART_GRANDPAR
(0,15),(15,19),-0.0412832 # DEPENDENCYPART_GRANDPAR
(0,15),(15,20),-0.150585 # DEPENDENCYPART_GRANDPAR
(0,15),(15,23),-0.0364418 # DEPENDENCYPART_GRANDPAR
(0,15),(15,24),2.52725 # DEPENDENCYPART_GRANDPAR
(0,20),(20,2),0.373754 # DEPENDENCYPART_GRANDPAR
(0,20),(20,4),0.320418 # DEPENDENCYPART_GRANDPAR
(0,20),(20,5),0.427933 # DEPENDENCYPART_GRANDPAR
(0,20),(20,6),-0.297971 # DEPENDENCYPART_GRANDPAR
(0,20),(20,7),-0.462715 # DEPENDENCYPART_GRANDPAR
(0,20),(20,8),-0.625218 # DEPENDENCYPART_GRANDPAR
(0,20),(20,9),-0.360005 # DEPENDENCYPART_GRANDPAR
(0,20),(20,10),0.418819 # DEPENDENCYPART_GRANDPAR
(0,20),(20,11),0.334544 # DEPENDENCYPART_GRANDPAR
(0,20),(20,12),-0.749183 # DEPENDENCYPART_GRANDPAR
(0,20),(20,13),-0.604356 # DEPENDENCYPART_GRANDPAR
(0,20),(20,14),-0.897708 # DEPENDENCYPART_GRANDPAR
(0,20),(20,15),0.0127188 # DEPENDENCYPART_GRANDPAR
(0,20),(20,16),-0.744657 # DEPENDENCYPART_GRANDPAR
(0,20),(20,17),-1.16035 # DEPENDENCYPART_GRANDPAR
(0,20),(20,18),-0.135409 # DEPENDENCYPART_GRANDPAR
(0,20),(20,19),0.186061 # DEPENDENCYPART_GRANDPAR
(0,20),(20,21),-0.67843 # DEPENDENCYPART_GRANDPAR
(0,20),(20,22),0.181093 # DEPENDENCYPART_GRANDPAR
(0,20),(20,23),-0.0511135 # DEPENDENCYPART_GRANDPAR
(0,20),(20,24),2.51426 # DEPENDENCYPART_GRANDPAR
(1,5),(5,1),-1.04128 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,5),(5,2),0.19391 # DEPENDENCYPART_GRANDPAR
(1,5),(5,4),0.0898537 # DEPENDENCYPART_GRANDPAR
(1,5),(5,6),-0.150781 # DEPENDENCYPART_GRANDPAR
(1,5),(5,7),-0.158028 # DEPENDENCYPART_GRANDPAR
(1,5),(5,8),-0.150566 # DEPENDENCYPART_GRANDPAR
(1,5),(5,9),-0.21833 # DEPENDENCYPART_GRANDPAR
(1,5),(5,10),-0.0511747 # DEPENDENCYPART_GRANDPAR
(1,5),(5,11),-0.195413 # DEPENDENCYPART_GRANDPAR
(1,5),(5,12),-0.0771014 # DEPENDENCYPART_GRANDPAR
(1,5),(5,13),0.0208464 # DEPENDENCYPART_GRANDPAR
(1,5),(5,14),-0.252696 # DEPENDENCYPART_GRANDPAR
(1,5),(5,15),-0.233698 # DEPENDENCYPART_GRANDPAR
(1,5),(5,18),-0.402397 # DEPENDENCYPART_GRANDPAR
(1,5),(5,19),-0.126729 # DEPENDENCYPART_GRANDPAR
(1,5),(5,20),-0.319547 # DEPENDENCYPART_GRANDPAR
(1,5),(5,23),-0.453641 # DEPENDENCYPART_GRANDPAR
(1,5),(5,24),-0.57852 # DEPENDENCYPART_GRANDPAR
(2,1),(1,5),-0.626533 # DEPENDENCYPART_GRANDPAR
(2,3),(3,11),-0.140589 # DEPENDENCYPART_GRANDPAR
(2,3),(3,24),-1.17952 # DEPENDENCYPART_GRANDPAR
(2,4),(4,1),-0.623925 # DEPENDENCYPART_GRANDPAR
(2,4),(4,2),-0.844932 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,4),(4,5),-0.0873593 # DEPENDENCYPART_GRANDPAR
(2,4),(4,7),-0.35282 # DEPENDENCYPART_GRANDPAR
(2,4),(4,8),-0.444877 # DEPENDENCYPART_GRANDPAR
(2,4),(4,9),-0.244999 # DEPENDENCYPART_GRANDPAR
(2,4),(4,10),-0.0455878 # DEPENDENCYPART_GRANDPAR
(2,4),(4,12),-0.205137 # DEPENDENCYPART_GRANDPAR
(2,4),(4,13),-0.127107 # DEPENDENCYPART_GRANDPAR
(2,4),(4,20),-0.48714 # DEPENDENCYPART_GRANDPAR
(2,5),(5,1),-0.745917 # DEPENDENCYPART_GRANDPAR
(2,5),(5,2),-0.966268 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,5),(5,4),0.0792333 # DEPENDENCYPART_GRANDPAR
(2,5),(5,6),0.0691566 # DEPENDENCYPART_GRANDPAR
(2,5),(5,7),-0.328359 # DEPENDENCYPART_GRANDPAR
(2,5),(5,8),-0.416202 # DEPENDENCYPART_GRANDPAR
(2,5),(5,9),-0.135502 # DEPENDENCYPART_GRANDPAR
(2,5),(5,10),-0.0705967 # DEPENDENCYPART_GRANDPAR
(2,5),(5,11),0.00976183 # DEPENDENCYPART_GRANDPAR
(2,5),(5,12),-0.0849151 # DEPENDENCYPART_GRANDPAR
(2,5),(5,13),-0.0486714 # DEPENDENCYPART_GRANDPAR
(2,5),(5,14),-0.539583 # DEPENDENCYPART_GRANDPAR
(2,5),(5,15),-0.311298 # DEPENDENCYPART_GRANDPAR
(2,5),(5,18),-0.605572 # DEPENDENCYPART_GRANDPAR
(2,5),(5,19),-0.0473103 # DEPENDENCYPART_GRANDPAR
(2,5),(5,20),-0.525766 # DEPENDENCYPART_GRANDPAR
(2,5),(5,23),-0.742311 # DEPENDENCYPART_GRANDPAR
(2,5),(5,24),-1.14567 # DEPENDENCYPART_GRANDPAR
(2,6),(6,7),-0.398078 # DEPENDENCYPART_GRANDPAR
(2,7),(7,4),0.0443934 # DEPENDENCYPART_GRANDPAR
(2,7),(7,6),-0.0978989 # DEPENDENCYPART_GRANDPAR
(2,7),(7,8),-0.398906 # DEPENDENCYPART_GRANDPAR
(2,7),(7,9),-0.102595 # DEPENDENCYPART_GRANDPAR
(2,7),(7,10),0.000810492 # DEPENDENCYPART_GRANDPAR
(2,7),(7,11),0.0144342 # DEPENDENCYPART_GRANDPAR
(2,7),(7,12),-0.14811 # DEPENDENCYPART_GRANDPAR
(2,7),(7,13),-0.089285 # DEPENDENCYPART_GRANDPAR
(2,7),(7,14),-0.517708 # DEPENDENCYPART_GRANDPAR
(2,7),(7,15),-0.230751 # DEPENDENCYPART_GRANDPAR
(2,7),(7,18),-0.585056 # DEPENDENCYPART_GRANDPAR
(2,7),(7,20),-0.442728 # DEPENDENCYPART_GRANDPAR
(2,7),(7,23),-0.706842 # DEPENDENCYPART_GRANDPAR
(2,7),(7,24),-1.07853 # DEPENDENCYPART_GRANDPAR
(2,9),(9,1),-0.748177 # DEPENDENCYPART_GRANDPAR
(2,9),(9,2),-0.847168 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,9),(9,4),0.0795575 # DEPENDENCYPART_GRANDPAR
(2,9),(9,5),0.0248043 # DEPENDENCYPART_GRANDPAR
(2,9),(9,6),-0.0878233 # DEPENDENCYPART_GRANDPAR
(2,9),(9,7),-0.225624 # DEPENDENCYPART_GRANDPAR
(2,9),(9,8),-0.312478 # DEPENDENCYPART_GRANDPAR
(2,9),(9,10),-0.0337732 # DEPENDENCYPART_GRANDPAR
(2,9),(9,11),-0.0805224 # DEPENDENCYPART_GRANDPAR
(2,9),(9,12),-0.319462 # DEPENDENCYPART_GRANDPAR
(2,9),(9,13),-0.29474 # DEPENDENCYPART_GRANDPAR
(2,9),(9,14),-0.660972 # DEPENDENCYPART_GRANDPAR
(2,9),(9,15),-0.290587 # DEPENDENCYPART_GRANDPAR
(2,9),(9,18),-0.671636 # DEPENDENCYPART_GRANDPAR
(2,9),(9,19),-0.0104868 # DEPENDENCYPART_GRANDPAR
(2,9),(9,20),-0.499921 # DEPENDENCYPART_GRANDPAR
(2,9),(9,23),-0.795891 # DEPENDENCYPART_GRANDPAR
(2,9),(9,24),-1.03447 # DEPENDENCYPART_GRANDPAR
(2,18),(18,7),-0.231277 # DEPENDENCYPART_GRANDPAR
(2,18),(18,10),-0.0626354 # DEPENDENCYPART_GRANDPAR
(2,18),(18,11),-0.194769 # DEPENDENCYPART_GRANDPAR
(2,18),(18,12),-0.240091 # DEPENDENCYPART_GRANDPAR
(2,18),(18,13),-0.164598 # DEPENDENCYPART_GRANDPAR
(2,18),(18,14),-0.394654 # DEPENDENCYPART_GRANDPAR
(2,18),(18,15),-0.16352 # DEPENDENCYPART_GRANDPAR
(2,18),(18,16),-0.00497684 # DEPENDENCYPART_GRANDPAR
(2,18),(18,17),-0.55865 # DEPENDENCYPART_GRANDPAR
(2,18),(18,19),-0.0135724 # DEPENDENCYPART_GRANDPAR
(2,18),(18,20),-0.497638 # DEPENDENCYPART_GRANDPAR
(2,18),(18,23),-0.812362 # DEPENDENCYPART_GRANDPAR
(2,18),(18,24),-1.03331 # DEPENDENCYPART_GRANDPAR
(2,24),(24,23),-0.997116 # DEPENDENCYPART_GRANDPAR
(3,24),(24,23),-0.175211 # DEPENDENCYPART_GRANDPAR
(4,1),(1,5),-0.134541 # DEPENDENCYPART_GRANDPAR
(4,2),(2,1),-0.111578 # DEPENDENCYPART_GRANDPAR
(4,2),(2,3),0.174221 # DEPENDENCYPART_GRANDPAR
(4,2),(2,4),-1.25871 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,2),(2,5),-0.152954 # DEPENDENCYPART_GRANDPAR
(4,2),(2,6),-0.326349 # DEPENDENCYPART_GRANDPAR
(4,2),(2,7),-0.397365 # DEPENDENCYPART_GRANDPAR
(4,2),(2,9),-0.44865 # DEPENDENCYPART_GRANDPAR
(4,2),(2,10),-0.36513 # DEPENDENCYPART_GRANDPAR
(4,2),(2,11),-0.434766 # DEPENDENCYPART_GRANDPAR
(4,2),(2,18),-0.809329 # DEPENDENCYPART_GRANDPAR
(4,2),(2,19),-0.515988 # DEPENDENCYPART_GRANDPAR
(4,2),(2,24),-0.850484 # DEPENDENCYPART_GRANDPAR
(4,5),(5,1),-0.590302 # DEPENDENCYPART_GRANDPAR
(4,5),(5,2),-0.663784 # DEPENDENCYPART_GRANDPAR
(4,5),(5,4),-0.789369 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,5),(5,6),0.117933 # DEPENDENCYPART_GRANDPAR
(4,5),(5,7),0.0477735 # DEPENDENCYPART_GRANDPAR
(4,5),(5,8),0.0395153 # DEPENDENCYPART_GRANDPAR
(4,5),(5,9),-0.0576324 # DEPENDENCYPART_GRANDPAR
(4,5),(5,10),0.171767 # DEPENDENCYPART_GRANDPAR
(4,5),(5,11),0.00103705 # DEPENDENCYPART_GRANDPAR
(4,5),(5,12),0.147423 # DEPENDENCYPART_GRANDPAR
(4,5),(5,13),0.158139 # DEPENDENCYPART_GRANDPAR
(4,5),(5,14),-0.259453 # DEPENDENCYPART_GRANDPAR
(4,5),(5,15),-0.120093 # DEPENDENCYPART_GRANDPAR
(4,5),(5,18),-0.409559 # DEPENDENCYPART_GRANDPAR
(4,5),(5,19),0.0209094 # DEPENDENCYPART_GRANDPAR
(4,5),(5,20),-0.131914 # DEPENDENCYPART_GRANDPAR
(4,5),(5,23),-0.520228 # DEPENDENCYPART_GRANDPAR
(4,5),(5,24),-0.44606 # DEPENDENCYPART_GRANDPAR
(4,7),(7,4),-0.85703 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,7),(7,6),0.112133 # DEPENDENCYPART_GRANDPAR
(4,7),(7,8),0.0507016 # DEPENDENCYPART_GRANDPAR
(4,7),(7,9),-0.0645365 # DEPENDENCYPART_GRANDPAR
(4,7),(7,10),0.166753 # DEPENDENCYPART_GRANDPAR
(4,7),(7,11),0.0302604 # DEPENDENCYPART_GRANDPAR
(4,7),(7,12),0.0631489 # DEPENDENCYPART_GRANDPAR
(4,7),(7,13),0.0884452 # DEPENDENCYPART_GRANDPAR
(4,7),(7,14),-0.245105 # DEPENDENCYPART_GRANDPAR
(4,7),(7,15),-0.0832458 # DEPENDENCYPART_GRANDPAR
(4,7),(7,18),-0.425526 # DEPENDENCYPART_GRANDPAR
(4,7),(7,20),-0.0927038 # DEPENDENCYPART_GRANDPAR
(4,7),(7,23),-0.522234 # DEPENDENCYPART_GRANDPAR
(4,7),(7,24),-0.424894 # DEPENDENCYPART_GRANDPAR
(4,8),(8,4),-0.857026 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,8),(8,6),0.112136 # DEPENDENCYPART_GRANDPAR
(4,8),(8,7),0.0572685 # DEPENDENCYPART_GRANDPAR
(4,8),(8,10),0.166533 # DEPENDENCYPART_GRANDPAR
(4,8),(8,11),0.0302604 # DEPENDENCYPART_GRANDPAR
(4,8),(8,12),0.062499 # DEPENDENCYPART_GRANDPAR
(4,8),(8,13),0.0877973 # DEPENDENCYPART_GRANDPAR
(4,8),(8,14),-0.24379 # DEPENDENCYPART_GRANDPAR
(4,9),(9,1),-0.644779 # DEPENDENCYPART_GRANDPAR
(4,9),(9,2),-0.569655 # DEPENDENCYPART_GRANDPAR
(4,9),(9,4),-0.859166 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,9),(9,5),0.379257 # DEPENDENCYPART_GRANDPAR
(4,9),(9,6),0.109556 # DEPENDENCYPART_GRANDPAR
(4,9),(9,7),0.107372 # DEPENDENCYPART_GRANDPAR
(4,9),(9,8),0.136404 # DEPENDENCYPART_GRANDPAR
(4,9),(9,10),0.255805 # DEPENDENCYPART_GRANDPAR
(4,9),(9,11),0.0617092 # DEPENDENCYPART_GRANDPAR
(4,9),(9,12),0.0699911 # DEPENDENCYPART_GRANDPAR
(4,9),(9,13),0.121115 # DEPENDENCYPART_GRANDPAR
(4,9),(9,14),-0.21063 # DEPENDENCYPART_GRANDPAR
(4,9),(9,15),-0.00416638 # DEPENDENCYPART_GRANDPAR
(4,9),(9,18),-0.365915 # DEPENDENCYPART_GRANDPAR
(4,9),(9,19),0.104948 # DEPENDENCYPART_GRANDPAR
(4,9),(9,20),-0.0109671 # DEPENDENCYPART_GRANDPAR
(4,9),(9,23),-0.465034 # DEPENDENCYPART_GRANDPAR
(4,9),(9,24),-0.34034 # DEPENDENCYPART_GRANDPAR
(4,12),(12,9),-0.125518 # DEPENDENCYPART_GRANDPAR
(4,12),(12,10),0.108177 # DEPENDENCYPART_GRANDPAR
(4,12),(12,11),-0.0355234 # DEPENDENCYPART_GRANDPAR
(4,12),(12,13),0.192584 # DEPENDENCYPART_GRANDPAR
(4,12),(12,14),-0.164735 # DEPENDENCYPART_GRANDPAR
(4,12),(12,15),-0.067242 # DEPENDENCYPART_GRANDPAR
