# _root_ A new specialty court was sought by patent experts , who believed that the generalists had botched too many important , multimillion-dollar cases .
#goldHeads=4,4,4,5,0,5,6,9,7,9,12,9,16,15,16,12,16,19,23,23,23,23,17,5,
#predictedHeads=4,4,4,5,0,5,6,9,7,9,12,9,16,15,16,12,16,20,20,23,23,23,17,5,
(0,6),(6,10),(6,17),-0.0215492 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,10),(6,18),-0.0366055 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,10),(6,19),-0.0434054 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,10),(6,21),-0.0148542 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,10),(6,24),-0.00172918 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,10),(6,25),-0.0762482 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,12),(6,16),-0.059237 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,12),(6,17),-0.0603362 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,12),(6,18),-0.0114735 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,12),(6,19),-0.0114735 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,12),(6,21),-0.133706 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,12),(6,24),-0.0383881 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,12),(6,25),-0.11741 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,16),(6,17),-0.0609683 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,16),(6,18),-0.0114738 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,16),(6,19),-0.0114738 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,16),(6,21),-0.134205 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,16),(6,24),-0.0362649 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,16),(6,25),-0.118171 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,17),(6,18),-0.0114735 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,17),(6,19),-0.0114735 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,17),(6,21),-0.133706 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,17),(6,24),-0.0423895 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,17),(6,25),-0.117388 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,18),(6,19),-0.0392608 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,18),(6,21),-0.051765 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,18),(6,24),0.0600921 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,18),(6,25),-0.0663798 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,19),(6,21),-0.0560143 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,19),(6,24),0.056634 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,19),(6,25),-0.0663282 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,21),(6,24),-0.00172918 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,21),(6,25),-0.0762482 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,24),(6,25),0.139703 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,6),(6,5),0.0235856 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,4),0.286724 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,3),0.294007 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,-1),-0.643998 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,6),(6,5),(6,4),0.0900496 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,5),(6,3),0.0900505 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,5),(6,-1),0.0348355 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,4),(6,3),0.143654 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,4),(6,-1),0.0354912 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,3),(6,-1),0.0430882 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,12),(12,12),(12,13),-0.214419 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,12),(12,12),(12,14),-0.00389328 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,12),(12,12),(12,15),-0.0712379 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,12),(12,12),(12,16),-0.0949051 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,12),(12,12),(12,17),-0.110177 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,12),(12,12),(12,18),-0.0342459 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,12),(12,12),(12,19),-0.0281189 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,12),(12,12),(12,20),0.0191211 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,12),(12,12),(12,21),-0.0367841 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,12),(12,12),(12,22),0.016235 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,12),(12,12),(12,23),-0.0694137 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,12),(12,12),(12,24),-0.144976 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,12),(12,12),(12,25),-0.240693 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,12),(12,13),(12,14),-0.0435961 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,13),(12,15),-0.0346105 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,13),(12,16),-0.0615291 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,13),(12,17),-0.0578751 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,13),(12,18),-0.00333918 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,13),(12,19),-0.00333889 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,13),(12,20),-0.0483266 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,13),(12,21),0.0112613 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,13),(12,22),-0.0483266 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,13),(12,23),-0.0346105 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,13),(12,24),0.0694606 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,13),(12,25),-0.0913247 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,12),(12,14),(12,15),-0.0101156 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,14),(12,16),-0.0137326 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,14),(12,17),-0.0137315 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,14),(12,18),-0.0559281 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,14),(12,19),-0.0559281 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,14),(12,20),-0.0489025 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,14),(12,21),-0.0576488 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,14),(12,22),-0.0489025 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,14),(12,23),-0.0101156 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,14),(12,24),-0.0395205 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,14),(12,25),-0.0341643 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,12),(12,15),(12,16),-0.0250948 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,15),(12,17),-0.0250838 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,15),(12,18),-0.0385624 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,15),(12,19),-0.0401459 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,15),(12,20),-0.0475854 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,15),(12,21),-0.0587789 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,15),(12,22),-0.0460563 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,15),(12,23),-0.00699235 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,15),(12,24),0.0290652 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,15),(12,25),-0.137903 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,12),(12,16),(12,17),-0.0619489 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,16),(12,18),-0.0114738 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,16),(12,19),-0.0114738 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,16),(12,20),-0.0379696 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,16),(12,21),-0.133659 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,16),(12,22),-0.0379696 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,16),(12,23),0.00912071 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,16),(12,24),-0.0392624 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,16),(12,25),-0.118328 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,12),(12,17),(12,18),-0.0114735 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,17),(12,19),-0.0114735 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,17),(12,20),-0.0379696 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,17),(12,21),-0.13316 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,17),(12,22),-0.0379696 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,17),(12,23),0.00912387 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,17),(12,24),-0.045387 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,17),(12,25),-0.117545 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,12),(12,18),(12,19),-0.0392608 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,18),(12,20),-0.0256924 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,18),(12,21),-0.051765 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,18),(12,22),-0.0258577 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,18),(12,23),0.00459807 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,18),(12,24),0.0600909 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,18),(12,25),-0.0663795 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,12),(12,19),(12,20),-0.0240679 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,19),(12,21),-0.0560143 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,19),(12,22),-0.0242332 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,19),(12,23),0.00477199 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,19),(12,24),0.0566328 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,19),(12,25),-0.0663279 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,12),(12,20),(12,21),-0.0656943 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,20),(12,22),-0.0462092 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,20),(12,23),-0.0351691 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,20),(12,24),0.0254978 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,20),(12,25),-0.0553705 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,12),(12,21),(12,22),-0.0531117 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,21),(12,23),-0.103533 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,21),(12,24),-0.00181147 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,21),(12,25),-0.0762482 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,12),(12,22),(12,23),-0.0351019 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,22),(12,24),0.0239836 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,22),(12,25),-0.0553705 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,12),(12,23),(12,24),0.0336386 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,23),(12,25),-0.137903 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,12),(12,24),(12,25),0.136943 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,12),(12,12),(12,11),-0.0387612 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,12),(12,12),(12,10),0.127458 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,12),(12,12),(12,9),0.290569 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,12),(12,12),(12,7),0.206966 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,12),(12,12),(12,5),0.0235371 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,12),(12,12),(12,4),0.28063 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,12),(12,12),(12,-1),-0.644007 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,12),(12,11),(12,10),0.0987291 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,11),(12,9),0.119164 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,11),(12,7),0.114328 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,11),(12,5),0.119139 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,11),(12,4),0.119164 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,11),(12,-1),-0.206714 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,12),(12,10),(12,9),0.105541 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,10),(12,7),0.320394 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,10),(12,5),0.120883 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,10),(12,4),0.107664 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,10),(12,-1),-0.367496 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,12),(12,9),(12,7),-0.07548 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,9),(12,5),0.178552 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,9),(12,4),0.142796 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,9),(12,-1),0.0462905 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,12),(12,7),(12,5),0.107549 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,7),(12,4),0.189851 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,7),(12,-1),-0.245024 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,12),(12,5),(12,4),0.0900512 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,5),(12,-1),0.0350022 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,12),(12,4),(12,-1),0.0358693 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,16),(16,16),(16,17),-0.118466 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,16),(16,16),(16,18),-0.0368707 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,16),(16,16),(16,19),-0.0307437 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,16),(16,16),(16,20),0.0200464 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,16),(16,16),(16,21),-0.0368064 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,16),(16,16),(16,22),0.0171604 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,16),(16,16),(16,23),-0.0622601 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,16),(16,16),(16,24),-0.145762 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,16),(16,16),(16,25),-0.240693 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,16),(16,17),(16,18),-0.0123927 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,17),(16,19),-0.0123927 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,17),(16,20),-0.037971 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,17),(16,21),-0.134032 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,17),(16,22),-0.037971 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,17),(16,23),0.00654449 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,17),(16,24),-0.0330061 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,17),(16,25),-0.124017 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,16),(16,18),(16,19),-0.0458479 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,18),(16,20),-0.02657 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,18),(16,21),-0.0517965 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,18),(16,22),-0.0267353 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,18),(16,23),0.000356794 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,18),(16,24),0.051129 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,18),(16,25),-0.0665059 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,16),(16,19),(16,20),-0.0249456 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,19),(16,21),-0.0560458 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,19),(16,22),-0.0251109 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,19),(16,23),0.00053071 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,19),(16,24),0.0476709 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,19),(16,25),-0.0664543 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,16),(16,20),(16,21),-0.0625696 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,20),(16,22),-0.0462092 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,20),(16,23),-0.0360017 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,20),(16,24),0.0247119 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,20),(16,25),-0.0553706 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,16),(16,21),(16,22),-0.0531117 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,21),(16,23),-0.103543 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,21),(16,24),-0.00253924 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,21),(16,25),-0.0762503 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,16),(16,22),(16,23),-0.0359344 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,22),(16,24),0.0231977 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,22),(16,25),-0.0553706 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,16),(16,23),(16,24),0.0376266 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,23),(16,25),-0.138887 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,16),(16,24),(16,25),0.142274 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,16),(16,16),(16,15),0.289445 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,16),(16,16),(16,14),0.223011 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,16),(16,16),(16,13),0.25038 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,16),(16,16),(16,12),0.0282777 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,16),(16,16),(16,11),-0.039746 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,16),(16,16),(16,10),0.119952 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,16),(16,16),(16,9),0.292101 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,16),(16,16),(16,7),0.204087 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,16),(16,16),(16,5),0.0214995 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,16),(16,16),(16,4),0.282162 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,16),(16,16),(16,-1),-0.651079 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,16),(16,15),(16,14),0.0763637 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,15),(16,13),-0.101176 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,15),(16,12),0.165146 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,15),(16,11),0.1182 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,15),(16,10),0.339176 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,15),(16,9),0.142074 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,15),(16,7),-0.0699595 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,15),(16,5),0.181355 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,15),(16,4),0.14132 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,15),(16,-1),0.035262 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,16),(16,14),(16,13),0.0949575 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,14),(16,12),0.113552 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,14),(16,11),0.119164 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,14),(16,10),0.161842 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,14),(16,9),0.131208 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,14),(16,7),0.0949663 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,14),(16,5),0.113552 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,14),(16,4),0.131208 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,14),(16,-1),-0.126989 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,16),(16,13),(16,12),0.104997 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,13),(16,11),0.139199 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,13),(16,10),0.114834 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,13),(16,9),0.182193 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,13),(16,7),0.156516 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,13),(16,5),0.10511 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,13),(16,4),0.181864 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,13),(16,-1),-0.266095 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,16),(16,12),(16,11),0.11624 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,12),(16,10),0.060657 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,12),(16,9),0.0954047 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,12),(16,7),0.140875 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,12),(16,5),0.129102 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,12),(16,4),0.0961362 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,12),(16,-1),0.0175413 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,16),(16,11),(16,10),0.0977442 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,11),(16,9),0.119164 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,11),(16,7),0.114328 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,11),(16,5),0.119139 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,11),(16,4),0.119164 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,11),(16,-1),-0.206714 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,16),(16,10),(16,9),0.0952894 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,10),(16,7),0.316806 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,10),(16,5),0.118701 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,10),(16,4),0.0974121 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,10),(16,-1),-0.368118 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,16),(16,9),(16,7),-0.0699595 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,9),(16,5),0.181355 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,9),(16,4),0.141201 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,9),(16,-1),0.038086 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,16),(16,7),(16,5),0.107465 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,7),(16,4),0.19418 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,7),(16,-1),-0.246781 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,16),(16,5),(16,4),0.0895054 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,5),(16,-1),0.0334524 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,16),(16,4),(16,-1),0.0276649 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,17),(17,17),(17,18),-0.0342447 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,17),(17,17),(17,19),-0.0281177 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,17),(17,17),(17,20),0.0191211 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,17),(17,17),(17,21),-0.0367839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,17),(17,17),(17,22),0.016235 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,17),(17,17),(17,23),-0.0678602 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,17),(17,17),(17,24),-0.144976 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,17),(17,17),(17,25),-0.240693 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,17),(17,18),(17,19),-0.0392608 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,18),(17,20),-0.0256924 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,18),(17,21),-0.051765 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,18),(17,22),-0.0258577 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,18),(17,23),0.00459807 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,18),(17,24),0.0600921 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,18),(17,25),-0.0663795 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,17),(17,19),(17,20),-0.0240679 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,19),(17,21),-0.0560143 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,19),(17,22),-0.0242332 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,19),(17,23),0.00477199 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,19),(17,24),0.056634 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,19),(17,25),-0.0663279 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,17),(17,20),(17,21),-0.0656943 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,20),(17,22),-0.0462092 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,20),(17,23),-0.0351691 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,20),(17,24),0.0254978 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,20),(17,25),-0.0553705 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,17),(17,21),(17,22),-0.0531117 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,21),(17,23),-0.103533 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,21),(17,24),-0.00172918 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,21),(17,25),-0.0762482 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,17),(17,22),(17,23),-0.0351019 # DEPENDENCYPART_GRANDSIBL
(0,17),(17,22),(17,24),0.0239836 # DEPENDENCYPART_GRANDSIBL
