# _root_ But Mr. Schulte , the bondholders ' adviser , said Revco was dragging its feet in responding to the proposal .
#goldHeads=10,3,10,3,6,8,6,3,3,0,12,10,12,15,13,13,16,17,20,18,10,
#predictedHeads=10,3,10,3,6,8,6,3,3,0,12,10,12,15,13,13,16,17,20,18,10,
(17,20),(20,21),-0.0286176 # DEPENDENCYPART_GRANDPAR
(17,21),(21,20),0.236394 # DEPENDENCYPART_GRANDPAR
(18,16),(16,15),-0.0464835 # DEPENDENCYPART_GRANDPAR
(18,16),(16,17),0.00356646 # DEPENDENCYPART_GRANDPAR
(18,16),(16,18),-1.01175 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,16),(16,20),0.210614 # DEPENDENCYPART_GRANDPAR
(18,20),(20,14),-0.565288 # DEPENDENCYPART_GRANDPAR
(18,20),(20,15),-0.585423 # DEPENDENCYPART_GRANDPAR
(18,20),(20,16),-0.453298 # DEPENDENCYPART_GRANDPAR
(18,20),(20,17),-0.487784 # DEPENDENCYPART_GRANDPAR
(18,20),(20,18),-0.709755 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,20),(20,19),0.785501 # DEPENDENCYPART_GRANDPAR
(18,20),(20,21),0.324841 # DEPENDENCYPART_GRANDPAR
(18,21),(21,20),0.632449 # DEPENDENCYPART_GRANDPAR
(20,15),(15,8),-0.954869 # DEPENDENCYPART_GRANDPAR
(20,15),(15,10),-0.561764 # DEPENDENCYPART_GRANDPAR
(20,15),(15,11),-0.614504 # DEPENDENCYPART_GRANDPAR
(20,15),(15,13),-0.418097 # DEPENDENCYPART_GRANDPAR
(20,15),(15,14),-0.308828 # DEPENDENCYPART_GRANDPAR
(20,15),(15,16),-0.223114 # DEPENDENCYPART_GRANDPAR
(20,15),(15,17),-0.0434091 # DEPENDENCYPART_GRANDPAR
(20,15),(15,18),0.118668 # DEPENDENCYPART_GRANDPAR
(20,15),(15,20),-0.992632 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(20,16),(16,15),-0.336591 # DEPENDENCYPART_GRANDPAR
(20,16),(16,17),-0.073151 # DEPENDENCYPART_GRANDPAR
(20,16),(16,18),0.21458 # DEPENDENCYPART_GRANDPAR
(20,16),(16,20),-1.04207 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(20,17),(17,15),-0.347911 # DEPENDENCYPART_GRANDPAR
(20,17),(17,16),-0.153092 # DEPENDENCYPART_GRANDPAR
(20,17),(17,18),0.246863 # DEPENDENCYPART_GRANDPAR
(20,17),(17,19),0.152073 # DEPENDENCYPART_GRANDPAR
(20,17),(17,20),-1.13114 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(20,17),(17,21),-0.130881 # DEPENDENCYPART_GRANDPAR
(20,18),(18,16),-0.240683 # DEPENDENCYPART_GRANDPAR
(20,18),(18,19),0.144024 # DEPENDENCYPART_GRANDPAR
(20,18),(18,20),-1.01851 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(20,18),(18,21),-0.0302967 # DEPENDENCYPART_GRANDPAR
(20,21),(21,20),-0.585396 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(21,20),(20,14),-0.156181 # DEPENDENCYPART_GRANDPAR
(21,20),(20,15),-0.426694 # DEPENDENCYPART_GRANDPAR
(21,20),(20,16),-0.229134 # DEPENDENCYPART_GRANDPAR
(21,20),(20,17),-0.156073 # DEPENDENCYPART_GRANDPAR
(21,20),(20,18),-0.20048 # DEPENDENCYPART_GRANDPAR
(21,20),(20,19),-0.213542 # DEPENDENCYPART_GRANDPAR
(21,20),(20,21),-0.960564 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(0,1),(1,1),(1,2),-0.254154 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,1),(1,1),(1,3),-0.253552 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,1),(1,1),(1,4),0.0927728 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,1),(1,1),(1,8),-0.253703 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,1),(1,1),(1,9),0.0927728 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,1),(1,1),(1,10),0.19514 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,1),(1,1),(1,12),0.185512 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,1),(1,1),(1,13),0.170752 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,1),(1,1),(1,17),0.170752 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,1),(1,1),(1,21),-0.025305 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,1),(1,1),(1,22),-0.0793752 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,1),(1,2),(1,3),-0.00211543 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,2),(1,4),-0.054067 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,2),(1,8),-0.00211543 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,2),(1,9),-0.054067 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,2),(1,10),-0.0166719 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,2),(1,12),-0.0177165 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,2),(1,13),-0.0165761 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,2),(1,17),-0.0165761 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,2),(1,21),-0.10826 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,2),(1,22),-0.0163873 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,1),(1,3),(1,4),-0.054067 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,3),(1,8),-0.00210716 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,3),(1,9),-0.054067 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,3),(1,10),-0.0166719 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,3),(1,12),-0.0177165 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,3),(1,13),-0.0165761 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,3),(1,17),-0.0165761 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,3),(1,21),-0.107666 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,3),(1,22),-0.0163873 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,1),(1,4),(1,8),-0.00567203 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,4),(1,9),-0.0203883 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,4),(1,10),-0.00514375 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,4),(1,12),-0.00873056 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,4),(1,13),-0.00375917 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,4),(1,17),-0.00375917 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,4),(1,21),-0.027029 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,4),(1,22),-0.0270543 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,1),(1,8),(1,9),-0.054067 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,8),(1,10),-0.0166719 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,8),(1,12),-0.0177165 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,8),(1,13),-0.0165761 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,8),(1,17),-0.0165761 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,8),(1,21),-0.107818 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,8),(1,22),-0.0163873 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,1),(1,9),(1,10),-0.00514375 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,9),(1,12),-0.00873056 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,9),(1,13),-0.00375917 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,9),(1,17),-0.00375917 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,9),(1,21),-0.027029 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,9),(1,22),-0.0270543 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,1),(1,10),(1,12),-0.0716122 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,10),(1,13),-0.0700421 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,10),(1,17),-0.0700421 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,10),(1,21),0.207663 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,10),(1,22),-0.0588556 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,1),(1,12),(1,13),-0.0696353 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,12),(1,17),-0.0696353 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,12),(1,21),0.189957 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,12),(1,22),-0.0596242 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,1),(1,13),(1,17),-0.0694222 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,13),(1,21),0.181303 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,13),(1,22),-0.0585172 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,1),(1,17),(1,21),0.181303 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,17),(1,22),-0.0585172 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,1),(1,21),(1,22),-0.0419018 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,1),(1,1),(1,-1),-0.411514 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,3),(3,3),(3,4),-0.0577805 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,6),-0.0203685 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,7),-0.0252428 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,8),-0.0203685 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,9),-0.0577805 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,10),-0.0889766 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,11),-0.0203685 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,12),-0.0889732 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,16),-0.0645454 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,22),-0.0458627 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,3),(3,4),(3,6),0.00959908 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,7),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,8),0.00959581 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,9),-0.0203913 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,10),-0.0651373 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,11),0.00959908 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,12),-0.0654076 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,16),-0.00434929 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,22),-0.039327 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,6),(3,7),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,6),(3,8),0.00335548 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,6),(3,9),-0.0177935 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,6),(3,10),-0.0264583 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,6),(3,11),0.00335548 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,6),(3,12),-0.0272415 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,6),(3,16),-0.0237812 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,6),(3,22),-0.0279941 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,7),(3,8),-0.0218529 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,7),(3,9),-0.0198538 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,7),(3,10),-0.0194462 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,7),(3,11),-0.0218529 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,7),(3,12),-0.0194466 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,7),(3,16),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,7),(3,22),-0.0194572 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,8),(3,9),-0.0177938 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,8),(3,10),-0.0264606 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,8),(3,11),0.00335548 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,8),(3,12),-0.0272439 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,8),(3,16),-0.0237812 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,8),(3,22),-0.0279941 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,9),(3,10),-0.0651373 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,9),(3,11),0.00959908 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,9),(3,12),-0.0654076 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,9),(3,16),-0.00434929 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,9),(3,22),-0.039327 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,10),(3,11),-0.0214168 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,10),(3,12),0.0113412 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,10),(3,16),-0.015723 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,10),(3,22),-0.034413 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,11),(3,12),-0.0272415 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,11),(3,16),-0.0237812 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,11),(3,22),-0.0279941 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,12),(3,16),-0.0157219 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,12),(3,22),-0.0228628 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,16),(3,22),-0.0778405 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,3),(3,2),0.231553 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,1),0.0876592 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,-1),-0.275735 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,3),(3,2),(3,1),0.0920967 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,2),(3,-1),-0.11218 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,1),(3,-1),-0.161693 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,8),(8,8),(8,9),-0.0577805 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,8),(8,8),(8,10),-0.0891581 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,8),(8,8),(8,11),-0.0203685 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,8),(8,8),(8,12),-0.0891547 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,8),(8,8),(8,13),-0.0879203 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,8),(8,8),(8,15),-0.0203685 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,8),(8,8),(8,16),-0.0651091 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,8),(8,8),(8,17),-0.0879203 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,8),(8,8),(8,18),0.00996867 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,8),(8,8),(8,22),-0.0458627 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,8),(8,9),(8,10),-0.0651379 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,9),(8,11),0.00959908 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,9),(8,12),-0.0654082 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,9),(8,13),-0.0650644 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,9),(8,15),0.00959908 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,9),(8,16),-0.00434929 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,9),(8,17),-0.0650644 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,9),(8,18),-0.0196841 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,9),(8,22),-0.039327 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,8),(8,10),(8,11),-0.0214168 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,10),(8,12),0.0113412 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,10),(8,13),-0.000413941 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,10),(8,15),-0.0214168 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,10),(8,16),-0.015723 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,10),(8,17),-0.000413941 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,10),(8,18),-0.0194898 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,10),(8,22),-0.0346406 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,8),(8,11),(8,12),-0.0272415 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,11),(8,13),-0.0264556 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,11),(8,15),0.00335548 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,11),(8,16),-0.0237812 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,11),(8,17),-0.0264556 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,11),(8,18),-0.019827 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,11),(8,22),-0.0279985 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,8),(8,12),(8,13),-0.000401163 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,12),(8,15),-0.0214097 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,12),(8,16),-0.0157219 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,12),(8,17),-0.000401163 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,12),(8,18),-0.0194898 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,12),(8,22),-0.0230904 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,8),(8,13),(8,15),-0.0214097 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,13),(8,16),-0.0157219 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,13),(8,17),-0.000401158 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,13),(8,18),-0.0194898 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,13),(8,22),-0.0344924 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,8),(8,15),(8,16),-0.0237812 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,15),(8,17),-0.0264556 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,15),(8,18),-0.019827 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,15),(8,22),-0.0279985 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,8),(8,16),(8,17),-0.0302975 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,16),(8,18),-0.00349393 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,16),(8,22),-0.0778411 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,8),(8,17),(8,18),-0.0194898 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,17),(8,22),-0.0344924 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,8),(8,18),(8,22),-0.0206796 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,8),(8,8),(8,7),0.123377 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,8),(8,8),(8,6),0.232114 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,8),(8,8),(8,5),0.181599 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,8),(8,8),(8,4),0.0398463 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,8),(8,8),(8,3),0.232114 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,8),(8,8),(8,2),0.231553 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,8),(8,8),(8,1),0.0876592 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,8),(8,8),(8,-1),-0.275735 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,8),(8,7),(8,6),0.109256 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,7),(8,5),0.10954 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,7),(8,4),0.10954 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,7),(8,3),0.109256 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,7),(8,2),0.10915 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,7),(8,1),0.10954 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,7),(8,-1),-0.149911 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,8),(8,6),(8,5),0.0839956 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,6),(8,4),0.137876 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,6),(8,3),0.066848 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,6),(8,2),0.0663537 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,6),(8,1),0.0921301 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,6),(8,-1),-0.111291 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,8),(8,5),(8,4),0.12609 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,5),(8,3),0.109516 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,5),(8,2),0.109516 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,5),(8,1),0.118423 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,5),(8,-1),-0.198751 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,8),(8,4),(8,3),0.0426759 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,4),(8,2),0.0426759 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,4),(8,1),0.1238 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,4),(8,-1),-0.146361 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,8),(8,3),(8,2),0.0663537 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,3),(8,1),0.0921301 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,3),(8,-1),-0.111291 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,8),(8,2),(8,1),0.0920967 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,2),(8,-1),-0.112194 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,8),(8,1),(8,-1),-0.161693 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,10),(10,10),(10,11),-0.0418548 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,10),(10,10),(10,12),-0.0499583 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,10),(10,10),(10,13),-0.0274154 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,10),(10,10),(10,15),-0.0439233 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,10),(10,10),(10,16),-0.164805 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,10),(10,10),(10,17),-0.0286252 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,10),(10,10),(10,18),-0.0819314 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,10),(10,10),(10,21),-0.0883572 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,10),(10,10),(10,22),-0.198807 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,10),(10,11),(10,12),0.0020935 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,11),(10,13),0.00218547 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,11),(10,15),0.0224966 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,11),(10,16),0.0606038 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,11),(10,17),0.00218547 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,11),(10,18),-0.0338734 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,11),(10,21),0.0656453 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,11),(10,22),-0.0760474 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,10),(10,12),(10,13),-0.0505494 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,12),(10,15),0.000253707 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,12),(10,16),0.0394396 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,12),(10,17),-0.0505494 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,12),(10,18),-0.0307874 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,12),(10,21),-0.00791496 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,12),(10,22),-0.0599969 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,10),(10,13),(10,15),-0.000742271 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,13),(10,16),0.0416341 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,13),(10,17),-0.0558617 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,13),(10,18),-0.0307874 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,13),(10,21),-0.000293835 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,13),(10,22),-0.0588373 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,10),(10,15),(10,16),0.0601973 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,15),(10,17),0.00218547 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,15),(10,18),-0.0338734 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,15),(10,21),0.0639833 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,15),(10,22),-0.0760474 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,10),(10,16),(10,17),-0.0449453 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,16),(10,18),0.0142899 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,16),(10,21),0.0967015 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,16),(10,22),-0.0620353 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,10),(10,17),(10,18),-0.0307874 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,17),(10,21),-0.00152301 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,17),(10,22),-0.0588373 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,10),(10,18),(10,21),0.0164244 # DEPENDENCYPART_GRANDSIBL
(0,10),(10,18),(10,22),-0.0519787 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,10),(10,21),(10,22),0.211699 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,10),(10,10),(10,9),0.123145 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
