# _root_ When the plant was destroyed , `` I think everyone got concerned that the same thing would happen at our plant , '' a KerrMcGee spokeswoman said .
#goldHeads=5,3,4,9,4,9,9,9,27,11,9,11,17,16,16,17,12,17,18,21,19,27,27,26,26,27,0,27,
#predictedHeads=5,3,4,27,4,9,9,9,27,11,9,11,17,16,16,17,12,17,18,21,19,27,27,26,26,27,0,27,
(3,5),(5,3),(5,2),-0.145141 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,5),(5,3),(5,1),-0.145609 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,5),(5,3),(5,-1),-0.0806719 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,5),(5,2),(5,1),-0.14518 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,2),(5,-1),-0.163176 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,1),(5,-1),-0.178859 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,6),(6,6),(6,29),-0.0453659 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,6),(6,6),(6,-1),-0.185797 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,7),(7,7),(7,29),-0.0602195 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,7),(7,7),(7,-1),-0.181854 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,11),(11,11),(11,12),0.00444696 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,11),(11,11),(11,13),-0.0300331 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,11),(11,11),(11,15),0.0055555 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,11),(11,11),(11,16),-0.0301622 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,11),(11,11),(11,17),-0.0162218 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,11),(11,11),(11,18),-0.0475931 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,11),(11,11),(11,19),0.0146681 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,11),(11,11),(11,21),-0.0286158 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,11),(11,11),(11,22),-0.0407696 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,11),(11,11),(11,23),-0.00512769 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,11),(11,11),(11,27),-0.0471432 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,11),(11,11),(11,28),-0.0230578 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,11),(11,11),(11,29),0.0553595 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,11),(11,12),(11,13),-0.0317703 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,12),(11,15),-0.0195551 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,12),(11,16),-0.0133713 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,12),(11,17),-0.0204663 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,12),(11,18),-0.0244888 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,12),(11,19),-0.029574 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,12),(11,21),-0.0133713 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,12),(11,22),-0.0132115 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,12),(11,23),-0.0230175 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,12),(11,27),-0.024489 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,12),(11,28),-0.0243432 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,12),(11,29),0.0204602 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,11),(11,13),(11,15),-0.0235352 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,13),(11,16),-0.0150627 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,13),(11,17),-0.026497 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,13),(11,18),-0.00493846 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,13),(11,19),-0.0250203 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,13),(11,21),-0.0150627 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,13),(11,22),-0.0217073 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,13),(11,23),-0.00847299 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,13),(11,27),-0.00493889 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,13),(11,28),-0.0306476 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,13),(11,29),-0.026723 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,11),(11,15),(11,16),-0.0133713 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,15),(11,17),-0.0204663 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,15),(11,18),-0.0246138 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,15),(11,19),-0.0295818 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,15),(11,21),-0.0133713 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,15),(11,22),-0.0132116 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,15),(11,23),-0.0230175 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,15),(11,27),-0.024614 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,15),(11,28),-0.0243432 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,15),(11,29),0.0217358 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,11),(11,16),(11,17),-0.0158433 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,16),(11,18),-0.0342053 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,16),(11,19),-0.00262137 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,16),(11,21),-0.00156597 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,16),(11,22),-0.0346288 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,16),(11,23),-0.0116627 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,16),(11,27),-0.0342053 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,16),(11,28),-0.0253691 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,16),(11,29),-0.0351 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,11),(11,17),(11,18),-0.0202051 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,17),(11,19),-0.0195394 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,17),(11,21),-0.0194584 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,17),(11,22),-0.0204964 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,17),(11,23),-0.0195084 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,17),(11,27),-0.0202051 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,17),(11,28),-0.0194428 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,17),(11,29),-0.0184896 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,11),(11,18),(11,19),-0.0264535 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,18),(11,21),-0.0218316 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,18),(11,22),-0.0186662 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,18),(11,23),-0.0102148 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,18),(11,27),-0.0223406 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,18),(11,28),-0.0234948 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,18),(11,29),-0.0280242 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,11),(11,19),(11,21),-0.0125722 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,19),(11,22),-0.0243748 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,19),(11,23),-0.00852236 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,19),(11,27),0.0129167 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,19),(11,28),-0.0306913 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,19),(11,29),0.00743093 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,11),(11,21),(11,22),-0.0346288 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,21),(11,23),-0.0116627 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,21),(11,27),-0.0342053 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,21),(11,28),-0.0253691 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,21),(11,29),-0.0335526 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,11),(11,22),(11,23),-0.0189219 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,22),(11,27),-0.015864 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,22),(11,28),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,22),(11,29),-0.0246416 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,11),(11,23),(11,27),-0.0167812 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,23),(11,28),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,23),(11,29),-0.0205402 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,11),(11,27),(11,28),-0.0234948 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,27),(11,29),-0.0262491 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,11),(11,28),(11,29),-0.0614838 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,11),(11,11),(11,10),0.13528 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,11),(11,11),(11,9),0.135179 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,11),(11,11),(11,8),0.111113 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,11),(11,11),(11,7),0.108498 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,11),(11,11),(11,6),0.114419 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,11),(11,11),(11,5),0.135179 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,11),(11,11),(11,4),0.134807 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,11),(11,11),(11,3),0.129657 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,11),(11,11),(11,1),-0.149797 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,11),(11,11),(11,-1),-0.0162186 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,11),(11,10),(11,9),0.103747 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,10),(11,8),0.109279 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,10),(11,7),0.11606 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,10),(11,6),0.0646585 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,10),(11,5),0.103748 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,10),(11,4),0.103729 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,10),(11,3),0.0940363 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,10),(11,1),-0.145609 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,10),(11,-1),-0.0793893 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,11),(11,9),(11,8),0.1075 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,9),(11,7),0.117933 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,9),(11,6),0.114422 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,9),(11,5),0.109439 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,9),(11,4),0.109439 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,9),(11,3),0.107565 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,9),(11,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,9),(11,-1),-0.15747 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,11),(11,8),(11,7),0.102321 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,8),(11,6),0.0996614 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,8),(11,5),0.109175 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,8),(11,4),0.10909 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,8),(11,3),0.104338 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,8),(11,1),-0.147288 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,8),(11,-1),-0.0203318 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,11),(11,7),(11,6),0.0999475 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,7),(11,5),0.115213 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,7),(11,4),0.115213 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,7),(11,3),0.11035 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,7),(11,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,7),(11,-1),-0.120267 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,11),(11,6),(11,5),0.123257 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,6),(11,4),0.122779 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,6),(11,3),0.11995 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,6),(11,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,6),(11,-1),-0.208604 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,11),(11,5),(11,4),0.109439 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,5),(11,3),0.107566 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,5),(11,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,5),(11,-1),-0.157426 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,11),(11,4),(11,3),0.107565 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,4),(11,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,4),(11,-1),-0.158376 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,11),(11,3),(11,1),-0.145609 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,11),(11,3),(11,-1),-0.0815752 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,11),(11,1),(11,-1),-0.178859 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,1),(1,1),(1,3),0.0853257 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,1),(1,29),-0.00356549 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,1),(1,3),(1,29),-0.149406 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,1),(1,1),(1,-1),0.0770135 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,2),(2,2),(2,4),-0.149227 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,2),(2,2),(2,5),-0.148718 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,2),(2,2),(2,29),-0.314132 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,2),(2,4),(2,5),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,2),(2,4),(2,29),-0.149847 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,2),(2,5),(2,29),-0.149337 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,2),(2,2),(2,-1),-0.0436059 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,3),(3,3),(3,4),-0.128507 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,3),(3,5),-0.12732 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,3),(3,6),-0.144904 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,3),(3,7),-0.144802 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,3),(3,11),-0.12732 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,3),(3,29),-0.221243 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,3),(3,4),(3,5),-0.142049 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,4),(3,6),-0.161831 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,4),(3,7),-0.145121 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,4),(3,11),-0.142049 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,4),(3,29),-0.113165 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,3),(3,5),(3,6),-0.161813 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,5),(3,7),-0.145121 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,5),(3,11),-0.142049 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,5),(3,29),-0.107244 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,3),(3,6),(3,7),-0.144721 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,6),(3,11),-0.160041 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,6),(3,29),-0.147538 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,3),(3,7),(3,11),-0.144815 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,7),(3,29),-0.153394 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,3),(3,11),(3,29),-0.108442 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,3),(3,3),(3,2),-0.0635733 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,3),(3,1),-0.0103382 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,3),(3,-1),0.00308358 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,3),(3,2),(3,1),-0.0229584 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,2),(3,-1),0.0427552 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,3),(3,1),(3,-1),-0.0471969 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,5),(5,6),-0.108553 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,7),-0.00590411 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,9),-0.106093 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,10),0.0129727 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,11),-0.105091 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,12),0.0387367 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,17),-0.0579239 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,18),-0.104475 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,22),-0.108553 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,27),-0.10561 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,28),-0.0411165 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,29),0.0952748 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,5),(5,6),(5,7),-0.0149738 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,6),(5,9),0.0557752 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,6),(5,10),-0.055529 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,6),(5,11),0.0566913 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,6),(5,12),-0.0277707 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,6),(5,17),-0.030187 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,6),(5,18),0.0557369 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,6),(5,22),-0.00564252 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,6),(5,27),0.055681 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,6),(5,28),-0.0194414 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,6),(5,29),0.10962 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,7),(5,9),-0.0303949 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,7),(5,10),0.0093117 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,7),(5,11),-0.0333113 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,7),(5,12),-0.0257452 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,7),(5,17),-0.0336991 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,7),(5,18),-0.0333149 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,7),(5,22),-0.00848708 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,7),(5,27),-0.0333665 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,7),(5,28),-0.0194882 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,7),(5,29),-0.0784311 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,9),(5,10),-0.0297849 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,9),(5,11),0.0133838 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,9),(5,12),-0.0229142 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,9),(5,17),-0.0207292 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,9),(5,18),0.0133838 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,9),(5,22),-0.0110348 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,9),(5,27),0.013367 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,9),(5,28),-0.00240323 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,9),(5,29),-0.0445929 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,10),(5,11),-0.0591787 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,10),(5,12),-0.0143956 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,10),(5,17),-0.00465029 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,10),(5,18),-0.0575434 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,10),(5,22),-0.0464546 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,10),(5,27),-0.0586232 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,10),(5,28),-0.015209 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,10),(5,29),-0.0459923 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,11),(5,12),-0.0229142 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,11),(5,17),-0.0207289 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,11),(5,18),0.013383 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,11),(5,22),-0.00955318 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,11),(5,27),0.0133662 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,11),(5,28),-0.00270768 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,11),(5,29),-0.0503027 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,12),(5,17),-0.014571 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,12),(5,18),-0.0113212 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,12),(5,22),0.000569991 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,12),(5,27),-0.0115216 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,12),(5,28),-0.0198773 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,12),(5,29),-0.00693837 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,17),(5,18),-0.0160899 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,17),(5,22),-0.0319759 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,17),(5,27),-0.0160899 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,17),(5,28),-0.0194479 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,17),(5,29),-0.0165455 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,18),(5,22),-0.00955275 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,18),(5,27),0.013367 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,18),(5,28),-0.00237462 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,18),(5,29),-0.0484725 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,22),(5,27),0.055681 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,22),(5,28),-0.0194414 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,22),(5,29),0.10962 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,27),(5,28),-0.00237494 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,27),(5,29),-0.0494626 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,28),(5,29),-0.0333911 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,5),(5,4),0.125185 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,3),-0.191486 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,2),-0.139714 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,1),0.0992443 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,-1),-0.230174 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,5),(5,4),(5,3),-0.145197 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,4),(5,2),-0.144725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,4),(5,1),-0.148303 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,4),(5,-1),-0.17489 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,5),(5,3),(5,2),-0.144713 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,3),(5,1),-0.182327 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,3),(5,-1),-0.164611 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,2),(5,1),-0.144706 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,2),(5,-1),-0.139108 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,1),(5,-1),0.00254466 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,6),(6,29),0.0256912 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,6),(6,6),(6,-1),-0.116676 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,7),(7,7),(7,29),0.0205963 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,7),(7,7),(7,-1),-0.103236 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,9),(9,9),(9,10),0.00534215 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,11),-0.0950913 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,12),0.0382666 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,13),-0.071999 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,16),0.0189046 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,17),-0.0442228 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,18),-0.094475 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
