# _root_ `` It 's the whole uncertainty about what 's happening around us , '' said Valentin Von Korff , a trader at Credit Suisse First Boston in Frankfurt .
#goldHeads=15,3,15,6,6,3,6,9,7,9,10,11,15,15,0,18,18,15,18,21,18,21,26,26,26,22,26,27,15,
#predictedHeads=15,3,15,6,6,3,6,9,7,9,10,11,15,15,0,18,18,15,18,21,18,21,26,26,26,22,26,27,15,
(6,3),(6,2),-0.523375 # DEPENDENCYPART_NEXTSIBL
(6,3),(6,1),-0.340467 # DEPENDENCYPART_NEXTSIBL
(6,3),(6,-1),-1.02253 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,2),(6,1),-0.314481 # DEPENDENCYPART_NEXTSIBL
(6,2),(6,-1),-0.482148 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,1),(6,-1),-0.969866 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,7),(7,8),-1.03178 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,9),-0.251951 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,10),-0.126213 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,11),-0.354018 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,13),-1.58138 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,14),-0.920666 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,15),-0.149061 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,18),-0.347029 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,22),-0.592638 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,30),-0.770315 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(7,8),(7,9),-1.03953 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,10),-1.15787 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,11),-1.25233 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,13),-1.10953 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,14),-1.25136 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,15),-1.20116 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,18),-1.45036 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,22),-1.3478 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,30),-0.786392 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,9),(7,10),-0.959424 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,11),-0.812942 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,13),-0.213883 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,14),-0.573733 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,15),-0.748204 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,18),-0.85328 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,22),-0.656455 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,30),-0.308856 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,10),(7,11),-0.803222 # DEPENDENCYPART_NEXTSIBL
(7,10),(7,13),-0.417924 # DEPENDENCYPART_NEXTSIBL
(7,10),(7,14),-0.565813 # DEPENDENCYPART_NEXTSIBL
(7,10),(7,15),-0.807374 # DEPENDENCYPART_NEXTSIBL
(7,10),(7,18),-0.983336 # DEPENDENCYPART_NEXTSIBL
(7,10),(7,22),-0.663245 # DEPENDENCYPART_NEXTSIBL
(7,10),(7,30),-0.469564 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,11),(7,13),-0.61047 # DEPENDENCYPART_NEXTSIBL
(7,11),(7,14),-0.563603 # DEPENDENCYPART_NEXTSIBL
(7,11),(7,15),-0.556664 # DEPENDENCYPART_NEXTSIBL
(7,11),(7,18),-0.663628 # DEPENDENCYPART_NEXTSIBL
(7,11),(7,22),-0.68765 # DEPENDENCYPART_NEXTSIBL
(7,11),(7,30),-1.09972 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,13),(7,14),0.115116 # DEPENDENCYPART_NEXTSIBL
(7,13),(7,15),-0.391637 # DEPENDENCYPART_NEXTSIBL
(7,13),(7,18),-0.765351 # DEPENDENCYPART_NEXTSIBL
(7,13),(7,22),-1.38441 # DEPENDENCYPART_NEXTSIBL
(7,13),(7,30),-0.675076 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,14),(7,15),-0.469086 # DEPENDENCYPART_NEXTSIBL
(7,14),(7,18),-0.65583 # DEPENDENCYPART_NEXTSIBL
(7,14),(7,22),-1.12035 # DEPENDENCYPART_NEXTSIBL
(7,14),(7,30),-0.651551 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,15),(7,18),-0.877127 # DEPENDENCYPART_NEXTSIBL
(7,15),(7,22),-0.80915 # DEPENDENCYPART_NEXTSIBL
(7,15),(7,30),-0.818698 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,18),(7,22),-0.633843 # DEPENDENCYPART_NEXTSIBL
(7,18),(7,30),-0.78042 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,22),(7,30),-0.677156 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,7),(7,6),-0.463247 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,5),-0.544714 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,-1),-0.285533 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(7,6),(7,5),-0.731284 # DEPENDENCYPART_NEXTSIBL
(7,6),(7,-1),-0.707669 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,5),(7,-1),-1.04945 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,8),(8,9),-0.409237 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,30),-0.441226 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(8,9),(8,30),-0.406581 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,8),(8,-1),-0.411949 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(9,9),(9,10),-0.320133 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,11),-0.277175 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,13),-1.43231 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,14),-0.97311 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,15),-0.323107 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,19),-0.694171 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,21),0.0858311 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,22),-0.477852 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,27),-0.260581 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,29),-1.142 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,30),-0.56743 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(9,10),(9,11),-0.847219 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,13),-0.524702 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,14),-0.677032 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,15),-0.892817 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,19),-0.716294 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,21),-0.866457 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,22),-0.688378 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,27),-0.48394 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,29),-0.511977 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,30),-0.489929 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,11),(9,13),-0.548161 # DEPENDENCYPART_NEXTSIBL
(9,11),(9,14),-0.567429 # DEPENDENCYPART_NEXTSIBL
(9,11),(9,15),-0.627023 # DEPENDENCYPART_NEXTSIBL
(9,11),(9,19),-0.425802 # DEPENDENCYPART_NEXTSIBL
(9,11),(9,21),-0.450096 # DEPENDENCYPART_NEXTSIBL
(9,11),(9,22),-0.623523 # DEPENDENCYPART_NEXTSIBL
(9,11),(9,27),-0.259964 # DEPENDENCYPART_NEXTSIBL
(9,11),(9,29),-0.639683 # DEPENDENCYPART_NEXTSIBL
(9,11),(9,30),-0.903075 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,13),(9,14),0.115521 # DEPENDENCYPART_NEXTSIBL
(9,13),(9,15),-0.44419 # DEPENDENCYPART_NEXTSIBL
(9,13),(9,19),-0.964171 # DEPENDENCYPART_NEXTSIBL
(9,13),(9,21),-0.803968 # DEPENDENCYPART_NEXTSIBL
(9,13),(9,22),-1.28807 # DEPENDENCYPART_NEXTSIBL
(9,13),(9,27),-1.99793 # DEPENDENCYPART_NEXTSIBL
(9,13),(9,29),-1.34012 # DEPENDENCYPART_NEXTSIBL
(9,13),(9,30),-0.847278 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,14),(9,15),-0.566278 # DEPENDENCYPART_NEXTSIBL
(9,14),(9,19),-1.05891 # DEPENDENCYPART_NEXTSIBL
(9,14),(9,21),-0.77614 # DEPENDENCYPART_NEXTSIBL
(9,14),(9,22),-1.09065 # DEPENDENCYPART_NEXTSIBL
(9,14),(9,27),-1.47698 # DEPENDENCYPART_NEXTSIBL
(9,14),(9,29),-3.58641 # DEPENDENCYPART_NEXTSIBL
(9,14),(9,30),-0.777878 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,15),(9,19),-0.230072 # DEPENDENCYPART_NEXTSIBL
(9,15),(9,21),-0.763215 # DEPENDENCYPART_NEXTSIBL
(9,15),(9,22),-0.819687 # DEPENDENCYPART_NEXTSIBL
(9,15),(9,27),-0.673245 # DEPENDENCYPART_NEXTSIBL
(9,15),(9,29),-0.2302 # DEPENDENCYPART_NEXTSIBL
(9,15),(9,30),-0.792568 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,19),(9,21),-0.279629 # DEPENDENCYPART_NEXTSIBL
(9,19),(9,22),-0.626768 # DEPENDENCYPART_NEXTSIBL
(9,19),(9,27),-1.16423 # DEPENDENCYPART_NEXTSIBL
(9,19),(9,29),-0.892719 # DEPENDENCYPART_NEXTSIBL
(9,19),(9,30),-0.980611 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,21),(9,22),-0.456063 # DEPENDENCYPART_NEXTSIBL
(9,21),(9,27),-0.454523 # DEPENDENCYPART_NEXTSIBL
(9,21),(9,29),-0.307685 # DEPENDENCYPART_NEXTSIBL
(9,21),(9,30),-0.720822 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,22),(9,27),-0.12361 # DEPENDENCYPART_NEXTSIBL
(9,22),(9,29),-0.730663 # DEPENDENCYPART_NEXTSIBL
(9,22),(9,30),-0.443776 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,27),(9,29),-0.584376 # DEPENDENCYPART_NEXTSIBL
(9,27),(9,30),-0.576289 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,29),(9,30),-1.92065 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,9),(9,8),-0.294725 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,7),-0.287992 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,6),-0.411583 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,5),-0.435501 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,4),-0.560975 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,3),-0.475517 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,2),-0.289779 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,1),-1.05856 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,-1),-0.59028 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(9,8),(9,7),-0.566238 # DEPENDENCYPART_NEXTSIBL
(9,8),(9,6),-0.758908 # DEPENDENCYPART_NEXTSIBL
(9,8),(9,5),-0.75795 # DEPENDENCYPART_NEXTSIBL
(9,8),(9,4),-0.910426 # DEPENDENCYPART_NEXTSIBL
(9,8),(9,3),-0.815142 # DEPENDENCYPART_NEXTSIBL
(9,8),(9,2),-0.936435 # DEPENDENCYPART_NEXTSIBL
(9,8),(9,1),-0.815785 # DEPENDENCYPART_NEXTSIBL
(9,8),(9,-1),0.081391 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,7),(9,6),-0.776067 # DEPENDENCYPART_NEXTSIBL
(9,7),(9,5),-0.755328 # DEPENDENCYPART_NEXTSIBL
(9,7),(9,4),-1.19871 # DEPENDENCYPART_NEXTSIBL
(9,7),(9,3),-1.16786 # DEPENDENCYPART_NEXTSIBL
(9,7),(9,2),-1.19389 # DEPENDENCYPART_NEXTSIBL
(9,7),(9,1),-1.32315 # DEPENDENCYPART_NEXTSIBL
(9,7),(9,-1),-0.604303 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,6),(9,5),-0.848648 # DEPENDENCYPART_NEXTSIBL
(9,6),(9,4),-0.917576 # DEPENDENCYPART_NEXTSIBL
(9,6),(9,3),-1.26855 # DEPENDENCYPART_NEXTSIBL
(9,6),(9,2),-1.12363 # DEPENDENCYPART_NEXTSIBL
(9,6),(9,1),-0.919652 # DEPENDENCYPART_NEXTSIBL
(9,6),(9,-1),-0.958583 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,5),(9,4),-0.571989 # DEPENDENCYPART_NEXTSIBL
(9,5),(9,3),-0.936722 # DEPENDENCYPART_NEXTSIBL
(9,5),(9,2),-0.776833 # DEPENDENCYPART_NEXTSIBL
(9,5),(9,1),-1.01943 # DEPENDENCYPART_NEXTSIBL
(9,5),(9,-1),-1.07077 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,4),(9,3),-1.01757 # DEPENDENCYPART_NEXTSIBL
(9,4),(9,2),-0.849287 # DEPENDENCYPART_NEXTSIBL
(9,4),(9,1),-0.857581 # DEPENDENCYPART_NEXTSIBL
(9,4),(9,-1),-0.786003 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,3),(9,2),-0.620531 # DEPENDENCYPART_NEXTSIBL
(9,3),(9,1),-0.336596 # DEPENDENCYPART_NEXTSIBL
(9,3),(9,-1),-0.981168 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,2),(9,1),-0.283135 # DEPENDENCYPART_NEXTSIBL
(9,2),(9,-1),-0.41386 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,1),(9,-1),-0.800068 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,10),(10,11),-0.245222 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,12),-0.48069 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,13),-1.42082 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,14),-0.958046 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,15),-0.243676 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,18),-0.169422 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,19),-0.68268 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,21),0.141597 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,22),-0.442546 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,27),-0.245706 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,29),-1.15354 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,30),-0.719162 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(10,11),(10,12),-0.726918 # DEPENDENCYPART_NEXTSIBL
(10,11),(10,13),-0.520574 # DEPENDENCYPART_NEXTSIBL
(10,11),(10,14),-0.532414 # DEPENDENCYPART_NEXTSIBL
(10,11),(10,15),-0.585322 # DEPENDENCYPART_NEXTSIBL
(10,11),(10,18),-0.60863 # DEPENDENCYPART_NEXTSIBL
(10,11),(10,19),-0.398216 # DEPENDENCYPART_NEXTSIBL
(10,11),(10,21),-0.410998 # DEPENDENCYPART_NEXTSIBL
(10,11),(10,22),-0.580978 # DEPENDENCYPART_NEXTSIBL
(10,11),(10,27),-0.229075 # DEPENDENCYPART_NEXTSIBL
(10,11),(10,29),-0.597928 # DEPENDENCYPART_NEXTSIBL
(10,11),(10,30),-0.873594 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,12),(10,13),-0.839852 # DEPENDENCYPART_NEXTSIBL
(10,12),(10,14),-0.895113 # DEPENDENCYPART_NEXTSIBL
(10,12),(10,15),-0.873792 # DEPENDENCYPART_NEXTSIBL
(10,12),(10,18),-1.00673 # DEPENDENCYPART_NEXTSIBL
(10,12),(10,19),-1.12597 # DEPENDENCYPART_NEXTSIBL
(10,12),(10,21),-0.938236 # DEPENDENCYPART_NEXTSIBL
(10,12),(10,22),-1.13193 # DEPENDENCYPART_NEXTSIBL
(10,12),(10,27),-1.39133 # DEPENDENCYPART_NEXTSIBL
(10,12),(10,29),-1.14587 # DEPENDENCYPART_NEXTSIBL
(10,12),(10,30),-0.513014 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,13),(10,14),0.142539 # DEPENDENCYPART_NEXTSIBL
(10,13),(10,15),-0.412986 # DEPENDENCYPART_NEXTSIBL
(10,13),(10,18),-0.721796 # DEPENDENCYPART_NEXTSIBL
(10,13),(10,19),-0.946939 # DEPENDENCYPART_NEXTSIBL
(10,13),(10,21),-0.77364 # DEPENDENCYPART_NEXTSIBL
(10,13),(10,22),-1.25596 # DEPENDENCYPART_NEXTSIBL
(10,13),(10,27),-1.97937 # DEPENDENCYPART_NEXTSIBL
(10,13),(10,29),-1.34347 # DEPENDENCYPART_NEXTSIBL
(10,13),(10,30),-0.858433 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,14),(10,15),-0.52339 # DEPENDENCYPART_NEXTSIBL
(10,14),(10,18),-0.57656 # DEPENDENCYPART_NEXTSIBL
(10,14),(10,19),-1.0403 # DEPENDENCYPART_NEXTSIBL
(10,14),(10,21),-0.751877 # DEPENDENCYPART_NEXTSIBL
(10,14),(10,22),-1.05153 # DEPENDENCYPART_NEXTSIBL
(10,14),(10,27),-1.45065 # DEPENDENCYPART_NEXTSIBL
(10,14),(10,29),-3.58977 # DEPENDENCYPART_NEXTSIBL
(10,14),(10,30),-0.777173 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,15),(10,18),-0.829863 # DEPENDENCYPART_NEXTSIBL
(10,15),(10,19),-0.218141 # DEPENDENCYPART_NEXTSIBL
(10,15),(10,21),-0.729043 # DEPENDENCYPART_NEXTSIBL
(10,15),(10,22),-0.791288 # DEPENDENCYPART_NEXTSIBL
(10,15),(10,27),-0.666743 # DEPENDENCYPART_NEXTSIBL
(10,15),(10,29),-0.197238 # DEPENDENCYPART_NEXTSIBL
(10,15),(10,30),-0.743406 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,18),(10,19),-0.681827 # DEPENDENCYPART_NEXTSIBL
(10,18),(10,21),-0.829919 # DEPENDENCYPART_NEXTSIBL
(10,18),(10,22),-0.560526 # DEPENDENCYPART_NEXTSIBL
(10,18),(10,27),-0.608027 # DEPENDENCYPART_NEXTSIBL
(10,18),(10,29),-0.246214 # DEPENDENCYPART_NEXTSIBL
(10,18),(10,30),-0.760768 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,19),(10,21),-0.249301 # DEPENDENCYPART_NEXTSIBL
(10,19),(10,22),-0.594655 # DEPENDENCYPART_NEXTSIBL
(10,19),(10,27),-1.14567 # DEPENDENCYPART_NEXTSIBL
(10,19),(10,29),-0.896067 # DEPENDENCYPART_NEXTSIBL
(10,19),(10,30),-0.991765 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,21),(10,22),-0.423299 # DEPENDENCYPART_NEXTSIBL
(10,21),(10,27),-0.452102 # DEPENDENCYPART_NEXTSIBL
(10,21),(10,29),-0.332033 # DEPENDENCYPART_NEXTSIBL
(10,21),(10,30),-0.669744 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,22),(10,27),-0.0928898 # DEPENDENCYPART_NEXTSIBL
(10,22),(10,29),-0.685592 # DEPENDENCYPART_NEXTSIBL
(10,22),(10,30),-0.407263 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,27),(10,29),-0.559214 # DEPENDENCYPART_NEXTSIBL
(10,27),(10,30),-0.562583 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,29),(10,30),-1.92223 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,10),(10,9),-0.482855 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,8),-0.323872 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,7),-0.274735 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,6),-0.306702 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,-1),-0.685356 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(10,9),(10,8),-0.683153 # DEPENDENCYPART_NEXTSIBL
(10,9),(10,7),-0.722422 # DEPENDENCYPART_NEXTSIBL
(10,9),(10,6),-0.999179 # DEPENDENCYPART_NEXTSIBL
(10,9),(10,-1),-0.600398 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,8),(10,7),-0.570157 # DEPENDENCYPART_NEXTSIBL
(10,8),(10,6),-0.729754 # DEPENDENCYPART_NEXTSIBL
(10,8),(10,-1),0.0504796 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,7),(10,6),-0.733236 # DEPENDENCYPART_NEXTSIBL
(10,7),(10,-1),-0.59211 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,6),(10,-1),-0.847767 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,11),(11,12),-0.474758 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,13),-1.56797 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,14),-0.926627 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,15),-0.232108 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,18),-0.249677 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,21),0.0504721 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,30),-0.723708 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(11,12),(11,13),-0.835337 # DEPENDENCYPART_NEXTSIBL
(11,12),(11,14),-0.866506 # DEPENDENCYPART_NEXTSIBL
(11,12),(11,15),-0.878838 # DEPENDENCYPART_NEXTSIBL
(11,12),(11,18),-1.05391 # DEPENDENCYPART_NEXTSIBL
(11,12),(11,21),-0.986885 # DEPENDENCYPART_NEXTSIBL
(11,12),(11,30),-0.375556 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,13),(11,14),0.112075 # DEPENDENCYPART_NEXTSIBL
(11,13),(11,15),-0.436237 # DEPENDENCYPART_NEXTSIBL
(11,13),(11,18),-0.731863 # DEPENDENCYPART_NEXTSIBL
(11,13),(11,21),-0.782832 # DEPENDENCYPART_NEXTSIBL
(11,13),(11,30),-0.662489 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,14),(11,15),-0.507657 # DEPENDENCYPART_NEXTSIBL
(11,14),(11,18),-0.633502 # DEPENDENCYPART_NEXTSIBL
(11,14),(11,21),-0.810184 # DEPENDENCYPART_NEXTSIBL
(11,14),(11,30),-0.667921 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,15),(11,18),-0.881433 # DEPENDENCYPART_NEXTSIBL
(11,15),(11,21),-0.781558 # DEPENDENCYPART_NEXTSIBL
(11,15),(11,30),-0.910347 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,18),(11,21),-1.05198 # DEPENDENCYPART_NEXTSIBL
(11,18),(11,30),-0.724801 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,21),(11,30),-0.637405 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,11),(11,10),-0.268888 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,8),-0.397843 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,7),-0.190821 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,6),-0.446787 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,-1),-0.285668 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(11,10),(11,8),-0.967695 # DEPENDENCYPART_NEXTSIBL
(11,10),(11,7),-1.11579 # DEPENDENCYPART_NEXTSIBL
(11,10),(11,6),-1.21482 # DEPENDENCYPART_NEXTSIBL
(11,10),(11,-1),-0.691886 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,8),(11,7),-0.577886 # DEPENDENCYPART_NEXTSIBL
(11,8),(11,6),-0.740183 # DEPENDENCYPART_NEXTSIBL
(11,8),(11,-1),-0.138577 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,7),(11,6),-0.698103 # DEPENDENCYPART_NEXTSIBL
(11,7),(11,-1),-0.516056 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,6),(11,-1),-0.693875 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,12),(12,13),-1.50366 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,15),-0.198036 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,30),-0.327418 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(12,13),(12,15),-0.385579 # DEPENDENCYPART_NEXTSIBL
(12,13),(12,30),-0.756432 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,15),(12,30),-0.836478 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,12),(12,-1),-0.382117 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(13,13),(13,30),-0.136963 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(13,13),(13,11),-0.168662 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,7),-0.250547 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,-1),-0.233776 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(13,11),(13,7),-1.39839 # DEPENDENCYPART_NEXTSIBL
(13,11),(13,-1),-0.928245 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,7),(13,-1),-0.575816 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,14),(14,30),-0.458542 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(14,14),(14,-1),-0.434983 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(15,15),(15,16),-0.540102 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,17),-0.475428 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,18),-0.503019 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,19),-0.453938 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(15,15),(15,21),-0.19086 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
