# _root_ Ms. Malcolm , for example , wrote that Mr. Masson described himself as `` the greatest analyst who ever lived . ''
#goldHeads=2,7,7,7,4,7,0,11,10,11,7,11,11,13,17,17,13,20,20,17,7,7,
#predictedHeads=2,7,7,7,4,7,0,11,10,11,7,11,11,13,17,17,13,20,20,17,7,7,
(1,11),(11,8),(11,4),0.122827 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,8),(11,3),0.172325 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,8),(11,2),0.106504 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,8),(11,1),0.106504 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,11),(11,8),(11,-1),-0.149316 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,11),(11,7),(11,6),0.129893 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,7),(11,5),0.118726 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,7),(11,4),0.114076 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,7),(11,3),0.129893 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,7),(11,2),0.118726 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,7),(11,1),0.118726 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,11),(11,7),(11,-1),-0.147177 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,11),(11,6),(11,5),0.117637 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,6),(11,4),0.149755 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,6),(11,3),0.11865 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,6),(11,2),0.117637 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,6),(11,1),0.117637 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,11),(11,6),(11,-1),-0.188082 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,11),(11,5),(11,4),0.122185 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,5),(11,3),0.0567464 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,5),(11,2),0.094611 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,5),(11,1),0.0946111 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,11),(11,5),(11,-1),-0.0329575 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,11),(11,4),(11,3),0.164993 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,4),(11,2),0.108248 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,4),(11,1),0.108248 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,11),(11,4),(11,-1),-0.157268 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,11),(11,3),(11,2),0.117637 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,3),(11,1),0.117637 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,11),(11,3),(11,-1),-0.188082 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,11),(11,2),(11,1),0.0946111 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,11),(11,2),(11,-1),-0.0304153 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,11),(11,1),(11,-1),-0.0329623 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,14),(14,14),(14,23),-0.0697555 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,14),(14,14),(14,-1),-0.136156 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,22),(22,22),(22,23),-0.0415077 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,22),(22,22),(22,-1),-0.122933 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,1),(1,1),(1,2),-0.141313 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,1),(1,1),(1,3),-0.129725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,1),(1,4),-0.144133 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,1),(1,5),-0.141313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,1),(1,6),-0.129725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,1),(1,7),-0.15429 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,1),(1,11),-0.15429 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,1),(1,14),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,1),(1,22),-0.125137 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,1),(1,23),0.032086 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,1),(1,2),(1,3),-0.126785 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,2),(1,4),-0.125035 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,2),(1,5),-0.125449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,2),(1,6),-0.126785 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,2),(1,7),-0.125545 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,2),(1,11),-0.125545 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,2),(1,14),-0.124889 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,2),(1,22),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,2),(1,23),-0.143133 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,1),(1,3),(1,4),-0.125395 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,3),(1,5),-0.129532 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,3),(1,6),-0.125325 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,3),(1,7),-0.127045 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,3),(1,11),-0.127045 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,3),(1,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,3),(1,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,3),(1,23),-0.00337174 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,1),(1,4),(1,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,4),(1,6),-0.124891 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,4),(1,7),-0.125119 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,4),(1,11),-0.125119 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,4),(1,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,4),(1,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,4),(1,23),-0.0862511 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,1),(1,5),(1,6),-0.126785 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,5),(1,7),-0.125545 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,5),(1,11),-0.125545 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,5),(1,14),-0.124889 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,5),(1,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,5),(1,23),-0.143132 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,1),(1,6),(1,7),-0.127045 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,6),(1,11),-0.127045 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,6),(1,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,6),(1,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,6),(1,23),-0.00337174 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,1),(1,7),(1,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,7),(1,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,7),(1,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,7),(1,23),-0.173855 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,1),(1,11),(1,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,11),(1,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,11),(1,23),-0.173864 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,1),(1,14),(1,22),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,14),(1,23),-0.111349 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,1),(1,22),(1,23),-0.134501 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,1),(1,1),(1,-1),0.106039 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,3),(3,3),(3,4),-0.0578381 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,23),-0.00817742 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,3),(3,4),(3,23),-0.0614652 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,3),(3,-1),-0.0930478 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,4),(4,4),(4,5),0.0701588 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,6),-0.0830803 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,7),0.0117929 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,11),0.00915499 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,23),-0.382232 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,4),(4,5),(4,6),-0.0146127 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,7),-0.0513725 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,11),-0.0513725 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,23),0.0288793 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,6),(4,7),-0.0371438 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,11),-0.0371438 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,23),-0.0272032 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,7),(4,11),-0.0420167 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,7),(4,23),0.0240945 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,11),(4,23),0.0217942 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,4),(4,3),0.109475 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,-1),-0.040335 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,4),(4,3),(4,-1),-0.109325 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,5),(5,6),0.138959 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,7),0.0459456 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,10),-0.182988 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,11),0.0496033 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,13),-0.0407106 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,14),-0.0442243 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,17),-0.18299 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,21),0.0853674 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,22),-0.0319472 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,23),0.0948485 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,5),(5,6),(5,7),-0.117164 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,6),(5,10),0.134207 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,6),(5,11),-0.117144 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,6),(5,13),-0.029045 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,6),(5,14),-0.0470037 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,6),(5,17),0.134155 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,6),(5,21),-0.0439761 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,6),(5,22),-0.0507689 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,6),(5,23),-0.0437777 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,7),(5,10),-0.0484081 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,7),(5,11),-0.0450603 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,7),(5,13),-0.0510581 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,7),(5,14),-0.0421734 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,7),(5,17),-0.0484081 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,7),(5,21),-0.0421587 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,7),(5,22),-0.0381923 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,7),(5,23),-0.0135484 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,10),(5,11),-0.0429856 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,10),(5,13),-0.0335205 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,10),(5,14),-0.0543662 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,10),(5,17),-0.0133141 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,10),(5,21),-0.0383558 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,10),(5,22),-0.0443227 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,10),(5,23),0.00288445 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,11),(5,13),-0.0510581 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,11),(5,14),-0.0421734 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,11),(5,17),-0.0484083 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,11),(5,21),-0.0421587 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,11),(5,22),-0.0382882 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,11),(5,23),-0.01258 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,13),(5,14),-0.0425055 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,13),(5,17),-0.040977 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,13),(5,21),-0.0454342 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,13),(5,22),-0.0459974 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,13),(5,23),-0.0810218 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,14),(5,17),-0.0494718 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,14),(5,21),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,14),(5,22),-0.042388 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,14),(5,23),-0.0342136 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,17),(5,21),-0.0383558 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,17),(5,22),-0.0443227 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,17),(5,23),0.00281868 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,21),(5,22),-0.0515849 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,21),(5,23),0.0957853 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,22),(5,23),-0.0654073 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,5),(5,4),0.195222 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,3),0.165393 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,2),0.151037 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,5),(5,5),(5,1),-0.141313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,-1),0.0201732 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,5),(5,4),(5,3),0.112453 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,4),(5,2),0.116326 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,4),(5,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,4),(5,-1),-0.0863343 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,3),(5,2),0.11273 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,3),(5,1),-0.129532 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,3),(5,-1),-0.00393986 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,2),(5,1),-0.125449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,2),(5,-1),-0.143176 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,5),(5,1),(5,-1),-0.144383 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,6),(6,6),(6,23),-0.00817742 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,6),(6,6),(6,4),0.115296 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,6),(6,6),(6,-1),-0.0930478 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,6),(6,4),(6,-1),-0.128946 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,7),(7,8),-0.072862 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,9),-0.0284956 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,10),-0.0282452 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,11),-0.0431128 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,13),-0.0198117 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,14),-0.0486608 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,17),-0.0283735 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,19),0.0110623 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,20),-0.0415152 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,21),-0.048883 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,22),-0.0321705 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,23),0.0651178 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,7),(7,8),(7,9),-0.0433058 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,8),(7,10),-0.0432984 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,8),(7,11),-0.031101 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,8),(7,13),-0.044509 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,8),(7,14),-0.0405086 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,8),(7,17),-0.0432984 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,8),(7,19),-0.0314434 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,8),(7,20),-0.0310487 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,8),(7,21),-0.0529863 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,8),(7,22),-0.0306212 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,8),(7,23),-0.0509745 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,9),(7,10),-0.0341451 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,9),(7,11),-0.0540081 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,9),(7,13),-0.00673005 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,9),(7,14),-0.046493 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,9),(7,17),-0.0341932 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,9),(7,19),-0.0327652 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,9),(7,20),-0.0540081 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,9),(7,21),-0.0550567 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,9),(7,22),-0.0170656 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,9),(7,23),-0.0564791 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,10),(7,11),-0.0540081 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,10),(7,13),-0.00673005 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,10),(7,14),-0.046493 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,10),(7,17),-0.03419 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,10),(7,19),-0.0327652 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,10),(7,20),-0.0540081 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,10),(7,21),-0.0550567 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,10),(7,22),-0.0170656 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,10),(7,23),-0.0562222 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,11),(7,13),-0.0500083 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,11),(7,14),-0.0425582 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,11),(7,17),-0.0470011 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,11),(7,19),-0.0422973 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,11),(7,20),-0.0436735 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,11),(7,21),-0.0419652 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,11),(7,22),-0.0249853 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,11),(7,23),-0.0841263 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,13),(7,14),-0.0376646 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,13),(7,17),-0.0369451 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,13),(7,19),-0.034911 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,13),(7,20),-0.0323169 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,13),(7,21),-0.0530466 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,13),(7,22),-0.0304455 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,13),(7,23),-0.0202238 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,14),(7,17),-0.0311824 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,14),(7,19),-0.0441505 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,14),(7,20),-0.0240311 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,14),(7,21),-0.0320264 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,14),(7,22),-0.0430463 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,14),(7,23),-0.0434947 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,17),(7,19),-0.0327652 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,17),(7,20),-0.0540081 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,17),(7,21),-0.0550567 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,17),(7,22),-0.0170656 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,17),(7,23),-0.0562732 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,19),(7,20),-0.0216041 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,19),(7,21),-0.0452914 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,19),(7,22),-0.0438264 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,19),(7,23),0.0158613 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,20),(7,21),-0.0419652 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,20),(7,22),-0.0249853 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,20),(7,23),-0.0793947 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,21),(7,22),-0.050718 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,21),(7,23),-0.0871039 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,22),(7,23),-0.0192097 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,7),(7,6),0.13998 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,5),0.163271 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,4),0.21137 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,3),0.13998 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,2),0.165826 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,7),(7,7),(7,1),-0.175462 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,-1),0.0409936 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,7),(7,6),(7,5),0.117641 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,6),(7,4),0.149748 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,6),(7,3),0.11865 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,6),(7,2),0.117641 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,6),(7,1),-0.125259 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,6),(7,-1),-0.188544 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,5),(7,4),0.119689 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,5),(7,3),0.0566164 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,5),(7,2),0.0944678 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,5),(7,1),-0.124895 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,5),(7,-1),-0.0315016 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,4),(7,3),0.164993 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,4),(7,2),0.108248 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,4),(7,1),-0.125064 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,4),(7,-1),-0.159966 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,3),(7,2),0.117641 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,3),(7,1),-0.125259 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,3),(7,-1),-0.188544 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,2),(7,1),-0.124895 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,2),(7,-1),-0.0289593 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,7),(7,1),(7,-1),-0.0315064 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,8),(8,8),(8,9),0.0281772 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,10),0.0336064 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
