# _root_ The contract was first proposed more than two years ago , but shortly afterward , the colony 's markets were hit hard by the October 1987 global stock crash .
#goldHeads=2,3,12,3,3,7,9,7,10,5,12,0,20,13,20,17,19,17,20,12,20,21,21,29,29,29,29,29,23,12,
#predictedHeads=2,3,12,3,3,7,9,7,10,5,12,0,20,13,20,17,19,17,20,12,20,21,21,29,29,25,29,29,23,12,
(7,10),(7,14),-0.803955 # DEPENDENCYPART_NEXTSIBL
(7,10),(7,19),-0.744605 # DEPENDENCYPART_NEXTSIBL
(7,10),(7,20),-0.672464 # DEPENDENCYPART_NEXTSIBL
(7,10),(7,22),-0.93122 # DEPENDENCYPART_NEXTSIBL
(7,10),(7,23),-0.616219 # DEPENDENCYPART_NEXTSIBL
(7,10),(7,31),-0.454926 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,11),(7,12),-0.462175 # DEPENDENCYPART_NEXTSIBL
(7,11),(7,13),-0.644549 # DEPENDENCYPART_NEXTSIBL
(7,11),(7,14),-0.755855 # DEPENDENCYPART_NEXTSIBL
(7,11),(7,19),-1.11985 # DEPENDENCYPART_NEXTSIBL
(7,11),(7,20),-1.19281 # DEPENDENCYPART_NEXTSIBL
(7,11),(7,22),-1.09208 # DEPENDENCYPART_NEXTSIBL
(7,11),(7,23),-1.45142 # DEPENDENCYPART_NEXTSIBL
(7,11),(7,31),-0.782764 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,12),(7,13),-0.646912 # DEPENDENCYPART_NEXTSIBL
(7,12),(7,14),-0.665846 # DEPENDENCYPART_NEXTSIBL
(7,12),(7,19),-0.746934 # DEPENDENCYPART_NEXTSIBL
(7,12),(7,20),-0.63868 # DEPENDENCYPART_NEXTSIBL
(7,12),(7,22),-0.702976 # DEPENDENCYPART_NEXTSIBL
(7,12),(7,23),-0.840422 # DEPENDENCYPART_NEXTSIBL
(7,12),(7,31),-0.43868 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,13),(7,14),-0.709668 # DEPENDENCYPART_NEXTSIBL
(7,13),(7,19),-0.815173 # DEPENDENCYPART_NEXTSIBL
(7,13),(7,20),-0.755095 # DEPENDENCYPART_NEXTSIBL
(7,13),(7,22),-1.04787 # DEPENDENCYPART_NEXTSIBL
(7,13),(7,23),-0.774246 # DEPENDENCYPART_NEXTSIBL
(7,13),(7,31),-0.637005 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,14),(7,19),-0.71032 # DEPENDENCYPART_NEXTSIBL
(7,14),(7,20),-0.703812 # DEPENDENCYPART_NEXTSIBL
(7,14),(7,22),-1.02779 # DEPENDENCYPART_NEXTSIBL
(7,14),(7,23),-0.836338 # DEPENDENCYPART_NEXTSIBL
(7,14),(7,31),-0.656553 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,19),(7,20),-1.03296 # DEPENDENCYPART_NEXTSIBL
(7,19),(7,22),-1.27683 # DEPENDENCYPART_NEXTSIBL
(7,19),(7,23),-0.962489 # DEPENDENCYPART_NEXTSIBL
(7,19),(7,31),-0.762945 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,20),(7,22),-1.03587 # DEPENDENCYPART_NEXTSIBL
(7,20),(7,23),-0.684495 # DEPENDENCYPART_NEXTSIBL
(7,20),(7,31),-0.658129 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,22),(7,23),-0.433799 # DEPENDENCYPART_NEXTSIBL
(7,22),(7,31),-0.319881 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,23),(7,31),-0.584534 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,7),(7,6),-0.00375965 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,4),-0.292372 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,2),-0.480997 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,-1),-0.216423 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(7,6),(7,4),-0.607391 # DEPENDENCYPART_NEXTSIBL
(7,6),(7,2),-0.939224 # DEPENDENCYPART_NEXTSIBL
(7,6),(7,-1),-0.390741 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,4),(7,2),-0.775505 # DEPENDENCYPART_NEXTSIBL
(7,4),(7,-1),-1.1023 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,2),(7,-1),-0.585494 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,8),(8,9),-0.379813 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,10),-0.293198 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,11),-0.711077 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,31),-0.26417 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(8,9),(8,10),-0.692489 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,11),-0.544367 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,31),-0.643866 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,10),(8,11),-0.521568 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,31),-0.48213 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,11),(8,31),-0.911781 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,8),(8,7),-0.51812 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,-1),-0.427682 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(8,7),(8,-1),-0.447099 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,9),(9,10),-0.24035 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,11),-0.826173 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,12),-0.116916 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,13),-0.203452 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,14),0.117541 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,15),-0.861261 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,17),-0.796567 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,19),-0.16509 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,20),0.00306439 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,29),-0.128954 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,31),-0.312622 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(9,10),(9,11),-0.586964 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,12),-0.721665 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,13),-0.747744 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,14),-0.739255 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,15),-0.710079 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,17),-0.687298 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,19),-0.650998 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,20),-0.61371 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,29),-0.821663 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,31),-0.421156 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,11),(9,12),-0.215258 # DEPENDENCYPART_NEXTSIBL
(9,11),(9,13),-0.625305 # DEPENDENCYPART_NEXTSIBL
(9,11),(9,14),-0.735078 # DEPENDENCYPART_NEXTSIBL
(9,11),(9,15),-1.3112 # DEPENDENCYPART_NEXTSIBL
(9,11),(9,17),-0.967376 # DEPENDENCYPART_NEXTSIBL
(9,11),(9,19),-0.89637 # DEPENDENCYPART_NEXTSIBL
(9,11),(9,20),-1.09352 # DEPENDENCYPART_NEXTSIBL
(9,11),(9,29),-1.15709 # DEPENDENCYPART_NEXTSIBL
(9,11),(9,31),-0.856056 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,12),(9,13),-0.521272 # DEPENDENCYPART_NEXTSIBL
(9,12),(9,14),-0.538673 # DEPENDENCYPART_NEXTSIBL
(9,12),(9,15),-0.159568 # DEPENDENCYPART_NEXTSIBL
(9,12),(9,17),-0.647636 # DEPENDENCYPART_NEXTSIBL
(9,12),(9,19),-0.623025 # DEPENDENCYPART_NEXTSIBL
(9,12),(9,20),-0.494482 # DEPENDENCYPART_NEXTSIBL
(9,12),(9,29),-0.612714 # DEPENDENCYPART_NEXTSIBL
(9,12),(9,31),-0.273694 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,13),(9,14),-0.631252 # DEPENDENCYPART_NEXTSIBL
(9,13),(9,15),-0.674187 # DEPENDENCYPART_NEXTSIBL
(9,13),(9,17),-0.605017 # DEPENDENCYPART_NEXTSIBL
(9,13),(9,19),-0.707698 # DEPENDENCYPART_NEXTSIBL
(9,13),(9,20),-0.68229 # DEPENDENCYPART_NEXTSIBL
(9,13),(9,29),-0.902732 # DEPENDENCYPART_NEXTSIBL
(9,13),(9,31),-0.57423 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,14),(9,15),-0.621571 # DEPENDENCYPART_NEXTSIBL
(9,14),(9,17),-0.621398 # DEPENDENCYPART_NEXTSIBL
(9,14),(9,19),-0.601312 # DEPENDENCYPART_NEXTSIBL
(9,14),(9,20),-0.629474 # DEPENDENCYPART_NEXTSIBL
(9,14),(9,29),-0.825969 # DEPENDENCYPART_NEXTSIBL
(9,14),(9,31),-0.589474 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,15),(9,17),-0.186028 # DEPENDENCYPART_NEXTSIBL
(9,15),(9,19),-0.223434 # DEPENDENCYPART_NEXTSIBL
(9,15),(9,20),-0.820739 # DEPENDENCYPART_NEXTSIBL
(9,15),(9,29),-0.328657 # DEPENDENCYPART_NEXTSIBL
(9,15),(9,31),-0.772818 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,17),(9,19),-0.881014 # DEPENDENCYPART_NEXTSIBL
(9,17),(9,20),-0.770446 # DEPENDENCYPART_NEXTSIBL
(9,17),(9,29),-1.2222 # DEPENDENCYPART_NEXTSIBL
(9,17),(9,31),-0.579428 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,19),(9,20),-0.948984 # DEPENDENCYPART_NEXTSIBL
(9,19),(9,29),-1.54117 # DEPENDENCYPART_NEXTSIBL
(9,19),(9,31),-0.833834 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,20),(9,29),-0.765011 # DEPENDENCYPART_NEXTSIBL
(9,20),(9,31),-0.557492 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,29),(9,31),-0.135845 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,9),(9,8),-0.203354 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,7),-0.313171 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,6),-0.150871 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,5),-0.432216 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,4),-0.0623816 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,1),-0.38702 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,-1),-0.49832 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(9,8),(9,7),-0.921448 # DEPENDENCYPART_NEXTSIBL
(9,8),(9,6),-0.888402 # DEPENDENCYPART_NEXTSIBL
(9,8),(9,5),-0.970903 # DEPENDENCYPART_NEXTSIBL
(9,8),(9,4),-1.01141 # DEPENDENCYPART_NEXTSIBL
(9,8),(9,1),-1.2113 # DEPENDENCYPART_NEXTSIBL
(9,8),(9,-1),-0.65696 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,7),(9,6),-0.29738 # DEPENDENCYPART_NEXTSIBL
(9,7),(9,5),-0.857506 # DEPENDENCYPART_NEXTSIBL
(9,7),(9,4),-0.804884 # DEPENDENCYPART_NEXTSIBL
(9,7),(9,1),-1.07842 # DEPENDENCYPART_NEXTSIBL
(9,7),(9,-1),-0.223882 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,6),(9,5),-0.432995 # DEPENDENCYPART_NEXTSIBL
(9,6),(9,4),-0.663714 # DEPENDENCYPART_NEXTSIBL
(9,6),(9,1),-1.2411 # DEPENDENCYPART_NEXTSIBL
(9,6),(9,-1),-0.406363 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,5),(9,4),-0.411395 # DEPENDENCYPART_NEXTSIBL
(9,5),(9,1),-0.60054 # DEPENDENCYPART_NEXTSIBL
(9,5),(9,-1),-0.925947 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,4),(9,1),-0.819786 # DEPENDENCYPART_NEXTSIBL
(9,4),(9,-1),-1.01328 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,1),(9,-1),-0.227635 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,10),(10,11),-0.809797 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,12),-0.116566 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,13),-0.16773 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,14),0.139085 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,17),-0.668885 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,19),-0.0356695 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,20),-0.111044 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,31),-0.165764 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(10,11),(10,12),-0.388275 # DEPENDENCYPART_NEXTSIBL
(10,11),(10,13),-0.655655 # DEPENDENCYPART_NEXTSIBL
(10,11),(10,14),-0.774264 # DEPENDENCYPART_NEXTSIBL
(10,11),(10,17),-1.1724 # DEPENDENCYPART_NEXTSIBL
(10,11),(10,19),-1.09075 # DEPENDENCYPART_NEXTSIBL
(10,11),(10,20),-1.12629 # DEPENDENCYPART_NEXTSIBL
(10,11),(10,31),-0.855488 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,12),(10,13),-0.547921 # DEPENDENCYPART_NEXTSIBL
(10,12),(10,14),-0.574158 # DEPENDENCYPART_NEXTSIBL
(10,12),(10,17),-0.68571 # DEPENDENCYPART_NEXTSIBL
(10,12),(10,19),-0.657482 # DEPENDENCYPART_NEXTSIBL
(10,12),(10,20),-0.54858 # DEPENDENCYPART_NEXTSIBL
(10,12),(10,31),-0.328205 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,13),(10,14),-0.643631 # DEPENDENCYPART_NEXTSIBL
(10,13),(10,17),-0.663214 # DEPENDENCYPART_NEXTSIBL
(10,13),(10,19),-0.762279 # DEPENDENCYPART_NEXTSIBL
(10,13),(10,20),-0.672586 # DEPENDENCYPART_NEXTSIBL
(10,13),(10,31),-0.602473 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,14),(10,17),-0.688433 # DEPENDENCYPART_NEXTSIBL
(10,14),(10,19),-0.66473 # DEPENDENCYPART_NEXTSIBL
(10,14),(10,20),-0.628606 # DEPENDENCYPART_NEXTSIBL
(10,14),(10,31),-0.643914 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,17),(10,19),-0.931343 # DEPENDENCYPART_NEXTSIBL
(10,17),(10,20),-0.794289 # DEPENDENCYPART_NEXTSIBL
(10,17),(10,31),-0.568846 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,19),(10,20),-0.96921 # DEPENDENCYPART_NEXTSIBL
(10,19),(10,31),-0.81562 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,20),(10,31),-0.593933 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,10),(10,9),0.0470148 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,7),-0.45882 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,2),-0.256874 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,-1),-0.585535 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(10,9),(10,7),-0.509114 # DEPENDENCYPART_NEXTSIBL
(10,9),(10,2),-1.39177 # DEPENDENCYPART_NEXTSIBL
(10,9),(10,-1),-0.135841 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,7),(10,2),-1.07823 # DEPENDENCYPART_NEXTSIBL
(10,7),(10,-1),-0.484456 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,2),(10,-1),-0.263898 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,11),(11,31),-0.0838151 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(11,11),(11,10),-0.593079 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,-1),-0.180628 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(11,10),(11,-1),-0.685171 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,12),(12,13),-0.209247 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,14),0.105105 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,15),-0.794409 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,16),-0.912092 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,17),-0.888244 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,19),-0.311927 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,20),0.116689 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,21),-0.356967 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,30),-1.49467 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,31),-0.435624 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(12,13),(12,14),-0.667827 # DEPENDENCYPART_NEXTSIBL
(12,13),(12,15),-0.648996 # DEPENDENCYPART_NEXTSIBL
(12,13),(12,16),-0.878143 # DEPENDENCYPART_NEXTSIBL
(12,13),(12,17),-0.653743 # DEPENDENCYPART_NEXTSIBL
(12,13),(12,19),-0.760577 # DEPENDENCYPART_NEXTSIBL
(12,13),(12,20),-0.625014 # DEPENDENCYPART_NEXTSIBL
(12,13),(12,21),-0.775339 # DEPENDENCYPART_NEXTSIBL
(12,13),(12,30),-1.14341 # DEPENDENCYPART_NEXTSIBL
(12,13),(12,31),-0.668535 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,14),(12,15),-0.59886 # DEPENDENCYPART_NEXTSIBL
(12,14),(12,16),-0.802682 # DEPENDENCYPART_NEXTSIBL
(12,14),(12,17),-0.672688 # DEPENDENCYPART_NEXTSIBL
(12,14),(12,19),-0.656754 # DEPENDENCYPART_NEXTSIBL
(12,14),(12,20),-0.574679 # DEPENDENCYPART_NEXTSIBL
(12,14),(12,21),-0.744995 # DEPENDENCYPART_NEXTSIBL
(12,14),(12,30),-1.17243 # DEPENDENCYPART_NEXTSIBL
(12,14),(12,31),-0.690759 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,15),(12,16),-0.550946 # DEPENDENCYPART_NEXTSIBL
(12,15),(12,17),-0.370047 # DEPENDENCYPART_NEXTSIBL
(12,15),(12,19),-0.399981 # DEPENDENCYPART_NEXTSIBL
(12,15),(12,20),-0.796499 # DEPENDENCYPART_NEXTSIBL
(12,15),(12,21),-0.721082 # DEPENDENCYPART_NEXTSIBL
(12,15),(12,30),-1.13193 # DEPENDENCYPART_NEXTSIBL
(12,15),(12,31),-0.774744 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,16),(12,17),-0.734504 # DEPENDENCYPART_NEXTSIBL
(12,16),(12,19),-0.957248 # DEPENDENCYPART_NEXTSIBL
(12,16),(12,20),-0.717697 # DEPENDENCYPART_NEXTSIBL
(12,16),(12,21),-0.811681 # DEPENDENCYPART_NEXTSIBL
(12,16),(12,30),-0.872165 # DEPENDENCYPART_NEXTSIBL
(12,16),(12,31),-1.12915 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,17),(12,19),-1.01632 # DEPENDENCYPART_NEXTSIBL
(12,17),(12,20),-0.763851 # DEPENDENCYPART_NEXTSIBL
(12,17),(12,21),-0.875161 # DEPENDENCYPART_NEXTSIBL
(12,17),(12,30),-0.796034 # DEPENDENCYPART_NEXTSIBL
(12,17),(12,31),-0.621559 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,19),(12,20),-0.946709 # DEPENDENCYPART_NEXTSIBL
(12,19),(12,21),-1.18374 # DEPENDENCYPART_NEXTSIBL
(12,19),(12,30),-1.0799 # DEPENDENCYPART_NEXTSIBL
(12,19),(12,31),-0.898483 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,20),(12,21),-0.94243 # DEPENDENCYPART_NEXTSIBL
(12,20),(12,30),0.0172436 # DEPENDENCYPART_NEXTSIBL
(12,20),(12,31),-0.55274 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,21),(12,30),0.0954612 # DEPENDENCYPART_NEXTSIBL
(12,21),(12,31),-0.86748 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,30),(12,31),-2.23111 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,12),(12,11),-0.664671 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,10),-0.568108 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,9),-0.451744 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,8),-0.440013 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,7),-0.487445 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,6),-0.0990239 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,5),0.0446327 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,4),-0.279369 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,3),0.339903 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,2),-0.630808 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,-1),-0.662962 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(12,11),(12,10),-0.492802 # DEPENDENCYPART_NEXTSIBL
(12,11),(12,9),-0.476268 # DEPENDENCYPART_NEXTSIBL
(12,11),(12,8),-0.694927 # DEPENDENCYPART_NEXTSIBL
(12,11),(12,7),-0.614603 # DEPENDENCYPART_NEXTSIBL
(12,11),(12,6),-0.336999 # DEPENDENCYPART_NEXTSIBL
(12,11),(12,5),0.142033 # DEPENDENCYPART_NEXTSIBL
(12,11),(12,4),-0.561095 # DEPENDENCYPART_NEXTSIBL
(12,11),(12,3),0.526336 # DEPENDENCYPART_NEXTSIBL
(12,11),(12,2),-0.462672 # DEPENDENCYPART_NEXTSIBL
(12,11),(12,-1),-1.25704 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,10),(12,9),-0.497683 # DEPENDENCYPART_NEXTSIBL
(12,10),(12,8),-0.609391 # DEPENDENCYPART_NEXTSIBL
(12,10),(12,7),-0.817491 # DEPENDENCYPART_NEXTSIBL
(12,10),(12,6),-0.820941 # DEPENDENCYPART_NEXTSIBL
(12,10),(12,5),-1.05414 # DEPENDENCYPART_NEXTSIBL
(12,10),(12,4),-0.944545 # DEPENDENCYPART_NEXTSIBL
(12,10),(12,3),-1.08648 # DEPENDENCYPART_NEXTSIBL
(12,10),(12,2),-0.578685 # DEPENDENCYPART_NEXTSIBL
(12,10),(12,-1),-0.427211 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,9),(12,8),-0.716825 # DEPENDENCYPART_NEXTSIBL
(12,9),(12,7),-0.659666 # DEPENDENCYPART_NEXTSIBL
(12,9),(12,6),-1.11012 # DEPENDENCYPART_NEXTSIBL
(12,9),(12,5),-1.21369 # DEPENDENCYPART_NEXTSIBL
(12,9),(12,4),-1.16768 # DEPENDENCYPART_NEXTSIBL
(12,9),(12,3),-1.38103 # DEPENDENCYPART_NEXTSIBL
(12,9),(12,2),-1.6337 # DEPENDENCYPART_NEXTSIBL
(12,9),(12,-1),-0.567883 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,8),(12,7),-0.987505 # DEPENDENCYPART_NEXTSIBL
(12,8),(12,6),-1.03165 # DEPENDENCYPART_NEXTSIBL
(12,8),(12,5),-1.10132 # DEPENDENCYPART_NEXTSIBL
(12,8),(12,4),-1.12454 # DEPENDENCYPART_NEXTSIBL
(12,8),(12,3),-1.2014 # DEPENDENCYPART_NEXTSIBL
(12,8),(12,2),-1.39006 # DEPENDENCYPART_NEXTSIBL
(12,8),(12,-1),-1.03072 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,7),(12,6),-0.266975 # DEPENDENCYPART_NEXTSIBL
(12,7),(12,5),-0.903856 # DEPENDENCYPART_NEXTSIBL
(12,7),(12,4),-0.76005 # DEPENDENCYPART_NEXTSIBL
(12,7),(12,3),-1.03961 # DEPENDENCYPART_NEXTSIBL
(12,7),(12,2),-1.18556 # DEPENDENCYPART_NEXTSIBL
(12,7),(12,-1),-0.392804 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,6),(12,5),-0.488012 # DEPENDENCYPART_NEXTSIBL
(12,6),(12,4),-0.638499 # DEPENDENCYPART_NEXTSIBL
(12,6),(12,3),-0.925821 # DEPENDENCYPART_NEXTSIBL
(12,6),(12,2),-1.02932 # DEPENDENCYPART_NEXTSIBL
(12,6),(12,-1),-0.431033 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,5),(12,4),-0.369852 # DEPENDENCYPART_NEXTSIBL
(12,5),(12,3),-1.23848 # DEPENDENCYPART_NEXTSIBL
(12,5),(12,2),-0.723351 # DEPENDENCYPART_NEXTSIBL
(12,5),(12,-1),-0.971856 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,4),(12,3),-1.00812 # DEPENDENCYPART_NEXTSIBL
(12,4),(12,2),-0.717852 # DEPENDENCYPART_NEXTSIBL
(12,4),(12,-1),-0.893493 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,3),(12,2),-0.41292 # DEPENDENCYPART_NEXTSIBL
(12,3),(12,-1),-0.673318 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,2),(12,-1),-0.574741 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,13),(13,14),0.139424 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,15),-0.857177 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,17),-0.678177 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,19),-0.0449617 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,20),-0.0925694 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,22),-0.0780922 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,23),-1.03402 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,31),-0.215593 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(13,14),(13,15),-0.662255 # DEPENDENCYPART_NEXTSIBL
(13,14),(13,17),-0.690162 # DEPENDENCYPART_NEXTSIBL
(13,14),(13,19),-0.666459 # DEPENDENCYPART_NEXTSIBL
