# _root_ In a statement , Chairman Frank Shrontz asserted that the company `` faces significant challenges and risks , '' on both its commercial and government contracts .
#goldHeads=8,3,1,8,7,7,8,0,13,11,13,13,8,16,16,13,16,13,13,13,26,26,24,26,24,20,8,
#predictedHeads=8,3,1,8,7,7,8,0,13,11,13,13,8,15,16,13,16,13,13,13,24,26,24,26,24,20,8,
(1,1),(1,8),0.00509549 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,28),-0.999455 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(1,2),(1,3),-0.811736 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,4),-1.07386 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,5),-1.03262 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,6),-1.02602 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,7),-1.05423 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,8),-1.08408 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,28),-1.31108 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,3),(1,4),-0.896744 # DEPENDENCYPART_NEXTSIBL
(1,3),(1,5),-1.20605 # DEPENDENCYPART_NEXTSIBL
(1,3),(1,6),-1.39198 # DEPENDENCYPART_NEXTSIBL
(1,3),(1,7),-1.35893 # DEPENDENCYPART_NEXTSIBL
(1,3),(1,8),-1.0391 # DEPENDENCYPART_NEXTSIBL
(1,3),(1,28),-0.311316 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,4),(1,5),-0.496382 # DEPENDENCYPART_NEXTSIBL
(1,4),(1,6),-0.466201 # DEPENDENCYPART_NEXTSIBL
(1,4),(1,7),-0.663295 # DEPENDENCYPART_NEXTSIBL
(1,4),(1,8),-0.629103 # DEPENDENCYPART_NEXTSIBL
(1,4),(1,28),-0.771112 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,5),(1,6),-0.944933 # DEPENDENCYPART_NEXTSIBL
(1,5),(1,7),-0.962451 # DEPENDENCYPART_NEXTSIBL
(1,5),(1,8),-0.843139 # DEPENDENCYPART_NEXTSIBL
(1,5),(1,28),-0.668832 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,6),(1,7),-0.961637 # DEPENDENCYPART_NEXTSIBL
(1,6),(1,8),-0.930245 # DEPENDENCYPART_NEXTSIBL
(1,6),(1,28),-0.837565 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,7),(1,8),-0.84691 # DEPENDENCYPART_NEXTSIBL
(1,7),(1,28),-0.653526 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,8),(1,28),-0.711014 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,1),(1,-1),-0.185548 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(2,2),(2,3),-0.396833 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,4),-0.841042 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,28),-0.222425 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(2,3),(2,4),-0.959764 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,28),-0.56911 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,4),(2,28),-0.928596 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,2),(2,1),-0.915552 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,-1),-0.297077 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(2,1),(2,-1),-0.627227 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,3),(3,4),-0.759869 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,5),-0.321478 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,6),-0.338869 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,7),-0.615325 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,8),-0.0122651 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,9),-1.00936 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,11),-0.605709 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,12),-0.661962 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,13),-0.427606 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,14),-0.592893 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,16),-0.120688 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,18),-0.999279 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,19),-0.436032 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,20),-0.435135 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,21),-1.49233 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,24),0.0131261 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,27),-0.839932 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,28),-0.420407 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(3,4),(3,5),-0.203178 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,6),-0.197949 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,7),-0.395003 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,8),-0.498362 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,9),-1.07846 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,11),-0.33654 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,12),-0.779878 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,13),-0.591212 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,14),-0.694571 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,16),0.108756 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,18),-1.15019 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,19),-1.70754 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,20),-1.60215 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,21),-0.956539 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,24),-0.075482 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,27),-1.53278 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,28),-0.799702 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,5),(3,6),-0.869676 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,7),-0.887704 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,8),-0.82173 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,9),-1.11306 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,11),-1.06162 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,12),-1.08641 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,13),-0.771921 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,14),-0.93976 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,16),-0.88832 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,18),-0.093217 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,19),-1.08811 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,20),-0.926228 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,21),-1.07747 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,24),-1.04694 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,27),-0.665355 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,28),-0.882093 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,6),(3,7),-0.88844 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,8),-0.910395 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,9),-1.19216 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,11),-1.12089 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,12),-1.14825 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,13),-0.86959 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,14),-1.02118 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,16),-1.02769 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,18),-0.278302 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,19),-1.14591 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,20),-0.989452 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,21),-1.10961 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,24),-1.20488 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,27),-1.07819 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,28),-1.03526 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,7),(3,8),-0.827569 # DEPENDENCYPART_NEXTSIBL
(3,7),(3,9),-1.30916 # DEPENDENCYPART_NEXTSIBL
(3,7),(3,11),-1.17277 # DEPENDENCYPART_NEXTSIBL
(3,7),(3,12),-1.18628 # DEPENDENCYPART_NEXTSIBL
(3,7),(3,13),-0.862577 # DEPENDENCYPART_NEXTSIBL
(3,7),(3,14),-1.04393 # DEPENDENCYPART_NEXTSIBL
(3,7),(3,16),-1.05399 # DEPENDENCYPART_NEXTSIBL
(3,7),(3,18),-0.367557 # DEPENDENCYPART_NEXTSIBL
(3,7),(3,19),-1.18668 # DEPENDENCYPART_NEXTSIBL
(3,7),(3,20),-1.01481 # DEPENDENCYPART_NEXTSIBL
(3,7),(3,21),-1.183 # DEPENDENCYPART_NEXTSIBL
(3,7),(3,24),-1.13613 # DEPENDENCYPART_NEXTSIBL
(3,7),(3,27),-0.814741 # DEPENDENCYPART_NEXTSIBL
(3,7),(3,28),-0.852761 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,8),(3,9),-0.321842 # DEPENDENCYPART_NEXTSIBL
(3,8),(3,11),-0.485517 # DEPENDENCYPART_NEXTSIBL
(3,8),(3,12),-0.371787 # DEPENDENCYPART_NEXTSIBL
(3,8),(3,13),-0.395978 # DEPENDENCYPART_NEXTSIBL
(3,8),(3,14),-0.615194 # DEPENDENCYPART_NEXTSIBL
(3,8),(3,16),-0.712495 # DEPENDENCYPART_NEXTSIBL
(3,8),(3,18),0.203567 # DEPENDENCYPART_NEXTSIBL
(3,8),(3,19),-0.601247 # DEPENDENCYPART_NEXTSIBL
(3,8),(3,20),-0.424407 # DEPENDENCYPART_NEXTSIBL
(3,8),(3,21),-0.634207 # DEPENDENCYPART_NEXTSIBL
(3,8),(3,24),-0.86739 # DEPENDENCYPART_NEXTSIBL
(3,8),(3,27),-0.0621619 # DEPENDENCYPART_NEXTSIBL
(3,8),(3,28),-0.681511 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,9),(3,11),-0.845651 # DEPENDENCYPART_NEXTSIBL
(3,9),(3,12),-0.928477 # DEPENDENCYPART_NEXTSIBL
(3,9),(3,13),-0.703675 # DEPENDENCYPART_NEXTSIBL
(3,9),(3,14),-0.991476 # DEPENDENCYPART_NEXTSIBL
(3,9),(3,16),-0.958839 # DEPENDENCYPART_NEXTSIBL
(3,9),(3,18),-0.809995 # DEPENDENCYPART_NEXTSIBL
(3,9),(3,19),-1.02539 # DEPENDENCYPART_NEXTSIBL
(3,9),(3,20),-1.06892 # DEPENDENCYPART_NEXTSIBL
(3,9),(3,21),-1.27127 # DEPENDENCYPART_NEXTSIBL
(3,9),(3,24),-0.956726 # DEPENDENCYPART_NEXTSIBL
(3,9),(3,27),-0.940719 # DEPENDENCYPART_NEXTSIBL
(3,9),(3,28),-0.830764 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,11),(3,12),-0.974589 # DEPENDENCYPART_NEXTSIBL
(3,11),(3,13),-0.856823 # DEPENDENCYPART_NEXTSIBL
(3,11),(3,14),-0.990307 # DEPENDENCYPART_NEXTSIBL
(3,11),(3,16),-1.01475 # DEPENDENCYPART_NEXTSIBL
(3,11),(3,18),-0.310561 # DEPENDENCYPART_NEXTSIBL
(3,11),(3,19),-1.0301 # DEPENDENCYPART_NEXTSIBL
(3,11),(3,20),-0.94265 # DEPENDENCYPART_NEXTSIBL
(3,11),(3,21),-1.10885 # DEPENDENCYPART_NEXTSIBL
(3,11),(3,24),-1.06741 # DEPENDENCYPART_NEXTSIBL
(3,11),(3,27),-1.07777 # DEPENDENCYPART_NEXTSIBL
(3,11),(3,28),-0.616563 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,12),(3,13),-0.504685 # DEPENDENCYPART_NEXTSIBL
(3,12),(3,14),-0.944852 # DEPENDENCYPART_NEXTSIBL
(3,12),(3,16),-0.494447 # DEPENDENCYPART_NEXTSIBL
(3,12),(3,18),-1.32074 # DEPENDENCYPART_NEXTSIBL
(3,12),(3,19),-1.54212 # DEPENDENCYPART_NEXTSIBL
(3,12),(3,20),-1.09752 # DEPENDENCYPART_NEXTSIBL
(3,12),(3,21),-1.1897 # DEPENDENCYPART_NEXTSIBL
(3,12),(3,24),-0.484878 # DEPENDENCYPART_NEXTSIBL
(3,12),(3,27),-1.88794 # DEPENDENCYPART_NEXTSIBL
(3,12),(3,28),-0.990057 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,13),(3,14),-0.948467 # DEPENDENCYPART_NEXTSIBL
(3,13),(3,16),-0.963021 # DEPENDENCYPART_NEXTSIBL
(3,13),(3,18),-0.0994924 # DEPENDENCYPART_NEXTSIBL
(3,13),(3,19),-0.65184 # DEPENDENCYPART_NEXTSIBL
(3,13),(3,20),-0.712412 # DEPENDENCYPART_NEXTSIBL
(3,13),(3,21),-0.911948 # DEPENDENCYPART_NEXTSIBL
(3,13),(3,24),-1.0307 # DEPENDENCYPART_NEXTSIBL
(3,13),(3,27),-0.343146 # DEPENDENCYPART_NEXTSIBL
(3,13),(3,28),-0.514097 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,14),(3,16),-0.987561 # DEPENDENCYPART_NEXTSIBL
(3,14),(3,18),-0.721647 # DEPENDENCYPART_NEXTSIBL
(3,14),(3,19),-0.89184 # DEPENDENCYPART_NEXTSIBL
(3,14),(3,20),-1.11481 # DEPENDENCYPART_NEXTSIBL
(3,14),(3,21),-1.07712 # DEPENDENCYPART_NEXTSIBL
(3,14),(3,24),-0.942137 # DEPENDENCYPART_NEXTSIBL
(3,14),(3,27),-0.834854 # DEPENDENCYPART_NEXTSIBL
(3,14),(3,28),-0.697283 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,16),(3,18),-0.624363 # DEPENDENCYPART_NEXTSIBL
(3,16),(3,19),-0.85176 # DEPENDENCYPART_NEXTSIBL
(3,16),(3,20),-0.906394 # DEPENDENCYPART_NEXTSIBL
(3,16),(3,21),-1.00327 # DEPENDENCYPART_NEXTSIBL
(3,16),(3,24),-1.19139 # DEPENDENCYPART_NEXTSIBL
(3,16),(3,27),-1.25392 # DEPENDENCYPART_NEXTSIBL
(3,16),(3,28),-0.755886 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,18),(3,19),0.246155 # DEPENDENCYPART_NEXTSIBL
(3,18),(3,20),-0.237835 # DEPENDENCYPART_NEXTSIBL
(3,18),(3,21),-0.563112 # DEPENDENCYPART_NEXTSIBL
(3,18),(3,24),0.179577 # DEPENDENCYPART_NEXTSIBL
(3,18),(3,27),-0.763892 # DEPENDENCYPART_NEXTSIBL
(3,18),(3,28),-0.674269 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,19),(3,20),0.0304771 # DEPENDENCYPART_NEXTSIBL
(3,19),(3,21),-0.312609 # DEPENDENCYPART_NEXTSIBL
(3,19),(3,24),-0.331329 # DEPENDENCYPART_NEXTSIBL
(3,19),(3,27),-1.39749 # DEPENDENCYPART_NEXTSIBL
(3,19),(3,28),-1.3632 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,20),(3,21),-0.768769 # DEPENDENCYPART_NEXTSIBL
(3,20),(3,24),-0.73458 # DEPENDENCYPART_NEXTSIBL
(3,20),(3,27),-0.247202 # DEPENDENCYPART_NEXTSIBL
(3,20),(3,28),-0.704271 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,21),(3,24),-1.04238 # DEPENDENCYPART_NEXTSIBL
(3,21),(3,27),-0.971231 # DEPENDENCYPART_NEXTSIBL
(3,21),(3,28),-0.790554 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,24),(3,27),-1.12524 # DEPENDENCYPART_NEXTSIBL
(3,24),(3,28),-0.662486 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,27),(3,28),-1.46603 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,3),(3,2),-0.38688 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,1),-0.850689 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,-1),-0.452863 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(3,2),(3,1),-0.730081 # DEPENDENCYPART_NEXTSIBL
(3,2),(3,-1),-0.683839 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,1),(3,-1),-0.563362 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,4),(4,28),-0.122011 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(4,4),(4,1),-0.944858 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,-1),-0.218824 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(4,1),(4,-1),-0.649233 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,5),(5,6),-0.340775 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,7),-0.617231 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,8),-0.0115502 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,13),-0.426891 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,28),-0.452113 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(5,6),(5,7),-0.878218 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,8),-0.905258 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,13),-0.864454 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,28),-1.0309 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,7),(5,8),-0.822432 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,13),-0.85744 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,28),-0.848405 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,8),(5,13),-0.397168 # DEPENDENCYPART_NEXTSIBL
(5,8),(5,28),-0.684813 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,13),(5,28),-0.517399 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,5),(5,4),-1.26712 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,3),-0.40889 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,2),-0.420522 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,-1),-0.328984 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(5,4),(5,3),-0.106902 # DEPENDENCYPART_NEXTSIBL
(5,4),(5,2),-1.02237 # DEPENDENCYPART_NEXTSIBL
(5,4),(5,-1),-1.20874 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,3),(5,2),0.0123502 # DEPENDENCYPART_NEXTSIBL
(5,3),(5,-1),-0.581673 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,2),(5,-1),-0.75264 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,6),(6,7),-0.625567 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,8),-0.0145386 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,9),-1.00924 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,11),-0.615951 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,13),-0.429879 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,16),-0.130299 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,28),-0.403184 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(6,7),(6,8),-0.836337 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,9),-1.3123 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,11),-1.17915 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,13),-0.871344 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,16),-1.06022 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,28),-0.86056 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,8),(6,9),-0.327482 # DEPENDENCYPART_NEXTSIBL
(6,8),(6,11),-0.494155 # DEPENDENCYPART_NEXTSIBL
(6,8),(6,13),-0.407365 # DEPENDENCYPART_NEXTSIBL
(6,8),(6,16),-0.7209 # DEPENDENCYPART_NEXTSIBL
(6,8),(6,28),-0.699821 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,9),(6,11),-0.848787 # DEPENDENCYPART_NEXTSIBL
(6,9),(6,13),-0.713117 # DEPENDENCYPART_NEXTSIBL
(6,9),(6,16),-0.961825 # DEPENDENCYPART_NEXTSIBL
(6,9),(6,28),-0.823009 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,11),(6,13),-0.86559 # DEPENDENCYPART_NEXTSIBL
(6,11),(6,16),-1.02098 # DEPENDENCYPART_NEXTSIBL
(6,11),(6,28),-0.624362 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,13),(6,16),-0.971426 # DEPENDENCYPART_NEXTSIBL
(6,13),(6,28),-0.532407 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,16),(6,28),-0.764832 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,6),(6,5),-0.239437 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,4),-1.26966 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,3),-0.343501 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,2),-0.400318 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,-1),-0.43952 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(6,5),(6,4),-0.965225 # DEPENDENCYPART_NEXTSIBL
(6,5),(6,3),-0.621301 # DEPENDENCYPART_NEXTSIBL
(6,5),(6,2),-0.302416 # DEPENDENCYPART_NEXTSIBL
(6,5),(6,-1),-0.897687 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,4),(6,3),-0.084792 # DEPENDENCYPART_NEXTSIBL
(6,4),(6,2),-1.00024 # DEPENDENCYPART_NEXTSIBL
(6,4),(6,-1),-1.20309 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,3),(6,2),0.0631698 # DEPENDENCYPART_NEXTSIBL
(6,3),(6,-1),-0.536022 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,2),(6,-1),-0.698344 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,7),(7,8),0.0169232 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,9),-1.00907 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,11),-0.614803 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,13),-0.398418 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,16),-0.129478 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,18),-0.993097 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,19),-0.43603 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,26),-0.0138134 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,27),-0.839543 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,28),-0.435841 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(7,8),(7,9),-0.31629 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,11),-0.482515 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,13),-0.385092 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,16),-0.709434 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,18),0.244598 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,19),-0.595802 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,26),-0.423207 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,27),-0.0559414 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,28),-0.686979 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,9),(7,11),-0.848228 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,13),-0.701924 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,16),-0.96144 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,18),-0.794537 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,19),-1.02528 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,26),-0.829701 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,27),-0.940222 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,28),-0.822842 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,11),(7,13),-0.853808 # DEPENDENCYPART_NEXTSIBL
(7,11),(7,16),-1.02015 # DEPENDENCYPART_NEXTSIBL
(7,11),(7,18),-0.297375 # DEPENDENCYPART_NEXTSIBL
(7,11),(7,19),-1.03278 # DEPENDENCYPART_NEXTSIBL
(7,11),(7,26),-1.32559 # DEPENDENCYPART_NEXTSIBL
(7,11),(7,27),-1.08007 # DEPENDENCYPART_NEXTSIBL
(7,11),(7,28),-0.625661 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,13),(7,16),-0.959961 # DEPENDENCYPART_NEXTSIBL
(7,13),(7,18),-0.0584617 # DEPENDENCYPART_NEXTSIBL
(7,13),(7,19),-0.646395 # DEPENDENCYPART_NEXTSIBL
(7,13),(7,26),-0.616057 # DEPENDENCYPART_NEXTSIBL
(7,13),(7,27),-0.336926 # DEPENDENCYPART_NEXTSIBL
(7,13),(7,28),-0.519565 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,16),(7,18),-0.611723 # DEPENDENCYPART_NEXTSIBL
(7,16),(7,19),-0.854467 # DEPENDENCYPART_NEXTSIBL
(7,16),(7,26),-1.21922 # DEPENDENCYPART_NEXTSIBL
(7,16),(7,27),-1.25624 # DEPENDENCYPART_NEXTSIBL
(7,16),(7,28),-0.764017 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,18),(7,19),0.26151 # DEPENDENCYPART_NEXTSIBL
(7,18),(7,26),-0.442792 # DEPENDENCYPART_NEXTSIBL
(7,18),(7,27),-0.748154 # DEPENDENCYPART_NEXTSIBL
(7,18),(7,28),-0.627858 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,19),(7,26),-0.176274 # DEPENDENCYPART_NEXTSIBL
(7,19),(7,27),-1.39709 # DEPENDENCYPART_NEXTSIBL
(7,19),(7,28),-1.36319 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,26),(7,27),-0.391029 # DEPENDENCYPART_NEXTSIBL
(7,26),(7,28),-0.89164 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,27),(7,28),-1.46506 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,7),(7,6),-0.215867 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
