# _root_ It 's that last set of numbers , as much as anything else , that gives the Giants hope in the Series games to come .
#goldHeads=5,5,5,5,0,5,6,9,5,9,9,11,12,9,16,5,18,16,16,19,23,23,20,23,24,5,
#predictedHeads=2,3,5,5,24,5,6,10,10,5,10,11,12,16,16,0,19,19,16,19,23,23,20,19,24,16,
(6,2),(6,7),-0.0185494 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0589434 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.0861059 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.123915 # DEPENDENCYPART_SIBL
(6,2),(6,11),0.137476 # DEPENDENCYPART_SIBL
(6,2),(6,12),0.0344578 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.330491 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.204109 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.243728 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.14492 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.243876 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.259242 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0566993 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.170133 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.429744 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.0878725 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.95569 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.822047 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.16833 # DEPENDENCYPART_SIBL
(6,8),(6,11),0.817787 # DEPENDENCYPART_SIBL
(6,8),(6,12),0.0143723 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.144454 # DEPENDENCYPART_SIBL
(6,9),(6,11),0.00749383 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.480727 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.0525714 # DEPENDENCYPART_SIBL
(6,10),(6,12),-0.636547 # DEPENDENCYPART_SIBL
(6,11),(6,12),-0.338637 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.259497 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.202061 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.0103364 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.133464 # DEPENDENCYPART_SIBL
(7,1),(7,9),0.0466936 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.153996 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.0408375 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.0151699 # DEPENDENCYPART_SIBL
(7,1),(7,13),-0.0573596 # DEPENDENCYPART_SIBL
(7,1),(7,14),-0.133464 # DEPENDENCYPART_SIBL
(7,1),(7,16),-0.0721391 # DEPENDENCYPART_SIBL
(7,1),(7,19),0.0115385 # DEPENDENCYPART_SIBL
(7,1),(7,23),-0.0732354 # DEPENDENCYPART_SIBL
(7,1),(7,24),-0.0313173 # DEPENDENCYPART_SIBL
(7,1),(7,26),0.0283042 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.00964522 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.111907 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.0516811 # DEPENDENCYPART_SIBL
(7,2),(7,9),0.0572994 # DEPENDENCYPART_SIBL
(7,2),(7,10),0.00459688 # DEPENDENCYPART_SIBL
(7,2),(7,11),0.0501848 # DEPENDENCYPART_SIBL
(7,2),(7,12),-0.00178695 # DEPENDENCYPART_SIBL
(7,2),(7,13),0.00353866 # DEPENDENCYPART_SIBL
(7,2),(7,14),-0.0516811 # DEPENDENCYPART_SIBL
(7,2),(7,16),0.0343092 # DEPENDENCYPART_SIBL
(7,2),(7,19),0.00747767 # DEPENDENCYPART_SIBL
(7,2),(7,23),0.0226446 # DEPENDENCYPART_SIBL
(7,2),(7,24),0.00507897 # DEPENDENCYPART_SIBL
(7,2),(7,26),0.144741 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.253522 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.112506 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.15261 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.0277332 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.161955 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.0342957 # DEPENDENCYPART_SIBL
(7,3),(7,13),-0.0560022 # DEPENDENCYPART_SIBL
(7,3),(7,14),-0.112506 # DEPENDENCYPART_SIBL
(7,3),(7,16),0.12507 # DEPENDENCYPART_SIBL
(7,3),(7,19),-0.0283469 # DEPENDENCYPART_SIBL
(7,3),(7,23),-0.0662464 # DEPENDENCYPART_SIBL
(7,3),(7,24),-0.127262 # DEPENDENCYPART_SIBL
(7,3),(7,26),-0.0808776 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.147946 # DEPENDENCYPART_SIBL
(7,4),(7,9),0.175091 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.0910889 # DEPENDENCYPART_SIBL
(7,4),(7,11),0.188091 # DEPENDENCYPART_SIBL
(7,4),(7,12),-0.00714728 # DEPENDENCYPART_SIBL
(7,4),(7,13),-0.0653505 # DEPENDENCYPART_SIBL
(7,4),(7,14),-0.147946 # DEPENDENCYPART_SIBL
(7,4),(7,16),0.0285817 # DEPENDENCYPART_SIBL
(7,4),(7,19),0.0231799 # DEPENDENCYPART_SIBL
(7,4),(7,23),-0.0278851 # DEPENDENCYPART_SIBL
(7,4),(7,24),-0.00488908 # DEPENDENCYPART_SIBL
(7,4),(7,26),-0.138412 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.563865 # DEPENDENCYPART_SIBL
(7,8),(7,10),0.223953 # DEPENDENCYPART_SIBL
(7,8),(7,11),0.627641 # DEPENDENCYPART_SIBL
(7,8),(7,12),0.563911 # DEPENDENCYPART_SIBL
(7,8),(7,13),0.224374 # DEPENDENCYPART_SIBL
(7,8),(7,14),0.0624378 # DEPENDENCYPART_SIBL
(7,8),(7,16),0.281437 # DEPENDENCYPART_SIBL
(7,8),(7,19),0.541616 # DEPENDENCYPART_SIBL
(7,8),(7,23),0.67923 # DEPENDENCYPART_SIBL
(7,8),(7,24),0.118886 # DEPENDENCYPART_SIBL
(7,8),(7,26),0.0275522 # DEPENDENCYPART_SIBL
(7,9),(7,10),0.0697758 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.0167085 # DEPENDENCYPART_SIBL
(7,9),(7,12),0.0479416 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.0455158 # DEPENDENCYPART_SIBL
(7,9),(7,14),0.0646822 # DEPENDENCYPART_SIBL
(7,9),(7,16),-0.0479801 # DEPENDENCYPART_SIBL
(7,9),(7,19),0.050993 # DEPENDENCYPART_SIBL
(7,9),(7,23),0.145382 # DEPENDENCYPART_SIBL
(7,9),(7,24),-0.0210805 # DEPENDENCYPART_SIBL
(7,9),(7,26),0.0463925 # DEPENDENCYPART_SIBL
(7,10),(7,11),0.0133674 # DEPENDENCYPART_SIBL
(7,10),(7,12),-0.0264875 # DEPENDENCYPART_SIBL
(7,10),(7,13),-0.0469853 # DEPENDENCYPART_SIBL
(7,10),(7,14),0.034984 # DEPENDENCYPART_SIBL
(7,10),(7,16),-0.0388835 # DEPENDENCYPART_SIBL
(7,10),(7,19),-0.0303307 # DEPENDENCYPART_SIBL
(7,10),(7,23),-0.0199342 # DEPENDENCYPART_SIBL
(7,10),(7,24),0.0252449 # DEPENDENCYPART_SIBL
(7,10),(7,26),-0.00994963 # DEPENDENCYPART_SIBL
(7,11),(7,12),0.0179302 # DEPENDENCYPART_SIBL
(7,11),(7,13),0.0195847 # DEPENDENCYPART_SIBL
(7,11),(7,14),0.143064 # DEPENDENCYPART_SIBL
(7,11),(7,16),0.0125091 # DEPENDENCYPART_SIBL
(7,11),(7,19),0.00318513 # DEPENDENCYPART_SIBL
(7,11),(7,23),0.0214555 # DEPENDENCYPART_SIBL
(7,11),(7,24),0.0564074 # DEPENDENCYPART_SIBL
(7,11),(7,26),0.164446 # DEPENDENCYPART_SIBL
(7,12),(7,13),-0.0320202 # DEPENDENCYPART_SIBL
(7,12),(7,14),-0.00683791 # DEPENDENCYPART_SIBL
(7,12),(7,16),-0.0703831 # DEPENDENCYPART_SIBL
(7,12),(7,19),-0.11412 # DEPENDENCYPART_SIBL
(7,12),(7,23),-0.125424 # DEPENDENCYPART_SIBL
(7,12),(7,24),-0.00738578 # DEPENDENCYPART_SIBL
(7,12),(7,26),0.0768872 # DEPENDENCYPART_SIBL
(7,13),(7,14),-0.0396169 # DEPENDENCYPART_SIBL
(7,13),(7,16),-0.0662778 # DEPENDENCYPART_SIBL
(7,13),(7,19),0.0597875 # DEPENDENCYPART_SIBL
(7,13),(7,23),0.136925 # DEPENDENCYPART_SIBL
(7,13),(7,24),0.00978178 # DEPENDENCYPART_SIBL
(7,13),(7,26),0.0135133 # DEPENDENCYPART_SIBL
(7,14),(7,16),0.281437 # DEPENDENCYPART_SIBL
(7,14),(7,19),0.541616 # DEPENDENCYPART_SIBL
(7,14),(7,23),0.67923 # DEPENDENCYPART_SIBL
(7,14),(7,24),0.118886 # DEPENDENCYPART_SIBL
(7,14),(7,26),0.0275522 # DEPENDENCYPART_SIBL
(7,16),(7,19),0.041885 # DEPENDENCYPART_SIBL
(7,16),(7,23),0.0499642 # DEPENDENCYPART_SIBL
(7,16),(7,24),-0.042444 # DEPENDENCYPART_SIBL
(7,16),(7,26),0.213651 # DEPENDENCYPART_SIBL
(7,19),(7,23),-0.126938 # DEPENDENCYPART_SIBL
(7,19),(7,24),-0.0365397 # DEPENDENCYPART_SIBL
(7,19),(7,26),0.0679825 # DEPENDENCYPART_SIBL
(7,23),(7,24),0.0262118 # DEPENDENCYPART_SIBL
(7,23),(7,26),0.0608566 # DEPENDENCYPART_SIBL
(7,24),(7,26),0.206277 # DEPENDENCYPART_SIBL
(9,5),(9,6),0.166899 # DEPENDENCYPART_SIBL
(9,5),(9,8),0.0939824 # DEPENDENCYPART_SIBL
(9,5),(9,10),-0.00270191 # DEPENDENCYPART_SIBL
(9,5),(9,11),-0.0313334 # DEPENDENCYPART_SIBL
(9,5),(9,12),-0.0690327 # DEPENDENCYPART_SIBL
(9,5),(9,13),0.0106667 # DEPENDENCYPART_SIBL
(9,5),(9,14),0.16673 # DEPENDENCYPART_SIBL
(9,5),(9,16),0.0172293 # DEPENDENCYPART_SIBL
(9,5),(9,19),-0.0646312 # DEPENDENCYPART_SIBL
(9,5),(9,20),-0.0468466 # DEPENDENCYPART_SIBL
(9,5),(9,24),-0.00157721 # DEPENDENCYPART_SIBL
(9,5),(9,26),-0.0533112 # DEPENDENCYPART_SIBL
(9,6),(9,8),0.0848616 # DEPENDENCYPART_SIBL
(9,6),(9,10),0.0222183 # DEPENDENCYPART_SIBL
(9,6),(9,11),-0.0450507 # DEPENDENCYPART_SIBL
(9,6),(9,12),-0.0601454 # DEPENDENCYPART_SIBL
(9,6),(9,13),-0.0479544 # DEPENDENCYPART_SIBL
(9,6),(9,14),0.0356253 # DEPENDENCYPART_SIBL
(9,6),(9,16),0.0109798 # DEPENDENCYPART_SIBL
(9,6),(9,19),-0.0646129 # DEPENDENCYPART_SIBL
(9,6),(9,20),-0.0438058 # DEPENDENCYPART_SIBL
(9,6),(9,24),-0.040311 # DEPENDENCYPART_SIBL
(9,6),(9,26),-0.0190686 # DEPENDENCYPART_SIBL
(9,8),(9,10),0.11811 # DEPENDENCYPART_SIBL
(9,8),(9,11),-0.0670054 # DEPENDENCYPART_SIBL
(9,8),(9,12),-0.123342 # DEPENDENCYPART_SIBL
(9,8),(9,13),0.0408037 # DEPENDENCYPART_SIBL
(9,8),(9,14),0.84799 # DEPENDENCYPART_SIBL
(9,8),(9,16),0.169288 # DEPENDENCYPART_SIBL
(9,8),(9,19),-0.143908 # DEPENDENCYPART_SIBL
(9,8),(9,20),-0.00548962 # DEPENDENCYPART_SIBL
(9,8),(9,24),0.0770244 # DEPENDENCYPART_SIBL
(9,8),(9,26),0.0566851 # DEPENDENCYPART_SIBL
(9,10),(9,11),0.0724353 # DEPENDENCYPART_SIBL
(9,10),(9,12),-0.144221 # DEPENDENCYPART_SIBL
(9,10),(9,13),-0.134406 # DEPENDENCYPART_SIBL
(9,10),(9,14),-0.0678294 # DEPENDENCYPART_SIBL
(9,10),(9,16),-0.182977 # DEPENDENCYPART_SIBL
(9,10),(9,19),-0.141019 # DEPENDENCYPART_SIBL
(9,10),(9,20),-0.0328839 # DEPENDENCYPART_SIBL
(9,10),(9,24),0.117058 # DEPENDENCYPART_SIBL
(9,10),(9,26),-0.176256 # DEPENDENCYPART_SIBL
(9,11),(9,12),0.149352 # DEPENDENCYPART_SIBL
(9,11),(9,13),0.00545468 # DEPENDENCYPART_SIBL
(9,11),(9,14),-0.0557375 # DEPENDENCYPART_SIBL
(9,11),(9,16),-0.0577045 # DEPENDENCYPART_SIBL
(9,11),(9,19),0.138755 # DEPENDENCYPART_SIBL
(9,11),(9,20),0.0335117 # DEPENDENCYPART_SIBL
(9,11),(9,24),0.0442613 # DEPENDENCYPART_SIBL
(9,11),(9,26),-0.0341309 # DEPENDENCYPART_SIBL
(9,12),(9,13),-0.0554304 # DEPENDENCYPART_SIBL
(9,12),(9,14),-0.0336845 # DEPENDENCYPART_SIBL
(9,12),(9,16),-0.194722 # DEPENDENCYPART_SIBL
(9,12),(9,19),-0.240423 # DEPENDENCYPART_SIBL
(9,12),(9,20),-0.0365183 # DEPENDENCYPART_SIBL
(9,12),(9,24),-0.0290092 # DEPENDENCYPART_SIBL
(9,12),(9,26),-0.16431 # DEPENDENCYPART_SIBL
(9,13),(9,14),-0.163197 # DEPENDENCYPART_SIBL
(9,13),(9,16),-0.127688 # DEPENDENCYPART_SIBL
(9,13),(9,19),0.0166528 # DEPENDENCYPART_SIBL
(9,13),(9,20),0.022976 # DEPENDENCYPART_SIBL
(9,13),(9,24),0.0661029 # DEPENDENCYPART_SIBL
(9,13),(9,26),-0.143463 # DEPENDENCYPART_SIBL
(9,14),(9,16),0.141067 # DEPENDENCYPART_SIBL
(9,14),(9,19),0.128629 # DEPENDENCYPART_SIBL
(9,14),(9,20),-0.0217894 # DEPENDENCYPART_SIBL
(9,14),(9,24),-0.0308617 # DEPENDENCYPART_SIBL
(9,14),(9,26),0.0793518 # DEPENDENCYPART_SIBL
(9,16),(9,19),0.0714609 # DEPENDENCYPART_SIBL
(9,16),(9,20),0.125879 # DEPENDENCYPART_SIBL
(9,16),(9,24),0.115901 # DEPENDENCYPART_SIBL
(9,16),(9,26),0.230186 # DEPENDENCYPART_SIBL
(9,19),(9,20),-0.0732315 # DEPENDENCYPART_SIBL
(9,19),(9,24),-0.0562557 # DEPENDENCYPART_SIBL
(9,19),(9,26),-0.171409 # DEPENDENCYPART_SIBL
(9,20),(9,24),-0.0510847 # DEPENDENCYPART_SIBL
(9,20),(9,26),-0.194737 # DEPENDENCYPART_SIBL
(9,24),(9,26),0.0776785 # DEPENDENCYPART_SIBL
(10,1),(10,2),0.275042 # DEPENDENCYPART_SIBL
(10,1),(10,3),0.0353562 # DEPENDENCYPART_SIBL
(10,1),(10,4),0.0423107 # DEPENDENCYPART_SIBL
(10,1),(10,5),-0.0804843 # DEPENDENCYPART_SIBL
(10,1),(10,6),0.071329 # DEPENDENCYPART_SIBL
(10,1),(10,7),-0.117883 # DEPENDENCYPART_SIBL
(10,1),(10,8),0.0983958 # DEPENDENCYPART_SIBL
(10,1),(10,9),0.20546 # DEPENDENCYPART_SIBL
(10,1),(10,11),0.039336 # DEPENDENCYPART_SIBL
(10,1),(10,12),-0.0298248 # DEPENDENCYPART_SIBL
(10,1),(10,13),-0.0241211 # DEPENDENCYPART_SIBL
(10,1),(10,14),-0.0201225 # DEPENDENCYPART_SIBL
(10,1),(10,15),0.0368246 # DEPENDENCYPART_SIBL
(10,1),(10,16),-0.0681649 # DEPENDENCYPART_SIBL
(10,1),(10,19),-0.0124567 # DEPENDENCYPART_SIBL
(10,1),(10,20),-0.146965 # DEPENDENCYPART_SIBL
(10,1),(10,23),-0.042682 # DEPENDENCYPART_SIBL
(10,1),(10,24),0.0126138 # DEPENDENCYPART_SIBL
(10,1),(10,26),0.0598065 # DEPENDENCYPART_SIBL
(10,2),(10,3),0.150558 # DEPENDENCYPART_SIBL
(10,2),(10,4),0.0690895 # DEPENDENCYPART_SIBL
(10,2),(10,5),-0.000622895 # DEPENDENCYPART_SIBL
(10,2),(10,6),0.0488264 # DEPENDENCYPART_SIBL
(10,2),(10,7),0.00393798 # DEPENDENCYPART_SIBL
(10,2),(10,8),0.234976 # DEPENDENCYPART_SIBL
(10,2),(10,9),0.0693886 # DEPENDENCYPART_SIBL
(10,2),(10,11),0.120887 # DEPENDENCYPART_SIBL
(10,2),(10,12),-0.0372954 # DEPENDENCYPART_SIBL
(10,2),(10,13),0.013891 # DEPENDENCYPART_SIBL
(10,2),(10,14),0.00641284 # DEPENDENCYPART_SIBL
(10,2),(10,15),0.0345827 # DEPENDENCYPART_SIBL
(10,2),(10,16),0.00311583 # DEPENDENCYPART_SIBL
(10,2),(10,19),-0.0373712 # DEPENDENCYPART_SIBL
(10,2),(10,20),-0.0186501 # DEPENDENCYPART_SIBL
(10,2),(10,23),0.00983421 # DEPENDENCYPART_SIBL
(10,2),(10,24),0.00703091 # DEPENDENCYPART_SIBL
(10,2),(10,26),0.127393 # DEPENDENCYPART_SIBL
(10,3),(10,4),-0.00726439 # DEPENDENCYPART_SIBL
(10,3),(10,5),-0.0449129 # DEPENDENCYPART_SIBL
(10,3),(10,6),0.162712 # DEPENDENCYPART_SIBL
(10,3),(10,7),-0.0505622 # DEPENDENCYPART_SIBL
(10,3),(10,8),0.0583827 # DEPENDENCYPART_SIBL
(10,3),(10,9),0.0950902 # DEPENDENCYPART_SIBL
(10,3),(10,11),-0.014055 # DEPENDENCYPART_SIBL
(10,3),(10,12),-0.0101496 # DEPENDENCYPART_SIBL
(10,3),(10,13),-0.0332619 # DEPENDENCYPART_SIBL
(10,3),(10,14),-0.0689356 # DEPENDENCYPART_SIBL
(10,3),(10,15),-0.165451 # DEPENDENCYPART_SIBL
(10,3),(10,16),4.10953e-05 # DEPENDENCYPART_SIBL
(10,3),(10,19),-0.0269064 # DEPENDENCYPART_SIBL
(10,3),(10,20),-0.0740371 # DEPENDENCYPART_SIBL
(10,3),(10,23),-0.0353742 # DEPENDENCYPART_SIBL
(10,3),(10,24),-0.160206 # DEPENDENCYPART_SIBL
(10,3),(10,26),-0.0660061 # DEPENDENCYPART_SIBL
(10,4),(10,5),-0.0333323 # DEPENDENCYPART_SIBL
(10,4),(10,6),0.175602 # DEPENDENCYPART_SIBL
(10,4),(10,7),0.0683821 # DEPENDENCYPART_SIBL
(10,4),(10,8),0.476704 # DEPENDENCYPART_SIBL
(10,4),(10,9),0.177861 # DEPENDENCYPART_SIBL
(10,4),(10,11),-0.0173709 # DEPENDENCYPART_SIBL
(10,4),(10,12),-0.105998 # DEPENDENCYPART_SIBL
(10,4),(10,13),-0.116908 # DEPENDENCYPART_SIBL
(10,4),(10,14),-0.0998873 # DEPENDENCYPART_SIBL
(10,4),(10,15),-0.160339 # DEPENDENCYPART_SIBL
(10,4),(10,16),-0.0501564 # DEPENDENCYPART_SIBL
(10,4),(10,19),-0.0840419 # DEPENDENCYPART_SIBL
(10,4),(10,20),-0.187831 # DEPENDENCYPART_SIBL
(10,4),(10,23),-0.0468957 # DEPENDENCYPART_SIBL
(10,4),(10,24),-0.0804159 # DEPENDENCYPART_SIBL
(10,4),(10,26),-0.0145351 # DEPENDENCYPART_SIBL
(10,5),(10,6),0.183742 # DEPENDENCYPART_SIBL
(10,5),(10,7),-0.120965 # DEPENDENCYPART_SIBL
(10,5),(10,8),0.290131 # DEPENDENCYPART_SIBL
(10,5),(10,9),0.187462 # DEPENDENCYPART_SIBL
(10,5),(10,11),0.0281498 # DEPENDENCYPART_SIBL
(10,5),(10,12),-0.0253761 # DEPENDENCYPART_SIBL
(10,5),(10,13),-0.0171645 # DEPENDENCYPART_SIBL
(10,5),(10,14),0.0542836 # DEPENDENCYPART_SIBL
(10,5),(10,15),-0.0572638 # DEPENDENCYPART_SIBL
(10,5),(10,16),-0.0054311 # DEPENDENCYPART_SIBL
(10,5),(10,19),-0.0203997 # DEPENDENCYPART_SIBL
(10,5),(10,20),-0.083945 # DEPENDENCYPART_SIBL
(10,5),(10,23),0.0676772 # DEPENDENCYPART_SIBL
(10,5),(10,24),-0.0625414 # DEPENDENCYPART_SIBL
(10,5),(10,26),0.065355 # DEPENDENCYPART_SIBL
(10,6),(10,7),-0.0463736 # DEPENDENCYPART_SIBL
(10,6),(10,8),0.202382 # DEPENDENCYPART_SIBL
(10,6),(10,9),0.10046 # DEPENDENCYPART_SIBL
(10,6),(10,11),0.0120893 # DEPENDENCYPART_SIBL
(10,6),(10,12),-0.101642 # DEPENDENCYPART_SIBL
(10,6),(10,13),-0.111349 # DEPENDENCYPART_SIBL
(10,6),(10,14),-0.0509448 # DEPENDENCYPART_SIBL
(10,6),(10,15),-0.0299392 # DEPENDENCYPART_SIBL
(10,6),(10,16),-0.0651081 # DEPENDENCYPART_SIBL
(10,6),(10,19),-0.105541 # DEPENDENCYPART_SIBL
(10,6),(10,20),-0.142933 # DEPENDENCYPART_SIBL
(10,6),(10,23),-0.0413184 # DEPENDENCYPART_SIBL
(10,6),(10,24),-0.183768 # DEPENDENCYPART_SIBL
(10,6),(10,26),0.0288114 # DEPENDENCYPART_SIBL
(10,7),(10,8),0.148438 # DEPENDENCYPART_SIBL
(10,7),(10,9),0.134567 # DEPENDENCYPART_SIBL
(10,7),(10,11),0.144388 # DEPENDENCYPART_SIBL
(10,7),(10,12),0.0619893 # DEPENDENCYPART_SIBL
(10,7),(10,13),0.0305627 # DEPENDENCYPART_SIBL
(10,7),(10,14),0.0750994 # DEPENDENCYPART_SIBL
(10,7),(10,15),0.0774384 # DEPENDENCYPART_SIBL
(10,7),(10,16),0.0641309 # DEPENDENCYPART_SIBL
(10,7),(10,19),0.0580973 # DEPENDENCYPART_SIBL
(10,7),(10,20),0.0509155 # DEPENDENCYPART_SIBL
(10,7),(10,23),0.0534482 # DEPENDENCYPART_SIBL
(10,7),(10,24),-0.0137287 # DEPENDENCYPART_SIBL
(10,7),(10,26),0.183614 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.236163 # DEPENDENCYPART_SIBL
(10,8),(10,11),-0.0102115 # DEPENDENCYPART_SIBL
(10,8),(10,12),-0.0977687 # DEPENDENCYPART_SIBL
(10,8),(10,13),-0.108192 # DEPENDENCYPART_SIBL
(10,8),(10,14),0.0718816 # DEPENDENCYPART_SIBL
(10,8),(10,15),-0.0945069 # DEPENDENCYPART_SIBL
(10,8),(10,16),-0.0409678 # DEPENDENCYPART_SIBL
(10,8),(10,19),-0.117459 # DEPENDENCYPART_SIBL
(10,8),(10,20),-0.0255131 # DEPENDENCYPART_SIBL
(10,8),(10,23),-0.0536916 # DEPENDENCYPART_SIBL
(10,8),(10,24),-0.0938186 # DEPENDENCYPART_SIBL
(10,8),(10,26),0.0470654 # DEPENDENCYPART_SIBL
(10,9),(10,11),1.0457 # DEPENDENCYPART_SIBL
(10,9),(10,12),0.0452329 # DEPENDENCYPART_SIBL
(10,9),(10,13),0.0969055 # DEPENDENCYPART_SIBL
(10,9),(10,14),0.124924 # DEPENDENCYPART_SIBL
(10,9),(10,15),0.258267 # DEPENDENCYPART_SIBL
(10,9),(10,16),0.176475 # DEPENDENCYPART_SIBL
(10,9),(10,19),0.0611604 # DEPENDENCYPART_SIBL
(10,9),(10,20),0.368205 # DEPENDENCYPART_SIBL
(10,9),(10,23),0.14499 # DEPENDENCYPART_SIBL
(10,9),(10,24),0.18339 # DEPENDENCYPART_SIBL
(10,9),(10,26),0.26141 # DEPENDENCYPART_SIBL
(10,11),(10,12),0.257803 # DEPENDENCYPART_SIBL
(10,11),(10,13),0.156148 # DEPENDENCYPART_SIBL
(10,11),(10,14),0.1964 # DEPENDENCYPART_SIBL
(10,11),(10,15),0.0561083 # DEPENDENCYPART_SIBL
(10,11),(10,16),0.14059 # DEPENDENCYPART_SIBL
(10,11),(10,19),0.245842 # DEPENDENCYPART_SIBL
(10,11),(10,20),0.12723 # DEPENDENCYPART_SIBL
(10,11),(10,23),0.169066 # DEPENDENCYPART_SIBL
(10,11),(10,24),0.0573867 # DEPENDENCYPART_SIBL
(10,11),(10,26),0.26128 # DEPENDENCYPART_SIBL
(10,12),(10,13),0.00867543 # DEPENDENCYPART_SIBL
(10,12),(10,14),-0.0128018 # DEPENDENCYPART_SIBL
(10,12),(10,15),-0.363793 # DEPENDENCYPART_SIBL
(10,12),(10,16),-0.091492 # DEPENDENCYPART_SIBL
(10,12),(10,19),-0.141654 # DEPENDENCYPART_SIBL
(10,12),(10,20),0.0948067 # DEPENDENCYPART_SIBL
(10,12),(10,23),-0.212189 # DEPENDENCYPART_SIBL
(10,12),(10,24),-0.0585675 # DEPENDENCYPART_SIBL
(10,12),(10,26),0.0193902 # DEPENDENCYPART_SIBL
(10,13),(10,14),0.0801326 # DEPENDENCYPART_SIBL
(10,13),(10,15),0.0276902 # DEPENDENCYPART_SIBL
(10,13),(10,16),-0.0176212 # DEPENDENCYPART_SIBL
(10,13),(10,19),0.0909489 # DEPENDENCYPART_SIBL
(10,13),(10,20),0.162455 # DEPENDENCYPART_SIBL
(10,13),(10,23),0.110738 # DEPENDENCYPART_SIBL
(10,13),(10,24),0.104478 # DEPENDENCYPART_SIBL
(10,13),(10,26),0.0756022 # DEPENDENCYPART_SIBL
(10,14),(10,15),-0.0846933 # DEPENDENCYPART_SIBL
(10,14),(10,16),0.247245 # DEPENDENCYPART_SIBL
(10,14),(10,19),0.505191 # DEPENDENCYPART_SIBL
(10,14),(10,20),0.108804 # DEPENDENCYPART_SIBL
(10,14),(10,23),0.333478 # DEPENDENCYPART_SIBL
(10,14),(10,24),0.0538005 # DEPENDENCYPART_SIBL
(10,14),(10,26),0.153382 # DEPENDENCYPART_SIBL
(10,15),(10,16),-0.125405 # DEPENDENCYPART_SIBL
(10,15),(10,19),-0.290975 # DEPENDENCYPART_SIBL
(10,15),(10,20),-0.297768 # DEPENDENCYPART_SIBL
(10,15),(10,23),-0.221482 # DEPENDENCYPART_SIBL
(10,15),(10,24),-0.259313 # DEPENDENCYPART_SIBL
(10,15),(10,26),0.165782 # DEPENDENCYPART_SIBL
(10,16),(10,19),0.0325797 # DEPENDENCYPART_SIBL
(10,16),(10,20),0.0870979 # DEPENDENCYPART_SIBL
(10,16),(10,23),-0.0171397 # DEPENDENCYPART_SIBL
(10,16),(10,24),-0.0861882 # DEPENDENCYPART_SIBL
(10,16),(10,26),0.21393 # DEPENDENCYPART_SIBL
(10,19),(10,20),0.0578889 # DEPENDENCYPART_SIBL
(10,19),(10,23),-0.211933 # DEPENDENCYPART_SIBL
(10,19),(10,24),-0.0858724 # DEPENDENCYPART_SIBL
(10,19),(10,26),0.012255 # DEPENDENCYPART_SIBL
(10,20),(10,23),0.126557 # DEPENDENCYPART_SIBL
(10,20),(10,24),0.0451759 # DEPENDENCYPART_SIBL
(10,20),(10,26),0.133386 # DEPENDENCYPART_SIBL
(10,23),(10,24),0.0603205 # DEPENDENCYPART_SIBL
(10,23),(10,26),0.150911 # DEPENDENCYPART_SIBL
(10,24),(10,26),0.152694 # DEPENDENCYPART_SIBL
(11,5),(11,8),0.012126 # DEPENDENCYPART_SIBL
(11,5),(11,9),0.135241 # DEPENDENCYPART_SIBL
(11,5),(11,10),-0.131034 # DEPENDENCYPART_SIBL
