# _root_ Because we refuse to face the tough answers , the questions continue as fodder for the commissions and committees , for the media and politicians .
#goldHeads=3,3,12,5,3,8,8,5,12,11,12,0,12,13,14,18,18,15,18,15,15,24,24,21,24,12,
#predictedHeads=3,3,12,5,3,8,8,5,12,11,12,0,12,13,14,18,18,15,18,18,18,24,24,21,24,12,
(21,19),(19,25),0.135859 # DEPENDENCYPART_GRANDPAR
(21,19),(19,26),-0.437118 # DEPENDENCYPART_GRANDPAR
(21,20),(20,21),-0.896149 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(21,22),(22,23),0.56713 # DEPENDENCYPART_GRANDPAR
(21,23),(23,16),-0.673725 # DEPENDENCYPART_GRANDPAR
(21,23),(23,22),0.594298 # DEPENDENCYPART_GRANDPAR
(21,23),(23,25),0.562487 # DEPENDENCYPART_GRANDPAR
(21,24),(24,1),-0.867419 # DEPENDENCYPART_GRANDPAR
(21,24),(24,2),-0.84144 # DEPENDENCYPART_GRANDPAR
(21,24),(24,3),-0.756105 # DEPENDENCYPART_GRANDPAR
(21,24),(24,4),-0.833916 # DEPENDENCYPART_GRANDPAR
(21,24),(24,5),-0.726451 # DEPENDENCYPART_GRANDPAR
(21,24),(24,6),-0.799479 # DEPENDENCYPART_GRANDPAR
(21,24),(24,7),-0.915292 # DEPENDENCYPART_GRANDPAR
(21,24),(24,8),-1.24037 # DEPENDENCYPART_GRANDPAR
(21,24),(24,9),-0.848365 # DEPENDENCYPART_GRANDPAR
(21,24),(24,10),-0.671172 # DEPENDENCYPART_GRANDPAR
(21,24),(24,11),-1.08788 # DEPENDENCYPART_GRANDPAR
(21,24),(24,12),-0.713059 # DEPENDENCYPART_GRANDPAR
(21,24),(24,13),-0.721702 # DEPENDENCYPART_GRANDPAR
(21,24),(24,14),-0.992625 # DEPENDENCYPART_GRANDPAR
(21,24),(24,15),-0.637186 # DEPENDENCYPART_GRANDPAR
(21,24),(24,16),-0.630784 # DEPENDENCYPART_GRANDPAR
(21,24),(24,17),-0.913872 # DEPENDENCYPART_GRANDPAR
(21,24),(24,18),-0.665946 # DEPENDENCYPART_GRANDPAR
(21,24),(24,19),-0.801126 # DEPENDENCYPART_GRANDPAR
(21,24),(24,20),-0.479076 # DEPENDENCYPART_GRANDPAR
(21,24),(24,21),-0.71825 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(21,24),(24,22),0.253265 # DEPENDENCYPART_GRANDPAR
(21,24),(24,23),0.539717 # DEPENDENCYPART_GRANDPAR
(21,24),(24,25),0.786779 # DEPENDENCYPART_GRANDPAR
(21,24),(24,26),0.0348229 # DEPENDENCYPART_GRANDPAR
(21,25),(25,16),-0.673725 # DEPENDENCYPART_GRANDPAR
(21,25),(25,22),0.608081 # DEPENDENCYPART_GRANDPAR
(21,25),(25,23),0.697434 # DEPENDENCYPART_GRANDPAR
(21,25),(25,26),0.0247472 # DEPENDENCYPART_GRANDPAR
(22,23),(23,16),-0.758499 # DEPENDENCYPART_GRANDPAR
(22,23),(23,22),-0.651529 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(22,23),(23,25),0.0519628 # DEPENDENCYPART_GRANDPAR
(23,16),(16,17),-0.575414 # DEPENDENCYPART_GRANDPAR
(23,22),(22,23),-1.16384 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(23,25),(25,16),-0.940126 # DEPENDENCYPART_GRANDPAR
(23,25),(25,22),-0.538281 # DEPENDENCYPART_GRANDPAR
(23,25),(25,23),-0.664643 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(23,25),(25,26),0.104641 # DEPENDENCYPART_GRANDPAR
(24,1),(1,2),-0.55372 # DEPENDENCYPART_GRANDPAR
(24,1),(1,3),-0.526736 # DEPENDENCYPART_GRANDPAR
(24,1),(1,4),-0.233233 # DEPENDENCYPART_GRANDPAR
(24,1),(1,5),-0.312418 # DEPENDENCYPART_GRANDPAR
(24,1),(1,8),-0.462338 # DEPENDENCYPART_GRANDPAR
(24,2),(2,3),-0.558582 # DEPENDENCYPART_GRANDPAR
(24,2),(2,5),-0.344207 # DEPENDENCYPART_GRANDPAR
(24,3),(3,1),-0.481836 # DEPENDENCYPART_GRANDPAR
(24,3),(3,2),-0.408319 # DEPENDENCYPART_GRANDPAR
(24,3),(3,4),-0.0653056 # DEPENDENCYPART_GRANDPAR
(24,3),(3,5),-0.204984 # DEPENDENCYPART_GRANDPAR
(24,3),(3,6),-0.449273 # DEPENDENCYPART_GRANDPAR
(24,3),(3,7),-0.740314 # DEPENDENCYPART_GRANDPAR
(24,3),(3,8),-0.306194 # DEPENDENCYPART_GRANDPAR
(24,3),(3,9),-0.38549 # DEPENDENCYPART_GRANDPAR
(24,3),(3,11),-0.210255 # DEPENDENCYPART_GRANDPAR
(24,3),(3,12),-0.201584 # DEPENDENCYPART_GRANDPAR
(24,3),(3,13),-0.253311 # DEPENDENCYPART_GRANDPAR
(24,3),(3,15),-0.110725 # DEPENDENCYPART_GRANDPAR
(24,3),(3,18),0.0870523 # DEPENDENCYPART_GRANDPAR
(24,3),(3,20),-0.305349 # DEPENDENCYPART_GRANDPAR
(24,3),(3,21),-0.294831 # DEPENDENCYPART_GRANDPAR
(24,3),(3,24),-1.41829 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(24,3),(3,26),-0.53181 # DEPENDENCYPART_GRANDPAR
(24,4),(4,1),-0.538173 # DEPENDENCYPART_GRANDPAR
(24,4),(4,5),-0.322455 # DEPENDENCYPART_GRANDPAR
(24,4),(4,8),-0.358074 # DEPENDENCYPART_GRANDPAR
(24,4),(4,11),-0.271479 # DEPENDENCYPART_GRANDPAR
(24,5),(5,1),-0.466678 # DEPENDENCYPART_GRANDPAR
(24,5),(5,2),-0.390752 # DEPENDENCYPART_GRANDPAR
(24,5),(5,3),-0.472574 # DEPENDENCYPART_GRANDPAR
(24,5),(5,4),-0.112166 # DEPENDENCYPART_GRANDPAR
(24,5),(5,6),-0.44203 # DEPENDENCYPART_GRANDPAR
(24,5),(5,7),-0.741059 # DEPENDENCYPART_GRANDPAR
(24,5),(5,8),-0.301198 # DEPENDENCYPART_GRANDPAR
(24,5),(5,9),-0.387 # DEPENDENCYPART_GRANDPAR
(24,5),(5,10),-0.284208 # DEPENDENCYPART_GRANDPAR
(24,5),(5,11),-0.20526 # DEPENDENCYPART_GRANDPAR
(24,5),(5,12),-0.194055 # DEPENDENCYPART_GRANDPAR
(24,5),(5,13),-0.268989 # DEPENDENCYPART_GRANDPAR
(24,5),(5,14),0.194325 # DEPENDENCYPART_GRANDPAR
(24,5),(5,15),-0.126374 # DEPENDENCYPART_GRANDPAR
(24,5),(5,18),0.0850406 # DEPENDENCYPART_GRANDPAR
(24,5),(5,20),-0.306858 # DEPENDENCYPART_GRANDPAR
(24,5),(5,21),-0.310481 # DEPENDENCYPART_GRANDPAR
(24,5),(5,24),-1.41829 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(24,5),(5,26),-0.53181 # DEPENDENCYPART_GRANDPAR
(24,6),(6,5),-0.362464 # DEPENDENCYPART_GRANDPAR
(24,6),(6,7),-0.807566 # DEPENDENCYPART_GRANDPAR
(24,6),(6,9),-0.380362 # DEPENDENCYPART_GRANDPAR
(24,6),(6,12),-0.278574 # DEPENDENCYPART_GRANDPAR
(24,7),(7,1),-0.49419 # DEPENDENCYPART_GRANDPAR
(24,7),(7,2),-0.43149 # DEPENDENCYPART_GRANDPAR
(24,7),(7,4),-0.0948364 # DEPENDENCYPART_GRANDPAR
(24,7),(7,6),-0.332926 # DEPENDENCYPART_GRANDPAR
(24,7),(7,9),-0.37573 # DEPENDENCYPART_GRANDPAR
(24,7),(7,11),-0.255439 # DEPENDENCYPART_GRANDPAR
(24,7),(7,12),-0.245281 # DEPENDENCYPART_GRANDPAR
(24,8),(8,1),-0.525865 # DEPENDENCYPART_GRANDPAR
(24,8),(8,4),-0.0219903 # DEPENDENCYPART_GRANDPAR
(24,8),(8,5),-0.303038 # DEPENDENCYPART_GRANDPAR
(24,8),(8,6),-0.280747 # DEPENDENCYPART_GRANDPAR
(24,8),(8,7),-0.564517 # DEPENDENCYPART_GRANDPAR
(24,8),(8,9),-0.142082 # DEPENDENCYPART_GRANDPAR
(24,8),(8,10),-0.0699209 # DEPENDENCYPART_GRANDPAR
(24,8),(8,11),-0.0291268 # DEPENDENCYPART_GRANDPAR
(24,8),(8,12),-0.109613 # DEPENDENCYPART_GRANDPAR
(24,8),(8,13),-0.405214 # DEPENDENCYPART_GRANDPAR
(24,8),(8,14),0.376177 # DEPENDENCYPART_GRANDPAR
(24,8),(8,15),-0.169557 # DEPENDENCYPART_GRANDPAR
(24,8),(8,16),-0.237382 # DEPENDENCYPART_GRANDPAR
(24,8),(8,18),0.150732 # DEPENDENCYPART_GRANDPAR
(24,8),(8,20),-0.0619404 # DEPENDENCYPART_GRANDPAR
(24,8),(8,21),-0.353664 # DEPENDENCYPART_GRANDPAR
(24,8),(8,22),-0.220715 # DEPENDENCYPART_GRANDPAR
(24,8),(8,24),-1.28222 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(24,8),(8,26),-0.445978 # DEPENDENCYPART_GRANDPAR
(24,10),(10,9),-0.327931 # DEPENDENCYPART_GRANDPAR
(24,10),(10,13),-0.472241 # DEPENDENCYPART_GRANDPAR
(24,11),(11,6),-0.307094 # DEPENDENCYPART_GRANDPAR
(24,11),(11,7),-0.578555 # DEPENDENCYPART_GRANDPAR
(24,11),(11,8),-0.127856 # DEPENDENCYPART_GRANDPAR
(24,11),(11,9),-0.147272 # DEPENDENCYPART_GRANDPAR
(24,11),(11,10),-0.149273 # DEPENDENCYPART_GRANDPAR
(24,11),(11,12),-0.120125 # DEPENDENCYPART_GRANDPAR
(24,11),(11,13),-0.411773 # DEPENDENCYPART_GRANDPAR
(24,11),(11,14),0.361978 # DEPENDENCYPART_GRANDPAR
(24,11),(11,15),-0.176117 # DEPENDENCYPART_GRANDPAR
(24,12),(12,1),-0.459192 # DEPENDENCYPART_GRANDPAR
(24,12),(12,3),-0.45057 # DEPENDENCYPART_GRANDPAR
(24,12),(12,4),-0.064968 # DEPENDENCYPART_GRANDPAR
(24,12),(12,5),-0.247148 # DEPENDENCYPART_GRANDPAR
(24,12),(12,6),-0.429981 # DEPENDENCYPART_GRANDPAR
(24,12),(12,7),-0.63987 # DEPENDENCYPART_GRANDPAR
(24,12),(12,8),-0.186701 # DEPENDENCYPART_GRANDPAR
(24,12),(12,9),-0.299008 # DEPENDENCYPART_GRANDPAR
(24,12),(12,10),-0.27216 # DEPENDENCYPART_GRANDPAR
(24,12),(12,11),-0.117323 # DEPENDENCYPART_GRANDPAR
(24,12),(12,13),-0.236749 # DEPENDENCYPART_GRANDPAR
(24,12),(12,14),0.225715 # DEPENDENCYPART_GRANDPAR
(24,12),(12,15),-0.092556 # DEPENDENCYPART_GRANDPAR
(24,12),(12,16),-0.435891 # DEPENDENCYPART_GRANDPAR
(24,12),(12,17),-0.0900292 # DEPENDENCYPART_GRANDPAR
(24,12),(12,18),0.0946234 # DEPENDENCYPART_GRANDPAR
(24,12),(12,20),-0.28181 # DEPENDENCYPART_GRANDPAR
(24,12),(12,21),-0.276663 # DEPENDENCYPART_GRANDPAR
(24,12),(12,24),-1.4186 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(24,12),(12,26),-0.532122 # DEPENDENCYPART_GRANDPAR
(24,13),(13,11),-0.114481 # DEPENDENCYPART_GRANDPAR
(24,13),(13,14),0.00878277 # DEPENDENCYPART_GRANDPAR
(24,13),(13,15),-0.210017 # DEPENDENCYPART_GRANDPAR
(24,13),(13,17),-0.309183 # DEPENDENCYPART_GRANDPAR
(24,13),(13,18),-0.158573 # DEPENDENCYPART_GRANDPAR
(24,13),(13,19),-0.181202 # DEPENDENCYPART_GRANDPAR
(24,13),(13,24),-1.25561 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(24,14),(14,3),-0.51259 # DEPENDENCYPART_GRANDPAR
(24,14),(14,10),-0.139515 # DEPENDENCYPART_GRANDPAR
(24,14),(14,11),-0.0478841 # DEPENDENCYPART_GRANDPAR
(24,14),(14,12),-0.265662 # DEPENDENCYPART_GRANDPAR
(24,14),(14,13),-0.413631 # DEPENDENCYPART_GRANDPAR
(24,14),(14,15),-0.177444 # DEPENDENCYPART_GRANDPAR
(24,14),(14,16),-0.240102 # DEPENDENCYPART_GRANDPAR
(24,14),(14,17),0.0440486 # DEPENDENCYPART_GRANDPAR
(24,14),(14,18),0.144516 # DEPENDENCYPART_GRANDPAR
(24,14),(14,19),0.170793 # DEPENDENCYPART_GRANDPAR
(24,14),(14,20),-0.0660495 # DEPENDENCYPART_GRANDPAR
(24,14),(14,21),-0.361551 # DEPENDENCYPART_GRANDPAR
(24,14),(14,22),-0.223435 # DEPENDENCYPART_GRANDPAR
(24,14),(14,26),-0.445978 # DEPENDENCYPART_GRANDPAR
(24,15),(15,13),-0.36089 # DEPENDENCYPART_GRANDPAR
(24,15),(15,14),0.378342 # DEPENDENCYPART_GRANDPAR
(24,15),(15,16),-0.508093 # DEPENDENCYPART_GRANDPAR
(24,15),(15,17),-0.341632 # DEPENDENCYPART_GRANDPAR
(24,15),(15,18),-0.134734 # DEPENDENCYPART_GRANDPAR
(24,15),(15,19),-0.213652 # DEPENDENCYPART_GRANDPAR
(24,15),(15,20),-0.279455 # DEPENDENCYPART_GRANDPAR
(24,15),(15,21),-0.449899 # DEPENDENCYPART_GRANDPAR
(24,15),(15,24),-1.25678 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(24,15),(15,25),0.0852649 # DEPENDENCYPART_GRANDPAR
(24,16),(16,17),-0.200876 # DEPENDENCYPART_GRANDPAR
(24,17),(17,14),0.35164 # DEPENDENCYPART_GRANDPAR
(24,17),(17,15),-0.137318 # DEPENDENCYPART_GRANDPAR
(24,17),(17,16),-0.313011 # DEPENDENCYPART_GRANDPAR
(24,17),(17,19),0.173755 # DEPENDENCYPART_GRANDPAR
(24,18),(18,1),-0.478556 # DEPENDENCYPART_GRANDPAR
(24,18),(18,2),-0.399065 # DEPENDENCYPART_GRANDPAR
(24,18),(18,3),-0.485972 # DEPENDENCYPART_GRANDPAR
(24,18),(18,4),-0.183262 # DEPENDENCYPART_GRANDPAR
(24,18),(18,5),-0.27979 # DEPENDENCYPART_GRANDPAR
(24,18),(18,6),-0.349549 # DEPENDENCYPART_GRANDPAR
(24,18),(18,7),-0.566135 # DEPENDENCYPART_GRANDPAR
(24,18),(18,8),-0.159668 # DEPENDENCYPART_GRANDPAR
(24,18),(18,9),-0.360982 # DEPENDENCYPART_GRANDPAR
(24,18),(18,10),-0.191728 # DEPENDENCYPART_GRANDPAR
(24,18),(18,11),-0.0843328 # DEPENDENCYPART_GRANDPAR
(24,18),(18,12),-0.213735 # DEPENDENCYPART_GRANDPAR
(24,18),(18,13),-0.368237 # DEPENDENCYPART_GRANDPAR
(24,18),(18,14),0.327471 # DEPENDENCYPART_GRANDPAR
(24,18),(18,15),-0.111261 # DEPENDENCYPART_GRANDPAR
(24,18),(18,16),-0.359188 # DEPENDENCYPART_GRANDPAR
(24,18),(18,17),0.00630317 # DEPENDENCYPART_GRANDPAR
(24,18),(18,19),0.128114 # DEPENDENCYPART_GRANDPAR
(24,18),(18,20),-0.101454 # DEPENDENCYPART_GRANDPAR
(24,18),(18,21),-0.36034 # DEPENDENCYPART_GRANDPAR
(24,18),(18,22),-0.391654 # DEPENDENCYPART_GRANDPAR
(24,18),(18,23),-0.0206517 # DEPENDENCYPART_GRANDPAR
(24,18),(18,24),-1.25077 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(24,18),(18,25),0.0136223 # DEPENDENCYPART_GRANDPAR
(24,18),(18,26),-0.447048 # DEPENDENCYPART_GRANDPAR
(24,19),(19,14),0.363633 # DEPENDENCYPART_GRANDPAR
(24,19),(19,16),-0.307418 # DEPENDENCYPART_GRANDPAR
(24,19),(19,17),0.0435991 # DEPENDENCYPART_GRANDPAR
(24,19),(19,18),-0.00518106 # DEPENDENCYPART_GRANDPAR
(24,19),(19,20),-0.0783809 # DEPENDENCYPART_GRANDPAR
(24,19),(19,21),-0.370747 # DEPENDENCYPART_GRANDPAR
(24,19),(19,22),-0.226086 # DEPENDENCYPART_GRANDPAR
(24,19),(19,23),-0.00675098 # DEPENDENCYPART_GRANDPAR
(24,19),(19,24),-1.28222 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(24,19),(19,25),0.117427 # DEPENDENCYPART_GRANDPAR
(24,19),(19,26),-0.445978 # DEPENDENCYPART_GRANDPAR
(24,20),(20,21),-0.39271 # DEPENDENCYPART_GRANDPAR
(24,21),(21,19),0.199239 # DEPENDENCYPART_GRANDPAR
(24,21),(21,20),-0.0913287 # DEPENDENCYPART_GRANDPAR
(24,21),(21,22),-0.491426 # DEPENDENCYPART_GRANDPAR
(24,21),(21,23),-0.367787 # DEPENDENCYPART_GRANDPAR
(24,21),(21,24),-1.25678 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(24,21),(21,25),0.0852649 # DEPENDENCYPART_GRANDPAR
(24,21),(21,26),-0.430635 # DEPENDENCYPART_GRANDPAR
(24,22),(22,23),-0.227128 # DEPENDENCYPART_GRANDPAR
(24,23),(23,16),-0.299509 # DEPENDENCYPART_GRANDPAR
(24,23),(23,22),-0.282842 # DEPENDENCYPART_GRANDPAR
(24,23),(23,25),0.117427 # DEPENDENCYPART_GRANDPAR
(24,25),(25,16),-0.839462 # DEPENDENCYPART_GRANDPAR
(24,25),(25,22),-0.822796 # DEPENDENCYPART_GRANDPAR
(24,25),(25,23),-0.529519 # DEPENDENCYPART_GRANDPAR
(24,25),(25,26),0.0744317 # DEPENDENCYPART_GRANDPAR
(25,16),(16,17),-1.07059 # DEPENDENCYPART_GRANDPAR
(25,22),(22,23),-0.54195 # DEPENDENCYPART_GRANDPAR
(25,23),(23,16),-0.694182 # DEPENDENCYPART_GRANDPAR
(25,23),(23,22),-0.390577 # DEPENDENCYPART_GRANDPAR
(25,23),(23,25),-1.23094 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(0,1),(1,1),(1,2),-0.0206629 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,1),(1,1),(1,3),-0.0388337 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,1),(1,1),(1,4),-0.0195224 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,1),(1,1),(1,5),-0.0388337 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,1),(1,1),(1,8),-0.0598226 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,1),(1,1),(1,27),-0.022702 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,1),(1,2),(1,3),-0.0194455 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,2),(1,4),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,2),(1,5),-0.0194455 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,2),(1,8),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,2),(1,27),-0.0198197 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,1),(1,3),(1,4),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,3),(1,5),-0.0194428 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,3),(1,8),-0.019453 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,3),(1,27),-0.0255706 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,1),(1,4),(1,5),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,4),(1,8),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,4),(1,27),-0.0212577 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,1),(1,5),(1,8),-0.019453 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,5),(1,27),-0.0255686 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,1),(1,8),(1,27),-0.0912237 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,1),(1,1),(1,-1),-0.224008 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,3),(3,3),(3,4),-0.0814549 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,5),-0.0457317 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,6),-0.00587567 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,7),0.0644507 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,8),-0.0280694 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,9),0.0139113 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,11),-0.0267174 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,12),-0.0394998 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,13),-0.189281 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,15),-0.196391 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,18),0.0875249 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,20),0.0139113 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,21),-0.196391 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,24),0.0875249 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,26),-0.111076 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,27),-0.195809 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,3),(3,4),(3,5),-0.0393165 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,6),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,7),-0.0219397 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,8),0.00434503 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,9),0.0628095 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,11),0.00434503 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,12),-0.0393166 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,13),-0.0265961 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,15),-0.0301736 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,18),-0.0279168 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,20),0.0628095 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,21),-0.0301736 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,24),-0.0279168 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,26),0.0211494 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,27),-0.051534 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,5),(3,6),-0.0195154 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,7),-0.0172769 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,8),-0.000583977 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,9),-0.0493888 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,11),-0.000573664 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,12),-0.0467016 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,13),0.0380782 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,15),0.0440542 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,18),-0.0317764 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,20),-0.0493888 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,21),0.0440542 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,24),-0.0317764 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,26),-0.0354102 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,27),-0.0596388 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,6),(3,7),-0.0218268 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,6),(3,8),-0.000291251 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,6),(3,9),-0.0330519 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,6),(3,11),-0.000291251 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,6),(3,12),0.00448173 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,6),(3,13),-0.0228081 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,6),(3,15),-0.0263219 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,6),(3,18),-0.0259358 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,6),(3,20),-0.0330519 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,6),(3,21),-0.0263219 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,6),(3,24),-0.0259358 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,6),(3,26),-0.0167013 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,6),(3,27),-0.0273276 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,7),(3,8),-0.020696 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,7),(3,9),-0.0672822 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,7),(3,11),-0.020696 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,7),(3,12),-0.0279332 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,7),(3,13),-0.00583884 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,7),(3,15),0.0243279 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,7),(3,18),-0.0266141 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,7),(3,20),-0.0672822 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,7),(3,21),0.0243279 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,7),(3,24),-0.0266141 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,7),(3,26),0.0683587 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,7),(3,27),-0.0328268 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,8),(3,9),-0.0665834 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,8),(3,11),0.0259389 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,8),(3,12),0.00333583 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,8),(3,13),0.0965035 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,8),(3,15),0.0547557 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,8),(3,18),-0.00815739 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,8),(3,20),-0.0665834 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,8),(3,21),0.0547557 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,8),(3,24),-0.00815739 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,8),(3,26),0.0519903 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,8),(3,27),-0.0753365 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,9),(3,11),-0.0987174 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,9),(3,12),-0.0192379 # DEPENDENCYPART_GRANDSIBL
