# _root_ Echoing a phrase from Mr. de Klerk , Mr. Sisulu said , `` Let all of us who love this country engage in the task of building a new South Africa .
#goldHeads=11,3,1,3,7,7,4,11,10,11,0,11,11,11,22,15,16,19,15,21,19,14,22,25,23,25,26,31,31,31,27,11,
#predictedHeads=11,3,1,3,7,7,4,11,10,11,0,11,11,11,14,15,16,19,17,21,22,19,22,25,23,25,26,31,31,31,27,11,
(4,7),(7,7),(7,13),-0.0258437 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,7),(7,16),-0.0904777 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,7),(7,19),-0.0110857 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,7),(7,21),-0.142497 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,7),(7,25),-0.142428 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,7),(7,31),-0.142431 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,7),(7,32),-0.0435225 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,7),(7,33),0.20604 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,7),(7,8),(7,9),-0.0639867 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,8),(7,10),-0.0639784 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,8),(7,11),0.0409756 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,8),(7,12),-0.0452938 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,8),(7,13),-0.0114045 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,8),(7,16),0.0264152 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,8),(7,19),0.0446856 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,8),(7,21),-0.0614717 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,8),(7,25),-0.0639784 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,8),(7,31),-0.0603839 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,8),(7,32),-0.021676 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,8),(7,33),-0.0184284 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,9),(7,10),-0.0291854 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,9),(7,11),-0.029254 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,9),(7,12),-0.0443239 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,9),(7,13),-0.0194419 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,9),(7,16),0.00618369 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,9),(7,19),-0.029254 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,9),(7,21),-0.0291854 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,9),(7,25),-0.0291854 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,9),(7,31),-0.0291854 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,9),(7,32),-0.0207862 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,9),(7,33),-0.0973188 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,10),(7,11),-0.029254 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,10),(7,12),-0.0443239 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,10),(7,13),-0.0194419 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,10),(7,16),0.00618369 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,10),(7,19),-0.029254 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,10),(7,21),-0.0291854 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,10),(7,25),-0.0291854 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,10),(7,31),-0.0291854 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,10),(7,32),-0.0207862 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,10),(7,33),-0.0973064 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,11),(7,12),0.0317438 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,11),(7,13),-0.0210168 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,11),(7,16),-0.0245847 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,11),(7,19),-0.0197572 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,11),(7,21),-0.0211803 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,11),(7,25),-0.0211803 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,11),(7,31),-0.0211803 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,11),(7,32),-0.0203675 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,11),(7,33),-0.0136985 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,12),(7,13),-0.0114045 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,12),(7,16),0.0264152 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,12),(7,19),0.0446856 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,12),(7,21),-0.0614717 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,12),(7,25),-0.0639784 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,12),(7,31),-0.0603839 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,12),(7,32),-0.021676 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,12),(7,33),-0.0184284 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,13),(7,16),-0.0246841 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,13),(7,19),-0.0210257 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,13),(7,21),-0.00277737 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,13),(7,25),-0.00277737 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,13),(7,31),-0.00277737 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,13),(7,32),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,13),(7,33),-0.0275021 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,16),(7,19),-0.00731953 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,16),(7,21),-0.0282457 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,16),(7,25),-0.0282457 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,16),(7,31),-0.0282457 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,16),(7,32),-0.023718 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,16),(7,33),-0.0479655 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,19),(7,21),-0.0210549 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,19),(7,25),-0.0210549 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,19),(7,31),-0.0210549 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,19),(7,32),-0.0203658 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,19),(7,33),-0.014851 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,21),(7,25),-0.0291854 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,21),(7,31),-0.0291854 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,21),(7,32),-0.0207862 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,21),(7,33),-0.0948688 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,25),(7,31),-0.0291854 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,25),(7,32),-0.0207862 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,25),(7,33),-0.097306 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,31),(7,32),-0.0207862 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,31),(7,33),-0.0973088 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,32),(7,33),-0.0422145 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,7),(7,6),0.161664 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,7),(7,5),0.138505 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,7),(7,3),-0.150026 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,7),(7,2),-0.148684 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,7),(7,-1),-0.172903 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,7),(7,6),(7,5),0.125622 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,6),(7,3),-0.149595 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,6),(7,2),-0.147792 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,6),(7,-1),-0.135816 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,5),(7,3),-0.149595 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,5),(7,2),-0.147792 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,5),(7,-1),-0.141205 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,3),(7,2),-0.147792 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,3),(7,-1),-0.135612 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,2),(7,-1),-0.11808 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,8),(8,33),-0.0387909 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,8),(8,8),(8,-1),-0.164648 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,9),(9,9),(9,10),-0.142663 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,11),-0.0125599 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,13),-0.0258437 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,14),-0.0179204 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,33),0.196354 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,9),(9,10),(9,11),-0.029254 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,10),(9,13),-0.0194419 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,10),(9,14),-0.029254 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,10),(9,33),-0.0974824 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,11),(9,13),-0.0210168 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,11),(9,14),-0.0197572 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,11),(9,33),-0.0137403 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,13),(9,14),-0.0210257 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,13),(9,33),-0.0275021 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,14),(9,33),-0.0216929 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,9),(9,8),-0.0191683 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,7),0.157665 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,6),0.159354 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,-1),-0.179672 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,9),(9,8),(9,7),0.0284129 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,8),(9,6),0.0284129 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,8),(9,-1),-0.153287 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,7),(9,6),0.125352 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,7),(9,-1),-0.136329 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,6),(9,-1),-0.136533 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,10),(10,10),(10,11),-0.0125255 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,10),(10,10),(10,12),-0.031034 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,10),(10,10),(10,13),-0.0258437 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,10),(10,10),(10,14),-0.0178859 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,10),(10,10),(10,16),-0.0904777 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,10),(10,10),(10,33),0.20604 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,10),(10,11),(10,12),0.0317438 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,11),(10,13),-0.0210168 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,11),(10,14),-0.0197572 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,11),(10,16),-0.0245847 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,11),(10,33),-0.0136985 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,10),(10,12),(10,13),-0.0114045 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,12),(10,14),0.0446856 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,12),(10,16),0.0264152 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,12),(10,33),-0.0184284 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,10),(10,13),(10,14),-0.0210257 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,13),(10,16),-0.0246841 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,13),(10,33),-0.0275021 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,10),(10,14),(10,16),-0.0242362 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,14),(10,33),-0.0216512 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,10),(10,16),(10,33),-0.0479655 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,10),(10,10),(10,9),0.138505 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,10),(10,10),(10,8),-0.0191683 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,10),(10,10),(10,7),0.159975 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,10),(10,10),(10,6),0.161664 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,10),(10,10),(10,5),0.138505 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,10),(10,10),(10,3),-0.150026 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,10),(10,10),(10,2),-0.148684 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,10),(10,10),(10,-1),-0.172903 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,10),(10,9),(10,8),0.072504 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,9),(10,7),0.107663 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,9),(10,6),0.110847 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,9),(10,5),0.106059 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,9),(10,3),-0.149595 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,9),(10,2),-0.147792 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,9),(10,-1),-0.141205 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,10),(10,8),(10,7),0.0284175 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,8),(10,6),0.0284175 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,8),(10,5),0.0284166 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,8),(10,3),-0.144999 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,8),(10,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,8),(10,-1),-0.153287 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,10),(10,7),(10,6),0.125353 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,7),(10,5),0.120565 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,7),(10,3),-0.149595 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,7),(10,2),-0.147792 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,7),(10,-1),-0.135612 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,10),(10,6),(10,5),0.125622 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,6),(10,3),-0.149595 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,6),(10,2),-0.147792 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,6),(10,-1),-0.135816 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,10),(10,5),(10,3),-0.149595 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,5),(10,2),-0.147792 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,5),(10,-1),-0.141205 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,10),(10,3),(10,2),-0.147792 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,3),(10,-1),-0.135612 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,10),(10,2),(10,-1),-0.11808 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,11),(11,11),(11,12),-0.0533921 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,11),(11,11),(11,13),-0.0129731 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,11),(11,11),(11,14),-0.0364835 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,11),(11,11),(11,16),-0.0285688 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,11),(11,11),(11,19),-0.036476 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,11),(11,11),(11,22),-0.036476 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,11),(11,11),(11,32),-0.0227869 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,11),(11,11),(11,33),-0.0129395 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,11),(11,12),(11,13),-0.0171472 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,12),(11,14),-0.0349304 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,12),(11,16),-0.0446062 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,12),(11,19),-0.0349304 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,12),(11,22),-0.0349304 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,12),(11,32),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,12),(11,33),-0.0283368 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,11),(11,13),(11,14),-0.0147428 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,13),(11,16),-0.0218767 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,13),(11,19),-0.0147428 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,13),(11,22),-0.0147428 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,13),(11,32),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,13),(11,33),-0.019293 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,11),(11,14),(11,16),-0.0244247 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,14),(11,19),-0.0201445 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,14),(11,22),-0.0201445 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,14),(11,32),-0.0197471 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,14),(11,33),-0.0528327 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,11),(11,16),(11,19),-0.0227511 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,16),(11,22),-0.0227511 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,16),(11,32),-0.0194454 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,16),(11,33),0.00941417 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,11),(11,19),(11,22),-0.0201445 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,19),(11,32),-0.0197471 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,19),(11,33),-0.0528253 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,11),(11,22),(11,32),-0.0197471 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,22),(11,33),-0.0528253 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,11),(11,32),(11,33),-0.0264462 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,11),(11,11),(11,10),0.105718 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,11),(11,11),(11,9),0.105569 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,11),(11,11),(11,8),0.0941529 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,11),(11,11),(11,7),0.105718 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,11),(11,11),(11,6),0.105718 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,11),(11,11),(11,5),0.105569 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,11),(11,11),(11,4),0.120869 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,11),(11,11),(11,3),-0.153688 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,11),(11,11),(11,2),-0.144712 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,11),(11,11),(11,1),-0.124644 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,11),(11,11),(11,-1),-0.175648 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,11),(11,10),(11,9),0.101341 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,10),(11,8),0.0998522 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,10),(11,7),0.101428 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,10),(11,6),0.101426 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,10),(11,5),0.101341 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,10),(11,4),0.102436 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,10),(11,3),-0.144732 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,10),(11,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,10),(11,1),-0.144726 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,10),(11,-1),-0.132032 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,11),(11,9),(11,8),0.0998522 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,9),(11,7),0.101428 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,9),(11,6),0.101426 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,9),(11,5),0.101341 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,9),(11,4),0.102436 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,9),(11,3),-0.144732 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,9),(11,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,9),(11,1),-0.144726 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,9),(11,-1),-0.132278 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,11),(11,8),(11,7),0.0874066 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,8),(11,6),0.0874066 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,8),(11,5),0.0874066 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,8),(11,4),0.101702 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,8),(11,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,8),(11,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,8),(11,1),-0.145002 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,8),(11,-1),-0.154024 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,11),(11,7),(11,6),0.101426 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,7),(11,5),0.101341 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,7),(11,4),0.102436 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,7),(11,3),-0.144732 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,7),(11,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,7),(11,1),-0.144726 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,7),(11,-1),-0.132032 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,11),(11,6),(11,5),0.101339 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,6),(11,4),0.102436 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,6),(11,3),-0.144732 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,6),(11,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,6),(11,1),-0.144726 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,6),(11,-1),-0.132032 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,11),(11,5),(11,4),0.102436 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,5),(11,3),-0.144732 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,5),(11,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,5),(11,1),-0.144726 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,5),(11,-1),-0.132278 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,11),(11,4),(11,3),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,11),(11,4),(11,2),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,11),(11,4),(11,1),-0.144757 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,11),(11,4),(11,-1),-0.163573 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,11),(11,3),(11,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,3),(11,1),-0.144726 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,3),(11,-1),-0.132032 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,11),(11,2),(11,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,2),(11,-1),-0.175027 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,11),(11,1),(11,-1),-0.13366 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,13),(13,13),(13,33),0.0149956 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,13),(13,13),(13,-1),-0.109898 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,16),(16,16),(16,17),-0.0106362 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,16),(16,16),(16,19),-0.0336625 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,16),(16,16),(16,21),-0.0798625 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,16),(16,16),(16,22),-0.0336625 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,16),(16,16),(16,23),-0.012536 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,16),(16,16),(16,25),-0.0806596 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,16),(16,16),(16,26),-0.0198505 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,16),(16,16),(16,27),-0.0336625 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,16),(16,16),(16,33),0.103708 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,16),(16,17),(16,19),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(4,16),(16,17),(16,21),-0.0194405 # DEPENDENCYPART_GRANDSIBL
