# _root_ The group 's bid for $ 34.2 million of wastewater treatment bonds , Series 1989 B , produced a 7.0808 % true interest cost .
#goldHeads=2,4,2,18,4,5,6,6,6,12,12,9,12,16,16,12,12,0,24,21,24,24,24,18,18,
#predictedHeads=2,4,2,18,4,5,6,6,6,12,12,9,12,16,16,12,12,0,24,21,24,24,24,18,18,
(18,12),(12,24),0.132424 # DEPENDENCYPART_GRANDPAR
(18,12),(12,25),-0.4796 # DEPENDENCYPART_GRANDPAR
(18,14),(14,4),0.0137595 # DEPENDENCYPART_GRANDPAR
(18,14),(14,5),-0.0548182 # DEPENDENCYPART_GRANDPAR
(18,14),(14,6),0.016904 # DEPENDENCYPART_GRANDPAR
(18,14),(14,9),-0.199989 # DEPENDENCYPART_GRANDPAR
(18,14),(14,10),0.454664 # DEPENDENCYPART_GRANDPAR
(18,14),(14,11),0.403163 # DEPENDENCYPART_GRANDPAR
(18,14),(14,12),-0.000799399 # DEPENDENCYPART_GRANDPAR
(18,14),(14,13),0.356915 # DEPENDENCYPART_GRANDPAR
(18,14),(14,15),-0.0908973 # DEPENDENCYPART_GRANDPAR
(18,14),(14,16),0.0259084 # DEPENDENCYPART_GRANDPAR
(18,14),(14,17),0.693278 # DEPENDENCYPART_GRANDPAR
(18,14),(14,18),-0.799651 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,14),(14,19),0.0663421 # DEPENDENCYPART_GRANDPAR
(18,14),(14,20),-0.0208873 # DEPENDENCYPART_GRANDPAR
(18,14),(14,21),0.317686 # DEPENDENCYPART_GRANDPAR
(18,14),(14,22),-0.117433 # DEPENDENCYPART_GRANDPAR
(18,14),(14,24),0.134046 # DEPENDENCYPART_GRANDPAR
(18,14),(14,25),-0.478268 # DEPENDENCYPART_GRANDPAR
(18,15),(15,14),-0.0128343 # DEPENDENCYPART_GRANDPAR
(18,15),(15,16),0.149425 # DEPENDENCYPART_GRANDPAR
(18,15),(15,18),-0.828918 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,15),(15,24),0.00168626 # DEPENDENCYPART_GRANDPAR
(18,16),(16,10),0.455448 # DEPENDENCYPART_GRANDPAR
(18,16),(16,11),0.403946 # DEPENDENCYPART_GRANDPAR
(18,16),(16,12),-1.60452e-05 # DEPENDENCYPART_GRANDPAR
(18,16),(16,13),0.373262 # DEPENDENCYPART_GRANDPAR
(18,16),(16,14),0.12084 # DEPENDENCYPART_GRANDPAR
(18,16),(16,15),0.0945742 # DEPENDENCYPART_GRANDPAR
(18,16),(16,17),0.674484 # DEPENDENCYPART_GRANDPAR
(18,16),(16,18),-0.799542 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,16),(16,20),-0.020837 # DEPENDENCYPART_GRANDPAR
(18,16),(16,21),0.317759 # DEPENDENCYPART_GRANDPAR
(18,16),(16,24),0.13412 # DEPENDENCYPART_GRANDPAR
(18,16),(16,25),-0.478231 # DEPENDENCYPART_GRANDPAR
(18,19),(19,20),0.324327 # DEPENDENCYPART_GRANDPAR
(18,20),(20,19),0.497006 # DEPENDENCYPART_GRANDPAR
(18,20),(20,21),0.501805 # DEPENDENCYPART_GRANDPAR
(18,20),(20,22),0.280555 # DEPENDENCYPART_GRANDPAR
(18,20),(20,23),0.284585 # DEPENDENCYPART_GRANDPAR
(18,20),(20,24),0.377509 # DEPENDENCYPART_GRANDPAR
(18,21),(21,15),-0.35316 # DEPENDENCYPART_GRANDPAR
(18,21),(21,19),0.574223 # DEPENDENCYPART_GRANDPAR
(18,21),(21,20),0.283258 # DEPENDENCYPART_GRANDPAR
(18,21),(21,22),0.259714 # DEPENDENCYPART_GRANDPAR
(18,21),(21,23),0.425004 # DEPENDENCYPART_GRANDPAR
(18,21),(21,24),0.523065 # DEPENDENCYPART_GRANDPAR
(18,21),(21,25),-0.124433 # DEPENDENCYPART_GRANDPAR
(18,22),(22,19),0.323844 # DEPENDENCYPART_GRANDPAR
(18,22),(22,20),0.280558 # DEPENDENCYPART_GRANDPAR
(18,22),(22,21),0.68143 # DEPENDENCYPART_GRANDPAR
(18,22),(22,23),0.353414 # DEPENDENCYPART_GRANDPAR
(18,22),(22,24),0.451352 # DEPENDENCYPART_GRANDPAR
(18,22),(22,25),-0.196673 # DEPENDENCYPART_GRANDPAR
(18,23),(23,19),0.653886 # DEPENDENCYPART_GRANDPAR
(18,23),(23,20),0.283335 # DEPENDENCYPART_GRANDPAR
(18,23),(23,21),0.678935 # DEPENDENCYPART_GRANDPAR
(18,23),(23,22),0.304419 # DEPENDENCYPART_GRANDPAR
(18,23),(23,24),0.565066 # DEPENDENCYPART_GRANDPAR
(18,24),(24,14),-0.249687 # DEPENDENCYPART_GRANDPAR
(18,24),(24,15),-0.35165 # DEPENDENCYPART_GRANDPAR
(18,24),(24,19),0.621397 # DEPENDENCYPART_GRANDPAR
(18,24),(24,20),0.27449 # DEPENDENCYPART_GRANDPAR
(18,24),(24,21),0.673905 # DEPENDENCYPART_GRANDPAR
(18,24),(24,22),0.281594 # DEPENDENCYPART_GRANDPAR
(18,24),(24,23),0.359388 # DEPENDENCYPART_GRANDPAR
(18,24),(24,25),-0.0910569 # DEPENDENCYPART_GRANDPAR
(18,25),(25,24),0.288563 # DEPENDENCYPART_GRANDPAR
(19,20),(20,19),-0.721634 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(19,20),(20,21),0.0101686 # DEPENDENCYPART_GRANDPAR
(19,20),(20,22),0.00164611 # DEPENDENCYPART_GRANDPAR
(19,20),(20,23),-0.126558 # DEPENDENCYPART_GRANDPAR
(19,20),(20,24),-0.108586 # DEPENDENCYPART_GRANDPAR
(20,19),(19,20),-1.2176 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(20,21),(21,15),-0.59009 # DEPENDENCYPART_GRANDPAR
(20,21),(21,19),-0.626853 # DEPENDENCYPART_GRANDPAR
(20,21),(21,20),-0.813032 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(20,21),(21,22),-0.116681 # DEPENDENCYPART_GRANDPAR
(20,21),(21,23),0.0178923 # DEPENDENCYPART_GRANDPAR
(20,21),(21,24),0.0337419 # DEPENDENCYPART_GRANDPAR
(20,21),(21,25),-0.11488 # DEPENDENCYPART_GRANDPAR
(20,22),(22,19),-0.5913 # DEPENDENCYPART_GRANDPAR
(20,22),(22,20),-0.806574 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(20,22),(22,21),0.198563 # DEPENDENCYPART_GRANDPAR
(20,22),(22,23),-0.00101532 # DEPENDENCYPART_GRANDPAR
(20,22),(22,24),0.0112894 # DEPENDENCYPART_GRANDPAR
(20,22),(22,25),-0.145567 # DEPENDENCYPART_GRANDPAR
(20,23),(23,19),-0.626651 # DEPENDENCYPART_GRANDPAR
(20,23),(23,20),-0.803971 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(20,23),(23,21),0.21281 # DEPENDENCYPART_GRANDPAR
(20,23),(23,22),-0.00806767 # DEPENDENCYPART_GRANDPAR
(20,23),(23,24),0.0296728 # DEPENDENCYPART_GRANDPAR
(20,24),(24,14),-0.886873 # DEPENDENCYPART_GRANDPAR
(20,24),(24,15),-0.589869 # DEPENDENCYPART_GRANDPAR
(20,24),(24,19),-0.626651 # DEPENDENCYPART_GRANDPAR
(20,24),(24,20),-0.80189 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(20,24),(24,21),0.217271 # DEPENDENCYPART_GRANDPAR
(20,24),(24,22),-0.0129296 # DEPENDENCYPART_GRANDPAR
(20,24),(24,23),-0.00854041 # DEPENDENCYPART_GRANDPAR
(20,24),(24,25),-0.115558 # DEPENDENCYPART_GRANDPAR
(21,15),(15,14),-0.857423 # DEPENDENCYPART_GRANDPAR
(21,15),(15,16),-0.418853 # DEPENDENCYPART_GRANDPAR
(21,15),(15,18),-0.0915239 # DEPENDENCYPART_GRANDPAR
(21,15),(15,24),-0.254937 # DEPENDENCYPART_GRANDPAR
(21,19),(19,20),0.78691 # DEPENDENCYPART_GRANDPAR
(21,20),(20,19),0.0832723 # DEPENDENCYPART_GRANDPAR
(21,20),(20,21),-1.25289 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(21,20),(20,22),-0.271022 # DEPENDENCYPART_GRANDPAR
(21,20),(20,23),-0.414375 # DEPENDENCYPART_GRANDPAR
(21,20),(20,24),-0.254915 # DEPENDENCYPART_GRANDPAR
(21,22),(22,19),-0.225649 # DEPENDENCYPART_GRANDPAR
(21,22),(22,20),0.342701 # DEPENDENCYPART_GRANDPAR
(21,22),(22,21),-0.745349 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(21,22),(22,23),0.182836 # DEPENDENCYPART_GRANDPAR
(21,22),(22,24),0.336779 # DEPENDENCYPART_GRANDPAR
(21,22),(22,25),-0.0414544 # DEPENDENCYPART_GRANDPAR
(21,23),(23,19),-0.305573 # DEPENDENCYPART_GRANDPAR
(21,23),(23,20),0.286139 # DEPENDENCYPART_GRANDPAR
(21,23),(23,21),-0.648938 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(21,23),(23,22),0.289765 # DEPENDENCYPART_GRANDPAR
(21,23),(23,24),0.311493 # DEPENDENCYPART_GRANDPAR
(21,24),(24,14),-1.23894 # DEPENDENCYPART_GRANDPAR
(21,24),(24,15),-0.599881 # DEPENDENCYPART_GRANDPAR
(21,24),(24,19),-0.305063 # DEPENDENCYPART_GRANDPAR
(21,24),(24,20),0.286637 # DEPENDENCYPART_GRANDPAR
(21,24),(24,21),-0.617627 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(21,24),(24,22),0.307008 # DEPENDENCYPART_GRANDPAR
(21,24),(24,23),0.143353 # DEPENDENCYPART_GRANDPAR
(21,24),(24,25),0.0397713 # DEPENDENCYPART_GRANDPAR
(21,25),(25,24),0.152036 # DEPENDENCYPART_GRANDPAR
(22,19),(19,20),0.23843 # DEPENDENCYPART_GRANDPAR
(22,20),(20,19),0.174276 # DEPENDENCYPART_GRANDPAR
(22,20),(20,21),0.419217 # DEPENDENCYPART_GRANDPAR
(22,20),(20,22),-1.34797 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(22,20),(20,23),-0.140245 # DEPENDENCYPART_GRANDPAR
(22,20),(20,24),-0.363852 # DEPENDENCYPART_GRANDPAR
(22,21),(21,15),0.107983 # DEPENDENCYPART_GRANDPAR
(22,21),(21,19),0.139944 # DEPENDENCYPART_GRANDPAR
(22,21),(21,20),0.284556 # DEPENDENCYPART_GRANDPAR
(22,21),(21,22),-1.36956 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(22,21),(21,23),-0.10701 # DEPENDENCYPART_GRANDPAR
(22,21),(21,24),-0.330563 # DEPENDENCYPART_GRANDPAR
(22,21),(21,25),-0.510298 # DEPENDENCYPART_GRANDPAR
(22,23),(23,19),-0.263432 # DEPENDENCYPART_GRANDPAR
(22,23),(23,20),-0.191341 # DEPENDENCYPART_GRANDPAR
(22,23),(23,21),-0.115553 # DEPENDENCYPART_GRANDPAR
(22,23),(23,22),-0.943436 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(22,23),(23,24),0.0167774 # DEPENDENCYPART_GRANDPAR
(22,24),(24,14),-0.511699 # DEPENDENCYPART_GRANDPAR
(22,24),(24,15),-0.370962 # DEPENDENCYPART_GRANDPAR
(22,24),(24,19),-0.263439 # DEPENDENCYPART_GRANDPAR
(22,24),(24,20),-0.191351 # DEPENDENCYPART_GRANDPAR
(22,24),(24,21),-0.115551 # DEPENDENCYPART_GRANDPAR
(22,24),(24,22),-0.94692 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(22,24),(24,23),0.264358 # DEPENDENCYPART_GRANDPAR
(22,24),(24,25),-0.105716 # DEPENDENCYPART_GRANDPAR
(22,25),(25,24),-0.00282557 # DEPENDENCYPART_GRANDPAR
(23,19),(19,20),0.242248 # DEPENDENCYPART_GRANDPAR
(23,20),(20,19),-0.24796 # DEPENDENCYPART_GRANDPAR
(23,20),(20,21),0.254923 # DEPENDENCYPART_GRANDPAR
(23,20),(20,22),0.17494 # DEPENDENCYPART_GRANDPAR
(23,20),(20,23),-1.20055 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(23,20),(20,24),0.0194252 # DEPENDENCYPART_GRANDPAR
(23,21),(21,15),-0.131702 # DEPENDENCYPART_GRANDPAR
(23,21),(21,19),-0.210679 # DEPENDENCYPART_GRANDPAR
(23,21),(21,20),0.484421 # DEPENDENCYPART_GRANDPAR
(23,21),(21,22),0.245727 # DEPENDENCYPART_GRANDPAR
(23,21),(21,23),-1.2143 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(23,21),(21,24),0.00572866 # DEPENDENCYPART_GRANDPAR
(23,21),(21,25),-0.421362 # DEPENDENCYPART_GRANDPAR
(23,22),(22,19),-0.0964864 # DEPENDENCYPART_GRANDPAR
(23,22),(22,20),0.335913 # DEPENDENCYPART_GRANDPAR
(23,22),(22,21),0.169436 # DEPENDENCYPART_GRANDPAR
(23,22),(22,23),-1.20913 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(23,22),(22,24),0.010844 # DEPENDENCYPART_GRANDPAR
(23,22),(22,25),-0.377512 # DEPENDENCYPART_GRANDPAR
(23,24),(24,14),-1.335 # DEPENDENCYPART_GRANDPAR
(23,24),(24,15),-0.848091 # DEPENDENCYPART_GRANDPAR
(23,24),(24,19),-0.656069 # DEPENDENCYPART_GRANDPAR
(23,24),(24,20),-0.221036 # DEPENDENCYPART_GRANDPAR
(23,24),(24,21),-0.459405 # DEPENDENCYPART_GRANDPAR
(23,24),(24,22),-0.381362 # DEPENDENCYPART_GRANDPAR
(23,24),(24,23),-0.65029 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(23,24),(24,25),0.15016 # DEPENDENCYPART_GRANDPAR
(24,14),(14,4),-0.389957 # DEPENDENCYPART_GRANDPAR
(24,14),(14,5),-0.384644 # DEPENDENCYPART_GRANDPAR
(24,14),(14,6),-0.246734 # DEPENDENCYPART_GRANDPAR
(24,14),(14,9),0.0326113 # DEPENDENCYPART_GRANDPAR
(24,14),(14,10),0.0728458 # DEPENDENCYPART_GRANDPAR
(24,14),(14,11),-0.210332 # DEPENDENCYPART_GRANDPAR
(24,14),(14,12),-0.385521 # DEPENDENCYPART_GRANDPAR
(24,14),(14,13),0.267485 # DEPENDENCYPART_GRANDPAR
(24,14),(14,15),0.0416362 # DEPENDENCYPART_GRANDPAR
(24,14),(14,16),-0.270376 # DEPENDENCYPART_GRANDPAR
(24,14),(14,17),0.0979056 # DEPENDENCYPART_GRANDPAR
(24,14),(14,18),-0.174899 # DEPENDENCYPART_GRANDPAR
(24,14),(14,19),0.447244 # DEPENDENCYPART_GRANDPAR
(24,14),(14,20),0.663906 # DEPENDENCYPART_GRANDPAR
(24,14),(14,21),0.528014 # DEPENDENCYPART_GRANDPAR
(24,14),(14,22),0.416241 # DEPENDENCYPART_GRANDPAR
(24,14),(14,24),-0.916902 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(24,14),(14,25),-0.0716095 # DEPENDENCYPART_GRANDPAR
(24,15),(15,14),-0.43454 # DEPENDENCYPART_GRANDPAR
(24,15),(15,16),-0.194013 # DEPENDENCYPART_GRANDPAR
(24,15),(15,18),-0.236334 # DEPENDENCYPART_GRANDPAR
(24,15),(15,24),-0.905468 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(24,19),(19,20),0.675532 # DEPENDENCYPART_GRANDPAR
(24,20),(20,19),0.043997 # DEPENDENCYPART_GRANDPAR
(24,20),(20,21),0.677128 # DEPENDENCYPART_GRANDPAR
(24,20),(20,22),0.394921 # DEPENDENCYPART_GRANDPAR
(24,20),(20,23),0.410537 # DEPENDENCYPART_GRANDPAR
(24,20),(20,24),-0.905446 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(24,21),(21,15),0.308778 # DEPENDENCYPART_GRANDPAR
(24,21),(21,19),0.0789043 # DEPENDENCYPART_GRANDPAR
(24,21),(21,20),0.91126 # DEPENDENCYPART_GRANDPAR
(24,21),(21,22),0.430951 # DEPENDENCYPART_GRANDPAR
(24,21),(21,23),0.325774 # DEPENDENCYPART_GRANDPAR
(24,21),(21,24),-0.919153 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(24,21),(21,25),-0.0720048 # DEPENDENCYPART_GRANDPAR
(24,22),(22,19),0.185583 # DEPENDENCYPART_GRANDPAR
(24,22),(22,20),0.7538 # DEPENDENCYPART_GRANDPAR
(24,22),(22,21),0.588787 # DEPENDENCYPART_GRANDPAR
(24,22),(22,23),0.28473 # DEPENDENCYPART_GRANDPAR
(24,22),(22,24),-0.914027 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(24,22),(22,25),-0.0281438 # DEPENDENCYPART_GRANDPAR
(24,23),(23,19),0.0110734 # DEPENDENCYPART_GRANDPAR
(24,23),(23,20),0.778458 # DEPENDENCYPART_GRANDPAR
(24,23),(23,21),0.577659 # DEPENDENCYPART_GRANDPAR
(24,23),(23,22),0.264045 # DEPENDENCYPART_GRANDPAR
(24,23),(23,24),-0.917393 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(24,25),(25,24),-0.509146 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(25,24),(24,14),-0.626359 # DEPENDENCYPART_GRANDPAR
(25,24),(24,15),-0.357567 # DEPENDENCYPART_GRANDPAR
(25,24),(24,19),-0.408539 # DEPENDENCYPART_GRANDPAR
(25,24),(24,20),-0.224681 # DEPENDENCYPART_GRANDPAR
(25,24),(24,21),-0.400828 # DEPENDENCYPART_GRANDPAR
(25,24),(24,22),-0.358884 # DEPENDENCYPART_GRANDPAR
(25,24),(24,23),-0.359628 # DEPENDENCYPART_GRANDPAR
(25,24),(24,25),-0.9837 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(0,4),(4,4),(4,5),-0.061027 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,4),(4,4),(4,6),-0.0248223 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,4),(4,4),(4,7),-0.0111794 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,4),(4,4),(4,8),-0.0111796 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,4),(4,4),(4,9),-0.0744118 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,4),(4,4),(4,12),-0.0201686 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,4),(4,4),(4,13),-0.0577805 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,4),(4,4),(4,16),-0.0195895 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,4),(4,4),(4,17),-0.0577805 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,4),(4,4),(4,18),-0.087771 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,4),(4,4),(4,21),-0.0150406 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,4),(4,4),(4,22),-0.0209329 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,4),(4,4),(4,25),0.00810269 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,4),(4,4),(4,26),-0.0458627 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,4),(4,5),(4,6),-0.0194882 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,5),(4,7),-0.0132042 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,5),(4,8),-0.0132042 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,5),(4,9),0.00510867 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,5),(4,12),-0.0188792 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,5),(4,13),-0.00893349 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,5),(4,16),-0.0188792 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,5),(4,17),-0.00893349 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,5),(4,18),-0.0324176 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,5),(4,21),-0.0189364 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,5),(4,22),-0.0111452 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,5),(4,25),0.0101753 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,5),(4,26),-0.0781364 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,6),(4,7),-0.0194416 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,6),(4,8),-0.0194416 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,6),(4,9),-0.0208953 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,6),(4,12),-0.0201349 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,6),(4,13),-0.020132 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,6),(4,16),-0.0201348 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,6),(4,17),-0.020132 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,6),(4,18),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,6),(4,21),-0.0201348 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,6),(4,22),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,6),(4,25),-0.00930208 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,6),(4,26),-0.00954721 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,7),(4,8),-0.023888 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,7),(4,9),-0.00511768 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,7),(4,12),-0.0210238 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,7),(4,13),-0.0203195 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,7),(4,16),-0.0210238 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,7),(4,17),-0.0203195 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,7),(4,18),-0.0195921 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,7),(4,21),-0.0212434 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,7),(4,22),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,7),(4,25),-0.00468477 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,7),(4,26),-0.0160198 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,8),(4,9),-0.00511826 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,8),(4,12),-0.0210279 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,8),(4,13),-0.0203342 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,8),(4,16),-0.0210279 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,8),(4,17),-0.0203342 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,8),(4,18),-0.0195921 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,8),(4,21),-0.0212474 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,8),(4,22),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,8),(4,25),-0.0047011 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,8),(4,26),-0.0129391 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,9),(4,12),-0.0178033 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,9),(4,13),-0.0129632 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,9),(4,16),-0.0178033 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,9),(4,17),-0.0129632 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,9),(4,18),-0.0381507 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,9),(4,21),-0.0178605 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,9),(4,22),-0.00699761 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,9),(4,25),-0.00214577 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,9),(4,26),-0.0834648 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,12),(4,13),-0.0181966 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,12),(4,16),0.00335548 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,12),(4,17),-0.0181966 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,12),(4,18),-0.0264556 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,12),(4,21),0.00275471 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,12),(4,22),-0.0210544 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,12),(4,25),0.0667991 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,12),(4,26),-0.0285068 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,13),(4,16),0.00959156 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,13),(4,17),-0.0203913 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,13),(4,18),-0.0638074 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,13),(4,21),0.00948193 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,13),(4,22),-0.0242403 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,13),(4,25),-0.0384854 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,13),(4,26),-0.039327 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,16),(4,17),-0.0181425 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,16),(4,18),-0.0264556 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,16),(4,21),0.00275471 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,16),(4,22),-0.0210544 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,16),(4,25),0.0668665 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,16),(4,26),-0.0279941 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,17),(4,18),-0.0638074 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,17),(4,21),0.00948193 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,17),(4,22),-0.0242403 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,17),(4,25),-0.0384854 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,17),(4,26),-0.039327 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,18),(4,21),-0.0214105 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,18),(4,22),-0.0195551 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,18),(4,25),-0.136821 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,18),(4,26),-0.034265 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,21),(4,22),-0.0212909 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,21),(4,25),0.0750905 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,21),(4,26),-0.0256034 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,22),(4,25),-0.0128803 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,22),(4,26),-0.0303285 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,25),(4,26),-0.0137353 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,4),(4,3),0.127319 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,4),(4,4),(4,2),0.232544 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,4),(4,4),(4,1),0.181599 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
