# _root_ Now , according to a Kidder World story about Mr. Megargel , all the firm has to do is `` position ourselves more in the deal flow . ''
#goldHeads=19,19,19,3,8,8,8,4,8,11,9,19,19,15,16,13,18,16,0,19,19,21,21,23,27,27,24,19,19,
#predictedHeads=19,19,19,3,8,8,8,4,8,11,9,19,15,15,19,15,18,16,0,19,19,21,24,21,27,27,24,19,19,
(0,16),(16,15),(16,13),0.0729687 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,15),(16,12),0.354838 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,15),(16,11),0.132205 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,15),(16,9),-0.0947457 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,15),(16,8),0.132205 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,15),(16,3),0.170763 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,15),(16,2),0.354838 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,15),(16,1),0.143003 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,15),(16,-1),0.0335179 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,16),(16,14),(16,13),0.115381 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,14),(16,12),0.166253 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,14),(16,11),0.128692 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,14),(16,9),0.0941116 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,14),(16,8),0.128692 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,14),(16,3),0.112082 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,14),(16,2),0.166253 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,14),(16,1),0.106449 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,14),(16,-1),-0.127253 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,16),(16,13),(16,12),0.164664 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,13),(16,11),0.136203 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,13),(16,9),0.0913515 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,13),(16,8),0.136203 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,13),(16,3),0.111899 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,13),(16,2),0.164664 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,13),(16,1),0.10206 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,13),(16,-1),-0.109527 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,16),(16,12),(16,11),0.0920463 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,12),(16,9),0.340753 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,12),(16,8),0.0919511 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,12),(16,3),0.126332 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,12),(16,2),0.0839188 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,12),(16,1),0.201162 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,12),(16,-1),-0.368231 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,16),(16,11),(16,9),-0.094745 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,11),(16,8),0.132955 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,11),(16,3),0.16651 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,11),(16,2),0.357131 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,11),(16,1),0.143003 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,11),(16,-1),0.0296992 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,16),(16,9),(16,8),0.183117 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,9),(16,3),0.106271 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,9),(16,2),0.111198 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,9),(16,1),0.00938052 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,9),(16,-1),-0.235785 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,16),(16,8),(16,3),0.16651 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,8),(16,2),0.356557 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,8),(16,1),0.143003 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,8),(16,-1),0.0347138 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,16),(16,3),(16,2),0.0659096 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,3),(16,1),0.134087 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,3),(16,-1),0.0236748 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,16),(16,2),(16,1),0.201162 # DEPENDENCYPART_GRANDSIBL
(0,16),(16,2),(16,-1),-0.368231 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,16),(16,1),(16,-1),-0.176594 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,18),(18,18),(18,19),-0.113727 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,18),(18,18),(18,20),-0.0808852 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,18),(18,18),(18,21),-0.104274 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,18),(18,18),(18,22),-0.034885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,18),(18,18),(18,23),-0.0211648 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,18),(18,18),(18,24),-0.213287 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,18),(18,18),(18,27),-0.0731989 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,18),(18,18),(18,28),-0.147806 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,18),(18,18),(18,29),-0.0872871 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,18),(18,18),(18,30),-0.240722 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,18),(18,19),(18,20),-0.0123524 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,19),(18,21),-0.0647688 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,19),(18,22),-0.0421115 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,19),(18,23),-0.0119197 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,19),(18,24),0.0375636 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,19),(18,27),0.00897796 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,19),(18,28),-0.0402127 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,19),(18,29),-0.0707922 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,19),(18,30),-0.115246 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,18),(18,20),(18,21),-0.0506611 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,20),(18,22),-0.0419989 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,20),(18,23),-0.0496926 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,20),(18,24),-0.0453867 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,20),(18,27),-0.0488891 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,20),(18,28),-0.0892231 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,20),(18,29),-0.0437315 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,20),(18,30),-0.0334449 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,18),(18,21),(18,22),-0.0421115 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,21),(18,23),-0.0119337 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,21),(18,24),0.0402109 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,21),(18,27),0.00873571 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,21),(18,28),-0.0192722 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,21),(18,29),-0.0695792 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,21),(18,30),-0.115923 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,18),(18,22),(18,23),-0.063067 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,22),(18,24),-0.0393757 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,22),(18,27),-0.0460986 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,22),(18,28),-0.0560775 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,22),(18,29),-0.0454796 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,22),(18,30),-0.0439604 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,18),(18,23),(18,24),-0.0478741 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,23),(18,27),0.00705018 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,23),(18,28),0.0725191 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,23),(18,29),-0.0533316 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,23),(18,30),-0.0663353 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,18),(18,24),(18,27),-0.0323984 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,24),(18,28),0.0768763 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,24),(18,29),-0.0545232 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,24),(18,30),-0.0980681 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,18),(18,27),(18,28),0.028353 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,27),(18,29),-0.0584746 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,27),(18,30),-0.13794 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,18),(18,28),(18,29),0.0568407 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,28),(18,30),0.160444 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,18),(18,29),(18,30),0.0113532 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,18),(18,18),(18,17),-0.121837 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,18),(18,18),(18,16),0.0226448 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,18),(18,18),(18,15),0.284952 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,18),(18,18),(18,14),0.223271 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,18),(18,18),(18,13),0.252952 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,18),(18,18),(18,12),0.12795 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,18),(18,18),(18,11),0.284222 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,18),(18,18),(18,9),0.225112 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,18),(18,18),(18,8),0.288661 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,18),(18,18),(18,2),0.12795 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,18),(18,18),(18,-1),-0.626007 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,18),(18,17),(18,16),0.117608 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,17),(18,15),0.0790052 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,17),(18,14),0.119164 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,17),(18,13),0.119164 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,17),(18,12),0.113712 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,17),(18,11),0.0790052 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,17),(18,9),0.118195 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,17),(18,8),0.0790052 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,17),(18,2),0.113712 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,17),(18,-1),-0.192116 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,18),(18,16),(18,15),0.0899916 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,16),(18,14),0.0765186 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,16),(18,13),0.0762639 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,16),(18,12),0.05303 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,16),(18,11),0.090075 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,16),(18,9),0.128255 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,16),(18,8),0.090075 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,16),(18,2),0.05303 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,16),(18,-1),0.0179297 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,18),(18,15),(18,14),0.077343 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,15),(18,13),0.0781492 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,15),(18,12),0.337072 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,15),(18,11),0.142776 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,15),(18,9),-0.0868506 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,15),(18,8),0.142776 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,15),(18,2),0.337072 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,15),(18,-1),0.0491819 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,18),(18,14),(18,13),0.115456 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,14),(18,12),0.161557 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,14),(18,11),0.131208 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,14),(18,9),0.0949679 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,14),(18,8),0.131208 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,14),(18,2),0.161557 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,14),(18,-1),-0.12402 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,18),(18,13),(18,12),0.159968 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,13),(18,11),0.138719 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,13),(18,9),0.0922078 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,13),(18,8),0.138719 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,13),(18,2),0.159968 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,13),(18,-1),-0.106294 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,18),(18,12),(18,11),0.109692 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,12),(18,9),0.304557 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,12),(18,8),0.109597 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,12),(18,2),0.0839901 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,12),(18,-1),-0.36758 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,18),(18,11),(18,9),-0.0868499 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,11),(18,8),0.143526 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,11),(18,2),0.339365 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,11),(18,-1),0.0453632 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,18),(18,9),(18,8),0.183647 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,9),(18,2),0.106135 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,9),(18,-1),-0.255606 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,18),(18,8),(18,2),0.338791 # DEPENDENCYPART_GRANDSIBL
(0,18),(18,8),(18,-1),0.0503777 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,18),(18,2),(18,-1),-0.36758 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,19),(19,19),(19,20),-0.0750504 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,19),(19,19),(19,21),-0.0983778 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,19),(19,19),(19,23),-0.0186671 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,19),(19,19),(19,24),-0.218451 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,19),(19,19),(19,26),-0.0649811 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,19),(19,19),(19,27),-0.0660525 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,19),(19,19),(19,28),-0.157691 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,19),(19,19),(19,29),-0.0884423 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,19),(19,19),(19,30),-0.240693 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,19),(19,20),(19,21),-0.045564 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,20),(19,23),-0.050573 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,20),(19,24),-0.0471751 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,20),(19,26),-0.0445788 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,20),(19,27),-0.0436611 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,20),(19,28),-0.0903902 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,20),(19,29),-0.0437349 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,20),(19,30),-0.0338091 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,19),(19,21),(19,23),-0.012076 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,21),(19,24),0.0427475 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,21),(19,26),0.00305443 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,21),(19,27),0.00305443 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,21),(19,28),-0.0247991 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,21),(19,29),-0.068942 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,21),(19,30),-0.109357 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,19),(19,23),(19,24),-0.0545551 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,23),(19,26),0.0295979 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,23),(19,27),0.0295979 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,23),(19,28),0.0721703 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,23),(19,29),-0.055085 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,23),(19,30),-0.0665627 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,19),(19,24),(19,26),-0.0371267 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,24),(19,27),-0.0369346 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,24),(19,28),0.0751107 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,24),(19,29),-0.0547002 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,24),(19,30),-0.0986181 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,19),(19,26),(19,27),-0.00967124 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,26),(19,28),0.0630033 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,26),(19,29),-0.050032 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,26),(19,30),-0.14007 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,19),(19,27),(19,28),0.0639728 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,27),(19,29),-0.050032 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,27),(19,30),-0.140151 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,19),(19,28),(19,29),0.0864611 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,28),(19,30),0.152877 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,19),(19,29),(19,30),0.0419089 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,19),(19,19),(19,18),0.0601586 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,19),(19,19),(19,17),-0.116588 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,19),(19,19),(19,16),0.0710161 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,19),(19,19),(19,15),0.244581 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,19),(19,19),(19,14),0.218297 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,19),(19,19),(19,13),0.247979 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,19),(19,19),(19,12),0.143428 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,19),(19,19),(19,11),0.243851 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,19),(19,19),(19,9),0.234025 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,19),(19,19),(19,8),0.24829 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,19),(19,19),(19,3),0.0732943 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,19),(19,19),(19,2),0.143428 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,19),(19,19),(19,1),0.225377 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,19),(19,19),(19,-1),-0.633804 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,19),(19,18),(19,17),0.114392 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,18),(19,16),0.13258 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,18),(19,15),0.0882585 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,18),(19,14),0.0801255 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,18),(19,13),0.0798709 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,18),(19,12),0.0455229 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,18),(19,11),0.0883419 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,18),(19,9),0.137485 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,18),(19,8),0.0883419 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,18),(19,3),0.129916 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,18),(19,2),0.0455229 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,18),(19,1),0.128693 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,18),(19,-1),0.0344261 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,19),(19,17),(19,16),0.117608 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,17),(19,15),0.0823669 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,17),(19,14),0.119164 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,17),(19,13),0.119164 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,17),(19,12),0.113709 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,17),(19,11),0.0823669 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,17),(19,9),0.118195 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,17),(19,8),0.0823669 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,17),(19,3),0.117607 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,17),(19,2),0.113709 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,17),(19,1),0.109963 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,17),(19,-1),-0.190179 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,19),(19,16),(19,15),0.0889148 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,16),(19,14),0.0752024 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,16),(19,13),0.0749477 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,16),(19,12),0.0421661 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,16),(19,11),0.0889981 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,16),(19,9),0.136223 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,16),(19,8),0.0889981 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,16),(19,3),0.129963 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,16),(19,2),0.0421661 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,16),(19,1),0.128158 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,16),(19,-1),0.0316599 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,19),(19,15),(19,14),0.0798725 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,15),(19,13),0.0806787 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,15),(19,12),0.359224 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,15),(19,11),0.138323 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,15),(19,9),-0.106998 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,15),(19,8),0.138323 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,15),(19,3),0.174028 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,15),(19,2),0.359224 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,15),(19,1),0.133494 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,15),(19,-1),0.00222064 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,19),(19,14),(19,13),0.115456 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,14),(19,12),0.16122 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,14),(19,11),0.131195 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,14),(19,9),0.0913599 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,14),(19,8),0.131195 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,14),(19,3),0.111383 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,14),(19,2),0.16122 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,14),(19,1),0.113831 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,14),(19,-1),-0.129099 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,19),(19,13),(19,12),0.159631 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,13),(19,11),0.138706 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,13),(19,9),0.0885998 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,13),(19,8),0.138706 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,13),(19,3),0.111199 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,13),(19,2),0.159631 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,13),(19,1),0.109442 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,13),(19,-1),-0.111374 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,19),(19,12),(19,11),0.128101 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,12),(19,9),0.324223 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,12),(19,8),0.128005 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,12),(19,3),0.106436 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,12),(19,2),0.0824531 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,12),(19,1),0.199656 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,12),(19,-1),-0.365539 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,19),(19,11),(19,9),-0.106997 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,11),(19,8),0.139073 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,11),(19,3),0.169775 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,11),(19,2),0.361517 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,11),(19,1),0.133494 # DEPENDENCYPART_GRANDSIBL
(0,19),(19,11),(19,-1),-0.00159806 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,19),(19,9),(19,8),0.180796 # DEPENDENCYPART_GRANDSIBL
