# _root_ The ordinance , in Moon Township , prohibits locating a group home for the handicapped within a mile of another such facility .
#goldHeads=2,8,8,8,6,4,8,0,8,12,12,9,12,15,13,9,18,16,18,22,22,19,8,
#predictedHeads=2,8,8,8,6,4,8,0,8,12,12,9,12,15,13,15,18,16,18,22,22,19,8,
(2,8),(2,23),0.163538 # DEPENDENCYPART_NEXTSIBL
(2,8),(2,24),-0.844857 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,9),(2,12),-0.783121 # DEPENDENCYPART_NEXTSIBL
(2,9),(2,13),-0.670042 # DEPENDENCYPART_NEXTSIBL
(2,9),(2,16),-0.651891 # DEPENDENCYPART_NEXTSIBL
(2,9),(2,23),-0.00209012 # DEPENDENCYPART_NEXTSIBL
(2,9),(2,24),-0.756147 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,12),(2,13),-0.490151 # DEPENDENCYPART_NEXTSIBL
(2,12),(2,16),-0.569017 # DEPENDENCYPART_NEXTSIBL
(2,12),(2,23),-0.448835 # DEPENDENCYPART_NEXTSIBL
(2,12),(2,24),-0.535538 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,13),(2,16),-0.503492 # DEPENDENCYPART_NEXTSIBL
(2,13),(2,23),-0.343997 # DEPENDENCYPART_NEXTSIBL
(2,13),(2,24),-0.616086 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,16),(2,23),-0.355486 # DEPENDENCYPART_NEXTSIBL
(2,16),(2,24),-0.600261 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,23),(2,24),-1.31856 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,2),(2,1),-0.370444 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,-1),-0.410052 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(2,1),(2,-1),-0.213786 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,3),(3,4),-0.573548 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,24),-0.0838151 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(3,4),(3,24),-1.04343 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,3),(3,-1),-0.180628 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(4,4),(4,5),-0.00449138 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,6),-0.179116 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,7),-1.07887 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,9),-0.260302 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,24),-0.961259 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(4,5),(4,6),-1.32107 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,7),-0.96005 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,9),-1.41869 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,24),-0.634713 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,6),(4,7),-0.287297 # DEPENDENCYPART_NEXTSIBL
(4,6),(4,9),-1.16412 # DEPENDENCYPART_NEXTSIBL
(4,6),(4,24),-0.510931 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,7),(4,9),-0.49869 # DEPENDENCYPART_NEXTSIBL
(4,7),(4,24),-0.427871 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,9),(4,24),-0.776509 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,4),(4,3),-1.08616 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,2),-0.555953 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,-1),-0.147351 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(4,3),(4,2),-0.107504 # DEPENDENCYPART_NEXTSIBL
(4,3),(4,-1),-0.838384 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,2),(4,-1),-0.656845 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,5),(5,6),-0.569459 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,7),-0.883563 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,24),-0.369144 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(5,6),(5,7),-0.143085 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,24),-0.720804 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,7),(5,24),-0.452381 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,5),(5,3),-1.40189 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,-1),-0.411952 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(5,3),(5,-1),-1.11397 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,6),(6,7),-0.884096 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,8),-0.184525 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,9),-0.272973 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,12),-0.423949 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,15),-0.370046 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,18),-0.417081 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,24),-0.371598 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(6,7),(6,8),-0.217169 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,9),-0.368791 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,12),-0.582235 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,15),-0.805532 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,18),-0.917033 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,24),-0.459007 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,8),(6,9),-0.50075 # DEPENDENCYPART_NEXTSIBL
(6,8),(6,12),-0.388979 # DEPENDENCYPART_NEXTSIBL
(6,8),(6,15),-0.349485 # DEPENDENCYPART_NEXTSIBL
(6,8),(6,18),-0.307496 # DEPENDENCYPART_NEXTSIBL
(6,8),(6,24),-0.845794 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,9),(6,12),-0.782128 # DEPENDENCYPART_NEXTSIBL
(6,9),(6,15),-0.692143 # DEPENDENCYPART_NEXTSIBL
(6,9),(6,18),-0.656485 # DEPENDENCYPART_NEXTSIBL
(6,9),(6,24),-0.757084 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,12),(6,15),-0.962733 # DEPENDENCYPART_NEXTSIBL
(6,12),(6,18),-0.928134 # DEPENDENCYPART_NEXTSIBL
(6,12),(6,24),-0.531299 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,15),(6,18),-1.03746 # DEPENDENCYPART_NEXTSIBL
(6,15),(6,24),-0.478067 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,18),(6,24),-0.915763 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,6),(6,5),-0.287685 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,4),-0.39746 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,3),-1.40189 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,2),-0.459366 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,1),-0.370579 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,-1),-0.405557 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(6,5),(6,4),-0.886554 # DEPENDENCYPART_NEXTSIBL
(6,5),(6,3),-1.33955 # DEPENDENCYPART_NEXTSIBL
(6,5),(6,2),-1.38142 # DEPENDENCYPART_NEXTSIBL
(6,5),(6,1),-0.996557 # DEPENDENCYPART_NEXTSIBL
(6,5),(6,-1),-0.822628 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,4),(6,3),-0.489124 # DEPENDENCYPART_NEXTSIBL
(6,4),(6,2),-0.870334 # DEPENDENCYPART_NEXTSIBL
(6,4),(6,1),-1.28803 # DEPENDENCYPART_NEXTSIBL
(6,4),(6,-1),-1.05791 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,3),(6,2),-0.199576 # DEPENDENCYPART_NEXTSIBL
(6,3),(6,1),-0.938164 # DEPENDENCYPART_NEXTSIBL
(6,3),(6,-1),-1.11397 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,2),(6,1),-0.0558295 # DEPENDENCYPART_NEXTSIBL
(6,2),(6,-1),-0.557469 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,1),(6,-1),-0.214189 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,7),(7,24),-0.0838151 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(7,7),(7,4),-0.491638 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,-1),-0.180628 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(7,4),(7,-1),-1.14379 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,8),(8,9),-0.318384 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,10),-1.06713 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,11),-0.38742 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,12),-0.183796 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,13),-0.485649 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,15),-0.147736 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,16),-0.585343 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,18),-0.203456 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,23),-1.37756 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,24),-0.668636 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(8,9),(8,10),-1.01124 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,11),-0.870126 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,12),-0.806385 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,13),-0.792576 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,15),-0.72179 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,16),-0.702635 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,18),-0.689566 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,23),-0.0049114 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,24),-0.704574 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,10),(8,11),-0.720171 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,12),-0.770637 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,13),-0.85459 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,15),-0.765527 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,16),-0.860859 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,18),-0.796105 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,23),-0.953741 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,24),-1.16005 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,11),(8,12),-0.706945 # DEPENDENCYPART_NEXTSIBL
(8,11),(8,13),-0.90256 # DEPENDENCYPART_NEXTSIBL
(8,11),(8,15),-0.954061 # DEPENDENCYPART_NEXTSIBL
(8,11),(8,16),-0.832591 # DEPENDENCYPART_NEXTSIBL
(8,11),(8,18),-0.959356 # DEPENDENCYPART_NEXTSIBL
(8,11),(8,23),-0.709436 # DEPENDENCYPART_NEXTSIBL
(8,11),(8,24),-1.16685 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,12),(8,13),-0.551762 # DEPENDENCYPART_NEXTSIBL
(8,12),(8,15),-0.90275 # DEPENDENCYPART_NEXTSIBL
(8,12),(8,16),-0.54957 # DEPENDENCYPART_NEXTSIBL
(8,12),(8,18),-0.871585 # DEPENDENCYPART_NEXTSIBL
(8,12),(8,23),-0.539629 # DEPENDENCYPART_NEXTSIBL
(8,12),(8,24),-0.514878 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,13),(8,15),-0.84921 # DEPENDENCYPART_NEXTSIBL
(8,13),(8,16),-0.561491 # DEPENDENCYPART_NEXTSIBL
(8,13),(8,18),-0.741773 # DEPENDENCYPART_NEXTSIBL
(8,13),(8,23),-0.448665 # DEPENDENCYPART_NEXTSIBL
(8,13),(8,24),-0.590126 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,15),(8,16),-0.745898 # DEPENDENCYPART_NEXTSIBL
(8,15),(8,18),-0.986922 # DEPENDENCYPART_NEXTSIBL
(8,15),(8,23),-0.62938 # DEPENDENCYPART_NEXTSIBL
(8,15),(8,24),-0.46384 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,16),(8,18),-0.792682 # DEPENDENCYPART_NEXTSIBL
(8,16),(8,23),-0.391713 # DEPENDENCYPART_NEXTSIBL
(8,16),(8,24),-0.498562 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,18),(8,23),-0.583221 # DEPENDENCYPART_NEXTSIBL
(8,18),(8,24),-0.904862 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,23),(8,24),-1.40937 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,8),(8,7),-1.51532 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,6),-0.37471 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,5),-0.183479 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,4),-0.480908 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,3),-1.53107 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,2),-0.357884 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,1),-0.472037 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,-1),-0.62982 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(8,7),(8,6),-0.296214 # DEPENDENCYPART_NEXTSIBL
(8,7),(8,5),-0.604906 # DEPENDENCYPART_NEXTSIBL
(8,7),(8,4),0.00283571 # DEPENDENCYPART_NEXTSIBL
(8,7),(8,3),-1.09716 # DEPENDENCYPART_NEXTSIBL
(8,7),(8,2),-0.744601 # DEPENDENCYPART_NEXTSIBL
(8,7),(8,1),-1.19974 # DEPENDENCYPART_NEXTSIBL
(8,7),(8,-1),-0.764917 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,6),(8,5),-0.636354 # DEPENDENCYPART_NEXTSIBL
(8,6),(8,4),-0.24461 # DEPENDENCYPART_NEXTSIBL
(8,6),(8,3),-0.945656 # DEPENDENCYPART_NEXTSIBL
(8,6),(8,2),-1.0257 # DEPENDENCYPART_NEXTSIBL
(8,6),(8,1),-0.560844 # DEPENDENCYPART_NEXTSIBL
(8,6),(8,-1),-0.946818 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,5),(8,4),-0.835197 # DEPENDENCYPART_NEXTSIBL
(8,5),(8,3),-1.3029 # DEPENDENCYPART_NEXTSIBL
(8,5),(8,2),-1.67286 # DEPENDENCYPART_NEXTSIBL
(8,5),(8,1),-1.2658 # DEPENDENCYPART_NEXTSIBL
(8,5),(8,-1),-1.05259 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,4),(8,3),-0.340069 # DEPENDENCYPART_NEXTSIBL
(8,4),(8,2),-0.852474 # DEPENDENCYPART_NEXTSIBL
(8,4),(8,1),-1.38584 # DEPENDENCYPART_NEXTSIBL
(8,4),(8,-1),-1.1083 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,3),(8,2),-0.240336 # DEPENDENCYPART_NEXTSIBL
(8,3),(8,1),-1.06435 # DEPENDENCYPART_NEXTSIBL
(8,3),(8,-1),-1.01916 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,2),(8,1),-0.324878 # DEPENDENCYPART_NEXTSIBL
(8,2),(8,-1),-0.783378 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,1),(8,-1),-0.705924 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,9),(9,10),-1.06713 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,11),-0.38311 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,12),-0.179487 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,13),-0.485908 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,15),-0.143427 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,16),-0.585602 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,18),-0.199146 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,19),-0.329607 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,22),-0.396502 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,23),-1.37756 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,24),-0.672489 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(9,10),(9,11),-0.718735 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,12),-0.769201 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,13),-0.854849 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,15),-0.76409 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,16),-0.861118 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,18),-0.794668 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,19),-0.923217 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,22),-1.00838 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,23),-0.953741 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,24),-1.16005 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,11),(9,12),-0.704072 # DEPENDENCYPART_NEXTSIBL
(9,11),(9,13),-0.901641 # DEPENDENCYPART_NEXTSIBL
(9,11),(9,15),-0.951188 # DEPENDENCYPART_NEXTSIBL
(9,11),(9,16),-0.831673 # DEPENDENCYPART_NEXTSIBL
(9,11),(9,18),-0.956483 # DEPENDENCYPART_NEXTSIBL
(9,11),(9,19),-0.994067 # DEPENDENCYPART_NEXTSIBL
(9,11),(9,22),-1.09896 # DEPENDENCYPART_NEXTSIBL
(9,11),(9,23),-0.707999 # DEPENDENCYPART_NEXTSIBL
(9,11),(9,24),-1.16023 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,12),(9,13),-0.550844 # DEPENDENCYPART_NEXTSIBL
(9,12),(9,15),-0.899877 # DEPENDENCYPART_NEXTSIBL
(9,12),(9,16),-0.548652 # DEPENDENCYPART_NEXTSIBL
(9,12),(9,18),-0.868712 # DEPENDENCYPART_NEXTSIBL
(9,12),(9,19),-0.697913 # DEPENDENCYPART_NEXTSIBL
(9,12),(9,22),-1.09122 # DEPENDENCYPART_NEXTSIBL
(9,12),(9,23),-0.538193 # DEPENDENCYPART_NEXTSIBL
(9,12),(9,24),-0.508256 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,13),(9,15),-0.848032 # DEPENDENCYPART_NEXTSIBL
(9,13),(9,16),-0.562009 # DEPENDENCYPART_NEXTSIBL
(9,13),(9,18),-0.740596 # DEPENDENCYPART_NEXTSIBL
(9,13),(9,19),-0.676992 # DEPENDENCYPART_NEXTSIBL
(9,13),(9,22),-0.653027 # DEPENDENCYPART_NEXTSIBL
(9,13),(9,23),-0.448924 # DEPENDENCYPART_NEXTSIBL
(9,13),(9,24),-0.590904 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,15),(9,16),-0.74498 # DEPENDENCYPART_NEXTSIBL
(9,15),(9,18),-0.984049 # DEPENDENCYPART_NEXTSIBL
(9,15),(9,19),-0.798514 # DEPENDENCYPART_NEXTSIBL
(9,15),(9,22),-1.15359 # DEPENDENCYPART_NEXTSIBL
(9,15),(9,23),-0.627944 # DEPENDENCYPART_NEXTSIBL
(9,15),(9,24),-0.457218 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,16),(9,18),-0.791505 # DEPENDENCYPART_NEXTSIBL
(9,16),(9,19),-0.587899 # DEPENDENCYPART_NEXTSIBL
(9,16),(9,22),-0.676883 # DEPENDENCYPART_NEXTSIBL
(9,16),(9,23),-0.391972 # DEPENDENCYPART_NEXTSIBL
(9,16),(9,24),-0.499339 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,18),(9,19),-0.709048 # DEPENDENCYPART_NEXTSIBL
(9,18),(9,22),-1.04351 # DEPENDENCYPART_NEXTSIBL
(9,18),(9,23),-0.581785 # DEPENDENCYPART_NEXTSIBL
(9,18),(9,24),-0.89824 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,19),(9,22),-0.789383 # DEPENDENCYPART_NEXTSIBL
(9,19),(9,23),-0.504894 # DEPENDENCYPART_NEXTSIBL
(9,19),(9,24),-0.449125 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,22),(9,23),-0.580609 # DEPENDENCYPART_NEXTSIBL
(9,22),(9,24),-0.278124 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,23),(9,24),-1.40937 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,9),(9,8),-0.293677 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,7),-1.51532 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,4),-0.480912 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,2),-0.357884 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,-1),-0.629813 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(9,8),(9,7),-0.635283 # DEPENDENCYPART_NEXTSIBL
(9,8),(9,4),-1.03052 # DEPENDENCYPART_NEXTSIBL
(9,8),(9,2),-0.855911 # DEPENDENCYPART_NEXTSIBL
(9,8),(9,-1),-1.01298 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,7),(9,4),0.00283421 # DEPENDENCYPART_NEXTSIBL
(9,7),(9,2),-0.744601 # DEPENDENCYPART_NEXTSIBL
(9,7),(9,-1),-0.764917 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,4),(9,2),-0.852476 # DEPENDENCYPART_NEXTSIBL
(9,4),(9,-1),-1.1083 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,2),(9,-1),-0.783378 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,10),(10,11),-0.551849 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,13),-0.394746 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,24),-0.184228 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(10,11),(10,13),-0.891655 # DEPENDENCYPART_NEXTSIBL
(10,11),(10,24),-1.1905 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,13),(10,24),-0.71859 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,10),(10,-1),-0.25888 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(11,11),(11,12),-0.416891 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,13),-0.263028 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,15),-0.362988 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,16),-0.520394 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,18),-0.410023 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,19),-0.0344886 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,23),-1.02572 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,24),-0.332501 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(11,12),(11,13),-0.512437 # DEPENDENCYPART_NEXTSIBL
(11,12),(11,15),-0.96105 # DEPENDENCYPART_NEXTSIBL
(11,12),(11,16),-0.577781 # DEPENDENCYPART_NEXTSIBL
(11,12),(11,18),-0.926451 # DEPENDENCYPART_NEXTSIBL
(11,12),(11,19),-0.569371 # DEPENDENCYPART_NEXTSIBL
(11,12),(11,23),-0.449746 # DEPENDENCYPART_NEXTSIBL
(11,12),(11,24),-0.535542 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,13),(11,15),-0.836003 # DEPENDENCYPART_NEXTSIBL
(11,13),(11,16),-0.526924 # DEPENDENCYPART_NEXTSIBL
(11,13),(11,18),-0.725132 # DEPENDENCYPART_NEXTSIBL
(11,13),(11,19),-0.5109 # DEPENDENCYPART_NEXTSIBL
(11,13),(11,23),-0.364268 # DEPENDENCYPART_NEXTSIBL
(11,13),(11,24),-0.660844 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,15),(11,16),-0.769823 # DEPENDENCYPART_NEXTSIBL
(11,15),(11,18),-1.03578 # DEPENDENCYPART_NEXTSIBL
(11,15),(11,19),-0.665687 # DEPENDENCYPART_NEXTSIBL
(11,15),(11,23),-0.534335 # DEPENDENCYPART_NEXTSIBL
(11,15),(11,24),-0.48231 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,16),(11,18),-0.81768 # DEPENDENCYPART_NEXTSIBL
(11,16),(11,19),-0.515781 # DEPENDENCYPART_NEXTSIBL
(11,16),(11,23),-0.365696 # DEPENDENCYPART_NEXTSIBL
(11,16),(11,24),-0.625933 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,18),(11,19),-0.5693 # DEPENDENCYPART_NEXTSIBL
(11,18),(11,23),-0.484734 # DEPENDENCYPART_NEXTSIBL
(11,18),(11,24),-0.920005 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,19),(11,23),-0.428368 # DEPENDENCYPART_NEXTSIBL
(11,19),(11,24),-0.373943 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,23),(11,24),-1.32628 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,11),(11,10),-0.763818 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,7),-1.38413 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,-1),-0.438748 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(11,10),(11,7),-1.09031 # DEPENDENCYPART_NEXTSIBL
(11,10),(11,-1),-0.415994 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,7),(11,-1),-0.85909 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,12),(12,13),-0.219375 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,15),-0.382212 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,16),-0.487999 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,18),-0.429247 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,19),-0.000263885 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,22),-0.629034 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,23),-1.02228 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,24),-0.33864 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
