# _root_ Ms. Johnson tells them that , if the appliances ca n't be salvaged , their policy covers the replacement cost .
#goldHeads=2,3,0,3,17,17,10,9,10,17,10,10,12,17,16,17,3,20,20,17,3,
#predictedHeads=2,3,0,3,10,10,10,9,10,3,10,10,12,17,16,17,13,20,20,17,3,
(9,20),(20,15),-0.0729709 # DEPENDENCYPART_GRANDPAR
(9,20),(20,16),0.010217 # DEPENDENCYPART_GRANDPAR
(9,20),(20,18),0.187202 # DEPENDENCYPART_GRANDPAR
(9,20),(20,19),-0.302652 # DEPENDENCYPART_GRANDPAR
(9,20),(20,21),-0.473202 # DEPENDENCYPART_GRANDPAR
(10,1),(1,2),-0.0615087 # DEPENDENCYPART_GRANDPAR
(10,1),(1,3),0.523567 # DEPENDENCYPART_GRANDPAR
(10,1),(1,4),0.125017 # DEPENDENCYPART_GRANDPAR
(10,1),(1,5),0.160402 # DEPENDENCYPART_GRANDPAR
(10,1),(1,10),-0.949729 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(10,1),(1,14),-0.288116 # DEPENDENCYPART_GRANDPAR
(10,1),(1,21),-0.737494 # DEPENDENCYPART_GRANDPAR
(10,2),(2,1),0.109052 # DEPENDENCYPART_GRANDPAR
(10,2),(2,3),0.523322 # DEPENDENCYPART_GRANDPAR
(10,2),(2,4),0.130736 # DEPENDENCYPART_GRANDPAR
(10,2),(2,5),0.160376 # DEPENDENCYPART_GRANDPAR
(10,2),(2,6),0.511075 # DEPENDENCYPART_GRANDPAR
(10,2),(2,9),0.242815 # DEPENDENCYPART_GRANDPAR
(10,2),(2,10),-0.949729 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(10,2),(2,14),-0.288283 # DEPENDENCYPART_GRANDPAR
(10,2),(2,17),-0.301242 # DEPENDENCYPART_GRANDPAR
(10,2),(2,20),-0.480818 # DEPENDENCYPART_GRANDPAR
(10,2),(2,21),-0.737494 # DEPENDENCYPART_GRANDPAR
(10,3),(3,1),0.152775 # DEPENDENCYPART_GRANDPAR
(10,3),(3,2),0.112664 # DEPENDENCYPART_GRANDPAR
(10,3),(3,4),-0.00963173 # DEPENDENCYPART_GRANDPAR
(10,3),(3,5),0.0836626 # DEPENDENCYPART_GRANDPAR
(10,3),(3,6),0.316458 # DEPENDENCYPART_GRANDPAR
(10,3),(3,7),0.517151 # DEPENDENCYPART_GRANDPAR
(10,3),(3,9),0.0624226 # DEPENDENCYPART_GRANDPAR
(10,3),(3,10),-0.913769 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(10,3),(3,11),0.140634 # DEPENDENCYPART_GRANDPAR
(10,3),(3,12),0.0817277 # DEPENDENCYPART_GRANDPAR
(10,3),(3,13),-0.0399641 # DEPENDENCYPART_GRANDPAR
(10,3),(3,14),-0.206179 # DEPENDENCYPART_GRANDPAR
(10,3),(3,16),-0.410619 # DEPENDENCYPART_GRANDPAR
(10,3),(3,17),-0.288924 # DEPENDENCYPART_GRANDPAR
(10,3),(3,21),-0.69905 # DEPENDENCYPART_GRANDPAR
(10,5),(5,6),0.299219 # DEPENDENCYPART_GRANDPAR
(10,5),(5,7),0.592917 # DEPENDENCYPART_GRANDPAR
(10,5),(5,9),0.0725882 # DEPENDENCYPART_GRANDPAR
(10,5),(5,10),-0.991529 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(10,7),(7,5),0.272694 # DEPENDENCYPART_GRANDPAR
(10,7),(7,6),0.379518 # DEPENDENCYPART_GRANDPAR
(10,7),(7,8),0.398361 # DEPENDENCYPART_GRANDPAR
(10,7),(7,9),0.0747925 # DEPENDENCYPART_GRANDPAR
(10,7),(7,10),-0.991529 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(10,7),(7,11),0.0698724 # DEPENDENCYPART_GRANDPAR
(10,7),(7,12),0.0424273 # DEPENDENCYPART_GRANDPAR
(10,7),(7,16),-0.494952 # DEPENDENCYPART_GRANDPAR
(10,7),(7,17),-0.331504 # DEPENDENCYPART_GRANDPAR
(10,8),(8,7),0.818931 # DEPENDENCYPART_GRANDPAR
(10,8),(8,10),-0.989157 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(10,8),(8,13),-0.0809837 # DEPENDENCYPART_GRANDPAR
(10,9),(9,5),0.241892 # DEPENDENCYPART_GRANDPAR
(10,9),(9,6),0.431262 # DEPENDENCYPART_GRANDPAR
(10,9),(9,7),0.760297 # DEPENDENCYPART_GRANDPAR
(10,9),(9,8),0.644448 # DEPENDENCYPART_GRANDPAR
(10,9),(9,10),-0.949729 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(10,9),(9,11),0.112579 # DEPENDENCYPART_GRANDPAR
(10,9),(9,12),0.0709475 # DEPENDENCYPART_GRANDPAR
(10,9),(9,13),-0.0521147 # DEPENDENCYPART_GRANDPAR
(10,9),(9,14),-0.288116 # DEPENDENCYPART_GRANDPAR
(10,9),(9,16),-0.350614 # DEPENDENCYPART_GRANDPAR
(10,9),(9,17),-0.301149 # DEPENDENCYPART_GRANDPAR
(10,9),(9,20),-0.480818 # DEPENDENCYPART_GRANDPAR
(10,11),(11,2),-0.438283 # DEPENDENCYPART_GRANDPAR
(10,11),(11,7),0.318364 # DEPENDENCYPART_GRANDPAR
(10,11),(11,9),-0.134977 # DEPENDENCYPART_GRANDPAR
(10,11),(11,12),0.442507 # DEPENDENCYPART_GRANDPAR
(10,11),(11,13),0.298081 # DEPENDENCYPART_GRANDPAR
(10,11),(11,16),-0.109851 # DEPENDENCYPART_GRANDPAR
(10,11),(11,17),0.0476342 # DEPENDENCYPART_GRANDPAR
(10,12),(12,2),-0.384729 # DEPENDENCYPART_GRANDPAR
(10,12),(12,3),-0.00273921 # DEPENDENCYPART_GRANDPAR
(10,12),(12,5),-0.0160133 # DEPENDENCYPART_GRANDPAR
(10,12),(12,6),-0.00475333 # DEPENDENCYPART_GRANDPAR
(10,12),(12,7),0.329356 # DEPENDENCYPART_GRANDPAR
(10,12),(12,8),0.180455 # DEPENDENCYPART_GRANDPAR
(10,12),(12,9),-0.0813501 # DEPENDENCYPART_GRANDPAR
(10,12),(12,10),-0.767369 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(10,12),(12,11),0.309496 # DEPENDENCYPART_GRANDPAR
(10,12),(12,13),0.488067 # DEPENDENCYPART_GRANDPAR
(10,12),(12,14),0.309728 # DEPENDENCYPART_GRANDPAR
(10,12),(12,16),0.108436 # DEPENDENCYPART_GRANDPAR
(10,12),(12,17),0.241534 # DEPENDENCYPART_GRANDPAR
(10,12),(12,20),-0.0374173 # DEPENDENCYPART_GRANDPAR
(10,12),(12,21),-0.305969 # DEPENDENCYPART_GRANDPAR
(10,13),(13,2),-0.37287 # DEPENDENCYPART_GRANDPAR
(10,13),(13,5),0.0196615 # DEPENDENCYPART_GRANDPAR
(10,13),(13,6),0.0139195 # DEPENDENCYPART_GRANDPAR
(10,13),(13,7),0.354811 # DEPENDENCYPART_GRANDPAR
(10,13),(13,9),-0.0694916 # DEPENDENCYPART_GRANDPAR
(10,13),(13,11),0.329458 # DEPENDENCYPART_GRANDPAR
(10,13),(13,14),0.266843 # DEPENDENCYPART_GRANDPAR
(10,13),(13,16),0.0751476 # DEPENDENCYPART_GRANDPAR
(10,13),(13,17),0.167667 # DEPENDENCYPART_GRANDPAR
(10,13),(13,20),-0.0639979 # DEPENDENCYPART_GRANDPAR
(10,13),(13,21),-0.339124 # DEPENDENCYPART_GRANDPAR
(10,17),(17,1),-0.333214 # DEPENDENCYPART_GRANDPAR
(10,17),(17,2),-0.372882 # DEPENDENCYPART_GRANDPAR
(10,17),(17,3),0.0160325 # DEPENDENCYPART_GRANDPAR
(10,17),(17,5),0.0196615 # DEPENDENCYPART_GRANDPAR
(10,17),(17,6),0.0139195 # DEPENDENCYPART_GRANDPAR
(10,17),(17,7),0.354811 # DEPENDENCYPART_GRANDPAR
(10,17),(17,9),-0.0695033 # DEPENDENCYPART_GRANDPAR
(10,17),(17,10),-0.745952 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(10,17),(17,11),0.328274 # DEPENDENCYPART_GRANDPAR
(10,17),(17,12),0.361957 # DEPENDENCYPART_GRANDPAR
(10,17),(17,13),0.24315 # DEPENDENCYPART_GRANDPAR
(10,17),(17,14),0.0804642 # DEPENDENCYPART_GRANDPAR
(10,17),(17,16),-0.264034 # DEPENDENCYPART_GRANDPAR
(10,17),(17,18),-0.014277 # DEPENDENCYPART_GRANDPAR
(10,17),(17,19),0.0237058 # DEPENDENCYPART_GRANDPAR
(10,17),(17,20),-0.0640467 # DEPENDENCYPART_GRANDPAR
(10,17),(17,21),-0.33471 # DEPENDENCYPART_GRANDPAR
(10,21),(21,20),-0.333545 # DEPENDENCYPART_GRANDPAR
(11,2),(2,1),-0.36492 # DEPENDENCYPART_GRANDPAR
(11,2),(2,3),-0.266066 # DEPENDENCYPART_GRANDPAR
(11,2),(2,4),-0.30724 # DEPENDENCYPART_GRANDPAR
(11,2),(2,5),-0.201598 # DEPENDENCYPART_GRANDPAR
(11,2),(2,6),-0.360826 # DEPENDENCYPART_GRANDPAR
(11,2),(2,9),-0.221934 # DEPENDENCYPART_GRANDPAR
(11,2),(2,10),-0.179854 # DEPENDENCYPART_GRANDPAR
(11,2),(2,14),-0.727481 # DEPENDENCYPART_GRANDPAR
(11,2),(2,17),-0.886785 # DEPENDENCYPART_GRANDPAR
(11,2),(2,20),-1.09043 # DEPENDENCYPART_GRANDPAR
(11,2),(2,21),-1.05156 # DEPENDENCYPART_GRANDPAR
(11,7),(7,5),-0.252726 # DEPENDENCYPART_GRANDPAR
(11,7),(7,6),-0.393942 # DEPENDENCYPART_GRANDPAR
(11,7),(7,8),-0.338639 # DEPENDENCYPART_GRANDPAR
(11,7),(7,9),-0.372483 # DEPENDENCYPART_GRANDPAR
(11,7),(7,10),-0.235757 # DEPENDENCYPART_GRANDPAR
(11,7),(7,11),-1.45186 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(11,7),(7,12),-0.490078 # DEPENDENCYPART_GRANDPAR
(11,7),(7,16),-0.872298 # DEPENDENCYPART_GRANDPAR
(11,7),(7,17),-0.864923 # DEPENDENCYPART_GRANDPAR
(11,9),(9,5),-0.295415 # DEPENDENCYPART_GRANDPAR
(11,9),(9,6),-0.393126 # DEPENDENCYPART_GRANDPAR
(11,9),(9,7),-0.221634 # DEPENDENCYPART_GRANDPAR
(11,9),(9,8),-0.27633 # DEPENDENCYPART_GRANDPAR
(11,9),(9,10),-0.177235 # DEPENDENCYPART_GRANDPAR
(11,9),(9,11),-1.45626 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(11,9),(9,12),-0.512872 # DEPENDENCYPART_GRANDPAR
(11,9),(9,13),-0.745172 # DEPENDENCYPART_GRANDPAR
(11,9),(9,14),-0.727314 # DEPENDENCYPART_GRANDPAR
(11,9),(9,16),-0.803429 # DEPENDENCYPART_GRANDPAR
(11,9),(9,17),-0.886691 # DEPENDENCYPART_GRANDPAR
(11,9),(9,20),-1.09043 # DEPENDENCYPART_GRANDPAR
(11,12),(12,2),-0.862594 # DEPENDENCYPART_GRANDPAR
(11,12),(12,3),-0.812733 # DEPENDENCYPART_GRANDPAR
(11,12),(12,5),-0.590564 # DEPENDENCYPART_GRANDPAR
(11,12),(12,6),-0.818959 # DEPENDENCYPART_GRANDPAR
(11,12),(12,7),-0.588956 # DEPENDENCYPART_GRANDPAR
(11,12),(12,8),-0.690484 # DEPENDENCYPART_GRANDPAR
(11,12),(12,9),-0.726063 # DEPENDENCYPART_GRANDPAR
(11,12),(12,10),-0.609057 # DEPENDENCYPART_GRANDPAR
(11,12),(12,11),-1.00454 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(11,12),(12,13),-0.363288 # DEPENDENCYPART_GRANDPAR
(11,12),(12,14),-0.312653 # DEPENDENCYPART_GRANDPAR
(11,12),(12,16),-0.478575 # DEPENDENCYPART_GRANDPAR
(11,12),(12,17),-0.502314 # DEPENDENCYPART_GRANDPAR
(11,12),(12,20),-0.766755 # DEPENDENCYPART_GRANDPAR
(11,12),(12,21),-0.72182 # DEPENDENCYPART_GRANDPAR
(11,13),(13,2),-0.870351 # DEPENDENCYPART_GRANDPAR
(11,13),(13,5),-0.582347 # DEPENDENCYPART_GRANDPAR
(11,13),(13,6),-0.818825 # DEPENDENCYPART_GRANDPAR
(11,13),(13,7),-0.586812 # DEPENDENCYPART_GRANDPAR
(11,13),(13,9),-0.733821 # DEPENDENCYPART_GRANDPAR
(11,13),(13,11),-1.0246 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(11,13),(13,14),-0.326913 # DEPENDENCYPART_GRANDPAR
(11,13),(13,16),-0.484372 # DEPENDENCYPART_GRANDPAR
(11,13),(13,17),-0.549556 # DEPENDENCYPART_GRANDPAR
(11,13),(13,20),-0.769191 # DEPENDENCYPART_GRANDPAR
(11,13),(13,21),-0.72514 # DEPENDENCYPART_GRANDPAR
(11,16),(16,8),-0.730124 # DEPENDENCYPART_GRANDPAR
(11,16),(16,12),0.00545355 # DEPENDENCYPART_GRANDPAR
(11,16),(16,13),-0.220594 # DEPENDENCYPART_GRANDPAR
(11,16),(16,14),-0.228542 # DEPENDENCYPART_GRANDPAR
(11,16),(16,15),-0.283391 # DEPENDENCYPART_GRANDPAR
(11,16),(16,17),-0.466147 # DEPENDENCYPART_GRANDPAR
(11,16),(16,20),-0.705205 # DEPENDENCYPART_GRANDPAR
(11,16),(16,21),-0.61595 # DEPENDENCYPART_GRANDPAR
(11,17),(17,1),-0.848334 # DEPENDENCYPART_GRANDPAR
(11,17),(17,2),-0.870363 # DEPENDENCYPART_GRANDPAR
(11,17),(17,3),-0.812466 # DEPENDENCYPART_GRANDPAR
(11,17),(17,5),-0.582347 # DEPENDENCYPART_GRANDPAR
(11,17),(17,6),-0.818825 # DEPENDENCYPART_GRANDPAR
(11,17),(17,7),-0.586812 # DEPENDENCYPART_GRANDPAR
(11,17),(17,9),-0.733832 # DEPENDENCYPART_GRANDPAR
(11,17),(17,10),-0.608922 # DEPENDENCYPART_GRANDPAR
(11,17),(17,11),-1.02877 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(11,17),(17,12),-0.0177053 # DEPENDENCYPART_GRANDPAR
(11,17),(17,13),-0.25274 # DEPENDENCYPART_GRANDPAR
(11,17),(17,14),-0.247516 # DEPENDENCYPART_GRANDPAR
(11,17),(17,16),-0.350439 # DEPENDENCYPART_GRANDPAR
(11,17),(17,18),-0.525922 # DEPENDENCYPART_GRANDPAR
(11,17),(17,19),-0.67381 # DEPENDENCYPART_GRANDPAR
(11,17),(17,20),-0.76924 # DEPENDENCYPART_GRANDPAR
(11,17),(17,21),-0.720727 # DEPENDENCYPART_GRANDPAR
(12,2),(2,1),-0.0970066 # DEPENDENCYPART_GRANDPAR
(12,2),(2,3),0.260387 # DEPENDENCYPART_GRANDPAR
(12,2),(2,4),-0.215289 # DEPENDENCYPART_GRANDPAR
(12,2),(2,5),-0.12858 # DEPENDENCYPART_GRANDPAR
(12,2),(2,6),0.0264645 # DEPENDENCYPART_GRANDPAR
(12,2),(2,9),-0.15206 # DEPENDENCYPART_GRANDPAR
(12,2),(2,10),3.1883e-05 # DEPENDENCYPART_GRANDPAR
(12,2),(2,14),-0.276152 # DEPENDENCYPART_GRANDPAR
(12,2),(2,17),-0.239727 # DEPENDENCYPART_GRANDPAR
(12,2),(2,20),-0.447063 # DEPENDENCYPART_GRANDPAR
(12,2),(2,21),-0.709168 # DEPENDENCYPART_GRANDPAR
(12,3),(3,1),-0.0907026 # DEPENDENCYPART_GRANDPAR
(12,3),(3,2),-0.369076 # DEPENDENCYPART_GRANDPAR
(12,3),(3,4),-0.234943 # DEPENDENCYPART_GRANDPAR
(12,3),(3,5),0.0572494 # DEPENDENCYPART_GRANDPAR
(12,3),(3,6),-0.113941 # DEPENDENCYPART_GRANDPAR
(12,3),(3,7),0.368695 # DEPENDENCYPART_GRANDPAR
(12,3),(3,9),-0.232238 # DEPENDENCYPART_GRANDPAR
(12,3),(3,10),-0.0947841 # DEPENDENCYPART_GRANDPAR
(12,3),(3,11),0.0926992 # DEPENDENCYPART_GRANDPAR
(12,3),(3,12),-0.999067 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(12,3),(3,13),0.105007 # DEPENDENCYPART_GRANDPAR
(12,3),(3,14),-0.228799 # DEPENDENCYPART_GRANDPAR
(12,3),(3,16),-0.598754 # DEPENDENCYPART_GRANDPAR
(12,3),(3,17),-0.288529 # DEPENDENCYPART_GRANDPAR
(12,3),(3,21),-0.73124 # DEPENDENCYPART_GRANDPAR
(12,5),(5,6),-0.166508 # DEPENDENCYPART_GRANDPAR
(12,5),(5,7),0.282686 # DEPENDENCYPART_GRANDPAR
(12,5),(5,9),-0.28745 # DEPENDENCYPART_GRANDPAR
(12,5),(5,10),-0.072049 # DEPENDENCYPART_GRANDPAR
(12,7),(7,5),-0.00236124 # DEPENDENCYPART_GRANDPAR
(12,7),(7,6),0.000935264 # DEPENDENCYPART_GRANDPAR
(12,7),(7,8),0.0907389 # DEPENDENCYPART_GRANDPAR
(12,7),(7,9),-0.265908 # DEPENDENCYPART_GRANDPAR
(12,7),(7,10),-0.050457 # DEPENDENCYPART_GRANDPAR
(12,7),(7,11),0.113949 # DEPENDENCYPART_GRANDPAR
(12,7),(7,12),-0.965363 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(12,7),(7,16),-0.612857 # DEPENDENCYPART_GRANDPAR
(12,7),(7,17),-0.25944 # DEPENDENCYPART_GRANDPAR
(12,8),(8,7),0.295361 # DEPENDENCYPART_GRANDPAR
(12,8),(8,10),0.0181631 # DEPENDENCYPART_GRANDPAR
(12,8),(8,13),0.125535 # DEPENDENCYPART_GRANDPAR
(12,9),(9,5),-0.0563981 # DEPENDENCYPART_GRANDPAR
(12,9),(9,6),0.00546136 # DEPENDENCYPART_GRANDPAR
(12,9),(9,7),0.243786 # DEPENDENCYPART_GRANDPAR
(12,9),(9,8),0.262578 # DEPENDENCYPART_GRANDPAR
(12,9),(9,10),-0.00412096 # DEPENDENCYPART_GRANDPAR
(12,9),(9,11),0.109017 # DEPENDENCYPART_GRANDPAR
(12,9),(9,12),-0.947102 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(12,9),(9,13),0.154323 # DEPENDENCYPART_GRANDPAR
(12,9),(9,14),-0.275637 # DEPENDENCYPART_GRANDPAR
(12,9),(9,16),-0.444832 # DEPENDENCYPART_GRANDPAR
(12,9),(9,17),-0.239361 # DEPENDENCYPART_GRANDPAR
(12,9),(9,20),-0.446883 # DEPENDENCYPART_GRANDPAR
(12,10),(10,1),-0.106189 # DEPENDENCYPART_GRANDPAR
(12,10),(10,2),-0.382673 # DEPENDENCYPART_GRANDPAR
(12,10),(10,3),0.172032 # DEPENDENCYPART_GRANDPAR
(12,10),(10,5),0.0911393 # DEPENDENCYPART_GRANDPAR
(12,10),(10,6),0.0660532 # DEPENDENCYPART_GRANDPAR
(12,10),(10,7),0.448337 # DEPENDENCYPART_GRANDPAR
(12,10),(10,8),0.260772 # DEPENDENCYPART_GRANDPAR
(12,10),(10,9),-0.0119095 # DEPENDENCYPART_GRANDPAR
(12,10),(10,11),0.203756 # DEPENDENCYPART_GRANDPAR
(12,10),(10,12),-1.01917 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(12,10),(10,13),0.0804844 # DEPENDENCYPART_GRANDPAR
(12,10),(10,14),-0.252727 # DEPENDENCYPART_GRANDPAR
(12,10),(10,17),-0.313051 # DEPENDENCYPART_GRANDPAR
(12,10),(10,21),-0.780646 # DEPENDENCYPART_GRANDPAR
(12,11),(11,2),-0.515316 # DEPENDENCYPART_GRANDPAR
(12,11),(11,7),0.314636 # DEPENDENCYPART_GRANDPAR
(12,11),(11,9),-0.144217 # DEPENDENCYPART_GRANDPAR
(12,11),(11,12),-0.962552 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(12,11),(11,13),0.136766 # DEPENDENCYPART_GRANDPAR
(12,11),(11,16),-0.588586 # DEPENDENCYPART_GRANDPAR
(12,11),(11,17),-0.25677 # DEPENDENCYPART_GRANDPAR
(12,13),(13,2),-0.941438 # DEPENDENCYPART_GRANDPAR
(12,13),(13,5),-0.0299802 # DEPENDENCYPART_GRANDPAR
(12,13),(13,6),-0.501409 # DEPENDENCYPART_GRANDPAR
(12,13),(13,7),0.0234234 # DEPENDENCYPART_GRANDPAR
(12,13),(13,9),-0.577587 # DEPENDENCYPART_GRANDPAR
(12,13),(13,11),-0.235249 # DEPENDENCYPART_GRANDPAR
(12,13),(13,14),0.398807 # DEPENDENCYPART_GRANDPAR
(12,13),(13,16),-0.0299437 # DEPENDENCYPART_GRANDPAR
(12,13),(13,17),0.0197167 # DEPENDENCYPART_GRANDPAR
(12,13),(13,20),-0.0131566 # DEPENDENCYPART_GRANDPAR
(12,13),(13,21),-0.387056 # DEPENDENCYPART_GRANDPAR
(12,16),(16,8),-0.250453 # DEPENDENCYPART_GRANDPAR
(12,16),(16,12),-0.496687 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(12,16),(16,13),0.615667 # DEPENDENCYPART_GRANDPAR
(12,16),(16,14),0.297241 # DEPENDENCYPART_GRANDPAR
(12,16),(16,15),-0.0856244 # DEPENDENCYPART_GRANDPAR
(12,16),(16,17),0.123918 # DEPENDENCYPART_GRANDPAR
(12,16),(16,20),-0.0681441 # DEPENDENCYPART_GRANDPAR
(12,16),(16,21),-0.33098 # DEPENDENCYPART_GRANDPAR
(12,17),(17,1),-0.677691 # DEPENDENCYPART_GRANDPAR
(12,17),(17,2),-0.941257 # DEPENDENCYPART_GRANDPAR
(12,17),(17,3),-0.253797 # DEPENDENCYPART_GRANDPAR
(12,17),(17,5),-0.0297876 # DEPENDENCYPART_GRANDPAR
(12,17),(17,6),-0.501216 # DEPENDENCYPART_GRANDPAR
(12,17),(17,7),0.023616 # DEPENDENCYPART_GRANDPAR
(12,17),(17,9),-0.577406 # DEPENDENCYPART_GRANDPAR
(12,17),(17,10),-0.375396 # DEPENDENCYPART_GRANDPAR
(12,17),(17,11),-0.235056 # DEPENDENCYPART_GRANDPAR
(12,17),(17,12),-0.649921 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(12,17),(17,13),0.464447 # DEPENDENCYPART_GRANDPAR
(12,17),(17,14),0.143471 # DEPENDENCYPART_GRANDPAR
(12,17),(17,16),-0.234998 # DEPENDENCYPART_GRANDPAR
(12,17),(17,18),0.0510093 # DEPENDENCYPART_GRANDPAR
(12,17),(17,19),-0.204849 # DEPENDENCYPART_GRANDPAR
(12,17),(17,20),-0.0173624 # DEPENDENCYPART_GRANDPAR
(12,17),(17,21),-0.385352 # DEPENDENCYPART_GRANDPAR
(12,20),(20,8),-0.250442 # DEPENDENCYPART_GRANDPAR
(12,20),(20,14),0.285671 # DEPENDENCYPART_GRANDPAR
(12,20),(20,15),-0.0991413 # DEPENDENCYPART_GRANDPAR
(12,20),(20,16),-0.178067 # DEPENDENCYPART_GRANDPAR
(12,20),(20,18),0.0863955 # DEPENDENCYPART_GRANDPAR
(12,20),(20,19),-0.358831 # DEPENDENCYPART_GRANDPAR
(12,20),(20,21),-0.328301 # DEPENDENCYPART_GRANDPAR
(12,21),(21,20),-0.304526 # DEPENDENCYPART_GRANDPAR
(13,2),(2,1),-0.277202 # DEPENDENCYPART_GRANDPAR
(13,2),(2,3),-0.0590961 # DEPENDENCYPART_GRANDPAR
(13,2),(2,4),-0.371954 # DEPENDENCYPART_GRANDPAR
(13,2),(2,5),-0.395901 # DEPENDENCYPART_GRANDPAR
(13,2),(2,6),-0.101483 # DEPENDENCYPART_GRANDPAR
(13,2),(2,9),-0.460748 # DEPENDENCYPART_GRANDPAR
(13,2),(2,10),-0.13408 # DEPENDENCYPART_GRANDPAR
(13,2),(2,14),-0.298356 # DEPENDENCYPART_GRANDPAR
(13,2),(2,17),-0.339773 # DEPENDENCYPART_GRANDPAR
(13,2),(2,20),-0.572578 # DEPENDENCYPART_GRANDPAR
(13,2),(2,21),-0.724334 # DEPENDENCYPART_GRANDPAR
(13,5),(5,6),-0.306122 # DEPENDENCYPART_GRANDPAR
(13,5),(5,7),0.122648 # DEPENDENCYPART_GRANDPAR
(13,5),(5,9),-0.588885 # DEPENDENCYPART_GRANDPAR
(13,5),(5,10),-0.211933 # DEPENDENCYPART_GRANDPAR
(13,7),(7,5),-0.289977 # DEPENDENCYPART_GRANDPAR
(13,7),(7,6),-0.164627 # DEPENDENCYPART_GRANDPAR
(13,7),(7,8),-0.00593874 # DEPENDENCYPART_GRANDPAR
(13,7),(7,9),-0.567444 # DEPENDENCYPART_GRANDPAR
(13,7),(7,10),-0.19044 # DEPENDENCYPART_GRANDPAR
(13,7),(7,11),-0.147172 # DEPENDENCYPART_GRANDPAR
(13,7),(7,12),-0.259178 # DEPENDENCYPART_GRANDPAR
(13,7),(7,16),-0.526585 # DEPENDENCYPART_GRANDPAR
(13,7),(7,17),-0.360416 # DEPENDENCYPART_GRANDPAR
(13,9),(9,5),-0.365497 # DEPENDENCYPART_GRANDPAR
(13,9),(9,6),-0.185216 # DEPENDENCYPART_GRANDPAR
(13,9),(9,7),0.0655111 # DEPENDENCYPART_GRANDPAR
(13,9),(9,8),0.179543 # DEPENDENCYPART_GRANDPAR
(13,9),(9,10),-0.138233 # DEPENDENCYPART_GRANDPAR
(13,9),(9,11),-0.149171 # DEPENDENCYPART_GRANDPAR
(13,9),(9,12),-0.105595 # DEPENDENCYPART_GRANDPAR
(13,9),(9,13),-1.01713 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(13,9),(9,14),-0.297841 # DEPENDENCYPART_GRANDPAR
(13,9),(9,16),-0.357939 # DEPENDENCYPART_GRANDPAR
(13,9),(9,17),-0.339407 # DEPENDENCYPART_GRANDPAR
(13,9),(9,20),-0.572399 # DEPENDENCYPART_GRANDPAR
(13,11),(11,2),-0.827261 # DEPENDENCYPART_GRANDPAR
(13,11),(11,7),0.102996 # DEPENDENCYPART_GRANDPAR
(13,11),(11,9),-0.477228 # DEPENDENCYPART_GRANDPAR
(13,11),(11,12),-0.243284 # DEPENDENCYPART_GRANDPAR
(13,11),(11,13),-1.03552 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(13,11),(11,16),-0.502216 # DEPENDENCYPART_GRANDPAR
(13,11),(11,17),-0.357647 # DEPENDENCYPART_GRANDPAR
(13,16),(16,8),-0.333591 # DEPENDENCYPART_GRANDPAR
(13,16),(16,12),-0.571028 # DEPENDENCYPART_GRANDPAR
(13,16),(16,13),-0.540914 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(13,16),(16,14),0.321058 # DEPENDENCYPART_GRANDPAR
(13,16),(16,15),-0.0292859 # DEPENDENCYPART_GRANDPAR
(13,16),(16,17),0.0196852 # DEPENDENCYPART_GRANDPAR
(13,16),(16,20),-0.172169 # DEPENDENCYPART_GRANDPAR
(13,16),(16,21),-0.346543 # DEPENDENCYPART_GRANDPAR
(13,17),(17,1),-0.901227 # DEPENDENCYPART_GRANDPAR
(13,17),(17,2),-1.27039 # DEPENDENCYPART_GRANDPAR
(13,17),(17,3),-0.609119 # DEPENDENCYPART_GRANDPAR
(13,17),(17,5),-0.385337 # DEPENDENCYPART_GRANDPAR
(13,17),(17,6),-0.69633 # DEPENDENCYPART_GRANDPAR
(13,17),(17,7),-0.189903 # DEPENDENCYPART_GRANDPAR
(13,17),(17,9),-0.927604 # DEPENDENCYPART_GRANDPAR
