# _root_ `` The market was pretty dull '' for most of the day , said Robert H. Chandross , vice president at Lloyds Bank PLC .
#goldHeads=14,3,4,14,6,4,4,4,8,9,12,10,14,0,17,17,14,17,20,17,20,24,24,21,14,
#predictedHeads=4,3,4,14,6,4,6,6,8,9,12,10,14,0,17,17,14,17,20,17,20,24,24,21,14,
(0,4),(4,18),(4,21),0.0775972 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,18),(4,25),-0.0152614 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,18),(4,26),-0.0562164 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,21),(4,25),0.0979923 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,21),(4,26),-0.059528 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,25),(4,26),0.193929 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,4),(4,3),0.324148 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,4),(4,4),(4,2),0.234293 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,4),(4,4),(4,1),0.0605472 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,4),(4,4),(4,-1),-0.636059 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,4),(4,3),(4,2),0.0764197 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,3),(4,1),0.137364 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,3),(4,-1),0.0839613 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,2),(4,1),0.108982 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,2),(4,-1),-0.133398 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,1),(4,-1),-0.0759556 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,6),(6,7),-0.0194662 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,8),-0.013278 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,10),-0.0155156 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,12),-0.0445835 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,13),-0.0194504 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,14),-0.0253157 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,18),-0.0194504 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,20),-0.0445835 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,26),-0.0318321 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,6),(6,7),(6,8),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,7),(6,10),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,7),(6,12),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,7),(6,13),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,7),(6,14),-0.0194815 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,7),(6,18),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,7),(6,20),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,7),(6,26),-0.00430139 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,8),(6,10),-0.0102651 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,8),(6,12),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,8),(6,13),-0.0236346 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,8),(6,14),-0.0162121 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,8),(6,18),-0.0236346 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,8),(6,20),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,8),(6,26),-0.0348016 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,10),(6,12),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,10),(6,13),-0.0236346 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,10),(6,14),-0.0138417 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,10),(6,18),-0.0236346 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,10),(6,20),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,10),(6,26),-0.0344712 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,12),(6,13),-0.0208186 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,12),(6,14),-0.0194412 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,12),(6,18),-0.0208186 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,12),(6,20),-0.0194832 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,12),(6,26),-0.0326186 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,13),(6,14),-0.0205323 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,13),(6,18),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,13),(6,20),-0.0202606 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,13),(6,26),-0.0204078 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,14),(6,18),-0.0194772 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,14),(6,20),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,14),(6,26),-0.0180757 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,18),(6,20),-0.0202606 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,18),(6,26),-0.0204078 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,20),(6,26),-0.0326186 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,6),(6,5),0.101711 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,3),0.102343 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,2),0.103636 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,-1),-0.183998 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,6),(6,5),(6,3),0.109518 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,5),(6,2),0.108334 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,5),(6,-1),-0.169782 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,3),(6,2),0.109169 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,3),(6,-1),-0.145434 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,2),(6,-1),-0.150216 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,8),(8,8),(8,9),-0.0307872 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,8),(8,8),(8,10),-0.0288556 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,8),(8,8),(8,12),-0.065064 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,8),(8,8),(8,13),-0.0197608 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,8),(8,8),(8,14),-0.0402832 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,8),(8,8),(8,17),-0.065064 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,8),(8,8),(8,21),-0.0266358 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,8),(8,8),(8,26),-0.0232842 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,8),(8,9),(8,10),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,9),(8,12),-0.0194471 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,9),(8,13),-0.020963 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,9),(8,14),-0.019442 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,9),(8,17),-0.0194471 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,9),(8,21),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,9),(8,26),-0.0238655 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,8),(8,10),(8,12),-0.0194513 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,10),(8,13),-0.0206559 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,10),(8,14),-0.0204406 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,10),(8,17),-0.0194513 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,10),(8,21),-0.0194556 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,10),(8,26),-0.0233293 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,8),(8,12),(8,13),-0.0303164 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,12),(8,14),-0.0195347 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,12),(8,17),-0.0200782 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,12),(8,21),-0.021906 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,12),(8,26),-0.0946883 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,8),(8,13),(8,14),-0.0221527 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,13),(8,17),-0.0229215 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,13),(8,21),-0.0233552 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,13),(8,26),-0.0249433 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,8),(8,14),(8,17),-0.0194592 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,14),(8,21),-0.0194636 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,14),(8,26),-0.0257092 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,8),(8,17),(8,21),-0.021906 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,17),(8,26),-0.0946883 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,8),(8,21),(8,26),-0.0225844 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,8),(8,8),(8,6),0.104039 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,8),(8,8),(8,5),0.10441 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,8),(8,8),(8,3),0.103891 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,8),(8,8),(8,-1),-0.231004 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,8),(8,6),(8,5),0.106691 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,6),(8,3),0.10954 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,6),(8,-1),-0.145889 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,8),(8,5),(8,3),0.10954 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,5),(8,-1),-0.15505 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,8),(8,3),(8,-1),-0.14968 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,14),(14,14),(14,15),-0.0428866 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,14),(14,14),(14,16),-0.0418548 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,14),(14,14),(14,17),-0.0418548 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,14),(14,14),(14,18),0.0277116 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,14),(14,14),(14,20),-0.0469614 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,14),(14,14),(14,21),-0.187202 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,14),(14,14),(14,24),-0.0426833 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,14),(14,14),(14,25),-0.0883572 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,14),(14,14),(14,26),-0.198807 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,14),(14,15),(14,16),0.0221575 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,15),(14,17),0.0221575 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,15),(14,18),-0.0747159 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,15),(14,20),0.0221571 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,15),(14,21),0.0533096 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,15),(14,24),0.0221269 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,15),(14,25),0.0649602 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,15),(14,26),-0.0760479 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,14),(14,16),(14,17),0.0224966 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,16),(14,18),-0.0749075 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,16),(14,20),0.0224961 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,16),(14,21),0.0533096 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,16),(14,24),0.0224659 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,16),(14,25),0.0649098 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,16),(14,26),-0.0760474 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,14),(14,17),(14,18),-0.0747088 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,17),(14,20),0.0224961 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,17),(14,21),0.0533096 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,17),(14,24),0.0224659 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,17),(14,25),0.0656453 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,17),(14,26),-0.0760474 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,14),(14,18),(14,20),-0.100603 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,18),(14,21),0.0698435 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,18),(14,24),-0.100142 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,18),(14,25),-0.0198432 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,18),(14,26),-0.0570996 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,14),(14,20),(14,21),0.0520322 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,20),(14,24),0.0224659 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,20),(14,25),0.059921 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,20),(14,26),-0.0760649 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,14),(14,21),(14,24),-0.00604925 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,21),(14,25),0.0816773 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,21),(14,26),-0.0595399 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,14),(14,24),(14,25),0.0648168 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,24),(14,26),-0.0760718 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,14),(14,25),(14,26),0.211699 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,14),(14,14),(14,13),0.123145 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,14),(14,14),(14,12),0.374505 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,14),(14,14),(14,11),0.234756 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,14),(14,14),(14,10),0.163687 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,14),(14,14),(14,9),0.228266 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,14),(14,14),(14,8),0.170762 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,14),(14,14),(14,7),0.101714 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,14),(14,14),(14,6),0.221034 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,14),(14,14),(14,5),0.183162 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,14),(14,14),(14,4),0.0470543 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,14),(14,14),(14,3),0.376005 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,14),(14,14),(14,1),0.0552138 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,14),(14,14),(14,-1),-0.641139 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,14),(14,13),(14,12),0.0900541 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,13),(14,11),0.119907 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,13),(14,10),0.29997 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,13),(14,9),0.132628 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,13),(14,8),0.300312 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,13),(14,7),0.0898314 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,13),(14,6),0.134897 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,13),(14,5),0.15684 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,13),(14,4),0.0873965 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,13),(14,3),0.0868852 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,13),(14,1),0.0886316 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,13),(14,-1),-0.360189 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,14),(14,12),(14,11),0.0801518 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,12),(14,10),-0.0706618 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,12),(14,9),0.0890041 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,12),(14,8),-0.0655345 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,12),(14,7),0.151204 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,12),(14,6),0.089285 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,12),(14,5),0.104248 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,12),(14,4),0.127127 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,12),(14,3),0.111507 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,12),(14,1),0.132287 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,12),(14,-1),0.084819 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,14),(14,11),(14,10),0.100775 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,11),(14,9),0.107412 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,11),(14,8),0.098641 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,11),(14,7),0.109441 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,11),(14,6),0.107412 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,11),(14,5),0.118079 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,11),(14,4),0.109893 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,11),(14,3),0.113404 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,11),(14,1),0.115822 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,11),(14,-1),-0.13211 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,14),(14,10),(14,9),0.102637 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,10),(14,8),0.119138 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,10),(14,7),0.113521 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,10),(14,6),0.102637 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,10),(14,5),0.059452 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,10),(14,4),0.100606 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,10),(14,3),0.161389 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,10),(14,1),0.077768 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,10),(14,-1),-0.225202 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,14),(14,9),(14,8),0.104732 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,9),(14,7),0.10954 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,9),(14,6),0.109358 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,9),(14,5),0.106267 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,9),(14,4),0.108255 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,9),(14,3),0.0976116 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,9),(14,1),0.103596 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,9),(14,-1),-0.0627502 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,14),(14,8),(14,7),0.113521 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,8),(14,6),0.102881 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,8),(14,5),0.0596368 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,8),(14,4),0.100587 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,8),(14,3),0.164206 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,8),(14,1),0.0816747 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,8),(14,-1),-0.224758 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,14),(14,7),(14,6),0.109484 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,7),(14,5),0.105752 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,7),(14,4),0.13386 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,7),(14,3),0.134128 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,7),(14,1),0.0952439 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,7),(14,-1),-0.148348 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,14),(14,6),(14,5),0.106267 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,6),(14,4),0.108255 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,6),(14,3),0.0987202 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,6),(14,1),0.101601 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,6),(14,-1),-0.0655127 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,14),(14,5),(14,4),0.10071 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,5),(14,3),0.163305 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,5),(14,1),0.112863 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,5),(14,-1),-0.184874 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,14),(14,4),(14,3),0.0414778 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,4),(14,1),0.189113 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,4),(14,-1),-0.02963 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,14),(14,3),(14,1),0.131856 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,3),(14,-1),0.0852299 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,14),(14,1),(14,-1),-0.0590538 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,4),(4,5),-0.0219155 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,6),-0.017665 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,7),-0.0194582 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,8),-0.0178372 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,10),-0.0201812 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,12),-0.0588637 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,13),-0.0202028 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,14),-0.00455753 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,18),-0.0202028 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,21),-0.0158851 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,25),-0.0194405 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,26),0.0165644 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,4),(4,5),(4,6),-0.020452 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,7),-0.0194501 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,8),-0.0199784 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,10),-0.0199718 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,12),-0.0136636 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,13),-0.0150696 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,14),-0.0188016 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,18),-0.0150696 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,21),-0.0199718 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,25),-0.0194433 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,26),-0.0226148 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,6),(4,7),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,8),-0.0199196 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,10),-0.0199196 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,12),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,13),-0.0197281 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,14),-0.0199471 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,18),-0.0197281 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,21),-0.0199196 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,25),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,26),-0.0177059 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,7),(4,8),-0.0194619 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,7),(4,10),-0.0194619 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,7),(4,12),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,7),(4,13),-0.0194407 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,7),(4,14),-0.0194749 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,7),(4,18),-0.0194407 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,7),(4,21),-0.0194619 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,7),(4,25),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,7),(4,26),-0.0195462 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,8),(4,10),-0.0174534 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,8),(4,12),-0.0195047 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,8),(4,13),-0.0203347 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,8),(4,14),-0.0206254 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,8),(4,18),-0.0203347 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,8),(4,21),-0.0174534 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,8),(4,25),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,8),(4,26),-0.0308749 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
